time,Memphis,pts.away,score,pts.home,Phoenix
2:11.0,Turnover by L. Stephenson (lost ball; steal by M. Teletovic),,20-17,,
2:06.0,Personal foul by L. Stephenson,,20-17,,
2:06.0,,,20-18,1,D. Booker makes free throw 1 of 2
2:06.0,,,20-18,,R. Price enters the game for B. Knight
2:06.0,,,20-19,1,D. Booker makes free throw 2 of 2
1:55.0,,,20-19,,Personal foul by D. Booker
1:46.0,Turnover by L. Stephenson (lost ball; steal by P. Tucker),,20-19,,
1:37.0,,,20-19,,Turnover by P. Tucker (traveling)
1:24.0,Z. Randolph makes 2-pt shot from 6 ft,2,22-19,,
1:08.0,,,22-19,,D. Booker misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by V. Carter,,22-19,,
0:58.0,Shooting foul by D. Booker (drawn by L. Stephenson),,22-19,,
0:58.0,L. Stephenson makes free throw 1 of 2,1,23-19,,
0:58.0,J. Martin enters the game for Z. Randolph,,23-19,,
0:58.0,,,23-19,,B. Knight enters the game for D. Booker
0:58.0,L. Stephenson makes free throw 2 of 2,1,24-19,,
0:48.0,Personal foul by J. Farmar,,24-19,,
0:48.0,,,24-20,1,A. Len makes free throw 1 of 2
0:48.0,,,24-21,1,A. Len makes free throw 2 of 2
0:36.0,J. Farmar misses 3-pt shot from 24 ft,,24-21,,
0:34.0,,,24-21,,Defensive rebound by B. Knight
0:15.0,,,24-21,,B. Knight misses 3-pt shot from 25 ft
0:13.0,,,24-21,,Offensive rebound by R. Price
0:00.0,,,24-21,,M. Teletovic misses 3-pt shot from 32 ft
0:00.0,,,24-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,24-21,,Personal foul by J. Leuer
11:45.0,J. Martin makes free throw 1 of 2,1,25-21,,
11:45.0,J. Martin makes free throw 2 of 2,1,26-21,,
11:35.0,Personal foul by J. Martin,,26-21,,
11:27.0,,,26-21,,Turnover by J. Leuer (bad pass)
11:10.0,J. Green misses 2-pt shot from 19 ft,,26-21,,
11:08.0,,,26-21,,Defensive rebound by J. Leuer
11:06.0,,,26-21,,Personal foul by R. Price
11:06.0,Personal foul by L. Stephenson,,26-21,,
10:59.0,,,26-21,,B. Knight misses 2-pt shot from 2 ft
10:56.0,Defensive rebound by J. Green,,26-21,,
10:53.0,Turnover by L. Stephenson (lost ball; steal by C. Budinger),,26-21,,
10:52.0,Personal foul by J. Farmar,,26-21,,
10:42.0,,,26-24,3,R. Price makes 3-pt shot from 24 ft (assist by M. Teletovic)
10:23.0,J. Green makes 2-pt shot from 6 ft,2,28-24,,
10:14.0,Personal foul by J. Green,,28-24,,
10:14.0,,,28-24,,J. Jenkins enters the game for B. Knight
10:08.0,,,28-27,3,R. Price makes 3-pt shot from 24 ft (assist by M. Teletovic)
10:07.0,Memphis full timeout,,28-27,,
9:45.0,V. Carter misses 3-pt shot from 25 ft,,28-27,,
9:43.0,,,28-27,,Defensive rebound by M. Teletovic
9:24.0,,,28-29,2,J. Jenkins makes 2-pt shot from 1 ft (assist by R. Price)
9:05.0,J. Martin misses 2-pt shot from 18 ft,,28-29,,
9:04.0,,,28-29,,Defensive rebound by J. Jenkins
8:56.0,,,28-31,2,M. Teletovic makes 2-pt shot from 6 ft (assist by J. Jenkins)
8:30.0,J. Green misses 2-pt shot from 17 ft,,28-31,,
8:26.0,,,28-31,,Defensive rebound by J. Jenkins
8:21.0,,,28-31,,J. Jenkins misses 2-pt shot from 3 ft
8:18.0,,,28-31,,Offensive rebound by J. Leuer
8:18.0,,,28-33,2,J. Leuer makes 2-pt shot from 2 ft
8:03.0,R. Hollins enters the game for J. Martin,,28-33,,
8:03.0,M. Barnes enters the game for L. Stephenson,,28-33,,
8:00.0,V. Carter makes 2-pt shot from 20 ft (assist by M. Barnes),2,30-33,,
7:44.0,,,30-33,,R. Price misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by M. Barnes,,30-33,,
7:33.0,V. Carter misses 3-pt shot from 24 ft,,30-33,,
7:31.0,,,30-33,,Defensive rebound by C. Budinger
7:25.0,R. McCallum enters the game for J. Farmar,,30-33,,
7:22.0,Personal foul by V. Carter,,30-33,,
7:19.0,,,30-33,,Turnover by J. Jenkins (lost ball; steal by J. Green)
7:06.0,,,30-33,,Personal foul by R. Price
6:58.0,J. Green misses 3-pt shot from 23 ft,,30-33,,
6:56.0,,,30-33,,Defensive rebound by J. Leuer
6:46.0,,,30-33,,M. Teletovic misses 2-pt shot from 8 ft
6:44.0,Defensive rebound by Team,,30-33,,
6:22.0,J. Green misses 2-pt shot from 4 ft (block by M. Teletovic),,30-33,,
6:20.0,,,30-33,,Defensive rebound by M. Teletovic
6:16.0,,,30-33,,Turnover by M. Teletovic (lost ball; steal by V. Carter)
6:11.0,M. Barnes misses 2-pt shot from 3 ft,,30-33,,
6:11.0,,,30-33,,Defensive rebound by Team
5:59.0,,,30-36,3,J. Jenkins makes 3-pt shot from 24 ft (assist by R. Price)
5:31.0,J. Green misses 2-pt shot from 18 ft,,30-36,,
5:30.0,,,30-36,,Defensive rebound by Team
5:30.0,Official timeout,,30-36,,
5:30.0,Z. Randolph enters the game for J. Green,,30-36,,
5:18.0,,,30-36,,M. Teletovic misses 2-pt shot from 18 ft
5:17.0,Defensive rebound by Team,,30-36,,
5:04.0,V. Carter misses 2-pt shot from 16 ft,,30-36,,
5:01.0,Offensive rebound by R. Hollins,,30-36,,
4:54.0,R. McCallum misses 2-pt shot from 17 ft,,30-36,,
4:52.0,,,30-36,,Defensive rebound by J. Jenkins
4:37.0,,,30-39,3,J. Leuer makes 3-pt shot from 22 ft (assist by R. Price)
4:20.0,Turnover by R. McCallum (bad pass),,30-39,,
4:20.0,,,30-39,,T. Chandler enters the game for M. Teletovic
4:08.0,,,30-42,3,C. Budinger makes 3-pt shot from 23 ft (assist by J. Jenkins)
4:08.0,Memphis full timeout,,30-42,,
4:08.0,T. Allen enters the game for V. Carter,,30-42,,
4:08.0,,,30-42,,D. Booker enters the game for R. Price
4:08.0,,,30-42,,A. Len enters the game for C. Budinger
4:08.0,,,30-42,,P. Tucker enters the game for J. Leuer
4:08.0,,,30-42,,B. Knight enters the game for J. Jenkins
3:53.0,M. Barnes makes 3-pt shot from 25 ft (assist by T. Allen),3,33-42,,
3:32.0,,,33-42,,D. Booker misses 3-pt shot from 25 ft
3:30.0,Defensive rebound by Z. Randolph,,33-42,,
3:26.0,R. Hollins makes 2-pt shot at rim (assist by T. Allen),2,35-42,,
3:08.0,,,35-42,,Turnover by P. Tucker (lost ball; steal by Z. Randolph)
3:02.0,Turnover by M. Barnes (lost ball; steal by P. Tucker),,35-42,,
2:58.0,Shooting block foul by R. Hollins (drawn by P. Tucker),,35-42,,
2:58.0,,,35-43,1,P. Tucker makes free throw 1 of 2
2:58.0,,,35-44,1,P. Tucker makes free throw 2 of 2
2:46.0,M. Barnes misses 2-pt shot from 4 ft,,35-44,,
2:43.0,,,35-44,,Defensive rebound by T. Chandler
2:23.0,,,35-47,3,B. Knight makes 3-pt shot from 27 ft (assist by A. Len)
2:10.0,R. McCallum misses 2-pt shot from 12 ft,,35-47,,
2:08.0,Offensive rebound by T. Allen,,35-47,,
2:08.0,Shooting foul by T. Chandler (drawn by T. Allen),,35-47,,
2:08.0,T. Allen makes free throw 1 of 2,1,36-47,,
2:08.0,T. Allen makes free throw 2 of 2,1,37-47,,
1:51.0,,,37-47,,P. Tucker misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by Team,,37-47,,
1:43.0,Turnover by T. Allen (traveling),,37-47,,
1:33.0,,,37-47,,B. Knight misses 2-pt shot from 4 ft
1:31.0,Defensive rebound by Z. Randolph,,37-47,,
1:22.0,Z. Randolph misses 2-pt shot from 8 ft (block by A. Len),,37-47,,
1:19.0,,,37-47,,Defensive rebound by A. Len
1:16.0,,,37-47,,P. Tucker misses 2-pt shot from 3 ft (block by M. Barnes)
1:13.0,Defensive rebound by M. Barnes,,37-47,,
1:06.0,T. Allen misses 2-pt shot from 12 ft,,37-47,,
1:05.0,,,37-47,,Defensive rebound by B. Knight
0:46.0,,,37-47,,P. Tucker misses 3-pt shot from 23 ft (block by T. Allen)
0:45.0,Defensive rebound by Z. Randolph,,37-47,,
0:39.0,M. Barnes makes 2-pt shot at rim (assist by Z. Randolph),2,39-47,,
0:35.0,Personal foul by R. McCallum,,39-47,,
0:35.0,,,39-48,1,D. Booker makes free throw 1 of 2
0:35.0,,,39-49,1,D. Booker makes free throw 2 of 2
0:18.0,Z. Randolph misses 2-pt shot from 3 ft (block by A. Len),,39-49,,
0:16.0,,,39-49,,Defensive rebound by D. Booker
0:04.0,Personal block foul by R. Hollins,,39-49,,
0:04.0,,,39-49,,Phoenix full timeout
0:04.0,V. Carter enters the game for T. Allen,,39-49,,
0:04.0,,,39-49,,D. Booker misses free throw 1 of 2
0:04.0,,,39-49,,Offensive rebound by Team
0:04.0,,,39-50,1,D. Booker makes free throw 2 of 2
0:00.0,R. McCallum misses 3-pt shot from 24 ft,,39-50,,
0:00.0,Offensive rebound by Team,,39-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,R. McCallum makes 2-pt shot from 16 ft,2,41-50,,
11:22.0,,,41-50,,Shooting foul by R. Hollins (drawn by A. Len)
11:22.0,,,41-51,1,A. Len makes free throw 1 of 2
11:22.0,,,41-51,,A. Len misses free throw 2 of 2
11:21.0,Defensive rebound by M. Barnes,,41-51,,
11:02.0,M. Barnes misses 2-pt shot from 1 ft,,41-51,,
11:00.0,,,41-51,,Defensive rebound by A. Len
10:53.0,,,41-54,3,D. Booker makes 3-pt shot from 24 ft (assist by B. Knight)
10:28.0,R. Hollins makes 2-pt shot from 1 ft (assist by Z. Randolph),2,43-54,,
10:28.0,Shooting foul by P. Tucker (drawn by R. Hollins),,43-54,,
10:28.0,R. Hollins makes free throw 1 of 1,1,44-54,,
10:11.0,,,44-54,,Turnover by A. Len (lost ball; steal by R. McCallum)
10:05.0,T. Allen makes 2-pt shot from 1 ft (assist by R. McCallum),2,46-54,,
9:46.0,,,46-54,,D. Booker misses 3-pt shot from 22 ft
9:44.0,,,46-54,,Offensive rebound by J. Leuer
9:43.0,,,46-54,,J. Leuer misses 2-pt shot from 1 ft
9:41.0,Defensive rebound by Z. Randolph,,46-54,,
9:35.0,R. McCallum makes 3-pt shot from 24 ft,3,49-54,,
9:28.0,,,49-54,,Phoenix full timeout
9:28.0,,,49-54,,J. Leuer misses 2-pt shot from 19 ft
9:28.0,Defensive rebound by R. McCallum,,49-54,,
8:56.0,Z. Randolph misses 2-pt shot from 11 ft,,49-54,,
8:55.0,Offensive rebound by T. Allen,,49-54,,
8:49.0,T. Allen makes 2-pt shot at rim,2,51-54,,
8:29.0,,,51-57,3,P. Tucker makes 3-pt shot from 23 ft (assist by B. Knight)
8:10.0,T. Allen misses 2-pt shot from 17 ft,,51-57,,
8:08.0,,,51-57,,Defensive rebound by J. Leuer
7:59.0,,,51-57,,B. Knight misses 2-pt shot from 17 ft
7:57.0,Defensive rebound by R. Hollins,,51-57,,
7:51.0,R. McCallum misses 3-pt shot from 25 ft,,51-57,,
7:48.0,,,51-57,,Defensive rebound by D. Booker
7:46.0,,,51-57,,Turnover by D. Booker (bad pass)
7:46.0,V. Carter enters the game for R. Hollins,,51-57,,
7:26.0,Z. Randolph misses 2-pt shot from 4 ft (block by A. Len),,51-57,,
7:24.0,,,51-57,,Defensive rebound by J. Leuer
7:18.0,,,51-57,,D. Booker misses 3-pt shot from 22 ft
7:15.0,Defensive rebound by Z. Randolph,,51-57,,
7:09.0,Turnover by M. Barnes (bad pass),,51-57,,
7:00.0,,,51-57,,D. Booker misses 3-pt shot from 24 ft
6:59.0,,,51-57,,Offensive rebound by J. Leuer
6:59.0,,,51-57,,Shooting foul by V. Carter (drawn by J. Leuer)
6:59.0,,,51-58,1,J. Leuer makes free throw 1 of 2
6:59.0,,,51-58,,J. Leuer misses free throw 2 of 2
6:58.0,Defensive rebound by M. Barnes,,51-58,,
6:54.0,T. Allen misses 2-pt shot from 1 ft (block by J. Leuer),,51-58,,
6:53.0,Offensive rebound by Team,,51-58,,
6:42.0,V. Carter makes 3-pt shot from 25 ft (assist by R. McCallum),3,54-58,,
6:29.0,,,54-61,3,B. Knight makes 3-pt shot from 24 ft
6:25.0,Turnover by M. Barnes (bad pass),,54-61,,
6:22.0,,,54-61,,D. Booker misses 2-pt shot from 13 ft
6:21.0,Defensive rebound by M. Barnes,,54-61,,
6:17.0,R. McCallum makes 2-pt shot from 1 ft (assist by M. Barnes),2,56-61,,
6:00.0,,,56-61,,Turnover by A. Len (3 sec)
5:52.0,M. Barnes misses 3-pt shot from 24 ft,,56-61,,
5:51.0,,,56-61,,Defensive rebound by J. Leuer
5:44.0,Personal foul by R. McCallum,,56-61,,
5:35.0,,,56-61,,A. Len misses 2-pt shot from 2 ft
5:33.0,Defensive rebound by Z. Randolph,,56-61,,
5:25.0,R. McCallum misses 2-pt shot from 14 ft,,56-61,,
5:23.0,,,56-61,,Defensive rebound by B. Knight
5:13.0,,,56-61,,Turnover by B. Knight (lost ball; steal by R. McCallum)
5:04.0,Z. Randolph makes 2-pt shot from 18 ft (assist by V. Carter),2,58-61,,
4:43.0,,,58-64,3,B. Knight makes 3-pt shot from 25 ft
4:30.0,,,58-64,,Def 3 sec tech foul by J. Leuer
4:30.0,M. Barnes makes technical free throw,1,59-64,,
4:30.0,,,59-64,,M. Teletovic enters the game for A. Len
4:23.0,V. Carter makes 3-pt shot from 24 ft (assist by R. McCallum),3,62-64,,
4:12.0,,,62-66,2,P. Tucker makes 2-pt shot from 2 ft (assist by B. Knight)
4:12.0,,,62-66,,Shooting foul by Z. Randolph (drawn by P. Tucker)
4:12.0,,,62-66,,P. Tucker misses free throw 1 of 1
4:11.0,Defensive rebound by M. Barnes,,62-66,,
4:01.0,T. Allen makes 2-pt shot from 1 ft (assist by R. McCallum),2,64-66,,
3:49.0,,,64-68,2,J. Leuer makes 2-pt shot at rim (assist by B. Knight)
3:29.0,,,64-68,,Personal foul by J. Leuer
3:25.0,Shooting foul by B. Knight (drawn by R. McCallum),,64-68,,
3:25.0,R. McCallum makes free throw 1 of 2,1,65-68,,
3:25.0,R. McCallum misses free throw 2 of 2,,65-68,,
3:23.0,,,65-68,,Defensive rebound by J. Leuer
3:10.0,Personal foul by R. McCallum,,65-68,,
3:10.0,,,65-68,,D. Booker misses free throw 1 of 2
3:10.0,,,65-68,,Offensive rebound by Team
3:10.0,J. Farmar enters the game for R. McCallum,,65-68,,
3:10.0,J. Green enters the game for Z. Randolph,,65-68,,
3:10.0,,,65-69,1,D. Booker makes free throw 2 of 2
2:59.0,T. Allen misses 2-pt shot from 2 ft,,65-69,,
2:58.0,Offensive rebound by T. Allen,,65-69,,
2:58.0,T. Allen misses 2-pt shot from 2 ft (block by J. Leuer),,65-69,,
2:57.0,,,65-69,,Defensive rebound by Team
2:57.0,Memphis full timeout,,65-69,,
2:57.0,Jump ball: J. Green vs. J. Leuer (B. Knight gains possession),,,,Jump ball: J. Green vs. J. Leuer (B. Knight gains possession)
2:45.0,,,65-69,,B. Knight misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by T. Allen,,65-69,,
2:38.0,M. Barnes misses 2-pt shot from 1 ft,,65-69,,
2:34.0,,,65-69,,Defensive rebound by J. Leuer
2:15.0,,,65-69,,M. Teletovic misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by V. Carter,,65-69,,
1:57.0,J. Farmar makes 3-pt shot from 25 ft,3,68-69,,
1:44.0,Personal foul by M. Barnes,,68-69,,
1:44.0,,,68-69,,J. Leuer misses free throw 1 of 2
1:44.0,,,68-69,,Offensive rebound by Team
1:44.0,,,68-69,,R. Price enters the game for D. Booker
1:44.0,,,68-69,,J. Leuer misses free throw 2 of 2
1:43.0,Defensive rebound by J. Farmar,,68-69,,
1:36.0,V. Carter misses 3-pt shot from 24 ft,,68-69,,
1:34.0,,,68-69,,Defensive rebound by P. Tucker
1:28.0,Personal foul by V. Carter,,68-69,,
1:28.0,,,68-70,1,M. Teletovic makes free throw 1 of 2
1:28.0,,,68-71,1,M. Teletovic makes free throw 2 of 2
1:16.0,J. Green makes 2-pt shot from 2 ft (assist by J. Farmar),2,70-71,,
1:01.0,,,70-71,,Shooting foul by M. Barnes (drawn by M. Teletovic)
1:01.0,,,70-72,1,M. Teletovic makes free throw 1 of 2
1:01.0,L. Stephenson enters the game for T. Allen,,70-72,,
1:01.0,X. Munford enters the game for M. Barnes,,70-72,,
1:01.0,,,70-73,1,M. Teletovic makes free throw 2 of 2
0:47.0,J. Farmar misses 2-pt shot from 16 ft,,70-73,,
0:45.0,,,70-73,,Defensive rebound by B. Knight
0:32.0,,,70-73,,Turnover by J. Leuer (lost ball; steal by X. Munford)
0:27.0,X. Munford misses 3-pt shot from 25 ft,,70-73,,
0:23.0,,,70-73,,Defensive rebound by M. Teletovic
0:01.0,,,70-73,,B. Knight misses 3-pt shot from 26 ft
0:00.0,,,70-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,70-73,,J. Leuer misses 2-pt shot from 7 ft
11:40.0,Defensive rebound by J. Green,,70-73,,
11:26.0,L. Stephenson makes 2-pt shot from 1 ft (assist by X. Munford),2,72-73,,
11:11.0,,,72-75,2,J. Leuer makes 2-pt shot from 4 ft (assist by J. Jenkins)
11:11.0,,,72-75,,Shooting foul by V. Carter (drawn by J. Leuer)
11:11.0,,,72-76,1,J. Leuer makes free throw 1 of 1
10:53.0,L. Stephenson makes 2-pt shot from 5 ft,2,74-76,,
10:32.0,,,74-76,,Shooting foul by X. Munford (drawn by J. Jenkins)
10:32.0,,,74-77,1,J. Jenkins makes free throw 1 of 2
10:32.0,,,74-77,,J. Jenkins misses free throw 2 of 2
10:32.0,Defensive rebound by X. Munford,,74-77,,
10:11.0,V. Carter misses 3-pt shot from 27 ft,,74-77,,
10:09.0,,,74-77,,Defensive rebound by J. Jenkins
9:53.0,,,74-77,,Shooting foul by V. Carter (drawn by M. Teletovic)
9:53.0,,,74-78,1,M. Teletovic makes free throw 1 of 2
9:53.0,,,74-79,1,M. Teletovic makes free throw 2 of 2
9:42.0,L. Stephenson makes 2-pt shot from 2 ft,2,76-79,,
9:42.0,Shooting foul by J. Leuer (drawn by L. Stephenson),,76-79,,
9:42.0,L. Stephenson makes free throw 1 of 1,1,77-79,,
9:29.0,,,77-79,,Turnover by C. Budinger (bad pass)
9:20.0,L. Stephenson makes 2-pt shot from 2 ft,2,79-79,,
9:20.0,,,79-79,,Shooting block foul by C. Budinger (drawn by L. Stephenson)
9:20.0,,,79-79,,P. Tucker enters the game for C. Budinger
9:20.0,L. Stephenson makes free throw 1 of 1,1,80-79,,
9:06.0,,,80-79,,Turnover by R. Price (lost ball)
9:06.0,M. Barnes enters the game for V. Carter,,80-79,,
8:58.0,,,80-79,,Personal foul by R. Price
8:58.0,Official timeout,,80-79,,
8:58.0,,,80-79,,D. Booker enters the game for R. Price
8:49.0,M. Barnes misses 2-pt shot from 4 ft,,80-79,,
8:46.0,,,80-79,,Defensive rebound by M. Teletovic
8:25.0,,,80-81,2,M. Teletovic makes 2-pt shot from 12 ft
8:06.0,L. Stephenson misses 3-pt shot from 24 ft,,80-81,,
8:04.0,,,80-81,,Defensive rebound by J. Leuer
7:52.0,,,80-83,2,D. Booker makes 2-pt shot from 1 ft
7:33.0,X. Munford makes 3-pt shot from 24 ft (assist by M. Barnes),3,83-83,,
7:17.0,,,83-85,2,J. Jenkins makes 2-pt shot from 7 ft (assist by D. Booker)
7:04.0,J. Farmar makes 3-pt shot from 25 ft (assist by J. Green),3,86-85,,
6:44.0,,,86-85,,Turnover by M. Teletovic (lost ball; steal by J. Farmar)
6:40.0,J. Farmar makes 2-pt shot from 20 ft,2,88-85,,
6:32.0,,,88-85,,Offensive charge foul by D. Booker
6:32.0,,,88-85,,Turnover by D. Booker (offensive foul)
6:23.0,J. Green misses 2-pt shot from 6 ft,,88-85,,
6:21.0,Offensive rebound by J. Green,,88-85,,
6:21.0,J. Green misses 2-pt shot from 1 ft,,88-85,,
6:21.0,Offensive rebound by J. Green,,88-85,,
6:21.0,,,88-85,,Personal foul by J. Leuer
6:21.0,,,88-85,,B. Knight enters the game for D. Booker
6:16.0,J. Farmar makes 2-pt shot from 18 ft,2,90-85,,
5:52.0,,,90-87,2,J. Leuer makes 2-pt shot from 9 ft (assist by J. Jenkins)
5:31.0,L. Stephenson misses 2-pt shot from 10 ft,,90-87,,
5:29.0,Offensive rebound by M. Barnes,,90-87,,
5:29.0,M. Barnes makes 2-pt shot at rim,2,92-87,,
5:09.0,,,92-87,,M. Teletovic misses 2-pt shot from 8 ft
5:06.0,Defensive rebound by J. Green,,92-87,,
4:59.0,J. Green misses 2-pt shot from 2 ft,,92-87,,
4:55.0,,,92-87,,Defensive rebound by B. Knight
4:48.0,,,92-87,,Shooting foul by M. Barnes (drawn by B. Knight)
4:48.0,,,92-87,,Phoenix full timeout
4:48.0,,,92-87,,A. Len enters the game for M. Teletovic
4:48.0,Z. Randolph enters the game for J. Green,,92-87,,
4:48.0,,,92-87,,D. Booker enters the game for J. Jenkins
4:48.0,,,92-88,1,B. Knight makes free throw 1 of 2
4:48.0,,,92-89,1,B. Knight makes free throw 2 of 2
4:37.0,M. Barnes misses 2-pt shot from 1 ft (block by J. Leuer),,92-89,,
4:35.0,,,92-89,,Defensive rebound by P. Tucker
4:25.0,,,92-91,2,A. Len makes 2-pt shot at rim (assist by B. Knight)
4:06.0,Turnover by L. Stephenson (lost ball; steal by P. Tucker),,92-91,,
3:53.0,,,92-91,,A. Len misses 2-pt shot from 4 ft
3:51.0,,,92-91,,Offensive rebound by D. Booker
3:51.0,,,92-93,2,D. Booker makes 2-pt shot from 10 ft
3:33.0,Turnover by Z. Randolph (lost ball; steal by B. Knight),,92-93,,
3:25.0,,,92-93,,Turnover by B. Knight (lost ball; steal by M. Barnes)
3:25.0,,,92-93,,Personal foul by B. Knight
3:25.0,T. Allen enters the game for X. Munford,,92-93,,
3:25.0,M. Barnes makes free throw 1 of 2,1,93-93,,
