time,Brooklyn,pts.away,score,pts.home,Detroit
0:25.0,J. Johnson enters the game for T. Young,,21-33,,
0:25.0,,,21-33,,E. Ilyasova misses free throw 2 of 2
0:24.0,Defensive rebound by W. Reed,,21-33,,
0:05.0,D. Sloan makes 2-pt shot at rim,2,23-33,,
0:01.0,,,23-33,,B. Jennings misses 3-pt shot from 27 ft
0:00.0,,,23-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,D. Sloan makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,26-33,,
11:26.0,,,26-36,3,A. Tolliver makes 3-pt shot from 26 ft (assist by B. Jennings)
11:06.0,B. Lopez makes 2-pt shot at rim (assist by J. Johnson),2,28-36,,
10:45.0,,,28-36,,D. Hilliard misses 3-pt shot from 26 ft
10:45.0,Defensive rebound by D. Sloan,,28-36,,
10:39.0,B. Bogdanovic misses 2-pt shot at rim,,28-36,,
10:39.0,,,28-36,,Defensive rebound by D. Hilliard
10:31.0,,,28-36,,S. Johnson misses 2-pt shot from 17 ft
10:30.0,Defensive rebound by B. Lopez,,28-36,,
10:13.0,B. Lopez makes 2-pt shot from 20 ft (assist by D. Sloan),2,30-36,,
9:54.0,,,30-38,2,A. Baynes makes 2-pt shot from 4 ft (assist by A. Tolliver)
9:54.0,,,30-38,,Shooting foul by B. Lopez (drawn by A. Baynes)
9:54.0,S. Larkin enters the game for D. Sloan,,30-38,,
9:54.0,,,30-39,1,A. Baynes makes free throw 1 of 1
9:31.0,J. Johnson makes 2-pt shot from 17 ft (assist by B. Bogdanovic),2,32-39,,
9:12.0,,,32-39,,B. Jennings misses 3-pt shot from 26 ft
9:11.0,Defensive rebound by J. Johnson,,32-39,,
9:07.0,,,32-39,,Personal foul by D. Hilliard (drawn by B. Bogdanovic)
8:54.0,Official timeout,,32-39,,
8:53.0,Jump ball: A. Baynes vs. B. Lopez (J. Johnson gains possession),,,,Jump ball: A. Baynes vs. B. Lopez (J. Johnson gains possession)
8:45.0,J. Johnson misses 2-pt shot from 14 ft,,32-39,,
8:44.0,Offensive rebound by T. Robinson,,32-39,,
8:41.0,T. Robinson makes 2-pt shot at rim,2,34-39,,
8:23.0,,,34-39,,S. Johnson misses 2-pt shot from 11 ft (block by B. Lopez)
8:22.0,Defensive rebound by S. Larkin,,34-39,,
8:18.0,B. Bogdanovic misses 2-pt shot from 3 ft (block by A. Tolliver),,34-39,,
8:16.0,,,34-39,,Defensive rebound by D. Hilliard
8:13.0,,,34-39,,Shooting foul by T. Robinson (drawn by A. Baynes)
8:13.0,,,34-40,1,A. Baynes makes free throw 1 of 2
8:13.0,,,34-41,1,A. Baynes makes free throw 2 of 2
7:59.0,S. Larkin misses 2-pt shot at rim,,34-41,,
7:58.0,,,34-41,,Defensive rebound by A. Tolliver
7:39.0,,,34-41,,B. Jennings misses 2-pt shot from 16 ft
7:38.0,,,34-41,,Offensive rebound by A. Baynes
7:35.0,,,34-41,,A. Baynes misses 2-pt shot at rim
7:35.0,Defensive rebound by T. Robinson,,34-41,,
7:16.0,B. Bogdanovic misses 2-pt shot from 14 ft,,34-41,,
7:15.0,,,34-41,,Defensive rebound by B. Jennings
7:06.0,,,34-41,,S. Johnson misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by B. Bogdanovic,,34-41,,
6:55.0,T. Robinson misses 2-pt shot from 14 ft,,34-41,,
6:54.0,,,34-41,,Defensive rebound by S. Johnson
6:48.0,,,34-41,,S. Johnson misses 2-pt shot at rim
6:48.0,,,34-41,,Offensive rebound by A. Baynes
6:45.0,,,34-41,,A. Baynes misses 2-pt shot at rim
6:43.0,Defensive rebound by B. Lopez,,34-41,,
6:34.0,B. Bogdanovic misses 3-pt shot from 25 ft,,34-41,,
6:34.0,,,34-41,,Defensive rebound by D. Hilliard
6:29.0,,,34-43,2,A. Tolliver makes 2-pt shot at rim (assist by B. Jennings)
6:29.0,Brooklyn full timeout,,34-43,,
6:29.0,,,34-43,,A. Drummond enters the game for D. Hilliard
6:29.0,,,34-43,,K. Caldwell-Pope enters the game for B. Jennings
6:29.0,,,34-43,,R. Jackson enters the game for A. Baynes
6:29.0,M. Brown enters the game for B. Lopez,,34-43,,
6:29.0,W. Reed enters the game for B. Bogdanovic,,34-43,,
6:29.0,A. Bargnani enters the game for T. Robinson,,34-43,,
6:16.0,S. Larkin makes 2-pt shot at rim,2,36-43,,
5:57.0,,,36-45,2,K. Caldwell-Pope makes 2-pt shot from 4 ft
5:43.0,A. Bargnani misses 2-pt shot from 17 ft,,36-45,,
5:43.0,,,36-45,,Defensive rebound by A. Drummond
5:28.0,,,36-47,2,R. Jackson makes 2-pt shot from 7 ft
5:12.0,J. Johnson makes 2-pt shot from 10 ft,2,38-47,,
4:58.0,,,38-49,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
4:33.0,A. Bargnani makes 2-pt shot from 16 ft (assist by M. Brown),2,40-49,,
4:18.0,,,40-49,,S. Johnson misses 3-pt shot from 22 ft
4:17.0,Defensive rebound by M. Brown,,40-49,,
4:01.0,W. Reed misses 2-pt shot at rim (block by A. Drummond),,40-49,,
4:00.0,,,40-49,,Defensive rebound by A. Tolliver
3:50.0,,,40-49,,A. Drummond misses 2-pt shot from 4 ft
3:49.0,Defensive rebound by W. Reed,,40-49,,
3:33.0,M. Brown misses 2-pt shot from 5 ft,,40-49,,
3:31.0,,,40-49,,Defensive rebound by A. Drummond
3:26.0,,,40-51,2,R. Jackson makes 2-pt shot at rim
3:13.0,A. Bargnani misses 2-pt shot from 16 ft,,40-51,,
3:13.0,,,40-51,,Defensive rebound by Team
3:04.0,,,40-51,,Turnover by R. Jackson (bad pass; steal by W. Reed)
2:56.0,S. Larkin misses 2-pt shot at rim,,40-51,,
2:56.0,,,40-51,,Defensive rebound by A. Tolliver
2:47.0,,,40-51,,A. Tolliver misses 3-pt shot from 23 ft
2:46.0,Defensive rebound by Team,,40-51,,
2:46.0,,,40-51,,Detroit full timeout
2:46.0,D. Sloan enters the game for M. Brown,,40-51,,
2:46.0,W. Ellington enters the game for S. Larkin,,40-51,,
2:46.0,,,40-51,,E. Ilyasova enters the game for A. Tolliver
2:28.0,J. Johnson misses 2-pt shot from 18 ft,,40-51,,
2:26.0,,,40-51,,Defensive rebound by R. Jackson
2:17.0,,,40-51,,R. Jackson misses 2-pt shot from 12 ft
2:16.0,Defensive rebound by W. Reed,,40-51,,
2:09.0,Turnover by D. Sloan (bad pass; steal by S. Johnson),,40-51,,
2:04.0,,,40-51,,K. Caldwell-Pope misses 2-pt shot at rim
2:04.0,Defensive rebound by A. Bargnani,,40-51,,
2:04.0,,,40-51,,Loose ball foul by E. Ilyasova (drawn by A. Bargnani)
2:04.0,,,40-51,,A. Tolliver enters the game for E. Ilyasova
1:48.0,D. Sloan makes 3-pt shot from 23 ft (assist by J. Johnson),3,43-51,,
1:32.0,,,43-51,,A. Tolliver misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by D. Sloan,,43-51,,
1:18.0,A. Bargnani misses 2-pt shot from 16 ft,,43-51,,
1:18.0,,,43-51,,Defensive rebound by R. Jackson
1:05.0,,,43-53,2,S. Johnson makes 2-pt shot from 17 ft
0:51.0,W. Ellington misses 2-pt shot from 20 ft,,43-53,,
0:51.0,,,43-53,,Defensive rebound by Team
0:42.0,,,43-53,,Shooting foul by A. Bargnani (drawn by A. Drummond)
0:42.0,,,43-53,,A. Drummond misses free throw 1 of 2
0:42.0,,,43-53,,Offensive rebound by Team
0:42.0,B. Bogdanovic enters the game for A. Bargnani,,43-53,,
0:42.0,,,43-54,1,A. Drummond makes free throw 2 of 2
0:34.0,J. Johnson makes 3-pt shot from 25 ft (assist by D. Sloan),3,46-54,,
0:21.0,,,46-54,,R. Jackson misses 2-pt shot from 7 ft
0:21.0,,,46-54,,Offensive rebound by A. Drummond
0:21.0,,,46-56,2,A. Drummond makes 2-pt shot at rim
0:02.0,D. Sloan misses 2-pt shot from 1 ft,,46-56,,
0:00.0,,,46-56,,Defensive rebound by A. Drummond
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Sloan misses 3-pt shot from 26 ft,,46-56,,
11:43.0,,,46-56,,Defensive rebound by E. Ilyasova
11:34.0,,,46-58,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
11:13.0,T. Young misses 2-pt shot from 4 ft,,46-58,,
11:13.0,Offensive rebound by B. Lopez,,46-58,,
11:11.0,B. Lopez makes 2-pt shot from 1 ft,2,48-58,,
10:54.0,,,48-58,,Turnover by K. Caldwell-Pope (lost ball; steal by W. Ellington)
10:41.0,B. Lopez misses 2-pt shot from 19 ft,,48-58,,
10:41.0,,,48-58,,Defensive rebound by R. Jackson
10:38.0,Personal foul by B. Lopez (drawn by A. Drummond),,48-58,,
10:21.0,,,48-58,,E. Ilyasova misses 2-pt shot from 6 ft
10:21.0,,,48-58,,Offensive rebound by E. Ilyasova
10:16.0,,,48-58,,E. Ilyasova misses 2-pt shot from 1 ft
10:14.0,Defensive rebound by J. Johnson,,48-58,,
10:03.0,T. Young misses 3-pt shot from 24 ft,,48-58,,
10:02.0,,,48-58,,Defensive rebound by E. Ilyasova
9:48.0,,,48-60,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
9:31.0,T. Young misses 2-pt shot from 4 ft (block by E. Ilyasova),,48-60,,
9:30.0,,,48-60,,Defensive rebound by E. Ilyasova
9:23.0,,,48-60,,R. Jackson misses 2-pt shot from 4 ft
9:23.0,Defensive rebound by B. Lopez,,48-60,,
9:08.0,Turnover by D. Sloan (step out of bounds),,48-60,,
8:54.0,,,48-60,,E. Ilyasova misses 2-pt shot from 5 ft
8:53.0,,,48-60,,Offensive rebound by E. Ilyasova
8:50.0,,,48-62,2,E. Ilyasova makes 2-pt shot from 1 ft
8:25.0,W. Ellington misses 2-pt shot from 11 ft,,48-62,,
8:24.0,,,48-62,,Defensive rebound by A. Drummond
8:17.0,,,48-62,,Turnover by E. Ilyasova (lost ball)
8:02.0,W. Ellington misses 2-pt shot from 4 ft,,48-62,,
8:01.0,,,48-62,,Defensive rebound by A. Drummond
7:50.0,,,48-62,,Turnover by A. Drummond (lost ball; steal by T. Young)
7:50.0,,,48-62,,Personal foul by A. Drummond (drawn by T. Young)
7:27.0,J. Johnson makes 2-pt shot at rim,2,50-62,,
7:12.0,,,50-62,,A. Drummond misses 2-pt shot from 4 ft
7:12.0,Defensive rebound by W. Ellington,,50-62,,
7:08.0,Shooting foul by R. Jackson (drawn by D. Sloan),,50-62,,
7:08.0,,,50-62,,Technical foul by R. Jackson (drawn by D. Sloan)
7:08.0,W. Ellington misses technical free throw,,50-62,,
7:08.0,Offensive rebound by Team,,50-62,,
7:08.0,D. Sloan makes free throw 1 of 2,1,51-62,,
7:08.0,D. Sloan misses free throw 2 of 2,,51-62,,
7:07.0,,,51-62,,Defensive rebound by E. Ilyasova
6:49.0,,,51-62,,R. Jackson misses 2-pt shot from 7 ft
6:49.0,Defensive rebound by T. Young,,51-62,,
6:34.0,B. Lopez makes 2-pt shot from 15 ft (assist by J. Johnson),2,53-62,,
6:22.0,,,53-62,,S. Johnson misses 3-pt shot from 22 ft
6:22.0,Defensive rebound by T. Young,,53-62,,
6:09.0,J. Johnson makes 2-pt shot from 5 ft,2,55-62,,
5:51.0,,,55-62,,E. Ilyasova misses 2-pt shot at rim
5:50.0,Defensive rebound by B. Lopez,,55-62,,
5:38.0,W. Ellington misses 2-pt shot from 15 ft,,55-62,,
5:37.0,,,55-62,,Defensive rebound by E. Ilyasova
5:32.0,,,55-62,,R. Jackson misses 2-pt shot at rim (block by B. Lopez)
5:31.0,Defensive rebound by T. Young,,55-62,,
5:25.0,T. Young makes 2-pt shot at rim,2,57-62,,
5:25.0,,,57-62,,Detroit full timeout
5:00.0,,,57-64,2,S. Johnson makes 2-pt shot at rim
4:37.0,B. Lopez makes 2-pt shot at rim (assist by D. Sloan),2,59-64,,
4:24.0,,,59-64,,E. Ilyasova misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by B. Lopez,,59-64,,
4:13.0,B. Lopez makes 2-pt shot at rim (assist by D. Sloan),2,61-64,,
4:13.0,Shooting foul by A. Drummond (drawn by B. Lopez),,61-64,,
4:13.0,B. Bogdanovic enters the game for J. Johnson,,61-64,,
4:13.0,S. Larkin enters the game for D. Sloan,,61-64,,
4:13.0,B. Lopez makes free throw 1 of 1,1,62-64,,
3:51.0,,,62-66,2,A. Drummond makes 2-pt shot from 1 ft
3:33.0,T. Young misses 2-pt shot from 5 ft,,62-66,,
3:30.0,,,62-66,,Defensive rebound by S. Johnson
3:29.0,,,62-66,,Turnover by S. Johnson (lost ball)
3:29.0,,,62-66,,D. Hilliard enters the game for S. Johnson
3:07.0,B. Lopez misses 2-pt shot from 20 ft,,62-66,,
3:06.0,,,62-66,,Defensive rebound by A. Drummond
3:06.0,Personal foul by T. Young (drawn by A. Drummond),,62-66,,
2:49.0,,,62-66,,K. Caldwell-Pope misses 2-pt shot from 4 ft
2:47.0,Defensive rebound by T. Young,,62-66,,
2:36.0,Turnover by T. Young (lost ball; steal by A. Drummond),,62-66,,
2:29.0,,,62-66,,E. Ilyasova misses 2-pt shot at rim
2:28.0,Defensive rebound by B. Lopez,,62-66,,
2:18.0,Offensive foul by B. Lopez,,62-66,,
2:18.0,Turnover by B. Lopez (offensive foul),,62-66,,
2:18.0,Brooklyn full timeout,,62-66,,
2:18.0,,,62-66,,B. Jennings enters the game for R. Jackson
2:18.0,T. Robinson enters the game for T. Young,,62-66,,
2:00.0,,,62-69,3,D. Hilliard makes 3-pt shot from 22 ft (assist by K. Caldwell-Pope)
1:46.0,T. Robinson makes 2-pt shot at rim (assist by S. Larkin),2,64-69,,
1:26.0,,,64-69,,Offensive charge foul by D. Hilliard
1:26.0,,,64-69,,Turnover by D. Hilliard (offensive foul)
1:14.0,S. Larkin misses 2-pt shot at rim,,64-69,,
1:14.0,,,64-69,,Defensive rebound by D. Hilliard
1:06.0,,,64-69,,K. Caldwell-Pope misses 3-pt shot from 23 ft
1:06.0,,,64-69,,Offensive rebound by A. Drummond
0:43.0,,,64-69,,Turnover by Team (shot clock)
0:30.0,B. Lopez misses 2-pt shot from 5 ft,,64-69,,
0:30.0,,,64-69,,Defensive rebound by K. Caldwell-Pope
0:24.0,,,64-72,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope)
0:06.0,Shooting foul by B. Jennings (drawn by S. Larkin),,64-72,,
0:06.0,S. Larkin makes free throw 1 of 2,1,65-72,,
0:06.0,W. Reed enters the game for B. Lopez,,65-72,,
0:06.0,S. Larkin makes free throw 2 of 2,1,66-72,,
0:02.0,Personal take foul by B. Bogdanovic (drawn by D. Hilliard),,66-72,,
0:01.0,,,66-72,,K. Caldwell-Pope misses 3-pt shot from 24 ft
0:00.0,,,66-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,66-72,,S. Johnson misses 3-pt shot from 25 ft
11:35.0,,,66-72,,Offensive rebound by Team
11:16.0,,,66-74,2,S. Johnson makes 2-pt shot from 15 ft (assist by D. Hilliard)
10:57.0,Turnover by S. Larkin (lost ball; steal by S. Johnson),,66-74,,
10:49.0,,,66-77,3,A. Tolliver makes 3-pt shot from 27 ft (assist by B. Jennings)
10:24.0,W. Ellington misses 3-pt shot from 26 ft,,66-77,,
10:24.0,,,66-77,,Defensive rebound by A. Baynes
10:10.0,,,66-77,,A. Baynes misses 2-pt shot from 5 ft
10:08.0,Defensive rebound by T. Robinson,,66-77,,
9:57.0,Turnover by T. Robinson (bad pass; steal by A. Tolliver),,66-77,,
9:48.0,,,66-79,2,A. Baynes makes 2-pt shot from 4 ft (assist by B. Jennings)
9:27.0,T. Robinson makes 2-pt shot from 6 ft (assist by B. Bogdanovic),2,68-79,,
9:11.0,,,68-81,2,D. Hilliard makes 2-pt shot at rim (assist by A. Baynes)
9:05.0,Brooklyn full timeout,,68-81,,
9:05.0,J. Johnson enters the game for W. Ellington,,68-81,,
9:05.0,T. Young enters the game for T. Robinson,,68-81,,
8:52.0,J. Johnson misses 2-pt shot from 5 ft,,68-81,,
8:52.0,Offensive rebound by T. Young,,68-81,,
8:46.0,W. Reed makes 2-pt shot at rim (assist by J. Johnson),2,70-81,,
8:19.0,,,70-83,2,S. Johnson makes 2-pt shot from 18 ft
7:57.0,W. Reed makes 2-pt shot from 3 ft,2,72-83,,
7:36.0,,,72-85,2,D. Hilliard makes 2-pt shot at rim
7:36.0,,,72-85,,Shooting foul by W. Reed (drawn by D. Hilliard)
7:36.0,,,72-86,1,D. Hilliard makes free throw 1 of 1
7:16.0,S. Larkin misses 2-pt shot from 14 ft,,72-86,,
7:16.0,,,72-86,,Defensive rebound by A. Baynes
6:55.0,,,72-86,,D. Hilliard misses 2-pt shot from 16 ft
6:54.0,Defensive rebound by Team,,72-86,,
6:54.0,,,72-86,,Personal foul by A. Baynes (drawn by T. Young)
6:54.0,D. Sloan enters the game for S. Larkin,,72-86,,
6:54.0,B. Lopez enters the game for W. Reed,,72-86,,
6:54.0,,,72-86,,R. Jackson enters the game for B. Jennings
6:54.0,,,72-86,,A. Drummond enters the game for A. Baynes
6:46.0,Turnover by B. Lopez (bad pass),,72-86,,
6:31.0,,,72-88,2,A. Drummond makes 2-pt shot at rim (assist by A. Tolliver)
6:18.0,Turnover by T. Young (bad pass; steal by A. Drummond),,72-88,,
6:13.0,,,72-88,,Shooting foul by B. Lopez (drawn by A. Tolliver)
6:13.0,,,72-89,1,A. Tolliver makes free throw 1 of 3
6:13.0,,,72-89,,A. Tolliver misses free throw 2 of 3
6:13.0,,,72-89,,Offensive rebound by Team
6:13.0,,,72-89,,K. Caldwell-Pope enters the game for D. Hilliard
6:13.0,,,72-90,1,A. Tolliver makes free throw 3 of 3
5:53.0,T. Young makes 2-pt shot from 16 ft,2,74-90,,
5:37.0,,,74-90,,A. Tolliver misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by J. Johnson,,74-90,,
5:15.0,T. Young misses 2-pt shot from 13 ft,,74-90,,
5:15.0,,,74-90,,Defensive rebound by A. Drummond
5:05.0,,,74-92,2,R. Jackson makes 2-pt shot at rim
4:52.0,T. Young makes 2-pt shot at rim (assist by D. Sloan),2,76-92,,
4:37.0,,,76-92,,A. Drummond misses 2-pt shot from 5 ft
4:37.0,Defensive rebound by Team,,76-92,,
4:37.0,Official timeout,,76-92,,
4:37.0,,,76-92,,E. Ilyasova enters the game for A. Tolliver
4:37.0,W. Ellington enters the game for B. Bogdanovic,,76-92,,
4:19.0,Shooting foul by R. Jackson (drawn by D. Sloan),,76-92,,
4:19.0,D. Sloan makes free throw 1 of 2,1,77-92,,
4:19.0,M. Brown enters the game for W. Ellington,,77-92,,
4:19.0,D. Sloan makes free throw 2 of 2,1,78-92,,
4:18.0,Personal take foul by M. Brown (drawn by A. Drummond),,78-92,,
4:18.0,,,78-92,,A. Baynes enters the game for A. Drummond
3:57.0,,,78-94,2,R. Jackson makes 2-pt shot from 18 ft
3:46.0,D. Sloan makes 2-pt shot at rim,2,80-94,,
3:29.0,,,80-96,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
3:12.0,J. Johnson makes 3-pt shot from 26 ft (assist by D. Sloan),3,83-96,,
2:48.0,,,83-96,,Turnover by K. Caldwell-Pope (lost ball; steal by M. Brown)
2:41.0,M. Brown misses 2-pt shot from 4 ft,,83-96,,
2:40.0,,,83-96,,Defensive rebound by A. Baynes
2:35.0,,,83-98,2,R. Jackson makes 2-pt shot at rim (assist by S. Johnson)
2:11.0,B. Lopez makes 2-pt shot from 17 ft (assist by D. Sloan),2,85-98,,
1:54.0,,,85-98,,S. Johnson misses 2-pt shot at rim
1:54.0,,,85-98,,Offensive rebound by E. Ilyasova
1:50.0,,,85-100,2,E. Ilyasova makes 2-pt shot at rim
1:44.0,M. Brown makes 2-pt shot from 17 ft (assist by D. Sloan),2,87-100,,
1:40.0,Personal foul by D. Sloan (drawn by R. Jackson),,87-100,,
1:40.0,,,87-100,,Detroit full timeout
1:40.0,T. Robinson enters the game for J. Johnson,,87-100,,
1:40.0,S. Larkin enters the game for T. Young,,87-100,,
1:40.0,S. Karasev enters the game for B. Lopez,,87-100,,
1:40.0,W. Reed enters the game for D. Sloan,,87-100,,
1:21.0,,,87-103,3,R. Jackson makes 3-pt shot from 25 ft
1:15.0,,,87-103,,Personal foul by R. Jackson (drawn by S. Larkin)
1:07.0,Turnover by S. Karasev (bad pass; steal by K. Caldwell-Pope),,87-103,,
