time,Chicago,pts.away,score,pts.home,Portland
5:22.0,K. Hinrich enters the game for P. Gasol,,17-11,,
5:22.0,J. Noah enters the game for D. Rose,,17-11,,
5:22.0,J. Butler makes free throw 2 of 2,1,18-11,,
5:10.0,,,18-11,,Shooting foul by J. Noah (drawn by D. Lillard)
5:10.0,,,18-12,1,D. Lillard makes free throw 1 of 2
5:10.0,,,18-13,1,D. Lillard makes free throw 2 of 2
4:54.0,J. Butler misses 3-pt shot from 25 ft,,18-13,,
4:53.0,,,18-13,,Defensive rebound by A. Aminu
4:50.0,,,18-13,,Shooting foul by K. Hinrich (drawn by D. Lillard)
4:50.0,,,18-14,1,D. Lillard makes free throw 1 of 2
4:50.0,D. McDermott enters the game for T. Snell,,18-14,,
4:50.0,,,18-15,1,D. Lillard makes free throw 2 of 2
4:37.0,J. Butler misses 2-pt shot from 15 ft,,18-15,,
4:36.0,,,18-15,,Defensive rebound by D. Lillard
4:27.0,,,18-15,,D. Lillard misses 3-pt shot from 25 ft
4:27.0,Defensive rebound by Team,,18-15,,
4:27.0,,,18-15,,G. Henderson enters the game for A. Aminu
4:05.0,K. Hinrich misses 3-pt shot from 26 ft,,18-15,,
4:05.0,Offensive rebound by N. Mirotic,,18-15,,
3:58.0,N. Mirotic makes 3-pt shot from 26 ft (assist by K. Hinrich),3,21-15,,
3:45.0,,,21-15,,Shooting foul by N. Mirotic (drawn by A. Crabbe)
3:45.0,,,21-16,1,A. Crabbe makes free throw 1 of 2
3:45.0,,,21-17,1,A. Crabbe makes free throw 2 of 2
3:26.0,D. McDermott makes 2-pt shot from 8 ft (assist by J. Butler),2,23-17,,
2:59.0,,,23-17,,E. Davis misses 2-pt shot from 6 ft
2:58.0,Defensive rebound by J. Butler,,23-17,,
2:53.0,D. McDermott misses 3-pt shot from 24 ft,,23-17,,
2:52.0,,,23-17,,Defensive rebound by D. Lillard
2:48.0,,,23-17,,Turnover by E. Davis (lost ball)
2:48.0,Chicago full timeout,,23-17,,
2:48.0,T. Gibson enters the game for N. Mirotic,,23-17,,
2:30.0,J. Noah misses 2-pt shot from 5 ft,,23-17,,
2:30.0,,,23-17,,Defensive rebound by D. Lillard
2:20.0,,,23-19,2,D. Lillard makes 2-pt shot from 2 ft
2:03.0,J. Noah makes 2-pt shot from 8 ft (assist by J. Butler),2,25-19,,
1:50.0,,,25-19,,Turnover by G. Henderson (traveling)
1:29.0,J. Noah makes 2-pt shot from 4 ft (assist by K. Hinrich),2,27-19,,
1:08.0,,,27-19,,G. Henderson misses 2-pt shot from 19 ft
1:07.0,Defensive rebound by J. Noah,,27-19,,
0:56.0,T. Gibson makes 2-pt shot from 4 ft,2,29-19,,
0:33.0,,,29-19,,Shooting foul by J. Butler (drawn by E. Davis)
0:33.0,,,29-19,,E. Davis misses free throw 1 of 2
0:33.0,,,29-19,,Offensive rebound by Team
0:33.0,E. Moore enters the game for J. Butler,,29-19,,
0:33.0,,,29-19,,C. McCollum enters the game for D. Lillard
0:33.0,,,29-20,1,E. Davis makes free throw 2 of 2
0:09.0,K. Hinrich misses 2-pt shot from 2 ft,,29-20,,
0:09.0,Offensive rebound by Team,,29-20,,
0:09.0,Turnover by Team (shot clock),,29-20,,
0:00.0,,,29-22,2,C. McCollum makes 2-pt shot from 4 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,29-22,,Turnover by E. Davis (bad pass; steal by T. Gibson)
11:31.0,T. Gibson misses 2-pt shot from 5 ft,,29-22,,
11:29.0,Offensive rebound by T. Gibson,,29-22,,
11:29.0,T. Gibson makes 2-pt shot at rim,2,31-22,,
11:03.0,,,31-22,,E. Davis misses 2-pt shot from 7 ft
11:02.0,Defensive rebound by T. Gibson,,31-22,,
10:53.0,D. Rose misses 3-pt shot from 25 ft,,31-22,,
10:53.0,,,31-22,,Defensive rebound by A. Crabbe
10:48.0,,,31-22,,Shooting foul by D. McDermott (drawn by G. Henderson)
10:48.0,,,31-22,,G. Henderson misses free throw 1 of 2
10:48.0,,,31-22,,Offensive rebound by Team
10:48.0,,,31-22,,M. Plumlee enters the game for M. Harkless
10:48.0,,,31-22,,G. Henderson misses free throw 2 of 2
10:47.0,Defensive rebound by J. Noah,,31-22,,
10:24.0,D. Rose misses 2-pt shot from 17 ft,,31-22,,
10:23.0,,,31-22,,Defensive rebound by M. Plumlee
10:11.0,,,31-22,,M. Plumlee misses 2-pt shot from 4 ft
10:11.0,Defensive rebound by J. Noah,,31-22,,
10:03.0,J. Noah makes 2-pt shot from 20 ft (assist by D. McDermott),2,33-22,,
9:42.0,,,33-24,2,M. Plumlee makes 2-pt shot from 6 ft
9:16.0,D. Rose makes 2-pt shot from 20 ft,2,35-24,,
9:00.0,,,35-27,3,G. Henderson makes 3-pt shot from 25 ft (assist by E. Davis)
8:49.0,D. McDermott misses 2-pt shot from 3 ft,,35-27,,
8:48.0,,,35-27,,Defensive rebound by E. Davis
8:39.0,,,35-27,,C. McCollum misses 2-pt shot from 21 ft
8:38.0,Defensive rebound by T. Gibson,,35-27,,
8:26.0,D. Rose makes 2-pt shot from 1 ft (assist by T. Gibson),2,37-27,,
8:12.0,Official timeout,,37-27,,
8:03.0,,,37-27,,Turnover by G. Henderson (traveling)
7:53.0,D. Rose misses 2-pt shot from 4 ft,,37-27,,
7:52.0,,,37-27,,Defensive rebound by E. Davis
7:32.0,,,37-29,2,A. Crabbe makes 2-pt shot from 19 ft (assist by M. Plumlee)
7:11.0,T. Gibson misses 2-pt shot from 19 ft,,37-29,,
7:09.0,,,37-29,,Defensive rebound by C. McCollum
7:00.0,,,37-29,,C. McCollum misses 2-pt shot from 19 ft
6:59.0,Defensive rebound by J. Noah,,37-29,,
6:53.0,Turnover by D. Rose (bad pass),,37-29,,
6:53.0,P. Gasol enters the game for J. Noah,,37-29,,
6:53.0,,,37-29,,A. Aminu enters the game for G. Henderson
6:42.0,,,37-29,,Turnover by E. Davis (offensive foul)
6:42.0,,,37-29,,Offensive foul by E. Davis
6:42.0,J. Butler enters the game for E. Moore,,37-29,,
6:42.0,,,37-29,,D. Lillard enters the game for C. McCollum
6:42.0,Violation by Team (delay of game),,37-29,,
6:32.0,P. Gasol misses 2-pt shot from 18 ft,,37-29,,
6:31.0,,,37-29,,Defensive rebound by E. Davis
6:19.0,,,37-29,,M. Plumlee misses 2-pt shot from 16 ft
6:18.0,Defensive rebound by P. Gasol,,37-29,,
6:11.0,D. Rose misses 2-pt shot from 18 ft,,37-29,,
6:10.0,,,37-29,,Defensive rebound by E. Davis
6:00.0,,,37-29,,A. Aminu misses 2-pt shot from 8 ft
5:58.0,Defensive rebound by T. Gibson,,37-29,,
5:40.0,T. Gibson makes 2-pt shot from 14 ft (assist by D. Rose),2,39-29,,
5:17.0,,,39-32,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Lillard)
4:58.0,P. Gasol makes 2-pt shot at rim (assist by J. Butler),2,41-32,,
4:58.0,,,41-32,,Portland full timeout
4:58.0,N. Mirotic enters the game for T. Gibson,,41-32,,
4:42.0,,,41-32,,D. Lillard misses 2-pt shot from 19 ft
4:41.0,,,41-32,,Offensive rebound by D. Lillard
4:39.0,,,41-32,,Turnover by A. Crabbe (step out of bounds)
4:29.0,Turnover by J. Butler (bad pass; steal by A. Crabbe),,41-32,,
4:22.0,,,41-32,,D. Lillard misses 2-pt shot from 16 ft
4:19.0,Defensive rebound by D. Rose,,41-32,,
4:14.0,N. Mirotic makes 2-pt shot from 1 ft (assist by D. Rose),2,43-32,,
3:57.0,,,43-32,,Shooting foul by N. Mirotic (drawn by M. Plumlee)
3:57.0,,,43-32,,M. Plumlee misses free throw 1 of 2
3:57.0,,,43-32,,Offensive rebound by Team
3:57.0,K. Hinrich enters the game for D. Rose,,43-32,,
3:57.0,,,43-32,,C. McCollum enters the game for A. Crabbe
3:57.0,,,43-33,1,M. Plumlee makes free throw 2 of 2
3:44.0,P. Gasol misses 2-pt shot from 16 ft,,43-33,,
3:44.0,,,43-33,,Defensive rebound by M. Plumlee
3:36.0,,,43-33,,C. McCollum misses 2-pt shot from 4 ft
3:36.0,Defensive rebound by D. McDermott,,43-33,,
3:33.0,Turnover by N. Mirotic (traveling),,43-33,,
3:33.0,E. Moore enters the game for D. McDermott,,43-33,,
3:11.0,,,43-33,,C. McCollum misses 2-pt shot from 3 ft
3:09.0,,,43-33,,Offensive rebound by E. Davis
3:09.0,,,43-35,2,E. Davis makes 2-pt shot at rim
2:56.0,Turnover by J. Butler (lost ball; steal by E. Davis),,43-35,,
2:49.0,,,43-37,2,E. Davis makes 2-pt shot from 1 ft
2:49.0,Chicago full timeout,,43-37,,
2:36.0,E. Moore misses 2-pt shot from 18 ft,,43-37,,
2:36.0,Offensive rebound by Team,,43-37,,
2:36.0,,,43-37,,Loose ball foul by A. Aminu (drawn by J. Butler)
2:21.0,Turnover by N. Mirotic (lost ball; steal by E. Davis),,43-37,,
2:11.0,,,43-37,,D. Lillard misses 2-pt shot from 8 ft
2:10.0,Defensive rebound by N. Mirotic,,43-37,,
1:59.0,P. Gasol makes 2-pt shot from 4 ft (assist by K. Hinrich),2,45-37,,
1:42.0,,,45-37,,D. Lillard misses 3-pt shot from 25 ft
1:41.0,,,45-37,,Offensive rebound by E. Davis
1:29.0,,,45-39,2,C. McCollum makes 2-pt shot from 1 ft (assist by D. Lillard)
1:11.0,,,45-39,,Personal foul by E. Davis (drawn by P. Gasol)
1:11.0,J. Noah enters the game for N. Mirotic,,45-39,,
1:11.0,T. Snell enters the game for J. Butler,,45-39,,
0:59.0,K. Hinrich misses 2-pt shot from 1 ft,,45-39,,
0:58.0,Offensive rebound by P. Gasol,,45-39,,
0:58.0,P. Gasol misses 2-pt shot from 2 ft (block by A. Aminu),,45-39,,
0:58.0,Offensive rebound by Team,,45-39,,
0:58.0,T. Snell misses 3-pt shot from 28 ft (block by D. Lillard),,45-39,,
0:58.0,Offensive rebound by Team,,45-39,,
0:58.0,Turnover by Team (shot clock),,45-39,,
0:58.0,,,45-39,,A. Crabbe enters the game for M. Plumlee
0:37.0,,,45-39,,A. Aminu misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by Team,,45-39,,
0:35.0,D. Rose enters the game for E. Moore,,45-39,,
0:35.0,,,45-39,,M. Plumlee enters the game for A. Crabbe
0:25.0,Chicago full timeout,,45-39,,
0:25.0,D. McDermott enters the game for T. Snell,,45-39,,
0:23.0,J. Noah misses 2-pt shot from 3 ft (block by M. Plumlee),,45-39,,
0:23.0,,,45-39,,Defensive rebound by Team
0:23.0,,,45-39,,Portland full timeout
0:23.0,T. Snell enters the game for P. Gasol,,45-39,,
0:23.0,J. Butler enters the game for D. McDermott,,45-39,,
0:23.0,,,45-39,,A. Crabbe enters the game for M. Plumlee
0:23.0,,,45-39,,M. Harkless enters the game for E. Davis
0:04.0,,,45-39,,D. Lillard misses 2-pt shot from 2 ft
0:03.0,,,45-39,,Offensive rebound by A. Aminu
0:03.0,,,45-39,,A. Aminu misses 2-pt shot from 2 ft
0:02.0,,,45-39,,Offensive rebound by A. Aminu
0:02.0,,,45-39,,Turnover by A. Aminu (lost ball)
0:00.0,J. Butler makes 3-pt shot from 47 ft (assist by J. Noah),3,48-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,48-39,,A. Aminu misses 2-pt shot from 22 ft
11:38.0,,,48-39,,Offensive rebound by M. Plumlee
11:24.0,,,48-39,,C. McCollum misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by D. Rose,,48-39,,
10:59.0,D. Rose misses 3-pt shot from 25 ft,,48-39,,
10:58.0,Offensive rebound by Team,,48-39,,
10:42.0,,,48-39,,Personal foul by M. Plumlee (drawn by P. Gasol)
10:37.0,N. Mirotic misses 2-pt shot from 16 ft,,48-39,,
10:36.0,,,48-39,,Defensive rebound by D. Lillard
10:26.0,,,48-41,2,M. Plumlee makes 2-pt shot from 7 ft (assist by D. Lillard)
10:03.0,T. Snell misses 2-pt shot from 2 ft,,48-41,,
10:02.0,,,48-41,,Defensive rebound by D. Lillard
9:55.0,,,48-44,3,N. Vonleh makes 3-pt shot from 23 ft (assist by D. Lillard)
9:44.0,D. Rose misses 2-pt shot from 1 ft (block by N. Vonleh),,48-44,,
9:43.0,,,48-44,,Defensive rebound by M. Plumlee
9:38.0,,,48-46,2,N. Vonleh makes 2-pt shot at rim (assist by D. Lillard)
9:38.0,Chicago full timeout,,48-46,,
9:21.0,T. Snell misses 3-pt shot from 25 ft,,48-46,,
9:20.0,,,48-46,,Defensive rebound by A. Aminu
9:15.0,,,48-46,,Turnover by D. Lillard (bad pass; steal by J. Butler)
9:10.0,,,48-46,,Personal block foul by D. Lillard (drawn by D. Rose)
9:03.0,N. Mirotic makes 3-pt shot from 23 ft (assist by D. Rose),3,51-46,,
8:43.0,,,51-46,,M. Plumlee misses 2-pt shot from 5 ft
8:43.0,,,51-46,,Offensive rebound by N. Vonleh
8:36.0,,,51-46,,A. Aminu misses 2-pt shot from 21 ft
8:36.0,Defensive rebound by N. Mirotic,,51-46,,
8:35.0,,,51-46,,Personal foul by M. Plumlee (drawn by N. Mirotic)
8:25.0,Shooting foul by D. Lillard (drawn by D. Rose),,51-46,,
8:25.0,D. Rose makes free throw 1 of 2,1,52-46,,
8:25.0,D. Rose makes free throw 2 of 2,1,53-46,,
8:14.0,,,53-46,,D. Lillard misses 2-pt shot from 3 ft
8:13.0,Defensive rebound by P. Gasol,,53-46,,
8:05.0,J. Butler makes 2-pt shot from 18 ft (assist by D. Rose),2,55-46,,
7:44.0,,,55-48,2,C. McCollum makes 2-pt shot from 3 ft
7:37.0,T. Snell misses 3-pt shot from 22 ft,,55-48,,
7:36.0,,,55-48,,Defensive rebound by N. Vonleh
7:26.0,,,55-48,,N. Vonleh misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by Team,,55-48,,
7:10.0,D. Rose makes 2-pt shot from 16 ft,2,57-48,,
6:49.0,,,57-50,2,M. Plumlee makes 2-pt shot from 2 ft (assist by C. McCollum)
6:29.0,T. Snell misses 3-pt shot from 23 ft,,57-50,,
6:28.0,,,57-50,,Defensive rebound by A. Aminu
6:20.0,,,57-50,,Shooting foul by P. Gasol (drawn by A. Aminu)
6:20.0,,,57-51,1,A. Aminu makes free throw 1 of 2
6:20.0,D. McDermott enters the game for T. Snell,,57-51,,
6:20.0,,,57-51,,E. Davis enters the game for M. Plumlee
6:20.0,,,57-52,1,A. Aminu makes free throw 2 of 2
6:07.0,J. Butler makes 2-pt shot at rim (assist by N. Mirotic),2,59-52,,
5:45.0,,,59-52,,N. Vonleh misses 2-pt shot at rim
5:44.0,Defensive rebound by D. Rose,,59-52,,
5:37.0,D. Rose misses 2-pt shot from 2 ft,,59-52,,
5:37.0,Offensive rebound by N. Mirotic,,59-52,,
5:37.0,Shooting foul by E. Davis (drawn by N. Mirotic),,59-52,,
5:37.0,N. Mirotic misses free throw 1 of 2,,59-52,,
5:37.0,Offensive rebound by Team,,59-52,,
5:37.0,,,59-52,,A. Crabbe enters the game for C. McCollum
5:37.0,N. Mirotic makes free throw 2 of 2,1,60-52,,
5:22.0,,,60-52,,D. Lillard misses 2-pt shot from 20 ft
5:22.0,Defensive rebound by P. Gasol,,60-52,,
5:09.0,Turnover by N. Mirotic (lost ball; steal by E. Davis),,60-52,,
4:52.0,,,60-52,,Turnover by A. Aminu (traveling)
4:52.0,J. Noah enters the game for P. Gasol,,60-52,,
4:44.0,K. Hinrich enters the game for D. Rose,,60-52,,
4:44.0,,,60-52,,G. Henderson enters the game for N. Vonleh
4:44.0,,,60-52,,M. Harkless enters the game for A. Aminu
4:35.0,J. Butler makes 2-pt shot from 2 ft,2,62-52,,
4:08.0,,,62-54,2,E. Davis makes 2-pt shot from 3 ft (assist by M. Harkless)
3:45.0,D. McDermott makes 2-pt shot from 13 ft,2,64-54,,
3:45.0,,,64-54,,Portland full timeout
3:29.0,,,64-56,2,M. Harkless makes 2-pt shot from 3 ft (assist by D. Lillard)
3:08.0,N. Mirotic misses 3-pt shot from 24 ft,,64-56,,
3:08.0,,,64-56,,Defensive rebound by E. Davis
3:00.0,,,64-56,,M. Harkless misses 3-pt shot from 24 ft
2:59.0,,,64-56,,Offensive rebound by M. Harkless
2:50.0,,,64-56,,E. Davis misses 2-pt shot at rim
2:49.0,Defensive rebound by N. Mirotic,,64-56,,
2:37.0,T. Gibson enters the game for N. Mirotic,,64-56,,
2:33.0,Turnover by Team (shot clock),,64-56,,
2:20.0,,,64-56,,A. Crabbe misses 2-pt shot from 19 ft
2:19.0,Defensive rebound by J. Noah,,64-56,,
2:14.0,Turnover by J. Noah (bad pass),,64-56,,
1:59.0,,,64-56,,Turnover by M. Harkless (bad pass; steal by J. Butler)
1:53.0,J. Butler makes 2-pt shot from 2 ft,2,66-56,,
1:43.0,,,66-56,,G. Henderson misses 2-pt shot from 16 ft
1:43.0,Defensive rebound by Team,,66-56,,
1:43.0,,,66-56,,Loose ball foul by A. Crabbe (drawn by J. Noah)
1:43.0,J. Noah makes free throw 1 of 2,1,67-56,,
1:43.0,D. Rose enters the game for J. Butler,,67-56,,
1:43.0,J. Noah misses free throw 2 of 2,,67-56,,
1:42.0,,,67-56,,Defensive rebound by G. Henderson
1:38.0,Jump ball: G. Henderson vs. D. McDermott (K. Hinrich gains possession),,,,Jump ball: G. Henderson vs. D. McDermott (K. Hinrich gains possession)
1:38.0,,,67-56,,Turnover by G. Henderson (lost ball; steal by D. McDermott)
1:29.0,T. Gibson makes 2-pt shot from 19 ft (assist by D. Rose),2,69-56,,
1:10.0,,,69-58,2,G. Henderson makes 2-pt shot from 5 ft (assist by D. Lillard)
0:57.0,Turnover by D. McDermott (lost ball; steal by G. Henderson),,69-58,,
0:56.0,Personal foul by J. Noah (drawn by A. Crabbe),,69-58,,
0:56.0,,,69-58,,M. Plumlee enters the game for M. Harkless
0:56.0,Technical foul by Team,,69-58,,
0:56.0,Violation by Team (delay of game),,69-58,,
0:56.0,,,69-59,1,D. Lillard makes technical free throw
0:56.0,,,69-59,,C. McCollum enters the game for A. Crabbe
0:41.0,Personal foul by D. Rose (drawn by D. Lillard),,69-59,,
0:41.0,,,69-60,1,D. Lillard makes free throw 1 of 2
0:41.0,,,69-61,1,D. Lillard makes free throw 2 of 2
0:28.0,D. Rose makes 2-pt shot from 17 ft,2,71-61,,
0:22.0,,,71-63,2,D. Lillard makes 2-pt shot from 1 ft
0:22.0,,,71-63,,Shooting foul by D. Rose (drawn by D. Lillard)
0:22.0,N. Mirotic enters the game for T. Gibson,,71-63,,
0:22.0,,,71-63,,D. Lillard misses free throw 1 of 1
0:21.0,Defensive rebound by J. Noah,,71-63,,
0:01.0,D. Rose misses 2-pt shot from 19 ft,,71-63,,
0:00.0,,,71-63,,Defensive rebound by M. Plumlee
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,T. Gibson misses 2-pt shot from 19 ft,,71-63,,
11:45.0,,,71-63,,Defensive rebound by A. Crabbe
11:36.0,Personal foul by J. Noah (drawn by C. McCollum),,71-63,,
11:28.0,,,71-65,2,M. Plumlee makes 2-pt shot from 13 ft (assist by C. McCollum)
11:16.0,Turnover by D. Rose (back court),,71-65,,
11:03.0,,,71-65,,C. McCollum misses 3-pt shot from 23 ft
11:02.0,Defensive rebound by D. McDermott,,71-65,,
10:54.0,D. Rose makes 2-pt shot from 15 ft,2,73-65,,
10:32.0,,,73-65,,M. Plumlee misses 2-pt shot from 1 ft (block by J. Noah)
10:31.0,Defensive rebound by K. Hinrich,,73-65,,
10:29.0,K. Hinrich makes 2-pt shot at rim,2,75-65,,
10:29.0,Shooting foul by C. McCollum (drawn by K. Hinrich),,75-65,,
10:29.0,K. Hinrich makes free throw 1 of 1,1,76-65,,
10:17.0,,,76-65,,G. Henderson misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by T. Gibson,,76-65,,
10:07.0,D. Rose makes 2-pt shot from 11 ft,2,78-65,,
9:47.0,,,78-67,2,A. Crabbe makes 2-pt shot from 15 ft (assist by C. McCollum)
9:29.0,J. Noah misses 2-pt shot from 4 ft,,78-67,,
9:29.0,,,78-67,,Defensive rebound by M. Plumlee
9:21.0,,,78-67,,Turnover by E. Davis (offensive goaltending)
9:21.0,,,78-67,,D. Lillard enters the game for G. Henderson
9:07.0,D. Rose misses 2-pt shot from 15 ft,,78-67,,
9:06.0,,,78-67,,Defensive rebound by M. Plumlee
9:03.0,Personal foul by K. Hinrich (drawn by E. Davis),,78-67,,
8:52.0,,,78-67,,D. Lillard misses 2-pt shot from 16 ft
8:52.0,,,78-67,,Offensive rebound by E. Davis
8:50.0,,,78-69,2,E. Davis makes 2-pt shot at rim
8:35.0,D. McDermott misses 3-pt shot from 24 ft,,78-69,,
8:34.0,,,78-69,,Defensive rebound by Team
8:34.0,Personal foul by T. Gibson (drawn by M. Plumlee),,78-69,,
8:34.0,Official timeout,,78-69,,
8:34.0,P. Gasol enters the game for J. Noah,,78-69,,
8:34.0,J. Butler enters the game for D. Rose,,78-69,,
8:16.0,,,78-71,2,C. McCollum makes 2-pt shot from 16 ft (assist by D. Lillard)
7:59.0,D. McDermott misses 2-pt shot from 4 ft,,78-71,,
7:58.0,,,78-71,,Defensive rebound by M. Plumlee
7:47.0,,,78-71,,C. McCollum misses 2-pt shot from 22 ft
7:47.0,Defensive rebound by P. Gasol,,78-71,,
7:25.0,P. Gasol misses 2-pt shot from 3 ft (block by C. McCollum),,78-71,,
7:25.0,Offensive rebound by Team,,78-71,,
7:25.0,Turnover by Team (shot clock),,78-71,,
7:11.0,,,78-71,,D. Lillard misses 2-pt shot from 21 ft
7:09.0,Defensive rebound by T. Gibson,,78-71,,
6:58.0,J. Butler misses 2-pt shot from 18 ft,,78-71,,
6:58.0,,,78-71,,Defensive rebound by E. Davis
6:50.0,,,78-73,2,D. Lillard makes 2-pt shot at rim
6:50.0,,,78-73,,Shooting foul by T. Gibson (drawn by D. Lillard)
6:50.0,D. Rose enters the game for K. Hinrich,,78-73,,
6:50.0,N. Mirotic enters the game for T. Gibson,,78-73,,
6:50.0,,,78-74,1,D. Lillard makes free throw 1 of 1
6:33.0,P. Gasol misses 2-pt shot from 11 ft,,78-74,,
6:32.0,,,78-74,,Defensive rebound by E. Davis
6:21.0,,,78-74,,D. Lillard misses 2-pt shot from 5 ft
6:21.0,,,78-74,,Offensive rebound by E. Davis
6:21.0,,,78-76,2,E. Davis makes 2-pt shot from 1 ft
6:21.0,Chicago full timeout,,78-76,,
6:21.0,K. Hinrich enters the game for D. McDermott,,78-76,,
6:09.0,,,78-76,,Personal foul by M. Plumlee (drawn by J. Butler)
5:59.0,J. Butler misses 2-pt shot from 1 ft,,78-76,,
5:58.0,,,78-76,,Defensive rebound by E. Davis
5:47.0,,,78-76,,D. Lillard misses 2-pt shot from 21 ft
5:47.0,Defensive rebound by P. Gasol,,78-76,,
5:36.0,D. Rose misses 2-pt shot from 2 ft,,78-76,,
5:35.0,Offensive rebound by P. Gasol,,78-76,,
5:19.0,N. Mirotic misses 2-pt shot from 1 ft (block by E. Davis),,78-76,,
5:17.0,,,78-76,,Defensive rebound by C. McCollum
5:15.0,,,78-76,,A. Crabbe misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by D. Rose,,78-76,,
4:58.0,P. Gasol makes 2-pt shot from 19 ft,2,80-76,,
4:33.0,,,80-79,3,C. McCollum makes 3-pt shot from 25 ft (assist by E. Davis)
