time,Chicago,pts.away,score,pts.home,Charlotte
7:03.0,,,56-81,2,M. Williams makes 2-pt shot at rim
6:46.0,D. Rose misses 3-pt shot from 25 ft,,56-81,,
6:44.0,,,56-81,,Defensive rebound by P. Hairston
6:34.0,,,56-81,,M. Williams misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by P. Gasol,,56-81,,
6:29.0,J. Butler makes 2-pt shot from 11 ft (assist by D. Rose),2,58-81,,
6:29.0,Shooting foul by P. Hairston (drawn by J. Butler),,58-81,,
6:29.0,J. Noah enters the game for N. Mirotic,,58-81,,
6:29.0,,,58-81,,C. Zeller enters the game for M. Williams
6:29.0,J. Butler misses free throw 1 of 1,,58-81,,
6:24.0,,,58-81,,Defensive rebound by C. Zeller
6:06.0,,,58-81,,A. Jefferson misses 2-pt shot from 17 ft
6:02.0,,,58-81,,Offensive rebound by C. Zeller
5:52.0,,,58-81,,N. Batum misses 2-pt shot from 3 ft
5:50.0,Defensive rebound by J. Noah,,58-81,,
5:43.0,Offensive foul by J. Noah,,58-81,,
5:43.0,Turnover by J. Noah (offensive foul),,58-81,,
5:28.0,,,58-81,,Shooting foul by J. Noah (drawn by P. Hairston)
5:28.0,,,58-82,1,P. Hairston makes free throw 1 of 2
5:28.0,D. McDermott enters the game for T. Snell,,58-82,,
5:28.0,,,58-83,1,P. Hairston makes free throw 2 of 2
5:14.0,P. Gasol makes 2-pt shot from 2 ft (assist by D. Rose),2,60-83,,
4:59.0,,,60-83,,K. Walker misses 2-pt shot from 7 ft
4:58.0,Defensive rebound by J. Noah,,60-83,,
4:49.0,D. Rose misses 2-pt shot from 14 ft,,60-83,,
4:47.0,,,60-83,,Defensive rebound by N. Batum
4:40.0,,,60-83,,K. Walker misses 2-pt shot from 1 ft
4:38.0,,,60-83,,Offensive rebound by K. Walker
4:32.0,,,60-83,,Turnover by N. Batum (lost ball)
4:21.0,D. McDermott makes 3-pt shot from 24 ft (assist by J. Noah),3,63-83,,
4:21.0,,,63-83,,Charlotte full timeout
4:21.0,A. Brooks enters the game for D. Rose,,63-83,,
4:21.0,,,63-83,,J. Lamb enters the game for P. Hairston
4:21.0,,,63-83,,S. Hawes enters the game for A. Jefferson
3:57.0,,,63-86,3,J. Lamb makes 3-pt shot from 26 ft
3:43.0,D. McDermott misses 3-pt shot from 25 ft,,63-86,,
3:41.0,,,63-86,,Defensive rebound by C. Zeller
3:32.0,,,63-86,,K. Walker misses 2-pt shot from 16 ft
3:31.0,Defensive rebound by J. Noah,,63-86,,
3:24.0,J. Butler misses 2-pt shot from 13 ft,,63-86,,
3:21.0,,,63-86,,Defensive rebound by C. Zeller
