time,Houston,pts.away,score,pts.home,Phoenix
9:05.0,,,29-31,3,K. Humphries makes 3-pt shot from 24 ft (assist by M. Teletovic)
8:49.0,J. Terry misses 2-pt shot from 16 ft,,29-31,,
8:47.0,,,29-31,,Defensive rebound by K. Humphries
8:37.0,,,29-33,2,S. Weems makes 2-pt shot at rim (assist by R. Price)
8:36.0,Houston full timeout,,29-33,,
8:36.0,,,29-33,,P. Tucker enters the game for K. Humphries
8:36.0,,,29-33,,T. Chandler enters the game for S. Weems
8:36.0,J. Harden enters the game for D. Howard,,29-33,,
8:36.0,C. Capela enters the game for C. Brewer,,29-33,,
8:36.0,P. Beverley enters the game for T. Lawson,,29-33,,
8:24.0,Turnover by T. Ariza (bad pass),,29-33,,
8:14.0,Personal foul by P. Beverley,,29-33,,
8:09.0,,,29-33,,Turnover by M. Teletovic (lost ball; steal by T. Ariza)
7:54.0,J. Harden misses 3-pt shot from 24 ft,,29-33,,
7:52.0,,,29-33,,Defensive rebound by M. Teletovic
7:43.0,,,29-33,,Turnover by A. Goodwin (lost ball; steal by T. Ariza)
7:40.0,T. Ariza makes 2-pt shot at rim (assist by J. Terry),2,31-33,,
7:40.0,Shooting foul by A. Goodwin (drawn by T. Ariza),,31-33,,
7:40.0,,,31-33,,D. Booker enters the game for A. Goodwin
7:40.0,T. Ariza makes free throw 1 of 1,1,32-33,,
7:28.0,,,32-33,,M. Teletovic misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by C. Capela,,32-33,,
7:18.0,T. Ariza misses 3-pt shot from 22 ft,,32-33,,
7:15.0,,,32-33,,Defensive rebound by T. Chandler
7:07.0,,,32-33,,Shooting foul by J. Harden (drawn by M. Teletovic)
7:07.0,,,32-33,,M. Teletovic misses free throw 1 of 2
7:07.0,,,32-33,,Offensive rebound by Team
7:07.0,J. Smith enters the game for J. Terry,,32-33,,
7:07.0,,,32-34,1,M. Teletovic makes free throw 2 of 2
6:47.0,C. Capela misses 2-pt shot from 1 ft,,32-34,,
6:44.0,,,32-34,,Defensive rebound by T. Chandler
6:39.0,,,32-34,,P. Tucker misses 3-pt shot from 22 ft
6:34.0,Defensive rebound by P. Beverley,,32-34,,
6:32.0,,,32-34,,Shooting block foul by R. Price (drawn by P. Beverley)
6:32.0,P. Beverley makes free throw 1 of 2,1,33-34,,
6:32.0,,,33-34,,J. Leuer enters the game for T. Chandler
6:32.0,P. Beverley misses free throw 2 of 2,,33-34,,
6:30.0,,,33-34,,Defensive rebound by J. Leuer
6:18.0,,,33-34,,Shooting foul by C. Capela (drawn by J. Leuer)
6:18.0,,,33-35,1,J. Leuer makes free throw 1 of 2
6:18.0,,,33-36,1,J. Leuer makes free throw 2 of 2
6:03.0,T. Ariza misses 3-pt shot from 25 ft,,33-36,,
6:01.0,Offensive rebound by C. Capela,,33-36,,
5:59.0,C. Capela misses 2-pt shot from 5 ft,,33-36,,
5:58.0,,,33-36,,Defensive rebound by P. Tucker
5:37.0,,,33-36,,P. Tucker misses 3-pt shot from 22 ft
5:35.0,Defensive rebound by C. Capela,,33-36,,
5:28.0,,,33-36,,Personal foul by R. Price
5:28.0,Official timeout,,33-36,,
5:28.0,D. Howard enters the game for C. Capela,,33-36,,
5:28.0,J. Smith misses free throw 1 of 2,,33-36,,
5:28.0,Offensive rebound by Team,,33-36,,
5:28.0,J. Smith misses free throw 2 of 2,,33-36,,
5:27.0,,,33-36,,Defensive rebound by P. Tucker
5:07.0,,,33-36,,Turnover by D. Booker (lost ball; steal by T. Ariza)
5:04.0,T. Ariza makes 2-pt shot at rim,2,35-36,,
4:48.0,,,35-36,,Turnover by R. Price (lost ball; steal by P. Beverley)
4:34.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,37-36,,
4:25.0,,,37-36,,Phoenix full timeout
4:25.0,,,37-36,,A. Goodwin enters the game for R. Price
4:06.0,,,37-36,,Turnover by J. Leuer (lost ball; steal by J. Harden)
4:06.0,,,37-36,,Personal foul by J. Leuer
4:06.0,J. Harden makes free throw 1 of 2,1,38-36,,
4:06.0,,,38-36,,K. Humphries enters the game for J. Leuer
4:06.0,J. Harden makes free throw 2 of 2,1,39-36,,
3:58.0,,,39-36,,A. Goodwin misses 2-pt shot from 1 ft
3:55.0,Defensive rebound by P. Beverley,,39-36,,
3:51.0,J. Harden makes 2-pt shot from 1 ft,2,41-36,,
3:21.0,,,41-36,,D. Booker misses 3-pt shot from 24 ft
3:21.0,,,41-36,,Offensive rebound by Team
3:21.0,,,41-36,,Turnover by Team (shot clock)
3:07.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,43-36,,
2:56.0,Personal foul by J. Harden,,43-36,,
2:44.0,,,43-39,3,D. Booker makes 3-pt shot from 24 ft (assist by A. Goodwin)
2:28.0,J. Smith makes 2-pt shot from 2 ft (assist by J. Harden),2,45-39,,
