time,Oklahoma City,pts.away,score,pts.home,Milwaukee
8:18.0,Defensive rebound by K. Durant,,11-2,,
8:10.0,S. Adams makes 2-pt shot from 6 ft (assist by K. Durant),2,13-2,,
7:59.0,Personal foul by A. Roberson (drawn by K. Middleton),,13-2,,
7:59.0,K. Singler enters the game for A. Roberson,,13-2,,
7:43.0,,,13-2,,G. Antetokounmpo misses 2-pt shot from 5 ft
7:42.0,Defensive rebound by S. Ibaka,,13-2,,
7:27.0,Turnover by S. Ibaka (bad pass; steal by G. Antetokounmpo),,13-2,,
7:21.0,,,13-2,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:18.0,Defensive rebound by S. Ibaka,,13-2,,
7:15.0,K. Singler makes 2-pt shot from 3 ft (assist by K. Durant),2,15-2,,
6:50.0,,,15-2,,Shooting foul by R. Westbrook (drawn by J. Bayless)
6:50.0,,,15-3,1,J. Bayless makes free throw 1 of 2
6:50.0,,,15-3,,G. Monroe enters the game for M. Plumlee
6:50.0,,,15-4,1,J. Bayless makes free throw 2 of 2
6:32.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,17-4,,
6:20.0,,,17-4,,K. Middleton misses 2-pt shot from 6 ft (block by K. Singler)
6:17.0,Defensive rebound by R. Westbrook,,17-4,,
6:15.0,Shooting foul by O. Mayo (drawn by S. Ibaka),,17-4,,
6:15.0,S. Ibaka makes free throw 1 of 2,1,18-4,,
6:15.0,D. Waiters enters the game for K. Durant,,18-4,,
6:15.0,S. Ibaka misses free throw 2 of 2,,18-4,,
6:14.0,,,18-4,,Defensive rebound by G. Antetokounmpo
6:03.0,,,18-4,,Turnover by J. Bayless (bad pass; steal by K. Singler)
5:59.0,K. Singler misses 2-pt shot from 1 ft,,18-4,,
5:57.0,Offensive rebound by R. Westbrook,,18-4,,
5:44.0,D. Waiters misses 3-pt shot from 25 ft,,18-4,,
5:43.0,Offensive rebound by Team,,18-4,,
5:40.0,D. Waiters makes 2-pt shot from 17 ft (assist by R. Westbrook),2,20-4,,
5:24.0,,,20-4,,K. Middleton misses 2-pt shot from 17 ft
5:22.0,Defensive rebound by D. Waiters,,20-4,,
5:08.0,S. Adams makes 2-pt shot from 9 ft (assist by R. Westbrook),2,22-4,,
5:07.0,,,22-4,,Milwaukee full timeout
5:07.0,,,22-4,,R. Vaughn enters the game for O. Mayo
4:44.0,,,22-4,,K. Middleton misses 3-pt shot from 26 ft
4:42.0,,,22-4,,Offensive rebound by G. Antetokounmpo
4:20.0,,,22-4,,G. Antetokounmpo misses 3-pt shot from 23 ft
4:19.0,Defensive rebound by S. Adams,,22-4,,
4:10.0,S. Adams misses 2-pt shot from 5 ft,,22-4,,
4:09.0,,,22-4,,Defensive rebound by G. Antetokounmpo
4:05.0,,,22-6,2,G. Antetokounmpo makes 2-pt shot at rim
4:05.0,,,22-6,,Shooting foul by S. Ibaka (drawn by G. Antetokounmpo)
4:05.0,,,22-7,1,G. Antetokounmpo makes free throw 1 of 1
3:56.0,Shooting foul by K. Middleton (drawn by R. Westbrook),,22-7,,
3:56.0,R. Westbrook misses free throw 1 of 2,,22-7,,
3:56.0,Offensive rebound by Team,,22-7,,
3:56.0,R. Westbrook makes free throw 2 of 2,1,23-7,,
3:34.0,Shooting block foul by S. Adams (drawn by J. Bayless),,23-7,,
3:34.0,,,23-8,1,J. Bayless makes free throw 1 of 2
3:34.0,,,23-9,1,J. Bayless makes free throw 2 of 2
3:24.0,S. Ibaka makes 2-pt shot from 20 ft (assist by R. Westbrook),2,25-9,,
3:10.0,,,25-9,,G. Monroe misses 2-pt shot from 17 ft
3:08.0,Defensive rebound by D. Waiters,,25-9,,
2:56.0,S. Ibaka misses 2-pt shot from 8 ft,,25-9,,
2:54.0,,,25-9,,Defensive rebound by G. Antetokounmpo
2:42.0,,,25-9,,K. Middleton misses 2-pt shot from 10 ft
2:40.0,Defensive rebound by R. Westbrook,,25-9,,
2:36.0,Turnover by R. Westbrook (bad pass; steal by K. Middleton),,25-9,,
2:31.0,,,25-9,,Turnover by G. Antetokounmpo (bad pass)
2:31.0,R. Foye enters the game for S. Ibaka,,25-9,,
2:31.0,K. Durant enters the game for S. Adams,,25-9,,
2:31.0,E. Kanter enters the game for R. Westbrook,,25-9,,
2:14.0,K. Singler misses 2-pt shot from 9 ft,,25-9,,
2:12.0,,,25-9,,Defensive rebound by J. Bayless
1:54.0,,,25-9,,G. Antetokounmpo misses 2-pt shot from 22 ft
1:53.0,Defensive rebound by E. Kanter,,25-9,,
1:46.0,K. Singler makes 2-pt shot at rim (assist by K. Durant),2,27-9,,
1:31.0,,,27-9,,Shooting foul by K. Singler (drawn by G. Monroe)
1:31.0,,,27-9,,G. Monroe misses free throw 1 of 2
1:31.0,,,27-9,,Offensive rebound by Team
1:31.0,,,27-9,,T. Ennis enters the game for K. Middleton
1:31.0,,,27-10,1,G. Monroe makes free throw 2 of 2
1:19.0,E. Kanter makes 2-pt shot from 14 ft (assist by K. Durant),2,29-10,,
1:03.0,,,29-10,,G. Monroe misses 2-pt shot from 6 ft
1:01.0,,,29-10,,Offensive rebound by G. Monroe
0:51.0,,,29-10,,T. Ennis misses 2-pt shot from 10 ft (block by E. Kanter)
0:47.0,,,29-10,,Offensive rebound by G. Monroe
0:46.0,,,29-10,,G. Monroe misses 2-pt shot from 2 ft (block by K. Durant)
0:45.0,,,29-10,,Offensive rebound by Team
0:40.0,,,29-10,,R. Vaughn misses 3-pt shot from 24 ft
0:39.0,,,29-10,,Offensive rebound by J. Bayless
0:27.0,,,29-12,2,T. Ennis makes 2-pt shot from 14 ft (assist by G. Antetokounmpo)
0:07.0,Shooting foul by G. Antetokounmpo (drawn by K. Durant),,29-12,,
0:07.0,K. Durant makes free throw 1 of 3,1,30-12,,
0:07.0,K. Durant makes free throw 2 of 3,1,31-12,,
0:07.0,K. Durant makes free throw 3 of 3,1,32-12,,
0:02.0,,,32-12,,T. Ennis misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by E. Kanter,,32-12,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,32-14,2,J. Bayless makes 2-pt shot from 18 ft (assist by G. Monroe)
11:28.0,D. Waiters misses 3-pt shot from 23 ft,,32-14,,
11:28.0,Offensive rebound by E. Kanter,,32-14,,
11:27.0,Turnover by E. Kanter (lost ball; steal by T. Ennis),,32-14,,
11:15.0,,,32-17,3,J. Bayless makes 3-pt shot from 25 ft (assist by J. Parker)
11:15.0,Oklahoma City full timeout,,32-17,,
11:04.0,Turnover by K. Durant (bad pass; steal by G. Monroe),,32-17,,
10:59.0,,,32-17,,T. Ennis misses 3-pt shot from 24 ft
10:56.0,,,32-17,,Offensive rebound by G. Monroe
10:44.0,Personal foul by D. Waiters (drawn by J. Bayless),,32-17,,
10:38.0,,,32-17,,T. Ennis misses 2-pt shot from 4 ft
10:37.0,,,32-17,,Offensive rebound by G. Monroe
10:36.0,,,32-19,2,G. Monroe makes 2-pt shot at rim
10:15.0,K. Durant misses 2-pt shot at rim,,32-19,,
10:14.0,Offensive rebound by E. Kanter,,32-19,,
10:11.0,E. Kanter makes 2-pt shot from 1 ft,2,34-19,,
9:53.0,,,34-19,,R. Vaughn misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by E. Kanter,,34-19,,
9:44.0,Turnover by R. Foye (bad pass),,34-19,,
9:26.0,,,34-21,2,J. Parker makes 2-pt shot from 19 ft (assist by T. Ennis)
9:06.0,K. Durant makes 3-pt shot from 23 ft (assist by D. Waiters),3,37-21,,
8:41.0,,,37-21,,Turnover by J. Bayless (bad pass; steal by K. Durant)
8:38.0,K. Singler makes 2-pt shot at rim (assist by K. Durant),2,39-21,,
8:38.0,Shooting foul by R. Vaughn (drawn by K. Singler),,39-21,,
8:38.0,R. Westbrook enters the game for K. Durant,,39-21,,
8:38.0,K. Singler makes free throw 1 of 1,1,40-21,,
8:29.0,,,40-23,2,J. Parker makes 2-pt shot at rim (assist by T. Ennis)
8:29.0,,,40-23,,Shooting foul by E. Kanter (drawn by J. Parker)
8:29.0,S. Ibaka enters the game for K. Singler,,40-23,,
8:29.0,,,40-23,,J. Parker misses free throw 1 of 1
8:28.0,Defensive rebound by E. Kanter,,40-23,,
8:23.0,R. Westbrook makes 2-pt shot from 2 ft,2,42-23,,
8:23.0,Shooting foul by J. Bayless (drawn by R. Westbrook),,42-23,,
8:23.0,A. Roberson enters the game for R. Foye,,42-23,,
8:23.0,R. Westbrook misses free throw 1 of 1,,42-23,,
8:22.0,,,42-23,,Defensive rebound by J. Parker
8:13.0,,,42-25,2,J. Parker makes 2-pt shot from 1 ft
7:58.0,Turnover by D. Waiters (bad pass; steal by T. Ennis),,42-25,,
7:58.0,Clear path foul by R. Westbrook,,42-25,,
7:58.0,,,42-25,,T. Ennis misses clear path free throw 1 of 2
7:58.0,,,42-25,,Offensive rebound by Team
7:58.0,,,42-26,1,T. Ennis makes clear path free throw 2 of 2
7:47.0,,,42-26,,R. Vaughn misses 2-pt shot from 4 ft (block by D. Waiters)
7:42.0,,,42-26,,Offensive rebound by J. Bayless
7:35.0,Shooting block foul by A. Roberson (drawn by J. Bayless),,42-26,,
7:35.0,,,42-27,1,J. Bayless makes free throw 1 of 2
7:35.0,R. Foye enters the game for A. Roberson,,42-27,,
7:35.0,,,42-28,1,J. Bayless makes free throw 2 of 2
7:18.0,E. Kanter makes 2-pt shot from 11 ft (assist by R. Westbrook),2,44-28,,
7:00.0,,,44-28,,J. Parker misses 2-pt shot from 18 ft
6:59.0,,,44-28,,Offensive rebound by G. Monroe
6:56.0,,,44-30,2,G. Monroe makes 2-pt shot from 1 ft
6:49.0,E. Kanter makes 2-pt shot from 4 ft (assist by R. Westbrook),2,46-30,,
6:49.0,Shooting foul by R. Vaughn (drawn by E. Kanter),,46-30,,
6:49.0,K. Durant enters the game for D. Waiters,,46-30,,
6:49.0,E. Kanter makes free throw 1 of 1,1,47-30,,
6:39.0,,,47-30,,R. Vaughn misses 3-pt shot from 23 ft
6:35.0,Defensive rebound by K. Durant,,47-30,,
6:28.0,R. Foye misses 3-pt shot from 25 ft,,47-30,,
6:27.0,Offensive rebound by E. Kanter,,47-30,,
6:26.0,Shooting foul by G. Monroe (drawn by E. Kanter),,47-30,,
6:26.0,E. Kanter makes free throw 1 of 2,1,48-30,,
6:26.0,,,48-30,,M. Plumlee enters the game for R. Vaughn
6:26.0,,,48-30,,G. Antetokounmpo enters the game for G. Monroe
6:26.0,,,48-30,,O. Mayo enters the game for T. Ennis
6:26.0,E. Kanter makes free throw 2 of 2,1,49-30,,
6:04.0,,,49-32,2,J. Parker makes 2-pt shot from 10 ft (assist by G. Antetokounmpo)
5:48.0,E. Kanter makes 2-pt shot at rim (assist by R. Foye),2,51-32,,
5:32.0,,,51-32,,J. Bayless misses 3-pt shot from 23 ft
5:30.0,Defensive rebound by E. Kanter,,51-32,,
5:25.0,Turnover by R. Westbrook (bad pass),,51-32,,
5:25.0,Official timeout,,51-32,,
5:25.0,S. Adams enters the game for E. Kanter,,51-32,,
5:25.0,,,51-32,,K. Middleton enters the game for J. Bayless
5:09.0,,,51-34,2,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by J. Parker)
4:45.0,R. Foye misses 3-pt shot from 24 ft,,51-34,,
4:43.0,,,51-34,,Defensive rebound by J. Parker
4:37.0,,,51-34,,J. Parker misses 2-pt shot at rim (block by S. Ibaka)
4:34.0,Defensive rebound by K. Durant,,51-34,,
4:24.0,S. Ibaka misses 3-pt shot from 23 ft,,51-34,,
4:22.0,,,51-34,,Defensive rebound by J. Parker
4:19.0,,,51-34,,Shooting foul by S. Adams (drawn by K. Middleton)
4:19.0,,,51-35,1,K. Middleton makes free throw 1 of 2
4:19.0,,,51-36,1,K. Middleton makes free throw 2 of 2
4:04.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Adams),3,54-36,,
3:43.0,,,54-38,2,K. Middleton makes 2-pt shot from 16 ft
3:27.0,S. Adams misses 2-pt shot from 6 ft,,54-38,,
3:26.0,Offensive rebound by S. Adams,,54-38,,
3:23.0,S. Adams misses 2-pt shot at rim,,54-38,,
3:22.0,,,54-38,,Defensive rebound by G. Antetokounmpo
3:19.0,,,54-38,,Shooting foul by R. Foye (drawn by G. Antetokounmpo)
3:19.0,,,54-39,1,G. Antetokounmpo makes free throw 1 of 2
3:19.0,,,54-40,1,G. Antetokounmpo makes free throw 2 of 2
3:08.0,Turnover by R. Westbrook (bad pass; steal by G. Antetokounmpo),,54-40,,
3:03.0,,,54-42,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Parker)
3:01.0,Oklahoma City full timeout,,54-42,,
2:45.0,R. Foye misses 2-pt shot from 8 ft (block by J. Parker),,54-42,,
2:41.0,Offensive rebound by R. Foye,,54-42,,
2:38.0,,,54-42,,Shooting block foul by O. Mayo (drawn by R. Westbrook)
2:38.0,R. Westbrook makes free throw 1 of 2,1,55-42,,
2:38.0,R. Westbrook makes free throw 2 of 2,1,56-42,,
2:34.0,Personal foul by R. Foye (drawn by K. Middleton),,56-42,,
2:34.0,,,56-43,1,K. Middleton makes free throw 1 of 2
2:34.0,,,56-44,1,K. Middleton makes free throw 2 of 2
2:13.0,K. Durant makes 2-pt shot from 14 ft (assist by R. Westbrook),2,58-44,,
1:56.0,,,58-44,,K. Middleton misses 2-pt shot from 9 ft
1:55.0,,,58-44,,Offensive rebound by G. Antetokounmpo
1:54.0,,,58-44,,G. Antetokounmpo misses 2-pt shot at rim
1:53.0,Defensive rebound by S. Ibaka,,58-44,,
1:41.0,S. Adams makes 2-pt shot at rim,2,60-44,,
1:33.0,,,60-46,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
1:16.0,K. Durant misses 2-pt shot at rim (block by M. Plumlee),,60-46,,
1:14.0,Offensive rebound by S. Adams,,60-46,,
1:07.0,K. Singler enters the game for R. Foye,,60-46,,
1:07.0,Turnover by Team (shot clock),,60-46,,
1:02.0,,,60-46,,O. Mayo misses 3-pt shot from 26 ft
1:01.0,Defensive rebound by K. Singler,,60-46,,
0:53.0,Shooting foul by K. Middleton (drawn by K. Durant),,60-46,,
0:53.0,K. Durant makes free throw 1 of 3,1,61-46,,
0:53.0,K. Durant makes free throw 2 of 3,1,62-46,,
0:53.0,E. Kanter enters the game for S. Adams,,62-46,,
0:53.0,K. Durant makes free throw 3 of 3,1,63-46,,
0:43.0,Violation by K. Durant (kicked ball),,63-46,,
0:32.0,,,63-48,2,G. Antetokounmpo makes 2-pt shot from 1 ft
0:27.0,K. Singler misses 2-pt shot from 12 ft,,63-48,,
0:26.0,Offensive rebound by E. Kanter,,63-48,,
0:26.0,Shooting foul by G. Antetokounmpo (drawn by E. Kanter),,63-48,,
0:26.0,E. Kanter misses free throw 1 of 2,,63-48,,
0:26.0,Offensive rebound by Team,,63-48,,
0:26.0,D. Waiters enters the game for R. Westbrook,,63-48,,
0:26.0,E. Kanter makes free throw 2 of 2,1,64-48,,
0:04.0,,,64-48,,K. Middleton misses 2-pt shot from 9 ft
0:03.0,Defensive rebound by E. Kanter,,64-48,,
0:00.0,Turnover by E. Kanter (lost ball; steal by G. Antetokounmpo),,64-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Personal foul by A. Roberson (drawn by G. Antetokounmpo),,64-48,,
11:36.0,,,64-48,,K. Middleton misses 3-pt shot from 26 ft
11:35.0,Defensive rebound by A. Roberson,,64-48,,
11:21.0,Shooting foul by O. Mayo (drawn by S. Adams),,64-48,,
11:21.0,S. Adams misses free throw 1 of 2,,64-48,,
11:21.0,Offensive rebound by Team,,64-48,,
11:21.0,S. Adams makes free throw 2 of 2,1,65-48,,
11:06.0,,,65-50,2,K. Middleton makes 2-pt shot from 17 ft
10:57.0,Shooting foul by M. Plumlee (drawn by S. Adams),,65-50,,
10:57.0,S. Adams makes free throw 1 of 2,1,66-50,,
10:57.0,S. Adams misses free throw 2 of 2,,66-50,,
10:55.0,,,66-50,,Defensive rebound by G. Antetokounmpo
10:41.0,,,66-50,,K. Middleton misses 2-pt shot from 14 ft
10:39.0,Defensive rebound by R. Westbrook,,66-50,,
10:28.0,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook),2,68-50,,
10:18.0,,,68-52,2,J. Parker makes 2-pt shot from 18 ft (assist by G. Antetokounmpo)
10:10.0,,,68-52,,Personal foul by K. Middleton (drawn by K. Durant)
9:58.0,S. Ibaka makes 2-pt shot from 18 ft (assist by S. Adams),2,70-52,,
9:57.0,,,70-52,,Milwaukee full timeout
9:41.0,,,70-52,,G. Antetokounmpo misses 2-pt shot from 6 ft
9:37.0,,,70-52,,Offensive rebound by M. Plumlee
9:37.0,,,70-52,,M. Plumlee misses 2-pt shot from 1 ft
9:37.0,,,70-52,,Offensive rebound by K. Middleton
9:30.0,,,70-52,,K. Middleton misses 2-pt shot from 1 ft
9:28.0,Defensive rebound by A. Roberson,,70-52,,
9:13.0,S. Adams misses 2-pt shot from 1 ft,,70-52,,
9:12.0,Offensive rebound by R. Westbrook,,70-52,,
9:09.0,S. Adams makes 2-pt shot from 12 ft (assist by R. Westbrook),2,72-52,,
8:57.0,,,72-54,2,J. Parker makes 2-pt shot from 20 ft (assist by G. Antetokounmpo)
8:29.0,S. Ibaka misses 2-pt shot from 2 ft,,72-54,,
8:27.0,,,72-54,,Defensive rebound by G. Antetokounmpo
8:22.0,,,72-54,,K. Middleton misses 2-pt shot from 1 ft
8:20.0,,,72-54,,Offensive rebound by M. Plumlee
8:17.0,,,72-54,,J. Parker misses 2-pt shot from 10 ft
8:14.0,Defensive rebound by K. Durant,,72-54,,
7:59.0,Turnover by K. Durant (palming),,72-54,,
7:39.0,,,72-54,,K. Middleton misses 2-pt shot from 3 ft
7:36.0,,,72-54,,Offensive rebound by M. Plumlee
7:36.0,,,72-56,2,M. Plumlee makes 2-pt shot at rim
7:25.0,Turnover by R. Westbrook (bad pass; steal by J. Parker),,72-56,,
7:12.0,,,72-58,2,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by J. Parker)
6:57.0,,,72-58,,Personal foul by G. Antetokounmpo (drawn by R. Westbrook)
6:57.0,K. Singler enters the game for A. Roberson,,72-58,,
6:50.0,S. Adams misses 2-pt shot from 3 ft (block by G. Antetokounmpo),,72-58,,
6:47.0,,,72-58,,Defensive rebound by M. Plumlee
6:42.0,,,72-58,,Turnover by J. Parker (bad pass; steal by R. Westbrook)
6:35.0,K. Durant makes 3-pt shot from 24 ft (assist by S. Adams),3,75-58,,
6:15.0,,,75-58,,J. Parker misses 2-pt shot from 18 ft
6:14.0,Defensive rebound by R. Westbrook,,75-58,,
6:05.0,K. Durant misses 3-pt shot from 24 ft,,75-58,,
6:05.0,Offensive rebound by Team,,75-58,,
6:05.0,,,75-58,,Loose ball foul by O. Mayo (drawn by S. Ibaka)
6:05.0,S. Ibaka makes free throw 1 of 2,1,76-58,,
6:05.0,,,76-58,,G. Monroe enters the game for M. Plumlee
6:05.0,,,76-58,,J. Bayless enters the game for O. Mayo
6:05.0,S. Ibaka misses free throw 2 of 2,,76-58,,
6:04.0,Offensive rebound by S. Adams,,76-58,,
5:58.0,R. Westbrook makes 3-pt shot from 22 ft (assist by S. Adams),3,79-58,,
5:31.0,,,79-60,2,J. Parker makes 2-pt shot from 10 ft (assist by G. Antetokounmpo)
5:22.0,R. Westbrook misses 2-pt shot from 13 ft,,79-60,,
5:21.0,,,79-60,,Defensive rebound by J. Parker
5:05.0,,,79-62,2,G. Antetokounmpo makes 2-pt shot from 17 ft
5:02.0,Oklahoma City full timeout,,79-62,,
5:02.0,E. Kanter enters the game for K. Durant,,79-62,,
5:02.0,D. Waiters enters the game for S. Adams,,79-62,,
4:40.0,R. Westbrook misses 3-pt shot from 26 ft,,79-62,,
4:38.0,,,79-62,,Defensive rebound by G. Monroe
4:28.0,,,79-64,2,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
4:09.0,E. Kanter makes 2-pt shot from 18 ft (assist by D. Waiters),2,81-64,,
3:59.0,Personal foul by R. Westbrook (drawn by J. Bayless),,81-64,,
3:51.0,,,81-64,,Turnover by G. Monroe (traveling)
3:31.0,R. Westbrook misses 3-pt shot from 25 ft,,81-64,,
3:29.0,,,81-64,,Defensive rebound by K. Middleton
3:09.0,,,81-66,2,J. Parker makes 2-pt shot from 17 ft (assist by G. Antetokounmpo)
2:53.0,D. Waiters misses 2-pt shot from 21 ft,,81-66,,
2:51.0,Offensive rebound by Team,,81-66,,
2:51.0,R. Foye enters the game for R. Westbrook,,81-66,,
2:51.0,K. Durant enters the game for S. Ibaka,,81-66,,
2:45.0,Turnover by K. Singler (lost ball; steal by G. Monroe),,81-66,,
2:43.0,,,81-66,,Shooting foul by K. Durant (drawn by J. Parker)
2:43.0,,,81-67,1,J. Parker makes free throw 1 of 2
2:43.0,,,81-68,1,J. Parker makes free throw 2 of 2
2:30.0,E. Kanter misses 2-pt shot from 4 ft,,81-68,,
2:29.0,,,81-68,,Defensive rebound by G. Antetokounmpo
2:13.0,,,81-68,,Shooting foul by R. Foye (drawn by G. Antetokounmpo)
2:13.0,,,81-69,1,G. Antetokounmpo makes free throw 1 of 2
2:13.0,,,81-70,1,G. Antetokounmpo makes free throw 2 of 2
1:57.0,D. Waiters misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,81-70,,
1:57.0,Offensive rebound by Team,,81-70,,
1:54.0,K. Durant makes 2-pt shot from 20 ft (assist by R. Foye),2,83-70,,
1:40.0,,,83-72,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
1:23.0,,,83-72,,Def 3 sec tech foul by J. Parker
1:23.0,K. Durant makes technical free throw,1,84-72,,
1:09.0,E. Kanter misses 3-pt shot from 22 ft,,84-72,,
1:08.0,,,84-72,,Defensive rebound by G. Antetokounmpo
1:04.0,,,84-75,3,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
0:48.0,R. Foye misses 3-pt shot from 22 ft,,84-75,,
0:45.0,,,84-75,,Defensive rebound by K. Middleton
0:39.0,,,84-75,,G. Antetokounmpo misses 2-pt shot from 1 ft
0:37.0,Defensive rebound by K. Durant,,84-75,,
0:33.0,K. Durant misses 3-pt shot from 23 ft,,84-75,,
0:32.0,,,84-75,,Defensive rebound by J. Bayless
0:25.0,,,84-77,2,K. Middleton makes 2-pt shot from 18 ft
0:25.0,Oklahoma City full timeout,,84-77,,
0:08.0,Turnover by K. Durant (lost ball; steal by K. Middleton),,84-77,,
0:04.0,,,84-79,2,K. Middleton makes 2-pt shot at rim (assist by G. Monroe)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,K. Durant misses 2-pt shot from 20 ft,,84-79,,
11:45.0,Offensive rebound by Team,,84-79,,
11:30.0,K. Singler misses 3-pt shot from 23 ft,,84-79,,
11:28.0,,,84-79,,Defensive rebound by J. Bayless
11:23.0,,,84-82,3,K. Middleton makes 3-pt shot from 25 ft (assist by J. Bayless)
11:09.0,R. Westbrook makes 2-pt shot from 3 ft,2,86-82,,
10:46.0,,,86-82,,G. Antetokounmpo misses 2-pt shot from 3 ft
10:45.0,Defensive rebound by E. Kanter,,86-82,,
10:40.0,E. Kanter makes 2-pt shot at rim (assist by K. Durant),2,88-82,,
10:20.0,,,88-82,,G. Monroe misses 2-pt shot at rim (block by R. Westbrook)
10:20.0,,,88-82,,Offensive rebound by Team
10:11.0,,,88-82,,G. Antetokounmpo misses 3-pt shot from 25 ft
10:07.0,,,88-82,,Offensive rebound by G. Monroe
10:07.0,,,88-84,2,G. Monroe makes 2-pt shot at rim
9:48.0,Turnover by R. Westbrook (bad pass; steal by K. Middleton),,88-84,,
9:45.0,,,88-84,,Turnover by K. Middleton (bad pass)
9:30.0,K. Durant misses 3-pt shot from 25 ft,,88-84,,
9:28.0,,,88-84,,Defensive rebound by G. Antetokounmpo
9:16.0,,,88-84,,G. Monroe misses 2-pt shot from 8 ft
9:15.0,Defensive rebound by K. Durant,,88-84,,
9:00.0,K. Durant makes 3-pt shot from 23 ft,3,91-84,,
8:31.0,,,91-84,,J. Parker misses 2-pt shot from 14 ft
8:30.0,Defensive rebound by E. Kanter,,91-84,,
8:21.0,Shooting foul by J. Bayless (drawn by R. Westbrook),,91-84,,
8:21.0,Official timeout,,91-84,,
8:21.0,S. Ibaka enters the game for K. Singler,,91-84,,
8:21.0,S. Adams enters the game for E. Kanter,,91-84,,
8:21.0,R. Westbrook makes free throw 1 of 2,1,92-84,,
8:21.0,R. Westbrook makes free throw 2 of 2,1,93-84,,
8:12.0,,,93-84,,J. Parker misses 2-pt shot from 16 ft
8:10.0,Defensive rebound by K. Durant,,93-84,,
7:50.0,S. Ibaka misses 2-pt shot from 12 ft,,93-84,,
7:49.0,,,93-84,,Defensive rebound by Team
7:31.0,,,93-84,,K. Middleton misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by S. Adams,,93-84,,
7:22.0,D. Waiters misses 2-pt shot at rim,,93-84,,
7:20.0,,,93-84,,Defensive rebound by G. Monroe
