time,Brooklyn,pts.away,score,pts.home,LA Lakers
3:36.0,,,14-17,2,J. Randle makes 2-pt shot at rim (assist by J. Clarkson)
3:19.0,B. Lopez misses 2-pt shot from 7 ft,,14-17,,
3:16.0,,,14-17,,Defensive rebound by J. Randle
3:00.0,,,14-17,,A. Brown misses 2-pt shot from 14 ft
2:57.0,Defensive rebound by B. Bogdanovic,,14-17,,
2:49.0,W. Ellington makes 3-pt shot from 24 ft (assist by D. Sloan),3,17-17,,
2:37.0,Personal foul by B. Lopez (drawn by R. Hibbert),,17-17,,
2:37.0,,,17-17,,LA Lakers full timeout
2:37.0,,,17-17,,N. Young enters the game for A. Brown
2:37.0,,,17-17,,L. Nance enters the game for J. Randle
2:37.0,,,17-17,,B. Bass enters the game for R. Hibbert
2:37.0,S. Larkin enters the game for B. Lopez,,17-17,,
2:37.0,W. Reed enters the game for W. Ellington,,17-17,,
2:37.0,S. Kilpatrick enters the game for D. Sloan,,17-17,,
2:27.0,,,17-17,,B. Bass misses 2-pt shot from 15 ft
2:26.0,Defensive rebound by S. Kilpatrick,,17-17,,
2:12.0,S. Kilpatrick misses 2-pt shot from 4 ft (block by L. Nance),,17-17,,
2:10.0,,,17-17,,Defensive rebound by B. Bass
2:03.0,,,17-17,,N. Young misses 3-pt shot from 23 ft
1:59.0,,,17-17,,Offensive rebound by L. Nance
1:59.0,,,17-19,2,L. Nance makes 2-pt shot from 1 ft
1:48.0,Shooting foul by L. Nance (drawn by T. Young),,17-19,,
1:48.0,T. Young makes free throw 1 of 2,1,18-19,,
1:48.0,M. Brown enters the game for B. Bogdanovic,,18-19,,
1:48.0,T. Young makes free throw 2 of 2,1,19-19,,
1:36.0,,,19-22,3,L. Williams makes 3-pt shot from 25 ft (assist by J. Clarkson)
1:20.0,M. Brown misses 3-pt shot from 23 ft,,19-22,,
1:19.0,,,19-22,,Defensive rebound by J. Clarkson
1:00.0,,,19-24,2,J. Clarkson makes 2-pt shot from 4 ft
0:51.0,S. Larkin misses 2-pt shot from 18 ft,,19-24,,
0:48.0,,,19-24,,Defensive rebound by J. Clarkson
0:40.0,,,19-24,,L. Williams misses 3-pt shot from 23 ft
0:37.0,Defensive rebound by W. Reed,,19-24,,
0:27.0,Turnover by T. Young (bad pass),,19-24,,
0:27.0,T. Robinson enters the game for T. Young,,19-24,,
0:04.0,,,19-24,,B. Bass misses 2-pt shot at rim (block by W. Reed)
0:01.0,Defensive rebound by T. Robinson,,19-24,,
0:00.0,S. Kilpatrick misses 3-pt shot from 25 ft,,19-24,,
0:00.0,Offensive rebound by Team,,19-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,19-24,,Shooting foul by S. Larkin (drawn by J. Clarkson)
11:41.0,,,19-25,1,J. Clarkson makes free throw 1 of 2
11:41.0,,,19-25,,J. Clarkson misses free throw 2 of 2
11:38.0,Defensive rebound by T. Robinson,,19-25,,
11:22.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by S. Larkin),2,21-25,,
11:22.0,,,21-25,,Violation by L. Nance (def goaltending)
11:12.0,,,21-25,,B. Bass misses 2-pt shot from 1 ft (block by W. Reed)
11:10.0,Defensive rebound by M. Brown,,21-25,,
11:07.0,S. Larkin makes 2-pt shot at rim (assist by M. Brown),2,23-25,,
11:07.0,Violation by Team (jump ball),,23-25,,
10:56.0,,,23-25,,Shooting foul by M. Brown (drawn by L. Williams)
10:56.0,,,23-26,1,L. Williams makes free throw 1 of 2
10:56.0,,,23-26,,D. Russell enters the game for J. Clarkson
10:56.0,,,23-26,,L. Williams misses free throw 2 of 2
10:56.0,Defensive rebound by Team,,23-26,,
10:39.0,S. Larkin misses 2-pt shot from 10 ft,,23-26,,
10:38.0,Offensive rebound by W. Reed,,23-26,,
10:34.0,W. Reed makes 2-pt shot from 1 ft,2,25-26,,
10:21.0,,,25-28,2,D. Russell makes 2-pt shot from 15 ft
10:05.0,M. Brown misses 2-pt shot from 16 ft,,25-28,,
10:02.0,,,25-28,,Defensive rebound by B. Bass
9:56.0,,,25-28,,Shooting foul by M. Brown (drawn by L. Williams)
9:56.0,,,25-29,1,L. Williams makes free throw 1 of 2
9:56.0,S. Karasev enters the game for M. Brown,,25-29,,
9:56.0,,,25-30,1,L. Williams makes free throw 2 of 2
9:47.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by S. Larkin),3,28-30,,
9:21.0,,,28-30,,Turnover by L. Williams (traveling)
9:07.0,W. Reed misses 2-pt shot from 2 ft,,28-30,,
9:05.0,,,28-30,,Defensive rebound by L. Nance
8:46.0,,,28-30,,N. Young misses 3-pt shot from 23 ft
8:42.0,Defensive rebound by S. Larkin,,28-30,,
8:30.0,Turnover by S. Karasev (lost ball; steal by N. Young),,28-30,,
8:25.0,,,28-32,2,L. Nance makes 2-pt shot at rim (assist by N. Young)
8:02.0,S. Karasev misses 3-pt shot from 24 ft,,28-32,,
8:01.0,,,28-32,,Defensive rebound by D. Russell
7:57.0,,,28-34,2,D. Russell makes 2-pt shot from 3 ft
7:57.0,Brooklyn full timeout,,28-34,,
7:57.0,,,28-34,,A. Brown enters the game for L. Williams
7:57.0,B. Lopez enters the game for W. Reed,,28-34,,
7:46.0,,,28-34,,Personal foul by N. Young (drawn by S. Karasev)
7:33.0,B. Lopez makes 2-pt shot from 1 ft (assist by S. Larkin),2,30-34,,
7:16.0,,,30-36,2,B. Bass makes 2-pt shot from 15 ft (assist by D. Russell)
7:00.0,S. Larkin makes 2-pt shot at rim (assist by B. Lopez),2,32-36,,
6:41.0,,,32-39,3,D. Russell makes 3-pt shot from 23 ft (assist by A. Brown)
6:19.0,B. Lopez misses 2-pt shot from 8 ft (block by B. Bass),,32-39,,
6:17.0,,,32-39,,Defensive rebound by N. Young
6:04.0,,,32-42,3,D. Russell makes 3-pt shot from 23 ft (assist by L. Nance)
5:45.0,S. Larkin misses 3-pt shot from 24 ft,,32-42,,
5:44.0,,,32-42,,Defensive rebound by L. Nance
5:36.0,,,32-42,,D. Russell misses 3-pt shot from 23 ft
5:35.0,Defensive rebound by T. Robinson,,32-42,,
5:26.0,B. Lopez makes 2-pt shot at rim (assist by T. Robinson),2,34-42,,
5:10.0,,,34-42,,Shooting foul by S. Kilpatrick (drawn by B. Bass)
5:10.0,Official timeout,,34-42,,
5:10.0,B. Bogdanovic enters the game for S. Kilpatrick,,34-42,,
5:10.0,,,34-42,,J. Randle enters the game for L. Nance
5:10.0,,,34-42,,J. Clarkson enters the game for N. Young
5:10.0,,,34-43,1,B. Bass makes free throw 1 of 2
5:10.0,,,34-44,1,B. Bass makes free throw 2 of 2
4:53.0,B. Lopez makes 2-pt shot at rim (assist by S. Larkin),2,36-44,,
4:35.0,Def 3 sec tech foul by T. Robinson,,36-44,,
4:35.0,,,36-44,,D. Russell misses technical free throw
4:35.0,,,36-44,,Offensive rebound by Team
4:35.0,W. Ellington enters the game for S. Karasev,,36-44,,
4:35.0,T. Young enters the game for T. Robinson,,36-44,,
4:35.0,,,36-44,,R. Hibbert enters the game for B. Bass
4:24.0,,,36-46,2,J. Randle makes 2-pt shot from 3 ft
4:11.0,S. Larkin makes 2-pt shot from 11 ft,2,38-46,,
3:52.0,,,38-48,2,J. Clarkson makes 2-pt shot from 1 ft (assist by R. Hibbert)
3:37.0,S. Larkin misses 3-pt shot from 24 ft,,38-48,,
3:36.0,,,38-48,,Defensive rebound by R. Hibbert
3:26.0,,,38-48,,Turnover by D. Russell (bad pass)
3:26.0,D. Sloan enters the game for S. Larkin,,38-48,,
3:09.0,W. Ellington misses 2-pt shot from 13 ft,,38-48,,
3:07.0,,,38-48,,Defensive rebound by J. Randle
2:50.0,,,38-50,2,R. Hibbert makes 2-pt shot from 4 ft
2:34.0,B. Bogdanovic makes 3-pt shot from 23 ft,3,41-50,,
2:17.0,,,41-50,,J. Clarkson misses 2-pt shot from 17 ft
2:13.0,Defensive rebound by T. Young,,41-50,,
2:07.0,T. Young misses 2-pt shot from 4 ft,,41-50,,
2:04.0,,,41-50,,Defensive rebound by J. Randle
1:58.0,,,41-50,,J. Randle misses 2-pt shot from 2 ft
1:54.0,Defensive rebound by D. Sloan,,41-50,,
1:52.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Sloan),2,43-50,,
1:29.0,,,43-50,,D. Russell misses 2-pt shot at rim
1:28.0,,,43-50,,Offensive rebound by R. Hibbert
1:28.0,,,43-52,2,R. Hibbert makes 2-pt shot from 1 ft
1:28.0,Offensive foul by D. Sloan,,43-52,,
1:28.0,Turnover by D. Sloan (offensive foul),,43-52,,
1:28.0,,,43-52,,LA Lakers full timeout
1:10.0,,,43-52,,D. Russell misses 3-pt shot from 24 ft
1:09.0,,,43-52,,Offensive rebound by J. Clarkson
1:00.0,,,43-54,2,J. Clarkson makes 2-pt shot from 3 ft
0:49.0,Shooting foul by A. Brown (drawn by B. Bogdanovic),,43-54,,
0:49.0,B. Bogdanovic makes free throw 1 of 2,1,44-54,,
0:49.0,B. Bogdanovic makes free throw 2 of 2,1,45-54,,
0:39.0,,,45-54,,J. Clarkson misses 2-pt shot from 10 ft
0:39.0,,,45-54,,Offensive rebound by R. Hibbert
0:39.0,,,45-56,2,R. Hibbert makes 2-pt shot at rim
0:33.0,Shooting foul by D. Russell (drawn by D. Sloan),,45-56,,
0:33.0,D. Sloan makes free throw 1 of 2,1,46-56,,
0:33.0,D. Sloan makes free throw 2 of 2,1,47-56,,
0:10.0,,,47-58,2,J. Randle makes 2-pt shot from 5 ft (assist by J. Clarkson)
0:02.0,B. Lopez makes 2-pt shot from 2 ft (assist by D. Sloan),2,49-58,,
0:02.0,Shooting foul by J. Randle (drawn by B. Lopez),,49-58,,
0:02.0,B. Lopez makes free throw 1 of 1,1,50-58,,
0:00.0,,,50-58,,J. Clarkson misses 3-pt shot from 38 ft
0:00.0,,,50-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,50-60,2,A. Brown makes 2-pt shot from 19 ft (assist by R. Hibbert)
11:35.0,,,50-60,,Personal foul by A. Brown (drawn by B. Bogdanovic)
11:26.0,B. Lopez misses 2-pt shot from 8 ft,,50-60,,
11:24.0,,,50-60,,Defensive rebound by A. Brown
11:05.0,,,50-60,,R. Hibbert misses 2-pt shot from 7 ft
11:01.0,Defensive rebound by B. Lopez,,50-60,,
10:56.0,T. Young misses 2-pt shot from 4 ft,,50-60,,
10:54.0,,,50-60,,Defensive rebound by J. Randle
10:44.0,,,50-60,,A. Brown misses 3-pt shot from 24 ft
10:41.0,,,50-60,,Offensive rebound by A. Brown
10:39.0,,,50-60,,A. Brown misses 2-pt shot from 1 ft (block by B. Lopez)
10:39.0,,,50-60,,Offensive rebound by Team
10:31.0,,,50-60,,Turnover by J. Randle (traveling)
10:12.0,D. Sloan misses 2-pt shot from 10 ft,,50-60,,
10:09.0,,,50-60,,Defensive rebound by J. Randle
10:03.0,,,50-60,,J. Randle misses 2-pt shot from 2 ft
10:03.0,Defensive rebound by Team,,50-60,,
9:50.0,,,50-60,,Personal foul by R. Hibbert (drawn by B. Lopez)
9:44.0,W. Ellington makes 2-pt shot at rim (assist by B. Lopez),2,52-60,,
9:25.0,,,52-60,,Turnover by D. Russell (bad pass; steal by D. Sloan)
9:18.0,W. Ellington misses 3-pt shot from 24 ft,,52-60,,
9:15.0,,,52-60,,Defensive rebound by A. Brown
9:13.0,Personal foul by W. Ellington (drawn by A. Brown),,52-60,,
9:06.0,,,52-63,3,D. Russell makes 3-pt shot from 24 ft (assist by J. Randle)
8:51.0,T. Young makes 2-pt shot from 1 ft (assist by D. Sloan),2,54-63,,
8:30.0,,,54-63,,Shooting foul by B. Lopez (drawn by J. Randle)
8:30.0,,,54-65,2,J. Randle makes 2-pt shot from 1 ft
8:30.0,,,54-66,1,J. Randle makes free throw 1 of 1
8:18.0,T. Young misses 2-pt shot from 4 ft,,54-66,,
8:17.0,,,54-66,,Defensive rebound by J. Randle
8:17.0,Personal block foul by T. Young (drawn by J. Randle),,54-66,,
8:07.0,,,54-66,,J. Clarkson misses 2-pt shot from 4 ft
8:04.0,Defensive rebound by T. Young,,54-66,,
8:01.0,B. Bogdanovic makes 2-pt shot from 20 ft (assist by T. Young),2,56-66,,
7:48.0,,,56-66,,J. Clarkson misses 3-pt shot from 24 ft
7:46.0,Defensive rebound by T. Young,,56-66,,
7:34.0,D. Sloan misses 3-pt shot from 23 ft,,56-66,,
7:32.0,,,56-66,,Defensive rebound by J. Randle
7:26.0,,,56-66,,D. Russell misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by T. Young,,56-66,,
7:20.0,Shooting foul by R. Hibbert (drawn by T. Young),,56-66,,
7:20.0,T. Young misses free throw 1 of 2,,56-66,,
7:20.0,Offensive rebound by Team,,56-66,,
7:20.0,T. Young makes free throw 2 of 2,1,57-66,,
6:57.0,,,57-66,,J. Randle misses 2-pt shot from 2 ft (block by B. Bogdanovic)
6:55.0,Defensive rebound by B. Bogdanovic,,57-66,,
6:50.0,D. Sloan makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,59-66,,
6:29.0,,,59-68,2,D. Russell makes 2-pt shot from 1 ft (assist by J. Clarkson)
6:11.0,Turnover by B. Lopez (lost ball; steal by D. Russell),,59-68,,
6:04.0,,,59-71,3,D. Russell makes 3-pt shot from 24 ft (assist by J. Clarkson)
6:04.0,Brooklyn full timeout,,59-71,,
6:04.0,,,59-71,,M. Huertas enters the game for D. Russell
5:40.0,B. Bogdanovic makes 2-pt shot at rim (assist by T. Young),2,61-71,,
5:18.0,,,61-71,,J. Randle misses 2-pt shot from 2 ft
5:17.0,Defensive rebound by T. Young,,61-71,,
5:10.0,Shooting foul by J. Randle (drawn by T. Young),,61-71,,
5:10.0,T. Young makes free throw 1 of 2,1,62-71,,
5:10.0,T. Young makes free throw 2 of 2,1,63-71,,
4:48.0,,,63-71,,A. Brown misses 2-pt shot from 21 ft
4:48.0,,,63-71,,Offensive rebound by Team
4:48.0,Loose ball foul by B. Lopez (drawn by R. Hibbert),,63-71,,
4:33.0,,,63-71,,M. Huertas misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by B. Lopez,,63-71,,
4:19.0,B. Bogdanovic misses 3-pt shot from 22 ft,,63-71,,
4:18.0,,,63-71,,Defensive rebound by J. Clarkson
4:10.0,,,63-73,2,J. Clarkson makes 2-pt shot from 4 ft
3:49.0,T. Young misses 3-pt shot from 24 ft,,63-73,,
3:48.0,Offensive rebound by T. Young,,63-73,,
3:39.0,B. Lopez makes 2-pt shot from 1 ft,2,65-73,,
3:20.0,,,65-73,,R. Hibbert misses 2-pt shot from 4 ft
3:17.0,,,65-73,,Offensive rebound by J. Clarkson
3:02.0,,,65-73,,J. Clarkson misses 2-pt shot from 1 ft
3:00.0,Defensive rebound by T. Young,,65-73,,
3:00.0,Shooting foul by A. Brown (drawn by B. Bogdanovic),,65-73,,
3:00.0,B. Bogdanovic misses free throw 1 of 2,,65-73,,
3:00.0,Offensive rebound by Team,,65-73,,
3:00.0,S. Kilpatrick enters the game for W. Ellington,,65-73,,
3:00.0,,,65-73,,N. Young enters the game for A. Brown
3:00.0,,,65-73,,L. Nance enters the game for J. Randle
3:00.0,,,65-73,,T. Black enters the game for R. Hibbert
3:00.0,B. Bogdanovic makes free throw 2 of 2,1,66-73,,
2:38.0,,,66-73,,L. Nance misses 3-pt shot from 25 ft
2:35.0,Defensive rebound by B. Lopez,,66-73,,
2:20.0,D. Sloan makes 2-pt shot at rim (assist by B. Lopez),2,68-73,,
2:20.0,Shooting foul by M. Huertas (drawn by D. Sloan),,68-73,,
2:20.0,,,68-73,,LA Lakers full timeout
2:20.0,M. Brown enters the game for B. Bogdanovic,,68-73,,
2:20.0,D. Sloan makes free throw 1 of 1,1,69-73,,
1:59.0,,,69-73,,Turnover by T. Black (lost ball; steal by T. Young)
1:42.0,B. Lopez misses 2-pt shot from 6 ft,,69-73,,
1:42.0,Offensive rebound by Team,,69-73,,
1:40.0,B. Lopez makes 2-pt shot from 1 ft (assist by M. Brown),2,71-73,,
1:40.0,Shooting foul by L. Nance (drawn by B. Lopez),,71-73,,
1:40.0,B. Lopez makes free throw 1 of 1,1,72-73,,
1:29.0,,,72-76,3,N. Young makes 3-pt shot from 24 ft (assist by M. Huertas)
1:29.0,,,72-76,,Shooting foul by S. Kilpatrick (drawn by N. Young)
1:29.0,T. Robinson enters the game for T. Young,,72-76,,
1:29.0,,,72-76,,N. Young misses free throw 1 of 1
1:27.0,Defensive rebound by B. Lopez,,72-76,,
1:03.0,T. Robinson misses 2-pt shot from 6 ft,,72-76,,
1:01.0,,,72-76,,Defensive rebound by T. Black
0:49.0,,,72-76,,Offensive foul by N. Young
0:49.0,,,72-76,,Turnover by N. Young (offensive foul)
0:49.0,W. Reed enters the game for B. Lopez,,72-76,,
0:33.0,D. Sloan makes 2-pt shot at rim (assist by T. Robinson),2,74-76,,
0:10.0,,,74-76,,M. Huertas misses 2-pt shot from 15 ft
0:08.0,,,74-76,,Offensive rebound by L. Nance
0:01.0,,,74-79,3,J. Clarkson makes 3-pt shot from 24 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Shooting foul by L. Nance (drawn by W. Reed),,74-79,,
11:45.0,W. Reed misses free throw 1 of 2,,74-79,,
11:45.0,Offensive rebound by Team,,74-79,,
11:45.0,W. Reed misses free throw 2 of 2,,74-79,,
11:44.0,,,74-79,,Defensive rebound by N. Young
11:35.0,Personal foul by T. Robinson (drawn by L. Nance),,74-79,,
11:20.0,,,74-79,,N. Young misses 2-pt shot from 18 ft
11:18.0,Defensive rebound by T. Robinson,,74-79,,
11:03.0,W. Reed makes 2-pt shot at rim (assist by T. Robinson),2,76-79,,
10:47.0,,,76-79,,Turnover by M. Huertas (bad pass; steal by T. Robinson)
10:44.0,Turnover by T. Robinson (bad pass; steal by T. Black),,76-79,,
10:40.0,,,76-79,,Turnover by T. Black (bad pass; steal by T. Robinson)
10:37.0,S. Kilpatrick misses 2-pt shot from 2 ft (block by T. Black),,76-79,,
10:35.0,,,76-79,,Defensive rebound by T. Black
10:32.0,,,76-82,3,D. Russell makes 3-pt shot from 25 ft (assist by M. Huertas)
10:32.0,Brooklyn full timeout,,76-82,,
10:32.0,,,76-82,,B. Bass enters the game for T. Black
10:19.0,S. Larkin misses 2-pt shot from 19 ft,,76-82,,
10:18.0,,,76-82,,Defensive rebound by L. Nance
9:58.0,,,76-82,,Turnover by L. Nance (lost ball; steal by T. Robinson)
9:51.0,M. Brown makes 2-pt shot at rim (assist by T. Robinson),2,78-82,,
9:37.0,,,78-84,2,M. Huertas makes 2-pt shot from 5 ft
9:12.0,W. Reed misses 2-pt shot from 7 ft,,78-84,,
9:11.0,Offensive rebound by Team,,78-84,,
9:11.0,Turnover by Team (shot clock),,78-84,,
8:57.0,,,78-84,,Turnover by D. Russell (bad pass; steal by S. Larkin)
8:50.0,W. Reed misses 2-pt shot from 1 ft,,78-84,,
8:47.0,Offensive rebound by T. Robinson,,78-84,,
8:45.0,T. Robinson misses 2-pt shot from 1 ft,,78-84,,
8:44.0,,,78-84,,Defensive rebound by B. Bass
8:37.0,,,78-86,2,L. Nance makes 2-pt shot at rim (assist by M. Huertas)
8:11.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by M. Brown),3,81-86,,
7:57.0,,,81-88,2,D. Russell makes 2-pt shot from 1 ft (assist by M. Huertas)
7:35.0,S. Kilpatrick misses 2-pt shot from 2 ft,,81-88,,
7:34.0,Offensive rebound by W. Reed,,81-88,,
7:34.0,W. Reed misses 2-pt shot at rim,,81-88,,
7:34.0,Offensive rebound by W. Reed,,81-88,,
7:34.0,Shooting foul by L. Nance (drawn by W. Reed),,81-88,,
7:34.0,Official timeout,,81-88,,
7:34.0,,,81-88,,J. Randle enters the game for L. Nance
7:34.0,T. Young enters the game for T. Robinson,,81-88,,
7:34.0,W. Reed misses free throw 1 of 2,,81-88,,
7:34.0,Offensive rebound by Team,,81-88,,
7:34.0,W. Reed misses free throw 2 of 2,,81-88,,
7:32.0,,,81-88,,Defensive rebound by D. Russell
7:14.0,,,81-90,2,J. Randle makes 2-pt shot from 5 ft (assist by D. Russell)
6:54.0,T. Young misses 2-pt shot from 3 ft,,81-90,,
6:51.0,Offensive rebound by T. Young,,81-90,,
6:49.0,T. Young misses 2-pt shot from 3 ft,,81-90,,
6:48.0,Offensive rebound by W. Reed,,81-90,,
6:48.0,,,81-90,,Personal foul by B. Bass (drawn by W. Reed)
6:48.0,B. Lopez enters the game for W. Reed,,81-90,,
6:39.0,B. Lopez makes 2-pt shot at rim,2,83-90,,
6:19.0,,,83-90,,B. Bass misses 2-pt shot from 12 ft
6:17.0,Defensive rebound by T. Young,,83-90,,
5:59.0,Shooting foul by B. Bass (drawn by B. Lopez),,83-90,,
5:59.0,,,83-90,,LA Lakers full timeout
5:59.0,B. Bogdanovic enters the game for S. Kilpatrick,,83-90,,
5:59.0,B. Lopez misses free throw 1 of 2,,83-90,,
5:59.0,Offensive rebound by Team,,83-90,,
5:59.0,B. Lopez makes free throw 2 of 2,1,84-90,,
5:45.0,,,84-90,,N. Young misses 3-pt shot from 23 ft
5:44.0,,,84-90,,Offensive rebound by D. Russell
5:27.0,,,84-90,,Shooting foul by B. Lopez (drawn by D. Russell)
5:27.0,,,84-91,1,D. Russell makes free throw 1 of 2
5:27.0,,,84-91,,R. Hibbert enters the game for B. Bass
5:27.0,,,84-91,,D. Russell misses free throw 2 of 2
5:25.0,Defensive rebound by B. Lopez,,84-91,,
5:13.0,Shooting foul by R. Hibbert (drawn by B. Lopez),,84-91,,
5:13.0,B. Lopez makes free throw 1 of 2,1,85-91,,
5:13.0,D. Sloan enters the game for S. Larkin,,85-91,,
5:13.0,W. Ellington enters the game for M. Brown,,85-91,,
5:13.0,B. Lopez misses free throw 2 of 2,,85-91,,
5:11.0,,,85-91,,Defensive rebound by J. Randle
4:57.0,,,85-93,2,R. Hibbert makes 2-pt shot from 6 ft (assist by M. Huertas)
4:38.0,B. Bogdanovic misses 3-pt shot from 24 ft,,85-93,,
4:36.0,,,85-93,,Defensive rebound by D. Russell
4:26.0,,,85-93,,D. Russell misses 2-pt shot from 15 ft
4:23.0,Defensive rebound by B. Bogdanovic,,85-93,,
4:12.0,B. Bogdanovic makes 2-pt shot from 19 ft (assist by B. Lopez),2,87-93,,
4:05.0,,,87-93,,LA Lakers full timeout
4:05.0,,,87-93,,J. Clarkson enters the game for M. Huertas
3:51.0,,,87-95,2,D. Russell makes 2-pt shot from 4 ft
3:34.0,B. Lopez misses 2-pt shot from 2 ft,,87-95,,
3:33.0,,,87-95,,Defensive rebound by J. Randle
3:25.0,Personal foul by B. Lopez (drawn by R. Hibbert),,87-95,,
3:13.0,,,87-95,,D. Russell misses 3-pt shot from 24 ft
3:11.0,Defensive rebound by B. Bogdanovic,,87-95,,
3:04.0,D. Sloan misses 2-pt shot from 19 ft,,87-95,,
3:03.0,Offensive rebound by B. Lopez,,87-95,,
3:03.0,B. Lopez misses 2-pt shot from 2 ft,,87-95,,
3:03.0,Offensive rebound by Team,,87-95,,
3:03.0,,,87-95,,Loose ball foul by R. Hibbert (drawn by B. Lopez)
3:03.0,B. Lopez makes free throw 1 of 2,1,88-95,,
3:03.0,B. Lopez misses free throw 2 of 2,,88-95,,
3:02.0,Offensive rebound by B. Lopez,,88-95,,
2:59.0,B. Lopez makes 2-pt shot at rim,2,90-95,,
2:43.0,Personal foul by B. Lopez,,90-95,,
