time,Dallas,pts.away,score,pts.home,Brooklyn
2:08.0,R. Felton misses 2-pt shot from 8 ft,,75-83,,
2:06.0,,,75-83,,Defensive rebound by A. Bargnani
1:58.0,,,75-83,,Brooklyn full timeout
1:58.0,J. Jenkins enters the game for R. Felton,,75-83,,
1:48.0,,,75-85,2,S. Larkin makes 2-pt shot from 18 ft (assist by J. Jack)
1:35.0,C. Parsons makes 2-pt shot from 1 ft (assist by J. Barea),2,77-85,,
1:22.0,,,77-85,,A. Bargnani misses 2-pt shot from 18 ft
1:20.0,Defensive rebound by D. Nowitzki,,77-85,,
1:09.0,J. Jenkins makes 2-pt shot from 1 ft (assist by J. Barea),2,79-85,,
0:40.0,,,79-85,,J. Johnson misses 2-pt shot from 17 ft
0:39.0,,,79-85,,Offensive rebound by Team
0:39.0,Loose ball foul by D. Powell (drawn by T. Young),,79-85,,
0:39.0,,,79-85,,W. Ellington enters the game for J. Johnson
0:36.0,,,79-87,2,T. Young makes 2-pt shot from 2 ft (assist by S. Larkin)
0:28.0,Offensive charge foul by C. Parsons,,79-87,,
0:28.0,Turnover by C. Parsons (offensive foul),,79-87,,
0:28.0,W. Matthews enters the game for C. Parsons,,79-87,,
0:11.0,,,79-87,,J. Jack misses 3-pt shot from 24 ft
0:10.0,Defensive rebound by Team,,79-87,,
0:10.0,,,79-87,,Loose ball foul by A. Bargnani (drawn by D. Nowitzki)
0:01.0,J. Barea makes 2-pt shot from 20 ft,2,81-87,,
0:00.0,,,81-87,,A. Bargnani misses 3-pt shot from 76 ft
0:00.0,,,81-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,81-87,,Turnover by A. Bargnani (bad pass; steal by J. Jenkins)
11:37.0,,,81-87,,Loose ball foul by A. Bargnani (drawn by D. Powell)
11:22.0,J. Jenkins misses 2-pt shot from 10 ft,,81-87,,
11:21.0,,,81-87,,Defensive rebound by W. Ellington
11:15.0,,,81-90,3,S. Larkin makes 3-pt shot from 24 ft (assist by W. Ellington)
10:56.0,W. Matthews misses 3-pt shot from 26 ft,,81-90,,
10:55.0,,,81-90,,Defensive rebound by A. Bargnani
10:45.0,,,81-92,2,A. Bargnani makes 2-pt shot from 18 ft (assist by J. Jack)
10:34.0,J. Barea misses 2-pt shot from 2 ft,,81-92,,
10:32.0,Offensive rebound by J. Jenkins,,81-92,,
10:22.0,J. Jenkins misses 3-pt shot from 25 ft,,81-92,,
10:21.0,,,81-92,,Defensive rebound by W. Reed
10:21.0,Loose ball foul by D. Powell (drawn by W. Reed),,81-92,,
10:21.0,C. Villanueva enters the game for D. Powell,,81-92,,
10:12.0,,,81-92,,A. Bargnani misses 2-pt shot from 18 ft
10:11.0,Defensive rebound by Team,,81-92,,
10:02.0,Shooting foul by A. Bargnani (drawn by D. Nowitzki),,81-92,,
10:02.0,D. Nowitzki makes free throw 1 of 2,1,82-92,,
10:02.0,C. Parsons enters the game for J. Jenkins,,82-92,,
10:02.0,,,82-92,,B. Lopez enters the game for W. Reed
10:02.0,D. Nowitzki makes free throw 2 of 2,1,83-92,,
9:43.0,,,83-92,,J. Jack misses 2-pt shot from 21 ft
9:41.0,Defensive rebound by D. Nowitzki,,83-92,,
9:32.0,C. Parsons makes 2-pt shot from 12 ft,2,85-92,,
9:18.0,,,85-92,,J. Jack misses 3-pt shot from 22 ft
9:17.0,Defensive rebound by C. Parsons,,85-92,,
9:12.0,J. Barea makes 2-pt shot from 17 ft (assist by C. Parsons),2,87-92,,
8:55.0,,,87-94,2,A. Bargnani makes 2-pt shot from 2 ft (assist by J. Jack)
8:43.0,J. Barea misses 2-pt shot from 1 ft (block by B. Lopez),,87-94,,
8:41.0,,,87-94,,Defensive rebound by J. Jack
8:32.0,,,87-94,,B. Lopez misses 2-pt shot from 8 ft
8:31.0,,,87-94,,Offensive rebound by A. Bargnani
8:28.0,,,87-94,,Turnover by A. Bargnani (lost ball; steal by C. Villanueva)
8:09.0,W. Matthews misses 3-pt shot from 22 ft,,87-94,,
8:08.0,,,87-94,,Defensive rebound by A. Bargnani
7:56.0,,,87-94,,B. Lopez misses 2-pt shot from 12 ft
7:55.0,Defensive rebound by D. Nowitzki,,87-94,,
7:54.0,,,87-94,,Personal foul by J. Jack (drawn by C. Parsons)
7:54.0,Official timeout,,87-94,,
7:54.0,,,87-94,,J. Johnson enters the game for J. Jack
7:32.0,W. Matthews makes 2-pt shot from 17 ft,2,89-94,,
7:16.0,,,89-96,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Johnson)
7:02.0,W. Matthews makes 3-pt shot from 23 ft (assist by C. Parsons),3,92-96,,
6:39.0,,,92-96,,J. Johnson misses 3-pt shot from 28 ft
6:37.0,Defensive rebound by Team,,92-96,,
6:28.0,C. Villanueva makes 3-pt shot from 26 ft (assist by J. Barea),3,95-96,,
6:13.0,,,95-96,,W. Ellington misses 2-pt shot from 19 ft
6:12.0,Defensive rebound by C. Parsons,,95-96,,
6:12.0,,,95-96,,Personal foul by A. Bargnani (drawn by C. Parsons)
6:12.0,,,95-96,,T. Young enters the game for B. Lopez
6:12.0,,,95-96,,J. Jack enters the game for W. Ellington
5:53.0,C. Villanueva misses 3-pt shot from 24 ft,,95-96,,
5:52.0,,,95-96,,Defensive rebound by J. Johnson
5:36.0,,,95-96,,J. Johnson misses 2-pt shot from 19 ft
5:35.0,,,95-96,,Offensive rebound by T. Young
5:34.0,Personal foul by C. Villanueva (drawn by T. Young),,95-96,,
5:34.0,,,95-96,,Brooklyn full timeout
5:34.0,,,95-96,,B. Bogdanovic enters the game for A. Bargnani
5:34.0,Z. Pachulia enters the game for D. Nowitzki,,95-96,,
5:19.0,,,95-98,2,S. Larkin makes 2-pt shot from 9 ft
5:06.0,C. Villanueva makes 2-pt shot from 2 ft (assist by C. Parsons),2,97-98,,
4:49.0,,,97-98,,T. Young misses 2-pt shot from 7 ft
4:48.0,Defensive rebound by W. Matthews,,97-98,,
4:30.0,J. Barea makes 2-pt shot from 9 ft,2,99-98,,
4:30.0,,,99-98,,Brooklyn full timeout
4:30.0,,,99-98,,B. Lopez enters the game for B. Bogdanovic
4:20.0,,,99-98,,Turnover by J. Johnson (traveling)
4:06.0,C. Parsons misses 3-pt shot from 25 ft,,99-98,,
4:05.0,,,99-98,,Defensive rebound by Team
3:54.0,,,99-98,,J. Johnson misses 3-pt shot from 24 ft
3:53.0,Defensive rebound by C. Villanueva,,99-98,,
3:47.0,C. Parsons makes 2-pt shot from 2 ft (assist by J. Barea),2,101-98,,
3:26.0,,,101-100,2,T. Young makes 2-pt shot at rim
3:08.0,C. Villanueva makes 2-pt shot from 14 ft,2,103-100,,
2:48.0,,,103-100,,Turnover by T. Young (lost ball; steal by J. Barea)
2:41.0,Dallas full timeout,,103-100,,
2:41.0,D. Nowitzki enters the game for Z. Pachulia,,103-100,,
2:23.0,C. Villanueva misses 2-pt shot from 15 ft,,103-100,,
2:20.0,,,103-100,,Defensive rebound by B. Lopez
2:10.0,,,103-102,2,T. Young makes 2-pt shot from 1 ft (assist by J. Jack)
2:10.0,,,103-102,,Shooting foul by C. Villanueva (drawn by T. Young)
2:10.0,,,103-102,,T. Young misses free throw 1 of 1
2:09.0,,,103-102,,Offensive rebound by B. Lopez
2:03.0,,,103-105,3,J. Johnson makes 3-pt shot from 24 ft (assist by B. Lopez)
1:48.0,J. Barea misses 3-pt shot from 24 ft,,103-105,,
1:47.0,,,103-105,,Defensive rebound by J. Johnson
1:34.0,,,103-105,,B. Lopez misses 2-pt shot from 5 ft
1:33.0,Defensive rebound by W. Matthews,,103-105,,
1:26.0,,,103-105,,Personal foul by B. Lopez (drawn by D. Nowitzki)
1:26.0,D. Nowitzki makes free throw 1 of 2,1,104-105,,
1:26.0,Z. Pachulia enters the game for C. Villanueva,,104-105,,
1:26.0,D. Nowitzki makes free throw 2 of 2,1,105-105,,
