time,Houston,pts.away,score,pts.home,Cleveland
8:13.0,Offensive rebound by Team,,80-89,,
8:13.0,Turnover by Team (shot clock),,80-89,,
7:48.0,,,80-89,,J. Smith misses 3-pt shot from 27 ft
7:48.0,Defensive rebound by C. Capela,,80-89,,
7:33.0,J. Harden misses 3-pt shot from 26 ft,,80-89,,
7:32.0,,,80-89,,Defensive rebound by T. Thompson
7:19.0,,,80-89,,Turnover by T. Thompson (lost ball; steal by C. Brewer)
7:16.0,Shooting foul by M. Dellavedova (drawn by C. Brewer),,80-89,,
7:16.0,C. Brewer makes free throw 1 of 2,1,81-89,,
7:16.0,,,81-89,,K. Irving enters the game for R. Jefferson
7:16.0,T. Ariza enters the game for C. Capela,,81-89,,
7:16.0,D. Howard enters the game for K. McDaniels,,81-89,,
7:16.0,C. Brewer misses free throw 2 of 2,,81-89,,
7:14.0,Offensive rebound by Team,,81-89,,
7:14.0,,,81-89,,Violation by M. Dellavedova (kicked ball)
7:14.0,M. Beasley enters the game for C. Brewer,,81-89,,
6:57.0,M. Beasley makes 2-pt shot from 9 ft (assist by P. Beverley),2,83-89,,
