time,Washington,pts.away,score,pts.home,New Orleans
2:13.0,Defensive rebound by J. Wall,,19-20,,
2:05.0,J. Wall makes 2-pt shot from 11 ft,2,21-20,,
1:49.0,,,21-22,2,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday)
1:34.0,Shooting foul by E. Gordon (drawn by R. Sessions),,21-22,,
1:34.0,R. Sessions makes free throw 1 of 2,1,22-22,,
1:34.0,K. Oubre enters the game for J. Wall,,22-22,,
1:34.0,,,22-22,,N. Cole enters the game for A. Gee
1:34.0,R. Sessions makes free throw 2 of 2,1,23-22,,
1:22.0,,,23-24,2,A. Davis makes 2-pt shot from 21 ft (assist by N. Cole)
1:05.0,M. Gortat misses 2-pt shot from 10 ft,,23-24,,
1:05.0,,,23-24,,Defensive rebound by Team
1:05.0,Loose ball foul by K. Oubre (drawn by A. Davis),,23-24,,
1:05.0,R. Hollins enters the game for M. Gortat,,23-24,,
0:58.0,,,23-26,2,N. Cole makes 2-pt shot from 21 ft
0:45.0,R. Sessions makes 2-pt shot from 1 ft,2,25-26,,
0:45.0,,,25-26,,Violation by A. Ajinca (def goaltending)
0:27.0,,,25-26,,A. Ajinca misses 2-pt shot from 18 ft
0:26.0,Defensive rebound by Team,,25-26,,
0:25.0,J. Wall enters the game for K. Oubre,,25-26,,
0:03.0,R. Sessions makes 2-pt shot from 18 ft (assist by J. Wall),2,27-26,,
0:00.0,,,27-29,3,J. Holiday makes 3-pt shot from 44 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-29,,A. Ajinca misses 2-pt shot from 16 ft
11:38.0,,,27-29,,Offensive rebound by A. Davis
11:36.0,,,27-31,2,A. Davis makes 2-pt shot from 1 ft
11:15.0,R. Sessions misses 2-pt shot from 14 ft,,27-31,,
11:14.0,,,27-31,,Defensive rebound by A. Ajinca
11:08.0,,,27-33,2,N. Cole makes 2-pt shot from 19 ft (assist by J. Holiday)
10:44.0,R. Sessions misses 3-pt shot from 25 ft,,27-33,,
10:43.0,,,27-33,,Defensive rebound by I. Smith
10:35.0,,,27-33,,A. Ajinca misses 2-pt shot from 8 ft
10:34.0,,,27-33,,Offensive rebound by A. Ajinca
10:31.0,,,27-35,2,A. Ajinca makes 2-pt shot from 12 ft
10:08.0,R. Hollins makes 2-pt shot from 9 ft (assist by J. Dudley),2,29-35,,
9:58.0,,,29-38,3,J. Holiday makes 3-pt shot from 25 ft
9:30.0,Turnover by Team (shot clock),,29-38,,
9:30.0,,,29-38,,D. Cunningham enters the game for A. Davis
9:15.0,,,29-38,,Shooting foul by K. Oubre (drawn by A. Ajinca)
9:15.0,,,29-38,,A. Ajinca misses free throw 1 of 2
9:15.0,,,29-38,,Offensive rebound by Team
9:15.0,,,29-39,1,A. Ajinca makes free throw 2 of 2
8:59.0,G. Neal misses 2-pt shot from 20 ft,,29-39,,
8:58.0,,,29-39,,Defensive rebound by N. Cole
8:48.0,,,29-39,,A. Ajinca misses 2-pt shot from 7 ft
8:47.0,Defensive rebound by J. Dudley,,29-39,,
8:41.0,R. Sessions makes 2-pt shot from 2 ft,2,31-39,,
8:34.0,,,31-42,3,J. Holiday makes 3-pt shot from 25 ft (assist by N. Cole)
8:13.0,G. Neal makes 2-pt shot from 7 ft (assist by K. Oubre),2,33-42,,
8:01.0,,,33-44,2,J. Holiday makes 2-pt shot from 12 ft
7:52.0,,,33-44,,Personal take foul by I. Smith (drawn by R. Sessions)
7:52.0,Official timeout,,33-44,,
7:52.0,M. Gortat enters the game for R. Hollins,,33-44,,
7:52.0,,,33-44,,O. Asik enters the game for A. Ajinca
7:39.0,Shooting foul by J. Holiday (drawn by G. Neal),,33-44,,
7:39.0,G. Neal makes free throw 1 of 2,1,34-44,,
7:39.0,G. Neal makes free throw 2 of 2,1,35-44,,
7:30.0,,,35-44,,Turnover by J. Holiday (bad pass)
7:30.0,,,35-44,,T. Evans enters the game for I. Smith
7:13.0,G. Neal misses 3-pt shot from 26 ft,,35-44,,
7:12.0,,,35-44,,Defensive rebound by T. Evans
7:00.0,,,35-44,,N. Cole misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by Team,,35-44,,
6:59.0,J. Wall enters the game for R. Sessions,,35-44,,
6:59.0,G. Temple enters the game for G. Neal,,35-44,,
6:56.0,Jump ball: D. Cunningham vs. M. Gortat (J. Wall gains possession),,,,Jump ball: D. Cunningham vs. M. Gortat (J. Wall gains possession)
6:37.0,Turnover by J. Wall (bad pass; steal by D. Cunningham),,35-44,,
6:32.0,,,35-44,,N. Cole misses 2-pt shot from 19 ft
6:31.0,Defensive rebound by Team,,35-44,,
6:15.0,J. Wall makes 2-pt shot from 5 ft,2,37-44,,
6:02.0,,,37-44,,J. Holiday misses 2-pt shot from 18 ft
6:01.0,Defensive rebound by M. Gortat,,37-44,,
5:50.0,Turnover by J. Wall (bad pass; steal by D. Cunningham),,37-44,,
5:38.0,,,37-44,,Turnover by O. Asik (lost ball; steal by J. Dudley)
5:24.0,,,37-44,,Violation by O. Asik (kicked ball)
5:24.0,,,37-44,,New Orleans full timeout
5:24.0,R. Sessions enters the game for K. Oubre,,37-44,,
5:24.0,,,37-44,,A. Ajinca enters the game for O. Asik
5:24.0,,,37-44,,E. Gordon enters the game for N. Cole
5:14.0,J. Wall makes 2-pt shot from 12 ft,2,39-44,,
4:55.0,,,39-46,2,T. Evans makes 2-pt shot from 19 ft
4:46.0,,,39-46,,Personal foul by A. Ajinca (drawn by J. Wall)
4:31.0,G. Temple makes 2-pt shot from 9 ft (assist by R. Sessions),2,41-46,,
4:28.0,,,41-46,,Turnover by T. Evans (discontinued dribble)
4:16.0,R. Sessions misses 2-pt shot from 2 ft,,41-46,,
4:15.0,,,41-46,,Defensive rebound by A. Ajinca
4:09.0,,,41-48,2,T. Evans makes 2-pt shot at rim
3:52.0,G. Temple makes 3-pt shot from 23 ft (assist by J. Wall),3,44-48,,
3:42.0,Personal foul by G. Temple (drawn by T. Evans),,44-48,,
3:42.0,O. Porter enters the game for R. Sessions,,44-48,,
3:42.0,,,44-48,,A. Davis enters the game for A. Ajinca
3:42.0,,,44-48,,N. Cole enters the game for J. Holiday
3:34.0,Personal foul by J. Dudley (drawn by N. Cole),,44-48,,
3:26.0,,,44-50,2,T. Evans makes 2-pt shot from 19 ft
3:13.0,G. Temple makes 3-pt shot from 25 ft (assist by J. Wall),3,47-50,,
2:59.0,,,47-50,,New Orleans full timeout
2:59.0,Washington full timeout,,47-50,,
2:46.0,,,47-50,,D. Cunningham misses 2-pt shot from 14 ft
2:45.0,Defensive rebound by M. Gortat,,47-50,,
2:35.0,,,47-50,,Personal foul by N. Cole (drawn by M. Gortat)
2:24.0,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall),2,49-50,,
2:04.0,,,49-50,,E. Gordon misses 3-pt shot from 25 ft
2:03.0,,,49-50,,Offensive rebound by A. Davis
2:00.0,,,49-50,,Turnover by A. Davis (lost ball; steal by G. Temple)
1:55.0,Shooting foul by D. Cunningham (drawn by J. Wall),,49-50,,
1:55.0,J. Wall makes free throw 1 of 2,1,50-50,,
1:55.0,R. Sessions enters the game for G. Temple,,50-50,,
1:55.0,G. Neal enters the game for J. Dudley,,50-50,,
1:55.0,,,50-50,,A. Ajinca enters the game for D. Cunningham
1:55.0,J. Wall misses free throw 2 of 2,,50-50,,
1:54.0,,,50-50,,Defensive rebound by A. Ajinca
1:44.0,Shooting block foul by O. Porter (drawn by N. Cole),,50-50,,
1:44.0,,,50-51,1,N. Cole makes free throw 1 of 2
1:44.0,,,50-51,,N. Cole misses free throw 2 of 2
1:43.0,Defensive rebound by O. Porter,,50-51,,
1:20.0,J. Wall makes 3-pt shot from 25 ft,3,53-51,,
1:00.0,,,53-53,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
0:44.0,O. Porter misses 2-pt shot from 21 ft,,53-53,,
0:42.0,,,53-53,,Defensive rebound by T. Evans
0:29.0,Violation by M. Gortat (kicked ball),,53-53,,
0:19.0,,,53-55,2,A. Ajinca makes 2-pt shot from 5 ft (assist by T. Evans)
0:13.0,Washington full timeout,,53-55,,
0:13.0,,,53-55,,D. Cunningham enters the game for A. Ajinca
0:05.0,,,53-55,,Shooting block foul by T. Evans (drawn by J. Wall)
0:05.0,J. Wall makes free throw 1 of 2,1,54-55,,
0:05.0,,,54-55,,I. Smith enters the game for D. Cunningham
0:05.0,J. Wall misses free throw 2 of 2,,54-55,,
0:04.0,,,54-55,,Defensive rebound by T. Evans
0:00.0,,,54-55,,T. Evans misses 3-pt shot from 33 ft
0:00.0,,,54-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,54-55,,A. Ajinca misses 2-pt shot from 11 ft
11:39.0,Defensive rebound by J. Wall,,54-55,,
11:17.0,M. Gortat misses 2-pt shot from 11 ft,,54-55,,
11:16.0,,,54-55,,Defensive rebound by A. Ajinca
11:11.0,,,54-55,,T. Evans misses 2-pt shot from 2 ft
11:10.0,Defensive rebound by M. Gortat,,54-55,,
10:58.0,M. Gortat misses 2-pt shot from 8 ft,,54-55,,
10:57.0,,,54-55,,Defensive rebound by A. Gee
10:34.0,,,54-55,,Turnover by A. Gee (lost ball; steal by J. Wall)
10:29.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,56-55,,
10:03.0,,,56-55,,E. Gordon misses 2-pt shot from 20 ft
10:02.0,Defensive rebound by J. Wall,,56-55,,
9:52.0,G. Temple misses 3-pt shot from 25 ft,,56-55,,
9:51.0,Offensive rebound by M. Gortat,,56-55,,
9:50.0,Shooting foul by A. Ajinca (drawn by M. Gortat),,56-55,,
9:50.0,M. Gortat misses free throw 1 of 2,,56-55,,
9:50.0,Offensive rebound by Team,,56-55,,
9:50.0,M. Gortat misses free throw 2 of 2,,56-55,,
9:49.0,,,56-55,,Defensive rebound by A. Ajinca
9:36.0,,,56-55,,A. Gee misses 2-pt shot from 5 ft
9:35.0,Defensive rebound by Team,,56-55,,
9:26.0,J. Wall misses 2-pt shot from 18 ft,,56-55,,
9:25.0,,,56-55,,Defensive rebound by E. Gordon
9:15.0,,,56-55,,T. Evans misses 2-pt shot from 21 ft
9:13.0,Defensive rebound by J. Dudley,,56-55,,
8:53.0,G. Temple misses 3-pt shot from 24 ft,,56-55,,
8:51.0,Offensive rebound by Team,,56-55,,
8:36.0,J. Wall misses 2-pt shot from 17 ft,,56-55,,
8:35.0,,,56-55,,Defensive rebound by A. Ajinca
8:20.0,,,56-58,3,E. Gordon makes 3-pt shot from 25 ft (assist by A. Gee)
7:59.0,J. Wall makes 2-pt shot from 8 ft,2,58-58,,
7:59.0,Shooting foul by A. Gee (drawn by J. Wall),,58-58,,
7:59.0,J. Wall makes free throw 1 of 1,1,59-58,,
7:37.0,,,59-58,,Turnover by E. Gordon (traveling)
7:26.0,G. Temple misses 3-pt shot from 24 ft,,59-58,,
7:25.0,,,59-58,,Defensive rebound by A. Davis
7:09.0,,,59-58,,A. Davis misses 2-pt shot from 17 ft
7:08.0,Defensive rebound by M. Gortat,,59-58,,
6:59.0,J. Dudley misses 3-pt shot from 24 ft,,59-58,,
6:58.0,,,59-58,,Defensive rebound by E. Gordon
6:32.0,,,59-60,2,T. Evans makes 2-pt shot from 21 ft
6:11.0,J. Wall misses 3-pt shot from 25 ft,,59-60,,
6:10.0,Offensive rebound by O. Porter,,59-60,,
6:07.0,O. Porter makes 2-pt shot from 14 ft,2,61-60,,
5:51.0,,,61-62,2,A. Davis makes 2-pt shot from 1 ft (assist by E. Gordon)
5:33.0,J. Dudley makes 3-pt shot from 25 ft (assist by O. Porter),3,64-62,,
5:32.0,,,64-62,,New Orleans full timeout
5:32.0,,,64-62,,D. Cunningham enters the game for A. Gee
5:32.0,,,64-62,,J. Holiday enters the game for A. Ajinca
5:14.0,,,64-62,,Shooting foul by M. Gortat (drawn by D. Cunningham)
5:14.0,,,64-63,1,D. Cunningham makes free throw 1 of 2
5:14.0,,,64-64,1,D. Cunningham makes free throw 2 of 2
5:02.0,,,64-64,,Personal foul by D. Cunningham (drawn by J. Dudley)
4:51.0,Turnover by J. Wall (bad pass; steal by J. Holiday),,64-64,,
4:45.0,,,64-67,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Holiday)
4:28.0,O. Porter makes 2-pt shot from 20 ft (assist by J. Wall),2,66-67,,
4:13.0,,,66-70,3,D. Cunningham makes 3-pt shot from 23 ft (assist by J. Holiday)
3:58.0,Turnover by O. Porter (bad pass; steal by A. Davis),,66-70,,
3:50.0,,,66-70,,Turnover by J. Holiday (bad pass)
3:38.0,Turnover by G. Temple (lost ball),,66-70,,
3:23.0,,,66-70,,T. Evans misses 2-pt shot from 3 ft
3:23.0,,,66-70,,Offensive rebound by Team
3:23.0,,,66-70,,N. Cole enters the game for T. Evans
3:23.0,G. Neal enters the game for J. Dudley,,66-70,,
3:20.0,,,66-72,2,A. Davis makes 2-pt shot from 16 ft (assist by J. Holiday)
3:08.0,M. Gortat misses 2-pt shot from 9 ft,,66-72,,
3:07.0,,,66-72,,Defensive rebound by A. Davis
2:58.0,,,66-72,,Turnover by J. Holiday (bad pass; steal by G. Temple)
2:48.0,J. Wall makes 3-pt shot from 25 ft (assist by G. Neal),3,69-72,,
2:31.0,,,69-72,,N. Cole misses 3-pt shot from 23 ft
2:30.0,Defensive rebound by J. Wall,,69-72,,
2:19.0,M. Gortat makes 2-pt shot from 11 ft (assist by G. Temple),2,71-72,,
2:09.0,,,71-72,,Shooting foul by J. Wall (drawn by J. Holiday)
2:09.0,Washington full timeout,,71-72,,
2:09.0,R. Sessions enters the game for J. Wall,,71-72,,
2:09.0,,,71-72,,A. Ajinca enters the game for A. Davis
2:09.0,,,71-73,1,J. Holiday makes free throw 1 of 2
2:09.0,,,71-74,1,J. Holiday makes free throw 2 of 2
1:50.0,G. Neal makes 2-pt shot from 21 ft,2,73-74,,
1:30.0,,,73-74,,E. Gordon misses 2-pt shot from 1 ft
1:29.0,Defensive rebound by O. Porter,,73-74,,
1:14.0,M. Gortat misses 2-pt shot from 10 ft,,73-74,,
1:13.0,,,73-74,,Defensive rebound by A. Ajinca
0:54.0,,,73-77,3,J. Holiday makes 3-pt shot from 23 ft
0:40.0,M. Gortat makes 2-pt shot at rim (assist by G. Temple),2,75-77,,
0:29.0,,,75-77,,J. Holiday misses 2-pt shot from 2 ft (block by M. Gortat)
0:28.0,Defensive rebound by M. Gortat,,75-77,,
0:09.0,R. Sessions makes 2-pt shot from 3 ft,2,77-77,,
0:03.0,Personal take foul by R. Sessions (drawn by N. Cole),,77-77,,
0:03.0,D. Blair enters the game for M. Gortat,,77-77,,
0:01.0,,,77-77,,Turnover by N. Cole (bad pass; steal by G. Temple)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,D. Blair misses 2-pt shot from 9 ft,,77-77,,
11:38.0,Offensive rebound by G. Neal,,77-77,,
11:34.0,G. Temple makes 2-pt shot from 20 ft (assist by O. Porter),2,79-77,,
11:19.0,,,79-77,,Turnover by A. Ajinca (lost ball; steal by O. Porter)
11:17.0,Shooting foul by E. Gordon (drawn by O. Porter),,79-77,,
11:17.0,O. Porter misses free throw 1 of 2,,79-77,,
11:17.0,Offensive rebound by Team,,79-77,,
11:17.0,,,79-77,,A. Davis enters the game for A. Ajinca
11:17.0,,,79-77,,I. Smith enters the game for E. Gordon
11:17.0,O. Porter makes free throw 2 of 2,1,80-77,,
10:58.0,,,80-77,,J. Holiday misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by O. Porter,,80-77,,
10:50.0,Shooting foul by N. Cole (drawn by R. Sessions),,80-77,,
10:50.0,R. Sessions makes free throw 1 of 2,1,81-77,,
10:50.0,J. Dudley enters the game for O. Porter,,81-77,,
10:50.0,R. Sessions makes free throw 2 of 2,1,82-77,,
10:36.0,,,82-77,,Turnover by I. Smith (bad pass; steal by J. Dudley)
10:27.0,Shooting foul by N. Cole (drawn by R. Sessions),,82-77,,
10:27.0,R. Sessions makes free throw 1 of 2,1,83-77,,
10:27.0,R. Sessions misses free throw 2 of 2,,83-77,,
10:26.0,,,83-77,,Defensive rebound by A. Davis
10:15.0,,,83-77,,A. Davis misses 2-pt shot from 19 ft
10:14.0,Defensive rebound by D. Blair,,83-77,,
10:04.0,J. Dudley makes 3-pt shot from 24 ft (assist by R. Sessions),3,86-77,,
9:54.0,,,86-79,2,I. Smith makes 2-pt shot from 13 ft
9:32.0,D. Blair misses 2-pt shot from 3 ft,,86-79,,
9:31.0,Offensive rebound by D. Blair,,86-79,,
9:31.0,Shooting foul by J. Holiday (drawn by D. Blair),,86-79,,
9:31.0,D. Blair misses free throw 1 of 2,,86-79,,
9:31.0,Offensive rebound by Team,,86-79,,
9:31.0,,,86-79,,T. Evans enters the game for J. Holiday
9:31.0,D. Blair makes free throw 2 of 2,1,87-79,,
9:21.0,,,87-82,3,T. Evans makes 3-pt shot from 26 ft (assist by I. Smith)
9:02.0,J. Dudley misses 3-pt shot from 24 ft,,87-82,,
9:01.0,,,87-82,,Defensive rebound by Team
8:56.0,,,87-85,3,T. Evans makes 3-pt shot from 25 ft (assist by I. Smith)
8:56.0,Washington full timeout,,87-85,,
8:56.0,J. Wall enters the game for G. Temple,,87-85,,
8:42.0,D. Blair misses 2-pt shot from 5 ft,,87-85,,
8:41.0,,,87-85,,Defensive rebound by A. Davis
8:34.0,,,87-85,,Offensive charge foul by T. Evans
8:34.0,,,87-85,,Turnover by T. Evans (offensive foul)
8:19.0,G. Neal makes 3-pt shot from 25 ft (assist by J. Dudley),3,90-85,,
8:03.0,,,90-88,3,D. Cunningham makes 3-pt shot from 23 ft (assist by I. Smith)
7:43.0,D. Blair makes 2-pt shot from 8 ft (assist by J. Wall),2,92-88,,
7:20.0,,,92-90,2,I. Smith makes 2-pt shot from 2 ft
6:52.0,J. Wall makes 3-pt shot from 26 ft (assist by G. Neal),3,95-90,,
6:43.0,Personal foul by G. Neal (drawn by T. Evans),,95-90,,
6:37.0,,,95-90,,I. Smith misses 2-pt shot from 1 ft
6:36.0,Defensive rebound by R. Sessions,,95-90,,
6:26.0,D. Blair makes 2-pt shot at rim (assist by J. Wall),2,97-90,,
6:24.0,,,97-90,,New Orleans full timeout
6:24.0,,,97-90,,E. Gordon enters the game for N. Cole
6:24.0,,,97-90,,J. Holiday enters the game for D. Cunningham
6:02.0,,,97-92,2,I. Smith makes 2-pt shot from 14 ft (assist by A. Davis)
5:39.0,J. Wall misses 3-pt shot from 24 ft,,97-92,,
5:38.0,Offensive rebound by D. Blair,,97-92,,
5:36.0,Turnover by D. Blair (bad pass; steal by J. Holiday),,97-92,,
5:29.0,,,97-95,3,J. Holiday makes 3-pt shot from 26 ft (assist by I. Smith)
5:11.0,G. Neal misses 2-pt shot from 21 ft,,97-95,,
5:10.0,,,97-95,,Defensive rebound by A. Davis
5:03.0,,,97-95,,I. Smith misses 2-pt shot from 1 ft
5:02.0,Defensive rebound by G. Neal,,97-95,,
4:58.0,,,97-95,,Personal block foul by J. Holiday (drawn by R. Sessions)
4:58.0,R. Sessions misses free throw 1 of 2,,97-95,,
4:58.0,Offensive rebound by Team,,97-95,,
4:58.0,O. Porter enters the game for D. Blair,,97-95,,
4:58.0,R. Sessions makes free throw 2 of 2,1,98-95,,
4:44.0,Personal foul by J. Dudley (drawn by T. Evans),,98-95,,
4:38.0,,,98-95,,J. Holiday misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by J. Wall,,98-95,,
4:30.0,O. Porter misses 3-pt shot from 25 ft,,98-95,,
4:29.0,,,98-95,,Defensive rebound by I. Smith
4:13.0,,,98-98,3,T. Evans makes 3-pt shot from 24 ft (assist by J. Holiday)
3:55.0,J. Dudley makes 2-pt shot from 2 ft (assist by J. Wall),2,100-98,,
3:42.0,Personal foul by J. Wall (drawn by I. Smith),,100-98,,
3:27.0,,,100-98,,A. Davis misses 3-pt shot from 24 ft
3:27.0,Defensive rebound by Team,,100-98,,
3:16.0,Turnover by J. Wall (bad pass; steal by T. Evans),,100-98,,
3:12.0,,,100-98,,Shooting foul by G. Neal (drawn by I. Smith)
3:12.0,,,100-99,1,I. Smith makes free throw 1 of 2
3:12.0,,,100-100,1,I. Smith makes free throw 2 of 2
2:57.0,G. Neal makes 3-pt shot from 25 ft,3,103-100,,
2:35.0,,,103-103,3,A. Davis makes 3-pt shot from 26 ft (assist by T. Evans)
2:23.0,J. Dudley misses 2-pt shot from 19 ft,,103-103,,
2:22.0,,,103-103,,Defensive rebound by T. Evans
2:08.0,,,103-103,,A. Davis misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by J. Dudley,,103-103,,
1:56.0,J. Wall misses 2-pt shot from 9 ft,,103-103,,
1:55.0,,,103-103,,Defensive rebound by T. Evans
1:47.0,,,103-103,,Shooting foul by J. Dudley (drawn by A. Davis)
1:47.0,,,103-103,,New Orleans full timeout
1:47.0,,,103-104,1,A. Davis makes free throw 1 of 2
1:47.0,,,103-104,,A. Davis misses free throw 2 of 2
1:46.0,Defensive rebound by G. Neal,,103-104,,
1:25.0,G. Neal misses 2-pt shot from 16 ft,,103-104,,
1:24.0,,,103-104,,Defensive rebound by T. Evans
1:08.0,,,103-104,,T. Evans misses 2-pt shot from 21 ft
1:07.0,Defensive rebound by O. Porter,,103-104,,
0:55.0,R. Sessions misses 3-pt shot from 23 ft,,103-104,,
0:53.0,,,103-104,,Defensive rebound by I. Smith
0:44.0,,,103-104,,New Orleans full timeout
0:44.0,M. Gortat enters the game for G. Neal,,103-104,,
0:44.0,G. Temple enters the game for J. Dudley,,103-104,,
0:44.0,G. Neal enters the game for R. Sessions,,103-104,,
0:34.0,,,103-104,,T. Evans misses 2-pt shot at rim
0:33.0,Defensive rebound by M. Gortat,,103-104,,
0:32.0,Washington full timeout,,103-104,,
0:32.0,,,103-104,,A. Gee enters the game for I. Smith
0:32.0,R. Sessions enters the game for G. Temple,,103-104,,
0:23.0,J. Wall misses 2-pt shot from 20 ft,,103-104,,
0:20.0,,,103-104,,Defensive rebound by E. Gordon
0:18.0,Personal take foul by O. Porter (drawn by E. Gordon),,103-104,,
0:18.0,,,103-105,1,E. Gordon makes free throw 1 of 2
0:18.0,,,103-106,1,E. Gordon makes free throw 2 of 2
0:18.0,Washington full timeout,,103-106,,
0:18.0,J. Dudley enters the game for M. Gortat,,103-106,,
0:11.0,J. Wall makes 2-pt shot at rim,2,105-106,,
0:11.0,,,105-106,,New Orleans full timeout
