time,Washington,pts.away,score,pts.home,Detroit
5:42.0,,,46-32,,M. Morris enters the game for S. Johnson
5:20.0,J. Dudley misses 2-pt shot from 19 ft,,46-32,,
5:19.0,,,46-32,,Defensive rebound by M. Morris
5:12.0,,,46-34,2,R. Jackson makes 2-pt shot at rim
4:58.0,G. Neal misses 2-pt shot from 16 ft,,46-34,,
4:57.0,,,46-34,,Defensive rebound by A. Drummond
4:51.0,,,46-36,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
4:20.0,M. Gortat makes 2-pt shot from 7 ft,2,48-36,,
3:57.0,,,48-39,3,R. Jackson makes 3-pt shot from 22 ft (assist by M. Morris)
3:47.0,B. Beal makes 2-pt shot from 13 ft,2,50-39,,
3:33.0,,,50-39,,Shooting foul by J. Wall (drawn by E. Ilyasova)
3:33.0,,,50-40,1,E. Ilyasova makes free throw 1 of 2
3:33.0,O. Porter enters the game for J. Dudley,,50-40,,
3:33.0,K. Humphries enters the game for G. Neal,,50-40,,
3:33.0,,,50-41,1,E. Ilyasova makes free throw 2 of 2
3:19.0,M. Gortat misses 2-pt shot at rim,,50-41,,
3:18.0,,,50-41,,Defensive rebound by R. Jackson
3:15.0,,,50-43,2,R. Jackson makes 2-pt shot at rim
3:04.0,J. Wall misses 3-pt shot from 25 ft,,50-43,,
3:03.0,,,50-43,,Defensive rebound by A. Drummond
2:47.0,,,50-43,,Turnover by E. Ilyasova (traveling)
2:47.0,Washington full timeout,,50-43,,
2:31.0,O. Porter misses 2-pt shot from 16 ft,,50-43,,
2:30.0,,,50-43,,Defensive rebound by E. Ilyasova
2:04.0,,,50-43,,R. Jackson misses 3-pt shot from 23 ft
2:03.0,Defensive rebound by J. Wall,,50-43,,
1:49.0,,,50-43,,Personal foul by A. Drummond (drawn by O. Porter)
1:49.0,O. Porter makes free throw 1 of 2,1,51-43,,
1:49.0,O. Porter makes free throw 2 of 2,1,52-43,,
1:33.0,Personal foul by O. Porter (drawn by M. Morris),,52-43,,
1:33.0,,,52-44,1,M. Morris makes free throw 1 of 2
1:33.0,,,52-45,1,M. Morris makes free throw 2 of 2
1:21.0,K. Humphries misses 3-pt shot from 24 ft,,52-45,,
1:20.0,Offensive rebound by O. Porter,,52-45,,
1:19.0,O. Porter misses 2-pt shot at rim,,52-45,,
1:18.0,Offensive rebound by K. Humphries,,52-45,,
1:17.0,K. Humphries misses 2-pt shot from 1 ft,,52-45,,
1:16.0,,,52-45,,Defensive rebound by M. Morris
1:08.0,,,52-48,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by R. Jackson)
0:59.0,B. Beal misses 2-pt shot from 16 ft,,52-48,,
0:58.0,,,52-48,,Defensive rebound by R. Jackson
0:51.0,,,52-50,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by R. Jackson)
0:36.0,J. Wall misses 2-pt shot from 6 ft,,52-50,,
0:35.0,Offensive rebound by M. Gortat,,52-50,,
0:28.0,O. Porter misses 3-pt shot from 24 ft,,52-50,,
0:27.0,,,52-50,,Defensive rebound by A. Drummond
0:22.0,,,52-50,,Shooting foul by J. Wall (drawn by M. Morris)
0:22.0,,,52-51,1,M. Morris makes free throw 1 of 2
0:22.0,Washington full timeout,,52-51,,
0:22.0,G. Neal enters the game for K. Humphries,,52-51,,
0:22.0,,,52-52,1,M. Morris makes free throw 2 of 2
0:05.0,M. Gortat misses 2-pt shot at rim,,52-52,,
0:03.0,,,52-52,,Defensive rebound by A. Drummond
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,52-54,2,R. Jackson makes 2-pt shot from 1 ft
11:21.0,K. Humphries misses 2-pt shot at rim (block by A. Drummond),,52-54,,
11:20.0,Offensive rebound by K. Humphries,,52-54,,
11:18.0,Turnover by K. Humphries (bad pass; steal by K. Caldwell-Pope),,52-54,,
11:02.0,,,52-54,,Turnover by A. Drummond (offensive foul)
11:02.0,,,52-54,,Offensive charge foul by A. Drummond
11:02.0,,,52-54,,Technical foul by Team
11:02.0,B. Beal misses technical free throw,,52-54,,
11:02.0,Offensive rebound by Team,,52-54,,
10:37.0,B. Beal makes 2-pt shot at rim,2,54-54,,
10:21.0,,,54-56,2,R. Jackson makes 2-pt shot at rim
10:09.0,O. Porter makes 2-pt shot from 21 ft (assist by M. Gortat),2,56-56,,
10:01.0,Personal foul by J. Wall (drawn by R. Jackson),,56-56,,
9:54.0,,,56-56,,R. Jackson misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by B. Beal,,56-56,,
9:34.0,M. Gortat makes 2-pt shot at rim (assist by O. Porter),2,58-56,,
9:20.0,,,58-59,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson)
9:07.0,B. Beal misses 2-pt shot from 18 ft,,58-59,,
9:07.0,,,58-59,,Defensive rebound by Team
8:44.0,,,58-61,2,A. Drummond makes 2-pt shot from 5 ft (assist by K. Caldwell-Pope)
8:36.0,J. Wall misses 2-pt shot from 15 ft,,58-61,,
8:36.0,,,58-61,,Defensive rebound by E. Ilyasova
8:27.0,,,58-63,2,E. Ilyasova makes 2-pt shot from 8 ft
8:27.0,Washington full timeout,,58-63,,
8:05.0,K. Humphries misses 3-pt shot from 25 ft,,58-63,,
8:05.0,,,58-63,,Defensive rebound by A. Drummond
7:49.0,,,58-63,,R. Jackson misses 2-pt shot at rim
7:49.0,Defensive rebound by K. Humphries,,58-63,,
7:47.0,Turnover by M. Gortat (bad pass),,58-63,,
7:47.0,J. Dudley enters the game for K. Humphries,,58-63,,
7:41.0,Personal foul by O. Porter (drawn by M. Morris),,58-63,,
7:22.0,,,58-63,,M. Morris misses 2-pt shot from 12 ft
7:21.0,Defensive rebound by M. Gortat,,58-63,,
7:17.0,Turnover by J. Wall (lost ball),,58-63,,
7:01.0,,,58-66,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson)
6:49.0,Turnover by J. Dudley (bad pass; steal by A. Drummond),,58-66,,
6:38.0,,,58-69,3,E. Ilyasova makes 3-pt shot from 27 ft (assist by R. Jackson)
6:12.0,Turnover by Team (shot clock),,58-69,,
6:12.0,G. Temple enters the game for B. Beal,,58-69,,
6:02.0,N. Hilario enters the game for M. Gortat,,58-69,,
6:02.0,R. Sessions enters the game for J. Wall,,58-69,,
5:45.0,,,58-69,,M. Morris misses 3-pt shot from 27 ft
5:43.0,Defensive rebound by N. Hilario,,58-69,,
5:31.0,O. Porter misses 2-pt shot from 4 ft (block by A. Drummond),,58-69,,
5:30.0,,,58-69,,Defensive rebound by M. Morris
5:27.0,,,58-69,,Turnover by R. Jackson (bad pass; steal by O. Porter)
5:26.0,,,58-69,,Personal foul by E. Ilyasova (drawn by O. Porter)
5:07.0,J. Dudley makes 3-pt shot from 23 ft (assist by R. Sessions),3,61-69,,
4:39.0,,,61-69,,Turnover by R. Jackson (bad pass; steal by N. Hilario)
4:35.0,Shooting foul by A. Drummond (drawn by G. Temple),,61-69,,
4:35.0,G. Temple misses free throw 1 of 2,,61-69,,
4:35.0,Offensive rebound by Team,,61-69,,
4:35.0,,,61-69,,S. Dinwiddie enters the game for R. Jackson
4:35.0,,,61-69,,S. Johnson enters the game for M. Morris
4:35.0,G. Temple makes free throw 2 of 2,1,62-69,,
4:20.0,,,62-69,,K. Caldwell-Pope misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by N. Hilario,,62-69,,
4:14.0,O. Porter makes 2-pt shot at rim (assist by R. Sessions),2,64-69,,
3:52.0,,,64-69,,Shooting foul by N. Hilario (drawn by E. Ilyasova)
3:52.0,,,64-69,,E. Ilyasova misses free throw 1 of 2
3:52.0,,,64-69,,Offensive rebound by Team
3:52.0,,,64-70,1,E. Ilyasova makes free throw 2 of 2
3:36.0,Shooting foul by S. Dinwiddie (drawn by R. Sessions),,64-70,,
3:36.0,R. Sessions makes free throw 1 of 2,1,65-70,,
3:36.0,R. Sessions makes free throw 2 of 2,1,66-70,,
3:22.0,,,66-72,2,S. Dinwiddie makes 2-pt shot at rim
3:22.0,,,66-72,,Shooting foul by R. Sessions (drawn by S. Dinwiddie)
3:22.0,,,66-72,,A. Tolliver enters the game for E. Ilyasova
3:22.0,,,66-73,1,S. Dinwiddie makes free throw 1 of 1
2:57.0,O. Porter misses 2-pt shot from 4 ft,,66-73,,
2:57.0,,,66-73,,Defensive rebound by A. Drummond
2:53.0,,,66-73,,Turnover by A. Drummond (bad pass; steal by J. Dudley)
2:43.0,R. Sessions makes 3-pt shot from 26 ft,3,69-73,,
2:23.0,,,69-73,,S. Dinwiddie misses 2-pt shot from 11 ft
2:23.0,Defensive rebound by N. Hilario,,69-73,,
2:11.0,N. Hilario makes 2-pt shot at rim (assist by R. Sessions),2,71-73,,
1:46.0,,,71-73,,S. Johnson misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by N. Hilario,,71-73,,
1:33.0,O. Porter misses 2-pt shot from 7 ft,,71-73,,
1:31.0,,,71-73,,Defensive rebound by A. Drummond
1:18.0,,,71-73,,S. Johnson misses 3-pt shot from 23 ft
1:17.0,Defensive rebound by R. Sessions,,71-73,,
1:10.0,J. Dudley makes 2-pt shot at rim (assist by R. Sessions),2,73-73,,
1:10.0,Shooting foul by A. Drummond (drawn by J. Dudley),,73-73,,
1:10.0,,,73-73,,Detroit full timeout
1:10.0,,,73-73,,A. Baynes enters the game for A. Drummond
1:10.0,J. Dudley makes free throw 1 of 1,1,74-73,,
0:46.0,,,74-73,,A. Tolliver misses 2-pt shot from 10 ft
0:46.0,Defensive rebound by O. Porter,,74-73,,
0:32.0,R. Sessions misses 2-pt shot from 6 ft,,74-73,,
0:32.0,,,74-73,,Defensive rebound by A. Baynes
0:18.0,,,74-73,,Turnover by S. Johnson (lost ball; steal by R. Sessions)
0:13.0,Shooting foul by A. Tolliver (drawn by O. Porter),,74-73,,
0:13.0,O. Porter misses free throw 1 of 2,,74-73,,
0:13.0,Offensive rebound by Team,,74-73,,
0:13.0,O. Porter makes free throw 2 of 2,1,75-73,,
0:01.0,,,75-73,,K. Caldwell-Pope misses 3-pt shot from 22 ft
0:00.0,,,75-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:31.0,G. Neal makes 2-pt shot from 3 ft,2,77-73,,
11:10.0,,,77-75,2,S. Johnson makes 2-pt shot from 19 ft (assist by M. Morris)
11:03.0,Turnover by N. Hilario (bad pass),,77-75,,
10:39.0,,,77-75,,S. Johnson misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by R. Sessions,,77-75,,
10:30.0,J. Dudley makes 3-pt shot from 26 ft (assist by G. Neal),3,80-75,,
10:07.0,,,80-77,2,A. Baynes makes 2-pt shot from 15 ft (assist by S. Dinwiddie)
9:48.0,R. Sessions misses 2-pt shot at rim,,80-77,,
9:48.0,,,80-77,,Defensive rebound by A. Baynes
9:40.0,,,80-79,2,M. Morris makes 2-pt shot at rim (assist by S. Dinwiddie)
9:21.0,R. Sessions makes 3-pt shot from 23 ft (assist by N. Hilario),3,83-79,,
8:58.0,,,83-79,,M. Morris misses 2-pt shot from 5 ft
8:57.0,Defensive rebound by G. Temple,,83-79,,
8:49.0,G. Neal misses 3-pt shot from 22 ft,,83-79,,
8:49.0,,,83-79,,Defensive rebound by M. Morris
8:43.0,,,83-79,,Shooting foul by N. Hilario (drawn by S. Dinwiddie)
8:43.0,Official timeout,,83-79,,
8:43.0,,,83-79,,S. Dinwiddie misses free throw 1 of 2
8:43.0,,,83-79,,Offensive rebound by Team
8:43.0,,,83-80,1,S. Dinwiddie makes free throw 2 of 2
8:24.0,N. Hilario misses 2-pt shot from 10 ft,,83-80,,
8:24.0,,,83-80,,Defensive rebound by M. Morris
7:57.0,,,83-80,,M. Morris misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by G. Neal,,83-80,,
7:51.0,G. Neal misses 3-pt shot from 26 ft,,83-80,,
7:51.0,Offensive rebound by J. Dudley,,83-80,,
7:36.0,Turnover by N. Hilario (traveling),,83-80,,
7:36.0,,,83-80,,R. Jackson enters the game for S. Dinwiddie
7:24.0,,,83-82,2,A. Baynes makes 2-pt shot at rim (assist by M. Morris)
7:24.0,,,83-82,,Shooting foul by N. Hilario (drawn by A. Baynes)
7:24.0,,,83-82,,E. Ilyasova enters the game for A. Tolliver
7:24.0,,,83-82,,A. Baynes misses free throw 1 of 1
7:23.0,Defensive rebound by G. Temple,,83-82,,
7:07.0,Shooting foul by A. Baynes (drawn by R. Sessions),,83-82,,
7:07.0,R. Sessions makes free throw 1 of 2,1,84-82,,
7:07.0,,,84-82,,A. Drummond enters the game for A. Baynes
7:07.0,R. Sessions makes free throw 2 of 2,1,85-82,,
6:50.0,,,85-82,,Shooting foul by J. Dudley (drawn by A. Drummond)
6:50.0,,,85-83,1,A. Drummond makes free throw 1 of 2
6:50.0,,,85-83,,K. Caldwell-Pope enters the game for S. Johnson
6:50.0,,,85-84,1,A. Drummond makes free throw 2 of 2
6:31.0,R. Sessions misses 3-pt shot from 25 ft,,85-84,,
6:30.0,,,85-84,,Defensive rebound by K. Caldwell-Pope
6:24.0,,,85-87,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by E. Ilyasova)
6:12.0,G. Temple makes 3-pt shot from 23 ft (assist by R. Sessions),3,88-87,,
6:00.0,Personal foul by R. Sessions (drawn by R. Jackson),,88-87,,
6:00.0,B. Beal enters the game for G. Neal,,88-87,,
6:00.0,J. Wall enters the game for R. Sessions,,88-87,,
5:48.0,,,88-87,,K. Caldwell-Pope misses 3-pt shot from 24 ft
5:47.0,,,88-87,,Offensive rebound by M. Morris
5:46.0,,,88-89,2,M. Morris makes 2-pt shot at rim
5:31.0,B. Beal makes 2-pt shot from 17 ft (assist by G. Temple),2,90-89,,
5:10.0,,,90-89,,K. Caldwell-Pope misses 2-pt shot from 17 ft
5:10.0,Defensive rebound by G. Temple,,90-89,,
4:58.0,J. Wall makes 2-pt shot from 14 ft,2,92-89,,
4:48.0,,,92-89,,Detroit full timeout
4:37.0,,,92-89,,Shooting foul by N. Hilario (drawn by A. Drummond)
4:37.0,,,92-89,,A. Drummond misses free throw 1 of 2
4:37.0,,,92-89,,Offensive rebound by Team
4:37.0,,,92-89,,A. Drummond misses free throw 2 of 2
4:36.0,Defensive rebound by N. Hilario,,92-89,,
4:21.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,94-89,,
4:00.0,,,94-89,,E. Ilyasova misses 2-pt shot from 7 ft
4:00.0,Defensive rebound by N. Hilario,,94-89,,
3:43.0,J. Wall misses 2-pt shot from 14 ft,,94-89,,
3:43.0,,,94-89,,Defensive rebound by A. Drummond
3:42.0,Violation by J. Wall (kicked ball),,94-89,,
3:42.0,M. Gortat enters the game for N. Hilario,,94-89,,
3:42.0,O. Porter enters the game for J. Dudley,,94-89,,
3:42.0,,,94-89,,R. Jackson misses 3-pt shot from 24 ft
3:42.0,Defensive rebound by M. Gortat,,94-89,,
3:29.0,Turnover by J. Wall (lost ball; steal by R. Jackson),,94-89,,
3:23.0,,,94-89,,Turnover by R. Jackson (bad pass; steal by B. Beal)
3:05.0,Offensive foul by M. Gortat,,94-89,,
3:05.0,Turnover by M. Gortat (offensive foul),,94-89,,
2:43.0,,,94-89,,M. Morris misses 2-pt shot from 10 ft
2:42.0,,,94-89,,Offensive rebound by E. Ilyasova
2:39.0,,,94-91,2,E. Ilyasova makes 2-pt shot at rim
2:17.0,B. Beal misses 2-pt shot at rim,,94-91,,
2:17.0,Washington full timeout,,94-91,,
2:17.0,Jump ball: A. Drummond vs. M. Gortat (M. Morris gains possession),,,,Jump ball: A. Drummond vs. M. Gortat (M. Morris gains possession)
2:17.0,Offensive rebound by M. Gortat,,94-91,,
2:17.0,Turnover by M. Gortat (lost ball),,94-91,,
1:50.0,,,94-91,,M. Morris misses 2-pt shot from 16 ft
1:50.0,,,94-91,,Offensive rebound by M. Morris
1:41.0,,,94-91,,Turnover by R. Jackson (bad pass; steal by J. Wall)
1:35.0,G. Temple misses 2-pt shot from 4 ft,,94-91,,
1:35.0,,,94-91,,Defensive rebound by Team
1:35.0,,,94-91,,Detroit full timeout
1:20.0,,,94-91,,A. Drummond misses 2-pt shot from 2 ft
1:20.0,Defensive rebound by M. Gortat,,94-91,,
1:06.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,96-91,,
1:06.0,,,96-91,,Detroit full timeout
0:53.0,,,96-91,,R. Jackson misses 2-pt shot at rim
0:53.0,,,96-91,,Offensive rebound by E. Ilyasova
0:52.0,,,96-93,2,E. Ilyasova makes 2-pt shot at rim
0:34.0,J. Wall misses 2-pt shot from 1 ft,,96-93,,
0:32.0,,,96-93,,Defensive rebound by M. Morris
0:26.0,,,96-93,,M. Morris misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by G. Temple,,96-93,,
0:20.0,,,96-93,,Personal foul by R. Jackson (drawn by J. Wall)
0:19.0,,,96-93,,Personal foul by K. Caldwell-Pope (drawn by B. Beal)
0:19.0,B. Beal makes free throw 1 of 2,1,97-93,,
0:19.0,B. Beal misses free throw 2 of 2,,97-93,,
0:19.0,,,97-93,,Defensive rebound by E. Ilyasova
0:09.0,,,97-93,,Shooting foul by M. Gortat (drawn by R. Jackson)
