time,Sacramento,pts.away,score,pts.home,Denver
6:01.0,Shooting foul by N. Jokic (drawn by D. Cousins),,10-14,,
6:01.0,D. Cousins makes free throw 1 of 2,1,11-14,,
6:01.0,W. Cauley-Stein enters the game for Q. Acy,,11-14,,
6:01.0,D. Collison enters the game for B. McLemore,,11-14,,
6:01.0,D. Cousins makes free throw 2 of 2,1,12-14,,
5:48.0,,,12-14,,D. Gallinari misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by W. Cauley-Stein,,12-14,,
5:34.0,R. Gay misses 2-pt shot from 5 ft,,12-14,,
5:33.0,,,12-14,,Defensive rebound by N. Jokic
5:26.0,Personal foul by D. Cousins (drawn by N. Jokic),,12-14,,
5:21.0,,,12-14,,Turnover by N. Jokic (bad pass; steal by W. Cauley-Stein)
5:15.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo),2,14-14,,
5:01.0,,,14-16,2,K. Faried makes 2-pt shot at rim (assist by G. Harris)
4:41.0,D. Cousins makes 2-pt shot from 4 ft (assist by R. Gay),2,16-16,,
4:30.0,,,16-16,,E. Mudiay misses 2-pt shot from 2 ft
4:29.0,Defensive rebound by R. Gay,,16-16,,
4:22.0,W. Cauley-Stein misses 2-pt shot at rim,,16-16,,
4:21.0,,,16-16,,Defensive rebound by D. Gallinari
4:12.0,,,16-16,,Shooting foul by R. Gay (drawn by N. Jokic)
4:12.0,,,16-17,1,N. Jokic makes free throw 1 of 2
4:12.0,O. Casspi enters the game for R. Gay,,16-17,,
4:12.0,,,16-18,1,N. Jokic makes free throw 2 of 2
4:00.0,O. Casspi makes 3-pt shot from 26 ft (assist by R. Rondo),3,19-18,,
3:48.0,,,19-18,,D. Gallinari misses 2-pt shot from 19 ft
3:47.0,Defensive rebound by D. Cousins,,19-18,,
3:27.0,D. Collison makes 2-pt shot from 2 ft,2,21-18,,
3:06.0,,,21-18,,K. Faried misses 2-pt shot from 5 ft
3:05.0,Defensive rebound by O. Casspi,,21-18,,
3:01.0,D. Collison misses 2-pt shot from 2 ft (block by E. Mudiay),,21-18,,
3:00.0,Offensive rebound by Team,,21-18,,
3:00.0,K. Koufos enters the game for D. Cousins,,21-18,,
3:00.0,,,21-18,,J. Lauvergne enters the game for N. Jokic
3:00.0,,,21-18,,D. Arthur enters the game for K. Faried
2:54.0,Turnover by O. Casspi (bad pass; steal by D. Arthur),,21-18,,
2:50.0,,,21-18,,Turnover by D. Arthur (bad pass; steal by O. Casspi)
2:48.0,Offensive foul by R. Rondo,,21-18,,
2:48.0,Turnover by R. Rondo (offensive foul),,21-18,,
2:48.0,,,21-18,,Denver full timeout
2:48.0,M. Belinelli enters the game for R. Rondo,,21-18,,
2:48.0,,,21-18,,W. Barton enters the game for G. Harris
2:38.0,Personal foul by O. Casspi (drawn by D. Gallinari),,21-18,,
2:38.0,,,21-18,,D. Augustin enters the game for E. Mudiay
2:30.0,,,21-18,,J. Lauvergne misses 2-pt shot from 4 ft (block by K. Koufos)
2:30.0,Defensive rebound by K. Koufos,,21-18,,
2:19.0,O. Casspi misses 3-pt shot from 25 ft,,21-18,,
2:18.0,,,21-18,,Defensive rebound by D. Augustin
2:09.0,,,21-20,2,J. Lauvergne makes 2-pt shot at rim (assist by D. Augustin)
1:54.0,M. Belinelli misses 2-pt shot from 19 ft,,21-20,,
1:52.0,,,21-20,,Defensive rebound by D. Augustin
1:43.0,,,21-20,,J. Lauvergne misses 2-pt shot from 18 ft
1:42.0,,,21-20,,Offensive rebound by D. Arthur
1:37.0,,,21-23,3,D. Gallinari makes 3-pt shot from 25 ft (assist by D. Arthur)
1:31.0,D. Collison makes 2-pt shot from 2 ft,2,23-23,,
1:12.0,,,23-23,,D. Augustin misses 2-pt shot from 1 ft
1:11.0,Defensive rebound by D. Collison,,23-23,,
0:58.0,,,23-23,,Personal foul by W. Barton (drawn by M. Belinelli)
0:46.0,W. Cauley-Stein misses 2-pt shot at rim,,23-23,,
0:45.0,Offensive rebound by W. Cauley-Stein,,23-23,,
0:43.0,Shooting foul by D. Arthur (drawn by W. Cauley-Stein),,23-23,,
0:43.0,W. Cauley-Stein makes free throw 1 of 2,1,24-23,,
0:43.0,W. Cauley-Stein makes free throw 2 of 2,1,25-23,,
0:35.0,,,25-23,,Turnover by J. Lauvergne (offensive foul)
0:35.0,,,25-23,,Offensive foul by J. Lauvergne
0:28.0,K. Koufos misses 2-pt shot from 6 ft,,25-23,,
0:26.0,Offensive rebound by W. Cauley-Stein,,25-23,,
0:23.0,O. Casspi makes 3-pt shot from 26 ft (assist by W. Cauley-Stein),3,28-23,,
0:10.0,,,28-25,2,W. Barton makes 2-pt shot from 11 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,W. Cauley-Stein misses 2-pt shot from 1 ft (block by J. Sampson),,28-25,,
11:51.0,,,28-25,,Defensive rebound by Team
11:33.0,,,28-28,3,D. Arthur makes 3-pt shot from 24 ft (assist by D. Augustin)
11:19.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by O. Casspi),2,30-28,,
11:04.0,,,30-28,,D. Augustin misses 2-pt shot from 22 ft
11:03.0,Defensive rebound by K. Koufos,,30-28,,
10:55.0,K. Koufos makes 2-pt shot at rim (assist by D. Collison),2,32-28,,
10:33.0,,,32-28,,W. Barton misses 2-pt shot from 10 ft
10:32.0,Defensive rebound by O. Casspi,,32-28,,
10:31.0,Turnover by O. Casspi (bad pass),,32-28,,
10:31.0,R. Gay enters the game for W. Cauley-Stein,,32-28,,
10:20.0,,,32-28,,W. Barton misses 2-pt shot from 5 ft
10:19.0,Defensive rebound by K. Koufos,,32-28,,
10:09.0,Shooting foul by D. Arthur (drawn by R. Gay),,32-28,,
10:09.0,R. Gay misses free throw 1 of 2,,32-28,,
10:09.0,Offensive rebound by Team,,32-28,,
10:09.0,R. Gay makes free throw 2 of 2,1,33-28,,
9:51.0,,,33-30,2,D. Arthur makes 2-pt shot from 20 ft
9:35.0,,,33-30,,Personal foul by W. Barton (drawn by M. Belinelli)
9:29.0,M. Belinelli makes 2-pt shot from 19 ft (assist by D. Collison),2,35-30,,
9:13.0,,,35-30,,Turnover by D. Augustin (lost ball; steal by D. Collison)
9:06.0,M. Belinelli makes 2-pt shot from 2 ft (assist by D. Collison),2,37-30,,
9:06.0,,,37-30,,Denver full timeout
9:06.0,,,37-30,,N. Jokic enters the game for J. Lauvergne
8:52.0,,,37-33,3,D. Arthur makes 3-pt shot from 25 ft (assist by W. Barton)
8:28.0,R. Gay misses 2-pt shot from 2 ft,,37-33,,
8:28.0,,,37-33,,Defensive rebound by N. Jokic
8:21.0,,,37-33,,Turnover by J. Sampson (lost ball; steal by R. Gay)
8:21.0,,,37-33,,Personal foul by J. Sampson (drawn by R. Gay)
8:21.0,D. Cousins enters the game for K. Koufos,,37-33,,
8:04.0,D. Cousins misses 2-pt shot from 2 ft,,37-33,,
8:04.0,Offensive rebound by D. Cousins,,37-33,,
8:04.0,D. Cousins makes 2-pt shot from 2 ft,2,39-33,,
8:04.0,Shooting foul by N. Jokic (drawn by D. Cousins),,39-33,,
8:04.0,,,39-33,,J. Lauvergne enters the game for N. Jokic
8:04.0,D. Cousins makes free throw 1 of 1,1,40-33,,
7:53.0,,,40-33,,W. Barton misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by D. Collison,,40-33,,
7:40.0,M. Belinelli misses 2-pt shot from 7 ft,,40-33,,
7:39.0,,,40-33,,Defensive rebound by D. Arthur
7:35.0,,,40-33,,W. Barton misses 2-pt shot from 3 ft
7:34.0,,,40-33,,Offensive rebound by J. Sampson
7:32.0,,,40-33,,J. Sampson misses 2-pt shot from 1 ft
7:31.0,Defensive rebound by R. Gay,,40-33,,
7:23.0,R. Gay makes 2-pt shot at rim (assist by D. Collison),2,42-33,,
7:21.0,,,42-33,,Denver full timeout
7:21.0,,,42-33,,D. Gallinari enters the game for W. Barton
7:21.0,,,42-33,,G. Harris enters the game for J. Sampson
7:07.0,,,42-33,,D. Augustin misses 2-pt shot from 4 ft
7:05.0,,,42-33,,Offensive rebound by J. Lauvergne
7:02.0,,,42-35,2,J. Lauvergne makes 2-pt shot from 2 ft
7:00.0,Offensive charge foul by D. Collison,,42-35,,
7:00.0,Turnover by D. Collison (offensive foul),,42-35,,
6:42.0,,,42-37,2,J. Lauvergne makes 2-pt shot from 18 ft (assist by D. Arthur)
6:28.0,O. Casspi misses 3-pt shot from 25 ft,,42-37,,
6:28.0,,,42-37,,Defensive rebound by D. Arthur
6:18.0,,,42-37,,Turnover by D. Augustin (bad pass; steal by R. Gay)
6:13.0,O. Casspi makes 2-pt shot at rim (assist by R. Gay),2,44-37,,
5:52.0,,,44-37,,D. Arthur misses 2-pt shot from 15 ft (block by R. Gay)
5:51.0,Defensive rebound by O. Casspi,,44-37,,
5:32.0,M. Belinelli makes 3-pt shot from 24 ft (assist by O. Casspi),3,47-37,,
5:14.0,,,47-37,,D. Gallinari misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by D. Cousins,,47-37,,
4:58.0,,,47-37,,Personal foul by D. Arthur (drawn by D. Cousins)
4:58.0,,,47-37,,E. Mudiay enters the game for D. Augustin
4:58.0,R. Rondo enters the game for D. Collison,,47-37,,
4:58.0,D. Cousins misses free throw 1 of 2,,47-37,,
4:58.0,Offensive rebound by Team,,47-37,,
4:58.0,,,47-37,,J. Sampson enters the game for D. Arthur
4:58.0,,,47-37,,K. Faried enters the game for J. Lauvergne
4:58.0,D. Cousins misses free throw 2 of 2,,47-37,,
4:56.0,,,47-37,,Defensive rebound by K. Faried
4:46.0,,,47-37,,E. Mudiay misses 2-pt shot from 16 ft
4:45.0,Defensive rebound by D. Cousins,,47-37,,
4:35.0,R. Gay makes 3-pt shot from 25 ft (assist by R. Rondo),3,50-37,,
4:35.0,,,50-37,,Denver full timeout
4:19.0,,,50-37,,Turnover by J. Sampson (lost ball; steal by R. Rondo)
4:16.0,Turnover by R. Rondo (lost ball; steal by J. Sampson),,50-37,,
4:09.0,,,50-39,2,K. Faried makes 2-pt shot from 2 ft (assist by E. Mudiay)
4:06.0,Shooting foul by G. Harris (drawn by O. Casspi),,50-39,,
4:06.0,O. Casspi misses free throw 1 of 2,,50-39,,
4:06.0,Offensive rebound by Team,,50-39,,
4:06.0,O. Casspi makes free throw 2 of 2,1,51-39,,
3:49.0,,,51-39,,D. Gallinari misses 2-pt shot from 21 ft
3:48.0,Defensive rebound by R. Gay,,51-39,,
3:37.0,D. Cousins makes 2-pt shot from 1 ft,2,53-39,,
3:28.0,,,53-39,,J. Sampson misses 3-pt shot from 24 ft
3:27.0,Defensive rebound by O. Casspi,,53-39,,
3:19.0,,,53-39,,Personal foul by E. Mudiay (drawn by O. Casspi)
3:19.0,O. Casspi makes free throw 1 of 2,1,54-39,,
3:19.0,,,54-39,,W. Barton enters the game for J. Sampson
3:19.0,O. Casspi misses free throw 2 of 2,,54-39,,
3:18.0,,,54-39,,Defensive rebound by W. Barton
3:12.0,Personal foul by R. Rondo (drawn by E. Mudiay),,54-39,,
3:12.0,W. Cauley-Stein enters the game for O. Casspi,,54-39,,
3:06.0,Shooting block foul by R. Gay (drawn by D. Gallinari),,54-39,,
3:06.0,,,54-40,1,D. Gallinari makes free throw 1 of 3
3:06.0,,,54-41,1,D. Gallinari makes free throw 2 of 3
3:06.0,,,54-42,1,D. Gallinari makes free throw 3 of 3
2:46.0,M. Belinelli misses 2-pt shot from 14 ft,,54-42,,
2:45.0,,,54-42,,Defensive rebound by W. Barton
2:36.0,,,54-44,2,D. Gallinari makes 2-pt shot from 20 ft (assist by W. Barton)
2:28.0,M. Belinelli misses 3-pt shot from 23 ft,,54-44,,
2:27.0,,,54-44,,Defensive rebound by K. Faried
2:13.0,,,54-46,2,K. Faried makes 2-pt shot from 2 ft (assist by E. Mudiay)
2:11.0,Sacramento full timeout,,54-46,,
2:11.0,D. Collison enters the game for M. Belinelli,,54-46,,
1:52.0,,,54-46,,Personal foul by K. Faried (drawn by D. Cousins)
1:52.0,D. Cousins misses free throw 1 of 2,,54-46,,
1:52.0,Offensive rebound by Team,,54-46,,
1:52.0,D. Cousins makes free throw 2 of 2,1,55-46,,
1:39.0,,,55-48,2,W. Barton makes 2-pt shot from 19 ft
1:24.0,R. Gay makes 2-pt shot from 1 ft (assist by D. Cousins),2,57-48,,
1:08.0,,,57-48,,E. Mudiay misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
1:06.0,Defensive rebound by R. Rondo,,57-48,,
1:00.0,D. Cousins makes 2-pt shot at rim,2,59-48,,
0:40.0,,,59-48,,W. Barton misses 3-pt shot from 24 ft
0:38.0,,,59-48,,Offensive rebound by G. Harris
0:38.0,Personal foul by D. Cousins (drawn by G. Harris),,59-48,,
0:38.0,O. Casspi enters the game for R. Gay,,59-48,,
0:38.0,K. Koufos enters the game for D. Cousins,,59-48,,
0:33.0,,,59-50,2,E. Mudiay makes 2-pt shot from 14 ft
0:17.0,K. Koufos makes 2-pt shot from 3 ft (assist by D. Collison),2,61-50,,
0:03.0,,,61-50,,E. Mudiay misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by D. Collison,,61-50,,
0:01.0,D. Collison misses 3-pt shot from 71 ft,,61-50,,
0:00.0,Offensive rebound by Team,,61-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. Cousins misses 2-pt shot from 2 ft,,61-50,,
11:43.0,,,61-50,,Defensive rebound by N. Jokic
11:30.0,,,61-50,,E. Mudiay misses 2-pt shot from 1 ft (block by Q. Acy)
11:27.0,Defensive rebound by R. Rondo,,61-50,,
11:15.0,D. Cousins makes 3-pt shot from 24 ft (assist by B. McLemore),3,64-50,,
10:58.0,,,64-52,2,E. Mudiay makes 2-pt shot from 2 ft (assist by N. Jokic)
10:46.0,D. Cousins makes 2-pt shot from 20 ft (assist by R. Rondo),2,66-52,,
10:30.0,,,66-54,2,N. Jokic makes 2-pt shot from 1 ft (assist by D. Gallinari)
10:13.0,D. Cousins makes 3-pt shot from 24 ft (assist by R. Rondo),3,69-54,,
9:57.0,,,69-54,,N. Jokic misses 2-pt shot from 19 ft
9:57.0,,,69-54,,Offensive rebound by K. Faried
9:50.0,,,69-54,,G. Harris misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by Q. Acy,,69-54,,
9:43.0,,,69-54,,Personal foul by K. Faried (drawn by D. Cousins)
9:27.0,R. Gay makes 2-pt shot from 3 ft,2,71-54,,
9:10.0,,,71-56,2,N. Jokic makes 2-pt shot from 4 ft (assist by G. Harris)
8:57.0,B. McLemore makes 2-pt shot from 18 ft (assist by R. Rondo),2,73-56,,
8:57.0,,,73-56,,Denver full timeout
8:41.0,,,73-56,,D. Gallinari misses 2-pt shot from 22 ft
8:39.0,,,73-56,,Offensive rebound by N. Jokic
8:39.0,,,73-58,2,N. Jokic makes 2-pt shot from 1 ft
8:24.0,Turnover by D. Cousins (lost ball; steal by E. Mudiay),,73-58,,
8:19.0,,,73-58,,Shooting foul by Q. Acy (drawn by K. Faried)
8:19.0,,,73-58,,K. Faried misses free throw 1 of 2
8:19.0,,,73-58,,Offensive rebound by Team
8:19.0,,,73-59,1,K. Faried makes free throw 2 of 2
8:14.0,,,73-59,,Personal foul by K. Faried (drawn by D. Cousins)
8:00.0,R. Gay makes 2-pt shot from 5 ft,2,75-59,,
7:42.0,,,75-61,2,E. Mudiay makes 2-pt shot from 7 ft
7:33.0,Q. Acy misses 2-pt shot from 2 ft,,75-61,,
7:32.0,,,75-61,,Defensive rebound by N. Jokic
7:21.0,,,75-63,2,D. Gallinari makes 2-pt shot at rim (assist by N. Jokic)
7:08.0,R. Gay misses 3-pt shot from 25 ft,,75-63,,
7:06.0,,,75-63,,Defensive rebound by N. Jokic
6:53.0,,,75-66,3,E. Mudiay makes 3-pt shot from 25 ft (assist by N. Jokic)
6:32.0,B. McLemore makes 3-pt shot from 24 ft (assist by R. Rondo),3,78-66,,
6:20.0,,,78-66,,D. Gallinari misses 2-pt shot from 2 ft
6:20.0,Defensive rebound by Team,,78-66,,
6:20.0,,,78-66,,Loose ball foul by N. Jokic (drawn by D. Cousins)
6:20.0,Violation by Team (jump ball),,78-66,,
6:20.0,,,78-66,,J. Lauvergne enters the game for N. Jokic
6:10.0,Turnover by B. McLemore (traveling),,78-66,,
5:53.0,,,78-66,,K. Faried misses 2-pt shot at rim (block by Q. Acy)
5:51.0,Defensive rebound by Q. Acy,,78-66,,
5:45.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,80-66,,
5:29.0,,,80-66,,K. Faried misses 2-pt shot from 1 ft
5:27.0,,,80-66,,Offensive rebound by K. Faried
5:27.0,,,80-68,2,K. Faried makes 2-pt shot from 2 ft
5:13.0,D. Cousins misses 2-pt shot from 4 ft,,80-68,,
5:12.0,,,80-68,,Defensive rebound by K. Faried
5:06.0,D. Collison enters the game for B. McLemore,,80-68,,
5:06.0,W. Cauley-Stein enters the game for Q. Acy,,80-68,,
5:00.0,,,80-68,,Shooting foul by R. Gay (drawn by D. Gallinari)
5:00.0,,,80-69,1,D. Gallinari makes free throw 1 of 2
5:00.0,,,80-70,1,D. Gallinari makes free throw 2 of 2
4:45.0,R. Gay makes 2-pt shot from 17 ft (assist by R. Rondo),2,82-70,,
4:27.0,,,82-70,,J. Lauvergne misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by D. Cousins,,82-70,,
4:20.0,R. Rondo misses 2-pt shot from 1 ft,,82-70,,
4:18.0,,,82-70,,Defensive rebound by K. Faried
4:12.0,,,82-72,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by E. Mudiay)
4:02.0,Shooting foul by E. Mudiay (drawn by R. Gay),,82-72,,
4:02.0,R. Gay makes free throw 1 of 2,1,83-72,,
4:02.0,,,83-72,,D. Arthur enters the game for K. Faried
4:02.0,,,83-72,,W. Barton enters the game for G. Harris
4:02.0,R. Gay makes free throw 2 of 2,1,84-72,,
3:42.0,,,84-72,,D. Arthur misses 2-pt shot from 16 ft
3:41.0,Defensive rebound by R. Gay,,84-72,,
3:29.0,R. Rondo misses 2-pt shot from 1 ft,,84-72,,
3:28.0,,,84-72,,Defensive rebound by Team
3:14.0,,,84-72,,J. Lauvergne misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
3:13.0,Defensive rebound by R. Rondo,,84-72,,
3:05.0,D. Cousins makes 2-pt shot from 2 ft,2,86-72,,
3:05.0,Shooting foul by J. Lauvergne (drawn by D. Cousins),,86-72,,
3:05.0,O. Casspi enters the game for R. Gay,,86-72,,
3:05.0,D. Cousins makes free throw 1 of 1,1,87-72,,
2:50.0,,,87-74,2,D. Gallinari makes 2-pt shot at rim
2:32.0,D. Cousins misses 2-pt shot from 19 ft,,87-74,,
2:31.0,,,87-74,,Defensive rebound by W. Barton
2:24.0,,,87-74,,W. Barton misses 3-pt shot from 26 ft
2:24.0,Defensive rebound by O. Casspi,,87-74,,
2:12.0,D. Cousins makes 2-pt shot from 13 ft,2,89-74,,
1:57.0,Sacramento full timeout,,89-74,,
1:57.0,K. Koufos enters the game for D. Cousins,,89-74,,
1:51.0,,,89-77,3,D. Arthur makes 3-pt shot from 27 ft (assist by E. Mudiay)
1:29.0,R. Rondo misses 3-pt shot from 28 ft,,89-77,,
1:25.0,,,89-77,,Defensive rebound by W. Barton
1:18.0,,,89-77,,D. Gallinari misses 3-pt shot from 25 ft
1:17.0,,,89-77,,Offensive rebound by J. Lauvergne
1:10.0,,,89-77,,J. Lauvergne misses 2-pt shot from 5 ft
1:10.0,,,89-77,,Offensive rebound by Team
1:10.0,M. Belinelli enters the game for R. Rondo,,89-77,,
1:02.0,,,89-77,,W. Barton misses 2-pt shot from 13 ft
1:02.0,Defensive rebound by O. Casspi,,89-77,,
0:56.0,D. Collison makes 2-pt shot from 17 ft,2,91-77,,
0:34.0,,,91-77,,J. Lauvergne misses 2-pt shot from 4 ft
0:33.0,Defensive rebound by O. Casspi,,91-77,,
0:22.0,D. Collison misses 3-pt shot from 24 ft,,91-77,,
0:21.0,,,91-77,,Defensive rebound by W. Barton
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,91-77,,W. Barton misses 2-pt shot from 3 ft
11:43.0,Defensive rebound by W. Cauley-Stein,,91-77,,
11:37.0,M. Belinelli misses 2-pt shot from 17 ft,,91-77,,
11:35.0,,,91-77,,Defensive rebound by D. Augustin
11:32.0,,,91-79,2,W. Barton makes 2-pt shot at rim (assist by D. Augustin)
11:32.0,,,91-79,,Shooting foul by O. Casspi (drawn by W. Barton)
11:32.0,,,91-80,1,W. Barton makes free throw 1 of 1
11:06.0,M. Belinelli misses 2-pt shot from 18 ft,,91-80,,
11:05.0,Offensive rebound by K. Koufos,,91-80,,
10:57.0,K. Koufos makes 2-pt shot from 6 ft,2,93-80,,
10:38.0,,,93-80,,W. Barton misses 2-pt shot from 8 ft
10:37.0,Defensive rebound by O. Casspi,,93-80,,
10:21.0,Turnover by D. Collison (lost ball; steal by D. Arthur),,93-80,,
10:16.0,,,93-83,3,W. Barton makes 3-pt shot from 25 ft (assist by D. Arthur)
10:01.0,M. Belinelli misses 2-pt shot from 7 ft,,93-83,,
10:00.0,,,93-83,,Defensive rebound by D. Arthur
9:52.0,,,93-83,,Shooting foul by W. Cauley-Stein (drawn by W. Barton)
9:52.0,,,93-84,1,W. Barton makes free throw 1 of 2
9:52.0,R. Gay enters the game for W. Cauley-Stein,,93-84,,
9:52.0,,,93-84,,W. Barton misses free throw 2 of 2
9:49.0,Defensive rebound by R. Gay,,93-84,,
9:45.0,,,93-84,,Personal block foul by W. Barton (drawn by O. Casspi)
9:31.0,D. Collison misses 2-pt shot from 18 ft,,93-84,,
9:30.0,,,93-84,,Defensive rebound by J. Lauvergne
9:20.0,,,93-86,2,W. Barton makes 2-pt shot from 10 ft
9:20.0,Sacramento full timeout,,93-86,,
9:20.0,D. Cousins enters the game for K. Koufos,,93-86,,
9:09.0,D. Cousins misses 2-pt shot from 5 ft,,93-86,,
9:09.0,,,93-86,,Defensive rebound by J. Lauvergne
9:05.0,,,93-86,,Turnover by J. Sampson (lost ball)
8:50.0,Turnover by D. Cousins (bad pass; steal by D. Augustin),,93-86,,
8:50.0,Clear path foul by O. Casspi,,93-86,,
8:50.0,,,93-87,1,D. Augustin makes clear path free throw 1 of 2
8:50.0,,,93-88,1,D. Augustin makes clear path free throw 2 of 2
8:29.0,,,93-91,3,W. Barton makes 3-pt shot from 25 ft (assist by D. Arthur)
8:13.0,D. Cousins misses 2-pt shot from 1 ft,,93-91,,
8:11.0,Offensive rebound by O. Casspi,,93-91,,
8:11.0,O. Casspi makes 2-pt shot from 2 ft,2,95-91,,
7:48.0,,,95-91,,Turnover by J. Lauvergne (bad pass; steal by R. Gay)
7:30.0,D. Cousins misses 2-pt shot from 2 ft,,95-91,,
7:30.0,,,95-91,,Defensive rebound by J. Lauvergne
7:20.0,,,95-94,3,D. Arthur makes 3-pt shot from 26 ft (assist by W. Barton)
6:54.0,M. Belinelli misses 3-pt shot from 24 ft,,95-94,,
6:53.0,,,95-94,,Defensive rebound by J. Lauvergne
6:47.0,,,95-94,,W. Barton misses 3-pt shot from 24 ft
