time,Detroit,pts.away,score,pts.home,New Orleans
8:26.0,E. Ilyasova misses 3-pt shot from 24 ft,,7-11,,
8:25.0,,,7-11,,Defensive rebound by N. Cole
8:15.0,,,7-13,2,O. Asik makes 2-pt shot from 1 ft (assist by N. Cole)
7:55.0,A. Drummond makes 2-pt shot from 1 ft,2,9-13,,
7:41.0,,,9-13,,N. Cole misses 2-pt shot from 20 ft
7:40.0,Defensive rebound by M. Morris,,9-13,,
7:32.0,M. Morris makes 2-pt shot from 15 ft,2,11-13,,
7:13.0,,,11-15,2,T. Evans makes 2-pt shot from 2 ft
7:00.0,R. Jackson makes 2-pt shot from 4 ft,2,13-15,,
6:49.0,,,13-15,,A. Davis misses 3-pt shot from 24 ft
6:48.0,Defensive rebound by A. Drummond,,13-15,,
6:43.0,Turnover by R. Jackson (lost ball),,13-15,,
6:29.0,,,13-18,3,T. Evans makes 3-pt shot from 24 ft
6:08.0,M. Morris misses 2-pt shot from 2 ft,,13-18,,
6:07.0,,,13-18,,Defensive rebound by O. Asik
6:01.0,,,13-18,,N. Cole misses 2-pt shot from 2 ft
6:00.0,Defensive rebound by E. Ilyasova,,13-18,,
5:54.0,R. Jackson misses 2-pt shot from 6 ft,,13-18,,
5:52.0,Offensive rebound by A. Drummond,,13-18,,
5:50.0,A. Drummond misses 2-pt shot from 1 ft,,13-18,,
5:49.0,,,13-18,,Defensive rebound by T. Evans
5:39.0,,,13-20,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
5:22.0,Shooting foul by T. Evans (drawn by E. Ilyasova),,13-20,,
5:22.0,E. Ilyasova misses free throw 1 of 2,,13-20,,
5:22.0,Offensive rebound by Team,,13-20,,
5:22.0,E. Ilyasova makes free throw 2 of 2,1,14-20,,
5:10.0,,,14-23,3,D. Cunningham makes 3-pt shot from 23 ft (assist by T. Evans)
4:45.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by R. Jackson),2,16-23,,
4:19.0,,,16-23,,A. Davis misses 2-pt shot from 6 ft
4:18.0,Defensive rebound by A. Drummond,,16-23,,
4:05.0,Shooting foul by T. Evans (drawn by E. Ilyasova),,16-23,,
4:05.0,E. Ilyasova makes free throw 1 of 3,1,17-23,,
4:05.0,E. Ilyasova makes free throw 2 of 3,1,18-23,,
4:05.0,,,18-23,,J. Holiday enters the game for T. Evans
4:05.0,S. Johnson enters the game for M. Morris,,18-23,,
4:05.0,E. Ilyasova makes free throw 3 of 3,1,19-23,,
3:46.0,,,19-25,2,J. Holiday makes 2-pt shot from 3 ft
3:36.0,E. Ilyasova misses 2-pt shot from 7 ft,,19-25,,
3:35.0,,,19-25,,Defensive rebound by J. Holiday
3:31.0,,,19-27,2,N. Cole makes 2-pt shot from 17 ft (assist by J. Holiday)
3:10.0,Shooting foul by N. Cole (drawn by K. Caldwell-Pope),,19-27,,
3:10.0,K. Caldwell-Pope makes free throw 1 of 2,1,20-27,,
3:10.0,,,20-27,,R. Anderson enters the game for A. Davis
3:10.0,K. Caldwell-Pope makes free throw 2 of 2,1,21-27,,
2:59.0,,,21-29,2,R. Anderson makes 2-pt shot from 10 ft (assist by J. Holiday)
2:41.0,S. Johnson makes 2-pt shot from 7 ft (assist by E. Ilyasova),2,23-29,,
2:27.0,Personal foul by S. Johnson (drawn by R. Anderson),,23-29,,
2:27.0,,,23-29,,New Orleans full timeout
2:27.0,B. Jennings enters the game for R. Jackson,,23-29,,
2:27.0,,,23-29,,A. Ajinca enters the game for O. Asik
2:16.0,,,23-31,2,A. Ajinca makes 2-pt shot from 12 ft (assist by N. Cole)
1:52.0,S. Johnson misses 2-pt shot from 16 ft,,23-31,,
1:52.0,,,23-31,,Defensive rebound by A. Ajinca
1:44.0,,,23-31,,Shooting foul by S. Johnson (drawn by R. Anderson)
1:44.0,,,23-32,1,R. Anderson makes free throw 1 of 2
1:44.0,,,23-32,,A. Gee enters the game for D. Cunningham
1:44.0,,,23-33,1,R. Anderson makes free throw 2 of 2
1:34.0,E. Ilyasova misses 3-pt shot from 25 ft,,23-33,,
1:33.0,,,23-33,,Defensive rebound by N. Cole
1:25.0,,,23-35,2,N. Cole makes 2-pt shot from 8 ft
1:08.0,K. Caldwell-Pope makes 2-pt shot from 6 ft,2,25-35,,
1:00.0,,,25-35,,J. Holiday misses 2-pt shot from 15 ft
0:59.0,Defensive rebound by A. Drummond,,25-35,,
0:39.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,25-35,,
0:38.0,,,25-35,,Defensive rebound by J. Holiday
0:29.0,,,25-35,,R. Anderson misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by A. Drummond,,25-35,,
0:06.0,K. Caldwell-Pope makes 2-pt shot from 9 ft (assist by B. Jennings),2,27-35,,
0:01.0,,,27-35,,A. Gee misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by A. Drummond,,27-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,27-37,2,J. Holiday makes 2-pt shot from 1 ft
11:21.0,A. Baynes misses 2-pt shot from 9 ft,,27-37,,
11:20.0,,,27-37,,Defensive rebound by A. Ajinca
11:10.0,,,27-37,,J. Holiday misses 2-pt shot from 3 ft
11:09.0,Defensive rebound by A. Baynes,,27-37,,
11:02.0,B. Jennings makes 3-pt shot from 25 ft,3,30-37,,
10:40.0,,,30-39,2,R. Anderson makes 2-pt shot from 2 ft
10:27.0,,,30-39,,Personal foul by A. Ajinca (drawn by A. Baynes)
10:27.0,Technical foul by M. Morris,,30-39,,
10:27.0,,,30-40,1,R. Anderson makes technical free throw
10:17.0,Turnover by M. Morris (bad pass; steal by T. Douglas),,30-40,,
10:15.0,,,30-42,2,T. Douglas makes 2-pt shot from 1 ft
9:49.0,A. Baynes makes 2-pt shot from 3 ft (assist by S. Johnson),2,32-42,,
9:35.0,,,32-44,2,A. Ajinca makes 2-pt shot from 1 ft (assist by J. Holiday)
9:28.0,Detroit full timeout,,32-44,,
9:20.0,B. Jennings misses 3-pt shot from 25 ft,,32-44,,
9:20.0,,,32-44,,Defensive rebound by A. Ajinca
8:58.0,,,32-44,,R. Anderson misses 2-pt shot from 15 ft
8:58.0,Defensive rebound by M. Morris,,32-44,,
8:52.0,B. Jennings makes 2-pt shot from 7 ft (assist by M. Morris),2,34-44,,
8:52.0,Shooting foul by T. Douglas (drawn by B. Jennings),,34-44,,
8:52.0,,,34-44,,A. Davis enters the game for A. Ajinca
8:52.0,B. Jennings makes free throw 1 of 1,1,35-44,,
8:39.0,,,35-47,3,A. Gee makes 3-pt shot from 23 ft (assist by A. Davis)
8:22.0,Turnover by S. Johnson (bad pass; steal by T. Douglas),,35-47,,
8:19.0,,,35-49,2,A. Davis makes 2-pt shot at rim (assist by T. Douglas)
8:04.0,A. Tolliver makes 3-pt shot from 25 ft (assist by B. Jennings),3,38-49,,
7:47.0,,,38-51,2,A. Davis makes 2-pt shot from 5 ft (assist by T. Douglas)
7:29.0,B. Jennings misses 2-pt shot from 11 ft,,38-51,,
7:28.0,,,38-51,,Defensive rebound by R. Anderson
7:19.0,,,38-51,,Turnover by A. Davis (traveling)
7:19.0,K. Caldwell-Pope enters the game for S. Johnson,,38-51,,
7:05.0,M. Morris misses 3-pt shot from 24 ft,,38-51,,
7:04.0,Offensive rebound by K. Caldwell-Pope,,38-51,,
6:57.0,Turnover by A. Baynes (3 sec),,38-51,,
6:40.0,,,38-51,,J. Holiday misses 2-pt shot from 6 ft
6:39.0,Defensive rebound by A. Baynes,,38-51,,
6:30.0,Turnover by K. Caldwell-Pope (lost ball; steal by J. Holiday),,38-51,,
6:20.0,,,38-53,2,R. Anderson makes 2-pt shot from 2 ft (assist by J. Holiday)
6:07.0,Shooting foul by A. Davis (drawn by A. Baynes),,38-53,,
6:07.0,A. Baynes makes free throw 1 of 2,1,39-53,,
6:07.0,R. Jackson enters the game for B. Jennings,,39-53,,
6:07.0,E. Ilyasova enters the game for A. Tolliver,,39-53,,
6:07.0,,,39-53,,T. Evans enters the game for T. Douglas
6:07.0,A. Baynes makes free throw 2 of 2,1,40-53,,
5:55.0,,,40-53,,A. Davis misses 2-pt shot from 19 ft
5:54.0,Defensive rebound by A. Baynes,,40-53,,
5:42.0,M. Morris misses 2-pt shot from 16 ft,,40-53,,
5:41.0,,,40-53,,Defensive rebound by T. Evans
5:25.0,,,40-53,,Turnover by A. Davis (lost ball; steal by A. Baynes)
5:12.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,40-53,,
5:10.0,Offensive rebound by M. Morris,,40-53,,
5:10.0,M. Morris makes 2-pt shot from 1 ft,2,42-53,,
5:03.0,,,42-53,,Shooting foul by A. Baynes (drawn by A. Davis)
5:03.0,Official timeout,,42-53,,
5:03.0,A. Drummond enters the game for A. Baynes,,42-53,,
5:03.0,,,42-53,,N. Cole enters the game for J. Holiday
5:03.0,,,42-54,1,A. Davis makes free throw 1 of 2
5:03.0,,,42-55,1,A. Davis makes free throw 2 of 2
4:55.0,,,42-55,,Personal foul by A. Gee (drawn by M. Morris)
4:37.0,K. Caldwell-Pope makes 2-pt shot from 12 ft,2,44-55,,
4:26.0,,,44-55,,Turnover by T. Evans (bad pass; steal by A. Drummond)
4:22.0,Turnover by K. Caldwell-Pope (lost ball; steal by A. Gee),,44-55,,
4:14.0,,,44-57,2,T. Evans makes 2-pt shot from 2 ft
4:04.0,Turnover by R. Jackson (lost ball; steal by A. Davis),,44-57,,
4:03.0,Personal foul by R. Jackson (drawn by A. Davis),,44-57,,
3:55.0,,,44-57,,T. Evans misses 2-pt shot from 1 ft
3:53.0,,,44-57,,Offensive rebound by A. Davis
3:53.0,,,44-57,,A. Davis misses 2-pt shot from 2 ft
3:51.0,Defensive rebound by Team,,44-57,,
3:41.0,,,44-57,,Personal foul by A. Davis (drawn by A. Drummond)
3:41.0,A. Drummond makes free throw 1 of 2,1,45-57,,
3:41.0,A. Drummond makes free throw 2 of 2,1,46-57,,
3:29.0,,,46-59,2,A. Davis makes 2-pt shot from 17 ft (assist by T. Evans)
3:04.0,R. Jackson misses 2-pt shot from 16 ft,,46-59,,
3:03.0,,,46-59,,Defensive rebound by A. Gee
2:48.0,,,46-61,2,A. Davis makes 2-pt shot from 16 ft (assist by T. Evans)
2:35.0,K. Caldwell-Pope misses 2-pt shot at rim,,46-61,,
2:34.0,Offensive rebound by A. Drummond,,46-61,,
2:34.0,A. Drummond misses 2-pt shot from 2 ft,,46-61,,
2:33.0,Offensive rebound by A. Drummond,,46-61,,
2:33.0,A. Drummond makes 2-pt shot from 2 ft,2,48-61,,
2:13.0,,,48-63,2,A. Gee makes 2-pt shot at rim (assist by A. Davis)
2:02.0,Turnover by E. Ilyasova (traveling),,48-63,,
2:02.0,,,48-63,,New Orleans full timeout
2:02.0,,,48-63,,O. Asik enters the game for A. Davis
1:53.0,,,48-66,3,T. Evans makes 3-pt shot from 24 ft
1:38.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,48-66,,
1:38.0,Offensive rebound by A. Drummond,,48-66,,
1:38.0,Shooting foul by R. Anderson (drawn by A. Drummond),,48-66,,
1:38.0,A. Drummond makes 2-pt shot from 2 ft,2,50-66,,
1:38.0,A. Drummond misses free throw 1 of 1,,50-66,,
1:36.0,,,50-66,,Defensive rebound by A. Gee
1:23.0,,,50-66,,Shooting foul by A. Drummond (drawn by O. Asik)
1:23.0,,,50-67,1,O. Asik makes free throw 1 of 2
1:23.0,,,50-68,1,O. Asik makes free throw 2 of 2
1:07.0,M. Morris misses 2-pt shot from 5 ft,,50-68,,
1:07.0,Offensive rebound by A. Drummond,,50-68,,
1:07.0,Shooting foul by N. Cole (drawn by A. Drummond),,50-68,,
1:07.0,A. Drummond makes free throw 1 of 2,1,51-68,,
1:07.0,,,51-68,,T. Douglas enters the game for N. Cole
1:07.0,A. Drummond misses free throw 2 of 2,,51-68,,
1:05.0,,,51-68,,Defensive rebound by A. Gee
0:56.0,,,51-70,2,T. Evans makes 2-pt shot from 2 ft
0:47.0,Turnover by A. Drummond (lost ball; steal by T. Douglas),,51-70,,
0:27.0,,,51-72,2,R. Anderson makes 2-pt shot from 2 ft (assist by A. Gee)
0:05.0,R. Jackson makes 2-pt shot from 1 ft,2,53-72,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,53-72,,A. Davis misses 2-pt shot from 19 ft
11:48.0,Defensive rebound by A. Drummond,,53-72,,
11:37.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,53-72,,
11:35.0,,,53-72,,Defensive rebound by D. Cunningham
11:14.0,,,53-72,,N. Cole misses 2-pt shot from 1 ft
11:13.0,,,53-72,,Offensive rebound by O. Asik
11:13.0,,,53-74,2,O. Asik makes 2-pt shot from 2 ft
10:44.0,R. Jackson misses 3-pt shot from 27 ft,,53-74,,
10:44.0,,,53-74,,Defensive rebound by N. Cole
10:31.0,,,53-74,,T. Evans misses 2-pt shot from 16 ft
10:30.0,Defensive rebound by K. Caldwell-Pope,,53-74,,
10:11.0,M. Morris misses 2-pt shot from 15 ft,,53-74,,
10:10.0,Offensive rebound by M. Morris,,53-74,,
10:09.0,M. Morris misses 2-pt shot from 2 ft (block by O. Asik),,53-74,,
10:08.0,Offensive rebound by M. Morris,,53-74,,
10:08.0,M. Morris misses 2-pt shot from 2 ft,,53-74,,
10:07.0,,,53-74,,Defensive rebound by N. Cole
9:55.0,,,53-74,,N. Cole misses 2-pt shot from 22 ft
9:54.0,Defensive rebound by A. Drummond,,53-74,,
9:48.0,E. Ilyasova misses 3-pt shot from 24 ft,,53-74,,
9:47.0,,,53-74,,Defensive rebound by O. Asik
9:44.0,,,53-74,,New Orleans full timeout
9:32.0,,,53-74,,A. Davis misses 2-pt shot from 17 ft
9:30.0,Defensive rebound by K. Caldwell-Pope,,53-74,,
9:23.0,K. Caldwell-Pope makes 2-pt shot from 16 ft,2,55-74,,
9:05.0,,,55-74,,D. Cunningham misses 2-pt shot from 20 ft
9:05.0,,,55-74,,Offensive rebound by O. Asik
8:59.0,Personal block foul by K. Caldwell-Pope (drawn by T. Evans),,55-74,,
8:45.0,,,55-76,2,O. Asik makes 2-pt shot at rim (assist by N. Cole)
8:17.0,A. Drummond misses 2-pt shot from 5 ft,,55-76,,
8:15.0,,,55-76,,Defensive rebound by O. Asik
8:08.0,,,55-76,,A. Davis misses 2-pt shot from 5 ft
8:07.0,,,55-76,,Offensive rebound by O. Asik
8:07.0,,,55-78,2,O. Asik makes 2-pt shot from 1 ft
7:43.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by R. Jackson),3,58-78,,
7:29.0,,,58-78,,D. Cunningham misses 3-pt shot from 23 ft
7:29.0,,,58-78,,Offensive rebound by Team
7:25.0,,,58-78,,Turnover by T. Evans (lost ball; steal by A. Drummond)
7:21.0,Turnover by R. Jackson (bad pass),,58-78,,
7:10.0,,,58-78,,N. Cole misses 2-pt shot from 20 ft
7:10.0,Defensive rebound by A. Drummond,,58-78,,
6:46.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,60-78,,
6:24.0,,,60-78,,A. Davis misses 2-pt shot from 17 ft
6:23.0,Defensive rebound by A. Drummond,,60-78,,
6:17.0,R. Jackson misses 3-pt shot from 26 ft,,60-78,,
6:14.0,,,60-78,,Defensive rebound by O. Asik
5:53.0,,,60-78,,T. Evans misses 2-pt shot from 2 ft (block by M. Morris)
5:52.0,,,60-78,,Offensive rebound by O. Asik
5:52.0,,,60-78,,Turnover by Team (shot clock)
5:52.0,,,60-78,,New Orleans full timeout
5:52.0,,,60-78,,J. Holiday enters the game for T. Evans
5:35.0,K. Caldwell-Pope makes 2-pt shot from 21 ft (assist by A. Drummond),2,62-78,,
5:20.0,,,62-78,,Turnover by J. Holiday (bad pass)
5:10.0,,,62-78,,Personal foul by O. Asik (drawn by R. Jackson)
5:03.0,R. Jackson makes 2-pt shot from 15 ft,2,64-78,,
4:54.0,,,64-78,,Shooting foul by R. Jackson (drawn by A. Davis)
4:54.0,,,64-79,1,A. Davis makes free throw 1 of 2
4:54.0,,,64-80,1,A. Davis makes free throw 2 of 2
4:40.0,R. Jackson misses 3-pt shot from 27 ft,,64-80,,
4:39.0,Offensive rebound by E. Ilyasova,,64-80,,
4:39.0,,,64-80,,Loose ball foul by A. Davis (drawn by E. Ilyasova)
4:28.0,A. Drummond makes 2-pt shot at rim (assist by M. Morris),2,66-80,,
4:17.0,,,66-82,2,A. Davis makes 2-pt shot from 13 ft (assist by N. Cole)
4:02.0,Turnover by E. Ilyasova (traveling),,66-82,,
4:02.0,,,66-82,,A. Ajinca enters the game for O. Asik
3:46.0,,,66-82,,J. Holiday misses 2-pt shot from 16 ft
3:46.0,Defensive rebound by A. Drummond,,66-82,,
3:33.0,E. Ilyasova makes 2-pt shot from 15 ft,2,68-82,,
3:20.0,,,68-82,,Shooting foul by R. Jackson (drawn by N. Cole)
3:20.0,,,68-83,1,N. Cole makes free throw 1 of 2
3:20.0,,,68-83,,A. Gee enters the game for D. Cunningham
3:20.0,,,68-83,,R. Anderson enters the game for A. Davis
3:20.0,,,68-84,1,N. Cole makes free throw 2 of 2
3:06.0,R. Jackson misses 2-pt shot from 1 ft (block by A. Ajinca),,68-84,,
3:06.0,,,68-84,,Defensive rebound by N. Cole
2:55.0,,,68-86,2,A. Ajinca makes 2-pt shot from 8 ft (assist by N. Cole)
2:47.0,Detroit full timeout,,68-86,,
2:47.0,S. Johnson enters the game for M. Morris,,68-86,,
2:47.0,B. Jennings enters the game for R. Jackson,,68-86,,
2:28.0,B. Jennings misses 2-pt shot from 21 ft,,68-86,,
2:27.0,,,68-86,,Defensive rebound by A. Gee
2:09.0,,,68-88,2,J. Holiday makes 2-pt shot from 1 ft (assist by N. Cole)
1:45.0,B. Jennings makes 3-pt shot from 25 ft (assist by S. Johnson),3,71-88,,
1:29.0,,,71-88,,J. Holiday misses 2-pt shot from 3 ft
1:28.0,Defensive rebound by S. Johnson,,71-88,,
1:15.0,S. Johnson makes 2-pt shot from 21 ft (assist by B. Jennings),2,73-88,,
1:03.0,,,73-88,,R. Anderson misses 2-pt shot from 12 ft
1:03.0,Defensive rebound by Team,,73-88,,
0:46.0,B. Jennings makes 2-pt shot from 9 ft,2,75-88,,
0:31.0,,,75-90,2,R. Anderson makes 2-pt shot from 2 ft
0:18.0,B. Jennings makes 2-pt shot from 1 ft,2,77-90,,
0:01.0,,,77-90,,N. Cole misses 2-pt shot from 17 ft
0:01.0,Defensive rebound by A. Drummond,,77-90,,
0:00.0,A. Drummond misses 3-pt shot from 74 ft,,77-90,,
0:00.0,Offensive rebound by Team,,77-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Shooting foul by N. Cole (drawn by B. Jennings),,77-90,,
11:45.0,B. Jennings makes free throw 1 of 3,1,78-90,,
11:45.0,B. Jennings misses free throw 2 of 3,,78-90,,
11:45.0,Offensive rebound by Team,,78-90,,
11:45.0,A. Baynes enters the game for A. Drummond,,78-90,,
11:45.0,B. Jennings makes free throw 3 of 3,1,79-90,,
11:28.0,,,79-90,,J. Holiday misses 3-pt shot from 24 ft
11:27.0,Defensive rebound by A. Baynes,,79-90,,
11:22.0,A. Baynes misses 2-pt shot from 2 ft (block by A. Gee),,79-90,,
11:22.0,Offensive rebound by Team,,79-90,,
11:22.0,,,79-90,,T. Douglas enters the game for N. Cole
11:22.0,Jump ball: A. Baynes vs. A. Gee,,,,Jump ball: A. Baynes vs. A. Gee
11:12.0,A. Tolliver misses 3-pt shot from 23 ft,,79-90,,
11:11.0,Offensive rebound by S. Johnson,,79-90,,
11:08.0,S. Johnson makes 2-pt shot from 2 ft,2,81-90,,
11:08.0,Violation by Team (delay of game),,81-90,,
10:59.0,,,81-90,,T. Evans enters the game for J. Holiday
10:44.0,,,81-90,,T. Douglas misses 3-pt shot from 23 ft
10:42.0,Defensive rebound by B. Jennings,,81-90,,
10:38.0,Turnover by B. Jennings (lost ball),,81-90,,
10:31.0,,,81-92,2,T. Evans makes 2-pt shot from 1 ft
10:12.0,S. Johnson misses 3-pt shot from 23 ft,,81-92,,
10:11.0,,,81-92,,Defensive rebound by A. Gee
9:59.0,,,81-94,2,A. Davis makes 2-pt shot from 15 ft (assist by T. Evans)
9:45.0,,,81-94,,Personal foul by T. Douglas (drawn by M. Morris)
9:45.0,K. Caldwell-Pope enters the game for M. Morris,,81-94,,
9:31.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by B. Jennings),2,83-94,,
9:20.0,,,83-96,2,A. Davis makes 2-pt shot from 11 ft (assist by T. Evans)
8:57.0,Official timeout,,83-96,,
8:54.0,A. Tolliver misses 3-pt shot from 23 ft (block by A. Davis),,83-96,,
8:53.0,,,83-96,,Defensive rebound by T. Evans
8:48.0,,,83-96,,T. Douglas misses 2-pt shot from 2 ft (block by K. Caldwell-Pope)
8:47.0,,,83-96,,Offensive rebound by A. Gee
8:46.0,,,83-96,,New Orleans full timeout
8:36.0,,,83-96,,A. Davis misses 2-pt shot at rim
8:34.0,Defensive rebound by A. Tolliver,,83-96,,
8:29.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by B. Jennings),3,86-96,,
8:14.0,,,86-96,,T. Evans misses 2-pt shot from 1 ft
8:13.0,,,86-96,,Offensive rebound by A. Davis
8:13.0,,,86-98,2,A. Davis makes 2-pt shot from 1 ft
7:50.0,A. Baynes makes 2-pt shot from 2 ft (assist by A. Tolliver),2,88-98,,
7:37.0,Personal foul by A. Baynes (drawn by A. Davis),,88-98,,
7:37.0,,,88-98,,J. Holiday enters the game for T. Douglas
7:37.0,M. Morris enters the game for S. Johnson,,88-98,,
7:27.0,,,88-100,2,A. Davis makes 2-pt shot from 19 ft (assist by T. Evans)
7:07.0,A. Baynes misses 2-pt shot from 15 ft,,88-100,,
7:05.0,Offensive rebound by A. Baynes,,88-100,,
7:01.0,B. Jennings misses 3-pt shot from 24 ft,,88-100,,
7:01.0,,,88-100,,Defensive rebound by A. Gee
6:45.0,,,88-102,2,T. Evans makes 2-pt shot from 1 ft
6:32.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,88-102,,
6:31.0,,,88-102,,Defensive rebound by A. Davis
6:24.0,Personal foul by K. Caldwell-Pope (drawn by T. Evans),,88-102,,
6:24.0,A. Drummond enters the game for A. Baynes,,88-102,,
6:24.0,R. Jackson enters the game for A. Tolliver,,88-102,,
6:24.0,E. Ilyasova enters the game for B. Jennings,,88-102,,
6:09.0,,,88-102,,R. Anderson misses 2-pt shot from 14 ft
6:08.0,Defensive rebound by M. Morris,,88-102,,
5:55.0,E. Ilyasova misses 3-pt shot from 23 ft,,88-102,,
5:54.0,,,88-102,,Defensive rebound by A. Gee
5:44.0,,,88-102,,J. Holiday misses 2-pt shot from 6 ft
5:44.0,,,88-102,,Offensive rebound by A. Davis
5:43.0,,,88-102,,A. Davis misses 2-pt shot from 5 ft
5:42.0,,,88-102,,Offensive rebound by A. Gee
5:42.0,,,88-104,2,A. Gee makes 2-pt shot at rim
5:41.0,Detroit full timeout,,88-104,,
5:31.0,Turnover by M. Morris (lost ball),,88-104,,
5:24.0,,,88-104,,Shooting foul by A. Drummond (drawn by T. Evans)
5:24.0,,,88-105,1,T. Evans makes free throw 1 of 2
5:24.0,,,88-106,1,T. Evans makes free throw 2 of 2
5:04.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,88-106,,
5:04.0,,,88-106,,Defensive rebound by A. Davis
4:56.0,,,88-106,,Offensive foul by T. Evans
4:56.0,,,88-106,,Turnover by T. Evans (offensive foul)
4:42.0,R. Jackson makes 2-pt shot from 1 ft,2,90-106,,
4:29.0,,,90-106,,J. Holiday misses 2-pt shot from 1 ft
4:28.0,,,90-106,,Offensive rebound by R. Anderson
4:27.0,Personal foul by E. Ilyasova (drawn by R. Anderson),,90-106,,
4:18.0,,,90-108,2,A. Davis makes 2-pt shot from 14 ft (assist by T. Evans)
4:04.0,Turnover by R. Jackson (lost ball; steal by T. Evans),,90-108,,
3:46.0,,,90-108,,Turnover by T. Evans (bad pass; steal by A. Drummond)
3:37.0,M. Morris misses 3-pt shot from 24 ft,,90-108,,
3:36.0,Offensive rebound by Team,,90-108,,
3:36.0,S. Johnson enters the game for M. Morris,,90-108,,
3:28.0,B. Jennings enters the game for R. Jackson,,90-108,,
3:24.0,A. Drummond misses 2-pt shot from 2 ft,,90-108,,
3:23.0,Offensive rebound by A. Drummond,,90-108,,
3:23.0,A. Drummond makes 2-pt shot from 2 ft,2,92-108,,
3:03.0,,,92-108,,Turnover by R. Anderson (lost ball)
3:03.0,,,92-108,,N. Cole enters the game for J. Holiday
2:50.0,A. Drummond misses 2-pt shot from 5 ft,,92-108,,
2:49.0,Offensive rebound by A. Drummond,,92-108,,
2:48.0,Turnover by A. Drummond (lost ball; steal by T. Evans),,92-108,,
2:26.0,,,92-108,,T. Evans misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by A. Drummond,,92-108,,
2:21.0,,,92-108,,Personal foul by A. Davis (drawn by E. Ilyasova)
2:16.0,Shooting foul by N. Cole (drawn by B. Jennings),,92-108,,
2:16.0,B. Jennings makes free throw 1 of 2,1,93-108,,
2:16.0,B. Jennings makes free throw 2 of 2,1,94-108,,
2:04.0,,,94-108,,Turnover by N. Cole (bad pass; steal by A. Drummond)
1:57.0,A. Drummond misses 2-pt shot from 5 ft,,94-108,,
1:56.0,,,94-108,,Defensive rebound by A. Davis
1:31.0,,,94-110,2,N. Cole makes 2-pt shot from 5 ft
