time,Detroit,pts.away,score,pts.home,Utah
3:34.0,,,38-31,2,G. Hayward makes 2-pt shot from 1 ft
3:34.0,,,38-31,,Shooting foul by A. Drummond (drawn by G. Hayward)
3:34.0,E. Ilyasova enters the game for A. Tolliver,,38-31,,
3:34.0,,,38-31,,R. Hood enters the game for J. Ingles
3:34.0,A. Baynes enters the game for A. Drummond,,38-31,,
3:34.0,,,38-31,,T. Burke enters the game for C. Johnson
3:34.0,,,38-32,1,G. Hayward makes free throw 1 of 1
3:15.0,A. Baynes misses 2-pt shot from 3 ft,,38-32,,
3:14.0,,,38-32,,Defensive rebound by T. Booker
3:10.0,,,38-32,,Offensive charge foul by G. Hayward
3:10.0,,,38-32,,Turnover by G. Hayward (offensive foul)
2:56.0,A. Baynes makes 2-pt shot from 14 ft (assist by R. Jackson),2,40-32,,
2:49.0,,,40-32,,Utah full timeout
2:31.0,,,40-32,,G. Hayward misses 3-pt shot from 22 ft
2:30.0,Defensive rebound by E. Ilyasova,,40-32,,
2:18.0,E. Ilyasova misses 2-pt shot from 16 ft,,40-32,,
2:17.0,Offensive rebound by A. Baynes,,40-32,,
2:14.0,Shooting foul by T. Booker (drawn by E. Ilyasova),,40-32,,
2:14.0,E. Ilyasova makes free throw 1 of 2,1,41-32,,
2:14.0,,,41-32,,T. Lyles enters the game for T. Booker
2:14.0,E. Ilyasova makes free throw 2 of 2,1,42-32,,
1:58.0,,,42-32,,T. Lyles misses 3-pt shot from 23 ft
1:57.0,Defensive rebound by S. Johnson,,42-32,,
1:54.0,,,42-32,,Shooting block foul by R. Hood (drawn by S. Johnson)
1:54.0,S. Johnson misses free throw 1 of 2,,42-32,,
1:54.0,Offensive rebound by Team,,42-32,,
1:54.0,S. Johnson misses free throw 2 of 2,,42-32,,
1:53.0,,,42-32,,Defensive rebound by R. Gobert
1:38.0,,,42-34,2,G. Hayward makes 2-pt shot from 3 ft
1:25.0,Shooting foul by G. Hayward (drawn by K. Caldwell-Pope),,42-34,,
1:25.0,K. Caldwell-Pope makes free throw 1 of 2,1,43-34,,
1:25.0,K. Caldwell-Pope makes free throw 2 of 2,1,44-34,,
1:11.0,,,44-34,,G. Hayward misses 2-pt shot from 2 ft (block by A. Baynes)
1:10.0,Defensive rebound by R. Jackson,,44-34,,
1:07.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by R. Jackson),2,46-34,,
0:42.0,,,46-34,,Turnover by G. Hayward (lost ball; steal by K. Caldwell-Pope)
0:29.0,Shooting foul by R. Gobert (drawn by A. Baynes),,46-34,,
0:29.0,,,46-34,,Technical foul by R. Gobert (drawn by A. Baynes)
0:29.0,R. Jackson misses technical free throw,,46-34,,
0:29.0,Offensive rebound by Team,,46-34,,
0:29.0,A. Baynes makes free throw 1 of 2,1,47-34,,
0:29.0,A. Baynes makes free throw 2 of 2,1,48-34,,
0:08.0,,,48-34,,T. Burke misses 3-pt shot from 23 ft
0:07.0,,,48-34,,Offensive rebound by R. Hood
0:07.0,,,48-36,2,R. Hood makes 2-pt shot from 3 ft
0:02.0,S. Johnson misses 3-pt shot from 24 ft,,48-36,,
0:01.0,,,48-36,,Defensive rebound by T. Lyles
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,48-36,,R. Hood misses 2-pt shot from 8 ft
11:43.0,,,48-36,,Offensive rebound by Team
11:43.0,Loose ball foul by E. Ilyasova (drawn by T. Lyles),,48-36,,
11:28.0,,,48-36,,T. Lyles misses 3-pt shot from 23 ft
11:28.0,Defensive rebound by K. Caldwell-Pope,,48-36,,
11:05.0,R. Jackson makes 2-pt shot from 12 ft,2,50-36,,
10:43.0,,,50-39,3,R. Hood makes 3-pt shot from 24 ft (assist by T. Burke)
10:25.0,A. Drummond makes 2-pt shot from 2 ft (assist by M. Morris),2,52-39,,
10:06.0,,,52-39,,T. Burke misses 2-pt shot from 1 ft
10:05.0,,,52-39,,Offensive rebound by R. Gobert
10:05.0,,,52-39,,R. Gobert misses 2-pt shot from 1 ft
10:03.0,Jump ball: R. Gobert vs. M. Morris (G. Hayward gains possession),,,,Jump ball: R. Gobert vs. M. Morris (G. Hayward gains possession)
10:03.0,,,52-39,,Offensive rebound by R. Gobert
9:54.0,Personal foul by K. Caldwell-Pope (drawn by R. Gobert),,52-39,,
9:45.0,,,52-39,,Shooting foul by E. Ilyasova (drawn by R. Gobert)
9:45.0,,,52-40,1,R. Gobert makes free throw 1 of 2
9:45.0,,,52-40,,J. Ingles enters the game for T. Burke
9:45.0,,,52-41,1,R. Gobert makes free throw 2 of 2
9:30.0,K. Caldwell-Pope misses 2-pt shot from 3 ft,,52-41,,
9:29.0,,,52-41,,Defensive rebound by R. Gobert
9:21.0,,,52-41,,R. Hood misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by E. Ilyasova,,52-41,,
9:10.0,A. Drummond misses 2-pt shot from 3 ft,,52-41,,
9:09.0,,,52-41,,Defensive rebound by J. Ingles
9:02.0,,,52-44,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Hood)
9:02.0,Detroit full timeout,,52-44,,
8:50.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,52-44,,
