time,LA Clippers,pts.away,score,pts.home,Minnesota
7:49.0,,,6-6,,Turnover by A. Wiggins (lost ball)
7:33.0,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul),2,8-6,,
7:23.0,,,8-6,,Minnesota full timeout
7:15.0,,,8-6,,Turnover by A. Wiggins (lost ball; steal by W. Johnson)
7:11.0,J. Redick misses 3-pt shot from 24 ft,,8-6,,
7:09.0,,,8-6,,Defensive rebound by K. Towns
6:47.0,,,8-6,,R. Rubio misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by L. Mbah a Moute,,8-6,,
6:31.0,W. Johnson misses 2-pt shot from 20 ft,,8-6,,
6:30.0,,,8-6,,Defensive rebound by K. Towns
6:21.0,,,8-6,,G. Dieng misses 2-pt shot from 18 ft
6:20.0,Defensive rebound by C. Paul,,8-6,,
6:15.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul),2,10-6,,
5:56.0,,,10-6,,G. Dieng misses 2-pt shot from 4 ft
5:55.0,Defensive rebound by D. Jordan,,10-6,,
5:46.0,D. Jordan misses 2-pt shot from 1 ft,,10-6,,
5:44.0,,,10-6,,Defensive rebound by G. Dieng
5:37.0,,,10-6,,N. Bjelica enters the game for G. Dieng
5:37.0,J. Green enters the game for L. Mbah a Moute,,10-6,,
5:33.0,,,10-8,2,K. Towns makes 2-pt shot from 22 ft
5:03.0,J. Green misses 3-pt shot from 22 ft,,10-8,,
5:02.0,Offensive rebound by D. Jordan,,10-8,,
4:59.0,C. Paul misses 3-pt shot from 24 ft,,10-8,,
4:58.0,,,10-8,,Defensive rebound by K. Towns
4:49.0,,,10-8,,R. Rubio misses 2-pt shot from 4 ft
4:48.0,Defensive rebound by C. Paul,,10-8,,
4:44.0,C. Paul makes 2-pt shot at rim,2,12-8,,
4:44.0,Shooting foul by K. Towns (drawn by C. Paul),,12-8,,
4:44.0,J. Crawford enters the game for W. Johnson,,12-8,,
4:44.0,C. Paul makes free throw 1 of 1,1,13-8,,
4:31.0,Def 3 sec tech foul by D. Jordan,,13-8,,
4:31.0,,,13-9,1,R. Rubio makes technical free throw
4:25.0,,,13-9,,Turnover by A. Wiggins (traveling)
4:18.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,15-9,,
3:58.0,,,15-11,2,A. Wiggins makes 2-pt shot at rim (assist by Z. LaVine)
3:41.0,C. Paul makes 2-pt shot from 6 ft,2,17-11,,
3:28.0,,,17-11,,Z. LaVine misses 2-pt shot from 21 ft
3:27.0,Defensive rebound by J. Green,,17-11,,
3:24.0,,,17-11,,Shooting block foul by A. Wiggins (drawn by C. Paul)
3:24.0,C. Paul makes free throw 1 of 2,1,18-11,,
3:24.0,A. Rivers enters the game for J. Redick,,18-11,,
3:24.0,,,18-11,,G. Dieng enters the game for K. Towns
3:24.0,,,18-11,,T. Jones enters the game for R. Rubio
3:24.0,,,18-11,,T. Prince enters the game for A. Wiggins
3:24.0,,,18-11,,S. Muhammad enters the game for Z. LaVine
3:24.0,C. Paul makes free throw 2 of 2,1,19-11,,
3:08.0,,,19-11,,T. Jones misses 3-pt shot from 24 ft
3:07.0,Defensive rebound by Team,,19-11,,
3:07.0,,,19-11,,Loose ball foul by N. Bjelica
2:53.0,Shooting foul by T. Jones (drawn by J. Green),,19-11,,
2:53.0,LA Clippers full timeout,,19-11,,
2:53.0,J. Green makes free throw 1 of 2,1,20-11,,
2:53.0,J. Green makes free throw 2 of 2,1,21-11,,
2:36.0,,,21-13,2,T. Prince makes 2-pt shot from 18 ft
2:15.0,J. Crawford misses 3-pt shot from 23 ft,,21-13,,
2:14.0,,,21-13,,Defensive rebound by G. Dieng
2:01.0,,,21-15,2,S. Muhammad makes 2-pt shot from 15 ft (assist by G. Dieng)
1:45.0,,,21-15,,Personal foul by T. Jones
1:45.0,C. Paul makes free throw 1 of 2,1,22-15,,
1:45.0,C. Aldrich enters the game for D. Jordan,,22-15,,
1:45.0,,,22-15,,G. Smith enters the game for G. Dieng
1:45.0,C. Paul makes free throw 2 of 2,1,23-15,,
1:25.0,,,23-15,,T. Jones misses 2-pt shot from 8 ft
1:24.0,Defensive rebound by C. Aldrich,,23-15,,
1:14.0,J. Crawford makes 2-pt shot from 1 ft,2,25-15,,
1:04.0,P. Prigioni enters the game for C. Paul,,25-15,,
0:57.0,,,25-17,2,S. Muhammad makes 2-pt shot from 1 ft
0:38.0,J. Crawford misses 2-pt shot from 1 ft,,25-17,,
0:37.0,,,25-17,,Defensive rebound by S. Muhammad
0:30.0,,,25-17,,T. Jones misses 3-pt shot from 23 ft
0:28.0,Defensive rebound by J. Crawford,,25-17,,
0:07.0,J. Crawford makes 2-pt shot from 1 ft,2,27-17,,
0:03.0,,,27-17,,S. Muhammad misses 2-pt shot at rim (block by J. Green)
0:02.0,,,27-17,,Offensive rebound by Team
0:00.0,,,27-17,,N. Bjelica misses 2-pt shot from 10 ft (block by J. Green)
0:00.0,,,27-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,27-17,,Turnover by S. Muhammad (lost ball; steal by C. Aldrich)
11:48.0,,,27-17,,Personal foul by S. Muhammad
11:35.0,A. Rivers misses 2-pt shot from 20 ft,,27-17,,
11:34.0,,,27-17,,Defensive rebound by N. Bjelica
11:14.0,,,27-17,,Shooting foul by A. Rivers (drawn by N. Bjelica)
11:14.0,,,27-18,1,N. Bjelica makes free throw 1 of 2
11:14.0,,,27-18,,N. Bjelica misses free throw 2 of 2
11:14.0,Defensive rebound by A. Rivers,,27-18,,
10:59.0,Turnover by C. Aldrich (lost ball),,27-18,,
10:45.0,,,27-18,,T. Jones misses 3-pt shot from 25 ft
10:44.0,,,27-18,,Offensive rebound by Team
10:44.0,Loose ball foul by J. Green,,27-18,,
10:36.0,,,27-18,,T. Prince misses 2-pt shot from 5 ft
10:35.0,,,27-18,,Offensive rebound by N. Bjelica
10:35.0,,,27-20,2,N. Bjelica makes 2-pt shot at rim
10:11.0,Shooting foul by N. Bjelica (drawn by J. Crawford),,27-20,,
10:11.0,J. Crawford makes free throw 1 of 3,1,28-20,,
10:11.0,J. Crawford makes free throw 2 of 3,1,29-20,,
10:11.0,,,29-20,,A. Wiggins enters the game for N. Bjelica
10:11.0,J. Crawford makes free throw 3 of 3,1,30-20,,
10:01.0,,,30-20,,Turnover by G. Smith (lost ball; steal by J. Crawford)
9:53.0,J. Green misses 2-pt shot from 3 ft,,30-20,,
9:51.0,,,30-20,,Defensive rebound by G. Smith
9:41.0,,,30-22,2,T. Jones makes 2-pt shot at rim
9:27.0,J. Green misses 2-pt shot from 7 ft,,30-22,,
9:26.0,,,30-22,,Defensive rebound by Team
9:10.0,,,30-22,,S. Muhammad misses 2-pt shot at rim (block by C. Aldrich)
9:08.0,Defensive rebound by J. Crawford,,30-22,,
9:02.0,Turnover by C. Aldrich (lost ball),,30-22,,
8:42.0,,,30-22,,T. Prince misses 2-pt shot from 19 ft
8:41.0,Defensive rebound by C. Aldrich,,30-22,,
8:28.0,P. Prigioni misses 2-pt shot from 1 ft,,30-22,,
8:26.0,,,30-22,,Defensive rebound by G. Smith
8:17.0,,,30-22,,S. Muhammad misses 2-pt shot from 4 ft (block by C. Aldrich)
8:16.0,,,30-22,,Offensive rebound by S. Muhammad
8:15.0,,,30-24,2,S. Muhammad makes 2-pt shot at rim
7:55.0,P. Prigioni misses 3-pt shot from 23 ft,,30-24,,
7:54.0,,,30-24,,Defensive rebound by S. Muhammad
7:42.0,,,30-24,,A. Wiggins misses 2-pt shot at rim
7:41.0,,,30-24,,Offensive rebound by G. Smith
7:36.0,,,30-27,3,A. Wiggins makes 3-pt shot from 24 ft (assist by S. Muhammad)
7:35.0,LA Clippers full timeout,,30-27,,
7:35.0,,,30-27,,K. Towns enters the game for G. Smith
7:35.0,,,30-27,,Z. LaVine enters the game for T. Prince
7:35.0,,,30-27,,G. Dieng enters the game for S. Muhammad
7:35.0,,,30-27,,R. Rubio enters the game for T. Jones
7:35.0,D. Jordan enters the game for C. Aldrich,,30-27,,
7:35.0,C. Paul enters the game for P. Prigioni,,30-27,,
7:35.0,L. Mbah a Moute enters the game for A. Rivers,,30-27,,
7:35.0,W. Johnson enters the game for J. Green,,30-27,,
7:23.0,Shooting foul by G. Dieng (drawn by D. Jordan),,30-27,,
7:23.0,D. Jordan misses free throw 1 of 2,,30-27,,
7:23.0,Offensive rebound by Team,,30-27,,
7:23.0,D. Jordan misses free throw 2 of 2,,30-27,,
7:23.0,,,30-27,,Defensive rebound by K. Towns
7:09.0,,,30-27,,R. Rubio misses 2-pt shot from 19 ft
7:08.0,Defensive rebound by Team,,30-27,,
7:08.0,J. Redick enters the game for J. Crawford,,30-27,,
7:00.0,C. Paul makes 2-pt shot from 20 ft (assist by L. Mbah a Moute),2,32-27,,
6:43.0,,,32-27,,Z. LaVine misses 2-pt shot from 18 ft
6:42.0,Defensive rebound by C. Paul,,32-27,,
6:33.0,J. Redick misses 3-pt shot from 24 ft,,32-27,,
6:32.0,,,32-27,,Defensive rebound by K. Towns
6:23.0,,,32-27,,K. Towns misses 2-pt shot from 1 ft (block by W. Johnson)
6:21.0,Defensive rebound by W. Johnson,,32-27,,
6:16.0,Turnover by W. Johnson (lost ball; steal by A. Wiggins),,32-27,,
6:09.0,,,32-27,,K. Towns misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by L. Mbah a Moute,,32-27,,
5:47.0,C. Paul misses 2-pt shot from 20 ft,,32-27,,
5:46.0,Offensive rebound by D. Jordan,,32-27,,
5:46.0,D. Jordan misses 2-pt shot at rim,,32-27,,
5:45.0,Offensive rebound by D. Jordan,,32-27,,
5:45.0,,,32-27,,Personal foul by A. Wiggins
5:45.0,LA Clippers full timeout,,32-27,,
5:27.0,W. Johnson misses 3-pt shot from 22 ft,,32-27,,
5:26.0,,,32-27,,Defensive rebound by Z. LaVine
5:13.0,Personal foul by W. Johnson,,32-27,,
5:05.0,,,32-27,,A. Wiggins misses 2-pt shot from 20 ft
5:04.0,,,32-27,,Offensive rebound by K. Towns
4:58.0,,,32-27,,Turnover by K. Towns (bad pass)
4:44.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,34-27,,
4:21.0,Personal foul by W. Johnson,,34-27,,
4:18.0,,,34-27,,Offensive foul by K. Towns
4:18.0,,,34-27,,Turnover by K. Towns (offensive foul)
4:03.0,C. Paul misses 2-pt shot from 11 ft,,34-27,,
4:02.0,Offensive rebound by L. Mbah a Moute,,34-27,,
4:00.0,L. Mbah a Moute misses 2-pt shot at rim,,34-27,,
3:58.0,,,34-27,,Defensive rebound by Team
3:58.0,,,34-27,,Technical foul by K. Towns
3:58.0,J. Redick makes technical free throw,1,35-27,,
3:58.0,,,35-27,,G. Smith enters the game for K. Towns
3:44.0,,,35-27,,Z. LaVine misses 2-pt shot from 19 ft
3:43.0,Defensive rebound by C. Paul,,35-27,,
3:30.0,C. Paul misses 3-pt shot from 24 ft,,35-27,,
3:29.0,,,35-27,,Defensive rebound by G. Smith
3:20.0,,,35-27,,R. Rubio misses 2-pt shot from 19 ft
3:19.0,,,35-27,,Offensive rebound by G. Dieng
3:18.0,,,35-27,,Shooting foul by L. Mbah a Moute (drawn by G. Dieng)
3:18.0,,,35-27,,G. Dieng misses free throw 1 of 2
3:18.0,,,35-27,,Offensive rebound by Team
3:18.0,,,35-28,1,G. Dieng makes free throw 2 of 2
3:08.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,38-28,,
2:51.0,,,38-28,,A. Wiggins misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by Team,,38-28,,
2:46.0,,,38-28,,Minnesota full timeout
2:46.0,Jump ball: C. Paul vs. R. Rubio (D. Jordan gains possession),,,,Jump ball: C. Paul vs. R. Rubio (D. Jordan gains possession)
2:25.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,40-28,,
1:58.0,,,40-28,,Shooting foul by W. Johnson (drawn by R. Rubio)
1:58.0,Violation by Team (jump ball),,40-28,,
1:58.0,,,40-29,1,R. Rubio makes free throw 1 of 2
1:58.0,J. Green enters the game for W. Johnson,,40-29,,
1:58.0,,,40-30,1,R. Rubio makes free throw 2 of 2
1:46.0,C. Paul misses 2-pt shot at rim (block by G. Dieng),,40-30,,
1:44.0,Offensive rebound by C. Paul,,40-30,,
1:37.0,C. Paul misses 3-pt shot from 23 ft,,40-30,,
1:35.0,,,40-30,,Defensive rebound by R. Rubio
1:28.0,,,40-30,,Turnover by A. Wiggins (lost ball; steal by C. Paul)
1:27.0,,,40-30,,Personal foul by G. Dieng
1:27.0,C. Paul makes free throw 1 of 2,1,41-30,,
1:27.0,C. Paul makes free throw 2 of 2,1,42-30,,
1:16.0,,,42-30,,Turnover by Z. LaVine (bad pass)
1:05.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Green),2,44-30,,
0:50.0,,,44-30,,R. Rubio misses 2-pt shot from 17 ft
0:49.0,,,44-30,,Offensive rebound by Team
0:49.0,Loose ball foul by J. Green,,44-30,,
0:49.0,,,44-31,1,G. Smith makes free throw 1 of 2
0:49.0,,,44-31,,G. Smith misses free throw 2 of 2
0:49.0,Defensive rebound by D. Jordan,,44-31,,
0:32.0,J. Redick misses 3-pt shot from 24 ft,,44-31,,
0:31.0,,,44-31,,Defensive rebound by G. Dieng
0:18.0,,,44-34,3,R. Rubio makes 3-pt shot from 24 ft (assist by A. Wiggins)
0:18.0,LA Clippers full timeout,,44-34,,
0:18.0,A. Rivers enters the game for D. Jordan,,44-34,,
0:18.0,J. Crawford enters the game for L. Mbah a Moute,,44-34,,
0:18.0,,,44-34,,T. Prince enters the game for G. Smith
0:18.0,,,44-34,,S. Muhammad enters the game for A. Wiggins
0:01.0,J. Crawford makes 3-pt shot from 25 ft (assist by C. Paul),3,47-34,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,47-34,,A. Wiggins misses 2-pt shot from 16 ft
11:46.0,Defensive rebound by W. Johnson,,47-34,,
11:23.0,J. Redick misses 3-pt shot from 25 ft,,47-34,,
11:22.0,,,47-34,,Defensive rebound by G. Dieng
11:13.0,,,47-34,,K. Towns misses 2-pt shot from 1 ft
11:12.0,Defensive rebound by J. Redick,,47-34,,
11:01.0,J. Redick misses 3-pt shot from 24 ft,,47-34,,
11:00.0,,,47-34,,Defensive rebound by G. Dieng
10:53.0,,,47-36,2,K. Towns makes 2-pt shot from 3 ft
10:26.0,W. Johnson misses 3-pt shot from 25 ft,,47-36,,
10:25.0,,,47-36,,Defensive rebound by G. Dieng
10:15.0,,,47-38,2,K. Towns makes 2-pt shot from 20 ft (assist by G. Dieng)
9:53.0,W. Johnson makes 2-pt shot from 2 ft (assist by J. Redick),2,49-38,,
9:53.0,Shooting foul by R. Rubio (drawn by W. Johnson),,49-38,,
9:53.0,W. Johnson makes free throw 1 of 1,1,50-38,,
9:37.0,,,50-40,2,G. Dieng makes 2-pt shot from 10 ft (assist by Z. LaVine)
9:22.0,D. Jordan makes 2-pt shot from 3 ft (assist by C. Paul),2,52-40,,
9:08.0,,,52-40,,Turnover by A. Wiggins (lost ball; steal by J. Redick)
9:04.0,J. Redick makes 2-pt shot at rim (assist by C. Paul),2,54-40,,
9:02.0,,,54-40,,Minnesota full timeout
8:41.0,,,54-40,,Turnover by A. Wiggins (lost ball)
8:28.0,W. Johnson makes 2-pt shot from 14 ft,2,56-40,,
8:11.0,,,56-42,2,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns)
7:50.0,C. Paul misses 2-pt shot from 19 ft,,56-42,,
7:48.0,,,56-42,,Defensive rebound by G. Dieng
7:33.0,,,56-44,2,K. Towns makes 2-pt shot from 9 ft
7:15.0,J. Redick misses 2-pt shot from 20 ft,,56-44,,
7:13.0,,,56-44,,Defensive rebound by Z. LaVine
7:09.0,,,56-44,,Z. LaVine misses 2-pt shot from 4 ft (block by W. Johnson)
7:09.0,,,56-44,,Offensive rebound by Team
7:01.0,,,56-44,,Z. LaVine misses 2-pt shot from 19 ft
7:00.0,Defensive rebound by D. Jordan,,56-44,,
6:54.0,W. Johnson makes 2-pt shot from 19 ft (assist by C. Paul),2,58-44,,
6:40.0,,,58-47,3,R. Rubio makes 3-pt shot from 25 ft (assist by Z. LaVine)
6:21.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,61-47,,
6:04.0,,,61-47,,K. Towns misses 2-pt shot from 16 ft
6:03.0,Defensive rebound by W. Johnson,,61-47,,
6:00.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul),2,63-47,,
6:00.0,Shooting foul by A. Wiggins (drawn by L. Mbah a Moute),,63-47,,
6:00.0,,,63-47,,S. Muhammad enters the game for Z. LaVine
6:00.0,,,63-47,,G. Smith enters the game for G. Dieng
6:00.0,,,63-47,,T. Prince enters the game for A. Wiggins
6:00.0,L. Mbah a Moute makes free throw 1 of 1,1,64-47,,
5:39.0,,,64-47,,T. Prince misses 2-pt shot from 20 ft
5:38.0,,,64-47,,Offensive rebound by K. Towns
5:34.0,,,64-47,,S. Muhammad misses 2-pt shot from 7 ft
5:33.0,,,64-47,,Offensive rebound by R. Rubio
5:25.0,Personal foul by C. Paul,,64-47,,
5:20.0,,,64-47,,S. Muhammad misses 2-pt shot from 20 ft
5:19.0,Defensive rebound by D. Jordan,,64-47,,
5:00.0,Turnover by C. Paul (bad pass),,64-47,,
5:00.0,J. Green enters the game for L. Mbah a Moute,,64-47,,
4:51.0,Violation by J. Redick (kicked ball),,64-47,,
4:41.0,,,64-47,,Turnover by T. Prince (lost ball; steal by J. Green)
4:34.0,J. Green misses 3-pt shot from 23 ft,,64-47,,
4:32.0,,,64-47,,Defensive rebound by G. Smith
4:27.0,,,64-47,,S. Muhammad misses 2-pt shot at rim (block by D. Jordan)
4:25.0,Defensive rebound by W. Johnson,,64-47,,
4:17.0,J. Green makes 2-pt shot from 2 ft (assist by C. Paul),2,66-47,,
4:02.0,,,66-47,,T. Prince misses 2-pt shot from 17 ft
4:01.0,Defensive rebound by C. Paul,,66-47,,
3:49.0,J. Green misses 2-pt shot from 3 ft,,66-47,,
3:47.0,,,66-47,,Defensive rebound by G. Smith
3:36.0,,,66-47,,R. Rubio misses 3-pt shot from 24 ft
3:34.0,,,66-47,,Offensive rebound by S. Muhammad
3:34.0,,,66-49,2,S. Muhammad makes 2-pt shot at rim
3:18.0,C. Paul misses 2-pt shot from 16 ft,,66-49,,
3:16.0,Offensive rebound by C. Paul,,66-49,,
3:11.0,J. Redick misses 3-pt shot from 24 ft,,66-49,,
3:10.0,,,66-49,,Defensive rebound by K. Towns
3:01.0,,,66-49,,G. Smith misses 2-pt shot at rim
3:00.0,Defensive rebound by Team,,66-49,,
3:00.0,LA Clippers full timeout,,66-49,,
3:00.0,J. Crawford enters the game for W. Johnson,,66-49,,
3:00.0,,,66-49,,A. Payne enters the game for G. Smith
3:00.0,,,66-49,,T. Jones enters the game for R. Rubio
2:46.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,69-49,,
2:28.0,,,69-51,2,K. Towns makes 2-pt shot from 1 ft (assist by S. Muhammad)
2:05.0,C. Paul misses 2-pt shot from 16 ft,,69-51,,
2:04.0,,,69-51,,Defensive rebound by A. Payne
1:48.0,,,69-51,,K. Towns misses 2-pt shot from 14 ft
1:47.0,Defensive rebound by C. Paul,,69-51,,
1:25.0,C. Paul makes 2-pt shot from 20 ft,2,71-51,,
1:08.0,,,71-51,,T. Jones misses 3-pt shot from 23 ft
1:07.0,Defensive rebound by J. Redick,,71-51,,
1:03.0,C. Paul makes 2-pt shot at rim (assist by J. Redick),2,73-51,,
0:48.0,,,73-51,,K. Towns misses 2-pt shot from 20 ft
0:45.0,Defensive rebound by J. Redick,,73-51,,
0:44.0,D. Jordan makes 2-pt shot at rim (assist by J. Redick),2,75-51,,
0:44.0,Shooting foul by T. Jones (drawn by D. Jordan),,75-51,,
0:44.0,,,75-51,,N. Bjelica enters the game for K. Towns
0:44.0,A. Rivers enters the game for J. Redick,,75-51,,
0:44.0,D. Jordan makes free throw 1 of 1,1,76-51,,
0:23.0,,,76-53,2,T. Prince makes 2-pt shot from 20 ft (assist by S. Muhammad)
0:01.0,A. Rivers makes 3-pt shot from 24 ft (assist by C. Paul),3,79-53,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,A. Rivers makes 2-pt shot at rim,2,81-53,,
11:20.0,,,81-55,2,T. Prince makes 2-pt shot from 2 ft (assist by A. Payne)
10:55.0,J. Crawford misses 3-pt shot from 25 ft,,81-55,,
10:54.0,,,81-55,,Defensive rebound by N. Bjelica
10:39.0,,,81-55,,A. Payne misses 3-pt shot from 23 ft
10:37.0,,,81-55,,Offensive rebound by T. Prince
10:32.0,,,81-55,,T. Jones misses 3-pt shot from 25 ft
10:32.0,,,81-55,,Offensive rebound by Team
10:32.0,Loose ball foul by A. Rivers,,81-55,,
10:23.0,,,81-55,,Turnover by A. Payne (lost ball; steal by C. Aldrich)
10:11.0,A. Rivers makes 2-pt shot from 1 ft,2,83-55,,
9:49.0,,,83-57,2,N. Bjelica makes 2-pt shot from 6 ft (assist by T. Jones)
9:32.0,,,83-57,,Violation by N. Bjelica (def goaltending)
9:32.0,C. Aldrich makes 2-pt shot from 1 ft (assist by J. Crawford),2,85-57,,
9:15.0,,,85-57,,T. Prince misses 3-pt shot from 24 ft
9:14.0,,,85-57,,Offensive rebound by Team
9:14.0,Loose ball foul by J. Green,,85-57,,
9:09.0,,,85-57,,Turnover by S. Muhammad (lost ball)
8:50.0,A. Rivers makes 3-pt shot from 23 ft (assist by P. Prigioni),3,88-57,,
8:49.0,,,88-57,,Minnesota full timeout
8:29.0,,,88-57,,A. Payne misses 3-pt shot from 24 ft
8:28.0,,,88-57,,Offensive rebound by N. Bjelica
8:26.0,,,88-57,,Turnover by N. Bjelica (lost ball; steal by J. Crawford)
8:07.0,,,88-57,,Personal foul by S. Muhammad
8:01.0,A. Rivers misses 2-pt shot from 20 ft,,88-57,,
8:00.0,,,88-57,,Defensive rebound by A. Payne
7:44.0,,,88-57,,T. Jones misses 3-pt shot from 24 ft
7:42.0,,,88-57,,Offensive rebound by T. Prince
7:28.0,,,88-59,2,T. Prince makes 2-pt shot from 12 ft (assist by A. Payne)
7:14.0,J. Green makes 2-pt shot from 2 ft,2,90-59,,
7:02.0,C. Wilcox enters the game for J. Crawford,,90-59,,
6:55.0,,,90-59,,S. Muhammad misses 2-pt shot from 9 ft
6:53.0,Defensive rebound by J. Green,,90-59,,
6:45.0,J. Green makes 2-pt shot from 2 ft,2,92-59,,
6:35.0,,,92-59,,A. Payne misses 2-pt shot from 17 ft
6:34.0,Defensive rebound by C. Aldrich,,92-59,,
6:23.0,J. Green misses 3-pt shot from 24 ft,,92-59,,
6:21.0,,,92-59,,Defensive rebound by A. Payne
6:19.0,,,92-59,,Shooting foul by A. Rivers (drawn by N. Bjelica)
6:19.0,,,92-60,1,N. Bjelica makes free throw 1 of 2
6:19.0,,,92-60,,D. Rudez enters the game for T. Prince
6:19.0,W. Johnson enters the game for A. Rivers,,92-60,,
6:19.0,J. Ayres enters the game for C. Aldrich,,92-60,,
6:19.0,,,92-61,1,N. Bjelica makes free throw 2 of 2
5:56.0,J. Green makes 2-pt shot from 20 ft (assist by P. Prigioni),2,94-61,,
5:40.0,,,94-64,3,D. Rudez makes 3-pt shot from 25 ft (assist by A. Payne)
5:30.0,C. Wilcox misses 2-pt shot from 19 ft,,94-64,,
5:29.0,,,94-64,,Defensive rebound by N. Bjelica
5:23.0,,,94-64,,D. Rudez misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by P. Prigioni,,94-64,,
5:05.0,J. Ayres makes 2-pt shot at rim (assist by P. Prigioni),2,96-64,,
4:48.0,,,96-67,3,D. Rudez makes 3-pt shot from 23 ft (assist by T. Jones)
4:33.0,P. Prigioni misses 3-pt shot from 25 ft,,96-67,,
4:32.0,,,96-67,,Defensive rebound by A. Payne
4:22.0,,,96-70,3,N. Bjelica makes 3-pt shot from 24 ft (assist by A. Payne)
4:03.0,P. Prigioni misses 2-pt shot from 1 ft,,96-70,,
4:02.0,,,96-70,,Defensive rebound by N. Bjelica
3:59.0,,,96-72,2,S. Muhammad makes 2-pt shot at rim (assist by N. Bjelica)
3:58.0,LA Clippers full timeout,,96-72,,
3:58.0,LA Clippers full timeout,,96-72,,
3:58.0,,,96-72,,G. Smith enters the game for A. Payne
3:41.0,C. Wilcox misses 2-pt shot from 13 ft,,96-72,,
3:40.0,,,96-72,,Defensive rebound by S. Muhammad
3:20.0,,,96-74,2,N. Bjelica makes 2-pt shot from 5 ft
2:55.0,C. Wilcox misses 2-pt shot from 17 ft,,96-74,,
2:53.0,,,96-74,,Defensive rebound by N. Bjelica
2:45.0,,,96-74,,T. Jones misses 3-pt shot from 22 ft
2:44.0,Defensive rebound by J. Ayres,,96-74,,
2:28.0,P. Prigioni misses 3-pt shot from 25 ft,,96-74,,
2:27.0,,,96-74,,Defensive rebound by S. Muhammad
2:22.0,Personal foul by C. Wilcox,,96-74,,
2:22.0,LA Clippers full timeout,,96-74,,
2:14.0,,,96-74,,Shooting foul by C. Wilcox (drawn by S. Muhammad)
