time,Dallas,pts.away,score,pts.home,New Orleans
4:19.0,,,13-19,,Offensive rebound by R. Anderson
4:19.0,,,13-21,2,R. Anderson makes 2-pt shot from 2 ft
4:05.0,C. Villanueva misses 3-pt shot from 22 ft,,13-21,,
4:04.0,,,13-21,,Defensive rebound by J. Holiday
3:49.0,,,13-21,,E. Gordon misses 3-pt shot from 24 ft
3:48.0,,,13-21,,Offensive rebound by R. Anderson
3:37.0,,,13-24,3,J. Holiday makes 3-pt shot from 25 ft
3:37.0,Dallas full timeout,,13-24,,
3:37.0,D. Powell enters the game for C. Parsons,,13-24,,
3:37.0,D. Harris enters the game for Z. Pachulia,,13-24,,
3:37.0,W. Matthews enters the game for D. Williams,,13-24,,
3:37.0,,,13-24,,I. Smith enters the game for J. Holiday
3:17.0,R. Felton misses 2-pt shot from 5 ft,,13-24,,
3:17.0,,,13-24,,Defensive rebound by R. Anderson
3:05.0,,,13-24,,Offensive foul by R. Anderson
3:05.0,,,13-24,,Turnover by R. Anderson (offensive foul)
2:42.0,D. Harris makes 2-pt shot from 1 ft (assist by W. Matthews),2,15-24,,
2:23.0,,,15-26,2,R. Anderson makes 2-pt shot from 9 ft (assist by E. Gordon)
2:15.0,,,15-26,,Violation by D. Cunningham (kicked ball)
2:15.0,,,15-26,,New Orleans full timeout
2:15.0,D. Nowitzki enters the game for C. Villanueva,,15-26,,
2:05.0,D. Nowitzki misses 3-pt shot from 25 ft,,15-26,,
2:04.0,,,15-26,,Defensive rebound by E. Gordon
1:45.0,,,15-26,,Turnover by R. Anderson (bad pass; steal by D. Harris)
1:40.0,D. Harris makes 2-pt shot from 1 ft,2,17-26,,
1:28.0,,,17-29,3,E. Gordon makes 3-pt shot from 25 ft
1:10.0,D. Nowitzki misses 2-pt shot from 13 ft,,17-29,,
1:09.0,,,17-29,,Defensive rebound by R. Anderson
0:59.0,,,17-29,,A. Gee misses 3-pt shot from 24 ft
0:58.0,Defensive rebound by D. Powell,,17-29,,
0:50.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Felton),3,20-29,,
0:42.0,Personal foul by W. Matthews (drawn by R. Anderson),,20-29,,
0:34.0,,,20-29,,I. Smith misses 2-pt shot from 15 ft
0:33.0,Defensive rebound by D. Nowitzki,,20-29,,
0:16.0,W. Matthews misses 2-pt shot from 2 ft,,20-29,,
0:16.0,Offensive rebound by D. Powell,,20-29,,
0:16.0,Shooting foul by R. Anderson (drawn by D. Powell),,20-29,,
0:16.0,D. Powell makes free throw 1 of 2,1,21-29,,
0:16.0,J. Evans enters the game for D. Nowitzki,,21-29,,
0:16.0,D. Powell makes free throw 2 of 2,1,22-29,,
0:00.0,,,22-29,,E. Gordon misses 2-pt shot from 2 ft (block by D. Harris)
0:00.0,,,22-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,D. Nowitzki misses 2-pt shot from 15 ft,,22-29,,
11:43.0,,,22-29,,Defensive rebound by A. Davis
11:33.0,Personal foul by D. Powell (drawn by A. Davis),,22-29,,
11:19.0,,,22-31,2,I. Smith makes 2-pt shot from 2 ft (assist by A. Davis)
11:05.0,C. Parsons misses 2-pt shot from 17 ft,,22-31,,
11:04.0,,,22-31,,Defensive rebound by R. Anderson
10:56.0,,,22-31,,Shooting foul by D. Powell (drawn by A. Davis)
10:56.0,,,22-31,,A. Davis misses free throw 1 of 2
10:56.0,,,22-31,,Offensive rebound by Team
10:56.0,Z. Pachulia enters the game for D. Powell,,22-31,,
10:56.0,,,22-31,,A. Davis misses free throw 2 of 2
10:54.0,Defensive rebound by C. Parsons,,22-31,,
10:42.0,,,22-31,,O. Asik enters the game for R. Anderson
10:39.0,Shooting foul by T. Douglas (drawn by J. Barea),,22-31,,
10:39.0,J. Barea makes 2-pt shot from 1 ft,2,24-31,,
10:39.0,J. Barea makes free throw 1 of 1,1,25-31,,
10:21.0,,,25-31,,I. Smith misses 2-pt shot from 12 ft
10:20.0,Defensive rebound by Z. Pachulia,,25-31,,
10:01.0,D. Nowitzki makes 2-pt shot from 9 ft,2,27-31,,
9:51.0,,,27-33,2,A. Davis makes 2-pt shot from 17 ft (assist by I. Smith)
9:39.0,Z. Pachulia misses 2-pt shot from 15 ft,,27-33,,
9:38.0,,,27-33,,Defensive rebound by I. Smith
9:33.0,Violation by Z. Pachulia (def goaltending),,27-33,,
9:33.0,,,27-35,2,I. Smith makes 2-pt shot from 2 ft
9:18.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by Z. Pachulia),2,29-35,,
9:03.0,,,29-37,2,A. Davis makes 2-pt shot from 20 ft (assist by I. Smith)
8:52.0,,,29-37,,Personal foul by T. Douglas (drawn by D. Nowitzki)
8:52.0,Official timeout,,29-37,,
8:37.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,31-37,,
8:28.0,,,31-37,,Offensive foul by L. Babbitt
8:28.0,,,31-37,,Turnover by L. Babbitt (offensive foul)
8:07.0,C. Parsons makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,34-37,,
7:50.0,,,34-37,,L. Babbitt misses 3-pt shot from 24 ft
7:49.0,Defensive rebound by D. Harris,,34-37,,
7:37.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Harris),2,36-37,,
7:25.0,,,36-39,2,A. Davis makes 2-pt shot from 16 ft (assist by I. Smith)
7:16.0,,,36-39,,Violation by O. Asik (kicked ball)
7:16.0,C. Villanueva enters the game for D. Nowitzki,,36-39,,
7:16.0,,,36-39,,A. Gee enters the game for L. Babbitt
7:05.0,C. Parsons misses 2-pt shot from 3 ft,,36-39,,
7:05.0,,,36-39,,Defensive rebound by I. Smith
7:00.0,,,36-39,,Turnover by I. Smith (bad pass; steal by Z. Pachulia)
6:54.0,C. Parsons misses 2-pt shot from 20 ft,,36-39,,
6:52.0,,,36-39,,Defensive rebound by A. Gee
6:31.0,,,36-41,2,A. Davis makes 2-pt shot from 2 ft (assist by I. Smith)
6:22.0,,,36-41,,Violation by O. Asik (kicked ball)
6:22.0,W. Matthews enters the game for C. Parsons,,36-41,,
6:11.0,D. Harris misses 2-pt shot from 10 ft,,36-41,,
6:09.0,Offensive rebound by D. Harris,,36-41,,
6:06.0,J. Barea misses 3-pt shot from 23 ft,,36-41,,
6:06.0,,,36-41,,Defensive rebound by A. Davis
6:06.0,Loose ball foul by Z. Pachulia (drawn by A. Davis),,36-41,,
6:06.0,D. Williams enters the game for D. Harris,,36-41,,
6:06.0,,,36-41,,E. Gordon enters the game for I. Smith
6:06.0,D. Powell enters the game for Z. Pachulia,,36-41,,
5:50.0,,,36-43,2,A. Davis makes 2-pt shot from 1 ft
5:33.0,C. Villanueva misses 2-pt shot from 6 ft,,36-43,,
5:32.0,,,36-43,,Defensive rebound by A. Davis
5:23.0,,,36-43,,E. Gordon misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by W. Matthews,,36-43,,
5:14.0,J. Barea misses 3-pt shot from 25 ft,,36-43,,
5:13.0,,,36-43,,Defensive rebound by T. Douglas
5:08.0,,,36-43,,New Orleans full timeout
5:08.0,,,36-43,,R. Anderson enters the game for O. Asik
4:53.0,,,36-45,2,R. Anderson makes 2-pt shot from 15 ft
4:40.0,Turnover by D. Williams (bad pass; steal by A. Gee),,36-45,,
4:35.0,,,36-47,2,A. Gee makes 2-pt shot at rim
4:20.0,W. Matthews misses 2-pt shot from 13 ft,,36-47,,
4:19.0,,,36-47,,Defensive rebound by R. Anderson
4:14.0,,,36-47,,Turnover by A. Gee (traveling)
4:01.0,J. Barea misses 2-pt shot from 18 ft,,36-47,,
4:00.0,,,36-47,,Defensive rebound by A. Davis
3:53.0,,,36-50,3,T. Douglas makes 3-pt shot from 24 ft
3:53.0,Dallas full timeout,,36-50,,
3:53.0,R. Felton enters the game for W. Matthews,,36-50,,
3:53.0,D. Harris enters the game for C. Villanueva,,36-50,,
3:53.0,D. Nowitzki enters the game for J. Barea,,36-50,,
3:40.0,D. Powell misses 2-pt shot from 5 ft,,36-50,,
3:40.0,,,36-50,,Defensive rebound by A. Davis
3:22.0,Def 3 sec tech foul by D. Nowitzki,,36-50,,
3:22.0,,,36-51,1,E. Gordon makes technical free throw
3:07.0,,,36-53,2,A. Davis makes 2-pt shot from 18 ft (assist by T. Douglas)
2:42.0,Shooting foul by A. Davis (drawn by D. Powell),,36-53,,
2:42.0,D. Powell misses free throw 1 of 2,,36-53,,
2:42.0,Offensive rebound by Team,,36-53,,
2:42.0,C. Parsons enters the game for D. Harris,,36-53,,
2:42.0,D. Powell misses free throw 2 of 2,,36-53,,
2:40.0,,,36-53,,Defensive rebound by A. Gee
2:21.0,,,36-53,,R. Anderson misses 2-pt shot from 15 ft
2:20.0,,,36-53,,Offensive rebound by A. Gee
2:20.0,,,36-55,2,A. Gee makes 2-pt shot at rim
2:14.0,D. Williams makes 2-pt shot from 2 ft,2,38-55,,
1:51.0,,,38-55,,A. Davis misses 2-pt shot from 14 ft
1:51.0,,,38-55,,Offensive rebound by A. Gee
1:48.0,,,38-55,,E. Gordon misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by D. Nowitzki,,38-55,,
1:40.0,D. Williams misses 3-pt shot from 26 ft,,38-55,,
1:39.0,,,38-55,,Defensive rebound by R. Anderson
1:17.0,,,38-55,,E. Gordon misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by D. Powell,,38-55,,
1:02.0,D. Nowitzki makes 2-pt shot from 15 ft,2,40-55,,
0:42.0,Shooting block foul by D. Powell (drawn by A. Davis),,40-55,,
0:42.0,,,40-55,,A. Davis misses free throw 1 of 2
0:42.0,,,40-55,,Offensive rebound by Team
0:42.0,Z. Pachulia enters the game for D. Powell,,40-55,,
0:42.0,,,40-55,,L. Babbitt enters the game for R. Anderson
0:42.0,,,40-55,,I. Smith enters the game for T. Douglas
0:42.0,,,40-56,1,A. Davis makes free throw 2 of 2
0:30.0,D. Williams misses 2-pt shot from 13 ft,,40-56,,
0:29.0,Offensive rebound by C. Parsons,,40-56,,
0:11.0,Turnover by D. Nowitzki (bad pass; steal by A. Gee),,40-56,,
0:07.0,,,40-58,2,A. Gee makes 2-pt shot at rim
0:03.0,,,40-58,,Personal foul by I. Smith (drawn by R. Felton)
0:03.0,,,40-58,,D. Cunningham enters the game for A. Davis
0:03.0,D. Harris enters the game for D. Williams,,40-58,,
0:00.0,R. Felton misses 2-pt shot from 20 ft,,40-58,,
0:00.0,Offensive rebound by Team,,40-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,W. Matthews misses 2-pt shot from 19 ft,,40-58,,
11:41.0,Offensive rebound by Team,,40-58,,
11:41.0,,,40-58,,Loose ball foul by J. Holiday (drawn by Z. Pachulia)
11:26.0,Z. Pachulia misses 2-pt shot from 11 ft,,40-58,,
11:25.0,,,40-58,,Defensive rebound by L. Babbitt
11:05.0,,,40-58,,Shooting foul by D. Williams (drawn by R. Anderson)
11:05.0,,,40-59,1,R. Anderson makes free throw 1 of 2
11:05.0,,,40-60,1,R. Anderson makes free throw 2 of 2
10:56.0,,,40-60,,Personal foul by L. Babbitt (drawn by W. Matthews)
10:40.0,R. Felton misses 2-pt shot from 10 ft,,40-60,,
10:40.0,,,40-60,,Defensive rebound by O. Asik
10:34.0,,,40-60,,E. Gordon misses 2-pt shot from 21 ft
10:33.0,,,40-60,,Offensive rebound by R. Anderson
10:20.0,,,40-62,2,R. Anderson makes 2-pt shot from 8 ft
10:02.0,D. Williams makes 2-pt shot from 5 ft,2,42-62,,
9:57.0,,,42-65,3,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Holiday)
9:45.0,Z. Pachulia misses 2-pt shot from 15 ft,,42-65,,
9:45.0,,,42-65,,Defensive rebound by O. Asik
9:35.0,,,42-67,2,O. Asik makes 2-pt shot from 1 ft (assist by E. Gordon)
9:35.0,Dallas full timeout,,42-67,,
9:22.0,Turnover by R. Felton (lost ball),,42-67,,
9:15.0,,,42-67,,Turnover by J. Holiday (back court)
8:53.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by R. Felton),2,44-67,,
8:49.0,Personal foul by R. Felton (drawn by J. Holiday),,44-67,,
8:35.0,,,44-67,,O. Asik misses 2-pt shot from 14 ft
8:34.0,Defensive rebound by D. Nowitzki,,44-67,,
8:21.0,D. Nowitzki makes 2-pt shot from 2 ft (assist by D. Williams),2,46-67,,
8:21.0,Shooting foul by L. Babbitt (drawn by D. Nowitzki),,46-67,,
8:21.0,D. Nowitzki makes free throw 1 of 1,1,47-67,,
8:08.0,,,47-67,,E. Gordon misses 2-pt shot at rim
8:07.0,Defensive rebound by Team,,47-67,,
8:07.0,,,47-67,,Loose ball foul by O. Asik (drawn by Z. Pachulia)
8:07.0,,,47-67,,A. Gee enters the game for L. Babbitt
7:58.0,,,47-67,,Personal foul by J. Holiday (drawn by D. Nowitzki)
7:58.0,D. Nowitzki makes free throw 1 of 2,1,48-67,,
7:58.0,D. Nowitzki makes free throw 2 of 2,1,49-67,,
7:52.0,Personal foul by D. Williams (drawn by J. Holiday),,49-67,,
7:45.0,,,49-67,,J. Holiday misses 2-pt shot from 5 ft
7:44.0,,,49-67,,Offensive rebound by R. Anderson
7:44.0,,,49-69,2,R. Anderson makes 2-pt shot from 1 ft
7:23.0,D. Williams misses 2-pt shot from 6 ft (block by O. Asik),,49-69,,
7:22.0,,,49-69,,Defensive rebound by A. Gee
7:13.0,,,49-69,,Turnover by A. Gee (lost ball; steal by Z. Pachulia)
7:00.0,D. Nowitzki makes 2-pt shot from 12 ft,2,51-69,,
6:49.0,,,51-69,,E. Gordon misses 3-pt shot from 24 ft
6:48.0,Defensive rebound by Z. Pachulia,,51-69,,
6:38.0,W. Matthews misses 2-pt shot from 2 ft (block by E. Gordon),,51-69,,
6:38.0,Offensive rebound by Z. Pachulia,,51-69,,
6:38.0,,,51-69,,Loose ball foul by O. Asik (drawn by Z. Pachulia)
6:38.0,Z. Pachulia makes free throw 1 of 2,1,52-69,,
6:38.0,D. Powell enters the game for D. Nowitzki,,52-69,,
6:38.0,D. Harris enters the game for W. Matthews,,52-69,,
6:38.0,,,52-69,,I. Smith enters the game for O. Asik
6:38.0,,,52-69,,D. Cunningham enters the game for J. Holiday
6:38.0,Z. Pachulia makes free throw 2 of 2,1,53-69,,
6:18.0,,,53-69,,E. Gordon misses 3-pt shot from 25 ft
6:17.0,Defensive rebound by D. Powell,,53-69,,
6:05.0,D. Williams makes 2-pt shot from 7 ft,2,55-69,,
5:50.0,,,55-71,2,R. Anderson makes 2-pt shot from 1 ft (assist by I. Smith)
5:35.0,D. Williams misses 2-pt shot from 3 ft,,55-71,,
5:34.0,,,55-71,,Defensive rebound by A. Gee
5:25.0,,,55-73,2,R. Anderson makes 2-pt shot from 19 ft
5:25.0,Dallas full timeout,,55-73,,
5:25.0,J. Barea enters the game for R. Felton,,55-73,,
5:15.0,,,55-73,,Personal block foul by A. Gee (drawn by D. Harris)
5:15.0,D. Harris makes free throw 1 of 2,1,56-73,,
5:15.0,C. Villanueva enters the game for Z. Pachulia,,56-73,,
5:15.0,D. Harris makes free throw 2 of 2,1,57-73,,
4:57.0,,,57-75,2,I. Smith makes 2-pt shot from 1 ft
4:57.0,,,57-75,,Shooting foul by D. Harris (drawn by I. Smith)
4:57.0,,,57-76,1,I. Smith makes free throw 1 of 1
4:47.0,J. Barea misses 2-pt shot from 1 ft (block by I. Smith),,57-76,,
4:46.0,Offensive rebound by J. Barea,,57-76,,
4:43.0,C. Villanueva misses 2-pt shot from 2 ft,,57-76,,
4:42.0,Offensive rebound by D. Powell,,57-76,,
4:41.0,D. Powell makes 2-pt shot from 2 ft,2,59-76,,
4:27.0,,,59-76,,I. Smith misses 2-pt shot from 1 ft
4:26.0,Defensive rebound by D. Harris,,59-76,,
4:18.0,Turnover by D. Powell (lost ball; steal by I. Smith),,59-76,,
4:12.0,,,59-78,2,D. Cunningham makes 2-pt shot from 2 ft (assist by I. Smith)
3:56.0,C. Villanueva makes 2-pt shot from 4 ft,2,61-78,,
3:49.0,,,61-78,,A. Gee misses 2-pt shot from 2 ft (block by D. Powell)
3:48.0,Defensive rebound by C. Villanueva,,61-78,,
3:39.0,C. Villanueva misses 3-pt shot from 25 ft,,61-78,,
3:38.0,,,61-78,,Defensive rebound by D. Cunningham
3:24.0,,,61-78,,R. Anderson misses 2-pt shot from 2 ft
3:23.0,,,61-78,,Offensive rebound by R. Anderson
3:23.0,,,61-80,2,R. Anderson makes 2-pt shot from 2 ft
3:21.0,Dallas full timeout,,61-80,,
3:21.0,J. Anderson enters the game for D. Williams,,61-80,,
3:02.0,J. Barea makes 2-pt shot from 1 ft (assist by D. Powell),2,63-80,,
2:56.0,Personal take foul by J. Barea,,63-80,,
2:56.0,,,63-81,1,I. Smith makes free throw 1 of 2
2:56.0,,,63-82,1,I. Smith makes free throw 2 of 2
2:49.0,D. Powell makes 2-pt shot from 2 ft (assist by J. Barea),2,65-82,,
2:29.0,,,65-84,2,A. Gee makes 2-pt shot at rim (assist by I. Smith)
2:19.0,J. Barea misses 2-pt shot from 2 ft,,65-84,,
2:19.0,,,65-84,,Defensive rebound by Team
2:19.0,Loose ball foul by D. Powell (drawn by R. Anderson),,65-84,,
2:19.0,,,65-85,1,R. Anderson makes free throw 1 of 2
2:19.0,,,65-85,,R. Anderson misses free throw 2 of 2
2:18.0,Defensive rebound by C. Villanueva,,65-85,,
2:10.0,D. Harris misses 2-pt shot from 2 ft,,65-85,,
2:08.0,Offensive rebound by D. Powell,,65-85,,
2:08.0,D. Powell makes 2-pt shot at rim,2,67-85,,
2:03.0,Personal take foul by J. Barea,,67-85,,
2:03.0,,,67-86,1,I. Smith makes free throw 1 of 2
2:03.0,,,67-86,,L. Babbitt enters the game for R. Anderson
2:03.0,,,67-86,,T. Douglas enters the game for E. Gordon
2:03.0,,,67-87,1,I. Smith makes free throw 2 of 2
1:43.0,J. Anderson makes 2-pt shot from 1 ft,2,69-87,,
1:31.0,,,69-89,2,I. Smith makes 2-pt shot from 2 ft
1:20.0,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea),2,71-89,,
1:09.0,,,71-91,2,I. Smith makes 2-pt shot from 2 ft
0:51.0,C. Villanueva makes 2-pt shot from 5 ft,2,73-91,,
0:41.0,,,73-94,3,T. Douglas makes 3-pt shot from 24 ft (assist by I. Smith)
0:32.0,Turnover by J. Barea (traveling),,73-94,,
0:10.0,,,73-94,,I. Smith misses 2-pt shot from 16 ft
0:09.0,Defensive rebound by C. Villanueva,,73-94,,
0:05.0,Shooting foul by A. Gee (drawn by D. Harris),,73-94,,
0:05.0,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea),2,75-94,,
0:05.0,J. Evans enters the game for C. Villanueva,,75-94,,
0:05.0,D. Harris misses free throw 1 of 1,,75-94,,
0:04.0,,,75-94,,Defensive rebound by L. Babbitt
0:02.0,,,75-94,,Turnover by T. Douglas (offensive foul)
0:02.0,,,75-94,,Offensive foul by T. Douglas
0:00.0,D. Harris misses 3-pt shot from 44 ft,,75-94,,
0:00.0,Offensive rebound by Team,,75-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,75-96,2,I. Smith makes 2-pt shot from 1 ft (assist by L. Babbitt)
11:31.0,,,75-96,,Violation by T. Douglas (kicked ball)
11:25.0,Shooting foul by A. Gee (drawn by J. Evans),,75-96,,
11:25.0,J. Evans makes free throw 1 of 2,1,76-96,,
11:25.0,J. Evans makes free throw 2 of 2,1,77-96,,
11:16.0,,,77-96,,Shooting foul by J. Evans (drawn by T. Douglas)
11:16.0,,,77-97,1,T. Douglas makes free throw 1 of 2
11:16.0,,,77-97,,E. Gordon enters the game for A. Gee
11:16.0,,,77-98,1,T. Douglas makes free throw 2 of 2
11:04.0,D. Harris misses 2-pt shot from 1 ft,,77-98,,
11:03.0,,,77-98,,Defensive rebound by L. Babbitt
10:54.0,,,77-100,2,E. Gordon makes 2-pt shot from 1 ft (assist by I. Smith)
10:46.0,J. Barea makes 3-pt shot from 25 ft,3,80-100,,
10:32.0,,,80-103,3,E. Gordon makes 3-pt shot from 26 ft (assist by I. Smith)
10:15.0,J. Barea makes 2-pt shot from 12 ft,2,82-103,,
10:12.0,Personal foul by J. Barea,,82-103,,
10:12.0,R. Felton enters the game for D. Harris,,82-103,,
9:50.0,,,82-103,,I. Smith misses 2-pt shot from 19 ft
9:49.0,Defensive rebound by J. Anderson,,82-103,,
9:43.0,J. Barea misses 3-pt shot from 26 ft,,82-103,,
9:41.0,,,82-103,,Defensive rebound by D. Cunningham
9:34.0,,,82-106,3,T. Douglas makes 3-pt shot from 24 ft
9:34.0,Dallas full timeout,,82-106,,
9:34.0,S. Mejri enters the game for J. Barea,,82-106,,
9:34.0,,,82-106,,R. Anderson enters the game for D. Cunningham
9:34.0,,,82-106,,J. Holiday enters the game for I. Smith
9:12.0,Turnover by J. Anderson (traveling),,82-106,,
8:55.0,,,82-106,,R. Anderson misses 3-pt shot from 26 ft
8:55.0,Defensive rebound by C. Villanueva,,82-106,,
8:43.0,C. Villanueva misses 2-pt shot from 5 ft,,82-106,,
8:42.0,,,82-106,,Defensive rebound by L. Babbitt
8:27.0,,,82-106,,E. Gordon misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by J. Anderson,,82-106,,
8:18.0,Turnover by C. Villanueva (lost ball; steal by J. Holiday),,82-106,,
8:11.0,,,82-109,3,T. Douglas makes 3-pt shot from 25 ft (assist by E. Gordon)
7:50.0,,,82-109,,Shooting block foul by R. Anderson (drawn by R. Felton)
7:50.0,R. Felton makes free throw 1 of 2,1,83-109,,
7:50.0,,,83-109,,I. Smith enters the game for J. Holiday
7:50.0,R. Felton makes free throw 2 of 2,1,84-109,,
7:36.0,,,84-112,3,R. Anderson makes 3-pt shot from 23 ft (assist by I. Smith)
7:24.0,C. Villanueva misses 3-pt shot from 25 ft,,84-112,,
7:23.0,,,84-112,,Defensive rebound by L. Babbitt
7:09.0,,,84-112,,R. Anderson misses 2-pt shot from 18 ft
7:09.0,Defensive rebound by R. Felton,,84-112,,
6:53.0,C. Villanueva makes 2-pt shot from 8 ft (assist by J. Anderson),2,86-112,,
6:42.0,,,86-112,,E. Gordon misses 2-pt shot from 2 ft (block by S. Mejri)
6:40.0,Defensive rebound by C. Villanueva,,86-112,,
6:36.0,J. Anderson makes 2-pt shot from 1 ft (assist by C. Villanueva),2,88-112,,
6:24.0,,,88-112,,E. Gordon misses 3-pt shot from 24 ft
6:23.0,Defensive rebound by R. Felton,,88-112,,
6:12.0,R. Felton misses 2-pt shot from 1 ft,,88-112,,
6:12.0,Offensive rebound by Team,,88-112,,
6:12.0,,,88-112,,Loose ball foul by T. Douglas (drawn by S. Mejri)
