time,Utah,pts.away,score,pts.home,Toronto
7:52.0,G. Hayward makes 3-pt shot from 24 ft (assist by R. Gobert),3,11-10,,
7:32.0,,,11-12,2,K. Lowry makes 2-pt shot from 1 ft
7:20.0,S. Mack misses 2-pt shot from 3 ft,,11-12,,
7:20.0,,,11-12,,Defensive rebound by J. Valanciunas
7:04.0,,,11-12,,Turnover by K. Lowry (bad pass; steal by R. Hood)
6:57.0,G. Hayward makes 2-pt shot from 1 ft,2,13-12,,
6:37.0,,,13-14,2,D. DeRozan makes 2-pt shot from 13 ft
6:37.0,,,13-14,,Shooting foul by G. Hayward (drawn by D. DeRozan)
6:37.0,,,13-14,,D. DeRozan misses free throw 1 of 1
6:36.0,Defensive rebound by D. Favors,,13-14,,
6:19.0,R. Hood misses 2-pt shot from 18 ft,,13-14,,
6:18.0,Offensive rebound by R. Gobert,,13-14,,
6:14.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Gobert),2,15-14,,
6:03.0,,,15-14,,L. Scola misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by G. Hayward,,15-14,,
5:55.0,G. Hayward misses 3-pt shot from 26 ft,,15-14,,
5:55.0,,,15-14,,Defensive rebound by D. DeRozan
5:46.0,,,15-14,,Shooting foul by R. Gobert (drawn by D. DeRozan)
5:46.0,,,15-14,,Toronto full timeout
5:46.0,T. Lyles enters the game for R. Gobert,,15-14,,
5:46.0,,,15-15,1,D. DeRozan makes free throw 1 of 2
5:46.0,,,15-16,1,D. DeRozan makes free throw 2 of 2
5:24.0,S. Mack misses 3-pt shot from 24 ft,,15-16,,
5:24.0,,,15-16,,Defensive rebound by D. DeRozan
5:15.0,,,15-16,,D. DeRozan misses 2-pt shot from 15 ft
5:14.0,Defensive rebound by S. Mack,,15-16,,
5:13.0,,,15-16,,Personal foul by D. DeRozan (drawn by S. Mack)
4:58.0,D. Favors misses 2-pt shot from 18 ft,,15-16,,
4:58.0,,,15-16,,Defensive rebound by J. Valanciunas
4:43.0,,,15-18,2,J. Johnson makes 2-pt shot from 3 ft
4:26.0,G. Hayward misses 3-pt shot from 23 ft,,15-18,,
4:26.0,,,15-18,,Defensive rebound by L. Scola
4:14.0,,,15-18,,Turnover by K. Lowry (bad pass)
3:54.0,R. Hood makes 3-pt shot from 26 ft (assist by G. Hayward),3,18-18,,
3:31.0,,,18-20,2,J. Valanciunas makes 2-pt shot at rim
3:10.0,D. Favors misses 2-pt shot from 15 ft,,18-20,,
3:10.0,,,18-20,,Defensive rebound by L. Scola
2:46.0,,,18-20,,L. Scola misses 2-pt shot from 2 ft (block by D. Favors)
2:45.0,,,18-20,,Offensive rebound by L. Scola
2:45.0,,,18-20,,Turnover by Team (shot clock)
2:45.0,Utah full timeout,,18-20,,
2:45.0,,,18-20,,T. Ross enters the game for J. Johnson
2:45.0,,,18-20,,C. Joseph enters the game for L. Scola
2:45.0,,,18-20,,P. Patterson enters the game for K. Lowry
2:45.0,C. Johnson enters the game for R. Hood,,18-20,,
2:31.0,C. Johnson misses 3-pt shot from 23 ft,,18-20,,
2:30.0,Offensive rebound by D. Favors,,18-20,,
2:27.0,D. Favors makes 2-pt shot at rim,2,20-20,,
2:09.0,,,20-20,,D. DeRozan misses 2-pt shot from 5 ft (block by T. Lyles)
2:09.0,,,20-20,,Offensive rebound by Team
2:02.0,,,20-20,,C. Joseph misses 2-pt shot from 21 ft
2:02.0,Defensive rebound by D. Favors,,20-20,,
1:44.0,G. Hayward misses 2-pt shot from 13 ft,,20-20,,
1:44.0,,,20-20,,Defensive rebound by J. Valanciunas
1:33.0,Personal foul by D. Favors (drawn by J. Valanciunas),,20-20,,
1:33.0,R. Neto enters the game for S. Mack,,20-20,,
1:27.0,,,20-22,2,J. Valanciunas makes 2-pt shot from 14 ft (assist by C. Joseph)
1:01.0,D. Favors makes 2-pt shot from 4 ft,2,22-22,,
0:38.0,,,22-22,,Turnover by C. Joseph (lost ball; steal by R. Neto)
0:32.0,G. Hayward makes 2-pt shot from 3 ft (assist by R. Neto),2,24-22,,
0:08.0,,,24-24,2,D. DeRozan makes 2-pt shot from 4 ft
0:00.0,G. Hayward makes 2-pt shot from 20 ft,2,26-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,26-24,,C. Joseph misses 2-pt shot at rim (block by C. Johnson)
11:37.0,,,26-24,,Offensive rebound by Team
11:37.0,,,26-24,,P. Patterson misses 2-pt shot from 17 ft
11:36.0,Defensive rebound by R. Neto,,26-24,,
11:29.0,R. Neto makes 2-pt shot from 16 ft,2,28-24,,
11:04.0,,,28-24,,T. Ross misses 2-pt shot from 19 ft
11:04.0,,,28-24,,Offensive rebound by P. Patterson
11:01.0,,,28-26,2,P. Patterson makes 2-pt shot at rim
10:39.0,T. Lyles makes 3-pt shot from 24 ft (assist by R. Hood),3,31-26,,
10:10.0,,,31-26,,P. Patterson misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by C. Johnson,,31-26,,
9:57.0,C. Johnson makes 2-pt shot from 1 ft (assist by R. Hood),2,33-26,,
9:57.0,,,33-26,,Toronto full timeout
9:48.0,,,33-26,,K. Lowry misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by Team,,33-26,,
9:31.0,J. Withey makes 2-pt shot at rim (assist by C. Johnson),2,35-26,,
9:09.0,,,35-26,,Turnover by C. Joseph (bad pass; steal by R. Neto)
9:03.0,R. Neto makes 3-pt shot from 25 ft (assist by R. Hood),3,38-26,,
8:37.0,Def 3 sec tech foul by T. Lyles,,38-26,,
8:37.0,,,38-27,1,K. Lowry makes technical free throw
8:25.0,,,38-30,3,T. Ross makes 3-pt shot from 26 ft (assist by K. Lowry)
8:24.0,Utah full timeout,,38-30,,
8:24.0,J. Ingles enters the game for R. Hood,,38-30,,
8:11.0,T. Lyles misses 3-pt shot from 22 ft,,38-30,,
8:10.0,,,38-30,,Defensive rebound by B. Biyombo
7:59.0,,,38-33,3,T. Ross makes 3-pt shot from 26 ft (assist by C. Joseph)
7:35.0,T. Booker enters the game for T. Lyles,,38-33,,
7:32.0,J. Ingles misses 2-pt shot from 4 ft,,38-33,,
7:32.0,,,38-33,,Defensive rebound by T. Ross
7:27.0,Violation by J. Ingles (kicked ball),,38-33,,
7:27.0,D. Favors enters the game for J. Withey,,38-33,,
7:17.0,,,38-33,,T. Ross misses 3-pt shot from 26 ft
7:17.0,,,38-33,,Offensive rebound by Team
7:17.0,Loose ball foul by T. Booker (drawn by P. Patterson),,38-33,,
7:09.0,Personal foul by C. Johnson (drawn by K. Lowry),,38-33,,
6:53.0,,,38-33,,P. Patterson misses 2-pt shot from 2 ft
6:52.0,,,38-33,,Offensive rebound by B. Biyombo
6:52.0,,,38-33,,Shooting foul by C. Johnson (drawn by B. Biyombo)
6:52.0,,,38-33,,B. Biyombo misses free throw 1 of 2
6:52.0,,,38-33,,Offensive rebound by Team
6:52.0,S. Mack enters the game for R. Neto,,38-33,,
6:52.0,G. Hayward enters the game for C. Johnson,,38-33,,
6:52.0,,,38-34,1,B. Biyombo makes free throw 2 of 2
6:32.0,Shooting foul by C. Joseph (drawn by S. Mack),,38-34,,
6:32.0,S. Mack makes free throw 1 of 2,1,39-34,,
6:32.0,,,39-34,,D. DeRozan enters the game for C. Joseph
6:32.0,S. Mack makes free throw 2 of 2,1,40-34,,
6:10.0,,,40-34,,T. Ross misses 2-pt shot from 22 ft
6:09.0,,,40-34,,Offensive rebound by B. Biyombo
6:04.0,,,40-34,,K. Lowry misses 3-pt shot from 23 ft
6:03.0,Defensive rebound by T. Booker,,40-34,,
5:56.0,,,40-34,,Violation by D. DeRozan (kicked ball)
5:56.0,Official timeout,,40-34,,
5:49.0,G. Hayward makes 3-pt shot from 24 ft (assist by S. Mack),3,43-34,,
5:49.0,Shooting foul by B. Biyombo (drawn by G. Hayward),,43-34,,
5:49.0,G. Hayward makes free throw 1 of 1,1,44-34,,
5:37.0,,,44-36,2,T. Ross makes 2-pt shot from 5 ft
5:22.0,S. Mack misses 2-pt shot from 5 ft,,44-36,,
5:22.0,,,44-36,,Defensive rebound by P. Patterson
5:12.0,,,44-36,,B. Biyombo misses 2-pt shot from 5 ft
5:11.0,Defensive rebound by D. Favors,,44-36,,
4:46.0,G. Hayward misses 3-pt shot from 30 ft,,44-36,,
4:46.0,,,44-36,,Defensive rebound by P. Patterson
4:35.0,,,44-36,,P. Patterson misses 3-pt shot from 26 ft
4:34.0,Defensive rebound by J. Ingles,,44-36,,
4:30.0,Offensive foul by T. Booker,,44-36,,
4:30.0,Turnover by T. Booker (offensive foul),,44-36,,
4:30.0,R. Gobert enters the game for J. Ingles,,44-36,,
4:30.0,C. Johnson enters the game for T. Booker,,44-36,,
4:30.0,,,44-36,,L. Nogueira enters the game for B. Biyombo
4:12.0,,,44-38,2,D. DeRozan makes 2-pt shot from 4 ft
4:02.0,,,44-38,,Def 3 sec tech foul by L. Nogueira
4:02.0,G. Hayward misses technical free throw,,44-38,,
4:02.0,Offensive rebound by Team,,44-38,,
3:57.0,C. Johnson misses 3-pt shot from 23 ft,,44-38,,
3:57.0,,,44-38,,Defensive rebound by L. Nogueira
3:55.0,,,44-38,,Turnover by L. Nogueira (step out of bounds)
3:46.0,G. Hayward misses 2-pt shot from 4 ft,,44-38,,
3:46.0,Offensive rebound by D. Favors,,44-38,,
3:42.0,S. Mack misses 3-pt shot from 27 ft,,44-38,,
3:41.0,Offensive rebound by R. Gobert,,44-38,,
3:40.0,Shooting foul by D. DeRozan (drawn by R. Gobert),,44-38,,
3:40.0,R. Gobert makes free throw 1 of 2,1,45-38,,
3:40.0,R. Gobert misses free throw 2 of 2,,45-38,,
3:39.0,,,45-38,,Defensive rebound by L. Nogueira
3:22.0,,,45-38,,K. Lowry misses 3-pt shot from 26 ft
3:22.0,Defensive rebound by C. Johnson,,45-38,,
3:14.0,Turnover by S. Mack (lost ball; steal by K. Lowry),,45-38,,
3:09.0,,,45-40,2,K. Lowry makes 2-pt shot at rim
2:41.0,S. Mack misses 2-pt shot from 6 ft,,45-40,,
2:40.0,,,45-40,,Defensive rebound by P. Patterson
2:35.0,,,45-42,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
2:14.0,Turnover by S. Mack (lost ball; steal by K. Lowry),,45-42,,
2:08.0,,,45-44,2,D. DeRozan makes 2-pt shot from 3 ft
2:08.0,,,45-44,,Shooting foul by D. Favors (drawn by D. DeRozan)
2:08.0,Utah full timeout,,45-44,,
2:08.0,,,45-45,1,D. DeRozan makes free throw 1 of 1
1:49.0,D. Favors makes 2-pt shot from 3 ft,2,47-45,,
1:24.0,,,47-45,,K. Lowry misses 3-pt shot from 26 ft
1:24.0,,,47-45,,Offensive rebound by L. Nogueira
1:13.0,,,47-45,,P. Patterson misses 3-pt shot from 22 ft
1:13.0,,,47-45,,Offensive rebound by L. Nogueira
1:10.0,,,47-45,,Shooting foul by R. Gobert (drawn by P. Patterson)
1:10.0,,,47-46,1,P. Patterson makes free throw 1 of 2
1:10.0,T. Lyles enters the game for R. Gobert,,47-46,,
1:10.0,,,47-46,,J. Johnson enters the game for D. DeRozan
1:10.0,,,47-46,,C. Joseph enters the game for K. Lowry
1:10.0,,,47-47,1,P. Patterson makes free throw 2 of 2
1:02.0,,,47-47,,Personal foul by L. Nogueira (drawn by D. Favors)
0:54.0,D. Favors makes 2-pt shot from 15 ft,2,49-47,,
0:37.0,,,49-49,2,C. Joseph makes 2-pt shot from 2 ft
0:27.0,Turnover by G. Hayward (bad pass; steal by T. Ross),,49-49,,
0:20.0,,,49-49,,Toronto full timeout
0:20.0,,,49-49,,K. Lowry enters the game for J. Johnson
0:20.0,T. Booker enters the game for D. Favors,,49-49,,
0:04.0,,,49-52,3,K. Lowry makes 3-pt shot from 27 ft
0:00.0,T. Lyles misses 2-pt shot from 20 ft,,49-52,,
0:00.0,Offensive rebound by Team,,49-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Violation by R. Gobert (def goaltending),,49-52,,
11:42.0,,,49-54,2,L. Scola makes 2-pt shot from 2 ft
11:25.0,G. Hayward misses 3-pt shot from 26 ft,,49-54,,
11:25.0,,,49-54,,Defensive rebound by L. Scola
11:14.0,,,49-54,,D. DeRozan misses 2-pt shot from 11 ft
11:14.0,,,49-54,,Offensive rebound by Team
11:14.0,Loose ball foul by R. Gobert (drawn by J. Valanciunas),,49-54,,
11:14.0,T. Booker enters the game for R. Gobert,,49-54,,
10:59.0,,,49-54,,J. Valanciunas misses 2-pt shot from 6 ft
10:59.0,Defensive rebound by J. Ingles,,49-54,,
10:43.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,51-54,,
10:43.0,Shooting foul by J. Valanciunas (drawn by D. Favors),,51-54,,
10:43.0,D. Favors makes free throw 1 of 1,1,52-54,,
10:24.0,,,52-54,,Shooting foul by S. Mack (drawn by J. Valanciunas)
10:24.0,,,52-55,1,J. Valanciunas makes free throw 1 of 2
10:24.0,,,52-56,1,J. Valanciunas makes free throw 2 of 2
10:09.0,D. Favors makes 2-pt shot from 3 ft (assist by S. Mack),2,54-56,,
9:44.0,,,54-58,2,D. DeRozan makes 2-pt shot from 9 ft
9:28.0,,,54-58,,Personal foul by J. Johnson (drawn by G. Hayward)
9:19.0,G. Hayward misses 2-pt shot from 6 ft,,54-58,,
9:19.0,,,54-58,,Defensive rebound by D. DeRozan
9:11.0,,,54-58,,Shooting foul by G. Hayward (drawn by D. DeRozan)
9:11.0,,,54-59,1,D. DeRozan makes free throw 1 of 2
9:11.0,,,54-60,1,D. DeRozan makes free throw 2 of 2
8:56.0,T. Booker makes 2-pt shot from 5 ft (assist by J. Ingles),2,56-60,,
8:45.0,,,56-60,,K. Lowry misses 2-pt shot from 2 ft
8:44.0,,,56-60,,Offensive rebound by J. Valanciunas
8:42.0,,,56-62,2,J. Valanciunas makes 2-pt shot at rim
8:24.0,T. Booker makes 2-pt shot from 9 ft,2,58-62,,
8:16.0,,,58-64,2,L. Scola makes 2-pt shot from 1 ft (assist by K. Lowry)
7:56.0,Turnover by T. Booker (lost ball; steal by K. Lowry),,58-64,,
7:50.0,,,58-66,2,K. Lowry makes 2-pt shot from 4 ft
7:28.0,G. Hayward misses 2-pt shot from 4 ft (block by K. Lowry),,58-66,,
7:28.0,Offensive rebound by Team,,58-66,,
7:21.0,G. Hayward misses 2-pt shot from 9 ft,,58-66,,
7:21.0,Offensive rebound by T. Booker,,58-66,,
7:19.0,T. Booker misses 2-pt shot at rim,,58-66,,
7:19.0,,,58-66,,Defensive rebound by J. Valanciunas
7:15.0,Shooting block foul by S. Mack (drawn by K. Lowry),,58-66,,
7:15.0,,,58-67,1,K. Lowry makes free throw 1 of 2
7:15.0,Utah full timeout,,58-67,,
7:15.0,T. Lyles enters the game for T. Booker,,58-67,,
7:15.0,,,58-68,1,K. Lowry makes free throw 2 of 2
7:03.0,,,58-68,,Personal foul by J. Johnson (drawn by G. Hayward)
6:53.0,D. Favors misses 2-pt shot from 18 ft,,58-68,,
6:53.0,,,58-68,,Defensive rebound by J. Johnson
6:46.0,,,58-68,,Turnover by K. Lowry (bad pass; steal by J. Ingles)
6:32.0,,,58-68,,Violation by D. DeRozan (kicked ball)
6:21.0,G. Hayward makes 2-pt shot from 3 ft,2,60-68,,
5:58.0,,,60-70,2,K. Lowry makes 2-pt shot from 8 ft
5:45.0,J. Ingles makes 3-pt shot from 24 ft (assist by S. Mack),3,63-70,,
5:28.0,,,63-72,2,D. DeRozan makes 2-pt shot from 3 ft (assist by L. Scola)
5:28.0,,,63-72,,Shooting foul by D. Favors (drawn by D. DeRozan)
5:28.0,C. Johnson enters the game for J. Ingles,,63-72,,
5:28.0,R. Neto enters the game for S. Mack,,63-72,,
5:28.0,,,63-72,,T. Ross enters the game for J. Johnson
5:28.0,,,63-72,,D. DeRozan misses free throw 1 of 1
5:27.0,,,63-72,,Offensive rebound by D. DeRozan
5:22.0,,,63-74,2,D. DeRozan makes 2-pt shot from 5 ft
5:02.0,,,63-74,,Personal foul by L. Scola (drawn by D. Favors)
4:55.0,G. Hayward misses 2-pt shot from 3 ft,,63-74,,
4:55.0,,,63-74,,Defensive rebound by L. Scola
4:34.0,,,63-74,,L. Scola misses 2-pt shot from 2 ft
4:34.0,Defensive rebound by G. Hayward,,63-74,,
4:21.0,R. Neto makes 3-pt shot from 25 ft (assist by G. Hayward),3,66-74,,
4:12.0,,,66-74,,Toronto full timeout
4:12.0,,,66-74,,C. Joseph enters the game for K. Lowry
3:52.0,,,66-74,,D. DeRozan misses 3-pt shot from 26 ft
3:51.0,Defensive rebound by T. Lyles,,66-74,,
3:31.0,D. Favors misses 2-pt shot from 3 ft (block by J. Valanciunas),,66-74,,
3:30.0,,,66-74,,Defensive rebound by L. Scola
3:13.0,,,66-77,3,T. Ross makes 3-pt shot from 23 ft (assist by L. Scola)
2:54.0,T. Lyles makes 3-pt shot from 25 ft (assist by G. Hayward),3,69-77,,
2:30.0,,,69-77,,T. Ross misses 3-pt shot from 23 ft
2:29.0,Defensive rebound by C. Johnson,,69-77,,
2:23.0,,,69-77,,Personal foul by D. DeRozan (drawn by G. Hayward)
2:23.0,G. Hayward makes free throw 1 of 2,1,70-77,,
2:23.0,R. Gobert enters the game for D. Favors,,70-77,,
2:23.0,,,70-77,,P. Patterson enters the game for L. Scola
2:23.0,G. Hayward makes free throw 2 of 2,1,71-77,,
2:09.0,,,71-79,2,D. DeRozan makes 2-pt shot from 1 ft
1:59.0,,,71-79,,Personal foul by J. Valanciunas (drawn by R. Gobert)
1:59.0,R. Gobert makes free throw 1 of 2,1,72-79,,
1:59.0,,,72-79,,B. Biyombo enters the game for J. Valanciunas
1:59.0,T. Burke enters the game for C. Johnson,,72-79,,
1:59.0,R. Gobert misses free throw 2 of 2,,72-79,,
1:58.0,,,72-79,,Defensive rebound by P. Patterson
1:42.0,,,72-79,,Shooting foul by R. Neto (drawn by D. DeRozan)
1:42.0,,,72-80,1,D. DeRozan makes free throw 1 of 2
1:42.0,,,72-81,1,D. DeRozan makes free throw 2 of 2
1:32.0,R. Gobert makes 2-pt shot from 3 ft (assist by G. Hayward),2,74-81,,
1:17.0,,,74-83,2,D. DeRozan makes 2-pt shot at rim (assist by C. Joseph)
0:53.0,G. Hayward misses 3-pt shot from 27 ft,,74-83,,
0:53.0,,,74-83,,Defensive rebound by Team
0:35.0,,,74-85,2,C. Joseph makes 2-pt shot from 5 ft
0:20.0,T. Lyles misses 2-pt shot from 6 ft,,74-85,,
0:19.0,,,74-85,,Defensive rebound by B. Biyombo
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,Violation by Team (delay of game),,74-85,,
11:45.0,,,74-85,,Violation by P. Patterson (kicked ball)
11:37.0,T. Lyles misses 2-pt shot from 5 ft,,74-85,,
11:37.0,Offensive rebound by R. Gobert,,74-85,,
11:32.0,R. Gobert misses 2-pt shot at rim,,74-85,,
11:32.0,,,74-85,,Defensive rebound by K. Lowry
11:13.0,,,74-85,,P. Patterson misses 3-pt shot from 23 ft
11:12.0,,,74-85,,Offensive rebound by B. Biyombo
11:11.0,,,74-85,,B. Biyombo misses 2-pt shot from 1 ft
11:11.0,Defensive rebound by Team,,74-85,,
11:11.0,,,74-85,,Personal foul by K. Lowry (drawn by R. Gobert)
10:55.0,T. Burke misses 2-pt shot from 9 ft (block by B. Biyombo),,74-85,,
10:54.0,,,74-85,,Defensive rebound by P. Patterson
10:47.0,,,74-85,,T. Ross misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by R. Gobert,,74-85,,
10:38.0,R. Neto makes 2-pt shot from 9 ft,2,76-85,,
10:15.0,,,76-85,,T. Ross misses 2-pt shot from 17 ft
10:14.0,Defensive rebound by T. Burke,,76-85,,
10:07.0,Turnover by T. Burke (lost ball; steal by C. Joseph),,76-85,,
10:04.0,,,76-87,2,C. Joseph makes 2-pt shot from 1 ft
10:04.0,Shooting block foul by T. Lyles (drawn by C. Joseph),,76-87,,
10:04.0,C. Johnson enters the game for J. Ingles,,76-87,,
10:04.0,,,76-88,1,C. Joseph makes free throw 1 of 1
9:47.0,T. Burke makes 2-pt shot from 2 ft,2,78-88,,
9:27.0,,,78-88,,T. Ross misses 2-pt shot from 6 ft (block by C. Johnson)
9:25.0,Defensive rebound by R. Gobert,,78-88,,
9:20.0,R. Gobert misses 2-pt shot from 4 ft (block by B. Biyombo),,78-88,,
9:20.0,Offensive rebound by Team,,78-88,,
9:16.0,R. Neto misses 3-pt shot from 26 ft,,78-88,,
9:16.0,,,78-88,,Defensive rebound by B. Biyombo
9:01.0,,,78-88,,K. Lowry misses 3-pt shot from 28 ft
9:00.0,Defensive rebound by T. Lyles,,78-88,,
8:53.0,T. Burke makes 2-pt shot from 2 ft,2,80-88,,
8:44.0,,,80-88,,Toronto full timeout
8:35.0,,,80-88,,Turnover by K. Lowry (bad pass)
8:12.0,C. Johnson misses 2-pt shot from 2 ft (block by B. Biyombo),,80-88,,
8:11.0,,,80-88,,Defensive rebound by T. Ross
8:03.0,Personal foul by C. Johnson (drawn by K. Lowry),,80-88,,
7:54.0,,,80-88,,T. Ross misses 2-pt shot from 20 ft
7:54.0,,,80-88,,Offensive rebound by Team
7:54.0,Loose ball foul by T. Burke (drawn by B. Biyombo),,80-88,,
7:47.0,,,80-90,2,K. Lowry makes 2-pt shot from 19 ft
7:25.0,T. Burke misses 3-pt shot from 26 ft,,80-90,,
7:25.0,,,80-90,,Defensive rebound by T. Ross
7:04.0,,,80-90,,C. Joseph misses 2-pt shot from 1 ft (block by T. Lyles)
7:01.0,Defensive rebound by R. Neto,,80-90,,
7:01.0,,,80-90,,Personal foul by K. Lowry (drawn by R. Neto)
7:01.0,D. Favors enters the game for T. Lyles,,80-90,,
7:01.0,G. Hayward enters the game for C. Johnson,,80-90,,
6:53.0,T. Burke makes 2-pt shot from 10 ft,2,82-90,,
6:29.0,,,82-90,,P. Patterson misses 2-pt shot from 3 ft
6:28.0,Defensive rebound by D. Favors,,82-90,,
6:18.0,Turnover by R. Neto (bad pass; steal by T. Ross),,82-90,,
6:12.0,,,82-92,2,K. Lowry makes 2-pt shot from 4 ft
5:54.0,T. Burke makes 3-pt shot from 23 ft (assist by R. Neto),3,85-92,,
5:34.0,,,85-92,,T. Ross misses 3-pt shot from 23 ft
5:33.0,Defensive rebound by Team,,85-92,,
5:33.0,Official timeout,,85-92,,
5:33.0,,,85-92,,D. DeRozan enters the game for T. Ross
5:11.0,Shooting foul by B. Biyombo (drawn by G. Hayward),,85-92,,
5:11.0,G. Hayward makes free throw 1 of 2,1,86-92,,
5:11.0,G. Hayward makes free throw 2 of 2,1,87-92,,
4:54.0,,,87-94,2,K. Lowry makes 2-pt shot from 17 ft
4:34.0,R. Neto misses 3-pt shot from 23 ft,,87-94,,
4:33.0,Offensive rebound by D. Favors,,87-94,,
4:29.0,G. Hayward makes 3-pt shot from 25 ft (assist by D. Favors),3,90-94,,
4:10.0,,,90-94,,P. Patterson misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by Team,,90-94,,
3:58.0,T. Burke misses 2-pt shot from 17 ft,,90-94,,
3:58.0,,,90-94,,Defensive rebound by B. Biyombo
3:49.0,,,90-96,2,K. Lowry makes 2-pt shot from 15 ft
3:41.0,Utah full timeout,,90-96,,
3:41.0,,,90-96,,J. Valanciunas enters the game for B. Biyombo
3:32.0,G. Hayward misses 2-pt shot from 17 ft,,90-96,,
3:31.0,,,90-96,,Defensive rebound by K. Lowry
3:24.0,,,90-96,,Turnover by K. Lowry (bad pass; steal by R. Gobert)
3:01.0,D. Favors misses 2-pt shot from 14 ft,,90-96,,
3:01.0,Offensive rebound by R. Gobert,,90-96,,
3:01.0,R. Gobert makes 2-pt shot from 1 ft,2,92-96,,
2:32.0,,,92-98,2,J. Valanciunas makes 2-pt shot from 15 ft
2:18.0,G. Hayward misses 3-pt shot from 25 ft,,92-98,,
2:18.0,Offensive rebound by Team,,92-98,,
2:18.0,,,92-98,,Loose ball foul by D. DeRozan (drawn by R. Gobert)
2:01.0,Shooting foul by J. Valanciunas (drawn by R. Gobert),,92-98,,
2:01.0,R. Gobert misses free throw 1 of 2,,92-98,,
2:01.0,Offensive rebound by Team,,92-98,,
2:01.0,R. Gobert misses free throw 2 of 2,,92-98,,
2:01.0,,,92-98,,Defensive rebound by J. Valanciunas
1:41.0,,,92-98,,K. Lowry misses 2-pt shot from 1 ft (block by G. Hayward)
1:40.0,,,92-98,,Offensive rebound by J. Valanciunas
1:38.0,,,92-98,,J. Valanciunas misses 2-pt shot at rim
1:38.0,Defensive rebound by G. Hayward,,92-98,,
1:32.0,T. Burke misses 3-pt shot from 25 ft,,92-98,,
1:32.0,,,92-98,,Defensive rebound by K. Lowry
1:27.0,,,92-100,2,D. DeRozan makes 2-pt shot from 3 ft (assist by K. Lowry)
1:27.0,Utah full timeout,,92-100,,
1:27.0,T. Lyles enters the game for R. Gobert,,92-100,,
1:27.0,J. Ingles enters the game for R. Neto,,92-100,,
1:06.0,J. Ingles misses 2-pt shot from 20 ft,,92-100,,
1:05.0,,,92-100,,Defensive rebound by P. Patterson
0:59.0,,,92-102,2,K. Lowry makes 2-pt shot from 1 ft
0:49.0,T. Burke makes 2-pt shot from 3 ft,2,94-102,,
0:37.0,,,94-102,,Toronto full timeout
0:37.0,C. Johnson enters the game for J. Ingles,,94-102,,
0:32.0,Personal foul by T. Lyles (drawn by C. Joseph),,94-102,,
0:27.0,Personal take foul by C. Johnson (drawn by D. DeRozan),,94-102,,
