time,Phoenix,pts.away,score,pts.home,Chicago
8:40.0,Phoenix full timeout,,33-34,,
8:40.0,,,33-34,,D. Rose enters the game for D. McDermott
8:40.0,,,33-34,,T. Snell enters the game for K. Hinrich
8:40.0,T. Warren makes free throw 1 of 1,1,34-34,,
8:26.0,,,34-34,,J. Noah misses 2-pt shot from 2 ft
8:24.0,Defensive rebound by D. Booker,,34-34,,
8:09.0,J. Leuer misses 3-pt shot from 24 ft,,34-34,,
8:08.0,,,34-34,,Defensive rebound by T. Snell
7:58.0,,,34-36,2,D. Rose makes 2-pt shot from 21 ft (assist by T. Gibson)
7:40.0,B. Knight misses 2-pt shot from 22 ft,,34-36,,
7:39.0,,,34-36,,Defensive rebound by D. Rose
7:31.0,,,34-38,2,T. Gibson makes 2-pt shot from 3 ft (assist by J. Noah)
7:04.0,T. Warren misses 2-pt shot from 20 ft,,34-38,,
7:04.0,Offensive rebound by Team,,34-38,,
7:04.0,Turnover by Team (shot clock),,34-38,,
7:04.0,,,34-38,,N. Mirotic enters the game for J. Noah
7:04.0,E. Bledsoe enters the game for T. Warren,,34-38,,
6:53.0,,,34-38,,D. Rose misses 2-pt shot from 1 ft (block by J. Leuer)
6:49.0,,,34-38,,Offensive rebound by D. Rose
6:49.0,,,34-38,,T. Snell misses 3-pt shot from 23 ft
6:48.0,Defensive rebound by J. Leuer,,34-38,,
6:34.0,M. Teletovic misses 2-pt shot from 21 ft,,34-38,,
6:33.0,,,34-38,,Defensive rebound by D. Rose
6:29.0,,,34-38,,Turnover by D. Rose (bad pass; steal by J. Leuer)
6:20.0,M. Teletovic makes 3-pt shot from 24 ft (assist by D. Booker),3,37-38,,
6:03.0,,,37-38,,E. Moore misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by E. Bledsoe,,37-38,,
5:54.0,Turnover by B. Knight (bad pass; steal by T. Gibson),,37-38,,
5:45.0,,,37-40,2,T. Gibson makes 2-pt shot from 1 ft (assist by T. Snell)
5:30.0,J. Leuer misses 3-pt shot from 25 ft,,37-40,,
5:29.0,,,37-40,,Defensive rebound by T. Gibson
5:19.0,,,37-40,,Chicago full timeout
5:19.0,A. Len enters the game for J. Leuer,,37-40,,
5:19.0,,,37-40,,P. Gasol enters the game for T. Gibson
5:19.0,,,37-40,,J. Butler enters the game for E. Moore
5:19.0,P. Tucker enters the game for M. Teletovic,,37-40,,
5:14.0,,,37-40,,N. Mirotic misses 3-pt shot from 25 ft
5:12.0,Defensive rebound by B. Knight,,37-40,,
5:03.0,E. Bledsoe misses 2-pt shot from 8 ft,,37-40,,
5:03.0,Offensive rebound by Team,,37-40,,
4:58.0,A. Len makes 2-pt shot from 1 ft (assist by D. Booker),2,39-40,,
4:58.0,Shooting foul by P. Gasol (drawn by A. Len),,39-40,,
4:58.0,A. Len makes free throw 1 of 1,1,40-40,,
4:38.0,,,40-40,,Turnover by P. Gasol (bad pass; steal by E. Bledsoe)
4:30.0,E. Bledsoe makes 2-pt shot from 1 ft,2,42-40,,
4:18.0,,,42-40,,D. Rose misses 3-pt shot from 24 ft
4:16.0,,,42-40,,Offensive rebound by N. Mirotic
4:16.0,,,42-40,,Turnover by D. Rose (lost ball)
4:01.0,A. Len misses 2-pt shot from 16 ft,,42-40,,
4:00.0,,,42-40,,Defensive rebound by D. Rose
3:46.0,,,42-40,,D. Rose misses 2-pt shot at rim
3:45.0,,,42-40,,Offensive rebound by N. Mirotic
3:45.0,,,42-42,2,N. Mirotic makes 2-pt shot at rim
3:29.0,E. Bledsoe misses 2-pt shot from 7 ft,,42-42,,
3:27.0,Offensive rebound by A. Len,,42-42,,
3:27.0,A. Len makes 2-pt shot at rim,2,44-42,,
3:19.0,,,44-42,,Turnover by J. Butler (bad pass; steal by A. Len)
3:14.0,Turnover by P. Tucker (bad pass; steal by J. Butler),,44-42,,
3:10.0,,,44-44,2,J. Butler makes 2-pt shot at rim (assist by P. Gasol)
2:46.0,Turnover by P. Tucker (lost ball; steal by D. Rose),,44-44,,
2:44.0,Personal foul by D. Booker (drawn by D. Rose),,44-44,,
2:44.0,Phoenix full timeout,,44-44,,
2:29.0,,,44-44,,N. Mirotic misses 2-pt shot from 14 ft
2:28.0,Defensive rebound by A. Len,,44-44,,
2:16.0,A. Len misses 2-pt shot from 1 ft (block by N. Mirotic),,44-44,,
2:14.0,,,44-44,,Defensive rebound by N. Mirotic
2:13.0,,,44-44,,Turnover by N. Mirotic (bad pass; steal by P. Tucker)
2:10.0,A. Len misses 2-pt shot from 2 ft,,44-44,,
2:08.0,,,44-44,,Defensive rebound by P. Gasol
2:05.0,,,44-46,2,T. Snell makes 2-pt shot from 1 ft (assist by P. Gasol)
1:50.0,D. Booker makes 2-pt shot at rim (assist by A. Len),2,46-46,,
1:23.0,,,46-46,,J. Butler misses 3-pt shot from 23 ft
1:22.0,,,46-46,,Offensive rebound by N. Mirotic
1:15.0,,,46-49,3,J. Butler makes 3-pt shot from 23 ft (assist by P. Gasol)
0:51.0,A. Len makes 2-pt shot from 7 ft (assist by E. Bledsoe),2,48-49,,
0:31.0,,,48-49,,Shooting foul by A. Len (drawn by P. Gasol)
0:31.0,,,48-50,1,P. Gasol makes free throw 1 of 2
0:31.0,J. Leuer enters the game for A. Len,,48-50,,
0:31.0,M. Teletovic enters the game for P. Tucker,,48-50,,
0:31.0,,,48-51,1,P. Gasol makes free throw 2 of 2
0:15.0,E. Bledsoe makes 2-pt shot from 2 ft,2,50-51,,
0:15.0,Shooting foul by J. Butler (drawn by E. Bledsoe),,50-51,,
0:15.0,E. Bledsoe makes free throw 1 of 1,1,51-51,,
0:00.0,,,51-51,,N. Mirotic misses 3-pt shot from 23 ft
0:00.0,,,51-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Violation by A. Len (kicked ball),,51-51,,
11:35.0,,,51-54,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Butler)
11:20.0,B. Knight misses 2-pt shot from 16 ft,,51-54,,
11:19.0,,,51-54,,Defensive rebound by P. Gasol
11:09.0,,,51-54,,P. Gasol misses 2-pt shot from 19 ft
11:08.0,,,51-54,,Offensive rebound by N. Mirotic
11:04.0,,,51-56,2,N. Mirotic makes 2-pt shot from 20 ft
10:54.0,Turnover by A. Len (bad pass; steal by D. Rose),,51-56,,
10:50.0,,,51-58,2,D. Rose makes 2-pt shot at rim (assist by J. Butler)
10:50.0,Phoenix full timeout,,51-58,,
10:34.0,J. Leuer misses 2-pt shot from 19 ft,,51-58,,
10:31.0,Jump ball: A. Len vs. T. Snell (E. Bledsoe gains possession),,,,Jump ball: A. Len vs. T. Snell (E. Bledsoe gains possession)
10:31.0,Offensive rebound by Team,,51-58,,
10:18.0,E. Bledsoe misses 2-pt shot from 1 ft,,51-58,,
10:17.0,Offensive rebound by J. Leuer,,51-58,,
10:17.0,J. Leuer makes 2-pt shot at rim,2,53-58,,
9:53.0,,,53-61,3,P. Gasol makes 3-pt shot from 25 ft (assist by N. Mirotic)
9:31.0,J. Leuer misses 2-pt shot from 16 ft,,53-61,,
9:30.0,,,53-61,,Defensive rebound by P. Gasol
9:18.0,,,53-61,,D. Rose misses 3-pt shot from 24 ft
9:17.0,Defensive rebound by P. Tucker,,53-61,,
9:04.0,A. Len misses 2-pt shot from 14 ft,,53-61,,
9:02.0,,,53-61,,Defensive rebound by P. Gasol
8:51.0,,,53-61,,N. Mirotic misses 3-pt shot from 23 ft
8:51.0,,,53-61,,Offensive rebound by Team
8:51.0,Loose ball foul by E. Bledsoe (drawn by T. Snell),,53-61,,
8:44.0,Personal foul by J. Leuer (drawn by N. Mirotic),,53-61,,
8:26.0,,,53-61,,J. Butler misses 2-pt shot from 19 ft
8:25.0,,,53-61,,Offensive rebound by P. Gasol
8:23.0,,,53-63,2,P. Gasol makes 2-pt shot from 3 ft
8:10.0,J. Leuer misses 2-pt shot from 1 ft (block by P. Gasol),,53-63,,
8:08.0,Offensive rebound by J. Leuer,,53-63,,
8:08.0,J. Leuer makes 2-pt shot from 1 ft,2,55-63,,
7:57.0,,,55-65,2,N. Mirotic makes 2-pt shot from 1 ft (assist by P. Gasol)
7:47.0,E. Bledsoe makes 2-pt shot from 15 ft,2,57-65,,
7:36.0,,,57-65,,D. Rose misses 2-pt shot from 3 ft
7:35.0,Defensive rebound by A. Len,,57-65,,
7:27.0,Turnover by B. Knight (bad pass),,57-65,,
7:13.0,,,57-65,,Turnover by P. Gasol (bad pass; steal by J. Leuer)
7:07.0,B. Knight misses 3-pt shot from 25 ft,,57-65,,
7:06.0,,,57-65,,Defensive rebound by P. Gasol
6:59.0,,,57-65,,P. Gasol misses 2-pt shot from 9 ft
6:57.0,Defensive rebound by A. Len,,57-65,,
6:49.0,Shooting foul by P. Gasol (drawn by A. Len),,57-65,,
6:49.0,A. Len makes free throw 1 of 2,1,58-65,,
6:49.0,M. Teletovic enters the game for J. Leuer,,58-65,,
6:49.0,D. Booker enters the game for B. Knight,,58-65,,
6:49.0,A. Len misses free throw 2 of 2,,58-65,,
6:48.0,,,58-65,,Defensive rebound by N. Mirotic
6:33.0,,,58-65,,Turnover by D. Rose (bad pass; steal by P. Tucker)
6:19.0,Turnover by E. Bledsoe (bad pass; steal by N. Mirotic),,58-65,,
6:16.0,,,58-67,2,J. Butler makes 2-pt shot at rim (assist by N. Mirotic)
5:50.0,D. Booker misses 2-pt shot from 17 ft,,58-67,,
5:49.0,,,58-67,,Defensive rebound by J. Butler
5:49.0,Personal foul by A. Len (drawn by J. Butler),,58-67,,
5:49.0,J. Leuer enters the game for A. Len,,58-67,,
5:35.0,,,58-67,,T. Snell misses 2-pt shot from 22 ft
5:34.0,Defensive rebound by J. Leuer,,58-67,,
5:27.0,,,58-67,,Personal foul by D. Rose (drawn by M. Teletovic)
5:27.0,,,58-67,,J. Noah enters the game for P. Gasol
5:27.0,,,58-67,,D. McDermott enters the game for T. Snell
5:27.0,T. Warren enters the game for P. Tucker,,58-67,,
5:15.0,E. Bledsoe misses 2-pt shot from 1 ft,,58-67,,
5:14.0,,,58-67,,Defensive rebound by Team
5:05.0,,,58-69,2,D. Rose makes 2-pt shot from 2 ft
4:43.0,M. Teletovic makes 3-pt shot from 25 ft (assist by D. Booker),3,61-69,,
4:32.0,,,61-69,,N. Mirotic misses 3-pt shot from 24 ft
4:30.0,,,61-69,,Offensive rebound by Team
4:30.0,,,61-69,,T. Gibson enters the game for N. Mirotic
4:23.0,,,61-69,,D. Rose misses 2-pt shot from 10 ft
4:22.0,,,61-69,,Offensive rebound by T. Gibson
4:19.0,,,61-71,2,D. Rose makes 2-pt shot from 1 ft (assist by T. Gibson)
4:04.0,,,61-71,,Personal foul by T. Gibson (drawn by M. Teletovic)
4:04.0,,,61-71,,K. Hinrich enters the game for D. Rose
3:59.0,M. Teletovic misses 2-pt shot from 21 ft,,61-71,,
3:58.0,,,61-71,,Defensive rebound by J. Butler
3:47.0,,,61-73,2,D. McDermott makes 2-pt shot from 3 ft (assist by J. Noah)
3:35.0,E. Bledsoe misses 2-pt shot from 22 ft,,61-73,,
3:34.0,,,61-73,,Defensive rebound by T. Gibson
3:27.0,,,61-73,,Turnover by T. Gibson (traveling)
3:15.0,E. Bledsoe misses 2-pt shot from 18 ft,,61-73,,
3:14.0,,,61-73,,Defensive rebound by J. Butler
3:05.0,,,61-73,,Turnover by J. Butler (bad pass)
2:55.0,Turnover by D. Booker (bad pass; steal by T. Gibson),,61-73,,
2:51.0,,,61-75,2,T. Gibson makes 2-pt shot from 1 ft
2:29.0,E. Bledsoe misses 3-pt shot from 24 ft,,61-75,,
2:28.0,,,61-75,,Defensive rebound by T. Gibson
2:12.0,,,61-75,,Offensive foul by T. Gibson
2:12.0,,,61-75,,Turnover by T. Gibson (offensive foul)
2:12.0,,,61-75,,Chicago full timeout
2:12.0,B. Knight enters the game for E. Bledsoe,,61-75,,
1:47.0,B. Knight misses 3-pt shot from 25 ft,,61-75,,
1:45.0,,,61-75,,Defensive rebound by J. Butler
1:34.0,,,61-75,,J. Butler misses 2-pt shot from 1 ft
1:33.0,Defensive rebound by J. Leuer,,61-75,,
1:14.0,M. Teletovic misses 3-pt shot from 27 ft,,61-75,,
1:14.0,,,61-75,,Defensive rebound by Team
0:53.0,,,61-75,,K. Hinrich misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by D. Booker,,61-75,,
0:47.0,Turnover by J. Leuer (bad pass),,61-75,,
0:35.0,,,61-75,,T. Gibson misses 2-pt shot from 8 ft
0:33.0,,,61-75,,Offensive rebound by T. Gibson
0:33.0,,,61-75,,T. Gibson misses 2-pt shot from 1 ft (block by M. Teletovic)
0:31.0,,,61-75,,Offensive rebound by T. Gibson
0:31.0,,,61-75,,T. Gibson misses 2-pt shot at rim
0:29.0,Defensive rebound by T. Warren,,61-75,,
0:14.0,T. Warren misses 2-pt shot from 17 ft,,61-75,,
0:12.0,,,61-75,,Defensive rebound by J. Noah
0:06.0,,,61-75,,Shooting foul by T. Warren (drawn by J. Butler)
0:06.0,,,61-76,1,J. Butler makes free throw 1 of 2
0:06.0,,,61-77,1,J. Butler makes free throw 2 of 2
0:05.0,,,61-77,,Personal take foul by K. Hinrich (drawn by B. Knight)
0:00.0,Turnover by B. Knight (lost ball; steal by J. Noah),,61-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,A. Len misses 2-pt shot from 6 ft,,61-77,,
11:34.0,,,61-77,,Defensive rebound by J. Noah
11:19.0,,,61-77,,Offensive foul by T. Gibson
11:19.0,,,61-77,,Turnover by T. Gibson (offensive foul)
11:09.0,D. Booker misses 2-pt shot from 1 ft (block by T. Gibson),,61-77,,
11:09.0,Offensive rebound by Team,,61-77,,
11:04.0,M. Teletovic makes 3-pt shot from 25 ft (assist by B. Knight),3,64-77,,
10:47.0,,,64-77,,K. Hinrich misses 2-pt shot from 2 ft
10:45.0,,,64-77,,Offensive rebound by J. Noah
10:45.0,,,64-77,,Shooting foul by A. Len (drawn by J. Noah)
10:45.0,,,64-77,,J. Noah misses free throw 1 of 2
10:45.0,,,64-77,,Offensive rebound by Team
10:45.0,,,64-78,1,J. Noah makes free throw 2 of 2
10:33.0,D. Booker makes 2-pt shot from 18 ft,2,66-78,,
10:19.0,,,66-78,,K. Hinrich misses 2-pt shot from 6 ft
10:17.0,Defensive rebound by T. Warren,,66-78,,
10:02.0,T. Warren makes 2-pt shot from 5 ft (assist by A. Len),2,68-78,,
9:52.0,,,68-78,,Turnover by J. Noah (bad pass; steal by D. Booker)
9:48.0,,,68-78,,D. Rose enters the game for K. Hinrich
9:48.0,Offensive charge foul by T. Warren,,68-78,,
9:48.0,Turnover by T. Warren (offensive foul),,68-78,,
9:38.0,,,68-80,2,D. McDermott makes 2-pt shot from 1 ft (assist by J. Noah)
9:22.0,Shooting foul by T. Gibson (drawn by A. Len),,68-80,,
9:22.0,A. Len makes 2-pt shot at rim (assist by B. Knight),2,70-80,,
9:22.0,A. Len makes free throw 1 of 1,1,71-80,,
9:09.0,,,71-82,2,D. McDermott makes 2-pt shot from 20 ft (assist by J. Noah)
8:51.0,Phoenix full timeout,,71-82,,
8:48.0,A. Len makes 2-pt shot from 2 ft (assist by D. Booker),2,73-82,,
8:27.0,,,73-82,,Turnover by E. Moore (traveling)
8:27.0,J. Leuer enters the game for A. Len,,73-82,,
8:14.0,D. Booker makes 2-pt shot from 1 ft (assist by M. Teletovic),2,75-82,,
8:04.0,,,75-84,2,J. Noah makes 2-pt shot at rim (assist by D. Rose)
7:58.0,Phoenix full timeout,,75-84,,
7:48.0,Turnover by J. Leuer (bad pass; steal by E. Moore),,75-84,,
7:45.0,,,75-86,2,E. Moore makes 2-pt shot from 1 ft
7:21.0,,,75-86,,Personal foul by D. McDermott (drawn by T. Warren)
7:14.0,B. Knight misses 2-pt shot from 17 ft,,75-86,,
7:13.0,,,75-86,,Defensive rebound by E. Moore
7:06.0,,,75-86,,D. Rose misses 3-pt shot from 24 ft
7:05.0,,,75-86,,Offensive rebound by T. Gibson
6:57.0,,,75-86,,D. Rose misses 2-pt shot from 3 ft
6:56.0,Defensive rebound by M. Teletovic,,75-86,,
6:48.0,B. Knight makes 3-pt shot from 27 ft (assist by D. Booker),3,78-86,,
6:26.0,,,78-86,,Turnover by D. Rose (bad pass)
6:26.0,E. Bledsoe enters the game for D. Booker,,78-86,,
6:26.0,,,78-86,,J. Butler enters the game for E. Moore
6:14.0,B. Knight makes 2-pt shot from 21 ft,2,80-86,,
5:58.0,,,80-86,,Shooting foul by T. Warren (drawn by J. Butler)
5:58.0,,,80-87,1,J. Butler makes free throw 1 of 2
5:58.0,,,80-87,,P. Gasol enters the game for J. Noah
5:58.0,,,80-88,1,J. Butler makes free throw 2 of 2
5:50.0,B. Knight makes 2-pt shot from 21 ft,2,82-88,,
5:30.0,,,82-88,,Turnover by J. Butler (bad pass)
5:27.0,,,82-88,,Violation by J. Butler (kicked ball)
5:19.0,Shooting foul by J. Butler (drawn by B. Knight),,82-88,,
5:19.0,B. Knight makes free throw 1 of 2,1,83-88,,
5:19.0,B. Knight makes free throw 2 of 2,1,84-88,,
5:06.0,,,84-88,,P. Gasol misses 2-pt shot from 15 ft
5:04.0,,,84-88,,Offensive rebound by T. Gibson
5:04.0,,,84-88,,T. Gibson misses 2-pt shot from 1 ft
5:03.0,Defensive rebound by E. Bledsoe,,84-88,,
4:55.0,E. Bledsoe misses 2-pt shot from 14 ft,,84-88,,
4:54.0,Offensive rebound by E. Bledsoe,,84-88,,
4:52.0,E. Bledsoe makes 2-pt shot from 14 ft,2,86-88,,
4:52.0,,,86-88,,Chicago full timeout
4:52.0,,,86-88,,N. Mirotic enters the game for T. Gibson
4:42.0,,,86-90,2,D. Rose makes 2-pt shot from 2 ft (assist by D. McDermott)
4:29.0,B. Knight makes 2-pt shot from 2 ft,2,88-90,,
