time,Indiana,pts.away,score,pts.home,Phoenix
7:35.0,,,10-10,,Defensive rebound by T. Chandler
7:16.0,,,10-10,,M. Morris misses 2-pt shot from 15 ft
7:14.0,Defensive rebound by P. George,,10-10,,
7:07.0,P. George makes 2-pt shot from 2 ft,2,12-10,,
6:43.0,,,12-10,,Turnover by B. Knight (bad pass; steal by P. George)
6:37.0,P. George misses 3-pt shot from 22 ft,,12-10,,
6:34.0,,,12-10,,Defensive rebound by B. Knight
6:22.0,,,12-10,,D. Booker misses 3-pt shot from 25 ft
6:20.0,Defensive rebound by L. Allen,,12-10,,
6:14.0,M. Ellis makes 2-pt shot from 18 ft,2,14-10,,
5:52.0,,,14-10,,B. Knight misses 2-pt shot from 2 ft (block by I. Mahinmi)
5:50.0,Defensive rebound by M. Ellis,,14-10,,
5:31.0,G. Robinson misses 2-pt shot from 18 ft,,14-10,,
5:29.0,,,14-10,,Defensive rebound by M. Morris
5:22.0,,,14-12,2,D. Booker makes 2-pt shot from 2 ft (assist by M. Morris)
5:04.0,Turnover by L. Allen (dbl dribble),,14-12,,
5:04.0,,,14-12,,A. Len enters the game for T. Chandler
5:04.0,,,14-12,,L. Brown enters the game for B. Knight
5:04.0,C. Miles enters the game for G. Robinson,,14-12,,
4:53.0,,,14-12,,P. Tucker misses 3-pt shot from 23 ft
4:51.0,Defensive rebound by P. George,,14-12,,
4:38.0,C. Miles makes 3-pt shot from 25 ft (assist by P. George),3,17-12,,
4:20.0,,,17-12,,L. Brown misses 2-pt shot from 17 ft
4:19.0,Defensive rebound by P. George,,17-12,,
4:06.0,,,17-12,,Personal foul by P. Tucker (drawn by P. George)
3:55.0,,,17-12,,Personal foul by A. Len (drawn by I. Mahinmi)
3:45.0,M. Ellis misses 2-pt shot from 20 ft,,17-12,,
3:43.0,,,17-12,,Defensive rebound by M. Morris
3:24.0,,,17-12,,L. Brown misses 2-pt shot from 16 ft
3:22.0,Defensive rebound by C. Miles,,17-12,,
3:17.0,Turnover by C. Miles (bad pass; steal by L. Brown),,17-12,,
3:12.0,,,17-14,2,L. Brown makes 2-pt shot from 1 ft
3:12.0,,,17-14,,Shooting foul by L. Allen (drawn by L. Brown)
3:12.0,Indiana full timeout,,17-14,,
3:12.0,J. Young enters the game for I. Mahinmi,,17-14,,
3:12.0,M. Turner enters the game for M. Ellis,,17-14,,
3:12.0,,,17-15,1,L. Brown makes free throw 1 of 1
2:56.0,C. Miles misses 3-pt shot from 25 ft,,17-15,,
2:54.0,,,17-15,,Defensive rebound by P. Tucker
2:35.0,,,17-17,2,M. Morris makes 2-pt shot from 12 ft (assist by P. Tucker)
2:12.0,M. Turner makes 2-pt shot from 2 ft (assist by J. Young),2,19-17,,
1:50.0,,,19-17,,M. Morris misses 2-pt shot from 15 ft
1:48.0,Defensive rebound by L. Allen,,19-17,,
1:35.0,,,19-17,,Def 3 sec tech foul by A. Len
1:35.0,P. George makes technical free throw,1,20-17,,
1:35.0,J. Hill enters the game for L. Allen,,20-17,,
1:28.0,C. Miles misses 2-pt shot from 20 ft,,20-17,,
1:26.0,,,20-17,,Defensive rebound by M. Morris
1:16.0,,,20-17,,M. Morris misses 2-pt shot at rim
1:11.0,Defensive rebound by J. Hill,,20-17,,
0:53.0,Shooting foul by L. Brown (drawn by J. Young),,20-17,,
0:53.0,J. Young misses free throw 1 of 2,,20-17,,
0:53.0,Offensive rebound by Team,,20-17,,
0:53.0,J. Young makes free throw 2 of 2,1,21-17,,
0:45.0,,,21-17,,Turnover by A. Len (bad pass; steal by J. Young)
0:43.0,J. Young makes 2-pt shot from 1 ft,2,23-17,,
0:28.0,Personal foul by P. George (drawn by P. Tucker),,23-17,,
0:28.0,C. Budinger enters the game for P. George,,23-17,,
0:28.0,,,23-17,,B. Knight enters the game for M. Morris
0:16.0,,,23-17,,P. Tucker misses 2-pt shot from 21 ft
0:14.0,Defensive rebound by Team,,23-17,,
0:02.0,M. Turner makes 2-pt shot from 19 ft (assist by J. Young),2,25-17,,
0:00.0,,,25-17,,L. Brown misses 3-pt shot from 47 ft
0:00.0,,,25-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,25-17,,Turnover by M. Teletovic (bad pass; steal by C. Miles)
11:45.0,J. Young misses 2-pt shot at rim,,25-17,,
11:43.0,Offensive rebound by C. Budinger,,25-17,,
11:43.0,Shooting foul by A. Len (drawn by C. Budinger),,25-17,,
11:43.0,C. Budinger makes free throw 1 of 2,1,26-17,,
11:43.0,C. Budinger misses free throw 2 of 2,,26-17,,
11:42.0,,,26-17,,Defensive rebound by A. Len
11:18.0,,,26-17,,A. Goodwin misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by C. Budinger,,26-17,,
11:07.0,J. Hill misses 2-pt shot from 13 ft,,26-17,,
11:04.0,,,26-17,,Defensive rebound by B. Knight
10:59.0,,,26-17,,Turnover by B. Knight (lost ball; steal by J. Young)
10:48.0,Turnover by C. Budinger (lost ball),,26-17,,
10:38.0,,,26-17,,Turnover by T. Warren (bad pass; steal by C. Miles)
10:24.0,M. Turner misses 2-pt shot from 17 ft,,26-17,,
10:23.0,,,26-17,,Defensive rebound by M. Teletovic
10:15.0,,,26-17,,B. Knight misses 2-pt shot from 6 ft
10:11.0,Defensive rebound by C. Budinger,,26-17,,
10:00.0,J. Young misses 2-pt shot from 18 ft,,26-17,,
9:58.0,,,26-17,,Defensive rebound by A. Len
9:44.0,Personal foul by C. Miles (drawn by A. Goodwin),,26-17,,
9:44.0,,,26-17,,T. Chandler enters the game for A. Len
9:40.0,,,26-17,,B. Knight misses 2-pt shot from 18 ft
9:37.0,Defensive rebound by C. Miles,,26-17,,
9:32.0,C. Budinger misses 2-pt shot from 2 ft,,26-17,,
9:29.0,,,26-17,,Defensive rebound by T. Chandler
9:19.0,,,26-17,,T. Warren misses 2-pt shot from 14 ft
9:18.0,Defensive rebound by J. Hill,,26-17,,
9:08.0,C. Miles misses 3-pt shot from 26 ft,,26-17,,
9:07.0,,,26-17,,Defensive rebound by T. Chandler
9:00.0,,,26-17,,M. Teletovic misses 2-pt shot from 13 ft
8:58.0,Defensive rebound by J. Young,,26-17,,
8:54.0,,,26-17,,Personal foul by B. Knight
8:54.0,Official timeout,,26-17,,
8:54.0,,,26-17,,D. Booker enters the game for T. Warren
8:54.0,,,26-17,,P. Tucker enters the game for A. Goodwin
8:40.0,Turnover by M. Turner (offensive foul),,26-17,,
8:40.0,Offensive foul by M. Turner,,26-17,,
8:33.0,,,26-17,,Offensive foul by P. Tucker
8:33.0,,,26-17,,Turnover by P. Tucker (offensive foul)
8:23.0,M. Turner misses 2-pt shot from 6 ft,,26-17,,
8:22.0,Offensive rebound by J. Hill,,26-17,,
8:21.0,J. Hill makes 2-pt shot from 1 ft,2,28-17,,
8:06.0,,,28-17,,M. Teletovic misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by C. Budinger,,28-17,,
7:53.0,J. Hill makes 2-pt shot from 1 ft (assist by J. Young),2,30-17,,
7:32.0,,,30-17,,M. Teletovic misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by C. Budinger,,30-17,,
7:21.0,J. Young makes 2-pt shot from 21 ft,2,32-17,,
7:11.0,Personal foul by C. Budinger (drawn by D. Booker),,32-17,,
7:04.0,,,32-19,2,D. Booker makes 2-pt shot from 21 ft
6:39.0,Turnover by J. Hill (traveling),,32-19,,
6:28.0,,,32-22,3,D. Booker makes 3-pt shot from 24 ft
6:27.0,Indiana full timeout,,32-22,,
6:04.0,J. Young makes 2-pt shot from 16 ft,2,34-22,,
5:37.0,Violation by M. Turner (def goaltending),,34-22,,
5:37.0,,,34-24,2,D. Booker makes 2-pt shot from 2 ft
5:25.0,M. Turner makes 2-pt shot from 18 ft (assist by J. Young),2,36-24,,
5:05.0,,,36-24,,B. Knight misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by J. Hill,,36-24,,
4:54.0,J. Young misses 2-pt shot from 17 ft,,36-24,,
4:51.0,,,36-24,,Defensive rebound by T. Chandler
4:40.0,,,36-24,,P. Tucker misses 2-pt shot from 7 ft
4:35.0,Defensive rebound by J. Hill,,36-24,,
4:33.0,C. Miles misses 2-pt shot from 21 ft,,36-24,,
4:29.0,,,36-24,,Defensive rebound by T. Chandler
4:25.0,,,36-24,,Turnover by B. Knight (step out of bounds)
4:25.0,M. Ellis enters the game for J. Young,,36-24,,
4:25.0,P. George enters the game for C. Miles,,36-24,,
4:10.0,M. Turner makes 2-pt shot from 18 ft,2,38-24,,
3:52.0,Violation by M. Turner (def goaltending),,38-24,,
3:52.0,,,38-26,2,B. Knight makes 2-pt shot from 2 ft (assist by D. Booker)
3:40.0,M. Turner makes 2-pt shot from 18 ft (assist by M. Ellis),2,40-26,,
3:30.0,,,40-26,,B. Knight misses 2-pt shot from 2 ft (block by M. Turner)
3:27.0,Defensive rebound by M. Ellis,,40-26,,
3:23.0,Turnover by P. George (bad pass),,40-26,,
3:23.0,L. Allen enters the game for J. Hill,,40-26,,
3:23.0,,,40-26,,Phoenix full timeout
3:23.0,G. Robinson enters the game for M. Turner,,40-26,,
3:23.0,I. Mahinmi enters the game for C. Budinger,,40-26,,
3:08.0,,,40-28,2,M. Teletovic makes 2-pt shot from 20 ft
2:53.0,P. George misses 2-pt shot from 5 ft,,40-28,,
2:51.0,,,40-28,,Defensive rebound by M. Teletovic
2:46.0,,,40-28,,Turnover by D. Booker (bad pass)
2:27.0,M. Ellis misses 2-pt shot from 20 ft,,40-28,,
2:26.0,,,40-28,,Defensive rebound by T. Chandler
2:17.0,,,40-28,,Turnover by D. Booker (bad pass; steal by L. Allen)
2:12.0,P. George makes 2-pt shot from 1 ft (assist by M. Ellis),2,42-28,,
1:49.0,,,42-31,3,M. Teletovic makes 3-pt shot from 25 ft (assist by D. Booker)
1:44.0,M. Turner enters the game for L. Allen,,42-31,,
1:27.0,M. Turner misses 2-pt shot from 17 ft,,42-31,,
1:24.0,,,42-31,,Defensive rebound by T. Chandler
1:19.0,,,42-31,,Shooting foul by I. Mahinmi (drawn by M. Teletovic)
1:19.0,,,42-31,,M. Teletovic misses free throw 1 of 3
1:19.0,,,42-31,,Offensive rebound by Team
1:19.0,,,42-32,1,M. Teletovic makes free throw 2 of 3
1:19.0,,,42-33,1,M. Teletovic makes free throw 3 of 3
1:08.0,Turnover by I. Mahinmi (lost ball),,42-33,,
0:53.0,,,42-33,,M. Teletovic misses 2-pt shot from 5 ft (block by M. Turner)
0:53.0,,,42-33,,Offensive rebound by Team
0:53.0,Indiana full timeout,,42-33,,
0:53.0,S. Hill enters the game for I. Mahinmi,,42-33,,
0:52.0,,,42-33,,Shooting foul by M. Turner (drawn by T. Chandler)
0:52.0,,,42-34,1,T. Chandler makes free throw 1 of 2
0:52.0,Violation by P. George (lane),,42-34,,
0:52.0,,,42-35,1,T. Chandler makes free throw 2 of 2
0:43.0,M. Ellis misses 2-pt shot from 2 ft,,42-35,,
0:41.0,,,42-35,,Defensive rebound by M. Teletovic
0:33.0,,,42-35,,Turnover by B. Knight (bad pass; steal by G. Robinson)
0:30.0,G. Robinson makes 2-pt shot at rim,2,44-35,,
0:06.0,,,44-35,,B. Knight misses 3-pt shot from 26 ft
0:04.0,,,44-35,,Offensive rebound by T. Chandler
0:02.0,,,44-35,,M. Teletovic misses 3-pt shot from 25 ft
0:00.0,,,44-35,,Offensive rebound by B. Knight
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,44-37,2,B. Knight makes 2-pt shot from 5 ft
11:13.0,Turnover by M. Ellis (offensive foul),,44-37,,
11:13.0,Offensive charge foul by M. Ellis,,44-37,,
10:56.0,,,44-37,,D. Booker misses 3-pt shot from 24 ft
10:54.0,,,44-37,,Offensive rebound by T. Chandler
10:48.0,,,44-37,,T. Chandler misses 2-pt shot from 3 ft
10:46.0,,,44-37,,Offensive rebound by M. Teletovic
10:43.0,,,44-37,,Turnover by M. Teletovic (bad pass)
10:26.0,M. Ellis misses 2-pt shot from 18 ft,,44-37,,
10:24.0,,,44-37,,Defensive rebound by T. Chandler
10:11.0,,,44-37,,B. Knight misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by L. Allen,,44-37,,
10:06.0,M. Turner makes 2-pt shot from 1 ft (assist by G. Robinson),2,46-37,,
10:06.0,Shooting foul by B. Knight (drawn by M. Turner),,46-37,,
10:06.0,M. Turner makes free throw 1 of 1,1,47-37,,
9:53.0,Personal foul by G. Robinson (drawn by T. Chandler),,47-37,,
9:45.0,,,47-37,,Turnover by M. Teletovic (bad pass; steal by P. George)
9:40.0,P. George makes 2-pt shot from 1 ft,2,49-37,,
9:14.0,,,49-37,,P. Tucker misses 3-pt shot from 22 ft
9:13.0,,,49-37,,Offensive rebound by T. Chandler
9:10.0,,,49-37,,B. Knight misses 2-pt shot from 21 ft
9:08.0,Defensive rebound by M. Turner,,49-37,,
9:02.0,L. Allen misses 2-pt shot from 2 ft (block by T. Chandler),,49-37,,
8:59.0,,,49-37,,Defensive rebound by P. Tucker
8:53.0,,,49-40,3,D. Booker makes 3-pt shot from 23 ft (assist by B. Knight)
8:35.0,Shooting foul by D. Booker (drawn by G. Robinson),,49-40,,
8:35.0,G. Robinson makes free throw 1 of 2,1,50-40,,
8:35.0,G. Robinson makes free throw 2 of 2,1,51-40,,
8:16.0,,,51-40,,Turnover by B. Knight (bad pass; steal by M. Ellis)
8:12.0,G. Robinson makes 2-pt shot at rim (assist by P. George),2,53-40,,
7:55.0,,,53-40,,T. Chandler misses 2-pt shot from 3 ft (block by M. Turner)
7:53.0,Defensive rebound by P. George,,53-40,,
7:52.0,,,53-40,,Personal take foul by M. Teletovic (drawn by P. George)
7:43.0,Turnover by P. George (lost ball; steal by T. Chandler),,53-40,,
7:32.0,,,53-40,,D. Booker misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by L. Allen,,53-40,,
7:23.0,M. Ellis makes 2-pt shot from 5 ft,2,55-40,,
7:22.0,,,55-40,,Phoenix full timeout
7:22.0,,,55-40,,T. Warren enters the game for T. Chandler
7:22.0,,,55-40,,A. Len enters the game for M. Teletovic
7:09.0,,,55-40,,Turnover by D. Booker (bad pass; steal by P. George)
7:08.0,Shooting foul by T. Warren (drawn by P. George),,55-40,,
7:08.0,P. George makes free throw 1 of 2,1,56-40,,
7:08.0,,,56-40,,S. Weems enters the game for T. Warren
7:08.0,P. George makes free throw 2 of 2,1,57-40,,
6:51.0,,,57-43,3,D. Booker makes 3-pt shot from 24 ft (assist by S. Weems)
6:28.0,M. Ellis misses 3-pt shot from 24 ft,,57-43,,
6:25.0,,,57-43,,Defensive rebound by P. Tucker
6:16.0,,,57-43,,B. Knight misses 3-pt shot from 23 ft
6:14.0,Defensive rebound by P. George,,57-43,,
6:03.0,M. Ellis makes 2-pt shot from 15 ft,2,59-43,,
5:42.0,,,59-43,,S. Weems misses 3-pt shot from 24 ft
5:42.0,Defensive rebound by P. George,,59-43,,
5:38.0,L. Allen misses 2-pt shot from 7 ft,,59-43,,
5:36.0,Offensive rebound by L. Allen,,59-43,,
5:35.0,L. Allen makes 2-pt shot from 1 ft,2,61-43,,
5:12.0,,,61-43,,D. Booker misses 2-pt shot from 18 ft
5:10.0,,,61-43,,Offensive rebound by A. Len
5:10.0,,,61-43,,Shooting foul by M. Turner (drawn by A. Len)
5:10.0,,,61-44,1,A. Len makes free throw 1 of 2
5:10.0,,,61-44,,A. Goodwin enters the game for B. Knight
5:10.0,,,61-45,1,A. Len makes free throw 2 of 2
4:59.0,,,61-45,,Shooting block foul by A. Len (drawn by M. Ellis)
4:59.0,M. Ellis makes free throw 1 of 2,1,62-45,,
4:59.0,M. Ellis makes free throw 2 of 2,1,63-45,,
4:41.0,,,63-45,,S. Weems misses 2-pt shot from 5 ft
4:39.0,,,63-45,,Offensive rebound by P. Tucker
4:37.0,,,63-45,,Shooting foul by L. Allen (drawn by P. Tucker)
4:37.0,,,63-46,1,P. Tucker makes free throw 1 of 2
4:37.0,,,63-47,1,P. Tucker makes free throw 2 of 2
4:25.0,P. George makes 3-pt shot from 23 ft (assist by M. Ellis),3,66-47,,
4:08.0,Shooting block foul by G. Robinson (drawn by D. Booker),,66-47,,
4:08.0,,,66-48,1,D. Booker makes free throw 1 of 2
4:08.0,C. Miles enters the game for G. Robinson,,66-48,,
4:08.0,,,66-49,1,D. Booker makes free throw 2 of 2
3:59.0,P. George misses 3-pt shot from 25 ft,,66-49,,
3:57.0,,,66-49,,Defensive rebound by A. Len
3:42.0,,,66-49,,D. Booker misses 2-pt shot from 1 ft
3:40.0,Defensive rebound by M. Turner,,66-49,,
3:37.0,Turnover by M. Ellis (traveling),,66-49,,
3:30.0,,,66-49,,Turnover by A. Goodwin (bad pass; steal by P. George)
3:29.0,Shooting foul by D. Booker (drawn by P. George),,66-49,,
3:29.0,P. George makes free throw 1 of 2,1,67-49,,
3:29.0,P. George makes free throw 2 of 2,1,68-49,,
3:22.0,Personal foul by P. George (drawn by D. Booker),,68-49,,
3:22.0,,,68-50,1,D. Booker makes free throw 1 of 2
3:22.0,J. Young enters the game for M. Ellis,,68-50,,
3:22.0,J. Hill enters the game for M. Turner,,68-50,,
3:22.0,,,68-51,1,D. Booker makes free throw 2 of 2
3:08.0,J. Young makes 3-pt shot from 24 ft,3,71-51,,
2:50.0,,,71-51,,A. Len misses 2-pt shot from 15 ft
2:48.0,Defensive rebound by C. Miles,,71-51,,
2:35.0,J. Hill misses 2-pt shot from 7 ft,,71-51,,
2:33.0,,,71-51,,Defensive rebound by P. Tucker
2:30.0,Personal foul by P. George (drawn by P. Tucker),,71-51,,
2:30.0,Indiana full timeout,,71-51,,
2:30.0,,,71-51,,B. Knight enters the game for D. Booker
2:30.0,C. Budinger enters the game for P. George,,71-51,,
2:30.0,Violation by Team (delay of game),,71-51,,
2:30.0,,,71-52,1,P. Tucker makes free throw 1 of 2
2:30.0,,,71-53,1,P. Tucker makes free throw 2 of 2
2:16.0,Shooting foul by B. Knight (drawn by C. Miles),,71-53,,
2:16.0,C. Miles misses free throw 1 of 2,,71-53,,
2:16.0,Offensive rebound by Team,,71-53,,
2:16.0,C. Miles misses free throw 2 of 2,,71-53,,
2:15.0,,,71-53,,Defensive rebound by P. Tucker
2:01.0,,,71-55,2,B. Knight makes 2-pt shot from 12 ft
2:01.0,,,71-55,,Shooting foul by J. Young (drawn by B. Knight)
2:01.0,,,71-56,1,B. Knight makes free throw 1 of 1
1:41.0,J. Young misses 3-pt shot from 25 ft,,71-56,,
1:39.0,,,71-56,,Defensive rebound by A. Len
1:21.0,,,71-56,,A. Len misses 2-pt shot from 1 ft
1:15.0,Defensive rebound by L. Allen,,71-56,,
1:07.0,C. Budinger misses 2-pt shot from 1 ft,,71-56,,
1:05.0,,,71-56,,Defensive rebound by A. Len
1:00.0,,,71-59,3,B. Knight makes 3-pt shot from 23 ft (assist by P. Tucker)
0:45.0,J. Young misses 2-pt shot from 20 ft,,71-59,,
0:44.0,,,71-59,,Defensive rebound by Team
0:44.0,S. Hill enters the game for L. Allen,,71-59,,
0:27.0,,,71-59,,A. Len misses 2-pt shot from 15 ft
0:25.0,Defensive rebound by J. Young,,71-59,,
0:06.0,J. Young misses 2-pt shot from 8 ft,,71-59,,
0:04.0,,,71-59,,Defensive rebound by B. Knight
0:01.0,,,71-61,2,A. Goodwin makes 2-pt shot at rim (assist by B. Knight)
0:00.0,C. Miles misses 3-pt shot from 67 ft,,71-61,,
0:00.0,Offensive rebound by Team,,71-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,71-61,,Def 3 sec tech foul by A. Len
11:48.0,J. Young makes technical free throw,1,72-61,,
11:35.0,C. Miles misses 3-pt shot from 24 ft,,72-61,,
11:34.0,,,72-61,,Defensive rebound by Team
11:24.0,,,72-63,2,A. Goodwin makes 2-pt shot at rim (assist by S. Weems)
11:07.0,Shooting foul by A. Len (drawn by J. Hill),,72-63,,
11:07.0,J. Hill misses free throw 1 of 2,,72-63,,
11:07.0,Offensive rebound by Team,,72-63,,
11:07.0,J. Hill makes free throw 2 of 2,1,73-63,,
10:57.0,Personal foul by C. Miles (drawn by A. Goodwin),,73-63,,
10:52.0,,,73-63,,Turnover by A. Goodwin (bad pass; steal by J. Hill)
10:44.0,C. Budinger misses 3-pt shot from 24 ft,,73-63,,
10:42.0,Offensive rebound by J. Hill,,73-63,,
10:39.0,J. Hill makes 2-pt shot at rim (assist by J. Young),2,75-63,,
10:15.0,,,75-63,,A. Goodwin misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by J. Young,,75-63,,
10:03.0,Turnover by J. Young (lost ball; steal by A. Goodwin),,75-63,,
10:03.0,Jump ball: J. Hill vs. A. Len,,,,Jump ball: J. Hill vs. A. Len
10:03.0,Violation by Team (jump ball),,75-63,,
9:49.0,,,75-63,,B. Knight misses 2-pt shot from 17 ft
9:47.0,,,75-63,,Offensive rebound by A. Len
9:47.0,,,75-65,2,A. Len makes 2-pt shot at rim
9:22.0,J. Hill misses 2-pt shot from 16 ft,,75-65,,
9:21.0,Offensive rebound by C. Budinger,,75-65,,
9:21.0,,,75-65,,Shooting block foul by P. Tucker (drawn by C. Budinger)
9:21.0,C. Budinger makes free throw 1 of 2,1,76-65,,
9:21.0,C. Budinger misses free throw 2 of 2,,76-65,,
9:19.0,Offensive rebound by Team,,76-65,,
9:08.0,S. Hill misses 3-pt shot from 26 ft,,76-65,,
9:07.0,Offensive rebound by C. Miles,,76-65,,
9:07.0,Shooting foul by A. Len (drawn by C. Miles),,76-65,,
9:07.0,C. Miles makes free throw 1 of 2,1,77-65,,
9:07.0,M. Ellis enters the game for C. Budinger,,77-65,,
9:07.0,,,77-65,,D. Booker enters the game for S. Weems
9:07.0,,,77-65,,T. Chandler enters the game for A. Len
9:07.0,C. Miles makes free throw 2 of 2,1,78-65,,
8:43.0,,,78-65,,Turnover by A. Goodwin (bad pass; steal by C. Miles)
8:39.0,Turnover by J. Young (dbl dribble),,78-65,,
8:39.0,Official timeout,,78-65,,
8:39.0,Violation by Team (delay of game),,78-65,,
8:39.0,M. Turner enters the game for S. Hill,,78-65,,
8:27.0,,,78-65,,D. Booker misses 3-pt shot from 24 ft
8:25.0,,,78-65,,Offensive rebound by P. Tucker
8:09.0,,,78-65,,B. Knight misses 2-pt shot from 19 ft
8:07.0,Defensive rebound by M. Turner,,78-65,,
7:52.0,J. Hill misses 2-pt shot from 19 ft,,78-65,,
7:50.0,,,78-65,,Defensive rebound by P. Tucker
7:40.0,,,78-65,,B. Knight misses 3-pt shot from 23 ft
7:39.0,,,78-65,,Offensive rebound by T. Chandler
7:28.0,,,78-65,,Turnover by D. Booker (bad pass; steal by C. Miles)
7:24.0,M. Ellis misses 2-pt shot from 2 ft,,78-65,,
7:21.0,Offensive rebound by J. Hill,,78-65,,
7:18.0,C. Miles misses 3-pt shot from 24 ft,,78-65,,
7:16.0,Offensive rebound by M. Turner,,78-65,,
7:16.0,M. Turner makes 2-pt shot at rim,2,80-65,,
7:05.0,,,80-65,,Phoenix full timeout
7:05.0,P. George enters the game for J. Young,,80-65,,
6:55.0,,,80-65,,A. Goodwin misses 2-pt shot from 3 ft (block by C. Miles)
6:54.0,Defensive rebound by C. Miles,,80-65,,
6:47.0,C. Miles makes 2-pt shot from 5 ft,2,82-65,,
6:47.0,,,82-65,,Shooting block foul by P. Tucker (drawn by C. Miles)
6:47.0,C. Miles misses free throw 1 of 1,,82-65,,
6:44.0,,,82-65,,Defensive rebound by P. Tucker
6:33.0,,,82-65,,Shooting foul by J. Hill (drawn by A. Goodwin)
6:33.0,,,82-66,1,A. Goodwin makes free throw 1 of 2
6:33.0,,,82-67,1,A. Goodwin makes free throw 2 of 2
6:12.0,M. Ellis makes 2-pt shot at rim,2,84-67,,
6:01.0,,,84-67,,Shooting foul by J. Hill (drawn by T. Chandler)
6:01.0,,,84-68,1,T. Chandler makes free throw 1 of 2
6:01.0,,,84-68,,T. Chandler misses free throw 2 of 2
6:00.0,Defensive rebound by P. George,,84-68,,
5:44.0,M. Ellis misses 2-pt shot from 2 ft (block by A. Goodwin),,84-68,,
5:41.0,,,84-68,,Defensive rebound by A. Goodwin
5:35.0,,,84-68,,A. Goodwin misses 2-pt shot from 6 ft
5:28.0,Defensive rebound by M. Ellis,,84-68,,
5:25.0,M. Ellis misses 2-pt shot at rim,,84-68,,
5:25.0,,,84-68,,Defensive rebound by P. Tucker
5:25.0,Personal block foul by C. Miles (drawn by B. Knight),,84-68,,
5:25.0,L. Allen enters the game for J. Hill,,84-68,,
5:03.0,Personal foul by M. Turner (drawn by B. Knight),,84-68,,
5:03.0,,,84-69,1,B. Knight makes free throw 1 of 2
5:03.0,,,84-70,1,B. Knight makes free throw 2 of 2
4:43.0,C. Miles makes 2-pt shot from 2 ft,2,86-70,,
4:30.0,,,86-73,3,P. Tucker makes 3-pt shot from 24 ft (assist by B. Knight)
4:16.0,P. George misses 2-pt shot from 17 ft,,86-73,,
