time,Indiana,pts.away,score,pts.home,Houston
5:04.0,I. Mahinmi makes 2-pt shot from 7 ft (assist by M. Ellis),2,15-18,,
4:47.0,,,15-18,,D. Howard misses 2-pt shot from 7 ft
4:46.0,Defensive rebound by I. Mahinmi,,15-18,,
4:28.0,P. George misses 2-pt shot from 17 ft,,15-18,,
4:27.0,,,15-18,,Defensive rebound by J. Harden
4:22.0,,,15-20,2,T. Ariza makes 2-pt shot at rim (assist by D. Howard)
4:05.0,I. Mahinmi misses 2-pt shot from 17 ft,,15-20,,
4:04.0,,,15-20,,Defensive rebound by T. Ariza
3:56.0,,,15-20,,T. Jones misses 2-pt shot at rim
3:55.0,Defensive rebound by I. Mahinmi,,15-20,,
3:43.0,G. Hill misses 3-pt shot from 26 ft,,15-20,,
3:42.0,,,15-20,,Defensive rebound by D. Howard
3:35.0,,,15-20,,J. Terry misses 3-pt shot from 23 ft
3:34.0,Defensive rebound by Team,,15-20,,
3:34.0,Indiana full timeout,,15-20,,
3:34.0,,,15-20,,C. Capela enters the game for T. Ariza
3:34.0,,,15-20,,C. Brewer enters the game for D. Howard
3:34.0,R. Stuckey enters the game for L. Allen,,15-20,,
3:34.0,M. Turner enters the game for I. Mahinmi,,15-20,,
3:34.0,C. Miles enters the game for M. Ellis,,15-20,,
3:21.0,Jump ball: C. Brewer vs. P. George (R. Stuckey gains possession),,,,Jump ball: C. Brewer vs. P. George (R. Stuckey gains possession)
3:07.0,C. Miles misses 2-pt shot from 18 ft,,15-20,,
3:06.0,,,15-20,,Defensive rebound by C. Brewer
2:59.0,,,15-22,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Harden)
2:47.0,G. Hill misses 2-pt shot from 17 ft,,15-22,,
2:46.0,,,15-22,,Defensive rebound by J. Harden
2:32.0,,,15-22,,C. Brewer misses 3-pt shot from 22 ft
2:32.0,Defensive rebound by R. Stuckey,,15-22,,
2:21.0,G. Hill makes 3-pt shot from 23 ft (assist by R. Stuckey),3,18-22,,
2:08.0,,,18-22,,J. Harden misses 2-pt shot from 1 ft (block by M. Turner)
2:08.0,,,18-22,,Offensive rebound by Team
2:08.0,,,18-22,,M. Thornton enters the game for J. Harden
1:56.0,,,18-24,2,T. Jones makes 2-pt shot from 5 ft
1:45.0,Turnover by R. Stuckey (bad pass; steal by C. Capela),,18-24,,
1:42.0,,,18-24,,Turnover by C. Capela (bad pass)
1:42.0,J. Young enters the game for G. Hill,,18-24,,
1:24.0,Turnover by P. George (lost ball; steal by C. Capela),,18-24,,
1:20.0,,,18-26,2,C. Brewer makes 2-pt shot at rim
1:02.0,J. Young misses 3-pt shot from 22 ft,,18-26,,
1:02.0,,,18-26,,Defensive rebound by C. Capela
1:00.0,,,18-26,,Turnover by C. Capela (bad pass; steal by P. George)
0:56.0,R. Stuckey makes 2-pt shot from 2 ft (assist by P. George),2,20-26,,
0:56.0,Shooting foul by M. Thornton (drawn by R. Stuckey),,20-26,,
0:56.0,R. Stuckey makes free throw 1 of 1,1,21-26,,
0:40.0,,,21-28,2,C. Capela makes 2-pt shot at rim (assist by J. Terry)
0:31.0,Turnover by J. Young (bad pass; steal by J. Terry),,21-28,,
0:28.0,Violation by R. Stuckey (kicked ball),,21-28,,
0:21.0,,,21-28,,Turnover by C. Brewer (lost ball; steal by P. George)
0:17.0,J. Young makes 2-pt shot from 1 ft (assist by P. George),2,23-28,,
0:17.0,Shooting foul by C. Capela (drawn by J. Young),,23-28,,
0:17.0,,,23-28,,J. Harden enters the game for C. Brewer
0:17.0,J. Young makes free throw 1 of 1,1,24-28,,
0:03.0,,,24-28,,J. Harden misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by R. Stuckey,,24-28,,
0:00.0,R. Stuckey misses 3-pt shot from 27 ft,,24-28,,
0:00.0,Offensive rebound by Team,,24-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,G. Robinson misses 3-pt shot from 24 ft,,24-28,,
11:45.0,,,24-28,,Defensive rebound by M. Thornton
11:28.0,,,24-28,,D. Howard misses 2-pt shot from 7 ft
11:27.0,Defensive rebound by G. Robinson,,24-28,,
11:20.0,C. Miles misses 3-pt shot from 24 ft,,24-28,,
11:19.0,,,24-28,,Defensive rebound by M. Thornton
11:15.0,,,24-28,,Turnover by P. Beverley (bad pass; steal by C. Miles)
11:06.0,M. Turner makes 2-pt shot from 19 ft (assist by J. Young),2,26-28,,
10:48.0,,,26-28,,M. Thornton misses 2-pt shot from 16 ft
10:48.0,Defensive rebound by R. Stuckey,,26-28,,
10:41.0,C. Miles misses 2-pt shot from 1 ft (block by T. Jones),,26-28,,
10:40.0,,,26-28,,Defensive rebound by D. Howard
10:34.0,,,26-30,2,C. Brewer makes 2-pt shot from 1 ft
10:09.0,J. Young misses 2-pt shot from 22 ft,,26-30,,
10:08.0,,,26-30,,Defensive rebound by T. Jones
10:04.0,,,26-32,2,M. Thornton makes 2-pt shot from 2 ft (assist by C. Brewer)
10:04.0,,,26-32,,Shooting foul by C. Miles (drawn by M. Thornton)
10:04.0,,,26-32,,M. Thornton misses free throw 1 of 1
10:04.0,Defensive rebound by M. Turner,,26-32,,
9:48.0,M. Turner misses 2-pt shot from 17 ft,,26-32,,
9:47.0,,,26-32,,Defensive rebound by T. Jones
9:36.0,,,26-34,2,D. Howard makes 2-pt shot at rim (assist by T. Jones)
9:36.0,,,26-34,,Shooting foul by G. Robinson (drawn by D. Howard)
9:36.0,,,26-34,,D. Howard misses free throw 1 of 1
9:35.0,Defensive rebound by G. Robinson,,26-34,,
9:15.0,C. Miles misses 3-pt shot from 25 ft,,26-34,,
9:14.0,,,26-34,,Defensive rebound by D. Howard
9:02.0,,,26-34,,D. Howard misses 2-pt shot from 2 ft (block by C. Miles)
9:01.0,Defensive rebound by C. Miles,,26-34,,
8:55.0,R. Stuckey makes 2-pt shot from 1 ft,2,28-34,,
8:41.0,,,28-37,3,C. Brewer makes 3-pt shot from 25 ft (assist by P. Beverley)
8:40.0,Indiana full timeout,,28-37,,
8:40.0,J. Hill enters the game for M. Turner,,28-37,,
8:23.0,R. Stuckey misses 2-pt shot from 12 ft,,28-37,,
8:22.0,Offensive rebound by J. Hill,,28-37,,
8:08.0,J. Hill makes 2-pt shot from 19 ft (assist by G. Robinson),2,30-37,,
7:44.0,,,30-37,,P. Beverley misses 2-pt shot from 20 ft
7:43.0,Defensive rebound by C. Miles,,30-37,,
7:35.0,C. Miles makes 3-pt shot from 25 ft (assist by J. Young),3,33-37,,
7:15.0,,,33-39,2,D. Howard makes 2-pt shot from 7 ft (assist by P. Beverley)
6:58.0,J. Hill misses 2-pt shot from 12 ft,,33-39,,
6:58.0,,,33-39,,Defensive rebound by P. Beverley
6:54.0,,,33-39,,Offensive charge foul by C. Brewer
6:54.0,,,33-39,,Turnover by C. Brewer (offensive foul)
6:54.0,M. Ellis enters the game for J. Young,,33-39,,
6:54.0,,,33-39,,T. Ariza enters the game for D. Howard
6:54.0,,,33-39,,C. Capela enters the game for C. Brewer
6:54.0,,,33-39,,J. Harden enters the game for M. Thornton
6:41.0,R. Stuckey misses 2-pt shot from 18 ft,,33-39,,
6:40.0,,,33-39,,Defensive rebound by P. Beverley
6:32.0,,,33-39,,T. Jones misses 3-pt shot from 24 ft
6:32.0,Defensive rebound by Team,,33-39,,
6:11.0,G. Robinson makes 2-pt shot at rim (assist by M. Ellis),2,35-39,,
5:45.0,,,35-39,,Turnover by T. Ariza (bad pass; steal by R. Stuckey)
5:30.0,R. Stuckey makes 2-pt shot from 1 ft,2,37-39,,
5:29.0,,,37-39,,Houston full timeout
5:29.0,,,37-39,,C. Brewer enters the game for T. Jones
5:13.0,,,37-39,,C. Brewer misses 2-pt shot from 11 ft
5:12.0,Defensive rebound by M. Ellis,,37-39,,
4:48.0,J. Hill misses 2-pt shot from 2 ft (block by C. Capela),,37-39,,
4:47.0,,,37-39,,Defensive rebound by P. Beverley
4:41.0,,,37-42,3,T. Ariza makes 3-pt shot from 25 ft (assist by P. Beverley)
4:27.0,J. Hill makes 2-pt shot from 7 ft,2,39-42,,
4:16.0,,,39-42,,Shooting foul by R. Stuckey (drawn by J. Harden)
4:16.0,,,39-43,1,J. Harden makes free throw 1 of 2
4:16.0,,,39-43,,J. Terry enters the game for P. Beverley
4:16.0,P. George enters the game for G. Robinson,,39-43,,
4:16.0,G. Hill enters the game for R. Stuckey,,39-43,,
4:16.0,,,39-43,,J. Harden misses free throw 2 of 2
4:16.0,Defensive rebound by J. Hill,,39-43,,
4:04.0,,,39-43,,Personal foul by T. Ariza (drawn by P. George)
4:04.0,,,39-43,,Personal foul by T. Ariza (drawn by P. George)
3:51.0,G. Hill misses 2-pt shot from 12 ft,,39-43,,
3:50.0,,,39-43,,Defensive rebound by J. Harden
3:44.0,,,39-43,,Offensive charge foul by J. Harden
3:44.0,,,39-43,,Turnover by J. Harden (offensive foul)
3:26.0,G. Hill makes 3-pt shot from 22 ft (assist by C. Miles),3,42-43,,
3:06.0,,,42-45,2,J. Harden makes 2-pt shot from 9 ft
2:55.0,J. Hill makes 2-pt shot from 19 ft (assist by G. Hill),2,44-45,,
2:37.0,,,44-45,,J. Terry misses 2-pt shot from 22 ft
2:36.0,Defensive rebound by Team,,44-45,,
2:36.0,Indiana full timeout,,44-45,,
2:36.0,,,44-45,,D. Howard enters the game for C. Capela
2:36.0,,,44-45,,P. Beverley enters the game for C. Brewer
2:18.0,J. Hill misses 2-pt shot from 2 ft,,44-45,,
2:17.0,,,44-45,,Defensive rebound by D. Howard
1:53.0,,,44-45,,Turnover by Team (shot clock)
1:53.0,I. Mahinmi enters the game for J. Hill,,44-45,,
1:37.0,G. Hill makes 3-pt shot from 23 ft (assist by M. Ellis),3,47-45,,
1:18.0,,,47-45,,J. Terry misses 2-pt shot from 6 ft
1:18.0,Defensive rebound by I. Mahinmi,,47-45,,
1:03.0,C. Miles misses 3-pt shot from 23 ft,,47-45,,
1:02.0,,,47-45,,Defensive rebound by J. Harden
0:56.0,,,47-45,,Offensive charge foul by J. Harden
0:56.0,,,47-45,,Turnover by J. Harden (offensive foul)
0:39.0,C. Miles makes 3-pt shot from 26 ft (assist by M. Ellis),3,50-45,,
0:30.0,,,50-48,3,J. Harden makes 3-pt shot from 24 ft
0:13.0,C. Miles misses 3-pt shot from 26 ft,,50-48,,
0:13.0,,,50-48,,Defensive rebound by D. Howard
0:10.0,,,50-48,,Turnover by D. Howard (bad pass; steal by P. George)
0:05.0,G. Hill misses 3-pt shot from 22 ft,,50-48,,
0:04.0,,,50-48,,Defensive rebound by D. Howard
0:00.0,,,50-48,,D. Howard misses 3-pt shot from 61 ft
0:00.0,,,50-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by L. Allen (lost ball; steal by C. Capela),,50-48,,
11:31.0,,,50-48,,T. Ariza misses 3-pt shot from 22 ft
11:30.0,Defensive rebound by G. Hill,,50-48,,
11:05.0,M. Ellis makes 3-pt shot from 24 ft (assist by G. Hill),3,53-48,,
10:45.0,,,53-48,,P. Beverley misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by P. George,,53-48,,
10:34.0,P. George misses 2-pt shot from 12 ft (block by C. Capela),,53-48,,
10:33.0,,,53-48,,Defensive rebound by J. Harden
10:28.0,,,53-48,,Offensive charge foul by C. Capela
10:28.0,,,53-48,,Turnover by C. Capela (offensive foul)
10:20.0,Offensive foul by G. Hill,,53-48,,
10:20.0,Turnover by G. Hill (offensive foul),,53-48,,
10:00.0,,,53-48,,Turnover by P. Beverley (bad pass; steal by M. Ellis)
9:47.0,,,53-48,,Violation by D. Howard (def goaltending)
9:47.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by L. Allen),2,55-48,,
9:23.0,,,55-51,3,P. Beverley makes 3-pt shot from 25 ft (assist by D. Howard)
9:06.0,Turnover by I. Mahinmi (step out of bounds),,55-51,,
8:51.0,,,55-53,2,D. Howard makes 2-pt shot from 5 ft (assist by J. Harden)
8:35.0,L. Allen makes 2-pt shot from 6 ft (assist by M. Ellis),2,57-53,,
8:35.0,,,57-53,,Violation by D. Howard (def goaltending)
8:18.0,,,57-53,,Turnover by C. Capela (lost ball; steal by P. George)
8:03.0,P. George makes 3-pt shot from 25 ft (assist by I. Mahinmi),3,60-53,,
7:45.0,,,60-53,,T. Ariza misses 3-pt shot from 25 ft
7:44.0,,,60-53,,Offensive rebound by D. Howard
7:27.0,,,60-53,,T. Ariza misses 2-pt shot from 3 ft (block by I. Mahinmi)
7:26.0,,,60-53,,Offensive rebound by T. Ariza
7:26.0,,,60-53,,Shooting foul by L. Allen (drawn by T. Ariza)
7:26.0,,,60-54,1,T. Ariza makes free throw 1 of 2
7:26.0,,,60-54,,T. Jones enters the game for C. Capela
7:26.0,,,60-55,1,T. Ariza makes free throw 2 of 2
7:09.0,P. George misses 3-pt shot from 24 ft,,60-55,,
7:08.0,,,60-55,,Defensive rebound by J. Harden
7:02.0,,,60-55,,Turnover by T. Ariza (bad pass; steal by P. George)
6:53.0,L. Allen makes 2-pt shot from 19 ft (assist by M. Ellis),2,62-55,,
6:43.0,,,62-55,,P. Beverley misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by L. Allen,,62-55,,
6:35.0,G. Hill misses 3-pt shot from 23 ft,,62-55,,
6:35.0,,,62-55,,Defensive rebound by T. Ariza
6:26.0,,,62-55,,Houston full timeout
6:12.0,,,62-55,,J. Harden misses 2-pt shot from 2 ft
6:11.0,Defensive rebound by G. Hill,,62-55,,
5:56.0,P. George makes 3-pt shot from 23 ft (assist by M. Ellis),3,65-55,,
5:46.0,,,65-55,,Shooting foul by L. Allen (drawn by T. Ariza)
5:46.0,,,65-56,1,T. Ariza makes free throw 1 of 2
5:46.0,,,65-56,,T. Ariza misses free throw 2 of 2
5:46.0,Defensive rebound by P. George,,65-56,,
5:29.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis),2,67-56,,
5:08.0,,,67-56,,D. Howard misses 2-pt shot from 6 ft
5:07.0,,,67-56,,Offensive rebound by T. Jones
5:06.0,,,67-56,,T. Jones misses 2-pt shot from 1 ft (block by P. George)
5:06.0,,,67-56,,Offensive rebound by Team
5:06.0,,,67-56,,M. Thornton enters the game for T. Ariza
5:02.0,,,67-56,,J. Harden misses 3-pt shot from 25 ft
5:01.0,,,67-56,,Offensive rebound by Team
4:41.0,,,67-56,,M. Thornton misses 3-pt shot from 25 ft
4:40.0,,,67-56,,Offensive rebound by D. Howard
4:39.0,Personal foul by G. Hill (drawn by D. Howard),,67-56,,
4:25.0,,,67-56,,T. Jones misses 2-pt shot from 6 ft
4:24.0,,,67-56,,Offensive rebound by D. Howard
4:24.0,,,67-56,,Shooting foul by I. Mahinmi (drawn by D. Howard)
4:24.0,,,67-56,,D. Howard misses free throw 1 of 2
4:24.0,,,67-56,,Offensive rebound by Team
4:24.0,,,67-57,1,D. Howard makes free throw 2 of 2
4:06.0,P. George misses 3-pt shot from 25 ft,,67-57,,
4:05.0,,,67-57,,Defensive rebound by D. Howard
3:58.0,Personal foul by M. Ellis (drawn by P. Beverley),,67-57,,
3:58.0,,,67-58,1,P. Beverley makes free throw 1 of 2
3:58.0,,,67-59,1,P. Beverley makes free throw 2 of 2
3:42.0,I. Mahinmi makes 2-pt shot from 4 ft (assist by M. Ellis),2,69-59,,
3:28.0,,,69-59,,M. Thornton misses 2-pt shot from 2 ft
3:28.0,Defensive rebound by Team,,69-59,,
3:21.0,Turnover by M. Ellis (bad pass; steal by P. Beverley),,69-59,,
3:13.0,,,69-59,,P. Beverley misses 3-pt shot from 25 ft
3:13.0,,,69-59,,Offensive rebound by Team
3:03.0,,,69-59,,M. Thornton misses 3-pt shot from 25 ft
3:00.0,,,69-59,,Offensive rebound by Team
3:00.0,,,69-59,,J. Terry enters the game for P. Beverley
2:52.0,,,69-61,2,J. Harden makes 2-pt shot from 2 ft
2:45.0,P. George makes 2-pt shot at rim,2,71-61,,
2:26.0,,,71-64,3,J. Harden makes 3-pt shot from 25 ft
2:24.0,Indiana full timeout,,71-64,,
2:24.0,M. Turner enters the game for L. Allen,,71-64,,
2:24.0,C. Miles enters the game for I. Mahinmi,,71-64,,
2:24.0,R. Stuckey enters the game for M. Ellis,,71-64,,
2:24.0,,,71-64,,T. Ariza enters the game for D. Howard
2:24.0,,,71-64,,C. Capela enters the game for T. Jones
2:15.0,G. Hill misses 2-pt shot from 2 ft,,71-64,,
2:14.0,,,71-64,,Defensive rebound by C. Capela
2:03.0,,,71-64,,J. Harden misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by P. George,,71-64,,
1:53.0,Turnover by P. George (bad pass; steal by M. Thornton),,71-64,,
1:47.0,,,71-64,,J. Terry misses 3-pt shot from 24 ft
1:46.0,,,71-64,,Offensive rebound by M. Thornton
1:45.0,,,71-64,,M. Thornton misses 2-pt shot from 2 ft
1:41.0,,,71-64,,Offensive rebound by C. Capela
1:40.0,,,71-64,,Turnover by C. Capela (lost ball; steal by P. George)
1:28.0,R. Stuckey misses 2-pt shot from 4 ft,,71-64,,
1:27.0,Offensive rebound by M. Turner,,71-64,,
1:04.0,P. George makes 3-pt shot from 23 ft (assist by R. Stuckey),3,74-64,,
0:49.0,,,74-64,,Offensive foul by J. Harden
0:49.0,,,74-64,,Turnover by J. Harden (offensive foul)
0:32.0,P. George makes 2-pt shot from 10 ft,2,76-64,,
0:32.0,Shooting foul by J. Harden (drawn by P. George),,76-64,,
0:32.0,P. George makes free throw 1 of 1,1,77-64,,
0:25.0,,,77-64,,J. Harden misses 2-pt shot from 4 ft
0:24.0,Defensive rebound by G. Hill,,77-64,,
0:02.0,P. George misses 3-pt shot from 25 ft,,77-64,,
0:01.0,,,77-64,,Defensive rebound by T. Ariza
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,77-66,2,D. Howard makes 2-pt shot from 1 ft
11:44.0,,,77-66,,Shooting foul by M. Turner (drawn by D. Howard)
11:44.0,,,77-66,,D. Howard misses free throw 1 of 1
11:44.0,Defensive rebound by C. Miles,,77-66,,
11:20.0,M. Ellis misses 3-pt shot from 25 ft,,77-66,,
11:20.0,,,77-66,,Defensive rebound by Team
11:06.0,,,77-66,,M. Thornton misses 2-pt shot from 6 ft
11:05.0,Defensive rebound by G. Robinson,,77-66,,
10:56.0,C. Miles misses 3-pt shot from 25 ft,,77-66,,
10:55.0,,,77-66,,Defensive rebound by D. Howard
10:38.0,,,77-66,,Shooting foul by C. Miles (drawn by C. Brewer)
10:38.0,,,77-67,1,C. Brewer makes free throw 1 of 2
10:38.0,,,77-68,1,C. Brewer makes free throw 2 of 2
10:23.0,Shooting foul by D. Howard (drawn by C. Miles),,77-68,,
10:23.0,,,77-68,,Violation by Team (delay of game)
10:23.0,C. Miles misses free throw 1 of 2,,77-68,,
10:23.0,Offensive rebound by Team,,77-68,,
10:23.0,C. Miles makes free throw 2 of 2,1,78-68,,
10:02.0,,,78-71,3,J. Terry makes 3-pt shot from 24 ft (assist by M. Thornton)
9:46.0,R. Stuckey makes 2-pt shot from 12 ft (assist by M. Turner),2,80-71,,
9:27.0,,,80-71,,C. Brewer misses 3-pt shot from 23 ft
9:26.0,Defensive rebound by C. Miles,,80-71,,
9:17.0,M. Turner makes 2-pt shot from 17 ft (assist by G. Robinson),2,82-71,,
9:01.0,,,82-71,,J. Terry misses 3-pt shot from 25 ft
9:00.0,,,82-71,,Offensive rebound by D. Howard
8:59.0,,,82-73,2,D. Howard makes 2-pt shot from 2 ft
8:48.0,G. Robinson makes 2-pt shot from 4 ft (assist by M. Ellis),2,84-73,,
8:31.0,,,84-75,2,J. Terry makes 2-pt shot from 1 ft (assist by D. Howard)
8:31.0,Indiana full timeout,,84-75,,
8:31.0,J. Hill enters the game for M. Turner,,84-75,,
8:31.0,,,84-75,,P. Beverley enters the game for C. Brewer
8:31.0,,,84-75,,J. Harden enters the game for M. Thornton
8:14.0,R. Stuckey makes 2-pt shot from 1 ft,2,86-75,,
7:49.0,,,86-75,,Shooting foul by R. Stuckey (drawn by D. Howard)
7:49.0,,,86-75,,D. Howard misses free throw 1 of 2
7:49.0,,,86-75,,Offensive rebound by Team
7:49.0,,,86-76,1,D. Howard makes free throw 2 of 2
7:45.0,Turnover by J. Hill (dbl dribble),,86-76,,
7:35.0,,,86-76,,J. Harden misses 2-pt shot from 18 ft
7:34.0,Defensive rebound by J. Hill,,86-76,,
7:20.0,M. Ellis misses 2-pt shot from 16 ft,,86-76,,
7:19.0,,,86-76,,Defensive rebound by J. Harden
7:11.0,Personal foul by J. Hill (drawn by D. Howard),,86-76,,
7:11.0,G. Hill enters the game for M. Ellis,,86-76,,
7:11.0,P. George enters the game for G. Robinson,,86-76,,
6:56.0,,,86-76,,D. Howard misses 2-pt shot from 8 ft
6:55.0,Defensive rebound by P. George,,86-76,,
6:42.0,J. Hill makes 2-pt shot at rim (assist by C. Miles),2,88-76,,
6:13.0,,,88-76,,P. Beverley misses 2-pt shot from 9 ft
6:12.0,Defensive rebound by R. Stuckey,,88-76,,
5:58.0,C. Miles misses 3-pt shot from 23 ft,,88-76,,
5:57.0,Offensive rebound by J. Hill,,88-76,,
5:37.0,Offensive charge foul by C. Miles,,88-76,,
5:37.0,Turnover by C. Miles (offensive foul),,88-76,,
5:37.0,,,88-76,,Houston full timeout
5:37.0,,,88-76,,M. Thornton enters the game for J. Terry
5:24.0,,,88-78,2,J. Harden makes 2-pt shot from 4 ft
5:01.0,J. Hill misses 2-pt shot from 19 ft,,88-78,,
5:01.0,,,88-78,,Defensive rebound by T. Ariza
4:49.0,,,88-81,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
4:29.0,Turnover by J. Hill (bad pass; steal by J. Harden),,88-81,,
4:16.0,,,88-81,,J. Harden misses 3-pt shot from 24 ft
4:15.0,Defensive rebound by G. Hill,,88-81,,
4:03.0,Shooting foul by P. Beverley (drawn by J. Hill),,88-81,,
4:03.0,J. Hill misses free throw 1 of 2,,88-81,,
4:03.0,Offensive rebound by Team,,88-81,,
4:03.0,M. Ellis enters the game for R. Stuckey,,88-81,,
4:03.0,J. Hill makes free throw 2 of 2,1,89-81,,
3:50.0,,,89-83,2,J. Harden makes 2-pt shot from 2 ft
3:40.0,P. George misses 3-pt shot from 25 ft,,89-83,,
3:39.0,,,89-83,,Defensive rebound by P. Beverley
3:39.0,Loose ball foul by C. Miles (drawn by P. Beverley),,89-83,,
3:39.0,,,89-84,1,P. Beverley makes free throw 1 of 2
3:39.0,I. Mahinmi enters the game for J. Hill,,89-84,,
3:39.0,,,89-85,1,P. Beverley makes free throw 2 of 2
3:20.0,C. Miles misses 3-pt shot from 24 ft,,89-85,,
3:19.0,,,89-85,,Defensive rebound by D. Howard
3:12.0,,,89-85,,Houston full timeout
3:12.0,R. Stuckey enters the game for C. Miles,,89-85,,
2:58.0,,,89-88,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
2:37.0,,,89-88,,Personal foul by T. Ariza (drawn by P. George)
2:34.0,M. Ellis makes 2-pt shot from 17 ft (assist by G. Hill),2,91-88,,
2:19.0,,,91-88,,Houston full timeout
2:08.0,,,91-88,,Offensive foul by D. Howard
2:08.0,,,91-88,,Turnover by D. Howard (offensive foul)
1:56.0,I. Mahinmi makes 2-pt shot from 3 ft (assist by P. George),2,93-88,,
1:45.0,,,93-88,,Shooting foul by I. Mahinmi (drawn by J. Harden)
1:45.0,,,93-89,1,J. Harden makes free throw 1 of 2
