time,Utah,pts.away,score,pts.home,Charlotte
3:49.0,R. Gobert misses free throw 2 of 2,,21-21,,
3:47.0,,,21-21,,Defensive rebound by M. Williams
3:26.0,,,21-21,,F. Kaminsky misses 2-pt shot from 18 ft
3:25.0,Defensive rebound by R. Gobert,,21-21,,
3:20.0,Offensive foul by T. Booker,,21-21,,
3:20.0,Turnover by T. Booker (offensive foul),,21-21,,
3:03.0,,,21-23,2,K. Walker makes 2-pt shot from 11 ft
2:45.0,C. Johnson makes 2-pt shot from 2 ft (assist by R. Gobert),2,23-23,,
2:45.0,Shooting foul by K. Walker (drawn by C. Johnson),,23-23,,
2:45.0,Utah full timeout,,23-23,,
2:45.0,C. Johnson makes free throw 1 of 1,1,24-23,,
2:24.0,,,24-25,2,K. Walker makes 2-pt shot from 10 ft
2:11.0,G. Hayward makes 2-pt shot from 18 ft (assist by T. Burke),2,26-25,,
1:52.0,,,26-25,,M. Williams misses 2-pt shot from 6 ft (block by R. Gobert)
1:50.0,,,26-25,,Offensive rebound by F. Kaminsky
1:43.0,,,26-25,,K. Walker misses 3-pt shot from 26 ft
1:42.0,Defensive rebound by G. Hayward,,26-25,,
1:29.0,T. Burke misses 3-pt shot from 24 ft,,26-25,,
1:27.0,,,26-25,,Defensive rebound by J. Lin
1:19.0,,,26-25,,C. Zeller misses 2-pt shot at rim (block by R. Gobert)
1:17.0,Defensive rebound by T. Burke,,26-25,,
1:13.0,T. Burke misses 2-pt shot from 1 ft,,26-25,,
1:10.0,,,26-25,,Defensive rebound by F. Kaminsky
0:59.0,,,26-25,,Shooting foul by C. Johnson (drawn by M. Williams)
0:59.0,,,26-26,1,M. Williams makes free throw 1 of 2
0:59.0,J. Withey enters the game for R. Gobert,,26-26,,
0:59.0,,,26-27,1,M. Williams makes free throw 2 of 2
0:48.0,G. Hayward misses 2-pt shot from 20 ft,,26-27,,
0:47.0,,,26-27,,Defensive rebound by K. Walker
0:38.0,,,26-27,,M. Williams misses 3-pt shot from 23 ft
0:35.0,Defensive rebound by T. Booker,,26-27,,
0:28.0,G. Hayward makes 2-pt shot from 1 ft,2,28-27,,
0:07.0,,,28-29,2,K. Walker makes 2-pt shot from 18 ft
0:00.0,C. Johnson misses 3-pt shot from 24 ft,,28-29,,
0:00.0,Offensive rebound by Team,,28-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,R. Hood misses 2-pt shot from 15 ft,,28-29,,
11:40.0,,,28-29,,Defensive rebound by P. Hairston
11:26.0,,,28-31,2,F. Kaminsky makes 2-pt shot at rim (assist by S. Hawes)
11:02.0,C. Johnson misses 2-pt shot from 11 ft,,28-31,,
11:01.0,,,28-31,,Defensive rebound by P. Hairston
10:48.0,,,28-31,,Turnover by F. Kaminsky (bad pass)
10:32.0,R. Hood misses 3-pt shot from 24 ft,,28-31,,
10:31.0,Offensive rebound by C. Johnson,,28-31,,
10:27.0,T. Burke misses 2-pt shot from 20 ft,,28-31,,
10:26.0,,,28-31,,Defensive rebound by Team
10:09.0,,,28-31,,F. Kaminsky misses 2-pt shot from 3 ft (block by T. Booker)
10:08.0,Defensive rebound by R. Hood,,28-31,,
9:56.0,R. Hood misses 2-pt shot at rim,,28-31,,
9:55.0,Offensive rebound by T. Booker,,28-31,,
9:45.0,Turnover by T. Booker (bad pass; steal by J. Lin),,28-31,,
9:41.0,,,28-33,2,J. Lin makes 2-pt shot at rim
9:16.0,T. Burke misses 2-pt shot from 10 ft,,28-33,,
9:15.0,,,28-33,,Defensive rebound by F. Kaminsky
8:58.0,,,28-33,,N. Batum misses 2-pt shot from 13 ft
8:55.0,Defensive rebound by J. Withey,,28-33,,
8:45.0,C. Johnson misses 2-pt shot from 14 ft,,28-33,,
8:44.0,,,28-33,,Defensive rebound by J. Lin
8:38.0,,,28-33,,N. Batum misses 2-pt shot from 1 ft
8:38.0,,,28-33,,Offensive rebound by J. Lin
8:34.0,,,28-33,,P. Hairston misses 3-pt shot from 28 ft
8:33.0,Defensive rebound by T. Booker,,28-33,,
8:22.0,Utah full timeout,,28-33,,
8:22.0,,,28-33,,T. Daniels enters the game for P. Hairston
8:22.0,J. Ingles enters the game for C. Johnson,,28-33,,
8:17.0,,,28-33,,Def 3 sec tech foul by S. Hawes
8:17.0,R. Hood makes technical free throw,1,29-33,,
8:03.0,R. Hood misses 3-pt shot from 25 ft,,29-33,,
8:02.0,,,29-33,,Defensive rebound by J. Lin
7:39.0,,,29-33,,T. Daniels misses 3-pt shot from 28 ft
7:39.0,,,29-33,,Offensive rebound by Team
7:39.0,Loose ball foul by R. Hood (drawn by F. Kaminsky),,29-33,,
7:39.0,G. Hayward enters the game for R. Hood,,29-33,,
7:23.0,,,29-33,,F. Kaminsky misses 2-pt shot from 2 ft (block by J. Withey)
7:23.0,,,29-33,,Offensive rebound by F. Kaminsky
7:23.0,,,29-33,,Shooting foul by J. Withey (drawn by F. Kaminsky)
7:23.0,,,29-35,2,F. Kaminsky makes 2-pt shot from 2 ft
7:23.0,,,29-36,1,F. Kaminsky makes free throw 1 of 1
7:12.0,T. Burke makes 2-pt shot from 10 ft,2,31-36,,
6:55.0,,,31-38,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by J. Lin)
6:44.0,,,31-38,,Personal foul by T. Daniels (drawn by J. Ingles)
6:44.0,T. Lyles enters the game for T. Booker,,31-38,,
6:44.0,R. Gobert enters the game for J. Withey,,31-38,,
6:33.0,Turnover by T. Lyles (step out of bounds),,31-38,,
6:21.0,,,31-40,2,F. Kaminsky makes 2-pt shot at rim (assist by J. Lin)
6:16.0,Utah full timeout,,31-40,,
6:05.0,T. Lyles misses 2-pt shot from 7 ft,,31-40,,
6:04.0,Offensive rebound by R. Gobert,,31-40,,
5:54.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,33-40,,
5:35.0,,,33-40,,F. Kaminsky misses 2-pt shot from 6 ft (block by T. Lyles)
5:32.0,Defensive rebound by T. Lyles,,33-40,,
5:24.0,G. Hayward misses 2-pt shot from 8 ft,,33-40,,
5:23.0,Offensive rebound by R. Gobert,,33-40,,
5:23.0,R. Gobert makes 2-pt shot from 1 ft,2,35-40,,
5:23.0,,,35-40,,Charlotte full timeout
5:23.0,R. Neto enters the game for T. Burke,,35-40,,
5:23.0,,,35-40,,K. Walker enters the game for F. Kaminsky
5:23.0,,,35-40,,M. Williams enters the game for J. Lin
5:23.0,,,35-40,,C. Zeller enters the game for S. Hawes
5:12.0,,,35-40,,Turnover by K. Walker (bad pass)
4:54.0,G. Hayward makes 3-pt shot from 26 ft (assist by T. Lyles),3,38-40,,
4:41.0,,,38-42,2,N. Batum makes 2-pt shot from 17 ft
4:10.0,R. Neto misses 2-pt shot from 2 ft,,38-42,,
4:08.0,,,38-42,,Defensive rebound by C. Zeller
3:54.0,,,38-44,2,K. Walker makes 2-pt shot from 17 ft
3:28.0,Turnover by R. Gobert (lost ball; steal by T. Daniels),,38-44,,
3:15.0,,,38-44,,T. Daniels misses 3-pt shot from 27 ft
3:14.0,Defensive rebound by R. Gobert,,38-44,,
2:58.0,T. Lyles misses 3-pt shot from 23 ft,,38-44,,
2:57.0,,,38-44,,Defensive rebound by M. Williams
2:48.0,Official timeout,,38-44,,
2:37.0,,,38-47,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
2:20.0,Turnover by G. Hayward (lost ball; steal by N. Batum),,38-47,,
2:19.0,Personal foul by J. Ingles (drawn by N. Batum),,38-47,,
2:00.0,,,38-50,3,K. Walker makes 3-pt shot from 25 ft
1:41.0,G. Hayward misses 3-pt shot from 25 ft,,38-50,,
1:39.0,Offensive rebound by J. Ingles,,38-50,,
1:33.0,R. Neto makes 3-pt shot from 25 ft (assist by G. Hayward),3,41-50,,
1:21.0,,,41-52,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
1:04.0,G. Hayward misses 2-pt shot from 5 ft,,41-52,,
1:03.0,,,41-52,,Defensive rebound by N. Batum
0:53.0,,,41-52,,K. Walker misses 2-pt shot from 1 ft
0:51.0,Defensive rebound by R. Gobert,,41-52,,
0:37.0,,,41-52,,Personal foul by M. Williams (drawn by R. Gobert)
0:31.0,Shooting foul by M. Williams (drawn by R. Gobert),,41-52,,
0:31.0,R. Gobert misses free throw 1 of 2,,41-52,,
0:31.0,Offensive rebound by Team,,41-52,,
0:31.0,C. Johnson enters the game for J. Ingles,,41-52,,
0:31.0,R. Gobert misses free throw 2 of 2,,41-52,,
0:29.0,,,41-52,,Defensive rebound by K. Walker
0:08.0,,,41-52,,Turnover by T. Daniels (bad pass)
0:03.0,G. Hayward makes 2-pt shot from 11 ft,2,43-52,,
0:01.0,,,43-52,,Turnover by K. Walker (traveling)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,43-52,,Personal foul by P. Hairston (drawn by G. Hayward)
11:34.0,R. Neto misses 3-pt shot from 24 ft,,43-52,,
11:33.0,Offensive rebound by T. Lyles,,43-52,,
11:12.0,R. Hood misses 2-pt shot from 8 ft,,43-52,,
11:10.0,,,43-52,,Defensive rebound by N. Batum
11:00.0,,,43-52,,C. Zeller misses 2-pt shot from 1 ft
10:58.0,Defensive rebound by R. Gobert,,43-52,,
10:39.0,R. Neto misses 3-pt shot from 25 ft,,43-52,,
10:37.0,,,43-52,,Defensive rebound by N. Batum
10:18.0,,,43-52,,K. Walker misses 2-pt shot from 10 ft
10:17.0,Defensive rebound by R. Hood,,43-52,,
10:09.0,G. Hayward misses 2-pt shot from 18 ft,,43-52,,
10:07.0,Offensive rebound by T. Lyles,,43-52,,
9:54.0,G. Hayward misses 3-pt shot from 23 ft,,43-52,,
9:53.0,,,43-52,,Defensive rebound by P. Hairston
9:45.0,,,43-52,,Shooting foul by R. Gobert (drawn by K. Walker)
9:45.0,,,43-53,1,K. Walker makes free throw 1 of 2
9:45.0,T. Burke enters the game for R. Neto,,43-53,,
9:45.0,,,43-54,1,K. Walker makes free throw 2 of 2
9:30.0,R. Hood misses 2-pt shot from 1 ft,,43-54,,
9:28.0,,,43-54,,Defensive rebound by C. Zeller
9:12.0,,,43-54,,Turnover by C. Zeller (lost ball; steal by G. Hayward)
8:58.0,G. Hayward misses 3-pt shot from 25 ft,,43-54,,
8:57.0,,,43-54,,Defensive rebound by M. Williams
8:53.0,,,43-54,,Shooting foul by G. Hayward (drawn by C. Zeller)
8:53.0,,,43-54,,C. Zeller misses free throw 1 of 2
8:53.0,,,43-54,,Offensive rebound by Team
8:53.0,,,43-55,1,C. Zeller makes free throw 2 of 2
8:36.0,R. Hood makes 3-pt shot from 26 ft (assist by T. Burke),3,46-55,,
8:08.0,,,46-57,2,M. Williams makes 2-pt shot from 3 ft (assist by K. Walker)
7:51.0,T. Lyles makes 2-pt shot from 18 ft (assist by R. Hood),2,48-57,,
7:28.0,,,48-59,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
7:12.0,Utah full timeout,,48-59,,
7:12.0,C. Johnson enters the game for T. Lyles,,48-59,,
7:04.0,G. Hayward misses 3-pt shot from 25 ft,,48-59,,
7:03.0,,,48-59,,Defensive rebound by N. Batum
6:56.0,Personal foul by R. Hood (drawn by N. Batum),,48-59,,
6:56.0,J. Ingles enters the game for R. Hood,,48-59,,
6:48.0,,,48-62,3,K. Walker makes 3-pt shot from 25 ft (assist by C. Zeller)
6:30.0,T. Burke makes 2-pt shot from 18 ft,2,50-62,,
6:13.0,,,50-65,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
6:03.0,,,50-65,,Personal foul by N. Batum (drawn by J. Ingles)
5:50.0,G. Hayward makes 3-pt shot from 25 ft (assist by J. Ingles),3,53-65,,
5:34.0,,,53-65,,Turnover by N. Batum (traveling)
5:34.0,,,53-65,,F. Kaminsky enters the game for P. Hairston
5:23.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Gobert),3,56-65,,
5:22.0,,,56-65,,Charlotte full timeout
5:22.0,T. Booker enters the game for C. Johnson,,56-65,,
5:12.0,,,56-65,,N. Batum misses 2-pt shot from 18 ft
5:11.0,Defensive rebound by T. Booker,,56-65,,
4:58.0,J. Ingles misses 3-pt shot from 23 ft,,56-65,,
4:57.0,,,56-65,,Defensive rebound by C. Zeller
4:39.0,,,56-65,,Turnover by F. Kaminsky (lost ball; steal by T. Burke)
4:33.0,T. Burke makes 2-pt shot at rim,2,58-65,,
4:13.0,,,58-65,,Turnover by M. Williams (bad pass; steal by J. Ingles)
4:07.0,T. Booker misses 2-pt shot from 1 ft,,58-65,,
4:06.0,,,58-65,,Defensive rebound by F. Kaminsky
4:04.0,Personal foul by T. Burke (drawn by K. Walker),,58-65,,
4:04.0,,,58-65,,J. Lin enters the game for N. Batum
3:55.0,,,58-67,2,K. Walker makes 2-pt shot from 1 ft
3:55.0,,,58-67,,Shooting foul by T. Burke (drawn by K. Walker)
3:55.0,,,58-68,1,K. Walker makes free throw 1 of 1
3:37.0,T. Burke misses 3-pt shot from 24 ft,,58-68,,
3:33.0,,,58-68,,Defensive rebound by M. Williams
3:24.0,,,58-68,,F. Kaminsky misses 2-pt shot from 4 ft
3:23.0,Defensive rebound by R. Gobert,,58-68,,
3:15.0,G. Hayward misses 3-pt shot from 25 ft,,58-68,,
3:13.0,,,58-68,,Defensive rebound by C. Zeller
3:06.0,J. Withey enters the game for R. Gobert,,58-68,,
2:51.0,,,58-68,,K. Walker misses 3-pt shot from 25 ft
2:50.0,Defensive rebound by T. Burke,,58-68,,
2:34.0,T. Burke misses 2-pt shot from 15 ft,,58-68,,
2:32.0,Offensive rebound by T. Booker,,58-68,,
2:32.0,T. Booker makes 2-pt shot at rim,2,60-68,,
2:17.0,,,60-70,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
2:01.0,Turnover by J. Ingles (bad pass; steal by M. Williams),,60-70,,
1:52.0,T. Lyles enters the game for T. Booker,,60-70,,
1:52.0,,,60-70,,S. Hawes enters the game for C. Zeller
1:52.0,,,60-70,,P. Hairston enters the game for M. Williams
1:52.0,C. Johnson enters the game for J. Ingles,,60-70,,
1:45.0,,,60-70,,Turnover by J. Lin (traveling)
1:25.0,J. Withey makes 2-pt shot from 1 ft (assist by G. Hayward),2,62-70,,
1:00.0,,,62-70,,P. Hairston misses 2-pt shot from 1 ft (block by T. Lyles)
0:59.0,Defensive rebound by T. Burke,,62-70,,
0:47.0,G. Hayward misses 2-pt shot from 1 ft,,62-70,,
0:46.0,,,62-70,,Defensive rebound by K. Walker
0:37.0,,,62-73,3,J. Lin makes 3-pt shot from 25 ft (assist by K. Walker)
0:30.0,T. Burke makes 2-pt shot from 16 ft,2,64-73,,
0:09.0,,,64-73,,K. Walker misses 2-pt shot from 2 ft
0:08.0,Defensive rebound by G. Hayward,,64-73,,
0:04.0,T. Burke misses 2-pt shot from 2 ft (block by P. Hairston),,64-73,,
0:02.0,,,64-73,,Defensive rebound by P. Hairston
0:01.0,,,64-73,,K. Walker misses 3-pt shot from 32 ft
0:00.0,,,64-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,64-76,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by J. Lin)
11:20.0,T. Lyles misses 2-pt shot from 2 ft (block by F. Kaminsky),,64-76,,
11:17.0,,,64-76,,Defensive rebound by N. Batum
11:11.0,,,64-76,,Shooting foul by C. Johnson (drawn by F. Kaminsky)
11:11.0,,,64-77,1,F. Kaminsky makes free throw 1 of 2
11:11.0,,,64-77,,F. Kaminsky misses free throw 2 of 2
11:10.0,Defensive rebound by T. Lyles,,64-77,,
11:01.0,,,64-77,,Personal foul by N. Batum (drawn by R. Hood)
11:01.0,R. Neto enters the game for T. Burke,,64-77,,
11:01.0,T. Booker enters the game for J. Withey,,64-77,,
10:46.0,R. Neto misses 2-pt shot from 13 ft,,64-77,,
10:44.0,Offensive rebound by T. Lyles,,64-77,,
10:39.0,R. Hood makes 3-pt shot from 25 ft (assist by T. Lyles),3,67-77,,
10:20.0,,,67-77,,J. Lin misses 2-pt shot from 20 ft
10:19.0,Defensive rebound by C. Johnson,,67-77,,
10:00.0,T. Booker makes 2-pt shot from 7 ft (assist by R. Neto),2,69-77,,
9:42.0,,,69-79,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
9:34.0,,,69-79,,Personal foul by N. Batum (drawn by R. Hood)
9:22.0,T. Lyles makes 3-pt shot from 23 ft (assist by T. Booker),3,72-79,,
9:03.0,,,72-79,,N. Batum misses 2-pt shot from 13 ft
9:02.0,Defensive rebound by T. Lyles,,72-79,,
8:55.0,R. Hood misses 3-pt shot from 25 ft,,72-79,,
8:54.0,Offensive rebound by T. Booker,,72-79,,
8:54.0,Shooting foul by F. Kaminsky (drawn by T. Booker),,72-79,,
8:54.0,Official timeout,,72-79,,
8:54.0,T. Booker makes free throw 1 of 2,1,73-79,,
8:54.0,T. Booker makes free throw 2 of 2,1,74-79,,
8:38.0,,,74-82,3,T. Daniels makes 3-pt shot from 29 ft (assist by N. Batum)
8:20.0,T. Booker makes 2-pt shot from 1 ft,2,76-82,,
8:07.0,,,76-82,,Turnover by N. Batum (lost ball; steal by T. Booker)
8:02.0,T. Booker makes 2-pt shot at rim,2,78-82,,
7:48.0,,,78-84,2,J. Lin makes 2-pt shot from 11 ft
7:24.0,T. Lyles misses 2-pt shot from 1 ft (block by S. Hawes),,78-84,,
7:22.0,,,78-84,,Defensive rebound by F. Kaminsky
7:14.0,,,78-84,,Turnover by N. Batum (bad pass)
7:14.0,,,78-84,,K. Walker enters the game for N. Batum
7:00.0,Turnover by R. Hood (lost ball; steal by K. Walker),,78-84,,
6:54.0,,,78-84,,T. Daniels misses 2-pt shot from 22 ft
6:53.0,Defensive rebound by C. Johnson,,78-84,,
6:47.0,Utah full timeout,,78-84,,
6:47.0,R. Gobert enters the game for T. Lyles,,78-84,,
6:47.0,G. Hayward enters the game for C. Johnson,,78-84,,
6:47.0,,,78-84,,M. Williams enters the game for T. Daniels
6:35.0,G. Hayward makes 3-pt shot from 23 ft (assist by R. Neto),3,81-84,,
6:19.0,,,81-84,,S. Hawes misses 3-pt shot from 25 ft
6:17.0,,,81-84,,Offensive rebound by F. Kaminsky
6:07.0,,,81-86,2,F. Kaminsky makes 2-pt shot from 1 ft
5:42.0,T. Booker misses 3-pt shot from 23 ft,,81-86,,
5:41.0,,,81-86,,Defensive rebound by J. Lin
5:34.0,,,81-86,,J. Lin misses 2-pt shot from 1 ft
5:33.0,Defensive rebound by R. Gobert,,81-86,,
5:15.0,T. Booker makes 2-pt shot from 7 ft,2,83-86,,
4:54.0,,,83-86,,M. Williams misses 2-pt shot from 1 ft
4:53.0,Defensive rebound by G. Hayward,,83-86,,
4:42.0,R. Neto makes 3-pt shot from 23 ft (assist by G. Hayward),3,86-86,,
4:33.0,,,86-86,,Charlotte full timeout
4:33.0,,,86-86,,C. Zeller enters the game for F. Kaminsky
4:33.0,,,86-86,,N. Batum enters the game for S. Hawes
4:33.0,T. Burke enters the game for R. Hood,,86-86,,
4:21.0,,,86-86,,K. Walker misses 2-pt shot from 1 ft
4:20.0,Defensive rebound by T. Booker,,86-86,,
4:10.0,Turnover by G. Hayward (bad pass),,86-86,,
3:46.0,,,86-86,,K. Walker misses 2-pt shot from 19 ft
3:45.0,Defensive rebound by G. Hayward,,86-86,,
3:34.0,Shooting foul by C. Zeller (drawn by R. Neto),,86-86,,
3:34.0,R. Neto makes free throw 1 of 2,1,87-86,,
3:34.0,R. Hood enters the game for T. Burke,,87-86,,
3:34.0,R. Neto makes free throw 2 of 2,1,88-86,,
3:10.0,,,88-88,2,J. Lin makes 2-pt shot from 18 ft
2:43.0,R. Hood makes 2-pt shot from 7 ft,2,90-88,,
2:29.0,Personal foul by T. Booker (drawn by N. Batum),,90-88,,
2:20.0,,,90-90,2,K. Walker makes 2-pt shot from 18 ft
2:00.0,R. Neto misses 3-pt shot from 23 ft,,90-90,,
1:59.0,,,90-90,,Defensive rebound by Team
1:59.0,T. Burke enters the game for R. Neto,,90-90,,
1:48.0,,,90-93,3,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker)
1:31.0,T. Booker misses 3-pt shot from 23 ft,,90-93,,
1:29.0,Offensive rebound by R. Hood,,90-93,,
1:25.0,R. Hood misses 3-pt shot from 25 ft,,90-93,,
1:24.0,,,90-93,,Defensive rebound by K. Walker
1:16.0,,,90-93,,Turnover by K. Walker (bad pass)
1:16.0,Utah full timeout,,90-93,,
1:10.0,R. Hood misses 3-pt shot from 24 ft,,90-93,,
1:08.0,,,90-93,,Defensive rebound by N. Batum
0:55.0,,,90-93,,K. Walker misses 2-pt shot from 18 ft
0:52.0,Defensive rebound by Team,,90-93,,
0:27.0,T. Burke misses 3-pt shot from 25 ft,,90-93,,
0:25.0,Offensive rebound by G. Hayward,,90-93,,
0:23.0,Shooting foul by C. Zeller (drawn by G. Hayward),,90-93,,
0:23.0,G. Hayward makes free throw 1 of 2,1,91-93,,
0:23.0,G. Hayward makes free throw 2 of 2,1,92-93,,
0:23.0,,,92-93,,Charlotte full timeout
0:23.0,,,92-93,,F. Kaminsky enters the game for C. Zeller
0:23.0,Personal foul by R. Hood (drawn by N. Batum),,92-93,,
0:23.0,,,92-93,,Charlotte full timeout
0:17.0,Personal foul by G. Hayward (drawn by K. Walker),,92-93,,
0:17.0,,,92-94,1,K. Walker makes free throw 1 of 2
0:17.0,,,92-94,,C. Zeller enters the game for F. Kaminsky
0:17.0,,,92-95,1,K. Walker makes free throw 2 of 2
0:13.0,T. Burke makes 3-pt shot from 23 ft (assist by G. Hayward),3,95-95,,
0:01.0,,,95-95,,K. Walker misses 3-pt shot from 26 ft
0:00.0,,,95-95,,Offensive rebound by N. Batum
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:44.0,R. Gobert makes 2-pt shot at rim (assist by R. Hood),2,97-95,,
4:32.0,Personal foul by R. Gobert (drawn by N. Batum),,97-95,,
4:26.0,,,97-95,,N. Batum misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by R. Gobert,,97-95,,
4:08.0,R. Hood makes 2-pt shot from 4 ft,2,99-95,,
3:53.0,,,99-95,,K. Walker misses 2-pt shot from 15 ft
3:52.0,Defensive rebound by R. Gobert,,99-95,,
3:34.0,T. Booker misses 3-pt shot from 24 ft,,99-95,,
3:33.0,,,99-95,,Defensive rebound by J. Lin
3:28.0,Personal foul by T. Burke (drawn by J. Lin),,99-95,,
3:11.0,,,99-97,2,M. Williams makes 2-pt shot from 10 ft (assist by J. Lin)
2:49.0,G. Hayward misses 3-pt shot from 25 ft,,99-97,,
2:48.0,,,99-97,,Defensive rebound by K. Walker
2:41.0,,,99-97,,Shooting foul by R. Gobert (drawn by C. Zeller)
2:41.0,,,99-98,1,C. Zeller makes free throw 1 of 2
2:41.0,,,99-98,,C. Zeller misses free throw 2 of 2
2:39.0,Defensive rebound by R. Gobert,,99-98,,
2:23.0,T. Burke misses 2-pt shot from 12 ft,,99-98,,
2:23.0,Offensive rebound by Team,,99-98,,
2:21.0,Shooting foul by K. Walker (drawn by G. Hayward),,99-98,,
2:21.0,G. Hayward makes free throw 1 of 2,1,100-98,,
2:21.0,G. Hayward makes free throw 2 of 2,1,101-98,,
2:04.0,,,101-98,,Charlotte full timeout
