time,Denver,pts.away,score,pts.home,Orlando
7:32.0,Turnover by D. Augustin (bad pass),,35-41,,
7:18.0,,,35-43,2,E. Fournier makes 2-pt shot from 21 ft
7:03.0,W. Barton makes 2-pt shot from 2 ft,2,37-43,,
6:54.0,,,37-43,,M. Hezonja misses 3-pt shot from 26 ft
6:52.0,Defensive rebound by J. Lauvergne,,37-43,,
6:43.0,Turnover by W. Barton (lost ball; steal by M. Hezonja),,37-43,,
6:36.0,,,37-45,2,M. Hezonja makes 2-pt shot from 2 ft
6:16.0,D. Arthur misses 3-pt shot from 24 ft,,37-45,,
6:15.0,,,37-45,,Defensive rebound by M. Hezonja
6:13.0,,,37-45,,Turnover by M. Hezonja (lost ball; steal by D. Augustin)
6:05.0,W. Barton makes 2-pt shot at rim (assist by D. Arthur),2,39-45,,
5:50.0,,,39-45,,C. Watson misses 2-pt shot from 19 ft
5:49.0,Defensive rebound by J. Lauvergne,,39-45,,
5:40.0,J. Lauvergne misses 3-pt shot from 24 ft,,39-45,,
5:39.0,,,39-45,,Defensive rebound by D. Dedmon
5:35.0,,,39-45,,Shooting foul by D. Arthur (drawn by E. Ilyasova)
5:35.0,,,39-45,,Orlando full timeout
5:35.0,,,39-45,,V. Oladipo enters the game for M. Hezonja
5:35.0,N. Jokic enters the game for J. Lauvergne,,39-45,,
5:35.0,G. Harris enters the game for A. Toupane,,39-45,,
5:35.0,E. Mudiay enters the game for D. Augustin,,39-45,,
5:35.0,,,39-45,,E. Ilyasova misses free throw 1 of 2
5:35.0,,,39-45,,Offensive rebound by Team
5:35.0,,,39-46,1,E. Ilyasova makes free throw 2 of 2
5:26.0,Turnover by E. Mudiay (bad pass),,39-46,,
5:26.0,,,39-46,,A. Gordon enters the game for E. Ilyasova
5:12.0,,,39-48,2,V. Oladipo makes 2-pt shot from 9 ft
4:45.0,D. Arthur makes 2-pt shot from 11 ft,2,41-48,,
4:35.0,,,41-48,,Turnover by C. Watson (lost ball; steal by N. Jokic)
4:24.0,G. Harris makes 2-pt shot from 5 ft,2,43-48,,
4:24.0,Shooting foul by A. Gordon (drawn by G. Harris),,43-48,,
4:24.0,,,43-48,,B. Jennings enters the game for C. Watson
4:24.0,G. Harris makes free throw 1 of 1,1,44-48,,
4:00.0,,,44-50,2,V. Oladipo makes 2-pt shot from 18 ft (assist by B. Jennings)
3:49.0,W. Barton misses 2-pt shot at rim (block by V. Oladipo),,44-50,,
3:47.0,,,44-50,,Defensive rebound by E. Fournier
3:38.0,,,44-50,,Turnover by B. Jennings (lost ball; steal by D. Arthur)
3:32.0,G. Harris misses 3-pt shot from 23 ft,,44-50,,
3:31.0,,,44-50,,Defensive rebound by Team
3:19.0,,,44-52,2,V. Oladipo makes 2-pt shot from 20 ft (assist by B. Jennings)
3:01.0,E. Mudiay misses 2-pt shot from 11 ft,,44-52,,
3:00.0,,,44-52,,Defensive rebound by E. Fournier
2:53.0,Personal foul by W. Barton,,44-52,,
2:53.0,Denver full timeout,,44-52,,
2:53.0,K. Faried enters the game for D. Arthur,,44-52,,
2:35.0,,,44-54,2,B. Jennings makes 2-pt shot from 14 ft
2:03.0,N. Jokic misses 2-pt shot from 19 ft,,44-54,,
2:01.0,,,44-54,,Defensive rebound by V. Oladipo
1:55.0,,,44-57,3,E. Fournier makes 3-pt shot from 26 ft (assist by B. Jennings)
1:28.0,G. Harris makes 2-pt shot from 17 ft,2,46-57,,
1:04.0,,,46-59,2,A. Gordon makes 2-pt shot from 12 ft
0:51.0,Offensive foul by K. Faried,,46-59,,
0:51.0,Turnover by K. Faried (offensive foul),,46-59,,
0:33.0,,,46-59,,B. Jennings misses 2-pt shot from 20 ft
0:32.0,Defensive rebound by K. Faried,,46-59,,
0:12.0,Turnover by E. Mudiay (lost ball; steal by E. Fournier),,46-59,,
0:08.0,,,46-61,2,V. Oladipo makes 2-pt shot from 2 ft
0:03.0,K. Faried misses 2-pt shot at rim,,46-61,,
0:02.0,,,46-61,,Defensive rebound by A. Gordon
0:00.0,,,46-61,,A. Gordon misses 3-pt shot from 34 ft
0:00.0,,,46-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,46-63,2,E. Fournier makes 2-pt shot from 2 ft (assist by V. Oladipo)
11:27.0,G. Harris makes 3-pt shot from 22 ft (assist by N. Jokic),3,49-63,,
11:08.0,,,49-63,,Turnover by E. Fournier (lost ball; steal by G. Harris)
11:02.0,G. Harris misses 2-pt shot from 2 ft (block by A. Gordon),,49-63,,
11:00.0,,,49-63,,Defensive rebound by D. Dedmon
10:55.0,,,49-63,,Turnover by D. Dedmon (offensive goaltending)
10:36.0,G. Harris misses 2-pt shot from 2 ft,,49-63,,
10:36.0,Offensive rebound by Team,,49-63,,
10:27.0,Turnover by G. Harris (lost ball; steal by A. Gordon),,49-63,,
10:13.0,,,49-63,,A. Gordon misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by K. Faried,,49-63,,
9:47.0,E. Mudiay misses 3-pt shot from 26 ft,,49-63,,
9:45.0,Offensive rebound by G. Harris,,49-63,,
9:39.0,Offensive foul by K. Faried,,49-63,,
9:39.0,Turnover by K. Faried (offensive foul),,49-63,,
9:20.0,,,49-63,,Shooting foul by E. Mudiay (drawn by V. Oladipo)
9:20.0,,,49-64,1,V. Oladipo makes free throw 1 of 3
9:20.0,,,49-65,1,V. Oladipo makes free throw 2 of 3
9:20.0,,,49-66,1,V. Oladipo makes free throw 3 of 3
9:07.0,,,49-66,,Personal foul by E. Fournier
9:07.0,D. Augustin enters the game for J. Sampson,,49-66,,
9:00.0,K. Faried makes 2-pt shot from 2 ft (assist by N. Jokic),2,51-66,,
8:45.0,,,51-69,3,E. Fournier makes 3-pt shot from 23 ft (assist by B. Jennings)
8:33.0,N. Jokic makes 2-pt shot from 18 ft (assist by E. Mudiay),2,53-69,,
8:12.0,,,53-69,,A. Gordon misses 2-pt shot from 15 ft
8:11.0,Defensive rebound by G. Harris,,53-69,,
8:05.0,G. Harris makes 2-pt shot from 1 ft,2,55-69,,
7:50.0,,,55-69,,E. Fournier misses 3-pt shot from 28 ft
7:49.0,Defensive rebound by K. Faried,,55-69,,
7:26.0,K. Faried misses 2-pt shot from 2 ft (block by A. Gordon),,55-69,,
7:23.0,,,55-69,,Defensive rebound by E. Fournier
7:18.0,,,55-71,2,E. Fournier makes 2-pt shot from 1 ft (assist by B. Jennings)
7:06.0,,,55-71,,Personal foul by D. Dedmon
7:06.0,,,55-71,,J. Smith enters the game for D. Dedmon
6:57.0,N. Jokic misses 2-pt shot from 18 ft,,55-71,,
6:57.0,,,55-71,,Defensive rebound by Team
6:41.0,,,55-73,2,A. Gordon makes 2-pt shot from 1 ft (assist by B. Jennings)
6:21.0,D. Augustin misses 3-pt shot from 25 ft,,55-73,,
6:20.0,,,55-73,,Defensive rebound by V. Oladipo
6:08.0,,,55-73,,E. Fournier misses 3-pt shot from 24 ft
6:07.0,Defensive rebound by N. Jokic,,55-73,,
5:58.0,E. Mudiay makes 3-pt shot from 25 ft (assist by G. Harris),3,58-73,,
5:58.0,,,58-73,,Orlando full timeout
5:58.0,D. Arthur enters the game for K. Faried,,58-73,,
5:45.0,,,58-75,2,J. Smith makes 2-pt shot from 19 ft (assist by V. Oladipo)
5:29.0,D. Arthur makes 2-pt shot from 15 ft (assist by N. Jokic),2,60-75,,
5:22.0,,,60-75,,Turnover by V. Oladipo (offensive foul)
5:22.0,,,60-75,,Offensive foul by V. Oladipo
5:09.0,E. Mudiay makes 3-pt shot from 26 ft (assist by D. Augustin),3,63-75,,
4:42.0,,,63-75,,V. Oladipo misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by N. Jokic,,63-75,,
4:33.0,D. Arthur misses 2-pt shot from 2 ft,,63-75,,
4:32.0,,,63-75,,Defensive rebound by B. Jennings
4:26.0,,,63-77,2,V. Oladipo makes 2-pt shot from 2 ft (assist by B. Jennings)
4:26.0,,,63-77,,Shooting foul by D. Arthur (drawn by V. Oladipo)
4:26.0,J. Lauvergne enters the game for N. Jokic,,63-77,,
4:26.0,,,63-78,1,V. Oladipo makes free throw 1 of 1
4:17.0,,,63-78,,Personal foul by B. Jennings
4:11.0,J. Lauvergne misses 2-pt shot from 7 ft,,63-78,,
4:10.0,,,63-78,,Defensive rebound by J. Smith
4:00.0,,,63-81,3,B. Jennings makes 3-pt shot from 24 ft (assist by V. Oladipo)
3:59.0,Denver full timeout,,63-81,,
3:44.0,G. Harris misses 3-pt shot from 25 ft,,63-81,,
3:43.0,,,63-81,,Defensive rebound by J. Smith
3:31.0,,,63-81,,V. Oladipo misses 2-pt shot from 11 ft
3:29.0,Defensive rebound by J. Lauvergne,,63-81,,
3:18.0,Turnover by E. Mudiay (lost ball; steal by V. Oladipo),,63-81,,
3:10.0,,,63-81,,B. Jennings misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by Team,,63-81,,
3:09.0,W. Barton enters the game for E. Mudiay,,63-81,,
2:59.0,D. Augustin makes 3-pt shot from 24 ft,3,66-81,,
2:39.0,,,66-81,,J. Smith misses 2-pt shot from 19 ft
2:38.0,Defensive rebound by D. Augustin,,66-81,,
2:31.0,D. Augustin misses 2-pt shot from 2 ft,,66-81,,
2:29.0,Offensive rebound by J. Lauvergne,,66-81,,
2:29.0,J. Lauvergne makes 2-pt shot from 1 ft,2,68-81,,
2:10.0,,,68-81,,Turnover by A. Gordon (lost ball; steal by G. Harris)
2:06.0,Shooting foul by B. Jennings (drawn by G. Harris),,68-81,,
2:06.0,G. Harris makes free throw 1 of 2,1,69-81,,
2:06.0,,,69-81,,C. Watson enters the game for B. Jennings
2:06.0,,,69-81,,E. Ilyasova enters the game for V. Oladipo
2:06.0,,,69-81,,M. Hezonja enters the game for A. Gordon
2:06.0,G. Harris makes free throw 2 of 2,1,70-81,,
1:51.0,,,70-83,2,J. Smith makes 2-pt shot from 18 ft (assist by E. Fournier)
1:33.0,J. Lauvergne makes 2-pt shot from 2 ft (assist by D. Augustin),2,72-83,,
1:13.0,,,72-83,,Turnover by E. Ilyasova (bad pass)
0:59.0,D. Augustin makes 3-pt shot from 24 ft,3,75-83,,
0:41.0,,,75-85,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Ilyasova)
0:31.0,Turnover by G. Harris (lost ball),,75-85,,
0:12.0,,,75-85,,Turnover by M. Hezonja (lost ball; steal by D. Augustin)
0:09.0,Shooting foul by E. Ilyasova (drawn by D. Augustin),,75-85,,
0:09.0,D. Augustin makes free throw 1 of 2,1,76-85,,
0:09.0,D. Augustin makes free throw 2 of 2,1,77-85,,
0:05.0,,,77-85,,Turnover by M. Hezonja (lost ball; steal by G. Harris)
0:02.0,D. Arthur makes 2-pt shot at rim (assist by D. Augustin),2,79-85,,
0:00.0,,,79-85,,C. Watson misses 3-pt shot from 53 ft
0:00.0,,,79-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Shooting foul by C. Watson (drawn by D. Augustin),,79-85,,
11:49.0,D. Augustin makes free throw 1 of 3,1,80-85,,
11:49.0,D. Augustin makes free throw 2 of 3,1,81-85,,
11:49.0,D. Augustin makes free throw 3 of 3,1,82-85,,
11:26.0,,,82-87,2,J. Smith makes 2-pt shot from 7 ft
11:08.0,Turnover by D. Augustin (bad pass),,82-87,,
10:47.0,,,82-89,2,V. Oladipo makes 2-pt shot from 1 ft
10:28.0,D. Augustin misses 2-pt shot from 1 ft,,82-89,,
10:27.0,,,82-89,,Defensive rebound by J. Smith
10:15.0,,,82-89,,C. Watson misses 2-pt shot from 16 ft
10:14.0,Defensive rebound by D. Arthur,,82-89,,
10:04.0,W. Barton misses 3-pt shot from 25 ft,,82-89,,
10:02.0,,,82-89,,Defensive rebound by J. Smith
9:51.0,,,82-89,,M. Hezonja misses 3-pt shot from 28 ft
9:49.0,Defensive rebound by J. Lauvergne,,82-89,,
9:39.0,W. Barton makes 2-pt shot from 2 ft,2,84-89,,
9:25.0,Personal foul by J. Lauvergne,,84-89,,
9:15.0,,,84-91,2,J. Smith makes 2-pt shot from 20 ft (assist by C. Watson)
8:55.0,Shooting foul by M. Hezonja (drawn by W. Barton),,84-91,,
8:55.0,Official timeout,,84-91,,
8:55.0,,,84-91,,E. Fournier enters the game for M. Hezonja
8:55.0,W. Barton makes free throw 1 of 2,1,85-91,,
8:55.0,W. Barton misses free throw 2 of 2,,85-91,,
8:55.0,,,85-91,,Defensive rebound by E. Ilyasova
8:38.0,,,85-91,,Turnover by E. Fournier (lost ball; steal by D. Augustin)
8:19.0,D. Augustin misses 3-pt shot from 23 ft,,85-91,,
8:18.0,,,85-91,,Defensive rebound by E. Ilyasova
8:13.0,,,85-91,,E. Fournier misses 3-pt shot from 25 ft
8:11.0,,,85-91,,Offensive rebound by J. Smith
8:04.0,,,85-91,,Shooting foul by D. Arthur (drawn by V. Oladipo)
8:04.0,,,85-92,1,V. Oladipo makes free throw 1 of 2
8:04.0,,,85-92,,V. Oladipo misses free throw 2 of 2
8:03.0,Defensive rebound by W. Barton,,85-92,,
7:49.0,W. Barton makes 2-pt shot from 2 ft (assist by D. Augustin),2,87-92,,
7:36.0,,,87-92,,E. Fournier misses 2-pt shot from 2 ft
7:34.0,,,87-92,,Offensive rebound by J. Smith
7:34.0,,,87-94,2,J. Smith makes 2-pt shot at rim
7:23.0,D. Arthur misses 3-pt shot from 25 ft,,87-94,,
7:21.0,,,87-94,,Defensive rebound by C. Watson
7:02.0,,,87-94,,E. Fournier misses 2-pt shot from 2 ft
7:00.0,,,87-94,,Offensive rebound by J. Smith
6:47.0,,,87-96,2,E. Ilyasova makes 2-pt shot from 16 ft (assist by J. Smith)
6:47.0,,,87-96,,Shooting foul by D. Augustin (drawn by E. Ilyasova)
6:47.0,,,87-97,1,E. Ilyasova makes free throw 1 of 1
6:47.0,Personal foul by D. Arthur,,87-97,,
6:47.0,,,87-98,1,J. Smith makes free throw 1 of 1
6:33.0,D. Augustin misses 2-pt shot from 19 ft,,87-98,,
6:31.0,,,87-98,,Defensive rebound by V. Oladipo
6:25.0,,,87-100,2,V. Oladipo makes 2-pt shot from 1 ft
6:25.0,Denver full timeout,,87-100,,
6:25.0,E. Mudiay enters the game for J. Lauvergne,,87-100,,
6:25.0,N. Jokic enters the game for D. Arthur,,87-100,,
6:13.0,Turnover by N. Jokic (bad pass),,87-100,,
6:04.0,,,87-100,,Offensive foul by J. Smith
6:04.0,,,87-100,,Turnover by J. Smith (offensive foul)
5:57.0,,,87-100,,Personal foul by E. Fournier
5:50.0,E. Mudiay makes 2-pt shot from 11 ft,2,89-100,,
5:30.0,,,89-102,2,J. Smith makes 2-pt shot from 17 ft (assist by E. Fournier)
5:15.0,,,89-102,,Loose ball foul by V. Oladipo
5:09.0,E. Mudiay makes 2-pt shot from 16 ft,2,91-102,,
4:53.0,,,91-102,,J. Smith misses 2-pt shot from 18 ft
4:51.0,Defensive rebound by W. Barton,,91-102,,
4:44.0,Turnover by W. Barton (lost ball; steal by E. Ilyasova),,91-102,,
4:43.0,Personal foul by N. Jokic,,91-102,,
4:43.0,,,91-102,,Technical foul by E. Fournier
4:43.0,D. Augustin makes technical free throw,1,92-102,,
4:43.0,,,92-103,1,E. Fournier makes free throw 1 of 2
4:43.0,,,92-103,,E. Fournier misses free throw 2 of 2
4:42.0,Defensive rebound by W. Barton,,92-103,,
4:33.0,E. Mudiay makes 2-pt shot from 2 ft,2,94-103,,
4:15.0,,,94-103,,E. Fournier misses 2-pt shot from 2 ft (block by N. Jokic)
4:15.0,Defensive rebound by D. Augustin,,94-103,,
4:09.0,Shooting foul by V. Oladipo (drawn by G. Harris),,94-103,,
4:09.0,G. Harris makes free throw 1 of 2,1,95-103,,
4:09.0,,,95-103,,B. Jennings enters the game for C. Watson
4:09.0,G. Harris misses free throw 2 of 2,,95-103,,
4:08.0,,,95-103,,Defensive rebound by E. Ilyasova
3:57.0,,,95-105,2,J. Smith makes 2-pt shot from 19 ft (assist by B. Jennings)
3:43.0,G. Harris makes 3-pt shot from 26 ft (assist by E. Mudiay),3,98-105,,
3:25.0,,,98-105,,V. Oladipo misses 2-pt shot from 19 ft
3:24.0,,,98-105,,Offensive rebound by J. Smith
3:08.0,,,98-105,,V. Oladipo misses 2-pt shot from 18 ft
3:06.0,Defensive rebound by G. Harris,,98-105,,
2:48.0,N. Jokic misses 2-pt shot from 7 ft,,98-105,,
2:48.0,Offensive rebound by N. Jokic,,98-105,,
2:48.0,Shooting foul by V. Oladipo (drawn by N. Jokic),,98-105,,
2:48.0,,,98-105,,Orlando full timeout
2:48.0,,,98-105,,A. Gordon enters the game for E. Ilyasova
2:48.0,N. Jokic makes free throw 1 of 2,1,99-105,,
2:48.0,N. Jokic makes free throw 2 of 2,1,100-105,,
2:33.0,Personal foul by N. Jokic,,100-105,,
2:33.0,,,100-106,1,J. Smith makes free throw 1 of 2
2:33.0,,,100-107,1,J. Smith makes free throw 2 of 2
2:16.0,G. Harris misses 3-pt shot from 25 ft,,100-107,,
2:15.0,,,100-107,,Defensive rebound by J. Smith
2:05.0,Personal foul by N. Jokic,,100-107,,
2:05.0,Technical foul by D. Augustin,,100-107,,
2:05.0,,,100-107,,J. Smith misses technical free throw
2:05.0,,,100-107,,Offensive rebound by Team
2:05.0,,,100-108,1,J. Smith makes free throw 1 of 2
2:05.0,,,100-109,1,J. Smith makes free throw 2 of 2
1:55.0,E. Mudiay misses 2-pt shot from 7 ft,,100-109,,
1:54.0,,,100-109,,Defensive rebound by B. Jennings
1:30.0,,,100-109,,B. Jennings misses 3-pt shot from 25 ft
1:29.0,Defensive rebound by E. Mudiay,,100-109,,
1:19.0,N. Jokic makes 2-pt shot from 4 ft,2,102-109,,
1:19.0,Shooting foul by J. Smith (drawn by N. Jokic),,102-109,,
1:19.0,N. Jokic makes free throw 1 of 1,1,103-109,,
1:08.0,Jump ball: W. Barton vs. V. Oladipo (A. Gordon gains possession),,,,Jump ball: W. Barton vs. V. Oladipo (A. Gordon gains possession)
1:00.0,Personal foul by E. Mudiay,,103-109,,
1:00.0,,,103-110,1,E. Fournier makes free throw 1 of 2
1:00.0,,,103-111,1,E. Fournier makes free throw 2 of 2
1:00.0,Denver full timeout,,103-111,,
1:00.0,D. Arthur enters the game for W. Barton,,103-111,,
0:55.0,G. Harris makes 2-pt shot from 1 ft (assist by E. Mudiay),2,105-111,,
0:36.0,,,105-111,,V. Oladipo misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by N. Jokic,,105-111,,
0:28.0,E. Mudiay misses 2-pt shot from 5 ft,,105-111,,
0:27.0,,,105-111,,Defensive rebound by J. Smith
0:24.0,Personal take foul by D. Augustin,,105-111,,
0:24.0,,,105-112,1,B. Jennings makes free throw 1 of 2
0:24.0,,,105-113,1,B. Jennings makes free throw 2 of 2
0:24.0,Denver full timeout,,105-113,,
0:18.0,D. Arthur makes 3-pt shot from 24 ft (assist by G. Harris),3,108-113,,
0:16.0,Personal take foul by G. Harris,,108-113,,
0:16.0,,,108-113,,B. Jennings misses free throw 1 of 2
0:16.0,,,108-113,,Offensive rebound by Team
0:16.0,,,108-114,1,B. Jennings makes free throw 2 of 2
0:10.0,Shooting foul by J. Smith (drawn by E. Mudiay),,108-114,,
0:10.0,E. Mudiay makes free throw 1 of 2,1,109-114,,
