time,Philadelphia,pts.away,score,pts.home,Brooklyn
7:51.0,Philadelphia full timeout,,5-12,,
7:37.0,C. Landry misses 3-pt shot from 24 ft,,5-12,,
7:36.0,,,5-12,,Defensive rebound by T. Young
7:22.0,,,5-12,,T. Young misses 2-pt shot from 4 ft
7:21.0,Defensive rebound by C. Landry,,5-12,,
7:12.0,N. Noel misses 2-pt shot from 18 ft,,5-12,,
7:10.0,,,5-12,,Defensive rebound by T. Young
6:54.0,,,5-14,2,B. Lopez makes 2-pt shot from 4 ft (assist by W. Ellington)
6:35.0,N. Noel misses 2-pt shot from 11 ft,,5-14,,
6:34.0,,,5-14,,Defensive rebound by T. Young
6:21.0,,,5-14,,B. Lopez misses 2-pt shot from 18 ft
6:20.0,Defensive rebound by N. Noel,,5-14,,
6:08.0,I. Canaan misses 3-pt shot from 26 ft,,5-14,,
6:06.0,Offensive rebound by N. Noel,,5-14,,
5:59.0,,,5-14,,Personal block foul by T. Young
5:59.0,E. Brand enters the game for C. Landry,,5-14,,
5:59.0,N. Stauskas enters the game for H. Thompson,,5-14,,
5:51.0,Turnover by I. Canaan (lost ball; steal by D. Sloan),,5-14,,
5:43.0,,,5-14,,T. Young misses 2-pt shot from 2 ft
5:42.0,Defensive rebound by I. Canaan,,5-14,,
5:33.0,I. Canaan misses 3-pt shot from 23 ft,,5-14,,
5:32.0,,,5-14,,Defensive rebound by T. Young
5:26.0,,,5-14,,W. Ellington misses 3-pt shot from 23 ft
5:25.0,,,5-14,,Offensive rebound by W. Ellington
5:20.0,,,5-17,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by W. Ellington)
5:03.0,Turnover by N. Stauskas (lost ball; steal by W. Ellington),,5-17,,
4:58.0,,,5-19,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by W. Ellington)
4:41.0,Shooting foul by W. Ellington (drawn by I. Canaan),,5-19,,
4:41.0,I. Canaan makes free throw 1 of 2,1,6-19,,
4:41.0,K. Marshall enters the game for N. Noel,,6-19,,
4:41.0,I. Canaan makes free throw 2 of 2,1,7-19,,
4:26.0,,,7-19,,B. Lopez misses 2-pt shot from 8 ft
4:25.0,Defensive rebound by N. Stauskas,,7-19,,
4:14.0,E. Brand misses 2-pt shot from 14 ft,,7-19,,
4:13.0,,,7-19,,Defensive rebound by T. Young
4:07.0,,,7-19,,D. Sloan misses 2-pt shot from 3 ft
4:06.0,Defensive rebound by Team,,7-19,,
4:06.0,,,7-19,,Loose ball foul by T. Young
3:54.0,N. Stauskas misses 3-pt shot from 24 ft,,7-19,,
3:53.0,,,7-19,,Defensive rebound by D. Sloan
3:40.0,,,7-19,,W. Ellington misses 3-pt shot from 24 ft
3:39.0,,,7-19,,Offensive rebound by T. Young
3:32.0,,,7-21,2,T. Young makes 2-pt shot from 3 ft (assist by B. Lopez)
3:20.0,I. Smith misses 2-pt shot from 2 ft,,7-21,,
3:19.0,Offensive rebound by I. Smith,,7-21,,
3:14.0,I. Smith makes 2-pt shot from 5 ft,2,9-21,,
2:56.0,,,9-24,3,W. Ellington makes 3-pt shot from 23 ft (assist by T. Young)
2:49.0,I. Smith makes 2-pt shot from 6 ft,2,11-24,,
2:49.0,Shooting foul by D. Sloan (drawn by I. Smith),,11-24,,
2:49.0,,,11-24,,Brooklyn full timeout
2:49.0,H. Thompson enters the game for I. Canaan,,11-24,,
2:49.0,,,11-24,,M. Brown enters the game for W. Ellington
2:49.0,I. Smith misses free throw 1 of 1,,11-24,,
2:48.0,,,11-24,,Defensive rebound by B. Bogdanovic
2:29.0,,,11-27,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by T. Young)
2:14.0,I. Smith misses 2-pt shot from 15 ft,,11-27,,
2:13.0,,,11-27,,Defensive rebound by B. Bogdanovic
2:03.0,,,11-27,,Shooting foul by I. Smith (drawn by D. Sloan)
2:03.0,,,11-27,,D. Sloan misses free throw 1 of 2
2:03.0,,,11-27,,Offensive rebound by Team
2:03.0,T. McConnell enters the game for I. Smith,,11-27,,
2:03.0,,,11-27,,T. Robinson enters the game for T. Young
2:03.0,,,11-27,,S. Kilpatrick enters the game for B. Bogdanovic
2:03.0,,,11-28,1,D. Sloan makes free throw 2 of 2
1:46.0,E. Brand misses 2-pt shot at rim,,11-28,,
1:45.0,,,11-28,,Defensive rebound by M. Brown
1:29.0,,,11-28,,S. Kilpatrick misses 2-pt shot from 14 ft
1:28.0,Defensive rebound by K. Marshall,,11-28,,
1:20.0,K. Marshall misses 2-pt shot from 20 ft,,11-28,,
1:19.0,,,11-28,,Defensive rebound by M. Brown
1:11.0,,,11-28,,Offensive foul by T. Robinson
1:11.0,,,11-28,,Turnover by T. Robinson (offensive foul)
1:11.0,N. Noel enters the game for E. Brand,,11-28,,
1:11.0,,,11-28,,C. McCullough enters the game for B. Lopez
1:02.0,Turnover by T. McConnell (lost ball; steal by C. McCullough),,11-28,,
0:59.0,,,11-28,,Turnover by M. Brown (lost ball; steal by T. McConnell)
0:55.0,T. McConnell misses 3-pt shot from 23 ft,,11-28,,
0:54.0,Offensive rebound by N. Noel,,11-28,,
0:53.0,N. Noel makes 2-pt shot at rim,2,13-28,,
0:40.0,,,13-30,2,M. Brown makes 2-pt shot from 1 ft
0:23.0,N. Stauskas makes 2-pt shot from 1 ft,2,15-30,,
0:06.0,,,15-30,,Shooting foul by K. Marshall (drawn by D. Sloan)
0:06.0,,,15-31,1,D. Sloan makes free throw 1 of 2
0:06.0,,,15-32,1,D. Sloan makes free throw 2 of 2
0:02.0,H. Thompson misses 3-pt shot from 25 ft,,15-32,,
0:00.0,,,15-32,,Defensive rebound by C. McCullough
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Shooting foul by C. McCullough (drawn by N. Noel),,15-32,,
11:45.0,N. Noel makes free throw 1 of 2,1,16-32,,
11:45.0,C. Landry enters the game for K. Marshall,,16-32,,
11:45.0,N. Noel makes free throw 2 of 2,1,17-32,,
11:29.0,,,17-32,,Shooting foul by S. Weems (drawn by S. Kilpatrick)
11:29.0,,,17-33,1,S. Kilpatrick makes free throw 1 of 2
11:29.0,,,17-34,1,S. Kilpatrick makes free throw 2 of 2
11:16.0,N. Noel makes 2-pt shot at rim (assist by C. Landry),2,19-34,,
11:02.0,,,19-34,,T. Robinson misses 2-pt shot from 2 ft (block by N. Noel)
11:01.0,,,19-34,,Offensive rebound by Team
10:55.0,,,19-34,,Shooting foul by T. McConnell (drawn by C. McCullough)
10:55.0,,,19-35,1,C. McCullough makes free throw 1 of 2
10:55.0,,,19-35,,C. McCullough misses free throw 2 of 2
10:54.0,Defensive rebound by C. Landry,,19-35,,
10:43.0,Turnover by N. Noel (bad pass),,19-35,,
10:27.0,,,19-35,,S. Kilpatrick misses 3-pt shot from 25 ft
10:26.0,,,19-35,,Offensive rebound by T. Robinson
10:23.0,,,19-35,,S. Larkin misses 2-pt shot from 20 ft
10:22.0,,,19-35,,Offensive rebound by S. Kilpatrick
10:21.0,,,19-35,,Shooting foul by N. Noel (drawn by S. Kilpatrick)
10:21.0,,,19-36,1,S. Kilpatrick makes free throw 1 of 2
10:21.0,,,19-37,1,S. Kilpatrick makes free throw 2 of 2
10:13.0,Turnover by T. McConnell (lost ball; steal by S. Larkin),,19-37,,
10:06.0,,,19-39,2,M. Brown makes 2-pt shot from 18 ft
10:06.0,Philadelphia full timeout,,19-39,,
10:06.0,I. Canaan enters the game for N. Stauskas,,19-39,,
9:44.0,T. McConnell makes 2-pt shot from 9 ft,2,21-39,,
9:29.0,,,21-41,2,S. Larkin makes 2-pt shot from 2 ft
9:11.0,I. Canaan makes 3-pt shot from 24 ft (assist by C. Landry),3,24-41,,
8:54.0,,,24-41,,Shooting foul by C. Landry (drawn by M. Brown)
8:54.0,,,24-42,1,M. Brown makes free throw 1 of 2
8:54.0,,,24-43,1,M. Brown makes free throw 2 of 2
8:46.0,,,24-43,,Flagrant foul type 1 by T. Robinson
8:46.0,C. Landry makes flagrant free throw 1 of 2,1,25-43,,
8:46.0,C. Landry makes flagrant free throw 2 of 2,1,26-43,,
8:45.0,Turnover by S. Weems (lost ball; steal by S. Larkin),,26-43,,
8:42.0,,,26-45,2,S. Larkin makes 2-pt shot from 1 ft
8:18.0,C. Landry makes 2-pt shot from 1 ft (assist by T. McConnell),2,28-45,,
8:18.0,Shooting foul by T. Robinson (drawn by C. Landry),,28-45,,
8:18.0,,,28-45,,T. Young enters the game for T. Robinson
8:18.0,H. Thompson enters the game for S. Weems,,28-45,,
8:18.0,C. Landry misses free throw 1 of 1,,28-45,,
8:17.0,,,28-45,,Defensive rebound by S. Kilpatrick
8:01.0,,,28-47,2,S. Kilpatrick makes 2-pt shot from 22 ft
7:38.0,I. Canaan makes 3-pt shot from 26 ft (assist by C. Landry),3,31-47,,
7:25.0,,,31-47,,C. McCullough misses 2-pt shot from 9 ft
7:24.0,,,31-47,,Offensive rebound by T. Young
7:22.0,,,31-49,2,T. Young makes 2-pt shot from 8 ft
7:01.0,T. McConnell misses 2-pt shot from 8 ft (block by T. Young),,31-49,,
7:00.0,Offensive rebound by C. Landry,,31-49,,
6:59.0,C. Landry misses 2-pt shot at rim,,31-49,,
6:58.0,,,31-49,,Defensive rebound by T. Young
6:53.0,,,31-49,,M. Brown misses 2-pt shot from 20 ft
6:52.0,Defensive rebound by N. Noel,,31-49,,
6:51.0,I. Smith enters the game for T. McConnell,,31-49,,
6:51.0,Jump ball: N. Noel vs. T. Young (C. Landry gains possession),,,,Jump ball: N. Noel vs. T. Young (C. Landry gains possession)
6:34.0,Shooting foul by C. McCullough (drawn by N. Noel),,31-49,,
6:34.0,N. Noel misses free throw 1 of 2,,31-49,,
6:34.0,Offensive rebound by Team,,31-49,,
6:34.0,,,31-49,,B. Lopez enters the game for C. McCullough
6:34.0,K. Marshall enters the game for C. Landry,,31-49,,
6:34.0,N. Noel misses free throw 2 of 2,,31-49,,
6:33.0,,,31-49,,Defensive rebound by S. Kilpatrick
6:15.0,,,31-49,,B. Lopez misses 2-pt shot from 5 ft
6:14.0,,,31-49,,Offensive rebound by Team
6:14.0,Loose ball foul by K. Marshall,,31-49,,
6:14.0,,,31-50,1,T. Young makes free throw 1 of 2
6:14.0,,,31-51,1,T. Young makes free throw 2 of 2
5:50.0,I. Smith misses 3-pt shot from 25 ft,,31-51,,
5:49.0,Offensive rebound by N. Noel,,31-51,,
5:47.0,N. Noel makes 2-pt shot from 2 ft,2,33-51,,
5:29.0,,,33-51,,S. Kilpatrick misses 2-pt shot from 9 ft
5:28.0,Defensive rebound by Team,,33-51,,
5:28.0,,,33-51,,Loose ball foul by T. Young
5:28.0,Official timeout,,33-51,,
5:28.0,,,33-51,,B. Bogdanovic enters the game for S. Kilpatrick
5:28.0,,,33-51,,S. Karasev enters the game for T. Young
5:28.0,I. Smith makes free throw 1 of 2,1,34-51,,
5:28.0,I. Smith makes free throw 2 of 2,1,35-51,,
5:18.0,,,35-51,,Shooting foul by N. Noel (drawn by S. Larkin)
5:18.0,,,35-52,1,S. Larkin makes free throw 1 of 2
5:18.0,,,35-53,1,S. Larkin makes free throw 2 of 2
5:06.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,37-53,,
4:54.0,,,37-53,,B. Lopez misses 2-pt shot from 11 ft
4:53.0,Defensive rebound by I. Smith,,37-53,,
4:47.0,Turnover by K. Marshall (lost ball; steal by M. Brown),,37-53,,
4:42.0,,,37-55,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by M. Brown)
4:27.0,Turnover by N. Noel (lost ball; steal by B. Lopez),,37-55,,
4:23.0,,,37-55,,Shooting foul by N. Noel (drawn by M. Brown)
4:23.0,,,37-56,1,M. Brown makes free throw 1 of 2
4:23.0,E. Brand enters the game for N. Noel,,37-56,,
4:23.0,N. Stauskas enters the game for I. Canaan,,37-56,,
4:23.0,,,37-57,1,M. Brown makes free throw 2 of 2
4:02.0,N. Stauskas misses 2-pt shot from 6 ft,,37-57,,
4:01.0,,,37-57,,Defensive rebound by B. Lopez
3:52.0,,,37-57,,Turnover by B. Bogdanovic (3 sec)
3:38.0,N. Stauskas makes 2-pt shot at rim (assist by E. Brand),2,39-57,,
3:38.0,Shooting foul by B. Lopez (drawn by N. Stauskas),,39-57,,
3:38.0,N. Stauskas makes free throw 1 of 1,1,40-57,,
3:27.0,,,40-57,,S. Larkin misses 2-pt shot from 5 ft
3:26.0,,,40-57,,Offensive rebound by B. Lopez
3:24.0,,,40-59,2,B. Lopez makes 2-pt shot at rim
3:16.0,N. Stauskas misses 2-pt shot at rim,,40-59,,
3:15.0,,,40-59,,Defensive rebound by B. Lopez
3:08.0,,,40-61,2,S. Larkin makes 2-pt shot from 1 ft
2:50.0,H. Thompson misses 3-pt shot from 25 ft,,40-61,,
2:49.0,,,40-61,,Defensive rebound by S. Karasev
2:45.0,,,40-63,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by S. Karasev)
2:33.0,E. Brand makes 2-pt shot from 16 ft (assist by I. Smith),2,42-63,,
2:24.0,,,42-63,,Turnover by B. Bogdanovic (traveling)
2:24.0,,,42-63,,Brooklyn full timeout
2:24.0,T. McConnell enters the game for K. Marshall,,42-63,,
2:14.0,Shooting foul by M. Brown (drawn by I. Smith),,42-63,,
2:14.0,I. Smith makes free throw 1 of 2,1,43-63,,
2:14.0,I. Smith makes free throw 2 of 2,1,44-63,,
1:54.0,,,44-65,2,B. Lopez makes 2-pt shot from 1 ft
1:44.0,I. Smith misses 3-pt shot from 24 ft,,44-65,,
1:43.0,,,44-65,,Defensive rebound by Team
1:28.0,,,44-65,,S. Karasev misses 3-pt shot from 23 ft
1:26.0,Defensive rebound by T. McConnell,,44-65,,
1:12.0,N. Stauskas makes 3-pt shot from 24 ft (assist by E. Brand),3,47-65,,
0:58.0,,,47-68,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by S. Larkin)
0:49.0,E. Brand makes 2-pt shot from 13 ft (assist by I. Smith),2,49-68,,
0:38.0,,,49-68,,Shooting foul by N. Stauskas (drawn by B. Lopez)
0:38.0,,,49-69,1,B. Lopez makes free throw 1 of 2
0:38.0,,,49-69,,B. Lopez misses free throw 2 of 2
0:37.0,Defensive rebound by H. Thompson,,49-69,,
0:29.0,Turnover by I. Smith (lost ball; steal by S. Karasev),,49-69,,
0:24.0,,,49-69,,B. Bogdanovic misses 3-pt shot from 24 ft
0:22.0,,,49-69,,Offensive rebound by B. Lopez
0:22.0,,,49-71,2,B. Lopez makes 2-pt shot at rim
0:22.0,Philadelphia full timeout,,49-71,,
0:22.0,,,49-71,,S. Kilpatrick enters the game for B. Lopez
0:02.0,E. Brand misses 2-pt shot from 6 ft,,49-71,,
0:01.0,Offensive rebound by T. McConnell,,49-71,,
0:00.0,T. McConnell makes 2-pt shot from 1 ft,2,51-71,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Turnover by N. Noel (lost ball),,51-71,,
11:26.0,,,51-71,,B. Lopez misses 2-pt shot from 1 ft
11:25.0,Defensive rebound by C. Landry,,51-71,,
11:13.0,K. Marshall makes 2-pt shot from 21 ft,2,53-71,,
10:53.0,,,53-71,,Shooting foul by K. Marshall (drawn by B. Bogdanovic)
10:53.0,,,53-72,1,B. Bogdanovic makes free throw 1 of 2
10:53.0,,,53-73,1,B. Bogdanovic makes free throw 2 of 2
10:45.0,Turnover by I. Smith (lost ball; steal by W. Ellington),,53-73,,
10:39.0,,,53-73,,B. Bogdanovic misses 2-pt shot from 1 ft (block by C. Landry)
10:38.0,Defensive rebound by C. Landry,,53-73,,
10:18.0,N. Noel misses 2-pt shot from 13 ft,,53-73,,
10:17.0,,,53-73,,Defensive rebound by W. Ellington
10:07.0,,,53-75,2,B. Bogdanovic makes 2-pt shot from 11 ft
9:53.0,I. Canaan makes 3-pt shot from 24 ft (assist by N. Noel),3,56-75,,
9:31.0,,,56-77,2,W. Ellington makes 2-pt shot from 11 ft
9:14.0,N. Noel makes 2-pt shot at rim (assist by I. Canaan),2,58-77,,
9:01.0,,,58-79,2,D. Sloan makes 2-pt shot at rim
8:44.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,60-79,,
8:20.0,,,60-82,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by B. Lopez)
7:58.0,N. Noel misses 2-pt shot from 3 ft,,60-82,,
7:57.0,,,60-82,,Defensive rebound by T. Young
7:45.0,,,60-84,2,B. Lopez makes 2-pt shot from 17 ft (assist by D. Sloan)
7:33.0,K. Marshall makes 2-pt shot at rim (assist by C. Landry),2,62-84,,
7:24.0,,,62-84,,B. Bogdanovic misses 2-pt shot at rim (block by K. Marshall)
7:23.0,,,62-84,,Offensive rebound by B. Bogdanovic
7:21.0,,,62-86,2,B. Bogdanovic makes 2-pt shot from 1 ft
7:01.0,C. Landry misses 2-pt shot from 18 ft,,62-86,,
7:00.0,Offensive rebound by I. Canaan,,62-86,,
6:47.0,I. Smith makes 2-pt shot from 3 ft,2,64-86,,
6:42.0,Personal foul by I. Canaan,,64-86,,
6:42.0,S. Weems enters the game for K. Marshall,,64-86,,
6:42.0,E. Brand enters the game for N. Noel,,64-86,,
6:32.0,,,64-86,,Turnover by D. Sloan (lost ball; steal by C. Landry)
6:08.0,I. Smith makes 3-pt shot from 24 ft (assist by E. Brand),3,67-86,,
6:07.0,,,67-86,,Brooklyn full timeout
6:07.0,N. Stauskas enters the game for I. Canaan,,67-86,,
6:05.0,Personal foul by C. Landry,,67-86,,
5:57.0,,,67-86,,W. Ellington misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by C. Landry,,67-86,,
5:46.0,S. Weems misses 2-pt shot from 12 ft,,67-86,,
5:45.0,,,67-86,,Defensive rebound by W. Ellington
5:30.0,,,67-88,2,D. Sloan makes 2-pt shot at rim (assist by B. Lopez)
5:07.0,S. Weems misses 3-pt shot from 22 ft,,67-88,,
5:06.0,,,67-88,,Defensive rebound by B. Lopez
5:05.0,,,67-88,,Turnover by B. Lopez (lost ball; steal by N. Stauskas)
5:03.0,Shooting foul by B. Lopez (drawn by N. Stauskas),,67-88,,
5:03.0,N. Stauskas makes free throw 1 of 2,1,68-88,,
5:03.0,H. Thompson enters the game for C. Landry,,68-88,,
5:03.0,N. Stauskas makes free throw 2 of 2,1,69-88,,
4:46.0,,,69-88,,W. Ellington misses 3-pt shot from 22 ft
4:45.0,Defensive rebound by H. Thompson,,69-88,,
4:39.0,,,69-88,,Personal foul by B. Bogdanovic
4:39.0,,,69-88,,M. Brown enters the game for W. Ellington
4:25.0,E. Brand misses 2-pt shot from 11 ft,,69-88,,
4:24.0,,,69-88,,Defensive rebound by Team
4:19.0,Personal foul by E. Brand,,69-88,,
4:14.0,,,69-90,2,D. Sloan makes 2-pt shot from 2 ft
4:00.0,H. Thompson misses 3-pt shot from 24 ft,,69-90,,
3:59.0,,,69-90,,Defensive rebound by D. Sloan
3:56.0,,,69-92,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Sloan)
3:56.0,Philadelphia full timeout,,69-92,,
3:56.0,T. McConnell enters the game for S. Weems,,69-92,,
3:56.0,I. Canaan enters the game for I. Smith,,69-92,,
3:36.0,H. Thompson makes 3-pt shot from 24 ft (assist by T. McConnell),3,72-92,,
3:20.0,,,72-92,,Shooting foul by E. Brand (drawn by B. Bogdanovic)
3:20.0,,,72-92,,B. Bogdanovic misses free throw 1 of 2
3:20.0,,,72-92,,Offensive rebound by Team
3:20.0,N. Noel enters the game for E. Brand,,72-92,,
3:20.0,,,72-93,1,B. Bogdanovic makes free throw 2 of 2
3:08.0,Turnover by T. McConnell (lost ball; steal by T. Young),,72-93,,
3:04.0,,,72-95,2,B. Bogdanovic makes 2-pt shot at rim (assist by D. Sloan)
2:52.0,N. Stauskas makes 3-pt shot from 24 ft (assist by T. McConnell),3,75-95,,
2:35.0,,,75-95,,Turnover by M. Brown (lost ball; steal by N. Stauskas)
2:26.0,I. Canaan misses 3-pt shot from 24 ft,,75-95,,
2:25.0,Offensive rebound by N. Stauskas,,75-95,,
2:18.0,Shooting foul by M. Brown (drawn by I. Canaan),,75-95,,
2:18.0,I. Canaan makes free throw 1 of 2,1,76-95,,
2:18.0,,,76-95,,S. Kilpatrick enters the game for B. Bogdanovic
2:18.0,I. Canaan makes free throw 2 of 2,1,77-95,,
1:57.0,,,77-95,,B. Lopez misses 2-pt shot from 2 ft
1:56.0,Defensive rebound by H. Thompson,,77-95,,
1:47.0,Turnover by H. Thompson (lost ball),,77-95,,
1:29.0,,,77-95,,Offensive foul by B. Lopez
1:29.0,,,77-95,,Turnover by B. Lopez (offensive foul)
1:17.0,Shooting foul by T. Young (drawn by H. Thompson),,77-95,,
1:17.0,H. Thompson makes 2-pt shot from 2 ft,2,79-95,,
1:17.0,H. Thompson makes free throw 1 of 1,1,80-95,,
1:02.0,,,80-95,,Shooting foul by N. Noel (drawn by T. Young)
1:02.0,,,80-96,1,T. Young makes free throw 1 of 2
1:02.0,,,80-97,1,T. Young makes free throw 2 of 2
0:51.0,T. McConnell misses 2-pt shot from 2 ft,,80-97,,
0:50.0,,,80-97,,Defensive rebound by T. Young
0:46.0,,,80-100,3,S. Kilpatrick makes 3-pt shot from 24 ft
0:42.0,N. Noel misses 2-pt shot at rim,,80-100,,
0:41.0,,,80-100,,Defensive rebound by T. Young
0:33.0,,,80-100,,M. Brown misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by T. McConnell,,80-100,,
0:23.0,I. Canaan makes 3-pt shot from 23 ft,3,83-100,,
0:02.0,,,83-100,,D. Sloan misses 3-pt shot from 24 ft
0:00.0,,,83-100,,Offensive rebound by B. Lopez
0:00.0,,,83-100,,B. Lopez misses 2-pt shot from 2 ft
0:00.0,,,83-100,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,83-100,,M. Brown misses 2-pt shot from 21 ft
11:45.0,Defensive rebound by T. McConnell,,83-100,,
11:31.0,Turnover by N. Noel (lost ball; steal by S. Larkin),,83-100,,
11:25.0,,,83-102,2,S. Kilpatrick makes 2-pt shot from 2 ft (assist by S. Larkin)
11:06.0,N. Stauskas misses 3-pt shot from 22 ft,,83-102,,
11:05.0,,,83-102,,Defensive rebound by M. Brown
11:00.0,,,83-104,2,B. Bogdanovic makes 2-pt shot from 19 ft (assist by M. Brown)
10:48.0,,,83-104,,Def 3 sec tech foul by B. Bogdanovic
10:48.0,I. Canaan makes technical free throw,1,84-104,,
10:48.0,C. Landry enters the game for N. Noel,,84-104,,
10:37.0,H. Thompson makes 3-pt shot from 23 ft (assist by T. McConnell),3,87-104,,
10:20.0,,,87-104,,M. Brown misses 3-pt shot from 24 ft
10:19.0,Defensive rebound by N. Stauskas,,87-104,,
10:13.0,I. Canaan makes 3-pt shot from 25 ft (assist by T. McConnell),3,90-104,,
10:13.0,,,90-104,,Brooklyn full timeout
10:01.0,,,90-104,,B. Bogdanovic misses 3-pt shot from 23 ft
10:00.0,Defensive rebound by N. Stauskas,,90-104,,
9:54.0,T. McConnell makes 2-pt shot from 4 ft,2,92-104,,
9:41.0,,,92-104,,Turnover by T. Robinson (lost ball)
9:29.0,N. Stauskas makes 2-pt shot from 1 ft (assist by H. Thompson),2,94-104,,
9:21.0,,,94-104,,Brooklyn full timeout
9:21.0,,,94-104,,B. Lopez enters the game for T. Robinson
9:21.0,,,94-104,,T. Young enters the game for M. Brown
9:10.0,,,94-106,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by S. Kilpatrick)
8:54.0,C. Landry makes 2-pt shot from 10 ft (assist by H. Thompson),2,96-106,,
8:39.0,,,96-106,,B. Bogdanovic misses 2-pt shot from 6 ft
8:38.0,Defensive rebound by N. Stauskas,,96-106,,
8:28.0,I. Canaan misses 3-pt shot from 25 ft,,96-106,,
8:27.0,,,96-106,,Defensive rebound by B. Bogdanovic
8:15.0,,,96-108,2,T. Young makes 2-pt shot from 1 ft
8:15.0,Philadelphia full timeout,,96-108,,
8:15.0,I. Smith enters the game for T. McConnell,,96-108,,
8:05.0,H. Thompson makes 2-pt shot from 2 ft (assist by I. Smith),2,98-108,,
8:05.0,Shooting foul by T. Young (drawn by H. Thompson),,98-108,,
8:05.0,H. Thompson makes free throw 1 of 1,1,99-108,,
7:49.0,,,99-110,2,S. Larkin makes 2-pt shot at rim (assist by B. Lopez)
7:28.0,N. Stauskas misses 3-pt shot from 24 ft,,99-110,,
7:27.0,,,99-110,,Defensive rebound by T. Young
7:15.0,,,99-110,,B. Bogdanovic misses 3-pt shot from 23 ft (block by N. Stauskas)
7:14.0,Defensive rebound by N. Stauskas,,99-110,,
7:08.0,N. Stauskas misses 2-pt shot from 2 ft (block by T. Young),,99-110,,
7:06.0,,,99-110,,Defensive rebound by B. Bogdanovic
7:03.0,Personal foul by I. Canaan,,99-110,,
7:00.0,K. Marshall enters the game for I. Canaan,,99-110,,
6:53.0,,,99-112,2,B. Bogdanovic makes 2-pt shot from 8 ft
