time,Denver,pts.away,score,pts.home,Minnesota
1:45.0,K. Faried misses 2-pt shot from 4 ft,,23-19,,
1:44.0,,,23-19,,Defensive rebound by G. Dieng
1:36.0,,,23-21,2,A. Wiggins makes 2-pt shot from 2 ft (assist by Z. LaVine)
1:36.0,,,23-21,,Shooting foul by W. Barton (drawn by A. Wiggins)
1:36.0,Denver full timeout,,23-21,,
1:36.0,N. Jokic enters the game for K. Faried,,23-21,,
1:36.0,,,23-22,1,A. Wiggins makes free throw 1 of 1
1:27.0,Shooting foul by G. Dieng (drawn by D. Gallinari),,23-22,,
1:27.0,D. Gallinari makes free throw 1 of 2,1,24-22,,
1:27.0,D. Gallinari makes free throw 2 of 2,1,25-22,,
1:10.0,,,25-22,,Z. LaVine misses 2-pt shot at rim
1:08.0,Defensive rebound by R. Foye,,25-22,,
1:03.0,Turnover by D. Arthur (lost ball),,25-22,,
1:03.0,,,25-22,,S. Muhammad enters the game for A. Wiggins
1:03.0,K. Papanikolaou enters the game for D. Gallinari,,25-22,,
0:50.0,,,25-22,,Turnover by Z. LaVine (lost ball; steal by R. Foye)
0:37.0,D. Arthur makes 2-pt shot from 8 ft (assist by W. Barton),2,27-22,,
0:15.0,,,27-22,,S. Muhammad misses 2-pt shot from 18 ft
0:14.0,Defensive rebound by W. Barton,,27-22,,
0:02.0,Turnover by W. Barton (lost ball; steal by T. Prince),,27-22,,
0:00.0,,,27-24,2,Z. LaVine makes 2-pt shot from 17 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,27-24,,Turnover by S. Muhammad (bad pass; steal by N. Jokic)
11:26.0,R. Foye makes 3-pt shot from 24 ft (assist by W. Barton),3,30-24,,
11:14.0,,,30-27,3,Z. LaVine makes 3-pt shot from 25 ft
10:58.0,R. Foye makes 3-pt shot from 23 ft (assist by K. Papanikolaou),3,33-27,,
10:42.0,,,33-29,2,Z. LaVine makes 2-pt shot from 19 ft
10:17.0,K. Papanikolaou makes 2-pt shot from 15 ft,2,35-29,,
10:01.0,,,35-29,,S. Muhammad misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by W. Barton,,35-29,,
9:49.0,D. Arthur makes 2-pt shot from 15 ft (assist by R. Foye),2,37-29,,
9:38.0,,,37-29,,Minnesota full timeout
9:38.0,M. Miller enters the game for D. Arthur,,37-29,,
9:27.0,,,37-31,2,Z. LaVine makes 2-pt shot from 2 ft
9:08.0,Turnover by R. Foye (bad pass; steal by G. Dieng),,37-31,,
9:06.0,,,37-31,,Shooting foul by M. Miller (drawn by Z. LaVine)
9:06.0,,,37-32,1,Z. LaVine makes free throw 1 of 2
9:06.0,,,37-32,,D. Rudez enters the game for N. Bjelica
9:06.0,,,37-33,1,Z. LaVine makes free throw 2 of 2
8:58.0,W. Barton misses 2-pt shot from 8 ft,,37-33,,
8:56.0,Offensive rebound by W. Barton,,37-33,,
8:55.0,W. Barton misses 2-pt shot from 2 ft,,37-33,,
8:54.0,Offensive rebound by Team,,37-33,,
8:39.0,W. Barton misses 2-pt shot from 3 ft (block by G. Dieng),,37-33,,
8:38.0,,,37-33,,Defensive rebound by G. Dieng
8:31.0,,,37-35,2,T. Prince makes 2-pt shot at rim (assist by Z. LaVine)
8:28.0,Denver full timeout,,37-35,,
8:18.0,K. Papanikolaou makes 2-pt shot at rim (assist by W. Barton),2,39-35,,
8:02.0,,,39-35,,Z. LaVine misses 2-pt shot from 19 ft
8:01.0,Defensive rebound by R. Foye,,39-35,,
7:51.0,,,39-35,,Personal foul by G. Dieng (drawn by N. Jokic)
7:39.0,N. Jokic makes 2-pt shot from 1 ft (assist by K. Papanikolaou),2,41-35,,
7:25.0,,,41-37,2,S. Muhammad makes 2-pt shot from 18 ft (assist by Z. LaVine)
7:07.0,K. Papanikolaou misses 2-pt shot from 16 ft,,41-37,,
7:05.0,Offensive rebound by N. Jokic,,41-37,,
7:02.0,M. Miller misses 3-pt shot from 24 ft,,41-37,,
7:01.0,,,41-37,,Defensive rebound by G. Dieng
6:49.0,Personal foul by K. Papanikolaou (drawn by Z. LaVine),,41-37,,
6:39.0,,,41-37,,S. Muhammad misses 2-pt shot from 12 ft
6:38.0,Defensive rebound by W. Barton,,41-37,,
6:22.0,N. Jokic makes 2-pt shot from 7 ft,2,43-37,,
6:06.0,,,43-37,,Z. LaVine misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by K. Papanikolaou,,43-37,,
5:57.0,R. Foye makes 3-pt shot from 25 ft (assist by M. Miller),3,46-37,,
5:33.0,,,46-37,,Turnover by S. Muhammad (lost ball; steal by N. Jokic)
5:29.0,W. Barton makes 2-pt shot at rim,2,48-37,,
5:28.0,,,48-37,,Minnesota full timeout
5:28.0,,,48-37,,A. Wiggins enters the game for S. Muhammad
5:28.0,,,48-37,,R. Rubio enters the game for Z. LaVine
5:28.0,,,48-37,,K. Towns enters the game for G. Dieng
5:12.0,,,48-37,,A. Wiggins misses 2-pt shot from 16 ft
5:09.0,Defensive rebound by Team,,48-37,,
4:52.0,K. Papanikolaou makes 2-pt shot from 1 ft (assist by N. Jokic),2,50-37,,
4:37.0,,,50-37,,Turnover by R. Rubio (bad pass; steal by M. Miller)
4:18.0,R. Foye makes 3-pt shot from 26 ft (assist by M. Miller),3,53-37,,
4:00.0,,,53-39,2,K. Towns makes 2-pt shot from 14 ft (assist by R. Rubio)
3:38.0,N. Jokic misses 2-pt shot from 4 ft,,53-39,,
3:37.0,,,53-39,,Defensive rebound by R. Rubio
3:37.0,Personal foul by N. Jokic (drawn by R. Rubio),,53-39,,
3:37.0,,,53-39,,K. Martin enters the game for T. Prince
3:37.0,J. Lauvergne enters the game for N. Jokic,,53-39,,
3:25.0,,,53-41,2,A. Wiggins makes 2-pt shot from 5 ft (assist by R. Rubio)
3:11.0,R. Foye makes 2-pt shot from 4 ft,2,55-41,,
2:50.0,,,55-41,,A. Wiggins misses 2-pt shot at rim
2:49.0,Defensive rebound by J. Lauvergne,,55-41,,
2:39.0,R. Foye makes 3-pt shot from 25 ft (assist by J. Lauvergne),3,58-41,,
2:28.0,,,58-41,,Minnesota full timeout
2:24.0,,,58-41,,K. Martin misses 2-pt shot from 10 ft
2:23.0,,,58-41,,Offensive rebound by K. Towns
2:21.0,Jump ball: R. Foye vs. K. Towns (R. Rubio gains possession),,,,Jump ball: R. Foye vs. K. Towns (R. Rubio gains possession)
2:21.0,Personal foul by W. Barton (drawn by R. Rubio),,58-41,,
2:13.0,,,58-41,,K. Martin misses 2-pt shot from 19 ft
2:12.0,,,58-41,,Offensive rebound by K. Towns
2:10.0,,,58-41,,Shooting foul by R. Foye (drawn by K. Towns)
2:10.0,,,58-42,1,K. Towns makes free throw 1 of 2
2:10.0,,,58-43,1,K. Towns makes free throw 2 of 2
1:58.0,,,58-43,,Personal foul by D. Rudez (drawn by J. Lauvergne)
1:50.0,,,58-43,,Personal foul by K. Martin (drawn by W. Barton)
1:50.0,W. Barton misses free throw 1 of 2,,58-43,,
1:50.0,Offensive rebound by Team,,58-43,,
1:50.0,K. Faried enters the game for J. Lauvergne,,58-43,,
1:50.0,,,58-43,,A. Payne enters the game for D. Rudez
1:50.0,W. Barton makes free throw 2 of 2,1,59-43,,
1:35.0,,,59-45,2,A. Wiggins makes 2-pt shot from 7 ft
1:14.0,W. Barton misses 2-pt shot from 1 ft,,59-45,,
1:13.0,Offensive rebound by W. Barton,,59-45,,
1:11.0,W. Barton makes 2-pt shot from 1 ft,2,61-45,,
0:57.0,,,61-47,2,R. Rubio makes 2-pt shot at rim
0:33.0,K. Faried makes 2-pt shot from 1 ft,2,63-47,,
0:15.0,,,63-47,,Shooting foul by K. Papanikolaou (drawn by K. Towns)
0:15.0,,,63-48,1,K. Towns makes free throw 1 of 2
0:15.0,,,63-48,,T. Prince enters the game for A. Payne
0:15.0,,,63-49,1,K. Towns makes free throw 2 of 2
0:10.0,Denver full timeout,,63-49,,
0:00.0,W. Barton misses 2-pt shot from 4 ft,,63-49,,
0:00.0,Offensive rebound by Team,,63-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,63-51,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
11:36.0,,,63-51,,Personal foul by K. Martin (drawn by G. Harris)
11:21.0,D. Gallinari makes 2-pt shot from 20 ft,2,65-51,,
11:04.0,,,65-54,3,R. Rubio makes 3-pt shot from 24 ft (assist by A. Wiggins)
10:47.0,K. Faried makes 2-pt shot from 14 ft (assist by J. Nelson),2,67-54,,
10:29.0,,,67-56,2,A. Wiggins makes 2-pt shot from 5 ft (assist by R. Rubio)
10:17.0,Shooting foul by A. Wiggins (drawn by D. Gallinari),,67-56,,
10:17.0,D. Gallinari makes free throw 1 of 2,1,68-56,,
10:17.0,D. Gallinari makes free throw 2 of 2,1,69-56,,
10:06.0,,,69-58,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
10:05.0,Denver full timeout,,69-58,,
9:41.0,K. Faried makes 2-pt shot from 4 ft (assist by J. Nelson),2,71-58,,
9:20.0,,,71-58,,R. Rubio misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by J. Lauvergne,,71-58,,
9:01.0,J. Lauvergne makes 2-pt shot from 20 ft (assist by J. Nelson),2,73-58,,
8:36.0,,,73-58,,Shooting foul by K. Faried (drawn by K. Garnett)
8:36.0,,,73-59,1,K. Garnett makes free throw 1 of 2
8:36.0,,,73-60,1,K. Garnett makes free throw 2 of 2
8:16.0,J. Lauvergne makes 2-pt shot from 4 ft (assist by D. Gallinari),2,75-60,,
8:05.0,,,75-62,2,A. Wiggins makes 2-pt shot from 15 ft
7:46.0,Turnover by J. Lauvergne (dbl dribble),,75-62,,
7:31.0,,,75-62,,K. Martin misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by J. Lauvergne,,75-62,,
7:21.0,,,75-62,,Personal foul by K. Towns (drawn by J. Lauvergne)
7:13.0,Turnover by J. Nelson (bad pass; steal by K. Towns),,75-62,,
7:10.0,Personal foul by D. Gallinari (drawn by A. Wiggins),,75-62,,
6:59.0,,,75-62,,A. Wiggins misses 2-pt shot from 16 ft
6:58.0,Defensive rebound by K. Faried,,75-62,,
6:41.0,J. Nelson makes 3-pt shot from 24 ft (assist by D. Gallinari),3,78-62,,
6:22.0,,,78-62,,Shooting foul by K. Faried (drawn by K. Towns)
6:22.0,,,78-63,1,K. Towns makes free throw 1 of 2
6:22.0,,,78-63,,N. Bjelica enters the game for K. Garnett
6:22.0,,,78-64,1,K. Towns makes free throw 2 of 2
6:10.0,Shooting foul by N. Bjelica (drawn by D. Gallinari),,78-64,,
6:10.0,D. Gallinari misses free throw 1 of 2,,78-64,,
6:10.0,Offensive rebound by Team,,78-64,,
6:10.0,D. Gallinari misses free throw 2 of 2,,78-64,,
6:10.0,,,78-64,,Defensive rebound by K. Towns
5:54.0,,,78-64,,K. Martin misses 3-pt shot from 25 ft
5:52.0,,,78-64,,Offensive rebound by K. Towns
5:52.0,,,78-66,2,K. Towns makes 2-pt shot at rim
5:38.0,D. Gallinari makes 2-pt shot from 22 ft,2,80-66,,
5:20.0,,,80-66,,K. Martin misses 2-pt shot from 17 ft
5:19.0,Defensive rebound by D. Gallinari,,80-66,,
5:13.0,Shooting foul by K. Towns (drawn by J. Lauvergne),,80-66,,
5:13.0,J. Lauvergne makes free throw 1 of 2,1,81-66,,
5:13.0,,,81-66,,Z. LaVine enters the game for K. Martin
5:13.0,J. Lauvergne makes free throw 2 of 2,1,82-66,,
5:04.0,,,82-66,,A. Wiggins misses 2-pt shot at rim
5:02.0,Defensive rebound by J. Nelson,,82-66,,
4:56.0,G. Harris misses 2-pt shot at rim (block by Z. LaVine),,82-66,,
4:54.0,,,82-66,,Defensive rebound by Z. LaVine
4:52.0,,,82-66,,Shooting foul by D. Gallinari (drawn by A. Wiggins)
4:52.0,,,82-66,,A. Wiggins misses free throw 1 of 2
4:52.0,,,82-66,,Offensive rebound by Team
4:52.0,D. Arthur enters the game for J. Lauvergne,,82-66,,
4:52.0,,,82-67,1,A. Wiggins makes free throw 2 of 2
4:37.0,Shooting foul by A. Wiggins (drawn by D. Gallinari),,82-67,,
4:37.0,D. Gallinari makes free throw 1 of 2,1,83-67,,
4:37.0,D. Gallinari makes free throw 2 of 2,1,84-67,,
4:22.0,,,84-69,2,Z. LaVine makes 2-pt shot at rim
4:09.0,J. Nelson misses 3-pt shot from 25 ft,,84-69,,
4:08.0,,,84-69,,Defensive rebound by R. Rubio
4:06.0,,,84-69,,Shooting foul by J. Nelson (drawn by Z. LaVine)
4:06.0,,,84-70,1,Z. LaVine makes free throw 1 of 2
4:06.0,,,84-70,,Z. LaVine misses free throw 2 of 2
4:06.0,Defensive rebound by K. Faried,,84-70,,
3:40.0,G. Harris misses 2-pt shot from 14 ft,,84-70,,
3:39.0,,,84-70,,Defensive rebound by R. Rubio
3:27.0,,,84-70,,G. Dieng enters the game for K. Towns
3:27.0,W. Barton enters the game for G. Harris,,84-70,,
3:27.0,N. Jokic enters the game for K. Faried,,84-70,,
3:24.0,,,84-70,,Z. LaVine misses 3-pt shot from 26 ft
3:22.0,,,84-70,,Offensive rebound by N. Bjelica
3:17.0,,,84-72,2,Z. LaVine makes 2-pt shot from 1 ft (assist by R. Rubio)
3:04.0,D. Gallinari makes 3-pt shot from 24 ft (assist by W. Barton),3,87-72,,
2:45.0,,,87-74,2,G. Dieng makes 2-pt shot from 14 ft (assist by R. Rubio)
2:18.0,Turnover by N. Jokic (lost ball),,87-74,,
2:18.0,,,87-74,,Minnesota full timeout
2:18.0,R. Foye enters the game for J. Nelson,,87-74,,
2:18.0,,,87-74,,A. Miller enters the game for R. Rubio
2:01.0,,,87-74,,Shooting foul by N. Jokic (drawn by A. Miller)
2:01.0,,,87-74,,A. Miller misses free throw 1 of 2
2:01.0,,,87-74,,Offensive rebound by Team
2:01.0,,,87-74,,A. Miller misses free throw 2 of 2
2:00.0,,,87-74,,Offensive rebound by Z. LaVine
2:00.0,,,87-76,2,Z. LaVine makes 2-pt shot at rim
2:00.0,Denver full timeout,,87-76,,
1:40.0,D. Gallinari misses 2-pt shot from 10 ft (block by A. Wiggins),,87-76,,
1:38.0,,,87-76,,Defensive rebound by A. Wiggins
1:18.0,,,87-76,,A. Miller misses 2-pt shot from 1 ft (block by D. Arthur)
1:17.0,,,87-76,,Offensive rebound by Team
1:16.0,,,87-76,,N. Bjelica misses 2-pt shot from 19 ft
1:16.0,,,87-76,,Offensive rebound by Team
1:16.0,,,87-76,,Turnover by Team (shot clock)
1:00.0,R. Foye makes 2-pt shot from 21 ft,2,89-76,,
0:47.0,,,89-78,2,A. Wiggins makes 2-pt shot from 20 ft
0:32.0,W. Barton makes 3-pt shot from 24 ft (assist by N. Jokic),3,92-78,,
0:07.0,Violation by W. Barton (def goaltending),,92-78,,
0:07.0,,,92-80,2,A. Miller makes 2-pt shot from 1 ft (assist by Z. LaVine)
0:01.0,W. Barton misses 3-pt shot from 25 ft,,92-80,,
0:01.0,Offensive rebound by D. Gallinari,,92-80,,
0:00.0,D. Gallinari misses 2-pt shot at rim,,92-80,,
0:00.0,Offensive rebound by Team,,92-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,92-80,,Personal foul by G. Dieng (drawn by N. Jokic)
11:38.0,D. Arthur misses 3-pt shot from 24 ft,,92-80,,
11:37.0,,,92-80,,Defensive rebound by Z. LaVine
11:25.0,,,92-80,,Z. LaVine misses 2-pt shot from 16 ft
11:24.0,Defensive rebound by K. Papanikolaou,,92-80,,
11:19.0,,,92-80,,Personal foul by A. Miller (drawn by W. Barton)
11:00.0,K. Papanikolaou misses 2-pt shot from 2 ft (block by N. Bjelica),,92-80,,
10:59.0,Offensive rebound by Team,,92-80,,
10:59.0,Turnover by Team (shot clock),,92-80,,
10:46.0,Personal foul by D. Arthur (drawn by N. Bjelica),,92-80,,
10:40.0,Personal foul by K. Papanikolaou (drawn by S. Muhammad),,92-80,,
10:26.0,,,92-80,,Z. LaVine misses 2-pt shot from 14 ft
10:24.0,,,92-80,,Offensive rebound by N. Bjelica
10:21.0,,,92-80,,G. Dieng misses 2-pt shot from 3 ft (block by N. Jokic)
10:21.0,,,92-80,,Offensive rebound by Team
10:20.0,Jump ball: G. Dieng vs. N. Jokic (A. Miller gains possession),,,,Jump ball: G. Dieng vs. N. Jokic (A. Miller gains possession)
10:08.0,,,92-80,,S. Muhammad misses 2-pt shot from 19 ft
10:07.0,Defensive rebound by W. Barton,,92-80,,
9:59.0,,,92-80,,Personal foul by G. Dieng (drawn by N. Jokic)
9:50.0,Turnover by W. Barton (traveling),,92-80,,
9:32.0,,,92-80,,N. Bjelica misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by N. Jokic,,92-80,,
9:17.0,D. Arthur misses 2-pt shot from 13 ft,,92-80,,
9:15.0,Offensive rebound by N. Jokic,,92-80,,
9:11.0,,,92-80,,Personal foul by N. Bjelica (drawn by D. Arthur)
9:11.0,,,92-80,,K. Towns enters the game for N. Bjelica
9:06.0,W. Barton makes 2-pt shot at rim (assist by R. Foye),2,94-80,,
8:52.0,,,94-80,,Turnover by G. Dieng (bad pass; steal by D. Arthur)
8:47.0,Turnover by W. Barton (bad pass; steal by G. Dieng),,94-80,,
8:41.0,,,94-80,,Z. LaVine misses 2-pt shot from 2 ft (block by N. Jokic)
8:41.0,,,94-80,,Offensive rebound by Team
8:41.0,,,94-80,,Minnesota full timeout
8:41.0,K. Faried enters the game for D. Arthur,,94-80,,
8:33.0,,,94-80,,G. Dieng misses 2-pt shot from 19 ft
8:32.0,Defensive rebound by W. Barton,,94-80,,
8:14.0,N. Jokic makes 2-pt shot from 4 ft,2,96-80,,
7:57.0,,,96-80,,A. Miller misses 2-pt shot from 11 ft
7:56.0,,,96-80,,Offensive rebound by G. Dieng
7:52.0,,,96-80,,Shooting foul by W. Barton (drawn by S. Muhammad)
7:52.0,,,96-81,1,S. Muhammad makes free throw 1 of 2
7:52.0,,,96-81,,R. Rubio enters the game for A. Miller
7:52.0,,,96-81,,S. Muhammad misses free throw 2 of 2
7:52.0,Defensive rebound by K. Faried,,96-81,,
7:41.0,Offensive foul by N. Jokic,,96-81,,
7:41.0,Turnover by N. Jokic (offensive foul),,96-81,,
7:41.0,,,96-81,,A. Wiggins enters the game for S. Muhammad
7:22.0,,,96-81,,Z. LaVine misses 2-pt shot from 12 ft
7:21.0,,,96-81,,Offensive rebound by G. Dieng
7:10.0,,,96-81,,A. Wiggins misses 2-pt shot from 17 ft
7:09.0,Defensive rebound by K. Faried,,96-81,,
6:54.0,Turnover by K. Papanikolaou (lost ball),,96-81,,
6:54.0,J. Nelson enters the game for R. Foye,,96-81,,
6:42.0,,,96-83,2,K. Towns makes 2-pt shot from 1 ft
6:27.0,K. Papanikolaou misses 3-pt shot from 24 ft,,96-83,,
6:26.0,,,96-83,,Defensive rebound by Team
6:26.0,D. Gallinari enters the game for K. Papanikolaou,,96-83,,
6:19.0,,,96-83,,Shooting foul by K. Faried (drawn by A. Wiggins)
6:19.0,,,96-84,1,A. Wiggins makes free throw 1 of 2
6:19.0,,,96-85,1,A. Wiggins makes free throw 2 of 2
6:05.0,,,96-85,,Personal foul by Z. LaVine (drawn by W. Barton)
6:05.0,W. Barton makes free throw 1 of 2,1,97-85,,
6:05.0,G. Harris enters the game for N. Jokic,,97-85,,
6:05.0,,,97-85,,D. Rudez enters the game for G. Dieng
6:05.0,W. Barton makes free throw 2 of 2,1,98-85,,
5:54.0,,,98-85,,R. Rubio misses 2-pt shot from 1 ft (block by K. Faried)
5:52.0,Defensive rebound by J. Nelson,,98-85,,
5:40.0,D. Gallinari misses 3-pt shot from 23 ft,,98-85,,
5:39.0,,,98-85,,Defensive rebound by Z. LaVine
5:31.0,,,98-87,2,Z. LaVine makes 2-pt shot from 16 ft
5:05.0,Turnover by G. Harris (bad pass; steal by Z. LaVine),,98-87,,
4:59.0,Personal foul by J. Nelson (drawn by R. Rubio),,98-87,,
4:59.0,,,98-87,,Minnesota full timeout
4:59.0,,,98-87,,K. Martin enters the game for D. Rudez
4:59.0,,,98-88,1,R. Rubio makes free throw 1 of 2
4:59.0,,,98-89,1,R. Rubio makes free throw 2 of 2
4:45.0,J. Nelson makes 3-pt shot from 24 ft,3,101-89,,
4:27.0,,,101-89,,Z. LaVine misses 2-pt shot from 3 ft (block by K. Faried)
4:25.0,Defensive rebound by K. Faried,,101-89,,
4:08.0,Shooting foul by K. Towns (drawn by K. Faried),,101-89,,
4:08.0,K. Faried makes free throw 1 of 2,1,102-89,,
4:08.0,K. Faried makes free throw 2 of 2,1,103-89,,
4:00.0,,,103-89,,Z. LaVine misses 2-pt shot from 4 ft
3:59.0,,,103-89,,Offensive rebound by K. Towns
3:59.0,Personal foul by K. Faried (drawn by K. Towns),,103-89,,
3:59.0,,,103-90,1,K. Towns makes free throw 1 of 2
3:59.0,,,103-91,1,K. Towns makes free throw 2 of 2
