time,Dallas,pts.away,score,pts.home,Orlando
5:05.0,J. Anderson enters the game for C. Parsons,,7-23,,
5:05.0,J. Barea enters the game for W. Matthews,,7-23,,
5:05.0,D. Nowitzki enters the game for D. Williams,,7-23,,
5:05.0,,,7-24,1,N. Vucevic makes free throw 2 of 2
4:51.0,R. Felton misses 2-pt shot from 2 ft,,7-24,,
4:49.0,Offensive rebound by S. Mejri,,7-24,,
4:42.0,J. Anderson misses 3-pt shot from 25 ft,,7-24,,
4:40.0,,,7-24,,Defensive rebound by V. Oladipo
4:32.0,,,7-26,2,A. Gordon makes 2-pt shot from 16 ft (assist by N. Vucevic)
4:31.0,Dallas full timeout,,7-26,,
4:10.0,J. Barea makes 2-pt shot from 11 ft,2,9-26,,
3:53.0,,,9-26,,E. Fournier misses 2-pt shot from 2 ft (block by J. Anderson)
3:53.0,Defensive rebound by Team,,9-26,,
3:44.0,,,9-26,,Personal foul by A. Gordon (drawn by D. Nowitzki)
3:44.0,,,9-26,,E. Ilyasova enters the game for E. Fournier
3:44.0,,,9-26,,M. Hezonja enters the game for A. Gordon
3:31.0,J. Anderson misses 2-pt shot from 17 ft,,9-26,,
3:29.0,,,9-26,,Defensive rebound by N. Vucevic
3:20.0,,,9-26,,N. Vucevic misses 2-pt shot from 19 ft
3:19.0,Defensive rebound by R. Felton,,9-26,,
3:12.0,Turnover by R. Felton (step out of bounds),,9-26,,
2:52.0,,,9-26,,E. Ilyasova misses 2-pt shot from 2 ft
2:51.0,Defensive rebound by S. Mejri,,9-26,,
2:45.0,,,9-26,,Personal foul by E. Payton
2:45.0,,,9-26,,B. Jennings enters the game for E. Payton
2:45.0,W. Matthews enters the game for J. Anderson,,9-26,,
2:45.0,,,9-26,,J. Smith enters the game for N. Vucevic
2:38.0,D. Nowitzki misses 2-pt shot from 14 ft,,9-26,,
2:37.0,,,9-26,,Defensive rebound by V. Oladipo
2:26.0,Personal foul by R. Felton (drawn by V. Oladipo),,9-26,,
2:11.0,,,9-28,2,B. Jennings makes 2-pt shot from 20 ft
1:53.0,J. Barea misses 3-pt shot from 25 ft,,9-28,,
1:52.0,,,9-28,,Defensive rebound by M. Hezonja
1:38.0,,,9-28,,J. Smith misses 2-pt shot from 17 ft
1:36.0,Defensive rebound by D. Nowitzki,,9-28,,
1:30.0,,,9-28,,Personal block foul by E. Ilyasova
1:30.0,J. Barea misses free throw 1 of 2,,9-28,,
1:30.0,Offensive rebound by Team,,9-28,,
1:30.0,D. Powell enters the game for S. Mejri,,9-28,,
1:30.0,J. Barea makes free throw 2 of 2,1,10-28,,
1:18.0,,,10-28,,M. Hezonja misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by R. Felton,,10-28,,
1:00.0,W. Matthews misses 3-pt shot from 25 ft,,10-28,,
0:59.0,,,10-28,,Defensive rebound by V. Oladipo
0:45.0,,,10-31,3,B. Jennings makes 3-pt shot from 23 ft (assist by E. Ilyasova)
0:34.0,W. Matthews makes 3-pt shot from 23 ft (assist by J. Barea),3,13-31,,
0:15.0,,,13-31,,Turnover by B. Jennings (bad pass; steal by D. Powell)
0:05.0,Turnover by R. Felton (bad pass; steal by V. Oladipo),,13-31,,
0:00.0,,,13-31,,V. Oladipo misses 2-pt shot from 2 ft
0:00.0,,,13-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,13-31,,J. Smith misses 2-pt shot from 19 ft
11:38.0,Defensive rebound by C. Villanueva,,13-31,,
11:29.0,D. Nowitzki misses 3-pt shot from 26 ft,,13-31,,
11:27.0,,,13-31,,Defensive rebound by E. Ilyasova
11:18.0,,,13-31,,M. Hezonja misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by R. Felton,,13-31,,
11:06.0,J. Barea misses 2-pt shot from 2 ft (block by J. Smith),,13-31,,
11:03.0,,,13-31,,Defensive rebound by J. Smith
10:59.0,,,13-31,,Turnover by B. Jennings (bad pass; steal by D. Nowitzki)
10:52.0,R. Felton makes 2-pt shot from 2 ft,2,15-31,,
10:33.0,,,15-31,,E. Ilyasova misses 3-pt shot from 24 ft
10:31.0,Defensive rebound by C. Villanueva,,15-31,,
10:18.0,C. Villanueva makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,18-31,,
10:03.0,,,18-31,,Shooting foul by W. Matthews (drawn by E. Ilyasova)
10:03.0,,,18-32,1,E. Ilyasova makes free throw 1 of 2
10:03.0,D. Williams enters the game for D. Nowitzki,,18-32,,
10:03.0,C. Parsons enters the game for W. Matthews,,18-32,,
10:03.0,Z. Pachulia enters the game for R. Felton,,18-32,,
10:03.0,,,18-32,,E. Fournier enters the game for M. Hezonja
10:03.0,R. Felton enters the game for J. Barea,,18-32,,
10:03.0,,,18-33,1,E. Ilyasova makes free throw 2 of 2
9:48.0,C. Parsons makes 2-pt shot from 2 ft (assist by R. Felton),2,20-33,,
9:30.0,,,20-36,3,B. Jennings makes 3-pt shot from 25 ft (assist by E. Fournier)
9:11.0,C. Villanueva makes 3-pt shot from 23 ft (assist by C. Parsons),3,23-36,,
8:53.0,,,23-36,,E. Ilyasova misses 2-pt shot from 3 ft (block by C. Parsons)
8:51.0,Defensive rebound by Z. Pachulia,,23-36,,
8:45.0,C. Villanueva makes 2-pt shot from 2 ft (assist by D. Williams),2,25-36,,
8:41.0,,,25-36,,Orlando full timeout
8:33.0,,,25-36,,B. Jennings misses 3-pt shot from 25 ft
8:32.0,,,25-36,,Offensive rebound by J. Smith
8:31.0,,,25-36,,J. Smith misses 2-pt shot from 6 ft
8:29.0,,,25-36,,Offensive rebound by E. Fournier
8:28.0,,,25-38,2,E. Fournier makes 2-pt shot from 1 ft
8:07.0,D. Williams misses 3-pt shot from 25 ft,,25-38,,
8:06.0,,,25-38,,Defensive rebound by E. Ilyasova
7:57.0,,,25-41,3,E. Ilyasova makes 3-pt shot from 25 ft
7:38.0,C. Villanueva misses 3-pt shot from 25 ft,,25-41,,
7:37.0,,,25-41,,Defensive rebound by C. Watson
7:32.0,,,25-41,,E. Ilyasova misses 2-pt shot from 1 ft (block by C. Parsons)
7:30.0,Defensive rebound by C. Parsons,,25-41,,
7:16.0,D. Williams makes 3-pt shot from 25 ft (assist by R. Felton),3,28-41,,
6:57.0,,,28-41,,J. Smith misses 2-pt shot from 18 ft
6:56.0,Defensive rebound by Z. Pachulia,,28-41,,
6:49.0,C. Parsons makes 3-pt shot from 25 ft (assist by D. Williams),3,31-41,,
6:29.0,,,31-41,,E. Ilyasova misses 3-pt shot from 25 ft
6:28.0,,,31-41,,Offensive rebound by B. Jennings
6:22.0,,,31-44,3,J. Smith makes 3-pt shot from 23 ft (assist by B. Jennings)
6:21.0,Dallas full timeout,,31-44,,
6:21.0,D. Nowitzki enters the game for C. Villanueva,,31-44,,
6:21.0,,,31-44,,E. Payton enters the game for E. Ilyasova
6:21.0,,,31-44,,N. Vucevic enters the game for B. Jennings
6:21.0,,,31-44,,A. Gordon enters the game for J. Smith
6:21.0,J. Barea enters the game for R. Felton,,31-44,,
6:02.0,J. Barea makes 3-pt shot from 24 ft (assist by D. Williams),3,34-44,,
5:41.0,,,34-44,,N. Vucevic misses 2-pt shot from 20 ft
5:39.0,Defensive rebound by J. Barea,,34-44,,
5:34.0,D. Williams misses 2-pt shot from 15 ft,,34-44,,
5:32.0,,,34-44,,Defensive rebound by A. Gordon
5:23.0,,,34-44,,Turnover by N. Vucevic (lost ball; steal by D. Williams)
5:12.0,Turnover by Z. Pachulia (bad pass; steal by A. Gordon),,34-44,,
5:05.0,,,34-44,,N. Vucevic misses 2-pt shot from 3 ft
5:03.0,,,34-44,,Offensive rebound by N. Vucevic
5:03.0,,,34-46,2,N. Vucevic makes 2-pt shot from 2 ft
4:49.0,D. Williams makes 3-pt shot from 25 ft (assist by C. Parsons),3,37-46,,
4:28.0,,,37-46,,N. Vucevic misses 2-pt shot from 10 ft
4:27.0,Defensive rebound by D. Nowitzki,,37-46,,
4:20.0,Shooting foul by E. Fournier (drawn by D. Williams),,37-46,,
4:20.0,D. Williams makes 3-pt shot from 25 ft,3,40-46,,
4:20.0,,,40-46,,V. Oladipo enters the game for C. Watson
4:20.0,W. Matthews enters the game for C. Parsons,,40-46,,
4:20.0,D. Williams makes free throw 1 of 1,1,41-46,,
3:58.0,,,41-46,,E. Payton misses 3-pt shot from 23 ft
3:57.0,Defensive rebound by Z. Pachulia,,41-46,,
3:44.0,J. Barea makes 3-pt shot from 26 ft,3,44-46,,
3:28.0,,,44-46,,A. Gordon misses 2-pt shot from 16 ft
3:26.0,Defensive rebound by W. Matthews,,44-46,,
3:21.0,Turnover by D. Williams (lost ball; steal by A. Gordon),,44-46,,
3:18.0,,,44-46,,Offensive charge foul by A. Gordon
3:18.0,,,44-46,,Turnover by A. Gordon (offensive foul)
3:18.0,,,44-46,,E. Ilyasova enters the game for A. Gordon
3:08.0,D. Williams misses 3-pt shot from 25 ft,,44-46,,
3:07.0,,,44-46,,Defensive rebound by E. Fournier
2:56.0,,,44-46,,Turnover by E. Ilyasova (bad pass; steal by Z. Pachulia)
2:40.0,D. Nowitzki makes 2-pt shot from 16 ft,2,46-46,,
2:28.0,,,46-49,3,E. Payton makes 3-pt shot from 24 ft (assist by N. Vucevic)
2:12.0,,,46-49,,Violation by N. Vucevic (kicked ball)
2:12.0,Official timeout,,46-49,,
2:07.0,W. Matthews misses 2-pt shot from 2 ft,,46-49,,
2:05.0,,,46-49,,Defensive rebound by V. Oladipo
1:55.0,,,46-52,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by E. Payton)
1:42.0,,,46-52,,Def 3 sec tech foul by N. Vucevic
1:42.0,D. Nowitzki misses technical free throw,,46-52,,
1:42.0,Offensive rebound by Team,,46-52,,
1:38.0,,,46-52,,Personal foul by E. Ilyasova
1:23.0,J. Barea makes 2-pt shot from 8 ft,2,48-52,,
1:09.0,,,48-52,,V. Oladipo misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by Z. Pachulia,,48-52,,
0:58.0,D. Nowitzki misses 2-pt shot from 14 ft,,48-52,,
0:57.0,,,48-52,,Defensive rebound by V. Oladipo
0:51.0,Personal foul by J. Barea,,48-52,,
0:51.0,C. Parsons enters the game for J. Barea,,48-52,,
0:38.0,,,48-54,2,E. Ilyasova makes 2-pt shot from 14 ft (assist by E. Fournier)
0:26.0,C. Parsons makes 3-pt shot from 23 ft (assist by D. Williams),3,51-54,,
0:08.0,,,51-56,2,E. Ilyasova makes 2-pt shot from 7 ft (assist by E. Fournier)
0:02.0,D. Williams misses 3-pt shot from 26 ft,,51-56,,
0:00.0,,,51-56,,Defensive rebound by V. Oladipo
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,51-56,,Turnover by N. Vucevic (lost ball; steal by Z. Pachulia)
11:21.0,Turnover by D. Williams (lost ball),,51-56,,
11:03.0,,,51-58,2,E. Payton makes 2-pt shot from 9 ft
10:46.0,D. Williams makes 3-pt shot from 24 ft (assist by C. Parsons),3,54-58,,
10:31.0,,,54-58,,E. Payton misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by Z. Pachulia,,54-58,,
10:21.0,D. Nowitzki misses 3-pt shot from 25 ft,,54-58,,
10:20.0,,,54-58,,Defensive rebound by V. Oladipo
10:14.0,,,54-58,,V. Oladipo misses 2-pt shot from 20 ft
10:13.0,,,54-58,,Offensive rebound by V. Oladipo
10:00.0,,,54-58,,E. Payton misses 2-pt shot from 17 ft
9:59.0,Defensive rebound by Z. Pachulia,,54-58,,
9:49.0,D. Williams makes 2-pt shot from 1 ft,2,56-58,,
9:33.0,,,56-58,,V. Oladipo misses 2-pt shot from 2 ft
9:32.0,Defensive rebound by Z. Pachulia,,56-58,,
9:28.0,C. Parsons makes 3-pt shot from 24 ft (assist by D. Williams),3,59-58,,
9:28.0,,,59-58,,Orlando full timeout
9:10.0,,,59-60,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Fournier)
8:54.0,C. Parsons makes 3-pt shot from 25 ft,3,62-60,,
8:43.0,,,62-60,,V. Oladipo misses 3-pt shot from 25 ft
8:42.0,,,62-60,,Offensive rebound by N. Vucevic
8:39.0,,,62-60,,N. Vucevic misses 2-pt shot from 7 ft
8:39.0,Defensive rebound by Team,,62-60,,
8:39.0,,,62-60,,Loose ball foul by V. Oladipo (drawn by D. Nowitzki)
8:28.0,C. Parsons makes 3-pt shot from 25 ft (assist by D. Williams),3,65-60,,
8:00.0,,,65-62,2,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Fournier)
7:43.0,D. Nowitzki misses 2-pt shot from 14 ft,,65-62,,
7:41.0,,,65-62,,Defensive rebound by A. Gordon
7:36.0,,,65-62,,Turnover by A. Gordon (bad pass; steal by C. Parsons)
7:30.0,W. Matthews misses 3-pt shot from 25 ft,,65-62,,
7:29.0,,,65-62,,Defensive rebound by A. Gordon
7:12.0,,,65-62,,A. Gordon misses 2-pt shot from 10 ft
7:11.0,Defensive rebound by D. Williams,,65-62,,
6:48.0,D. Williams misses 3-pt shot from 26 ft,,65-62,,
6:47.0,,,65-62,,Defensive rebound by N. Vucevic
6:40.0,R. Felton enters the game for D. Nowitzki,,65-62,,
6:40.0,,,65-62,,B. Jennings enters the game for E. Payton
6:32.0,,,65-62,,Turnover by N. Vucevic (lost ball; steal by Z. Pachulia)
6:24.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Williams),2,67-62,,
6:05.0,,,67-62,,V. Oladipo misses 2-pt shot from 18 ft
6:04.0,Defensive rebound by D. Williams,,67-62,,
5:49.0,W. Matthews makes 2-pt shot from 9 ft,2,69-62,,
5:22.0,,,69-62,,A. Gordon misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by C. Parsons,,69-62,,
5:07.0,D. Williams misses 2-pt shot from 2 ft,,69-62,,
5:06.0,,,69-62,,Defensive rebound by N. Vucevic
5:06.0,,,69-62,,E. Ilyasova enters the game for A. Gordon
5:06.0,,,69-62,,J. Smith enters the game for N. Vucevic
4:51.0,,,69-62,,B. Jennings misses 3-pt shot from 23 ft
4:50.0,,,69-62,,Offensive rebound by E. Ilyasova
4:48.0,,,69-62,,Shooting foul by D. Williams (drawn by E. Ilyasova)
4:48.0,,,69-62,,E. Ilyasova misses free throw 1 of 2
4:48.0,,,69-62,,Offensive rebound by Team
4:48.0,,,69-63,1,E. Ilyasova makes free throw 2 of 2
4:36.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by R. Felton),2,71-63,,
4:22.0,,,71-63,,V. Oladipo misses 3-pt shot from 23 ft
4:21.0,Defensive rebound by R. Felton,,71-63,,
4:15.0,C. Parsons makes 3-pt shot from 24 ft (assist by R. Felton),3,74-63,,
3:58.0,,,74-63,,Turnover by V. Oladipo (lost ball)
3:46.0,D. Williams makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,76-63,,
3:31.0,,,76-65,2,J. Smith makes 2-pt shot from 15 ft (assist by B. Jennings)
3:30.0,Dallas full timeout,,76-65,,
3:15.0,W. Matthews misses 3-pt shot from 25 ft,,76-65,,
3:13.0,,,76-65,,Defensive rebound by V. Oladipo
3:02.0,,,76-67,2,J. Smith makes 2-pt shot from 18 ft (assist by E. Fournier)
2:42.0,D. Williams makes 2-pt shot from 13 ft,2,78-67,,
2:29.0,,,78-67,,V. Oladipo misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by Z. Pachulia,,78-67,,
2:18.0,J. Barea enters the game for Z. Pachulia,,78-67,,
2:18.0,D. Powell enters the game for W. Matthews,,78-67,,
2:18.0,D. Nowitzki enters the game for D. Williams,,78-67,,
2:11.0,,,78-67,,Personal block foul by E. Ilyasova (drawn by R. Felton)
2:11.0,,,78-67,,M. Hezonja enters the game for V. Oladipo
2:02.0,D. Nowitzki makes 3-pt shot from 25 ft,3,81-67,,
1:44.0,,,81-67,,Shooting foul by D. Powell (drawn by E. Ilyasova)
1:44.0,,,81-68,1,E. Ilyasova makes free throw 1 of 2
1:44.0,,,81-68,,E. Ilyasova misses free throw 2 of 2
1:43.0,Defensive rebound by J. Barea,,81-68,,
1:25.0,J. Barea misses 2-pt shot from 20 ft,,81-68,,
1:23.0,Offensive rebound by D. Powell,,81-68,,
1:14.0,R. Felton misses 3-pt shot from 24 ft,,81-68,,
1:13.0,,,81-68,,Defensive rebound by E. Fournier
1:08.0,Personal foul by D. Powell (drawn by B. Jennings),,81-68,,
1:08.0,,,81-69,1,B. Jennings makes free throw 1 of 2
1:08.0,,,81-70,1,B. Jennings makes free throw 2 of 2
0:55.0,Turnover by J. Barea (lost ball),,81-70,,
0:50.0,,,81-70,,B. Jennings misses 2-pt shot from 2 ft
0:50.0,Defensive rebound by Team,,81-70,,
0:50.0,,,81-70,,Loose ball foul by E. Ilyasova (drawn by D. Nowitzki)
0:36.0,C. Parsons misses 3-pt shot from 25 ft,,81-70,,
0:35.0,,,81-70,,Defensive rebound by M. Hezonja
0:17.0,,,81-72,2,J. Smith makes 2-pt shot from 17 ft (assist by M. Hezonja)
0:02.0,Turnover by D. Nowitzki (lost ball; steal by E. Ilyasova),,81-72,,
0:00.0,,,81-72,,E. Fournier misses 3-pt shot from 49 ft
0:00.0,,,81-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,C. Villanueva misses 2-pt shot from 2 ft,,81-72,,
11:43.0,,,81-72,,Defensive rebound by J. Smith
11:33.0,,,81-74,2,J. Smith makes 2-pt shot from 14 ft (assist by E. Ilyasova)
11:17.0,D. Nowitzki misses 3-pt shot from 24 ft,,81-74,,
11:15.0,,,81-74,,Defensive rebound by B. Jennings
11:08.0,,,81-77,3,B. Jennings makes 3-pt shot from 24 ft
10:47.0,D. Nowitzki makes 2-pt shot from 17 ft,2,83-77,,
10:29.0,,,83-77,,E. Ilyasova misses 2-pt shot from 18 ft
10:28.0,Defensive rebound by W. Matthews,,83-77,,
10:07.0,J. Barea misses 2-pt shot from 2 ft,,83-77,,
10:06.0,,,83-77,,Defensive rebound by M. Hezonja
9:58.0,,,83-80,3,B. Jennings makes 3-pt shot from 25 ft (assist by V. Oladipo)
9:58.0,Dallas full timeout,,83-80,,
9:58.0,Z. Pachulia enters the game for D. Nowitzki,,83-80,,
9:58.0,D. Williams enters the game for R. Felton,,83-80,,
9:41.0,Turnover by C. Villanueva (lost ball),,83-80,,
9:32.0,,,83-80,,B. Jennings misses 2-pt shot from 2 ft
9:31.0,Defensive rebound by Z. Pachulia,,83-80,,
9:25.0,C. Villanueva makes 3-pt shot from 24 ft (assist by J. Barea),3,86-80,,
9:15.0,,,86-80,,Shooting foul by Z. Pachulia (drawn by V. Oladipo)
9:15.0,,,86-81,1,V. Oladipo makes free throw 1 of 2
9:15.0,,,86-82,1,V. Oladipo makes free throw 2 of 2
8:54.0,Z. Pachulia makes 2-pt shot from 16 ft (assist by W. Matthews),2,88-82,,
8:36.0,,,88-82,,V. Oladipo misses 2-pt shot from 20 ft
8:34.0,Defensive rebound by D. Williams,,88-82,,
8:19.0,J. Barea makes 2-pt shot from 9 ft,2,90-82,,
8:05.0,,,90-82,,B. Jennings misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by C. Villanueva,,90-82,,
7:56.0,,,90-82,,Personal foul by B. Jennings (drawn by Z. Pachulia)
7:42.0,J. Barea misses 2-pt shot from 15 ft,,90-82,,
7:40.0,,,90-82,,Defensive rebound by M. Hezonja
7:33.0,,,90-82,,J. Smith misses 2-pt shot from 18 ft
7:32.0,,,90-82,,Offensive rebound by E. Ilyasova
7:31.0,,,90-84,2,E. Ilyasova makes 2-pt shot from 2 ft
7:22.0,Shooting foul by J. Smith (drawn by Z. Pachulia),,90-84,,
7:22.0,Z. Pachulia makes free throw 1 of 2,1,91-84,,
7:22.0,,,91-84,,E. Payton enters the game for B. Jennings
7:22.0,,,91-84,,N. Vucevic enters the game for J. Smith
7:22.0,Z. Pachulia misses free throw 2 of 2,,91-84,,
7:21.0,,,91-84,,Defensive rebound by E. Ilyasova
7:11.0,,,91-84,,N. Vucevic misses 2-pt shot from 12 ft
7:09.0,Defensive rebound by Z. Pachulia,,91-84,,
6:53.0,Shooting foul by E. Ilyasova (drawn by J. Barea),,91-84,,
6:53.0,J. Barea makes free throw 1 of 2,1,92-84,,
6:53.0,,,92-84,,E. Fournier enters the game for E. Ilyasova
6:53.0,J. Barea makes free throw 2 of 2,1,93-84,,
6:36.0,,,93-86,2,N. Vucevic makes 2-pt shot from 11 ft (assist by E. Payton)
6:17.0,C. Villanueva misses 3-pt shot from 25 ft,,93-86,,
6:16.0,,,93-86,,Defensive rebound by Team
6:05.0,,,93-88,2,E. Fournier makes 2-pt shot from 15 ft
6:04.0,Dallas full timeout,,93-88,,
6:04.0,C. Parsons enters the game for W. Matthews,,93-88,,
6:04.0,D. Nowitzki enters the game for C. Villanueva,,93-88,,
5:48.0,D. Williams misses 2-pt shot from 2 ft,,93-88,,
5:47.0,,,93-88,,Defensive rebound by V. Oladipo
5:39.0,,,93-90,2,V. Oladipo makes 2-pt shot from 18 ft
5:24.0,Turnover by C. Parsons (lost ball; steal by N. Vucevic),,93-90,,
5:19.0,,,93-92,2,M. Hezonja makes 2-pt shot from 2 ft
5:00.0,Shooting foul by N. Vucevic (drawn by D. Nowitzki),,93-92,,
5:00.0,Official timeout,,93-92,,
5:00.0,,,93-92,,E. Ilyasova enters the game for M. Hezonja
5:00.0,D. Nowitzki makes free throw 1 of 2,1,94-92,,
5:00.0,D. Nowitzki misses free throw 2 of 2,,94-92,,
4:59.0,,,94-92,,Defensive rebound by N. Vucevic
4:46.0,,,94-92,,E. Fournier misses 3-pt shot from 26 ft
4:45.0,Defensive rebound by Team,,94-92,,
4:45.0,,,94-92,,Loose ball foul by E. Ilyasova (drawn by Z. Pachulia)
4:45.0,,,94-92,,A. Gordon enters the game for E. Ilyasova
4:45.0,R. Felton enters the game for J. Barea,,94-92,,
4:45.0,Z. Pachulia makes free throw 1 of 2,1,95-92,,
4:45.0,Z. Pachulia misses free throw 2 of 2,,95-92,,
4:44.0,,,95-92,,Defensive rebound by A. Gordon
4:27.0,,,95-92,,Shooting foul by D. Nowitzki (drawn by N. Vucevic)
4:27.0,,,95-93,1,N. Vucevic makes free throw 1 of 2
4:27.0,,,95-94,1,N. Vucevic makes free throw 2 of 2
4:10.0,D. Nowitzki misses 2-pt shot from 15 ft,,95-94,,
4:09.0,,,95-94,,Defensive rebound by E. Fournier
3:57.0,,,95-94,,N. Vucevic misses 2-pt shot from 7 ft
3:56.0,Defensive rebound by D. Nowitzki,,95-94,,
3:34.0,C. Parsons makes 2-pt shot at rim (assist by R. Felton),2,97-94,,
3:19.0,,,97-94,,E. Payton misses 2-pt shot from 8 ft (block by D. Williams)
3:17.0,,,97-94,,Offensive rebound by E. Payton
3:16.0,,,97-96,2,E. Payton makes 2-pt shot from 2 ft
2:57.0,Turnover by D. Williams (lost ball),,97-96,,
2:57.0,,,97-96,,Orlando full timeout
2:49.0,,,97-96,,V. Oladipo misses 3-pt shot from 24 ft
2:47.0,Defensive rebound by Z. Pachulia,,97-96,,
2:37.0,Turnover by D. Williams (bad pass),,97-96,,
2:27.0,,,97-96,,E. Fournier misses 2-pt shot from 3 ft (block by D. Nowitzki)
2:27.0,Defensive rebound by Team,,97-96,,
