time,Houston,pts.away,score,pts.home,Brooklyn
4:43.0,C. Capela makes 2-pt shot at rim (assist by D. Motiejunas),2,11-15,,
4:29.0,,,11-17,2,T. Young makes 2-pt shot from 1 ft (assist by J. Jack)
4:14.0,C. Brewer misses 2-pt shot from 7 ft,,11-17,,
4:12.0,Offensive rebound by C. Capela,,11-17,,
4:10.0,Turnover by C. Capela (bad pass; steal by J. Jack),,11-17,,
4:05.0,,,11-19,2,J. Johnson makes 2-pt shot from 1 ft (assist by T. Young)
3:59.0,Houston full timeout,,11-19,,
3:59.0,D. Howard enters the game for C. Capela,,11-19,,
3:59.0,T. Jones enters the game for D. Motiejunas,,11-19,,
3:39.0,T. Lawson misses 2-pt shot from 22 ft,,11-19,,
3:37.0,,,11-19,,Defensive rebound by B. Bogdanovic
3:21.0,,,11-19,,J. Johnson misses 2-pt shot from 7 ft (block by D. Howard)
3:19.0,,,11-19,,Offensive rebound by J. Johnson
3:16.0,,,11-22,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by J. Johnson)
3:06.0,J. Harden misses 2-pt shot from 17 ft,,11-22,,
3:03.0,,,11-22,,Defensive rebound by T. Robinson
2:57.0,,,11-22,,J. Johnson misses 3-pt shot from 23 ft
2:56.0,,,11-22,,Offensive rebound by B. Bogdanovic
2:55.0,,,11-24,2,B. Bogdanovic makes 2-pt shot from 1 ft
2:42.0,C. Brewer makes 3-pt shot from 24 ft (assist by T. Lawson),3,14-24,,
2:30.0,,,14-24,,Shooting foul by J. Harden (drawn by B. Bogdanovic)
2:30.0,,,14-24,,B. Bogdanovic misses free throw 1 of 2
2:30.0,,,14-24,,Offensive rebound by Team
2:30.0,M. Thornton enters the game for J. Harden,,14-24,,
2:30.0,,,14-24,,B. Bogdanovic misses free throw 2 of 2
2:28.0,Defensive rebound by D. Howard,,14-24,,
2:08.0,C. Brewer makes 3-pt shot from 23 ft (assist by T. Jones),3,17-24,,
1:51.0,,,17-24,,Turnover by T. Robinson (lost ball; steal by T. Jones)
1:46.0,T. Jones misses 2-pt shot from 1 ft (block by T. Robinson),,17-24,,
1:44.0,,,17-24,,Defensive rebound by T. Young
1:36.0,,,17-26,2,T. Young makes 2-pt shot from 1 ft
1:24.0,T. Jones misses 3-pt shot from 24 ft,,17-26,,
1:23.0,Offensive rebound by D. Howard,,17-26,,
1:22.0,Shooting foul by T. Robinson (drawn by D. Howard),,17-26,,
1:22.0,D. Howard makes free throw 1 of 2,1,18-26,,
1:22.0,,,18-26,,B. Lopez enters the game for T. Young
1:22.0,,,18-26,,S. Larkin enters the game for J. Jack
1:22.0,,,18-26,,W. Ellington enters the game for J. Johnson
1:22.0,D. Howard makes free throw 2 of 2,1,19-26,,
1:09.0,,,19-29,3,W. Ellington makes 3-pt shot from 23 ft (assist by S. Larkin)
1:02.0,T. Lawson misses 2-pt shot from 1 ft (block by T. Robinson),,19-29,,
1:00.0,Offensive rebound by C. Brewer,,19-29,,
0:58.0,M. Thornton makes 3-pt shot from 23 ft (assist by C. Brewer),3,22-29,,
0:42.0,,,22-29,,B. Bogdanovic misses 2-pt shot from 9 ft
0:42.0,,,22-29,,Offensive rebound by B. Lopez
0:42.0,,,22-31,2,B. Lopez makes 2-pt shot from 2 ft
0:30.0,D. Howard makes 2-pt shot at rim (assist by M. Thornton),2,24-31,,
0:06.0,,,24-31,,T. Robinson misses 2-pt shot from 14 ft
0:05.0,Defensive rebound by M. Thornton,,24-31,,
0:01.0,M. Thornton misses 3-pt shot from 27 ft,,24-31,,
0:00.0,Offensive rebound by Team,,24-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,24-31,,B. Lopez misses 2-pt shot from 7 ft
11:44.0,,,24-31,,Offensive rebound by B. Lopez
11:42.0,,,24-33,2,B. Lopez makes 2-pt shot at rim
11:25.0,Turnover by D. Howard (lost ball),,24-33,,
11:09.0,,,24-33,,S. Larkin misses 2-pt shot from 2 ft (block by D. Howard)
11:07.0,Defensive rebound by M. Thornton,,24-33,,
11:01.0,C. Brewer misses 3-pt shot from 22 ft,,24-33,,
11:00.0,Offensive rebound by T. Jones,,24-33,,
10:55.0,,,24-33,,Personal foul by W. Ellington (drawn by D. Howard)
10:43.0,M. Thornton misses 2-pt shot from 3 ft (block by B. Lopez),,24-33,,
10:42.0,Offensive rebound by Team,,24-33,,
10:42.0,,,24-33,,J. Johnson enters the game for B. Bogdanovic
10:42.0,C. Capela enters the game for D. Howard,,24-33,,
10:36.0,T. Jones makes 3-pt shot from 27 ft (assist by M. Thornton),3,27-33,,
10:20.0,Personal foul by C. Capela (drawn by B. Lopez),,27-33,,
10:13.0,,,27-33,,Shooting foul by T. Jones (drawn by S. Larkin)
10:13.0,,,27-34,1,S. Larkin makes free throw 1 of 2
10:13.0,,,27-35,1,S. Larkin makes free throw 2 of 2
9:56.0,Turnover by C. Capela (bad pass; steal by J. Johnson),,27-35,,
9:52.0,,,27-35,,W. Ellington misses 2-pt shot from 1 ft
9:51.0,Defensive rebound by T. Jones,,27-35,,
9:39.0,M. Thornton makes 3-pt shot from 23 ft (assist by T. Jones),3,30-35,,
9:23.0,,,30-37,2,T. Robinson makes 2-pt shot at rim (assist by S. Larkin)
9:23.0,,,30-37,,Shooting foul by C. Capela (drawn by T. Robinson)
9:23.0,P. Beverley enters the game for T. Lawson,,30-37,,
9:23.0,D. Motiejunas enters the game for C. Brewer,,30-37,,
9:23.0,J. Harden enters the game for T. Jones,,30-37,,
9:23.0,,,30-38,1,T. Robinson makes free throw 1 of 1
9:11.0,P. Beverley misses 2-pt shot from 5 ft (block by B. Lopez),,30-38,,
9:10.0,Offensive rebound by C. Capela,,30-38,,
9:08.0,C. Capela misses 2-pt shot at rim (block by B. Lopez),,30-38,,
9:06.0,,,30-38,,Defensive rebound by T. Robinson
8:59.0,,,30-38,,W. Ellington misses 2-pt shot from 16 ft
8:57.0,Defensive rebound by C. Capela,,30-38,,
8:50.0,,,30-38,,Personal foul by T. Robinson (drawn by C. Capela)
8:50.0,Official timeout,,30-38,,
8:50.0,,,30-38,,T. Young enters the game for T. Robinson
8:35.0,Turnover by Team (shot clock),,30-38,,
8:22.0,,,30-38,,S. Larkin misses 2-pt shot from 15 ft
8:21.0,Defensive rebound by M. Thornton,,30-38,,
8:11.0,Turnover by M. Thornton (bad pass; steal by T. Young),,30-38,,
8:04.0,,,30-38,,W. Ellington misses 3-pt shot from 24 ft
8:03.0,Defensive rebound by C. Capela,,30-38,,
7:55.0,P. Beverley misses 3-pt shot from 23 ft,,30-38,,
7:54.0,Offensive rebound by Team,,30-38,,
7:50.0,,,30-38,,Personal foul by J. Johnson (drawn by J. Harden)
7:40.0,Turnover by D. Motiejunas (bad pass),,30-38,,
7:40.0,,,30-38,,J. Jack enters the game for W. Ellington
7:22.0,,,30-38,,J. Johnson misses 2-pt shot from 13 ft
7:20.0,Defensive rebound by D. Motiejunas,,30-38,,
7:16.0,C. Capela misses 2-pt shot from 1 ft,,30-38,,
7:15.0,,,30-38,,Defensive rebound by T. Young
7:07.0,,,30-38,,J. Johnson misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by M. Thornton,,30-38,,
7:03.0,Turnover by J. Harden (offensive foul),,30-38,,
7:03.0,Offensive charge foul by J. Harden,,30-38,,
7:03.0,T. Jones enters the game for C. Capela,,30-38,,
7:03.0,D. Howard enters the game for D. Motiejunas,,30-38,,
6:46.0,,,30-40,2,T. Young makes 2-pt shot at rim (assist by J. Johnson)
6:20.0,M. Thornton makes 3-pt shot from 27 ft (assist by P. Beverley),3,33-40,,
6:11.0,,,33-40,,Shooting foul by D. Howard (drawn by B. Lopez)
6:11.0,,,33-41,1,B. Lopez makes free throw 1 of 2
6:11.0,C. Brewer enters the game for M. Thornton,,33-41,,
6:11.0,,,33-42,1,B. Lopez makes free throw 2 of 2
5:45.0,C. Brewer makes 3-pt shot from 24 ft,3,36-42,,
5:29.0,,,36-42,,Turnover by S. Larkin (lost ball; steal by P. Beverley)
5:24.0,C. Brewer makes 2-pt shot from 2 ft (assist by P. Beverley),2,38-42,,
5:11.0,,,38-42,,Shooting foul by P. Beverley (drawn by B. Lopez)
5:11.0,,,38-42,,Brooklyn full timeout
5:11.0,,,38-42,,B. Bogdanovic enters the game for S. Larkin
5:11.0,,,38-43,1,B. Lopez makes free throw 1 of 2
5:11.0,,,38-44,1,B. Lopez makes free throw 2 of 2
4:56.0,C. Brewer misses 3-pt shot from 24 ft,,38-44,,
4:55.0,,,38-44,,Defensive rebound by J. Johnson
4:46.0,,,38-44,,Turnover by J. Johnson (bad pass; steal by P. Beverley)
4:41.0,D. Howard makes 2-pt shot at rim (assist by C. Brewer),2,40-44,,
4:27.0,,,40-46,2,J. Jack makes 2-pt shot from 20 ft
4:15.0,Turnover by J. Harden (bad pass; steal by T. Young),,40-46,,
4:07.0,,,40-48,2,B. Bogdanovic makes 2-pt shot from 4 ft (assist by T. Young)
3:50.0,C. Brewer misses 2-pt shot from 1 ft,,40-48,,
3:48.0,,,40-48,,Defensive rebound by T. Young
3:40.0,,,40-48,,B. Lopez misses 2-pt shot from 8 ft
3:39.0,Defensive rebound by T. Jones,,40-48,,
3:21.0,T. Jones makes 2-pt shot from 9 ft,2,42-48,,
3:21.0,Violation by Team (delay of game),,42-48,,
2:58.0,,,42-51,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by T. Young)
2:46.0,J. Harden misses 2-pt shot from 3 ft,,42-51,,
2:45.0,,,42-51,,Defensive rebound by Team
2:45.0,Loose ball foul by T. Jones (drawn by B. Lopez),,42-51,,
2:45.0,Houston full timeout,,42-51,,
2:45.0,C. Capela enters the game for D. Howard,,42-51,,
2:45.0,,,42-52,1,B. Lopez makes free throw 1 of 2
2:45.0,,,42-53,1,B. Lopez makes free throw 2 of 2
2:36.0,Shooting foul by B. Lopez (drawn by J. Harden),,42-53,,
2:36.0,J. Harden makes free throw 1 of 2,1,43-53,,
2:36.0,J. Harden makes free throw 2 of 2,1,44-53,,
2:16.0,,,44-53,,Turnover by J. Jack (lost ball; steal by P. Beverley)
2:09.0,C. Capela misses 2-pt shot from 1 ft,,44-53,,
2:08.0,,,44-53,,Defensive rebound by T. Young
2:00.0,,,44-53,,J. Jack misses 3-pt shot from 24 ft
1:58.0,Defensive rebound by J. Harden,,44-53,,
1:55.0,J. Harden misses 3-pt shot from 24 ft,,44-53,,
1:54.0,,,44-53,,Defensive rebound by J. Jack
1:48.0,,,44-53,,Turnover by T. Young (lost ball; steal by C. Brewer)
1:31.0,J. Harden misses 3-pt shot from 25 ft,,44-53,,
1:30.0,,,44-53,,Defensive rebound by J. Jack
1:10.0,,,44-53,,T. Young misses 2-pt shot from 5 ft
1:09.0,,,44-53,,Offensive rebound by T. Young
1:08.0,,,44-53,,Turnover by T. Young (bad pass)
0:49.0,P. Beverley misses 3-pt shot from 25 ft,,44-53,,
0:48.0,,,44-53,,Defensive rebound by B. Lopez
0:37.0,,,44-55,2,B. Lopez makes 2-pt shot from 7 ft
0:15.0,Turnover by J. Harden (lost ball; steal by J. Johnson),,44-55,,
0:11.0,,,44-57,2,T. Young makes 2-pt shot at rim (assist by J. Jack)
0:00.0,P. Beverley makes 2-pt shot from 11 ft,2,46-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,46-59,2,J. Jack makes 2-pt shot from 20 ft (assist by B. Bogdanovic)
11:13.0,C. Capela makes 2-pt shot from 8 ft (assist by J. Harden),2,48-59,,
10:57.0,,,48-59,,B. Bogdanovic misses 3-pt shot from 22 ft
10:56.0,Defensive rebound by C. Capela,,48-59,,
10:47.0,Turnover by J. Harden (traveling),,48-59,,
10:32.0,,,48-59,,Turnover by B. Lopez (bad pass)
10:21.0,Turnover by C. Capela (bad pass),,48-59,,
10:10.0,,,48-59,,Turnover by J. Jack (bad pass; steal by P. Beverley)
10:04.0,C. Brewer makes 2-pt shot from 2 ft (assist by J. Harden),2,50-59,,
9:49.0,,,50-61,2,J. Johnson makes 2-pt shot from 16 ft (assist by J. Jack)
9:22.0,P. Beverley misses 3-pt shot from 24 ft,,50-61,,
9:21.0,,,50-61,,Defensive rebound by B. Bogdanovic
9:13.0,,,50-61,,Turnover by J. Jack (bad pass; steal by J. Harden)
9:09.0,P. Beverley makes 2-pt shot from 2 ft (assist by J. Harden),2,52-61,,
8:52.0,,,52-61,,Turnover by B. Lopez (lost ball; steal by C. Brewer)
8:50.0,Turnover by C. Brewer (bad pass),,52-61,,
8:39.0,,,52-63,2,J. Jack makes 2-pt shot from 19 ft
8:26.0,P. Beverley misses 3-pt shot from 25 ft,,52-63,,
8:25.0,,,52-63,,Defensive rebound by T. Young
8:14.0,,,52-65,2,B. Lopez makes 2-pt shot from 11 ft (assist by J. Jack)
8:14.0,Houston full timeout,,52-65,,
8:14.0,T. Jones enters the game for D. Howard,,52-65,,
8:05.0,Shooting foul by J. Jack (drawn by J. Harden),,52-65,,
8:05.0,J. Harden makes free throw 1 of 2,1,53-65,,
8:05.0,J. Harden makes free throw 2 of 2,1,54-65,,
7:50.0,,,54-65,,B. Bogdanovic misses 2-pt shot from 1 ft
7:49.0,Defensive rebound by C. Capela,,54-65,,
7:42.0,J. Harden misses 3-pt shot from 24 ft,,54-65,,
7:41.0,,,54-65,,Defensive rebound by J. Jack
7:29.0,,,54-68,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson)
6:59.0,C. Brewer makes 2-pt shot from 20 ft,2,56-68,,
6:49.0,,,56-70,2,T. Young makes 2-pt shot from 17 ft (assist by J. Jack)
6:31.0,Turnover by C. Brewer (bad pass; steal by T. Young),,56-70,,
6:27.0,,,56-72,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by J. Johnson)
6:00.0,T. Jones misses 2-pt shot from 17 ft,,56-72,,
5:59.0,,,56-72,,Defensive rebound by T. Young
5:42.0,,,56-74,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Jack)
5:42.0,Houston full timeout,,56-74,,
5:42.0,D. Howard enters the game for C. Capela,,56-74,,
5:42.0,M. Thornton enters the game for T. Jones,,56-74,,
5:42.0,,,56-74,,T. Robinson enters the game for B. Lopez
5:26.0,M. Thornton makes 2-pt shot from 7 ft,2,58-74,,
5:13.0,Personal foul by P. Beverley (drawn by J. Jack),,58-74,,
5:10.0,Personal foul by P. Beverley (drawn by J. Jack),,58-74,,
5:10.0,T. Lawson enters the game for P. Beverley,,58-74,,
5:04.0,,,58-74,,T. Robinson misses 2-pt shot from 1 ft
5:03.0,Defensive rebound by D. Howard,,58-74,,
4:59.0,Turnover by J. Harden (bad pass; steal by J. Jack),,58-74,,
4:53.0,,,58-74,,B. Bogdanovic misses 3-pt shot from 24 ft
4:51.0,Defensive rebound by D. Howard,,58-74,,
4:44.0,C. Brewer misses 3-pt shot from 23 ft,,58-74,,
4:43.0,,,58-74,,Defensive rebound by T. Robinson
4:35.0,,,58-74,,T. Young misses 2-pt shot from 2 ft
4:34.0,Defensive rebound by J. Harden,,58-74,,
4:26.0,,,58-74,,Personal foul by T. Robinson (drawn by D. Howard)
4:26.0,,,58-74,,Brooklyn full timeout
4:26.0,J. Terry enters the game for C. Brewer,,58-74,,
4:26.0,,,58-74,,W. Ellington enters the game for B. Bogdanovic
4:10.0,M. Thornton makes 2-pt shot from 12 ft,2,60-74,,
3:51.0,,,60-74,,W. Ellington misses 3-pt shot from 24 ft
3:50.0,Defensive rebound by D. Howard,,60-74,,
3:42.0,M. Thornton makes 2-pt shot from 3 ft,2,62-74,,
3:31.0,,,62-74,,J. Jack misses 2-pt shot from 18 ft
3:30.0,Defensive rebound by D. Howard,,62-74,,
3:29.0,,,62-74,,Personal foul by T. Robinson (drawn by D. Howard)
3:29.0,,,62-74,,B. Lopez enters the game for T. Robinson
3:12.0,Turnover by J. Harden (bad pass; steal by J. Jack),,62-74,,
2:52.0,,,62-76,2,W. Ellington makes 2-pt shot from 17 ft (assist by J. Johnson)
2:40.0,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden),2,64-76,,
2:40.0,Shooting foul by J. Jack (drawn by D. Howard),,64-76,,
2:40.0,C. Brewer enters the game for J. Harden,,64-76,,
2:40.0,,,64-76,,S. Larkin enters the game for J. Johnson
2:40.0,D. Howard misses free throw 1 of 1,,64-76,,
2:39.0,,,64-76,,Defensive rebound by T. Young
2:29.0,,,64-76,,Turnover by J. Jack (lost ball; steal by D. Howard)
2:19.0,C. Brewer makes 3-pt shot from 24 ft (assist by T. Lawson),3,67-76,,
2:19.0,,,67-76,,Brooklyn full timeout
2:06.0,,,67-76,,Turnover by B. Lopez (lost ball; steal by J. Terry)
1:55.0,J. Terry misses 3-pt shot from 22 ft,,67-76,,
1:54.0,Offensive rebound by C. Brewer,,67-76,,
1:52.0,C. Brewer makes 2-pt shot from 1 ft,2,69-76,,
1:35.0,Personal foul by C. Brewer (drawn by S. Larkin),,69-76,,
1:27.0,,,69-76,,J. Jack misses 2-pt shot from 9 ft
1:26.0,Defensive rebound by J. Terry,,69-76,,
1:17.0,M. Thornton misses 2-pt shot from 2 ft,,69-76,,
1:16.0,,,69-76,,Defensive rebound by W. Ellington
1:05.0,,,69-78,2,T. Young makes 2-pt shot from 8 ft (assist by S. Larkin)
0:51.0,Turnover by C. Brewer (lost ball; steal by S. Larkin),,69-78,,
0:47.0,,,69-78,,W. Ellington misses 2-pt shot from 1 ft
0:45.0,,,69-78,,Offensive rebound by T. Young
0:43.0,,,69-78,,Brooklyn full timeout
0:43.0,,,69-78,,J. Johnson enters the game for T. Young
0:43.0,,,69-78,,Turnover by W. Ellington (bad pass; steal by D. Howard)
0:39.0,Turnover by D. Howard (bad pass; steal by S. Larkin),,69-78,,
0:34.0,,,69-78,,J. Jack misses 2-pt shot from 2 ft (block by T. Lawson)
0:34.0,,,69-78,,Offensive rebound by W. Ellington
0:33.0,,,69-80,2,W. Ellington makes 2-pt shot from 2 ft
0:22.0,J. Terry makes 3-pt shot from 23 ft (assist by M. Thornton),3,72-80,,
0:01.0,,,72-80,,Turnover by S. Larkin (bad pass; steal by C. Brewer)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,J. Terry misses 2-pt shot from 5 ft,,72-80,,
11:47.0,,,72-80,,Defensive rebound by B. Lopez
11:35.0,,,72-80,,Turnover by S. Larkin (bad pass; steal by J. Terry)
11:23.0,M. Thornton misses 3-pt shot from 24 ft,,72-80,,
11:22.0,,,72-80,,Defensive rebound by Team
11:03.0,,,72-80,,Turnover by B. Lopez (bad pass; steal by T. Lawson)
11:00.0,,,72-80,,Personal foul by B. Bogdanovic (drawn by J. Terry)
10:49.0,C. Capela makes 2-pt shot from 1 ft (assist by T. Lawson),2,74-80,,
10:30.0,,,74-82,2,J. Johnson makes 2-pt shot from 7 ft
10:06.0,Turnover by C. Brewer (lost ball; steal by B. Lopez),,74-82,,
9:51.0,,,74-84,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Johnson)
9:36.0,M. Thornton misses 2-pt shot from 10 ft,,74-84,,
9:35.0,Offensive rebound by C. Capela,,74-84,,
9:31.0,M. Thornton makes 3-pt shot from 24 ft (assist by T. Lawson),3,77-84,,
9:06.0,,,77-84,,J. Johnson misses 2-pt shot from 13 ft
9:05.0,Defensive rebound by M. Thornton,,77-84,,
8:59.0,M. Thornton makes 3-pt shot from 26 ft,3,80-84,,
8:58.0,,,80-84,,Brooklyn full timeout
8:58.0,,,80-84,,T. Young enters the game for B. Lopez
8:48.0,,,80-84,,Turnover by S. Larkin (bad pass; steal by M. Thornton)
8:45.0,M. Thornton makes 2-pt shot from 2 ft,2,82-84,,
8:28.0,,,82-87,3,J. Johnson makes 3-pt shot from 22 ft (assist by T. Young)
8:10.0,C. Brewer misses 3-pt shot from 24 ft,,82-87,,
8:08.0,,,82-87,,Defensive rebound by J. Johnson
7:52.0,,,82-89,2,J. Johnson makes 2-pt shot from 7 ft
7:38.0,M. Thornton makes 2-pt shot from 16 ft,2,84-89,,
7:20.0,,,84-89,,B. Bogdanovic misses 2-pt shot from 17 ft
7:19.0,,,84-89,,Offensive rebound by J. Johnson
7:15.0,Violation by C. Capela (def goaltending),,84-89,,
7:15.0,,,84-91,2,T. Young makes 2-pt shot from 2 ft
7:08.0,Shooting foul by T. Young (drawn by M. Thornton),,84-91,,
7:08.0,M. Thornton makes free throw 1 of 3,1,85-91,,
7:08.0,M. Thornton makes free throw 2 of 3,1,86-91,,
7:08.0,,,86-91,,J. Jack enters the game for S. Larkin
7:08.0,J. Harden enters the game for C. Brewer,,86-91,,
7:08.0,M. Thornton makes free throw 3 of 3,1,87-91,,
6:52.0,,,87-93,2,T. Young makes 2-pt shot from 2 ft
6:36.0,M. Thornton makes 2-pt shot from 5 ft (assist by T. Lawson),2,89-93,,
6:19.0,,,89-95,2,J. Johnson makes 2-pt shot from 21 ft
6:07.0,T. Lawson misses 2-pt shot from 2 ft,,89-95,,
6:05.0,,,89-95,,Defensive rebound by T. Young
6:01.0,,,89-95,,Turnover by T. Young (bad pass; steal by J. Harden)
5:58.0,J. Harden misses 2-pt shot from 2 ft,,89-95,,
5:56.0,,,89-95,,Defensive rebound by T. Young
5:54.0,,,89-95,,Shooting foul by J. Terry (drawn by J. Johnson)
5:54.0,,,89-95,,M. Brown enters the game for W. Ellington
5:54.0,P. Beverley enters the game for T. Lawson,,89-95,,
5:54.0,D. Howard enters the game for C. Capela,,89-95,,
5:54.0,,,89-96,1,J. Johnson makes free throw 1 of 2
5:54.0,,,89-96,,B. Lopez enters the game for T. Young
5:54.0,,,89-96,,J. Johnson misses free throw 2 of 2
5:48.0,Defensive rebound by M. Thornton,,89-96,,
5:29.0,D. Howard misses 2-pt shot from 1 ft,,89-96,,
5:28.0,,,89-96,,Defensive rebound by M. Brown
5:06.0,,,89-96,,J. Johnson misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by D. Howard,,89-96,,
5:02.0,,,89-96,,Personal foul by J. Johnson (drawn by J. Harden)
4:51.0,M. Thornton makes 2-pt shot from 13 ft,2,91-96,,
4:27.0,,,91-99,3,M. Brown makes 3-pt shot from 23 ft (assist by J. Johnson)
4:16.0,Turnover by D. Howard (lost ball; steal by B. Bogdanovic),,91-99,,
3:59.0,,,91-99,,M. Brown misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by J. Harden,,91-99,,
3:54.0,Turnover by J. Harden (bad pass),,91-99,,
3:37.0,,,91-99,,Turnover by B. Lopez (bad pass; steal by M. Thornton)
3:29.0,J. Terry misses 3-pt shot from 22 ft,,91-99,,
3:28.0,Offensive rebound by J. Terry,,91-99,,
3:24.0,J. Harden makes 3-pt shot from 25 ft (assist by J. Terry),3,94-99,,
2:57.0,,,94-101,2,J. Johnson makes 2-pt shot from 10 ft
2:39.0,J. Terry makes 3-pt shot from 24 ft (assist by P. Beverley),3,97-101,,
2:20.0,,,97-103,2,B. Lopez makes 2-pt shot at rim (assist by M. Brown)
2:04.0,D. Howard makes 2-pt shot from 2 ft (assist by J. Harden),2,99-103,,
2:04.0,Shooting foul by J. Johnson (drawn by D. Howard),,99-103,,
2:04.0,Houston full timeout,,99-103,,
2:04.0,C. Brewer enters the game for J. Terry,,99-103,,
2:04.0,D. Howard misses free throw 1 of 1,,99-103,,
2:03.0,,,99-103,,Defensive rebound by B. Lopez
1:51.0,,,99-103,,Offensive foul by B. Lopez
1:51.0,,,99-103,,Turnover by B. Lopez (offensive foul)
1:34.0,M. Thornton misses 3-pt shot from 22 ft,,99-103,,
1:32.0,,,99-103,,Defensive rebound by J. Jack
1:29.0,,,99-105,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Jack)
1:18.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden),3,102-105,,
