time,Philadelphia,pts.away,score,pts.home,Brooklyn
7:16.0,,,7-9,,Defensive rebound by T. Young
7:15.0,Personal foul by N. Noel (drawn by T. Young),,7-9,,
7:15.0,J. Grant enters the game for J. Okafor,,7-9,,
7:15.0,,,7-9,,T. Robinson enters the game for B. Lopez
6:55.0,,,7-9,,J. Jack misses 2-pt shot from 19 ft
6:54.0,Defensive rebound by T. McConnell,,7-9,,
6:48.0,I. Canaan misses 3-pt shot from 25 ft,,7-9,,
6:46.0,Offensive rebound by J. Grant,,7-9,,
6:35.0,J. Grant misses 3-pt shot from 23 ft,,7-9,,
6:34.0,Offensive rebound by N. Noel,,7-9,,
6:32.0,Philadelphia full timeout,,7-9,,
6:32.0,R. Holmes enters the game for N. Noel,,7-9,,
6:32.0,N. Stauskas enters the game for I. Canaan,,7-9,,
6:22.0,R. Covington misses 3-pt shot from 25 ft,,7-9,,
6:21.0,Offensive rebound by Team,,7-9,,
6:13.0,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas),2,9-9,,
5:53.0,,,9-11,2,J. Johnson makes 2-pt shot from 4 ft
5:37.0,Turnover by T. McConnell (bad pass; steal by T. Young),,9-11,,
5:35.0,,,9-11,,Shooting foul by N. Stauskas (drawn by T. Young)
5:35.0,,,9-11,,T. Young misses free throw 1 of 2
5:35.0,,,9-11,,Offensive rebound by Team
5:35.0,H. Thompson enters the game for R. Covington,,9-11,,
5:35.0,,,9-12,1,T. Young makes free throw 2 of 2
5:23.0,R. Holmes makes 2-pt shot from 1 ft (assist by H. Thompson),2,11-12,,
5:11.0,,,11-15,3,J. Jack makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
4:50.0,R. Holmes misses 2-pt shot from 15 ft,,11-15,,
4:49.0,,,11-15,,Defensive rebound by J. Jack
4:39.0,,,11-17,2,T. Robinson makes 2-pt shot from 18 ft (assist by J. Jack)
4:24.0,N. Stauskas misses 3-pt shot from 24 ft,,11-17,,
4:23.0,,,11-17,,Defensive rebound by T. Robinson
4:11.0,,,11-17,,B. Bogdanovic misses 2-pt shot from 13 ft
4:10.0,Defensive rebound by J. Grant,,11-17,,
4:04.0,,,11-17,,Personal foul by B. Bogdanovic (drawn by N. Stauskas)
3:49.0,T. McConnell misses 2-pt shot from 12 ft,,11-17,,
3:48.0,,,11-17,,Defensive rebound by J. Jack
3:45.0,,,11-17,,Turnover by J. Jack (lost ball; steal by T. McConnell)
3:42.0,Shooting foul by T. Robinson (drawn by R. Holmes),,11-17,,
3:42.0,R. Holmes makes free throw 1 of 2,1,12-17,,
3:42.0,,,12-17,,S. Larkin enters the game for J. Jack
3:42.0,,,12-17,,B. Lopez enters the game for T. Young
3:42.0,R. Holmes makes free throw 2 of 2,1,13-17,,
3:32.0,,,13-17,,Turnover by J. Johnson (bad pass)
3:12.0,J. Grant misses 3-pt shot from 23 ft,,13-17,,
3:11.0,,,13-17,,Defensive rebound by B. Lopez
3:02.0,,,13-17,,T. Robinson misses 2-pt shot from 18 ft
3:01.0,Defensive rebound by J. Grant,,13-17,,
2:51.0,T. McConnell misses 2-pt shot from 9 ft,,13-17,,
2:50.0,Offensive rebound by J. Grant,,13-17,,
2:49.0,,,13-17,,Brooklyn full timeout
2:49.0,J. Okafor enters the game for R. Holmes,,13-17,,
2:49.0,,,13-17,,A. Bargnani enters the game for T. Robinson
2:49.0,,,13-17,,W. Ellington enters the game for J. Johnson
2:46.0,N. Stauskas misses 3-pt shot from 23 ft,,13-17,,
2:45.0,,,13-17,,Defensive rebound by B. Bogdanovic
2:32.0,,,13-17,,A. Bargnani misses 2-pt shot from 4 ft (block by J. Okafor)
2:31.0,,,13-17,,Offensive rebound by A. Bargnani
2:29.0,,,13-17,,A. Bargnani misses 2-pt shot from 1 ft (block by J. Grant)
2:28.0,,,13-17,,Offensive rebound by A. Bargnani
2:26.0,,,13-19,2,A. Bargnani makes 2-pt shot from 1 ft
2:11.0,Turnover by J. Okafor (lost ball; steal by W. Ellington),,13-19,,
1:55.0,,,13-22,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by S. Larkin)
1:32.0,T. McConnell misses 3-pt shot from 24 ft,,13-22,,
1:31.0,,,13-22,,Defensive rebound by B. Bogdanovic
1:13.0,,,13-22,,A. Bargnani misses 2-pt shot from 6 ft (block by J. Grant)
1:12.0,Defensive rebound by J. Okafor,,13-22,,
1:07.0,J. Grant misses 2-pt shot at rim,,13-22,,
1:06.0,,,13-22,,Defensive rebound by A. Bargnani
1:00.0,Personal foul by J. Okafor (drawn by B. Lopez),,13-22,,
1:00.0,I. Canaan enters the game for T. McConnell,,13-22,,
0:53.0,,,13-24,2,A. Bargnani makes 2-pt shot from 16 ft (assist by S. Larkin)
0:38.0,H. Thompson misses 3-pt shot from 23 ft,,13-24,,
0:37.0,,,13-24,,Defensive rebound by B. Lopez
0:26.0,,,13-24,,B. Bogdanovic misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by N. Stauskas,,13-24,,
0:18.0,,,13-24,,Personal foul by W. Ellington (drawn by N. Stauskas)
0:18.0,,,13-24,,W. Reed enters the game for B. Lopez
0:18.0,R. Covington enters the game for J. Grant,,13-24,,
0:18.0,,,13-24,,M. Brown enters the game for A. Bargnani
0:04.0,N. Stauskas misses 3-pt shot from 25 ft,,13-24,,
0:02.0,,,13-24,,Defensive rebound by W. Reed
0:00.0,,,13-24,,B. Bogdanovic misses 3-pt shot from 30 ft
0:00.0,,,13-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,13-24,,Personal foul by S. Larkin (drawn by J. Okafor)
11:25.0,Turnover by N. Noel (3 sec),,13-24,,
11:08.0,,,13-24,,Shooting foul by H. Thompson (drawn by T. Young)
11:08.0,,,13-25,1,T. Young makes free throw 1 of 2
11:08.0,,,13-26,1,T. Young makes free throw 2 of 2
11:01.0,I. Canaan misses 2-pt shot from 1 ft,,13-26,,
11:00.0,Offensive rebound by I. Canaan,,13-26,,
10:57.0,H. Thompson misses 3-pt shot from 23 ft,,13-26,,
10:56.0,,,13-26,,Defensive rebound by W. Ellington
10:55.0,Personal foul by R. Covington (drawn by W. Ellington),,13-26,,
10:37.0,,,13-29,3,W. Ellington makes 3-pt shot from 23 ft (assist by S. Larkin)
10:36.0,Philadelphia full timeout,,13-29,,
10:36.0,T. Wroten enters the game for H. Thompson,,13-29,,
10:17.0,N. Noel misses 2-pt shot from 5 ft,,13-29,,
10:16.0,Offensive rebound by J. Okafor,,13-29,,
10:15.0,J. Okafor makes 2-pt shot from 2 ft,2,15-29,,
10:01.0,,,15-31,2,T. Young makes 2-pt shot at rim (assist by S. Larkin)
9:34.0,R. Covington makes 2-pt shot from 15 ft (assist by T. Wroten),2,17-31,,
9:19.0,,,17-31,,W. Reed misses 2-pt shot from 9 ft
9:18.0,Defensive rebound by T. Wroten,,17-31,,
9:07.0,T. Wroten makes 2-pt shot from 1 ft (assist by J. Okafor),2,19-31,,
8:49.0,,,19-31,,Turnover by T. Young (lost ball; steal by N. Noel)
8:42.0,,,19-31,,J. Johnson enters the game for W. Ellington
8:34.0,Shooting foul by M. Brown (drawn by T. Wroten),,19-31,,
8:34.0,T. Wroten makes free throw 1 of 2,1,20-31,,
8:34.0,T. Wroten makes free throw 2 of 2,1,21-31,,
8:20.0,,,21-31,,Turnover by W. Reed (lost ball; steal by R. Covington)
8:11.0,R. Covington misses 3-pt shot from 24 ft,,21-31,,
8:10.0,,,21-31,,Defensive rebound by W. Reed
7:54.0,,,21-33,2,M. Brown makes 2-pt shot from 19 ft
7:44.0,J. Grant enters the game for J. Okafor,,21-33,,
7:44.0,,,21-33,,B. Lopez enters the game for W. Reed
7:33.0,T. Wroten misses 3-pt shot from 26 ft,,21-33,,
7:32.0,,,21-33,,Defensive rebound by S. Larkin
7:27.0,,,21-35,2,S. Larkin makes 2-pt shot from 2 ft
7:15.0,J. Grant misses 2-pt shot from 2 ft,,21-35,,
7:14.0,Offensive rebound by N. Noel,,21-35,,
7:13.0,N. Noel misses 2-pt shot at rim,,21-35,,
7:12.0,Offensive rebound by J. Grant,,21-35,,
7:08.0,I. Canaan makes 2-pt shot from 2 ft,2,23-35,,
6:54.0,,,23-35,,Turnover by B. Lopez (bad pass; steal by I. Canaan)
6:48.0,,,23-35,,Personal foul by T. Young (drawn by R. Covington)
6:48.0,N. Stauskas enters the game for T. Wroten,,23-35,,
6:48.0,T. McConnell enters the game for I. Canaan,,23-35,,
6:48.0,,,23-35,,J. Jack enters the game for S. Larkin
6:38.0,R. Covington misses 2-pt shot from 3 ft,,23-35,,
6:37.0,,,23-35,,Defensive rebound by B. Lopez
6:24.0,,,23-35,,Turnover by B. Lopez (lost ball; steal by N. Noel)
6:12.0,R. Covington misses 3-pt shot from 23 ft,,23-35,,
6:12.0,Offensive rebound by Team,,23-35,,
6:12.0,R. Holmes enters the game for N. Noel,,23-35,,
6:12.0,,,23-35,,A. Bargnani enters the game for B. Lopez
6:08.0,R. Covington makes 2-pt shot from 17 ft (assist by N. Stauskas),2,25-35,,
5:53.0,,,25-35,,Turnover by M. Brown (bad pass; steal by T. McConnell)
5:49.0,Turnover by T. McConnell (bad pass),,25-35,,
5:49.0,Official timeout,,25-35,,
5:49.0,,,25-35,,B. Bogdanovic enters the game for M. Brown
5:31.0,,,25-37,2,T. Young makes 2-pt shot from 4 ft (assist by J. Jack)
5:10.0,N. Stauskas misses 3-pt shot from 24 ft,,25-37,,
5:09.0,,,25-37,,Defensive rebound by Team
5:09.0,H. Thompson enters the game for R. Covington,,25-37,,
5:00.0,,,25-39,2,T. Young makes 2-pt shot from 2 ft
5:00.0,,,25-39,,Shooting foul by J. Grant (drawn by T. Young)
5:00.0,,,25-40,1,T. Young makes free throw 1 of 1
4:52.0,,,25-40,,Personal foul by J. Jack (drawn by T. McConnell)
4:43.0,Shooting foul by T. Young (drawn by R. Holmes),,25-40,,
4:43.0,R. Holmes makes free throw 1 of 2,1,26-40,,
4:43.0,R. Holmes makes free throw 2 of 2,1,27-40,,
4:30.0,,,27-42,2,A. Bargnani makes 2-pt shot from 7 ft (assist by B. Bogdanovic)
4:11.0,T. McConnell makes 3-pt shot from 26 ft,3,30-42,,
3:56.0,,,30-44,2,T. Young makes 2-pt shot from 6 ft
3:30.0,J. Grant makes 3-pt shot from 24 ft (assist by R. Holmes),3,33-44,,
3:14.0,,,33-46,2,A. Bargnani makes 2-pt shot from 17 ft (assist by J. Jack)
2:49.0,J. Grant misses 3-pt shot from 23 ft,,33-46,,
2:48.0,Offensive rebound by R. Holmes,,33-46,,
2:47.0,R. Holmes makes 2-pt shot at rim,2,35-46,,
2:40.0,,,35-46,,Brooklyn full timeout
2:40.0,J. Okafor enters the game for J. Grant,,35-46,,
2:37.0,,,35-46,,Shooting foul by R. Holmes (drawn by A. Bargnani)
2:37.0,,,35-47,1,A. Bargnani makes free throw 1 of 2
2:37.0,,,35-48,1,A. Bargnani makes free throw 2 of 2
2:11.0,T. McConnell makes 3-pt shot from 23 ft (assist by N. Stauskas),3,38-48,,
1:56.0,,,38-50,2,J. Jack makes 2-pt shot from 11 ft
1:35.0,N. Stauskas makes 2-pt shot from 3 ft (assist by J. Okafor),2,40-50,,
1:19.0,,,40-50,,A. Bargnani misses 2-pt shot from 18 ft
1:18.0,Defensive rebound by H. Thompson,,40-50,,
1:13.0,Philadelphia full timeout,,40-50,,
1:13.0,,,40-50,,M. Brown enters the game for A. Bargnani
1:13.0,R. Covington enters the game for R. Holmes,,40-50,,
1:13.0,,,40-50,,W. Reed enters the game for T. Young
0:59.0,H. Thompson misses 2-pt shot from 23 ft,,40-50,,
0:58.0,Offensive rebound by J. Okafor,,40-50,,
0:57.0,J. Okafor makes 2-pt shot from 2 ft,2,42-50,,
0:42.0,,,42-50,,Turnover by J. Jack (bad pass; steal by T. McConnell)
0:35.0,Turnover by J. Okafor (traveling),,42-50,,
0:26.0,,,42-52,2,W. Reed makes 2-pt shot at rim (assist by J. Jack)
0:05.0,Shooting foul by M. Brown (drawn by J. Okafor),,42-52,,
0:05.0,J. Okafor makes free throw 1 of 2,1,43-52,,
0:05.0,J. Grant enters the game for N. Stauskas,,43-52,,
0:05.0,J. Okafor makes free throw 2 of 2,1,44-52,,
0:05.0,,,44-52,,Brooklyn full timeout
0:05.0,,,44-52,,A. Bargnani enters the game for W. Reed
0:05.0,,,44-52,,T. Young enters the game for M. Brown
0:05.0,N. Noel enters the game for J. Okafor,,44-52,,
0:03.0,,,44-52,,Turnover by T. Young (lost ball; steal by N. Noel)
0:01.0,N. Noel misses 2-pt shot from 20 ft,,44-52,,
0:00.0,Offensive rebound by Team,,44-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Shooting foul by B. Lopez (drawn by J. Okafor),,44-52,,
11:46.0,J. Okafor makes free throw 1 of 2,1,45-52,,
11:46.0,J. Okafor makes free throw 2 of 2,1,46-52,,
11:27.0,,,46-52,,J. Johnson misses 3-pt shot from 22 ft
11:26.0,Defensive rebound by T. Wroten,,46-52,,
11:15.0,I. Canaan misses 3-pt shot from 24 ft,,46-52,,
11:14.0,,,46-52,,Defensive rebound by J. Jack
10:57.0,,,46-52,,J. Jack misses 3-pt shot from 25 ft
10:56.0,,,46-52,,Offensive rebound by J. Jack
10:47.0,,,46-52,,T. Young misses 2-pt shot from 7 ft
10:46.0,Defensive rebound by J. Okafor,,46-52,,
10:36.0,Shooting foul by B. Lopez (drawn by J. Okafor),,46-52,,
10:36.0,J. Okafor makes free throw 1 of 2,1,47-52,,
10:36.0,J. Okafor makes free throw 2 of 2,1,48-52,,
10:15.0,,,48-54,2,T. Young makes 2-pt shot from 2 ft
10:05.0,R. Covington misses 3-pt shot from 27 ft,,48-54,,
10:04.0,,,48-54,,Defensive rebound by T. Young
9:57.0,,,48-54,,Shooting foul by R. Covington (drawn by B. Lopez)
9:57.0,,,48-54,,B. Lopez misses free throw 1 of 2
9:57.0,,,48-54,,Offensive rebound by Team
9:57.0,,,48-55,1,B. Lopez makes free throw 2 of 2
9:41.0,N. Noel misses 2-pt shot from 1 ft (block by B. Lopez),,48-55,,
9:40.0,,,48-55,,Defensive rebound by B. Lopez
9:34.0,,,48-55,,T. Young misses 2-pt shot from 2 ft
9:33.0,Defensive rebound by R. Covington,,48-55,,
9:24.0,I. Canaan misses 3-pt shot from 24 ft,,48-55,,
9:23.0,Offensive rebound by J. Okafor,,48-55,,
9:13.0,J. Okafor makes 2-pt shot from 1 ft (assist by T. Wroten),2,50-55,,
9:13.0,,,50-55,,Brooklyn full timeout
9:13.0,,,50-55,,T. Robinson enters the game for B. Lopez
9:00.0,,,50-58,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Jack)
8:35.0,Turnover by Team (shot clock),,50-58,,
8:25.0,,,50-58,,Turnover by T. Robinson (lost ball; steal by T. Wroten)
8:21.0,T. Wroten makes 2-pt shot from 2 ft,2,52-58,,
8:05.0,,,52-58,,T. Young misses 2-pt shot from 4 ft
8:04.0,Defensive rebound by N. Noel,,52-58,,
7:57.0,Turnover by T. Wroten (bad pass; steal by T. Young),,52-58,,
7:52.0,,,52-58,,T. Young misses 2-pt shot from 1 ft (block by R. Covington)
7:51.0,Defensive rebound by I. Canaan,,52-58,,
7:47.0,N. Noel makes 2-pt shot at rim (assist by I. Canaan),2,54-58,,
7:17.0,,,54-58,,J. Johnson misses 2-pt shot from 17 ft
7:16.0,Defensive rebound by T. Wroten,,54-58,,
7:10.0,T. Wroten misses 2-pt shot from 1 ft,,54-58,,
7:09.0,Offensive rebound by J. Okafor,,54-58,,
7:08.0,J. Okafor makes 2-pt shot from 2 ft,2,56-58,,
6:57.0,,,56-58,,J. Jack misses 2-pt shot from 12 ft
6:56.0,Defensive rebound by Team,,56-58,,
6:56.0,,,56-58,,Personal foul by T. Robinson (drawn by I. Canaan)
6:56.0,R. Holmes enters the game for N. Noel,,56-58,,
6:56.0,J. Grant enters the game for J. Okafor,,56-58,,
6:56.0,T. McConnell enters the game for T. Wroten,,56-58,,
6:56.0,,,56-58,,A. Bargnani enters the game for T. Young
6:56.0,,,56-58,,W. Reed enters the game for T. Robinson
6:43.0,R. Covington misses 3-pt shot from 24 ft,,56-58,,
6:42.0,,,56-58,,Defensive rebound by W. Reed
6:33.0,,,56-58,,J. Jack misses 2-pt shot from 17 ft
6:32.0,Defensive rebound by R. Covington,,56-58,,
6:22.0,J. Grant misses 2-pt shot from 2 ft,,56-58,,
6:21.0,,,56-58,,Defensive rebound by J. Jack
6:14.0,,,56-58,,Turnover by J. Jack (bad pass; steal by R. Holmes)
6:01.0,T. McConnell makes 2-pt shot from 18 ft,2,58-58,,
5:49.0,Personal foul by I. Canaan (drawn by J. Johnson),,58-58,,
5:49.0,H. Thompson enters the game for R. Covington,,58-58,,
5:49.0,N. Stauskas enters the game for I. Canaan,,58-58,,
5:49.0,,,58-58,,S. Larkin enters the game for B. Bogdanovic
5:33.0,,,58-60,2,J. Johnson makes 2-pt shot from 9 ft
5:15.0,T. McConnell makes 2-pt shot from 1 ft,2,60-60,,
4:49.0,,,60-62,2,W. Reed makes 2-pt shot at rim (assist by S. Larkin)
4:30.0,N. Stauskas misses 3-pt shot from 24 ft,,60-62,,
4:28.0,,,60-62,,Defensive rebound by Team
4:11.0,,,60-62,,J. Johnson misses 2-pt shot from 8 ft
4:10.0,Defensive rebound by H. Thompson,,60-62,,
4:09.0,,,60-62,,Personal block foul by J. Jack (drawn by R. Holmes)
4:09.0,Philadelphia full timeout,,60-62,,
4:04.0,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas),2,62-62,,
3:49.0,,,62-64,2,W. Reed makes 2-pt shot at rim (assist by S. Larkin)
3:31.0,,,62-64,,Personal block foul by W. Reed (drawn by T. McConnell)
3:31.0,T. McConnell makes free throw 1 of 2,1,63-64,,
3:31.0,T. McConnell makes free throw 2 of 2,1,64-64,,
3:20.0,,,64-64,,Shooting foul by N. Stauskas (drawn by S. Larkin)
3:20.0,,,64-65,1,S. Larkin makes free throw 1 of 2
3:20.0,,,64-65,,W. Ellington enters the game for J. Jack
3:20.0,,,64-66,1,S. Larkin makes free throw 2 of 2
2:55.0,T. McConnell makes 2-pt shot from 14 ft,2,66-66,,
2:42.0,,,66-66,,S. Larkin misses 2-pt shot from 6 ft
2:41.0,Defensive rebound by J. Grant,,66-66,,
2:32.0,,,66-66,,Personal foul by J. Johnson (drawn by H. Thompson)
2:32.0,H. Thompson makes free throw 1 of 2,1,67-66,,
2:32.0,J. Okafor enters the game for R. Holmes,,67-66,,
2:32.0,H. Thompson makes free throw 2 of 2,1,68-66,,
2:18.0,,,68-68,2,S. Larkin makes 2-pt shot from 19 ft (assist by A. Bargnani)
2:03.0,J. Okafor misses 2-pt shot from 16 ft,,68-68,,
2:02.0,,,68-68,,Defensive rebound by W. Ellington
1:46.0,,,68-68,,J. Johnson misses 2-pt shot from 19 ft
1:45.0,Defensive rebound by J. Okafor,,68-68,,
1:39.0,,,68-68,,B. Bogdanovic enters the game for J. Johnson
1:28.0,N. Stauskas misses 3-pt shot from 23 ft,,68-68,,
1:27.0,Offensive rebound by J. Grant,,68-68,,
1:26.0,J. Grant makes 2-pt shot at rim,2,70-68,,
1:01.0,,,70-68,,S. Larkin misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by J. Grant,,70-68,,
0:55.0,J. Grant makes 2-pt shot from 1 ft (assist by T. McConnell),2,72-68,,
0:42.0,,,72-68,,Turnover by S. Larkin (bad pass; steal by J. Grant)
0:41.0,J. Grant makes 2-pt shot from 3 ft,2,74-68,,
0:21.0,,,74-70,2,B. Bogdanovic makes 2-pt shot from 15 ft
0:01.0,N. Stauskas misses 3-pt shot from 26 ft,,74-70,,
0:00.0,Offensive rebound by Team,,74-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,74-72,2,A. Bargnani makes 2-pt shot from 1 ft (assist by M. Brown)
11:43.0,Turnover by T. Wroten (bad pass; steal by S. Larkin),,74-72,,
11:43.0,Personal foul by N. Noel (drawn by S. Larkin),,74-72,,
11:27.0,,,74-72,,A. Bargnani misses 2-pt shot from 19 ft
11:26.0,Defensive rebound by I. Canaan,,74-72,,
11:14.0,J. Okafor misses 2-pt shot from 9 ft,,74-72,,
11:13.0,,,74-72,,Defensive rebound by Team
10:57.0,,,74-75,3,M. Brown makes 3-pt shot from 26 ft
10:33.0,R. Covington makes 2-pt shot from 2 ft (assist by N. Noel),2,76-75,,
10:14.0,,,76-75,,A. Bargnani misses 2-pt shot from 1 ft (block by J. Okafor)
10:13.0,,,76-75,,Offensive rebound by Team
10:13.0,R. Holmes enters the game for J. Okafor,,76-75,,
10:10.0,,,76-77,2,S. Larkin makes 2-pt shot from 3 ft (assist by B. Bogdanovic)
10:10.0,,,76-77,,Shooting foul by R. Covington (drawn by S. Larkin)
10:10.0,,,76-78,1,S. Larkin makes free throw 1 of 1
10:01.0,Shooting foul by M. Brown (drawn by T. Wroten),,76-78,,
10:01.0,T. Wroten misses free throw 1 of 2,,76-78,,
10:01.0,Offensive rebound by Team,,76-78,,
10:01.0,T. Wroten misses free throw 2 of 2,,76-78,,
10:00.0,Offensive rebound by T. Wroten,,76-78,,
9:53.0,R. Covington misses 3-pt shot from 24 ft,,76-78,,
9:52.0,,,76-78,,Defensive rebound by A. Bargnani
9:45.0,,,76-78,,Turnover by S. Larkin (traveling)
9:35.0,R. Holmes makes 2-pt shot at rim (assist by I. Canaan),2,78-78,,
9:17.0,,,78-78,,B. Lopez misses 2-pt shot from 13 ft
9:16.0,,,78-78,,Offensive rebound by A. Bargnani
9:15.0,,,78-80,2,A. Bargnani makes 2-pt shot from 1 ft
9:15.0,,,78-80,,Shooting foul by R. Covington (drawn by A. Bargnani)
9:15.0,H. Thompson enters the game for R. Covington,,78-80,,
9:15.0,,,78-81,1,A. Bargnani makes free throw 1 of 1
9:08.0,Turnover by I. Canaan (lost ball; steal by M. Brown),,78-81,,
9:06.0,,,78-83,2,S. Larkin makes 2-pt shot from 1 ft
9:06.0,,,78-83,,Shooting foul by I. Canaan (drawn by S. Larkin)
9:06.0,N. Stauskas enters the game for I. Canaan,,78-83,,
9:06.0,,,78-84,1,S. Larkin makes free throw 1 of 1
8:53.0,N. Noel makes 2-pt shot from 6 ft,2,80-84,,
8:41.0,,,80-86,2,S. Larkin makes 2-pt shot from 20 ft
8:40.0,Philadelphia full timeout,,80-86,,
8:40.0,,,80-86,,T. Young enters the game for A. Bargnani
8:29.0,H. Thompson misses 2-pt shot from 2 ft,,80-86,,
8:28.0,,,80-86,,Defensive rebound by B. Lopez
8:27.0,Personal foul by N. Noel (drawn by B. Lopez),,80-86,,
8:27.0,,,80-86,,B. Lopez misses free throw 1 of 2
8:27.0,,,80-86,,Offensive rebound by Team
8:27.0,T. McConnell enters the game for T. Wroten,,80-86,,
8:27.0,,,80-87,1,B. Lopez makes free throw 2 of 2
8:03.0,Turnover by R. Holmes (bad pass),,80-87,,
7:48.0,,,80-87,,Turnover by B. Lopez (traveling)
7:30.0,N. Noel misses 2-pt shot from 4 ft,,80-87,,
7:29.0,,,80-87,,Defensive rebound by T. Young
7:28.0,Personal foul by R. Holmes (drawn by T. Young),,80-87,,
7:28.0,J. Okafor enters the game for N. Noel,,80-87,,
7:28.0,,,80-87,,T. Young misses free throw 1 of 2
7:28.0,,,80-87,,Offensive rebound by Team
7:28.0,,,80-87,,T. Young misses free throw 2 of 2
7:27.0,,,80-87,,Offensive rebound by B. Bogdanovic
7:18.0,,,80-89,2,B. Lopez makes 2-pt shot from 2 ft
7:18.0,,,80-89,,Shooting foul by R. Holmes (drawn by B. Lopez)
7:18.0,,,80-90,1,B. Lopez makes free throw 1 of 1
7:00.0,Shooting foul by M. Brown (drawn by J. Okafor),,80-90,,
7:00.0,J. Okafor makes free throw 1 of 2,1,81-90,,
7:00.0,J. Okafor makes free throw 2 of 2,1,82-90,,
6:40.0,,,82-90,,M. Brown misses 3-pt shot from 26 ft
6:39.0,,,82-90,,Offensive rebound by T. Young
6:33.0,,,82-90,,S. Larkin misses 2-pt shot from 17 ft
6:32.0,,,82-90,,Offensive rebound by B. Lopez
6:20.0,,,82-90,,Turnover by T. Young (traveling)
6:20.0,J. Grant enters the game for R. Holmes,,82-90,,
5:58.0,T. McConnell makes 3-pt shot from 24 ft (assist by H. Thompson),3,85-90,,
5:36.0,,,85-90,,Turnover by B. Lopez (bad pass; steal by H. Thompson)
5:25.0,,,85-90,,Personal foul by B. Lopez (drawn by J. Grant)
5:25.0,Official timeout,,85-90,,
5:25.0,,,85-90,,A. Bargnani enters the game for B. Lopez
5:19.0,H. Thompson misses 3-pt shot from 26 ft,,85-90,,
5:18.0,,,85-90,,Defensive rebound by T. Young
5:02.0,Personal foul by T. McConnell (drawn by A. Bargnani),,85-90,,
5:02.0,,,85-90,,A. Bargnani misses free throw 1 of 2
5:02.0,,,85-90,,Offensive rebound by Team
