time,Washington,pts.away,score,pts.home,Orlando
7:03.0,,,38-41,2,V. Oladipo makes 2-pt shot from 20 ft
6:46.0,M. Gortat makes 2-pt shot at rim (assist by O. Porter),2,40-41,,
6:29.0,,,40-43,2,J. Smith makes 2-pt shot from 20 ft (assist by C. Watson)
6:17.0,D. Gooden misses 3-pt shot from 25 ft,,40-43,,
6:16.0,,,40-43,,Defensive rebound by V. Oladipo
6:11.0,,,40-43,,V. Oladipo misses 2-pt shot from 3 ft (block by M. Gortat)
6:11.0,,,40-43,,Offensive rebound by Team
6:11.0,K. Humphries enters the game for D. Gooden,,40-43,,
6:11.0,,,40-43,,A. Gordon enters the game for E. Fournier
6:11.0,,,40-43,,M. Hezonja enters the game for T. Harris
6:01.0,,,40-43,,C. Watson misses 2-pt shot from 19 ft
6:00.0,Defensive rebound by J. Wall,,40-43,,
5:56.0,Turnover by J. Wall (lost ball; steal by V. Oladipo),,40-43,,
5:45.0,,,40-43,,C. Watson misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by O. Porter,,40-43,,
5:34.0,J. Wall misses 3-pt shot from 25 ft,,40-43,,
5:32.0,Offensive rebound by K. Humphries,,40-43,,
5:32.0,K. Humphries makes 2-pt shot at rim,2,42-43,,
5:12.0,,,42-43,,V. Oladipo misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by K. Humphries,,42-43,,
5:02.0,G. Neal makes 2-pt shot from 20 ft (assist by J. Wall),2,44-43,,
4:55.0,,,44-43,,Orlando full timeout
4:55.0,B. Beal enters the game for G. Neal,,44-43,,
4:55.0,,,44-43,,N. Vucevic enters the game for C. Watson
4:55.0,,,44-43,,E. Payton enters the game for J. Smith
4:37.0,,,44-43,,N. Vucevic misses 2-pt shot from 20 ft
4:35.0,Defensive rebound by O. Porter,,44-43,,
4:30.0,Turnover by M. Gortat (traveling),,44-43,,
4:09.0,,,44-43,,A. Gordon misses 2-pt shot from 2 ft
4:06.0,,,44-43,,Offensive rebound by A. Gordon
4:05.0,,,44-43,,Turnover by Team (shot clock)
3:49.0,Turnover by J. Wall (bad pass),,44-43,,
3:28.0,,,44-45,2,A. Gordon makes 2-pt shot from 4 ft (assist by E. Payton)
3:11.0,K. Humphries makes 2-pt shot from 20 ft (assist by O. Porter),2,46-45,,
2:42.0,,,46-47,2,E. Payton makes 2-pt shot from 20 ft
2:33.0,K. Humphries makes 3-pt shot from 23 ft (assist by J. Wall),3,49-47,,
2:20.0,Official timeout,,49-47,,
2:20.0,,,49-47,,E. Fournier enters the game for M. Hezonja
2:20.0,Jump ball: K. Humphries vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: K. Humphries vs. N. Vucevic (E. Payton gains possession)
2:08.0,,,49-47,,Shooting foul by K. Humphries (drawn by A. Gordon)
2:08.0,,,49-47,,A. Gordon misses free throw 1 of 2
2:08.0,,,49-47,,Offensive rebound by Team
2:08.0,,,49-47,,D. Dedmon enters the game for N. Vucevic
2:08.0,,,49-48,1,A. Gordon makes free throw 2 of 2
1:56.0,B. Beal misses 3-pt shot from 26 ft,,49-48,,
1:54.0,Offensive rebound by O. Porter,,49-48,,
1:48.0,,,49-48,,Personal foul by D. Dedmon (drawn by J. Wall)
1:48.0,J. Wall misses free throw 1 of 2,,49-48,,
1:48.0,Offensive rebound by Team,,49-48,,
1:48.0,,,49-48,,J. Smith enters the game for D. Dedmon
1:48.0,J. Wall misses free throw 2 of 2,,49-48,,
1:48.0,Offensive rebound by M. Gortat,,49-48,,
1:42.0,J. Wall makes 2-pt shot from 19 ft,2,51-48,,
1:29.0,,,51-48,,V. Oladipo misses 3-pt shot from 24 ft
1:27.0,,,51-48,,Offensive rebound by J. Smith
1:25.0,,,51-48,,V. Oladipo misses 2-pt shot at rim
1:22.0,Defensive rebound by O. Porter,,51-48,,
1:19.0,Shooting foul by J. Smith (drawn by K. Humphries),,51-48,,
1:19.0,K. Humphries makes free throw 1 of 2,1,52-48,,
1:19.0,,,52-48,,T. Harris enters the game for A. Gordon
1:19.0,K. Humphries makes free throw 2 of 2,1,53-48,,
1:04.0,,,53-48,,E. Payton misses 2-pt shot from 1 ft
1:02.0,Defensive rebound by O. Porter,,53-48,,
0:53.0,K. Humphries misses 3-pt shot from 23 ft,,53-48,,
0:52.0,,,53-48,,Defensive rebound by T. Harris
0:42.0,,,53-50,2,T. Harris makes 2-pt shot from 2 ft
0:36.0,J. Wall misses 2-pt shot from 18 ft,,53-50,,
0:31.0,,,53-50,,Defensive rebound by E. Fournier
0:30.0,,,53-50,,Shooting foul by J. Wall (drawn by T. Harris)
0:30.0,,,53-50,,T. Harris misses free throw 1 of 2
0:30.0,,,53-50,,Offensive rebound by Team
0:30.0,Washington full timeout,,53-50,,
0:30.0,G. Neal enters the game for K. Humphries,,53-50,,
0:30.0,,,53-51,1,T. Harris makes free throw 2 of 2
0:13.0,Shooting foul by V. Oladipo (drawn by B. Beal),,53-51,,
0:13.0,B. Beal misses free throw 1 of 2,,53-51,,
0:13.0,Offensive rebound by Team,,53-51,,
0:13.0,B. Beal misses free throw 2 of 2,,53-51,,
0:13.0,Offensive rebound by M. Gortat,,53-51,,
0:02.0,Turnover by J. Wall (lost ball; steal by J. Smith),,53-51,,
0:00.0,,,53-51,,V. Oladipo misses 3-pt shot from 39 ft
0:00.0,,,53-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,53-51,,N. Vucevic misses 2-pt shot from 2 ft (block by J. Wall)
11:39.0,Defensive rebound by J. Wall,,53-51,,
11:38.0,Shooting foul by V. Oladipo (drawn by B. Beal),,53-51,,
11:38.0,B. Beal makes free throw 1 of 2,1,54-51,,
11:38.0,B. Beal makes free throw 2 of 2,1,55-51,,
11:21.0,,,55-51,,N. Vucevic misses 2-pt shot from 17 ft
11:19.0,Defensive rebound by K. Humphries,,55-51,,
11:07.0,J. Wall misses 3-pt shot from 26 ft,,55-51,,
11:05.0,Offensive rebound by K. Humphries,,55-51,,
10:54.0,O. Porter misses 3-pt shot from 23 ft,,55-51,,
10:50.0,,,55-51,,Defensive rebound by V. Oladipo
10:35.0,,,55-51,,E. Fournier misses 3-pt shot from 23 ft
10:34.0,Defensive rebound by M. Gortat,,55-51,,
10:21.0,M. Gortat makes 2-pt shot from 10 ft (assist by O. Porter),2,57-51,,
10:07.0,,,57-51,,V. Oladipo misses 2-pt shot from 16 ft (block by B. Beal)
10:07.0,,,57-51,,Offensive rebound by Team
10:07.0,,,57-51,,M. Hezonja enters the game for E. Fournier
10:06.0,,,57-51,,Turnover by M. Hezonja (bad pass; steal by K. Humphries)
10:02.0,K. Humphries makes 2-pt shot at rim,2,59-51,,
9:41.0,Personal foul by J. Wall (drawn by E. Payton),,59-51,,
9:41.0,,,59-51,,C. Watson enters the game for V. Oladipo
9:26.0,,,59-54,3,E. Payton makes 3-pt shot from 27 ft
9:19.0,,,59-54,,Personal block foul by M. Hezonja (drawn by O. Porter)
9:19.0,,,59-54,,E. Fournier enters the game for M. Hezonja
9:05.0,Shooting foul by N. Vucevic (drawn by B. Beal),,59-54,,
9:05.0,B. Beal makes free throw 1 of 2,1,60-54,,
9:05.0,B. Beal misses free throw 2 of 2,,60-54,,
9:04.0,,,60-54,,Defensive rebound by T. Harris
8:57.0,Personal foul by B. Beal (drawn by E. Payton),,60-54,,
8:47.0,,,60-54,,T. Harris misses 2-pt shot from 17 ft
8:46.0,Defensive rebound by M. Gortat,,60-54,,
8:37.0,,,60-54,,Violation by N. Vucevic (kicked ball)
8:23.0,K. Humphries misses 2-pt shot from 22 ft,,60-54,,
8:20.0,,,60-54,,Defensive rebound by N. Vucevic
8:17.0,,,60-54,,Turnover by N. Vucevic (bad pass; steal by O. Porter)
8:13.0,J. Wall misses 3-pt shot from 25 ft,,60-54,,
8:13.0,,,60-54,,Defensive rebound by E. Payton
8:13.0,Personal foul by O. Porter (drawn by E. Payton),,60-54,,
8:04.0,,,60-54,,Turnover by E. Payton (step out of bounds)
7:53.0,K. Humphries misses 3-pt shot from 25 ft,,60-54,,
7:51.0,Offensive rebound by J. Wall,,60-54,,
7:48.0,B. Beal misses 3-pt shot from 27 ft,,60-54,,
7:46.0,,,60-54,,Defensive rebound by N. Vucevic
7:37.0,,,60-54,,E. Fournier misses 2-pt shot from 17 ft
7:35.0,Defensive rebound by O. Porter,,60-54,,
7:29.0,Turnover by O. Porter (bad pass; steal by N. Vucevic),,60-54,,
7:24.0,,,60-54,,E. Payton misses 2-pt shot from 1 ft
7:21.0,,,60-54,,Offensive rebound by E. Payton
7:21.0,,,60-56,2,T. Harris makes 2-pt shot from 1 ft
7:08.0,Turnover by J. Wall (bad pass; steal by E. Fournier),,60-56,,
7:01.0,,,60-56,,Turnover by C. Watson (traveling)
6:48.0,Turnover by M. Gortat (bad pass; steal by C. Watson),,60-56,,
6:40.0,,,60-56,,C. Watson misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by K. Humphries,,60-56,,
6:26.0,O. Porter misses 3-pt shot from 25 ft,,60-56,,
6:25.0,,,60-56,,Defensive rebound by E. Payton
6:18.0,,,60-58,2,T. Harris makes 2-pt shot from 17 ft (assist by E. Payton)
6:17.0,Washington full timeout,,60-58,,
5:54.0,Turnover by K. Humphries (traveling),,60-58,,
5:45.0,,,60-58,,Offensive charge foul by T. Harris
5:45.0,,,60-58,,Turnover by T. Harris (offensive foul)
5:45.0,D. Gooden enters the game for K. Humphries,,60-58,,
5:20.0,O. Porter misses 2-pt shot from 9 ft (block by T. Harris),,60-58,,
5:20.0,Offensive rebound by Team,,60-58,,
5:20.0,Turnover by Team (shot clock),,60-58,,
5:04.0,,,60-58,,N. Vucevic misses 2-pt shot from 12 ft
5:03.0,Defensive rebound by J. Wall,,60-58,,
4:50.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,62-58,,
4:32.0,,,62-60,2,N. Vucevic makes 2-pt shot from 4 ft (assist by E. Payton)
4:19.0,O. Porter makes 2-pt shot from 9 ft,2,64-60,,
4:01.0,,,64-60,,C. Watson misses 2-pt shot from 2 ft (block by D. Gooden)
3:58.0,Defensive rebound by D. Gooden,,64-60,,
3:47.0,M. Gortat misses 2-pt shot from 2 ft,,64-60,,
3:44.0,,,64-60,,Defensive rebound by T. Harris
3:40.0,Personal foul by D. Gooden (drawn by N. Vucevic),,64-60,,
3:40.0,R. Sessions enters the game for O. Porter,,64-60,,
3:40.0,G. Neal enters the game for J. Wall,,64-60,,
3:40.0,,,64-60,,V. Oladipo enters the game for E. Fournier
3:40.0,,,64-60,,M. Hezonja enters the game for E. Payton
3:32.0,,,64-60,,T. Harris misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by Team,,64-60,,
3:20.0,Turnover by B. Beal (step out of bounds),,64-60,,
3:04.0,,,64-63,3,V. Oladipo makes 3-pt shot from 22 ft (assist by T. Harris)
2:49.0,Shooting foul by C. Watson (drawn by R. Sessions),,64-63,,
2:49.0,,,64-63,,Orlando full timeout
2:49.0,,,64-63,,D. Dedmon enters the game for N. Vucevic
2:49.0,N. Hilario enters the game for M. Gortat,,64-63,,
2:49.0,R. Sessions makes free throw 1 of 2,1,65-63,,
2:49.0,R. Sessions misses free throw 2 of 2,,65-63,,
2:48.0,,,65-63,,Defensive rebound by D. Dedmon
2:31.0,,,65-63,,T. Harris misses 2-pt shot from 2 ft
2:29.0,,,65-63,,Offensive rebound by D. Dedmon
2:27.0,,,65-65,2,D. Dedmon makes 2-pt shot from 2 ft
2:04.0,N. Hilario misses 2-pt shot from 1 ft,,65-65,,
2:01.0,,,65-65,,Defensive rebound by M. Hezonja
1:46.0,,,65-65,,M. Hezonja misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by N. Hilario,,65-65,,
1:33.0,N. Hilario misses 2-pt shot from 19 ft,,65-65,,
1:30.0,,,65-65,,Defensive rebound by V. Oladipo
1:22.0,,,65-67,2,V. Oladipo makes 2-pt shot from 2 ft
1:13.0,G. Neal misses 3-pt shot from 24 ft,,65-67,,
1:10.0,,,65-67,,Defensive rebound by T. Harris
1:00.0,,,65-67,,V. Oladipo misses 3-pt shot from 24 ft
0:56.0,,,65-67,,Offensive rebound by Team
0:56.0,,,65-67,,E. Fournier enters the game for C. Watson
0:41.0,,,65-67,,T. Harris misses 3-pt shot from 23 ft
0:38.0,Defensive rebound by R. Sessions,,65-67,,
0:28.0,G. Neal misses 2-pt shot from 15 ft,,65-67,,
0:25.0,,,65-67,,Defensive rebound by V. Oladipo
0:05.0,,,65-67,,E. Fournier misses 3-pt shot from 23 ft
0:03.0,Defensive rebound by G. Neal,,65-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,65-67,,Violation by D. Dedmon (kicked ball)
11:35.0,N. Hilario misses 2-pt shot from 6 ft,,65-67,,
11:34.0,Offensive rebound by D. Gooden,,65-67,,
11:28.0,Turnover by N. Hilario (lost ball; steal by D. Dedmon),,65-67,,
11:08.0,,,65-69,2,D. Dedmon makes 2-pt shot from 6 ft (assist by M. Hezonja)
10:57.0,D. Gooden misses 3-pt shot from 26 ft,,65-69,,
10:56.0,,,65-69,,Defensive rebound by E. Fournier
10:41.0,,,65-69,,Shooting foul by D. Gooden (drawn by A. Gordon)
10:41.0,,,65-69,,A. Gordon misses free throw 1 of 2
10:41.0,,,65-69,,Offensive rebound by Team
10:41.0,,,65-70,1,A. Gordon makes free throw 2 of 2
10:22.0,G. Neal misses 2-pt shot from 7 ft,,65-70,,
10:19.0,Offensive rebound by D. Gooden,,65-70,,
10:17.0,J. Wall makes 2-pt shot from 19 ft (assist by D. Gooden),2,67-70,,
10:06.0,,,67-70,,Shooting foul by N. Hilario (drawn by V. Oladipo)
10:06.0,,,67-71,1,V. Oladipo makes free throw 1 of 2
10:06.0,O. Porter enters the game for R. Sessions,,67-71,,
10:06.0,,,67-72,1,V. Oladipo makes free throw 2 of 2
9:49.0,Turnover by J. Wall (bad pass; steal by E. Fournier),,67-72,,
9:44.0,,,67-72,,E. Fournier misses 2-pt shot at rim
9:44.0,,,67-72,,Offensive rebound by Team
9:44.0,,,67-72,,Turnover by D. Dedmon (illegal assist)
9:29.0,J. Wall makes 3-pt shot from 24 ft,3,70-72,,
9:12.0,,,70-72,,E. Fournier misses 3-pt shot from 24 ft
9:10.0,,,70-72,,Offensive rebound by A. Gordon
9:09.0,,,70-74,2,A. Gordon makes 2-pt shot from 1 ft
8:43.0,J. Wall misses 3-pt shot from 24 ft,,70-74,,
8:41.0,Offensive rebound by D. Gooden,,70-74,,
8:41.0,Washington full timeout,,70-74,,
8:41.0,,,70-74,,E. Payton enters the game for E. Fournier
8:41.0,M. Gortat enters the game for D. Gooden,,70-74,,
8:41.0,K. Humphries enters the game for N. Hilario,,70-74,,
8:41.0,B. Beal enters the game for G. Neal,,70-74,,
8:40.0,Turnover by K. Humphries (bad pass),,70-74,,
8:27.0,Shooting block foul by K. Humphries (drawn by A. Gordon),,70-74,,
8:27.0,,,70-75,1,A. Gordon makes free throw 1 of 2
8:27.0,,,70-76,1,A. Gordon makes free throw 2 of 2
8:09.0,K. Humphries misses 2-pt shot from 3 ft (block by D. Dedmon),,70-76,,
8:06.0,,,70-76,,Defensive rebound by D. Dedmon
7:49.0,,,70-76,,E. Payton misses 2-pt shot from 6 ft (block by J. Wall)
7:46.0,Defensive rebound by O. Porter,,70-76,,
7:39.0,O. Porter misses 2-pt shot from 7 ft,,70-76,,
7:36.0,,,70-76,,Defensive rebound by D. Dedmon
7:16.0,,,70-76,,A. Gordon misses 3-pt shot from 23 ft
7:14.0,,,70-76,,Offensive rebound by D. Dedmon
7:12.0,,,70-76,,D. Dedmon misses 2-pt shot from 1 ft (block by J. Wall)
7:10.0,,,70-76,,Offensive rebound by V. Oladipo
7:09.0,,,70-78,2,V. Oladipo makes 2-pt shot from 1 ft
6:57.0,B. Beal makes 2-pt shot from 20 ft,2,72-78,,
6:37.0,,,72-78,,M. Hezonja misses 2-pt shot from 20 ft
6:34.0,Defensive rebound by M. Gortat,,72-78,,
