time,Milwaukee,pts.away,score,pts.home,Washington
3:04.0,Personal foul by J. Bayless (drawn by R. Sessions),,16-18,,
3:04.0,,,16-18,,N. Hilario enters the game for M. Gortat
2:50.0,,,16-18,,K. Humphries misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by J. O'Bryant,,16-18,,
2:38.0,R. Vaughn misses 2-pt shot from 8 ft,,16-18,,
2:37.0,Offensive rebound by J. Henson,,16-18,,
2:34.0,J. Henson makes 2-pt shot from 1 ft,2,18-18,,
2:26.0,Personal foul by J. O'Bryant (drawn by K. Humphries),,18-18,,
2:26.0,Milwaukee full timeout,,18-18,,
2:26.0,G. Antetokounmpo enters the game for R. Vaughn,,18-18,,
2:26.0,,,18-19,1,K. Humphries makes free throw 1 of 2
2:26.0,,,18-20,1,K. Humphries makes free throw 2 of 2
2:08.0,G. Vasquez makes 2-pt shot from 11 ft,2,20-20,,
1:55.0,,,20-22,2,R. Sessions makes 2-pt shot from 1 ft (assist by N. Hilario)
1:48.0,J. Bayless makes 3-pt shot from 26 ft (assist by G. Vasquez),3,23-22,,
1:27.0,,,23-24,2,N. Hilario makes 2-pt shot from 6 ft
1:07.0,G. Vasquez makes 3-pt shot from 22 ft (assist by J. O'Bryant),3,26-24,,
0:46.0,,,26-27,3,K. Humphries makes 3-pt shot from 25 ft (assist by R. Sessions)
0:39.0,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Vasquez),2,28-27,,
0:30.0,,,28-27,,R. Sessions misses 2-pt shot from 4 ft
0:28.0,Defensive rebound by G. Vasquez,,28-27,,
0:13.0,J. Bayless misses 3-pt shot from 22 ft,,28-27,,
0:12.0,Offensive rebound by J. Henson,,28-27,,
0:10.0,Shooting foul by G. Temple (drawn by J. Henson),,28-27,,
0:10.0,J. Henson makes free throw 1 of 2,1,29-27,,
0:10.0,T. Ennis enters the game for J. Bayless,,29-27,,
0:10.0,,,29-27,,J. Dudley enters the game for K. Humphries
0:10.0,,,29-27,,J. Wall enters the game for G. Temple
0:10.0,,,29-27,,K. Oubre enters the game for R. Sessions
0:10.0,J. Henson misses free throw 2 of 2,,29-27,,
0:10.0,,,29-27,,Defensive rebound by J. Dudley
0:04.0,,,29-27,,J. Dudley misses 3-pt shot from 29 ft
0:03.0,,,29-27,,Offensive rebound by N. Hilario
0:01.0,,,29-27,,N. Hilario misses 2-pt shot from 4 ft (block by J. Henson)
0:00.0,Defensive rebound by G. Vasquez,,29-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless),2,31-27,,
11:29.0,,,31-27,,Shooting foul by J. Henson (drawn by N. Hilario)
11:29.0,,,31-28,1,N. Hilario makes free throw 1 of 2
11:29.0,,,31-29,1,N. Hilario makes free throw 2 of 2
11:08.0,G. Vasquez makes 2-pt shot from 16 ft,2,33-29,,
10:49.0,,,33-31,2,R. Sessions makes 2-pt shot from 6 ft
10:30.0,J. Henson makes 2-pt shot from 4 ft (assist by G. Antetokounmpo),2,35-31,,
10:18.0,,,35-31,,Washington full timeout
10:18.0,,,35-31,,O. Porter enters the game for K. Oubre
10:11.0,,,35-31,,Shooting foul by G. Antetokounmpo (drawn by O. Porter)
10:11.0,,,35-31,,O. Porter misses free throw 1 of 3
10:11.0,,,35-31,,Offensive rebound by Team
10:11.0,,,35-32,1,O. Porter makes free throw 2 of 3
10:11.0,,,35-33,1,O. Porter makes free throw 3 of 3
9:59.0,,,35-33,,Violation by N. Hilario (kicked ball)
9:48.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,35-33,,
9:47.0,,,35-33,,Defensive rebound by N. Hilario
9:38.0,,,35-33,,Shooting foul by G. Vasquez (drawn by R. Sessions)
9:38.0,,,35-34,1,R. Sessions makes free throw 1 of 2
9:38.0,,,35-35,1,R. Sessions makes free throw 2 of 2
9:27.0,Shooting foul by N. Hilario (drawn by G. Antetokounmpo),,35-35,,
9:27.0,G. Antetokounmpo misses free throw 1 of 2,,35-35,,
9:27.0,Offensive rebound by Team,,35-35,,
9:27.0,G. Antetokounmpo makes free throw 2 of 2,1,36-35,,
9:02.0,,,36-35,,N. Hilario misses 2-pt shot from 5 ft
9:01.0,Defensive rebound by J. O'Bryant,,36-35,,
8:50.0,J. Bayless misses 3-pt shot from 27 ft,,36-35,,
8:48.0,,,36-35,,Defensive rebound by G. Neal
8:42.0,,,36-35,,R. Sessions misses 2-pt shot at rim
8:42.0,Defensive rebound by Team,,36-35,,
8:32.0,Turnover by J. Henson (bad pass; steal by O. Porter),,36-35,,
8:29.0,,,36-35,,Shooting foul by J. O'Bryant (drawn by R. Sessions)
8:29.0,,,36-35,,R. Sessions misses free throw 1 of 2
8:29.0,,,36-35,,Offensive rebound by Team
8:29.0,,,36-36,1,R. Sessions makes free throw 2 of 2
8:09.0,G. Vasquez makes 2-pt shot from 5 ft,2,38-36,,
7:50.0,,,38-36,,N. Hilario misses 2-pt shot from 20 ft
7:49.0,Defensive rebound by J. Bayless,,38-36,,
7:30.0,,,38-36,,J. Wall enters the game for R. Sessions
7:27.0,G. Vasquez misses 3-pt shot from 24 ft,,38-36,,
7:25.0,,,38-36,,Defensive rebound by N. Hilario
7:18.0,,,38-36,,Shooting foul by G. Vasquez (drawn by J. Wall)
7:18.0,,,38-36,,J. Wall misses free throw 1 of 2
7:18.0,,,38-36,,Offensive rebound by Team
7:18.0,,,38-36,,M. Gortat enters the game for N. Hilario
7:18.0,G. Monroe enters the game for J. Henson,,38-36,,
7:18.0,K. Middleton enters the game for J. Bayless,,38-36,,
7:18.0,,,38-37,1,J. Wall makes free throw 2 of 2
7:08.0,Turnover by J. O'Bryant (traveling),,38-37,,
6:52.0,,,38-39,2,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall)
6:38.0,,,38-39,,G. Temple enters the game for G. Neal
6:31.0,G. Monroe misses 2-pt shot at rim,,38-39,,
6:30.0,,,38-39,,Defensive rebound by M. Gortat
6:20.0,,,38-39,,M. Gortat misses 2-pt shot from 4 ft
6:19.0,,,38-39,,Offensive rebound by J. Dudley
6:15.0,,,38-42,3,G. Temple makes 3-pt shot from 26 ft (assist by J. Wall)
6:02.0,K. Middleton makes 2-pt shot at rim (assist by G. Monroe),2,40-42,,
5:48.0,Personal foul by K. Middleton (drawn by M. Gortat),,40-42,,
5:48.0,Official timeout,,40-42,,
5:48.0,M. Carter-Williams enters the game for K. Middleton,,40-42,,
5:48.0,C. Copeland enters the game for J. O'Bryant,,40-42,,
5:48.0,J. Bayless enters the game for G. Vasquez,,40-42,,
5:48.0,,,40-43,1,M. Gortat makes free throw 1 of 2
5:48.0,,,40-44,1,M. Gortat makes free throw 2 of 2
5:30.0,Turnover by G. Antetokounmpo (lost ball),,40-44,,
5:21.0,,,40-46,2,J. Dudley makes 2-pt shot from 18 ft (assist by J. Wall)
5:00.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,42-46,,
4:41.0,,,42-49,3,J. Dudley makes 3-pt shot from 26 ft (assist by J. Wall)
4:21.0,J. Bayless makes 2-pt shot from 15 ft (assist by C. Copeland),2,44-49,,
4:04.0,,,44-51,2,O. Porter makes 2-pt shot from 10 ft (assist by J. Dudley)
3:39.0,J. Bayless misses 2-pt shot from 4 ft,,44-51,,
3:38.0,,,44-51,,Defensive rebound by J. Dudley
3:31.0,,,44-54,3,J. Dudley makes 3-pt shot from 25 ft (assist by O. Porter)
3:29.0,Milwaukee full timeout,,44-54,,
3:29.0,K. Middleton enters the game for C. Copeland,,44-54,,
3:12.0,Turnover by G. Monroe (bad pass),,44-54,,
2:51.0,,,44-54,,J. Wall misses 3-pt shot from 26 ft
2:50.0,Defensive rebound by G. Monroe,,44-54,,
2:41.0,Shooting foul by O. Porter (drawn by G. Monroe),,44-54,,
2:41.0,G. Monroe misses free throw 1 of 2,,44-54,,
2:41.0,Offensive rebound by Team,,44-54,,
2:41.0,G. Monroe misses free throw 2 of 2,,44-54,,
2:40.0,,,44-54,,Defensive rebound by M. Gortat
2:28.0,,,44-54,,Turnover by J. Wall (bad pass)
2:14.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,44-54,,
2:13.0,,,44-54,,Defensive rebound by J. Dudley
2:08.0,,,44-54,,G. Temple misses 3-pt shot from 25 ft
2:06.0,,,44-54,,Offensive rebound by M. Gortat
2:03.0,,,44-56,2,M. Gortat makes 2-pt shot from 4 ft
1:38.0,,,44-56,,Personal foul by O. Porter (drawn by K. Middleton)
1:38.0,,,44-56,,K. Oubre enters the game for O. Porter
1:33.0,Turnover by G. Monroe (lost ball),,44-56,,
1:17.0,,,44-58,2,J. Wall makes 2-pt shot from 2 ft
0:54.0,G. Antetokounmpo misses 2-pt shot from 13 ft,,44-58,,
0:53.0,,,44-58,,Defensive rebound by M. Gortat
0:47.0,,,44-60,2,J. Wall makes 2-pt shot from 2 ft
0:35.0,,,44-60,,Personal take foul by G. Temple (drawn by M. Carter-Williams)
0:35.0,M. Carter-Williams misses free throw 1 of 2,,44-60,,
0:35.0,Offensive rebound by Team,,44-60,,
0:35.0,M. Carter-Williams misses free throw 2 of 2,,44-60,,
0:35.0,,,44-60,,Defensive rebound by J. Wall
0:15.0,,,44-62,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
0:05.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,44-62,,
0:04.0,Offensive rebound by G. Monroe,,44-62,,
0:03.0,G. Monroe makes 2-pt shot from 1 ft,2,46-62,,
0:00.0,,,46-64,2,G. Temple makes 2-pt shot at rim (assist by J. Dudley)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Turnover by M. Carter-Williams (traveling),,46-64,,
11:35.0,,,46-64,,M. Gortat misses 2-pt shot from 4 ft
11:34.0,Defensive rebound by K. Middleton,,46-64,,
11:24.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,46-64,,
11:23.0,Offensive rebound by G. Antetokounmpo,,46-64,,
11:20.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,46-64,,
11:19.0,,,46-64,,Defensive rebound by J. Wall
11:18.0,Personal foul by G. Antetokounmpo (drawn by J. Wall),,46-64,,
11:00.0,,,46-64,,G. Temple misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
11:00.0,,,46-64,,Offensive rebound by Team
10:57.0,,,46-66,2,J. Wall makes 2-pt shot from 16 ft (assist by K. Humphries)
10:36.0,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,49-66,,
10:17.0,Personal foul by J. Bayless (drawn by M. Gortat),,49-66,,
10:08.0,,,49-66,,J. Wall misses 3-pt shot from 23 ft
10:07.0,Defensive rebound by G. Antetokounmpo,,49-66,,
9:59.0,J. Bayless makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,52-66,,
9:49.0,,,52-66,,Turnover by M. Gortat (offensive foul)
9:49.0,,,52-66,,Offensive foul by M. Gortat
9:36.0,K. Middleton misses 2-pt shot from 15 ft,,52-66,,
9:34.0,,,52-66,,Defensive rebound by K. Humphries
9:22.0,,,52-66,,O. Porter misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by J. Bayless,,52-66,,
9:13.0,J. Bayless misses 2-pt shot from 15 ft,,52-66,,
9:12.0,,,52-66,,Defensive rebound by K. Humphries
9:00.0,,,52-66,,Turnover by J. Wall (bad pass; steal by J. Bayless)
8:54.0,M. Carter-Williams makes 2-pt shot from 3 ft (assist by G. Antetokounmpo),2,54-66,,
8:45.0,,,54-66,,G. Temple misses 2-pt shot from 1 ft
8:44.0,,,54-66,,Offensive rebound by O. Porter
8:43.0,,,54-68,2,O. Porter makes 2-pt shot from 1 ft
8:21.0,G. Antetokounmpo misses 2-pt shot at rim,,54-68,,
8:20.0,,,54-68,,Defensive rebound by M. Gortat
8:15.0,,,54-70,2,K. Humphries makes 2-pt shot from 1 ft (assist by J. Wall)
7:55.0,K. Middleton makes 2-pt shot from 5 ft,2,56-70,,
7:45.0,,,56-70,,Turnover by K. Humphries (lost ball; steal by K. Middleton)
7:31.0,M. Carter-Williams makes 3-pt shot from 26 ft (assist by J. Bayless),3,59-70,,
7:21.0,,,59-70,,Shooting foul by J. Bayless (drawn by J. Wall)
7:21.0,,,59-71,1,J. Wall makes free throw 1 of 2
7:21.0,,,59-72,1,J. Wall makes free throw 2 of 2
7:02.0,Shooting foul by K. Humphries (drawn by G. Monroe),,59-72,,
7:02.0,G. Monroe makes free throw 1 of 2,1,60-72,,
7:02.0,G. Monroe makes free throw 2 of 2,1,61-72,,
6:47.0,,,61-72,,O. Porter misses 2-pt shot from 18 ft
6:46.0,Defensive rebound by J. Bayless,,61-72,,
6:36.0,M. Carter-Williams makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,64-72,,
6:36.0,,,64-72,,Washington full timeout
6:13.0,,,64-72,,K. Humphries misses 2-pt shot from 4 ft
6:09.0,Defensive rebound by K. Middleton,,64-72,,
5:50.0,M. Carter-Williams makes 2-pt shot at rim (assist by G. Monroe),2,66-72,,
5:26.0,,,66-72,,Offensive foul by O. Porter
5:26.0,,,66-72,,Turnover by O. Porter (offensive foul)
5:04.0,G. Monroe misses 2-pt shot from 3 ft,,66-72,,
5:02.0,,,66-72,,Defensive rebound by M. Gortat
4:46.0,,,66-74,2,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall)
4:22.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,66-74,,
4:21.0,,,66-74,,Defensive rebound by G. Temple
4:17.0,,,66-74,,Shooting foul by G. Monroe (drawn by J. Wall)
4:17.0,,,66-74,,J. Wall misses free throw 1 of 2
4:17.0,,,66-74,,Offensive rebound by Team
4:17.0,,,66-74,,J. Wall misses free throw 2 of 2
4:16.0,,,66-74,,Offensive rebound by Team
4:16.0,Loose ball foul by G. Antetokounmpo (drawn by K. Humphries),,66-74,,
4:16.0,,,66-75,1,K. Humphries makes free throw 1 of 2
4:16.0,,,66-76,1,K. Humphries makes free throw 2 of 2
4:06.0,M. Carter-Williams misses 3-pt shot from 26 ft,,66-76,,
4:05.0,,,66-76,,Defensive rebound by M. Gortat
3:51.0,,,66-78,2,O. Porter makes 2-pt shot from 7 ft
3:23.0,K. Middleton misses 3-pt shot from 24 ft,,66-78,,
3:22.0,,,66-78,,Defensive rebound by J. Wall
3:08.0,,,66-81,3,J. Wall makes 3-pt shot from 26 ft (assist by O. Porter)
3:06.0,Milwaukee full timeout,,66-81,,
3:06.0,,,66-81,,J. Dudley enters the game for K. Humphries
3:06.0,,,66-81,,R. Sessions enters the game for J. Wall
3:06.0,J. O'Bryant enters the game for G. Antetokounmpo,,66-81,,
3:06.0,G. Vasquez enters the game for M. Carter-Williams,,66-81,,
2:48.0,,,66-81,,Personal foul by R. Sessions (drawn by G. Vasquez)
2:48.0,,,66-81,,G. Neal enters the game for O. Porter
2:39.0,G. Monroe misses 2-pt shot from 8 ft (block by J. Dudley),,66-81,,
2:39.0,Offensive rebound by Team,,66-81,,
2:34.0,Turnover by J. Bayless (bad pass),,66-81,,
2:17.0,,,66-83,2,G. Neal makes 2-pt shot from 3 ft
2:01.0,J. Bayless misses 3-pt shot from 22 ft,,66-83,,
2:00.0,Offensive rebound by G. Monroe,,66-83,,
1:57.0,Turnover by G. Monroe (bad pass; steal by G. Temple),,66-83,,
1:54.0,Shooting block foul by K. Middleton (drawn by G. Temple),,66-83,,
1:54.0,,,66-84,1,G. Temple makes free throw 1 of 2
1:54.0,J. Henson enters the game for G. Monroe,,66-84,,
1:54.0,,,66-85,1,G. Temple makes free throw 2 of 2
1:41.0,J. O'Bryant misses 2-pt shot from 17 ft,,66-85,,
1:40.0,,,66-85,,Defensive rebound by G. Neal
1:36.0,,,66-85,,G. Temple misses 2-pt shot from 2 ft
1:34.0,,,66-85,,Offensive rebound by G. Temple
1:23.0,Personal foul by J. Henson (drawn by M. Gortat),,66-85,,
1:23.0,,,66-85,,M. Gortat misses free throw 1 of 2
1:23.0,,,66-85,,Offensive rebound by Team
1:23.0,,,66-85,,M. Gortat misses free throw 2 of 2
1:22.0,Defensive rebound by J. Henson,,66-85,,
1:11.0,,,66-85,,Personal foul by G. Temple (drawn by G. Vasquez)
1:11.0,,,66-85,,N. Hilario enters the game for M. Gortat
1:07.0,K. Middleton misses 2-pt shot from 10 ft,,66-85,,
1:06.0,,,66-85,,Defensive rebound by G. Neal
0:49.0,,,66-85,,R. Sessions misses 2-pt shot from 20 ft
0:48.0,Defensive rebound by J. O'Bryant,,66-85,,
0:46.0,Turnover by J. O'Bryant (lost ball),,66-85,,
0:44.0,,,66-85,,G. Neal misses 2-pt shot from 14 ft
0:43.0,Defensive rebound by J. Henson,,66-85,,
0:32.0,G. Vasquez misses 2-pt shot from 16 ft,,66-85,,
0:31.0,,,66-85,,Defensive rebound by J. Dudley
0:07.0,,,66-85,,G. Neal misses 2-pt shot from 12 ft
0:06.0,Defensive rebound by J. Henson,,66-85,,
0:02.0,K. Middleton misses 3-pt shot from 26 ft,,66-85,,
0:00.0,,,66-85,,Defensive rebound by J. Dudley
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,66-85,,Turnover by J. Wall (turnover)
11:29.0,,,66-85,,Personal foul by N. Hilario (drawn by G. Vasquez)
11:24.0,Shooting foul by N. Hilario (drawn by J. Henson),,66-85,,
11:24.0,J. Henson makes free throw 1 of 2,1,67-85,,
11:24.0,J. Henson misses free throw 2 of 2,,67-85,,
11:22.0,,,67-85,,Defensive rebound by J. Dudley
11:09.0,,,67-87,2,G. Neal makes 2-pt shot from 3 ft (assist by J. Wall)
10:48.0,Turnover by G. Antetokounmpo (bad pass; steal by G. Neal),,67-87,,
10:31.0,,,67-87,,Shooting foul by J. Henson (drawn by N. Hilario)
10:31.0,,,67-87,,N. Hilario misses free throw 1 of 2
10:31.0,,,67-87,,Offensive rebound by Team
10:31.0,,,67-88,1,N. Hilario makes free throw 2 of 2
10:08.0,K. Middleton misses 3-pt shot from 26 ft,,67-88,,
10:07.0,,,67-88,,Defensive rebound by J. Wall
9:59.0,,,67-88,,N. Hilario misses 3-pt shot from 27 ft
9:58.0,Defensive rebound by G. Antetokounmpo,,67-88,,
9:47.0,G. Vasquez makes 3-pt shot from 29 ft (assist by G. Antetokounmpo),3,70-88,,
9:31.0,,,70-88,,J. Dudley misses 2-pt shot from 20 ft
9:30.0,Defensive rebound by G. Antetokounmpo,,70-88,,
9:13.0,K. Middleton misses 3-pt shot from 27 ft,,70-88,,
9:12.0,,,70-88,,Defensive rebound by N. Hilario
9:02.0,,,70-88,,Turnover by J. Wall (bad pass; steal by G. Antetokounmpo)
9:00.0,,,70-88,,Personal take foul by R. Sessions (drawn by G. Antetokounmpo)
8:53.0,Shooting foul by N. Hilario (drawn by J. Henson),,70-88,,
8:53.0,Official timeout,,70-88,,
8:53.0,,,70-88,,O. Porter enters the game for R. Sessions
8:53.0,J. Bayless enters the game for J. O'Bryant,,70-88,,
8:53.0,J. Henson makes free throw 1 of 2,1,71-88,,
8:53.0,J. Henson makes free throw 2 of 2,1,72-88,,
8:29.0,,,72-90,2,N. Hilario makes 2-pt shot from 16 ft
8:11.0,,,72-90,,Personal foul by O. Porter (drawn by G. Antetokounmpo)
8:11.0,G. Antetokounmpo misses free throw 1 of 2,,72-90,,
8:11.0,Offensive rebound by Team,,72-90,,
8:11.0,G. Antetokounmpo misses free throw 2 of 2,,72-90,,
8:10.0,,,72-90,,Defensive rebound by N. Hilario
7:56.0,,,72-90,,Shooting foul by J. Henson (drawn by N. Hilario)
7:56.0,,,72-90,,N. Hilario misses free throw 1 of 2
7:56.0,,,72-90,,Offensive rebound by Team
7:56.0,,,72-91,1,N. Hilario makes free throw 2 of 2
7:37.0,G. Antetokounmpo makes 2-pt shot from 19 ft (assist by J. Bayless),2,74-91,,
7:16.0,,,74-91,,Shooting foul by G. Antetokounmpo (drawn by J. Dudley)
7:16.0,,,74-92,1,J. Dudley makes free throw 1 of 2
7:16.0,,,74-93,1,J. Dudley makes free throw 2 of 2
7:06.0,Turnover by J. Bayless (lost ball; steal by G. Neal),,74-93,,
6:48.0,,,74-96,3,G. Neal makes 3-pt shot from 27 ft (assist by N. Hilario)
6:30.0,Turnover by G. Antetokounmpo (bad pass; steal by O. Porter),,74-96,,
6:24.0,,,74-98,2,O. Porter makes 2-pt shot from 2 ft
6:23.0,Milwaukee full timeout,,74-98,,
6:23.0,C. Copeland enters the game for K. Middleton,,74-98,,
6:23.0,R. Vaughn enters the game for G. Antetokounmpo,,74-98,,
6:23.0,T. Ennis enters the game for J. Bayless,,74-98,,
6:23.0,M. Plumlee enters the game for G. Vasquez,,74-98,,
6:23.0,J. O'Bryant enters the game for J. Henson,,74-98,,
6:02.0,R. Vaughn misses 3-pt shot from 26 ft,,74-98,,
6:01.0,,,74-98,,Defensive rebound by N. Hilario
5:38.0,,,74-101,3,J. Dudley makes 3-pt shot from 24 ft (assist by O. Porter)
5:11.0,C. Copeland misses 2-pt shot from 15 ft,,74-101,,
5:10.0,,,74-101,,Defensive rebound by O. Porter
4:55.0,,,74-104,3,J. Wall makes 3-pt shot from 27 ft
4:34.0,,,74-104,,Personal foul by G. Neal (drawn by T. Ennis)
4:34.0,T. Ennis misses free throw 1 of 2,,74-104,,
4:34.0,Offensive rebound by Team,,74-104,,
4:34.0,,,74-104,,K. Oubre enters the game for O. Porter
4:34.0,,,74-104,,D. Blair enters the game for J. Wall
4:34.0,,,74-104,,D. Gooden enters the game for N. Hilario
4:34.0,,,74-104,,R. Sessions enters the game for J. Dudley
4:34.0,T. Ennis makes free throw 2 of 2,1,75-104,,
4:18.0,,,75-107,3,G. Neal makes 3-pt shot from 25 ft (assist by D. Blair)
4:00.0,R. Vaughn misses 2-pt shot from 17 ft,,75-107,,
3:59.0,,,75-107,,Defensive rebound by K. Oubre
3:50.0,,,75-107,,K. Oubre misses 2-pt shot from 4 ft
3:49.0,Defensive rebound by J. O'Bryant,,75-107,,
3:35.0,Shooting foul by K. Oubre (drawn by R. Vaughn),,75-107,,
3:35.0,R. Vaughn makes free throw 1 of 2,1,76-107,,
3:35.0,R. Vaughn makes free throw 2 of 2,1,77-107,,
3:10.0,,,77-107,,D. Blair misses 2-pt shot from 21 ft
3:09.0,Defensive rebound by T. Ennis,,77-107,,
