time,Oklahoma City,pts.away,score,pts.home,Toronto
5:32.0,,,17-10,,Personal foul by L. Scola
5:32.0,,,17-10,,P. Patterson enters the game for L. Scola
5:32.0,D. Waiters enters the game for K. Durant,,17-10,,
5:17.0,R. Westbrook makes 3-pt shot from 28 ft (assist by D. Waiters),3,20-10,,
4:57.0,,,20-10,,J. Valanciunas misses 2-pt shot from 11 ft
4:56.0,Defensive rebound by A. Roberson,,20-10,,
4:50.0,Turnover by R. Westbrook (step out of bounds),,20-10,,
4:40.0,,,20-10,,D. DeRozan misses 2-pt shot from 3 ft
4:39.0,Defensive rebound by S. Ibaka,,20-10,,
4:36.0,Shooting foul by K. Lowry (drawn by R. Westbrook),,20-10,,
4:36.0,R. Westbrook makes free throw 1 of 2,1,21-10,,
4:36.0,R. Westbrook makes free throw 2 of 2,1,22-10,,
4:27.0,,,22-10,,Shooting foul by S. Adams (drawn by K. Lowry)
4:27.0,,,22-11,1,K. Lowry makes free throw 1 of 2
4:27.0,E. Kanter enters the game for A. Roberson,,22-11,,
4:27.0,K. Singler enters the game for S. Adams,,22-11,,
4:27.0,,,22-11,,B. Biyombo enters the game for J. Valanciunas
4:27.0,,,22-11,,K. Lowry misses free throw 2 of 2
4:26.0,Defensive rebound by E. Kanter,,22-11,,
4:14.0,R. Westbrook misses 3-pt shot from 25 ft,,22-11,,
4:14.0,,,22-11,,Defensive rebound by B. Biyombo
4:07.0,Personal foul by K. Singler,,22-11,,
3:57.0,,,22-13,2,D. DeRozan makes 2-pt shot from 3 ft
3:40.0,Shooting foul by B. Biyombo (drawn by R. Westbrook),,22-13,,
3:40.0,R. Westbrook misses free throw 1 of 2,,22-13,,
3:40.0,Offensive rebound by Team,,22-13,,
3:40.0,R. Westbrook misses free throw 2 of 2,,22-13,,
3:37.0,,,22-13,,Defensive rebound by D. DeRozan
3:22.0,,,22-13,,K. Lowry misses 2-pt shot from 8 ft
3:22.0,,,22-13,,Offensive rebound by B. Biyombo
3:20.0,,,22-13,,Toronto full timeout
3:12.0,,,22-13,,D. DeRozan misses 2-pt shot from 19 ft
3:11.0,Defensive rebound by R. Westbrook,,22-13,,
3:06.0,R. Westbrook misses 2-pt shot from 5 ft (block by N. Powell),,22-13,,
3:06.0,Offensive rebound by Team,,22-13,,
3:06.0,K. Durant enters the game for S. Ibaka,,22-13,,
3:06.0,R. Foye enters the game for R. Westbrook,,22-13,,
3:06.0,,,22-13,,J. Johnson enters the game for N. Powell
3:06.0,,,22-13,,C. Joseph enters the game for K. Lowry
3:03.0,D. Waiters misses 2-pt shot from 15 ft,,22-13,,
3:02.0,,,22-13,,Defensive rebound by J. Johnson
3:00.0,,,22-13,,Turnover by J. Johnson (lost ball; steal by D. Waiters)
2:51.0,K. Singler misses 3-pt shot from 23 ft,,22-13,,
2:50.0,,,22-13,,Defensive rebound by C. Joseph
2:31.0,,,22-13,,P. Patterson misses 3-pt shot from 24 ft
2:30.0,Defensive rebound by E. Kanter,,22-13,,
2:15.0,K. Durant misses 2-pt shot from 15 ft,,22-13,,
2:15.0,Offensive rebound by E. Kanter,,22-13,,
2:13.0,E. Kanter makes 2-pt shot from 1 ft,2,24-13,,
1:54.0,,,24-15,2,D. DeRozan makes 2-pt shot from 19 ft
1:31.0,K. Singler misses 2-pt shot from 2 ft (block by P. Patterson),,24-15,,
1:30.0,,,24-15,,Defensive rebound by B. Biyombo
1:19.0,Shooting block foul by E. Kanter (drawn by P. Patterson),,24-15,,
1:19.0,Oklahoma City full timeout,,24-15,,
1:19.0,,,24-16,1,P. Patterson makes free throw 1 of 2
1:19.0,,,24-17,1,P. Patterson makes free throw 2 of 2
1:03.0,Turnover by K. Durant (lost ball; steal by C. Joseph),,24-17,,
0:58.0,Personal foul by R. Foye,,24-17,,
0:58.0,,,24-18,1,D. DeRozan makes free throw 1 of 2
0:58.0,A. Morrow enters the game for K. Singler,,24-18,,
0:58.0,,,24-19,1,D. DeRozan makes free throw 2 of 2
0:40.0,E. Kanter misses 2-pt shot from 5 ft,,24-19,,
0:39.0,,,24-19,,Defensive rebound by B. Biyombo
0:30.0,,,24-19,,D. DeRozan misses 2-pt shot from 14 ft
0:29.0,,,24-19,,Offensive rebound by B. Biyombo
0:29.0,,,24-21,2,B. Biyombo makes 2-pt shot from 1 ft
0:29.0,,,24-21,,Shooting foul by A. Morrow (drawn by B. Biyombo)
0:29.0,,,24-21,,B. Biyombo misses free throw 1 of 1
0:29.0,Defensive rebound by K. Durant,,24-21,,
0:07.0,A. Morrow makes 3-pt shot from 23 ft (assist by D. Waiters),3,27-21,,
0:01.0,,,27-21,,D. DeRozan misses 2-pt shot from 7 ft (block by D. Waiters)
0:00.0,Defensive rebound by D. Waiters,,27-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,27-21,,Turnover by K. Lowry (lost ball; steal by E. Kanter)
11:36.0,D. Waiters makes 3-pt shot from 26 ft (assist by K. Durant),3,30-21,,
11:10.0,,,30-21,,C. Joseph misses 2-pt shot from 4 ft
11:10.0,,,30-21,,Offensive rebound by J. Valanciunas
11:08.0,,,30-21,,J. Valanciunas misses 2-pt shot from 1 ft
11:07.0,,,30-21,,Offensive rebound by J. Valanciunas
11:06.0,,,30-23,2,J. Valanciunas makes 2-pt shot from 1 ft
10:54.0,Turnover by R. Foye (bad pass),,30-23,,
10:45.0,,,30-26,3,K. Lowry makes 3-pt shot from 24 ft (assist by C. Joseph)
10:25.0,K. Durant misses 3-pt shot from 25 ft,,30-26,,
10:25.0,,,30-26,,Defensive rebound by J. Valanciunas
10:06.0,,,30-26,,C. Joseph misses 2-pt shot from 3 ft (block by K. Durant)
10:05.0,,,30-26,,Offensive rebound by C. Joseph
10:01.0,,,30-26,,K. Lowry misses 3-pt shot from 28 ft
10:00.0,,,30-26,,Offensive rebound by J. Johnson
9:56.0,,,30-28,2,J. Johnson makes 2-pt shot from 2 ft
9:38.0,Turnover by A. Morrow (lost ball; steal by P. Patterson),,30-28,,
9:30.0,,,30-31,3,P. Patterson makes 3-pt shot from 26 ft (assist by J. Johnson)
9:29.0,Oklahoma City full timeout,,30-31,,
9:14.0,D. Waiters makes 3-pt shot from 22 ft (assist by R. Foye),3,33-31,,
8:58.0,,,33-31,,K. Lowry misses 2-pt shot from 5 ft
8:57.0,,,33-31,,Offensive rebound by K. Lowry
8:56.0,,,33-31,,Turnover by K. Lowry (step out of bounds)
8:56.0,S. Ibaka enters the game for R. Foye,,33-31,,
8:56.0,R. Westbrook enters the game for A. Morrow,,33-31,,
8:42.0,K. Durant misses 2-pt shot from 5 ft,,33-31,,
8:42.0,,,33-31,,Defensive rebound by J. Valanciunas
8:27.0,,,33-31,,J. Valanciunas misses 2-pt shot from 5 ft
8:26.0,Defensive rebound by R. Westbrook,,33-31,,
8:22.0,Shooting foul by K. Lowry (drawn by K. Durant),,33-31,,
8:22.0,K. Durant makes free throw 1 of 2,1,34-31,,
8:22.0,S. Adams enters the game for E. Kanter,,34-31,,
8:22.0,K. Durant makes free throw 2 of 2,1,35-31,,
7:59.0,,,35-31,,J. Johnson misses 2-pt shot from 16 ft
7:59.0,Defensive rebound by S. Ibaka,,35-31,,
7:51.0,K. Durant misses 3-pt shot from 25 ft,,35-31,,
7:51.0,,,35-31,,Defensive rebound by J. Valanciunas
7:39.0,,,35-31,,J. Johnson misses 3-pt shot from 23 ft
7:39.0,Defensive rebound by S. Ibaka,,35-31,,
7:27.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,37-31,,
7:08.0,,,37-31,,K. Lowry misses 2-pt shot from 6 ft
7:08.0,Defensive rebound by K. Durant,,37-31,,
7:03.0,R. Westbrook makes 2-pt shot from 2 ft (assist by K. Durant),2,39-31,,
6:57.0,,,39-31,,Toronto full timeout
6:57.0,,,39-31,,D. DeRozan enters the game for J. Valanciunas
6:57.0,,,39-31,,B. Biyombo enters the game for J. Johnson
6:57.0,A. Roberson enters the game for K. Durant,,39-31,,
6:50.0,,,39-31,,Turnover by P. Patterson (lost ball; steal by R. Westbrook)
6:46.0,R. Westbrook makes 2-pt shot at rim,2,41-31,,
6:34.0,,,41-31,,Shooting foul by S. Ibaka (drawn by B. Biyombo)
6:34.0,,,41-32,1,B. Biyombo makes free throw 1 of 2
6:34.0,,,41-33,1,B. Biyombo makes free throw 2 of 2
6:23.0,S. Ibaka misses 2-pt shot from 21 ft,,41-33,,
6:22.0,,,41-33,,Defensive rebound by B. Biyombo
6:05.0,,,41-35,2,K. Lowry makes 2-pt shot at rim
5:40.0,R. Westbrook misses 3-pt shot from 24 ft,,41-35,,
5:40.0,Offensive rebound by A. Roberson,,41-35,,
5:34.0,D. Waiters makes 3-pt shot from 24 ft (assist by S. Ibaka),3,44-35,,
5:16.0,,,44-37,2,P. Patterson makes 2-pt shot from 8 ft (assist by K. Lowry)
4:54.0,R. Westbrook makes 2-pt shot from 7 ft,2,46-37,,
4:30.0,,,46-37,,K. Lowry misses 2-pt shot from 3 ft (block by S. Adams)
4:30.0,,,46-37,,Offensive rebound by Team
4:30.0,K. Durant enters the game for D. Waiters,,46-37,,
4:28.0,,,46-39,2,C. Joseph makes 2-pt shot from 3 ft (assist by K. Lowry)
4:19.0,Shooting foul by P. Patterson (drawn by S. Adams),,46-39,,
4:19.0,S. Adams makes free throw 1 of 2,1,47-39,,
4:19.0,,,47-39,,N. Powell enters the game for C. Joseph
4:19.0,,,47-39,,L. Scola enters the game for P. Patterson
4:19.0,S. Adams makes free throw 2 of 2,1,48-39,,
4:05.0,,,48-41,2,N. Powell makes 2-pt shot from 2 ft (assist by D. DeRozan)
3:50.0,K. Durant misses 3-pt shot from 25 ft,,48-41,,
3:50.0,Offensive rebound by R. Westbrook,,48-41,,
3:43.0,K. Durant misses 2-pt shot from 5 ft,,48-41,,
3:42.0,Offensive rebound by S. Adams,,48-41,,
3:41.0,S. Adams misses 2-pt shot from 1 ft,,48-41,,
3:41.0,,,48-41,,Defensive rebound by L. Scola
3:30.0,,,48-43,2,D. DeRozan makes 2-pt shot from 11 ft
3:30.0,Shooting block foul by A. Roberson (drawn by D. DeRozan),,48-43,,
3:30.0,,,48-44,1,D. DeRozan makes free throw 1 of 1
3:23.0,K. Durant makes 2-pt shot from 2 ft (assist by R. Westbrook),2,50-44,,
2:59.0,,,50-44,,D. DeRozan misses 2-pt shot from 11 ft
2:59.0,Defensive rebound by K. Durant,,50-44,,
2:53.0,Shooting foul by D. DeRozan (drawn by K. Durant),,50-44,,
2:53.0,Official timeout,,50-44,,
2:53.0,K. Durant makes free throw 1 of 3,1,51-44,,
2:53.0,K. Durant makes free throw 2 of 3,1,52-44,,
2:53.0,K. Durant makes free throw 3 of 3,1,53-44,,
2:38.0,,,53-44,,N. Powell misses 2-pt shot from 20 ft
2:37.0,,,53-44,,Offensive rebound by B. Biyombo
2:34.0,,,53-44,,B. Biyombo misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by S. Adams,,53-44,,
2:34.0,,,53-44,,Technical foul by Team
2:34.0,K. Durant misses technical free throw,,53-44,,
2:34.0,Offensive rebound by Team,,53-44,,
2:23.0,S. Ibaka makes 2-pt shot from 20 ft (assist by R. Westbrook),2,55-44,,
2:04.0,,,55-44,,D. DeRozan misses 2-pt shot from 10 ft
2:03.0,Defensive rebound by K. Durant,,55-44,,
1:53.0,S. Ibaka makes 2-pt shot from 17 ft,2,57-44,,
1:35.0,,,57-46,2,D. DeRozan makes 2-pt shot from 1 ft
1:21.0,K. Durant misses 2-pt shot from 15 ft,,57-46,,
1:21.0,Offensive rebound by Team,,57-46,,
1:21.0,,,57-46,,Loose ball foul by B. Biyombo
1:21.0,,,57-46,,C. Joseph enters the game for K. Lowry
1:01.0,Shooting foul by N. Powell (drawn by R. Westbrook),,57-46,,
1:01.0,R. Westbrook makes free throw 1 of 2,1,58-46,,
1:01.0,,,58-46,,J. Valanciunas enters the game for B. Biyombo
1:01.0,R. Westbrook makes free throw 2 of 2,1,59-46,,
0:40.0,Personal foul by A. Roberson,,59-46,,
0:31.0,,,59-48,2,D. DeRozan makes 2-pt shot from 5 ft
0:30.0,,,59-48,,Violation by Team (delay of game)
0:26.0,Turnover by R. Westbrook (lost ball; steal by L. Scola),,59-48,,
0:21.0,,,59-48,,D. DeRozan misses 2-pt shot from 1 ft (block by S. Ibaka)
0:20.0,Defensive rebound by S. Adams,,59-48,,
0:17.0,R. Westbrook makes 2-pt shot at rim (assist by K. Durant),2,61-48,,
0:00.0,,,61-48,,D. DeRozan misses 2-pt shot from 18 ft
0:00.0,,,61-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,61-48,,D. DeRozan misses 2-pt shot from 1 ft
11:49.0,Defensive rebound by S. Ibaka,,61-48,,
11:23.0,K. Durant misses 3-pt shot from 27 ft,,61-48,,
11:23.0,,,61-48,,Defensive rebound by N. Powell
11:10.0,,,61-48,,Shooting foul by K. Durant (drawn by K. Lowry)
11:10.0,,,61-49,1,K. Lowry makes free throw 1 of 2
11:10.0,,,61-49,,K. Lowry misses free throw 2 of 2
11:09.0,,,61-49,,Offensive rebound by Team
11:09.0,Loose ball foul by S. Adams,,61-49,,
10:51.0,,,61-49,,L. Scola misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by K. Durant,,61-49,,
10:45.0,,,61-49,,Personal foul by N. Powell
10:37.0,S. Ibaka makes 2-pt shot from 17 ft (assist by S. Adams),2,63-49,,
10:12.0,,,63-49,,D. DeRozan misses 2-pt shot from 5 ft
10:11.0,Defensive rebound by S. Adams,,63-49,,
10:05.0,K. Durant makes 3-pt shot from 26 ft (assist by R. Westbrook),3,66-49,,
9:44.0,,,66-51,2,N. Powell makes 2-pt shot from 20 ft
9:31.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,68-51,,
9:15.0,,,68-54,3,K. Lowry makes 3-pt shot from 25 ft
8:49.0,R. Westbrook makes 2-pt shot from 2 ft (assist by S. Adams),2,70-54,,
8:37.0,,,70-54,,Turnover by K. Lowry (lost ball; steal by A. Roberson)
8:33.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,72-54,,
8:33.0,,,72-54,,Toronto full timeout
8:17.0,,,72-54,,K. Lowry misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by S. Ibaka,,72-54,,
7:58.0,S. Ibaka misses 3-pt shot from 23 ft,,72-54,,
7:57.0,Offensive rebound by S. Adams,,72-54,,
7:53.0,Shooting foul by J. Valanciunas (drawn by A. Roberson),,72-54,,
7:53.0,A. Roberson misses free throw 1 of 2,,72-54,,
7:53.0,Offensive rebound by Team,,72-54,,
7:53.0,A. Roberson makes free throw 2 of 2,1,73-54,,
7:40.0,,,73-57,3,N. Powell makes 3-pt shot from 25 ft (assist by D. DeRozan)
7:26.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,75-57,,
7:26.0,Shooting foul by L. Scola (drawn by S. Adams),,75-57,,
7:26.0,,,75-57,,B. Biyombo enters the game for L. Scola
7:26.0,,,75-57,,P. Patterson enters the game for J. Valanciunas
7:26.0,S. Adams makes free throw 1 of 1,1,76-57,,
7:10.0,,,76-60,3,N. Powell makes 3-pt shot from 24 ft (assist by D. DeRozan)
6:50.0,K. Durant misses 2-pt shot from 5 ft (block by N. Powell),,76-60,,
6:49.0,,,76-60,,Defensive rebound by N. Powell
6:45.0,,,76-60,,N. Powell misses 2-pt shot from 1 ft
6:44.0,Defensive rebound by R. Westbrook,,76-60,,
6:33.0,Turnover by S. Adams (lost ball),,76-60,,
6:23.0,,,76-62,2,N. Powell makes 2-pt shot from 1 ft (assist by P. Patterson)
6:21.0,Oklahoma City full timeout,,76-62,,
6:11.0,K. Durant misses 2-pt shot from 19 ft,,76-62,,
6:11.0,,,76-62,,Defensive rebound by N. Powell
5:58.0,,,76-62,,D. DeRozan misses 2-pt shot from 14 ft
5:58.0,Defensive rebound by A. Roberson,,76-62,,
5:46.0,R. Westbrook misses 2-pt shot from 2 ft (block by P. Patterson),,76-62,,
5:45.0,Offensive rebound by S. Adams,,76-62,,
5:39.0,A. Roberson makes 3-pt shot from 24 ft (assist by K. Durant),3,79-62,,
5:16.0,,,79-62,,B. Biyombo misses 2-pt shot from 1 ft
5:16.0,Defensive rebound by S. Ibaka,,79-62,,
5:14.0,,,79-62,,Personal foul by D. DeRozan
5:14.0,D. Waiters enters the game for K. Durant,,79-62,,
5:03.0,,,79-62,,Violation by B. Biyombo (kicked ball)
4:56.0,S. Ibaka misses 3-pt shot from 27 ft,,79-62,,
4:56.0,,,79-62,,Defensive rebound by D. DeRozan
4:39.0,,,79-64,2,D. DeRozan makes 2-pt shot from 12 ft
4:20.0,S. Ibaka makes 3-pt shot from 23 ft (assist by D. Waiters),3,82-64,,
4:14.0,,,82-64,,Turnover by K. Lowry (bad pass)
4:14.0,E. Kanter enters the game for S. Adams,,82-64,,
4:03.0,R. Westbrook makes 2-pt shot from 4 ft,2,84-64,,
3:46.0,,,84-64,,N. Powell misses 3-pt shot from 22 ft
3:46.0,,,84-64,,Offensive rebound by Team
3:38.0,Personal block foul by E. Kanter,,84-64,,
3:32.0,,,84-66,2,D. DeRozan makes 2-pt shot from 2 ft
3:23.0,R. Westbrook makes 2-pt shot from 2 ft,2,86-66,,
3:13.0,,,86-68,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
2:51.0,D. Waiters makes 2-pt shot from 22 ft,2,88-68,,
2:33.0,,,88-68,,N. Powell misses 3-pt shot from 23 ft
2:32.0,Defensive rebound by S. Ibaka,,88-68,,
2:15.0,E. Kanter misses 2-pt shot from 12 ft,,88-68,,
2:15.0,Offensive rebound by Team,,88-68,,
2:15.0,,,88-68,,Loose ball foul by K. Lowry
2:15.0,A. Roberson makes free throw 1 of 2,1,89-68,,
2:15.0,,,89-68,,C. Joseph enters the game for K. Lowry
2:15.0,R. Foye enters the game for S. Ibaka,,89-68,,
2:15.0,K. Durant enters the game for R. Westbrook,,89-68,,
2:15.0,,,89-68,,J. Johnson enters the game for N. Powell
2:15.0,A. Roberson makes free throw 2 of 2,1,90-68,,
1:56.0,,,90-68,,J. Johnson misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by A. Roberson,,90-68,,
1:46.0,K. Singler enters the game for A. Roberson,,90-68,,
1:33.0,K. Durant misses 3-pt shot from 26 ft,,90-68,,
1:33.0,Offensive rebound by E. Kanter,,90-68,,
1:32.0,Shooting foul by B. Biyombo (drawn by E. Kanter),,90-68,,
1:32.0,E. Kanter makes free throw 1 of 2,1,91-68,,
1:32.0,E. Kanter makes free throw 2 of 2,1,92-68,,
1:19.0,,,92-68,,P. Patterson misses 3-pt shot from 22 ft
1:18.0,Defensive rebound by D. Waiters,,92-68,,
1:05.0,K. Durant misses 2-pt shot from 2 ft (block by B. Biyombo),,92-68,,
1:03.0,,,92-68,,Defensive rebound by P. Patterson
1:01.0,,,92-70,2,C. Joseph makes 2-pt shot from 3 ft (assist by J. Johnson)
1:01.0,,,92-70,,Shooting foul by K. Singler (drawn by C. Joseph)
1:01.0,,,92-71,1,C. Joseph makes free throw 1 of 1
0:36.0,K. Durant makes 3-pt shot from 25 ft (assist by K. Singler),3,95-71,,
0:28.0,,,95-71,,C. Joseph misses 2-pt shot at rim
0:28.0,Defensive rebound by E. Kanter,,95-71,,
0:08.0,K. Durant misses 3-pt shot from 25 ft,,95-71,,
0:08.0,,,95-71,,Defensive rebound by Team
0:08.0,Loose ball foul by E. Kanter,,95-71,,
0:08.0,,,95-71,,B. Biyombo misses free throw 1 of 2
0:08.0,,,95-71,,Offensive rebound by Team
0:08.0,,,95-72,1,B. Biyombo makes free throw 2 of 2
0:05.0,,,95-72,,Personal foul by J. Johnson
0:05.0,K. Durant makes free throw 1 of 2,1,96-72,,
0:05.0,K. Durant makes free throw 2 of 2,1,97-72,,
0:00.0,,,97-74,2,C. Joseph makes 2-pt shot from 14 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,R. Foye misses 2-pt shot from 20 ft,,97-74,,
11:35.0,,,97-74,,Defensive rebound by J. Valanciunas
11:23.0,Personal foul by R. Foye,,97-74,,
11:10.0,,,97-76,2,J. Johnson makes 2-pt shot from 3 ft
10:53.0,D. Waiters misses 3-pt shot from 26 ft,,97-76,,
10:52.0,,,97-76,,Defensive rebound by J. Johnson
10:45.0,,,97-76,,Turnover by J. Johnson (lost ball; steal by D. Waiters)
10:39.0,D. Waiters misses 2-pt shot from 3 ft,,97-76,,
10:38.0,Offensive rebound by K. Singler,,97-76,,
10:37.0,K. Singler misses 2-pt shot from 3 ft,,97-76,,
10:36.0,,,97-76,,Defensive rebound by J. Johnson
10:32.0,,,97-78,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by J. Johnson)
10:32.0,Oklahoma City full timeout,,97-78,,
10:18.0,K. Singler misses 2-pt shot from 5 ft,,97-78,,
10:18.0,,,97-78,,Defensive rebound by P. Patterson
10:05.0,,,97-80,2,P. Patterson makes 2-pt shot from 4 ft
9:49.0,E. Kanter misses 2-pt shot from 9 ft,,97-80,,
9:48.0,Offensive rebound by E. Kanter,,97-80,,
9:46.0,R. Westbrook enters the game for R. Foye,,97-80,,
9:42.0,K. Durant makes 2-pt shot from 13 ft,2,99-80,,
9:27.0,,,99-82,2,J. Valanciunas makes 2-pt shot at rim (assist by C. Joseph)
9:15.0,K. Durant makes 2-pt shot from 2 ft (assist by R. Westbrook),2,101-82,,
9:02.0,,,101-82,,Turnover by C. Joseph (lost ball; steal by D. Waiters)
9:00.0,Offensive charge foul by D. Waiters,,101-82,,
9:00.0,Turnover by D. Waiters (offensive foul),,101-82,,
8:42.0,,,101-84,2,K. Lowry makes 2-pt shot from 9 ft
8:22.0,K. Durant misses 2-pt shot from 19 ft,,101-84,,
8:21.0,,,101-84,,Defensive rebound by P. Patterson
8:14.0,,,101-87,3,P. Patterson makes 3-pt shot from 23 ft (assist by J. Johnson)
7:52.0,Shooting foul by K. Lowry (drawn by R. Westbrook),,101-87,,
7:52.0,R. Westbrook makes free throw 1 of 2,1,102-87,,
7:52.0,S. Ibaka enters the game for E. Kanter,,102-87,,
7:52.0,S. Adams enters the game for K. Singler,,102-87,,
7:52.0,R. Westbrook misses free throw 2 of 2,,102-87,,
7:51.0,Offensive rebound by R. Westbrook,,102-87,,
7:47.0,R. Westbrook makes 2-pt shot from 1 ft,2,104-87,,
7:22.0,,,104-87,,K. Lowry misses 3-pt shot from 36 ft
7:22.0,,,104-87,,Offensive rebound by Team
7:22.0,,,104-87,,Turnover by Team (shot clock)
7:07.0,Shooting foul by P. Patterson (drawn by S. Ibaka),,104-87,,
7:07.0,S. Ibaka makes free throw 1 of 2,1,105-87,,
7:07.0,S. Ibaka makes free throw 2 of 2,1,106-87,,
7:05.0,Technical foul by D. Waiters,,106-87,,
7:05.0,,,106-88,1,P. Patterson makes technical free throw
6:56.0,,,106-88,,K. Lowry misses 3-pt shot from 26 ft
6:56.0,Defensive rebound by K. Durant,,106-88,,
6:45.0,D. Waiters makes 2-pt shot from 3 ft (assist by K. Durant),2,108-88,,
6:25.0,,,108-88,,J. Valanciunas misses 2-pt shot from 5 ft
6:25.0,Defensive rebound by R. Westbrook,,108-88,,
6:16.0,K. Durant misses 3-pt shot from 25 ft,,108-88,,
6:16.0,,,108-88,,Defensive rebound by J. Johnson
6:10.0,,,108-90,2,J. Johnson makes 2-pt shot from 3 ft
5:55.0,S. Adams misses 2-pt shot from 2 ft,,108-90,,
5:55.0,,,108-90,,Defensive rebound by K. Lowry
5:55.0,Personal foul by S. Adams,,108-90,,
5:55.0,Official timeout,,108-90,,
5:55.0,,,108-90,,D. DeRozan enters the game for J. Johnson
5:41.0,,,108-90,,Shooting foul by S. Adams (drawn by K. Lowry)
5:41.0,,,108-91,1,K. Lowry makes free throw 1 of 2
5:41.0,,,108-91,,K. Lowry misses free throw 2 of 2
5:40.0,Defensive rebound by K. Durant,,108-91,,
