time,Toronto,pts.away,score,pts.home,Indiana
5:15.0,,,17-11,,Turnover by G. Hill (offensive foul)
5:15.0,,,17-11,,R. Stuckey enters the game for G. Hill
4:50.0,L. Scola misses 3-pt shot from 25 ft,,17-11,,
4:49.0,,,17-11,,Defensive rebound by L. Allen
4:40.0,,,17-11,,L. Allen misses 2-pt shot from 2 ft (block by B. Biyombo)
4:39.0,Defensive rebound by D. DeRozan,,17-11,,
4:28.0,Turnover by D. Carroll (step out of bounds),,17-11,,
4:28.0,,,17-11,,S. Hill enters the game for L. Allen
4:13.0,,,17-11,,M. Ellis misses 3-pt shot from 26 ft
4:12.0,,,17-11,,Offensive rebound by I. Mahinmi
4:09.0,,,17-11,,Turnover by I. Mahinmi (back court)
4:09.0,P. Patterson enters the game for L. Scola,,17-11,,
3:58.0,,,17-11,,Personal foul by S. Hill
3:58.0,,,17-11,,M. Turner enters the game for I. Mahinmi
3:45.0,D. DeRozan makes 2-pt shot from 12 ft,2,19-11,,
3:31.0,,,19-11,,P. George misses 2-pt shot from 2 ft
3:30.0,,,19-11,,Offensive rebound by M. Turner
3:30.0,,,19-11,,M. Turner misses 2-pt shot from 1 ft
3:29.0,Defensive rebound by P. Patterson,,19-11,,
3:09.0,D. Carroll misses 2-pt shot from 5 ft,,19-11,,
3:08.0,,,19-11,,Defensive rebound by M. Ellis
2:58.0,,,19-13,2,M. Ellis makes 2-pt shot at rim
2:48.0,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry),2,21-13,,
2:38.0,,,21-15,2,M. Turner makes 2-pt shot from 18 ft (assist by M. Ellis)
2:37.0,Toronto full timeout,,21-15,,
2:37.0,C. Joseph enters the game for K. Lowry,,21-15,,
2:37.0,T. Ross enters the game for D. Carroll,,21-15,,
2:20.0,D. DeRozan misses 2-pt shot from 19 ft,,21-15,,
2:18.0,,,21-15,,Defensive rebound by P. George
2:04.0,,,21-15,,M. Turner misses 2-pt shot from 2 ft
2:03.0,,,21-15,,Offensive rebound by M. Ellis
1:54.0,,,21-15,,M. Ellis misses 2-pt shot from 10 ft
1:54.0,Defensive rebound by B. Biyombo,,21-15,,
1:36.0,Shooting foul by S. Hill (drawn by D. DeRozan),,21-15,,
1:36.0,D. DeRozan makes free throw 1 of 2,1,22-15,,
1:36.0,,,22-15,,T. Lawson enters the game for M. Ellis
1:36.0,D. DeRozan makes free throw 2 of 2,1,23-15,,
1:26.0,Personal foul by T. Ross,,23-15,,
1:19.0,,,23-15,,P. George misses 2-pt shot at rim
1:19.0,Defensive rebound by C. Joseph,,23-15,,
1:13.0,P. Patterson misses 3-pt shot from 26 ft,,23-15,,
1:12.0,,,23-15,,Defensive rebound by P. George
1:06.0,,,23-17,2,P. George makes 2-pt shot from 2 ft
0:59.0,,,23-17,,Technical foul by P. George
0:59.0,D. DeRozan makes technical free throw,1,24-17,,
0:44.0,D. DeRozan misses 2-pt shot from 20 ft,,24-17,,
0:42.0,,,24-17,,Defensive rebound by P. George
0:34.0,,,24-17,,P. George misses 3-pt shot from 28 ft
0:33.0,Defensive rebound by T. Ross,,24-17,,
0:09.0,P. Patterson misses 3-pt shot from 23 ft,,24-17,,
0:08.0,Offensive rebound by B. Biyombo,,24-17,,
0:00.0,D. DeRozan misses 2-pt shot from 15 ft,,24-17,,
0:00.0,Offensive rebound by Team,,24-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,C. Joseph misses 2-pt shot from 2 ft,,24-17,,
11:47.0,Offensive rebound by B. Biyombo,,24-17,,
11:47.0,B. Biyombo makes 2-pt shot from 1 ft,2,26-17,,
11:20.0,,,26-17,,Turnover by T. Lawson (lost ball)
11:10.0,B. Biyombo misses 2-pt shot from 2 ft (block by M. Turner),,26-17,,
11:09.0,,,26-17,,Defensive rebound by C. Miles
11:03.0,,,26-19,2,R. Stuckey makes 2-pt shot from 15 ft (assist by C. Miles)
10:43.0,C. Joseph makes 2-pt shot from 15 ft,2,28-19,,
10:25.0,,,28-19,,M. Turner misses 2-pt shot from 21 ft
10:24.0,Defensive rebound by P. Patterson,,28-19,,
10:09.0,,,28-19,,Technical foul by R. Stuckey
10:09.0,K. Lowry makes technical free throw,1,29-19,,
10:00.0,T. Ross makes 2-pt shot from 19 ft (assist by C. Joseph),2,31-19,,
9:41.0,,,31-19,,T. Lawson misses 2-pt shot at rim
9:40.0,Defensive rebound by C. Joseph,,31-19,,
9:31.0,K. Lowry misses 3-pt shot from 26 ft,,31-19,,
9:31.0,,,31-19,,Defensive rebound by Team
9:20.0,Personal foul by K. Lowry,,31-19,,
9:16.0,,,31-19,,C. Miles misses 3-pt shot from 27 ft
9:15.0,,,31-19,,Offensive rebound by M. Turner
9:13.0,,,31-21,2,M. Turner makes 2-pt shot at rim
8:52.0,C. Joseph misses 2-pt shot from 3 ft,,31-21,,
8:52.0,,,31-21,,Defensive rebound by R. Stuckey
8:45.0,,,31-21,,C. Miles misses 3-pt shot from 27 ft
8:44.0,Defensive rebound by T. Ross,,31-21,,
8:33.0,B. Biyombo makes 2-pt shot at rim (assist by T. Ross),2,33-21,,
8:26.0,,,33-21,,Indiana full timeout
8:26.0,J. Valanciunas enters the game for B. Biyombo,,33-21,,
8:11.0,,,33-21,,Turnover by C. Miles (lost ball; steal by C. Joseph)
8:06.0,C. Joseph makes 2-pt shot from 1 ft (assist by T. Ross),2,35-21,,
7:49.0,,,35-21,,M. Turner misses 2-pt shot from 10 ft
7:48.0,Defensive rebound by T. Ross,,35-21,,
7:40.0,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry),3,38-21,,
7:26.0,,,38-21,,S. Hill misses 2-pt shot from 1 ft (block by P. Patterson)
7:26.0,,,38-21,,Offensive rebound by Team
7:19.0,,,38-21,,Shooting foul by T. Ross (drawn by R. Stuckey)
7:19.0,,,38-22,1,R. Stuckey makes free throw 1 of 3
7:19.0,,,38-23,1,R. Stuckey makes free throw 2 of 3
7:19.0,,,38-23,,P. George enters the game for S. Hill
7:19.0,D. Carroll enters the game for T. Ross,,38-23,,
7:19.0,,,38-24,1,R. Stuckey makes free throw 3 of 3
7:06.0,K. Lowry misses 3-pt shot from 29 ft,,38-24,,
7:04.0,Offensive rebound by D. Carroll,,38-24,,
6:48.0,D. Carroll misses 3-pt shot from 25 ft,,38-24,,
6:47.0,Offensive rebound by P. Patterson,,38-24,,
6:46.0,Shooting foul by P. George (drawn by P. Patterson),,38-24,,
6:46.0,P. Patterson makes free throw 1 of 2,1,39-24,,
6:46.0,,,39-24,,G. Hill enters the game for R. Stuckey
6:46.0,,,39-24,,M. Ellis enters the game for T. Lawson
6:46.0,,,39-24,,I. Mahinmi enters the game for M. Turner
6:46.0,P. Patterson makes free throw 2 of 2,1,40-24,,
6:32.0,,,40-24,,P. George misses 2-pt shot from 21 ft (block by D. Carroll)
6:30.0,Defensive rebound by J. Valanciunas,,40-24,,
6:20.0,J. Valanciunas makes 2-pt shot from 3 ft,2,42-24,,
6:20.0,,,42-24,,Indiana full timeout
6:07.0,,,42-24,,M. Ellis misses 2-pt shot from 19 ft
6:07.0,Defensive rebound by J. Valanciunas,,42-24,,
5:56.0,P. Patterson misses 3-pt shot from 27 ft,,42-24,,
5:55.0,Offensive rebound by Team,,42-24,,
5:55.0,Official timeout,,42-24,,
5:55.0,D. DeRozan enters the game for C. Joseph,,42-24,,
5:40.0,K. Lowry misses 2-pt shot from 20 ft,,42-24,,
5:39.0,,,42-24,,Defensive rebound by P. George
5:33.0,,,42-24,,Shooting foul by D. DeRozan (drawn by P. George)
5:33.0,,,42-25,1,P. George makes free throw 1 of 2
5:33.0,,,42-26,1,P. George makes free throw 2 of 2
5:13.0,D. DeRozan misses 3-pt shot from 26 ft,,42-26,,
5:12.0,,,42-26,,Defensive rebound by P. George
5:04.0,,,42-26,,Turnover by P. George (lost ball; steal by K. Lowry)
4:59.0,D. Carroll makes 2-pt shot at rim (assist by K. Lowry),2,44-26,,
4:48.0,,,44-26,,G. Hill misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by J. Valanciunas,,44-26,,
4:39.0,K. Lowry misses 2-pt shot from 18 ft,,44-26,,
4:38.0,,,44-26,,Defensive rebound by I. Mahinmi
4:34.0,,,44-26,,Shooting foul by P. Patterson (drawn by P. George)
4:34.0,,,44-27,1,P. George makes free throw 1 of 2
4:34.0,,,44-28,1,P. George makes free throw 2 of 2
4:15.0,Turnover by J. Valanciunas (traveling),,44-28,,
4:01.0,,,44-28,,C. Miles misses 3-pt shot from 23 ft
4:00.0,Defensive rebound by J. Valanciunas,,44-28,,
3:48.0,Turnover by K. Lowry (lost ball; steal by M. Ellis),,44-28,,
3:44.0,,,44-30,2,M. Ellis makes 2-pt shot from 1 ft
3:39.0,Toronto full timeout,,44-30,,
3:39.0,,,44-30,,S. Hill enters the game for C. Miles
3:23.0,D. DeRozan makes 2-pt shot from 10 ft,2,46-30,,
3:05.0,,,46-30,,Turnover by M. Ellis (lost ball; steal by D. Carroll)
2:46.0,K. Lowry makes 3-pt shot from 29 ft,3,49-30,,
2:29.0,,,49-30,,Turnover by I. Mahinmi (bad pass)
2:24.0,K. Lowry makes 2-pt shot from 14 ft,2,51-30,,
2:24.0,Shooting foul by I. Mahinmi (drawn by K. Lowry),,51-30,,
2:24.0,,,51-30,,M. Turner enters the game for I. Mahinmi
2:24.0,K. Lowry misses free throw 1 of 1,,51-30,,
2:24.0,,,51-30,,Defensive rebound by M. Turner
2:11.0,,,51-30,,Turnover by M. Ellis (lost ball; steal by P. Patterson)
2:01.0,Shooting foul by M. Turner (drawn by D. DeRozan),,51-30,,
2:01.0,D. DeRozan makes free throw 1 of 2,1,52-30,,
2:01.0,B. Biyombo enters the game for J. Valanciunas,,52-30,,
2:01.0,D. DeRozan makes free throw 2 of 2,1,53-30,,
1:54.0,,,53-30,,G. Hill misses 2-pt shot from 3 ft
1:53.0,,,53-30,,Offensive rebound by M. Turner
1:53.0,,,53-32,2,M. Turner makes 2-pt shot from 1 ft
1:39.0,Offensive charge foul by D. DeRozan,,53-32,,
1:39.0,Turnover by D. DeRozan (offensive foul),,53-32,,
1:23.0,,,53-32,,Turnover by P. George (bad pass)
1:05.0,D. DeRozan misses 2-pt shot from 10 ft,,53-32,,
1:05.0,,,53-32,,Defensive rebound by P. George
0:50.0,,,53-32,,Shooting foul by B. Biyombo (drawn by G. Hill)
0:50.0,,,53-33,1,G. Hill makes free throw 1 of 2
0:50.0,,,53-34,1,G. Hill makes free throw 2 of 2
0:26.0,K. Lowry misses 3-pt shot from 26 ft,,53-34,,
0:25.0,,,53-34,,Defensive rebound by G. Hill
0:01.0,,,53-36,2,P. George makes 2-pt shot from 1 ft (assist by M. Ellis)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,K. Lowry misses 3-pt shot from 29 ft,,53-36,,
11:37.0,,,53-36,,Defensive rebound by M. Ellis
11:28.0,,,53-36,,P. George misses 3-pt shot from 27 ft
11:22.0,Defensive rebound by J. Valanciunas,,53-36,,
11:12.0,L. Scola misses 2-pt shot from 12 ft,,53-36,,
11:10.0,Offensive rebound by Team,,53-36,,
11:05.0,J. Valanciunas misses 2-pt shot from 2 ft,,53-36,,
11:04.0,,,53-36,,Defensive rebound by M. Turner
11:01.0,Personal foul by D. Carroll,,53-36,,
10:48.0,,,53-36,,P. George misses 3-pt shot from 24 ft
10:47.0,,,53-36,,Offensive rebound by Team
10:38.0,,,53-38,2,I. Mahinmi makes 2-pt shot at rim (assist by P. George)
10:24.0,D. Carroll misses 3-pt shot from 27 ft,,53-38,,
10:22.0,Offensive rebound by L. Scola,,53-38,,
9:57.0,D. Carroll misses 2-pt shot from 19 ft,,53-38,,
9:56.0,,,53-38,,Defensive rebound by M. Ellis
9:50.0,,,53-40,2,M. Ellis makes 2-pt shot at rim
9:24.0,Turnover by D. Carroll (traveling),,53-40,,
9:13.0,,,53-40,,P. George misses 3-pt shot from 25 ft
9:12.0,,,53-40,,Offensive rebound by M. Turner
9:09.0,,,53-40,,I. Mahinmi misses 2-pt shot from 2 ft
9:08.0,Defensive rebound by L. Scola,,53-40,,
8:58.0,J. Valanciunas misses 2-pt shot from 18 ft,,53-40,,
8:57.0,,,53-40,,Defensive rebound by P. George
8:48.0,,,53-40,,M. Turner misses 2-pt shot from 2 ft
8:47.0,Defensive rebound by K. Lowry,,53-40,,
8:36.0,K. Lowry misses 2-pt shot from 8 ft,,53-40,,
8:35.0,Offensive rebound by J. Valanciunas,,53-40,,
8:35.0,J. Valanciunas misses 2-pt shot from 2 ft,,53-40,,
8:35.0,Offensive rebound by J. Valanciunas,,53-40,,
8:35.0,J. Valanciunas makes 2-pt shot from 2 ft,2,55-40,,
8:35.0,Shooting foul by G. Hill (drawn by J. Valanciunas),,55-40,,
8:35.0,J. Valanciunas makes free throw 1 of 1,1,56-40,,
8:26.0,,,56-40,,M. Ellis misses 2-pt shot from 1 ft (block by J. Valanciunas)
8:25.0,,,56-40,,Offensive rebound by M. Turner
8:25.0,,,56-40,,Shooting foul by L. Scola (drawn by M. Turner)
8:25.0,,,56-40,,M. Turner misses free throw 1 of 2
8:25.0,,,56-40,,Offensive rebound by Team
8:25.0,,,56-41,1,M. Turner makes free throw 2 of 2
8:10.0,L. Scola makes 3-pt shot from 26 ft (assist by K. Lowry),3,59-41,,
8:03.0,Personal block foul by L. Scola,,59-41,,
7:48.0,,,59-43,2,I. Mahinmi makes 2-pt shot at rim (assist by G. Hill)
7:25.0,Offensive charge foul by L. Scola,,59-43,,
7:25.0,Turnover by L. Scola (offensive foul),,59-43,,
7:12.0,Shooting block foul by J. Valanciunas (drawn by M. Ellis),,59-43,,
7:12.0,,,59-43,,M. Ellis misses free throw 1 of 2
7:12.0,,,59-43,,Offensive rebound by Team
7:12.0,,,59-44,1,M. Ellis makes free throw 2 of 2
6:56.0,,,59-44,,Violation by I. Mahinmi (kicked ball)
6:42.0,D. DeRozan misses 3-pt shot from 24 ft,,59-44,,
6:42.0,Offensive rebound by Team,,59-44,,
6:42.0,,,59-44,,Loose ball foul by M. Turner
6:42.0,,,59-44,,Technical foul by M. Turner
6:42.0,D. DeRozan makes technical free throw,1,60-44,,
6:36.0,J. Valanciunas misses 2-pt shot from 6 ft,,60-44,,
6:35.0,,,60-44,,Defensive rebound by M. Turner
6:15.0,,,60-47,3,G. Hill makes 3-pt shot from 27 ft (assist by M. Turner)
5:51.0,D. Carroll misses 3-pt shot from 26 ft,,60-47,,
5:49.0,,,60-47,,Defensive rebound by P. George
5:33.0,,,60-47,,Turnover by P. George (lost ball; steal by D. DeRozan)
5:30.0,D. Carroll makes 2-pt shot from 1 ft (assist by D. DeRozan),2,62-47,,
5:30.0,,,62-47,,Indiana full timeout
5:20.0,,,62-47,,Offensive foul by I. Mahinmi
5:20.0,,,62-47,,Turnover by I. Mahinmi (offensive foul)
5:06.0,D. DeRozan misses 2-pt shot from 16 ft,,62-47,,
5:06.0,,,62-47,,Defensive rebound by M. Ellis
4:57.0,,,62-49,2,G. Hill makes 2-pt shot from 1 ft
4:34.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry),3,65-49,,
4:19.0,,,65-49,,M. Ellis misses 2-pt shot from 20 ft
4:18.0,Defensive rebound by K. Lowry,,65-49,,
4:12.0,K. Lowry misses 2-pt shot from 1 ft (block by M. Turner),,65-49,,
4:11.0,Offensive rebound by J. Valanciunas,,65-49,,
4:10.0,Turnover by J. Valanciunas (lost ball),,65-49,,
4:10.0,P. Patterson enters the game for L. Scola,,65-49,,
3:52.0,,,65-49,,G. Hill misses 3-pt shot from 24 ft
3:51.0,Defensive rebound by J. Valanciunas,,65-49,,
3:38.0,Turnover by P. Patterson (lost ball; steal by G. Hill),,65-49,,
3:32.0,,,65-49,,Offensive charge foul by M. Ellis
3:32.0,,,65-49,,Turnover by M. Ellis (offensive foul)
3:32.0,,,65-49,,S. Hill enters the game for M. Turner
3:32.0,C. Joseph enters the game for K. Lowry,,65-49,,
3:17.0,D. DeRozan misses 2-pt shot from 4 ft,,65-49,,
3:17.0,Offensive rebound by Team,,65-49,,
3:17.0,,,65-49,,Loose ball foul by I. Mahinmi
3:17.0,,,65-49,,R. Stuckey enters the game for M. Ellis
3:17.0,,,65-49,,M. Turner enters the game for I. Mahinmi
3:02.0,C. Joseph misses 2-pt shot from 17 ft,,65-49,,
2:59.0,Offensive rebound by D. Carroll,,65-49,,
2:45.0,D. DeRozan makes 2-pt shot from 2 ft,2,67-49,,
2:34.0,,,67-49,,P. George misses 2-pt shot from 19 ft
2:33.0,,,67-49,,Offensive rebound by G. Hill
2:33.0,,,67-49,,Shooting foul by C. Joseph (drawn by G. Hill)
2:33.0,Toronto full timeout,,67-49,,
2:33.0,B. Biyombo enters the game for D. Carroll,,67-49,,
2:33.0,T. Ross enters the game for J. Valanciunas,,67-49,,
2:33.0,,,67-49,,G. Hill misses free throw 1 of 2
2:33.0,,,67-49,,Offensive rebound by Team
2:33.0,,,67-50,1,G. Hill makes free throw 2 of 2
2:16.0,D. DeRozan misses 2-pt shot from 15 ft,,67-50,,
2:16.0,Offensive rebound by Team,,67-50,,
2:16.0,,,67-50,,Loose ball foul by R. Stuckey
2:09.0,P. Patterson misses 3-pt shot from 24 ft,,67-50,,
2:09.0,,,67-50,,Defensive rebound by Team
2:09.0,Loose ball foul by B. Biyombo,,67-50,,
2:09.0,,,67-51,1,M. Turner makes free throw 1 of 2
2:09.0,,,67-52,1,M. Turner makes free throw 2 of 2
1:57.0,T. Ross misses 3-pt shot from 25 ft,,67-52,,
1:57.0,,,67-52,,Defensive rebound by P. George
1:45.0,,,67-54,2,M. Turner makes 2-pt shot at rim (assist by P. George)
1:26.0,,,67-54,,Violation by M. Turner (def goaltending)
1:26.0,C. Joseph makes 2-pt shot from 2 ft,2,69-54,,
1:05.0,,,69-54,,S. Hill misses 2-pt shot from 2 ft
1:05.0,Defensive rebound by B. Biyombo,,69-54,,
1:01.0,Offensive charge foul by C. Joseph,,69-54,,
1:01.0,Turnover by C. Joseph (offensive foul),,69-54,,
0:45.0,,,69-57,3,S. Hill makes 3-pt shot from 26 ft (assist by G. Hill)
0:33.0,P. Patterson makes 2-pt shot from 21 ft (assist by C. Joseph),2,71-57,,
0:17.0,,,71-59,2,M. Turner makes 2-pt shot from 18 ft (assist by P. George)
0:03.0,D. DeRozan misses 2-pt shot from 2 ft (block by M. Turner),,71-59,,
0:03.0,Offensive rebound by Team,,71-59,,
0:00.0,D. DeRozan misses 2-pt shot from 19 ft,,71-59,,
0:00.0,Offensive rebound by Team,,71-59,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Personal foul by D. Carroll,,71-59,,
11:39.0,Personal foul by B. Biyombo,,71-59,,
11:24.0,,,71-59,,R. Stuckey misses 2-pt shot from 10 ft
11:24.0,Defensive rebound by B. Biyombo,,71-59,,
10:59.0,C. Joseph makes 2-pt shot from 1 ft,2,73-59,,
10:38.0,,,73-59,,M. Ellis misses 3-pt shot from 27 ft
10:36.0,,,73-59,,Offensive rebound by P. George
10:36.0,,,73-59,,Shooting foul by K. Lowry (drawn by P. George)
10:36.0,,,73-60,1,P. George makes free throw 1 of 2
10:36.0,,,73-61,1,P. George makes free throw 2 of 2
10:26.0,C. Joseph misses 2-pt shot from 4 ft,,73-61,,
10:25.0,,,73-61,,Defensive rebound by S. Hill
10:12.0,,,73-61,,P. George misses 2-pt shot from 17 ft
10:11.0,Defensive rebound by P. Patterson,,73-61,,
9:59.0,K. Lowry makes 2-pt shot from 20 ft,2,75-61,,
9:43.0,,,75-63,2,M. Turner makes 2-pt shot from 21 ft (assist by M. Ellis)
9:23.0,K. Lowry makes 3-pt shot from 25 ft (assist by C. Joseph),3,78-63,,
9:07.0,,,78-63,,Turnover by M. Turner (lost ball)
8:51.0,P. Patterson makes 3-pt shot from 23 ft (assist by C. Joseph),3,81-63,,
8:51.0,,,81-63,,Indiana full timeout
8:51.0,,,81-63,,G. Hill enters the game for R. Stuckey
8:51.0,,,81-63,,I. Mahinmi enters the game for M. Turner
8:41.0,,,81-63,,Offensive foul by P. George
8:41.0,,,81-63,,Turnover by P. George (offensive foul)
8:28.0,C. Joseph makes 2-pt shot at rim,2,83-63,,
8:10.0,,,83-63,,Shooting foul by B. Biyombo (drawn by I. Mahinmi)
8:10.0,,,83-63,,I. Mahinmi misses free throw 1 of 2
8:10.0,,,83-63,,Offensive rebound by Team
8:10.0,,,83-63,,I. Mahinmi misses free throw 2 of 2
8:10.0,Defensive rebound by B. Biyombo,,83-63,,
7:52.0,K. Lowry misses 3-pt shot from 27 ft,,83-63,,
7:52.0,,,83-63,,Defensive rebound by S. Hill
7:43.0,,,83-66,3,S. Hill makes 3-pt shot from 26 ft (assist by P. George)
7:19.0,K. Lowry misses 2-pt shot from 16 ft,,83-66,,
7:18.0,,,83-66,,Defensive rebound by I. Mahinmi
7:09.0,,,83-66,,P. George misses 3-pt shot from 26 ft
7:08.0,Defensive rebound by Team,,83-66,,
6:52.0,P. Patterson misses 2-pt shot from 1 ft,,83-66,,
6:51.0,Offensive rebound by B. Biyombo,,83-66,,
6:41.0,D. Carroll misses 3-pt shot from 26 ft,,83-66,,
6:41.0,,,83-66,,Defensive rebound by Team
6:41.0,Loose ball foul by B. Biyombo,,83-66,,
6:41.0,,,83-66,,I. Mahinmi misses free throw 1 of 2
6:41.0,,,83-66,,Offensive rebound by Team
6:41.0,J. Valanciunas enters the game for B. Biyombo,,83-66,,
6:41.0,,,83-67,1,I. Mahinmi makes free throw 2 of 2
6:19.0,D. Carroll makes 2-pt shot from 8 ft,2,85-67,,
6:06.0,,,85-67,,M. Turner enters the game for I. Mahinmi
6:06.0,D. DeRozan enters the game for P. Patterson,,85-67,,
5:54.0,,,85-69,2,M. Turner makes 2-pt shot from 12 ft (assist by P. George)
5:26.0,K. Lowry makes 3-pt shot from 26 ft,3,88-69,,
5:26.0,,,88-69,,Indiana full timeout
5:26.0,Official timeout,,88-69,,
5:13.0,,,88-71,2,P. George makes 2-pt shot at rim
4:59.0,Turnover by K. Lowry (offensive foul),,88-71,,
4:59.0,Offensive charge foul by K. Lowry,,88-71,,
4:42.0,,,88-71,,Shooting foul by J. Valanciunas (drawn by S. Hill)
4:42.0,,,88-72,1,S. Hill makes free throw 1 of 2
4:42.0,,,88-73,1,S. Hill makes free throw 2 of 2
4:21.0,D. Carroll makes 3-pt shot from 26 ft (assist by D. DeRozan),3,91-73,,
4:09.0,,,91-73,,P. George misses 3-pt shot from 26 ft
4:08.0,Defensive rebound by J. Valanciunas,,91-73,,
3:53.0,Turnover by D. DeRozan (lost ball; steal by P. George),,91-73,,
3:51.0,Personal foul by D. Carroll,,91-73,,
3:51.0,,,91-74,1,P. George makes free throw 1 of 2
3:51.0,,,91-75,1,P. George makes free throw 2 of 2
3:43.0,,,91-75,,Personal foul by M. Ellis
3:29.0,K. Lowry misses 2-pt shot from 8 ft,,91-75,,
3:29.0,,,91-75,,Defensive rebound by Team
3:29.0,Loose ball foul by J. Valanciunas,,91-75,,
3:29.0,,,91-76,1,G. Hill makes free throw 1 of 2
3:29.0,,,91-77,1,G. Hill makes free throw 2 of 2
3:08.0,C. Joseph misses 3-pt shot from 27 ft,,91-77,,
3:07.0,Offensive rebound by J. Valanciunas,,91-77,,
3:07.0,Shooting foul by M. Turner (drawn by J. Valanciunas),,91-77,,
3:07.0,J. Valanciunas makes free throw 1 of 2,1,92-77,,
3:07.0,J. Valanciunas makes free throw 2 of 2,1,93-77,,
2:59.0,Toronto full timeout,,93-77,,
2:59.0,N. Powell enters the game for D. Carroll,,93-77,,
