time,Minnesota,pts.away,score,pts.home,Denver
2:09.0,Defensive rebound by G. Dieng,,27-19,,
1:51.0,Z. LaVine misses 3-pt shot from 27 ft,,27-19,,
1:50.0,,,27-19,,Defensive rebound by N. Jokic
1:37.0,,,27-19,,W. Barton misses 3-pt shot from 24 ft
1:37.0,Defensive rebound by S. Muhammad,,27-19,,
1:23.0,Turnover by Z. LaVine (bad pass; steal by N. Jokic),,27-19,,
1:19.0,Shooting block foul by T. Prince (drawn by D. Gallinari),,27-19,,
1:19.0,,,27-20,1,D. Gallinari makes free throw 1 of 2
1:19.0,,,27-21,1,D. Gallinari makes free throw 2 of 2
1:04.0,K. Martin misses 3-pt shot from 27 ft,,27-21,,
1:03.0,,,27-21,,Defensive rebound by Team
1:02.0,,,27-21,,G. Harris enters the game for D. Gallinari
1:02.0,N. Bjelica enters the game for K. Martin,,27-21,,
0:44.0,,,27-21,,W. Barton misses 2-pt shot from 5 ft
0:43.0,Defensive rebound by G. Dieng,,27-21,,
0:27.0,G. Dieng misses 2-pt shot from 16 ft,,27-21,,
0:27.0,,,27-21,,Defensive rebound by M. Miller
0:06.0,,,27-23,2,W. Barton makes 2-pt shot from 1 ft
0:00.0,Z. LaVine makes 2-pt shot from 1 ft,2,29-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,29-23,,Personal foul by G. Harris (drawn by S. Muhammad)
11:32.0,S. Muhammad makes 2-pt shot from 10 ft,2,31-23,,
11:21.0,,,31-23,,Shooting foul by G. Dieng (drawn by N. Jokic)
11:21.0,,,31-24,1,N. Jokic makes free throw 1 of 2
11:21.0,,,31-25,1,N. Jokic makes free throw 2 of 2
10:55.0,T. Prince misses 3-pt shot from 25 ft,,31-25,,
10:54.0,Offensive rebound by Z. LaVine,,31-25,,
10:50.0,Z. LaVine misses 2-pt shot from 3 ft,,31-25,,
10:49.0,,,31-25,,Defensive rebound by W. Barton
10:44.0,,,31-25,,G. Harris misses 3-pt shot from 23 ft
10:44.0,Defensive rebound by G. Dieng,,31-25,,
10:38.0,S. Muhammad misses 2-pt shot from 17 ft,,31-25,,
10:37.0,,,31-25,,Defensive rebound by J. Nelson
10:33.0,Personal foul by N. Bjelica (drawn by N. Jokic),,31-25,,
10:25.0,,,31-25,,J. Nelson misses 2-pt shot from 17 ft
10:25.0,Defensive rebound by Team,,31-25,,
10:14.0,S. Muhammad makes 2-pt shot from 6 ft,2,33-25,,
10:14.0,Shooting foul by J. Nelson (drawn by S. Muhammad),,33-25,,
10:14.0,S. Muhammad makes free throw 1 of 1,1,34-25,,
10:04.0,,,34-25,,Turnover by W. Barton (lost ball)
9:44.0,S. Muhammad misses 2-pt shot from 5 ft,,34-25,,
9:43.0,,,34-25,,Defensive rebound by G. Harris
9:38.0,,,34-25,,G. Harris misses 2-pt shot from 1 ft (block by G. Dieng)
9:37.0,,,34-25,,Offensive rebound by Team
9:27.0,,,34-25,,Turnover by N. Jokic (lost ball; steal by G. Dieng)
9:11.0,T. Prince misses 2-pt shot from 9 ft,,34-25,,
9:11.0,,,34-25,,Defensive rebound by M. Miller
9:02.0,,,34-25,,N. Jokic misses 2-pt shot from 2 ft
9:01.0,,,34-25,,Offensive rebound by N. Jokic
9:00.0,,,34-25,,Shooting foul by N. Bjelica (drawn by N. Jokic)
9:00.0,,,34-26,1,N. Jokic makes free throw 1 of 2
9:00.0,A. Wiggins enters the game for T. Prince,,34-26,,
9:00.0,,,34-27,1,N. Jokic makes free throw 2 of 2
8:50.0,Shooting foul by N. Jokic (drawn by G. Dieng),,34-27,,
8:50.0,Official timeout,,34-27,,
8:50.0,,,34-27,,D. Gallinari enters the game for N. Jokic
8:50.0,,,34-27,,K. Faried enters the game for M. Miller
8:50.0,G. Dieng makes free throw 1 of 2,1,35-27,,
8:50.0,G. Dieng makes free throw 2 of 2,1,36-27,,
8:37.0,,,36-29,2,J. Nelson makes 2-pt shot from 21 ft (assist by D. Gallinari)
8:28.0,Minnesota full timeout,,36-29,,
8:28.0,K. Martin enters the game for N. Bjelica,,36-29,,
8:18.0,Turnover by G. Dieng (bad pass; steal by J. Nelson),,36-29,,
8:13.0,,,36-31,2,D. Gallinari makes 2-pt shot at rim (assist by J. Nelson)
7:58.0,G. Dieng misses 2-pt shot from 20 ft,,36-31,,
7:58.0,,,36-31,,Defensive rebound by D. Gallinari
7:43.0,,,36-31,,K. Faried misses 2-pt shot at rim
7:43.0,Defensive rebound by Z. LaVine,,36-31,,
7:37.0,K. Martin makes 3-pt shot from 25 ft (assist by Z. LaVine),3,39-31,,
7:09.0,,,39-31,,D. Gallinari misses 2-pt shot from 20 ft
7:09.0,Defensive rebound by G. Dieng,,39-31,,
6:58.0,G. Dieng makes 2-pt shot from 13 ft (assist by K. Martin),2,41-31,,
6:57.0,,,41-31,,Denver full timeout
6:57.0,T. Prince enters the game for S. Muhammad,,41-31,,
6:57.0,,,41-31,,E. Mudiay enters the game for J. Nelson
6:37.0,,,41-31,,G. Harris misses 3-pt shot from 27 ft
6:36.0,Defensive rebound by A. Wiggins,,41-31,,
6:24.0,A. Wiggins misses 2-pt shot from 18 ft,,41-31,,
6:23.0,,,41-31,,Defensive rebound by W. Barton
6:00.0,,,41-33,2,K. Faried makes 2-pt shot at rim (assist by W. Barton)
5:42.0,Z. LaVine makes 3-pt shot from 25 ft (assist by G. Dieng),3,44-33,,
5:21.0,,,44-33,,G. Harris misses 2-pt shot from 2 ft (block by G. Dieng)
5:19.0,Defensive rebound by K. Martin,,44-33,,
5:15.0,Turnover by G. Dieng (traveling),,44-33,,
5:15.0,R. Rubio enters the game for Z. LaVine,,44-33,,
5:15.0,K. Towns enters the game for G. Dieng,,44-33,,
5:15.0,,,44-33,,J. Lauvergne enters the game for W. Barton
5:03.0,,,44-33,,E. Mudiay misses 2-pt shot from 2 ft
5:02.0,Defensive rebound by Team,,44-33,,
4:43.0,K. Martin misses 2-pt shot from 17 ft,,44-33,,
4:43.0,,,44-33,,Defensive rebound by D. Gallinari
4:36.0,,,44-33,,D. Gallinari misses 2-pt shot from 1 ft
4:35.0,Defensive rebound by R. Rubio,,44-33,,
4:31.0,K. Martin makes 2-pt shot at rim (assist by R. Rubio),2,46-33,,
4:18.0,,,46-35,2,J. Lauvergne makes 2-pt shot at rim (assist by G. Harris)
3:56.0,A. Wiggins makes 2-pt shot from 5 ft (assist by K. Towns),2,48-35,,
3:51.0,Personal foul by R. Rubio (drawn by E. Mudiay),,48-35,,
3:37.0,,,48-35,,G. Harris misses 2-pt shot from 2 ft
3:37.0,Defensive rebound by K. Towns,,48-35,,
3:26.0,A. Wiggins makes 2-pt shot from 5 ft (assist by R. Rubio),2,50-35,,
3:24.0,,,50-35,,Denver full timeout
3:05.0,,,50-37,2,J. Lauvergne makes 2-pt shot at rim
2:48.0,A. Wiggins misses 2-pt shot from 2 ft (block by K. Faried),,50-37,,
2:46.0,,,50-37,,Defensive rebound by E. Mudiay
2:42.0,,,50-39,2,E. Mudiay makes 2-pt shot from 2 ft
2:28.0,,,50-39,,Personal foul by J. Lauvergne (drawn by K. Towns)
2:22.0,A. Wiggins makes 2-pt shot at rim,2,52-39,,
2:08.0,,,52-39,,Offensive foul by K. Faried
2:08.0,,,52-39,,Turnover by K. Faried (offensive foul)
1:52.0,K. Towns misses 2-pt shot from 1 ft,,52-39,,
1:52.0,,,52-39,,Defensive rebound by J. Lauvergne
1:43.0,,,52-39,,E. Mudiay misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by T. Prince,,52-39,,
1:30.0,Shooting foul by E. Mudiay (drawn by A. Wiggins),,52-39,,
1:30.0,A. Wiggins makes free throw 1 of 2,1,53-39,,
1:30.0,G. Dieng enters the game for K. Towns,,53-39,,
1:30.0,,,53-39,,N. Jokic enters the game for J. Lauvergne
1:30.0,A. Wiggins makes free throw 2 of 2,1,54-39,,
1:20.0,Personal foul by G. Dieng (drawn by N. Jokic),,54-39,,
1:20.0,,,54-40,1,N. Jokic makes free throw 1 of 2
1:20.0,S. Muhammad enters the game for A. Wiggins,,54-40,,
1:20.0,,,54-41,1,N. Jokic makes free throw 2 of 2
1:09.0,Shooting foul by G. Harris (drawn by K. Martin),,54-41,,
1:09.0,K. Martin makes free throw 1 of 2,1,55-41,,
1:09.0,,,55-41,,W. Barton enters the game for K. Faried
1:09.0,K. Martin makes free throw 2 of 2,1,56-41,,
0:59.0,,,56-41,,Turnover by E. Mudiay (traveling)
0:59.0,,,56-41,,J. Nelson enters the game for E. Mudiay
0:47.0,K. Martin misses 3-pt shot from 25 ft,,56-41,,
0:46.0,,,56-41,,Defensive rebound by D. Gallinari
0:32.0,,,56-41,,N. Jokic misses 2-pt shot from 3 ft
0:31.0,,,56-41,,Offensive rebound by N. Jokic
0:28.0,,,56-41,,N. Jokic misses 2-pt shot from 1 ft
0:27.0,Defensive rebound by R. Rubio,,56-41,,
0:18.0,Minnesota full timeout,,56-41,,
0:18.0,Z. LaVine enters the game for S. Muhammad,,56-41,,
0:05.0,Z. LaVine misses 2-pt shot from 1 ft,,56-41,,
0:04.0,,,56-41,,Defensive rebound by D. Gallinari
0:01.0,,,56-41,,D. Gallinari misses 3-pt shot from 25 ft
0:00.0,,,56-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by K. Towns (lost ball),,56-41,,
11:25.0,,,56-41,,J. Lauvergne misses 3-pt shot from 24 ft
11:25.0,Defensive rebound by R. Rubio,,56-41,,
11:14.0,A. Wiggins makes 2-pt shot from 17 ft (assist by R. Rubio),2,58-41,,
10:51.0,,,58-43,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by J. Nelson)
10:30.0,A. Wiggins misses 2-pt shot from 18 ft,,58-43,,
10:29.0,,,58-43,,Defensive rebound by K. Faried
10:20.0,,,58-45,2,G. Harris makes 2-pt shot from 1 ft
10:11.0,Shooting foul by G. Harris (drawn by R. Rubio),,58-45,,
10:11.0,R. Rubio misses free throw 1 of 2,,58-45,,
10:11.0,Offensive rebound by Team,,58-45,,
10:11.0,R. Rubio makes free throw 2 of 2,1,59-45,,
10:02.0,,,59-45,,J. Nelson misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by K. Towns,,59-45,,
9:52.0,R. Rubio misses 2-pt shot from 16 ft,,59-45,,
9:51.0,,,59-45,,Defensive rebound by D. Gallinari
9:44.0,,,59-45,,J. Lauvergne misses 2-pt shot from 1 ft
9:43.0,,,59-45,,Offensive rebound by K. Faried
9:42.0,,,59-45,,Shooting foul by K. Garnett (drawn by K. Faried)
9:42.0,,,59-45,,K. Faried misses free throw 1 of 2
9:42.0,,,59-45,,Offensive rebound by Team
9:42.0,,,59-45,,K. Faried misses free throw 2 of 2
9:41.0,Defensive rebound by K. Towns,,59-45,,
9:17.0,K. Martin misses 2-pt shot from 22 ft,,59-45,,
9:16.0,,,59-45,,Defensive rebound by J. Nelson
9:07.0,,,59-45,,D. Gallinari misses 2-pt shot from 1 ft (block by A. Wiggins)
9:07.0,Defensive rebound by Team,,59-45,,
8:50.0,A. Wiggins makes 2-pt shot from 21 ft,2,61-45,,
8:45.0,,,61-45,,Turnover by J. Nelson (lost ball; steal by K. Towns)
8:39.0,K. Martin makes 2-pt shot from 2 ft,2,63-45,,
8:21.0,,,63-45,,G. Harris misses 2-pt shot from 1 ft (block by K. Towns)
8:19.0,Defensive rebound by R. Rubio,,63-45,,
8:16.0,Turnover by A. Wiggins (lost ball),,63-45,,
8:16.0,,,63-45,,N. Jokic enters the game for J. Lauvergne
7:58.0,,,63-45,,G. Harris misses 2-pt shot from 15 ft
7:57.0,,,63-45,,Offensive rebound by K. Faried
7:48.0,,,63-45,,Turnover by G. Harris (step out of bounds)
7:38.0,Turnover by A. Wiggins (bad pass; steal by J. Nelson),,63-45,,
7:34.0,,,63-47,2,J. Nelson makes 2-pt shot from 1 ft
7:34.0,Minnesota full timeout,,63-47,,
7:14.0,Turnover by A. Wiggins (bad pass; steal by D. Gallinari),,63-47,,
7:08.0,Personal foul by R. Rubio (drawn by D. Gallinari),,63-47,,
6:54.0,,,63-47,,K. Faried misses 2-pt shot from 3 ft (block by K. Towns)
6:53.0,Defensive rebound by Team,,63-47,,
6:40.0,Shooting foul by K. Faried (drawn by K. Towns),,63-47,,
6:40.0,K. Towns makes free throw 1 of 2,1,64-47,,
6:40.0,N. Bjelica enters the game for K. Garnett,,64-47,,
6:40.0,K. Towns makes free throw 2 of 2,1,65-47,,
6:29.0,Personal foul by N. Bjelica (drawn by K. Faried),,65-47,,
6:24.0,,,65-50,3,J. Nelson makes 3-pt shot from 25 ft (assist by N. Jokic)
6:03.0,K. Martin misses 2-pt shot from 18 ft,,65-50,,
6:02.0,,,65-50,,Defensive rebound by N. Jokic
5:58.0,Personal foul by N. Bjelica (drawn by K. Faried),,65-50,,
5:54.0,,,65-53,3,D. Gallinari makes 3-pt shot from 25 ft (assist by N. Jokic)
5:32.0,K. Towns misses 2-pt shot from 19 ft,,65-53,,
5:32.0,,,65-53,,Defensive rebound by J. Nelson
5:23.0,,,65-56,3,J. Nelson makes 3-pt shot from 25 ft
5:23.0,Minnesota full timeout,,65-56,,
5:07.0,A. Wiggins makes 2-pt shot from 1 ft,2,67-56,,
4:49.0,,,67-59,3,J. Nelson makes 3-pt shot from 23 ft (assist by N. Jokic)
4:33.0,R. Rubio makes 3-pt shot from 24 ft (assist by N. Bjelica),3,70-59,,
4:25.0,,,70-59,,Turnover by J. Nelson (lost ball)
4:18.0,,,70-59,,Personal foul by N. Jokic (drawn by K. Towns)
4:18.0,G. Dieng enters the game for K. Towns,,70-59,,
4:18.0,,,70-59,,W. Barton enters the game for G. Harris
4:04.0,A. Wiggins makes 2-pt shot at rim,2,72-59,,
3:50.0,,,72-62,3,D. Gallinari makes 3-pt shot from 24 ft
3:32.0,,,72-62,,Personal foul by D. Gallinari (drawn by A. Wiggins)
3:17.0,A. Wiggins makes 2-pt shot from 17 ft,2,74-62,,
3:04.0,,,74-62,,Turnover by N. Jokic (traveling)
2:50.0,N. Bjelica misses 3-pt shot from 24 ft,,74-62,,
2:48.0,,,74-62,,Defensive rebound by N. Jokic
2:37.0,,,74-64,2,N. Jokic makes 2-pt shot at rim (assist by J. Nelson)
2:14.0,A. Wiggins misses 2-pt shot from 23 ft,,74-64,,
2:13.0,,,74-64,,Defensive rebound by K. Faried
1:59.0,,,74-67,3,N. Jokic makes 3-pt shot from 23 ft (assist by J. Nelson)
1:33.0,K. Martin misses 3-pt shot from 26 ft,,74-67,,
1:27.0,,,74-67,,Defensive rebound by J. Nelson
1:21.0,,,74-67,,Shooting foul by N. Bjelica (drawn by K. Faried)
1:21.0,,,74-69,2,K. Faried makes 2-pt shot from 2 ft
1:21.0,Z. LaVine enters the game for K. Martin,,74-69,,
1:21.0,S. Muhammad enters the game for R. Rubio,,74-69,,
1:21.0,K. Towns enters the game for N. Bjelica,,74-69,,
1:21.0,,,74-70,1,K. Faried makes free throw 1 of 1
0:59.0,,,74-70,,Personal foul by J. Nelson (drawn by G. Dieng)
0:59.0,G. Dieng makes free throw 1 of 2,1,75-70,,
0:59.0,T. Prince enters the game for A. Wiggins,,75-70,,
0:59.0,,,75-70,,M. Miller enters the game for K. Faried
0:59.0,G. Dieng makes free throw 2 of 2,1,76-70,,
0:46.0,,,76-73,3,J. Nelson makes 3-pt shot from 25 ft
0:39.0,Turnover by Z. LaVine (lost ball; steal by W. Barton),,76-73,,
0:34.0,,,76-73,,W. Barton misses 2-pt shot from 1 ft
0:33.0,Defensive rebound by G. Dieng,,76-73,,
0:12.0,Z. LaVine makes 2-pt shot from 21 ft,2,78-73,,
0:03.0,D. Rudez enters the game for K. Towns,,78-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Personal foul by G. Dieng (drawn by N. Jokic),,78-73,,
11:31.0,,,78-73,,R. Foye misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by G. Dieng,,78-73,,
11:29.0,,,78-73,,Loose ball foul by N. Jokic (drawn by G. Dieng)
11:11.0,D. Rudez misses 2-pt shot from 10 ft,,78-73,,
11:10.0,,,78-73,,Defensive rebound by M. Miller
11:02.0,,,78-76,3,G. Harris makes 3-pt shot from 24 ft (assist by R. Foye)
10:44.0,Z. LaVine misses 2-pt shot from 21 ft,,78-76,,
10:43.0,,,78-76,,Defensive rebound by W. Barton
10:35.0,,,78-76,,W. Barton misses 2-pt shot from 2 ft (block by S. Muhammad)
10:34.0,Defensive rebound by Z. LaVine,,78-76,,
10:27.0,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine),2,80-76,,
10:03.0,,,80-78,2,N. Jokic makes 2-pt shot from 3 ft (assist by W. Barton)
9:43.0,G. Dieng makes 2-pt shot from 2 ft (assist by Z. LaVine),2,82-78,,
9:23.0,,,82-78,,Turnover by G. Harris (lost ball; steal by G. Dieng)
9:21.0,Shooting foul by R. Foye (drawn by Z. LaVine),,82-78,,
9:21.0,Z. LaVine makes free throw 1 of 2,1,83-78,,
9:21.0,Z. LaVine misses free throw 2 of 2,,83-78,,
9:20.0,,,83-78,,Defensive rebound by W. Barton
9:07.0,,,83-78,,R. Foye misses 2-pt shot from 18 ft
9:07.0,Defensive rebound by Z. LaVine,,83-78,,
8:57.0,Z. LaVine makes 2-pt shot from 4 ft,2,85-78,,
8:57.0,,,85-78,,Denver full timeout
8:57.0,,,85-78,,J. Nelson enters the game for R. Foye
8:38.0,,,85-78,,N. Jokic misses 2-pt shot from 2 ft (block by G. Dieng)
8:37.0,,,85-78,,Offensive rebound by Team
8:31.0,,,85-78,,N. Jokic misses 3-pt shot from 26 ft
8:31.0,Defensive rebound by S. Muhammad,,85-78,,
8:14.0,Z. LaVine misses 2-pt shot from 11 ft,,85-78,,
8:13.0,,,85-78,,Defensive rebound by W. Barton
8:05.0,,,85-81,3,W. Barton makes 3-pt shot from 24 ft
7:47.0,Z. LaVine misses 3-pt shot from 26 ft,,85-81,,
7:46.0,,,85-81,,Defensive rebound by G. Harris
7:37.0,,,85-83,2,W. Barton makes 2-pt shot from 2 ft
7:16.0,D. Rudez makes 3-pt shot from 24 ft (assist by Z. LaVine),3,88-83,,
6:56.0,,,88-83,,W. Barton misses 3-pt shot from 25 ft
6:54.0,,,88-83,,Offensive rebound by N. Jokic
6:54.0,,,88-85,2,N. Jokic makes 2-pt shot at rim
6:26.0,Shooting foul by N. Jokic (drawn by D. Rudez),,88-85,,
6:26.0,D. Rudez makes free throw 1 of 2,1,89-85,,
6:26.0,R. Rubio enters the game for Z. LaVine,,89-85,,
6:26.0,A. Wiggins enters the game for S. Muhammad,,89-85,,
6:26.0,K. Towns enters the game for G. Dieng,,89-85,,
6:26.0,,,89-85,,K. Faried enters the game for N. Jokic
6:26.0,D. Rudez makes free throw 2 of 2,1,90-85,,
6:10.0,,,90-87,2,K. Faried makes 2-pt shot from 1 ft (assist by J. Nelson)
5:42.0,Turnover by R. Rubio (lost ball; steal by W. Barton),,90-87,,
5:35.0,Personal foul by R. Rubio (drawn by W. Barton),,90-87,,
5:35.0,Official timeout,,90-87,,
5:35.0,,,90-87,,D. Gallinari enters the game for M. Miller
5:35.0,K. Martin enters the game for D. Rudez,,90-87,,
5:22.0,,,90-87,,Shooting foul by K. Towns (drawn by D. Gallinari)
5:22.0,,,90-88,1,D. Gallinari makes free throw 1 of 2
5:22.0,,,90-89,1,D. Gallinari makes free throw 2 of 2
5:07.0,K. Martin makes 2-pt shot from 16 ft (assist by R. Rubio),2,92-89,,
4:44.0,,,92-89,,K. Faried misses 2-pt shot from 3 ft (block by K. Towns)
4:42.0,Defensive rebound by T. Prince,,92-89,,
4:35.0,,,92-89,,Personal foul by W. Barton (drawn by K. Towns)
4:26.0,K. Towns misses 2-pt shot from 13 ft,,92-89,,
4:26.0,,,92-89,,Defensive rebound by J. Nelson
4:04.0,,,92-91,2,W. Barton makes 2-pt shot from 18 ft
3:40.0,A. Wiggins misses 2-pt shot from 9 ft,,92-91,,
3:39.0,Offensive rebound by K. Towns,,92-91,,
3:36.0,K. Towns makes 2-pt shot from 1 ft,2,94-91,,
3:23.0,Violation by R. Rubio (kicked ball),,94-91,,
3:16.0,,,94-93,2,J. Nelson makes 2-pt shot from 7 ft
2:51.0,T. Prince misses 2-pt shot at rim,,94-93,,
2:47.0,Offensive rebound by T. Prince,,94-93,,
2:47.0,T. Prince misses 2-pt shot from 1 ft,,94-93,,
2:45.0,,,94-93,,Defensive rebound by K. Faried
2:36.0,,,94-93,,G. Harris misses 2-pt shot from 2 ft
2:35.0,Defensive rebound by K. Towns,,94-93,,
2:32.0,Minnesota full timeout,,94-93,,
2:32.0,Z. LaVine enters the game for T. Prince,,94-93,,
2:25.0,K. Martin misses 3-pt shot from 24 ft,,94-93,,
2:24.0,,,94-93,,Defensive rebound by W. Barton
2:06.0,,,94-95,2,G. Harris makes 2-pt shot from 3 ft (assist by J. Nelson)
