time,Portland,pts.away,score,pts.home,Minnesota
0:45.0,Offensive rebound by M. Harkless,,21-32,,
0:44.0,Shooting foul by G. Dieng (drawn by M. Harkless),,21-32,,
0:44.0,M. Harkless misses free throw 1 of 2,,21-32,,
0:44.0,Offensive rebound by Team,,21-32,,
0:44.0,M. Harkless makes free throw 2 of 2,1,22-32,,
0:25.0,,,22-32,,S. Muhammad misses 2-pt shot from 11 ft
0:24.0,Defensive rebound by E. Davis,,22-32,,
0:07.0,M. Harkless misses 3-pt shot from 22 ft,,22-32,,
0:06.0,,,22-32,,Defensive rebound by A. Payne
0:01.0,,,22-32,,A. Wiggins misses 2-pt shot from 22 ft
0:00.0,,,22-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Personal foul by A. Crabbe (drawn by S. Muhammad),,22-32,,
11:43.0,,,22-32,,Shooting foul by A. Crabbe (drawn by S. Muhammad)
11:43.0,,,22-32,,S. Muhammad misses free throw 1 of 2
11:43.0,,,22-32,,Offensive rebound by Team
11:43.0,,,22-33,1,S. Muhammad makes free throw 2 of 2
11:29.0,E. Davis makes 2-pt shot from 7 ft (assist by C. McCollum),2,24-33,,
11:15.0,,,24-35,2,N. Bjelica makes 2-pt shot from 1 ft
11:15.0,,,24-35,,Shooting foul by E. Davis (drawn by N. Bjelica)
11:15.0,,,24-35,,N. Bjelica misses free throw 1 of 1
11:15.0,Defensive rebound by M. Harkless,,24-35,,
10:57.0,Turnover by M. Leonard (bad pass; steal by S. Muhammad),,24-35,,
10:47.0,,,24-35,,S. Muhammad misses 2-pt shot from 8 ft
10:46.0,Defensive rebound by E. Davis,,24-35,,
10:37.0,C. McCollum misses 2-pt shot from 14 ft,,24-35,,
10:36.0,,,24-35,,Defensive rebound by G. Dieng
10:25.0,,,24-35,,Turnover by G. Dieng (bad pass)
10:12.0,M. Leonard makes 3-pt shot from 23 ft (assist by E. Davis),3,27-35,,
9:51.0,,,27-35,,T. Prince misses 2-pt shot from 20 ft
9:50.0,Defensive rebound by A. Crabbe,,27-35,,
9:37.0,M. Leonard makes 2-pt shot from 12 ft (assist by C. McCollum),2,29-35,,
9:28.0,,,29-35,,Minnesota full timeout
9:28.0,M. Plumlee enters the game for E. Davis,,29-35,,
9:23.0,,,29-37,2,Z. LaVine makes 2-pt shot from 1 ft
8:55.0,M. Leonard makes 2-pt shot from 11 ft,2,31-37,,
8:42.0,,,31-39,2,G. Dieng makes 2-pt shot from 18 ft (assist by Z. LaVine)
8:25.0,C. McCollum misses 2-pt shot from 12 ft,,31-39,,
8:24.0,,,31-39,,Defensive rebound by T. Prince
8:20.0,,,31-39,,Shooting foul by M. Leonard (drawn by G. Dieng)
8:20.0,,,31-40,1,G. Dieng makes free throw 1 of 2
8:20.0,G. Henderson enters the game for A. Crabbe,,31-40,,
8:20.0,A. Aminu enters the game for M. Leonard,,31-40,,
8:20.0,,,31-41,1,G. Dieng makes free throw 2 of 2
8:06.0,,,31-41,,Personal foul by Z. LaVine (drawn by M. Harkless)
7:52.0,G. Henderson misses 2-pt shot from 11 ft,,31-41,,
7:51.0,,,31-41,,Defensive rebound by T. Prince
7:38.0,,,31-41,,S. Muhammad misses 2-pt shot from 8 ft
7:37.0,Defensive rebound by A. Aminu,,31-41,,
7:31.0,Turnover by M. Plumlee (bad pass; steal by Z. LaVine),,31-41,,
7:25.0,,,31-43,2,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine)
7:10.0,M. Plumlee misses 2-pt shot from 9 ft,,31-43,,
7:09.0,,,31-43,,Defensive rebound by N. Bjelica
6:59.0,,,31-43,,Z. LaVine misses 2-pt shot at rim
6:59.0,,,31-43,,Offensive rebound by G. Dieng
6:59.0,,,31-45,2,G. Dieng makes 2-pt shot at rim
6:59.0,Portland full timeout,,31-45,,
6:59.0,D. Lillard enters the game for C. McCollum,,31-45,,
6:59.0,A. Crabbe enters the game for M. Harkless,,31-45,,
6:41.0,Shooting foul by G. Dieng (drawn by G. Henderson),,31-45,,
6:41.0,G. Henderson makes free throw 1 of 2,1,32-45,,
6:41.0,,,32-45,,R. Rubio enters the game for Z. LaVine
6:41.0,,,32-45,,A. Wiggins enters the game for S. Muhammad
6:41.0,G. Henderson misses free throw 2 of 2,,32-45,,
6:40.0,,,32-45,,Defensive rebound by N. Bjelica
6:18.0,,,32-45,,G. Dieng misses 2-pt shot from 14 ft
6:16.0,Defensive rebound by M. Plumlee,,32-45,,
6:13.0,Turnover by D. Lillard (bad pass; steal by G. Dieng),,32-45,,
6:00.0,,,32-47,2,G. Dieng makes 2-pt shot from 4 ft (assist by R. Rubio)
5:39.0,A. Aminu makes 2-pt shot at rim (assist by M. Plumlee),2,34-47,,
5:25.0,,,34-47,,R. Rubio misses 2-pt shot from 19 ft
5:24.0,Defensive rebound by A. Crabbe,,34-47,,
5:15.0,A. Crabbe misses 2-pt shot from 7 ft,,34-47,,
5:14.0,,,34-47,,Defensive rebound by N. Bjelica
5:08.0,,,34-47,,Turnover by N. Bjelica (lost ball; steal by D. Lillard)
5:03.0,,,34-47,,K. Towns enters the game for G. Dieng
5:03.0,,,34-47,,K. Garnett enters the game for N. Bjelica
5:00.0,,,34-47,,Shooting block foul by T. Prince (drawn by G. Henderson)
5:00.0,G. Henderson makes free throw 1 of 2,1,35-47,,
5:00.0,G. Henderson makes free throw 2 of 2,1,36-47,,
4:46.0,,,36-47,,Turnover by K. Towns (bad pass; steal by A. Aminu)
4:41.0,A. Crabbe makes 3-pt shot from 25 ft (assist by A. Aminu),3,39-47,,
4:24.0,,,39-49,2,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio)
4:08.0,Turnover by D. Lillard (lost ball),,39-49,,
4:08.0,,,39-49,,K. Martin enters the game for T. Prince
3:55.0,,,39-51,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
3:38.0,A. Crabbe misses 2-pt shot from 16 ft,,39-51,,
3:37.0,,,39-51,,Defensive rebound by R. Rubio
3:27.0,,,39-51,,K. Garnett misses 2-pt shot from 21 ft
3:26.0,,,39-51,,Offensive rebound by R. Rubio
3:16.0,,,39-53,2,K. Towns makes 2-pt shot from 9 ft
3:00.0,A. Crabbe misses 3-pt shot from 24 ft,,39-53,,
2:59.0,,,39-53,,Defensive rebound by K. Garnett
2:52.0,Personal foul by D. Lillard (drawn by A. Wiggins),,39-53,,
2:52.0,,,39-53,,Minnesota full timeout
2:52.0,E. Davis enters the game for A. Aminu,,39-53,,
2:52.0,C. McCollum enters the game for A. Crabbe,,39-53,,
2:52.0,,,39-53,,A. Wiggins misses free throw 1 of 2
2:52.0,,,39-53,,Offensive rebound by Team
2:52.0,,,39-54,1,A. Wiggins makes free throw 2 of 2
2:31.0,C. McCollum misses 2-pt shot from 17 ft,,39-54,,
2:30.0,Offensive rebound by M. Plumlee,,39-54,,
2:28.0,,,39-54,,Violation by K. Garnett (kicked ball)
2:17.0,G. Henderson makes 3-pt shot from 23 ft (assist by D. Lillard),3,42-54,,
2:05.0,Personal foul by G. Henderson (drawn by A. Wiggins),,42-54,,
2:05.0,,,42-55,1,A. Wiggins makes free throw 1 of 2
2:05.0,,,42-56,1,A. Wiggins makes free throw 2 of 2
1:51.0,D. Lillard misses 3-pt shot from 24 ft,,42-56,,
1:50.0,Offensive rebound by M. Plumlee,,42-56,,
1:41.0,,,42-56,,Violation by K. Garnett (kicked ball)
1:35.0,M. Plumlee misses 2-pt shot from 11 ft,,42-56,,
1:34.0,,,42-56,,Defensive rebound by K. Garnett
1:24.0,Personal foul by E. Davis (drawn by K. Garnett),,42-56,,
1:24.0,,,42-57,1,K. Garnett makes free throw 1 of 2
1:24.0,,,42-57,,K. Garnett misses free throw 2 of 2
1:24.0,Defensive rebound by M. Plumlee,,42-57,,
1:13.0,D. Lillard makes 2-pt shot from 2 ft,2,44-57,,
1:00.0,,,44-57,,Offensive foul by K. Garnett
1:00.0,,,44-57,,Turnover by K. Garnett (offensive foul)
0:49.0,Turnover by M. Plumlee (bad pass),,44-57,,
0:36.0,,,44-57,,R. Rubio misses 2-pt shot from 16 ft
0:35.0,Defensive rebound by E. Davis,,44-57,,
0:12.0,E. Davis makes 2-pt shot at rim (assist by D. Lillard),2,46-57,,
0:12.0,Shooting foul by K. Towns (drawn by E. Davis),,46-57,,
0:12.0,A. Crabbe enters the game for D. Lillard,,46-57,,
0:12.0,N. Vonleh enters the game for M. Plumlee,,46-57,,
0:12.0,E. Davis misses free throw 1 of 1,,46-57,,
0:12.0,,,46-57,,Defensive rebound by K. Towns
0:08.0,,,46-57,,Minnesota full timeout
0:08.0,T. Frazier enters the game for A. Crabbe,,46-57,,
0:08.0,,,46-57,,N. Bjelica enters the game for K. Garnett
0:04.0,,,46-59,2,K. Towns makes 2-pt shot from 12 ft
0:01.0,C. McCollum misses 2-pt shot from 15 ft,,46-59,,
0:00.0,Offensive rebound by Team,,46-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,46-59,,K. Towns misses 2-pt shot from 1 ft
11:48.0,Defensive rebound by N. Vonleh,,46-59,,
11:41.0,A. Aminu misses 2-pt shot from 2 ft (block by A. Wiggins),,46-59,,
11:38.0,,,46-59,,Defensive rebound by A. Wiggins
11:35.0,,,46-59,,Turnover by A. Wiggins (bad pass; steal by N. Vonleh)
11:19.0,C. McCollum misses 2-pt shot from 18 ft,,46-59,,
11:17.0,,,46-59,,Defensive rebound by A. Wiggins
11:04.0,,,46-59,,A. Wiggins misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by M. Plumlee,,46-59,,
10:52.0,D. Lillard misses 2-pt shot from 18 ft,,46-59,,
10:51.0,,,46-59,,Defensive rebound by K. Towns
10:42.0,,,46-61,2,K. Towns makes 2-pt shot from 15 ft (assist by R. Rubio)
10:24.0,N. Vonleh misses 2-pt shot from 15 ft,,46-61,,
10:22.0,,,46-61,,Defensive rebound by K. Towns
10:13.0,,,46-63,2,K. Garnett makes 2-pt shot from 19 ft (assist by R. Rubio)
9:49.0,Turnover by N. Vonleh (traveling),,46-63,,
9:40.0,,,46-63,,Turnover by K. Towns (lost ball; steal by C. McCollum)
9:35.0,C. McCollum makes 2-pt shot from 1 ft,2,48-63,,
9:14.0,,,48-63,,A. Wiggins misses 2-pt shot from 7 ft
9:13.0,Defensive rebound by M. Plumlee,,48-63,,
9:01.0,A. Aminu makes 3-pt shot from 23 ft (assist by N. Vonleh),3,51-63,,
9:00.0,,,51-63,,Minnesota full timeout
8:47.0,,,51-63,,Turnover by K. Towns (traveling)
8:29.0,N. Vonleh makes 2-pt shot at rim,2,53-63,,
8:12.0,,,53-65,2,K. Towns makes 2-pt shot from 5 ft (assist by K. Martin)
8:01.0,,,53-65,,Personal foul by K. Towns (drawn by M. Plumlee)
7:56.0,C. McCollum makes 2-pt shot from 16 ft (assist by M. Plumlee),2,55-65,,
7:45.0,,,55-67,2,K. Towns makes 2-pt shot from 8 ft (assist by R. Rubio)
7:29.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,58-67,,
7:15.0,,,58-67,,A. Wiggins misses 3-pt shot from 22 ft
7:13.0,Defensive rebound by C. McCollum,,58-67,,
7:10.0,,,58-67,,Personal foul by K. Martin (drawn by C. McCollum)
7:10.0,,,58-67,,A. Payne enters the game for K. Garnett
7:01.0,N. Vonleh makes 2-pt shot from 16 ft (assist by C. McCollum),2,60-67,,
6:43.0,,,60-67,,Turnover by R. Rubio (bad pass; steal by A. Aminu)
6:40.0,Shooting foul by A. Wiggins (drawn by A. Aminu),,60-67,,
6:40.0,A. Aminu makes free throw 1 of 2,1,61-67,,
6:40.0,A. Aminu makes free throw 2 of 2,1,62-67,,
6:30.0,,,62-69,2,K. Martin makes 2-pt shot from 15 ft (assist by R. Rubio)
6:20.0,D. Lillard misses 2-pt shot at rim,,62-69,,
6:19.0,,,62-69,,Defensive rebound by K. Towns
6:15.0,,,62-69,,Shooting foul by C. McCollum (drawn by R. Rubio)
6:15.0,,,62-70,1,R. Rubio makes free throw 1 of 2
6:15.0,,,62-71,1,R. Rubio makes free throw 2 of 2
6:02.0,Shooting foul by A. Payne (drawn by M. Plumlee),,62-71,,
6:02.0,M. Plumlee makes free throw 1 of 2,1,63-71,,
6:02.0,M. Plumlee makes free throw 2 of 2,1,64-71,,
5:45.0,,,64-73,2,K. Towns makes 2-pt shot from 11 ft (assist by R. Rubio)
5:31.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,67-73,,
5:17.0,,,67-73,,K. Towns misses 2-pt shot from 17 ft
5:16.0,Defensive rebound by C. McCollum,,67-73,,
5:11.0,C. McCollum misses 3-pt shot from 24 ft,,67-73,,
5:10.0,Offensive rebound by Team,,67-73,,
5:07.0,,,67-73,,Personal foul by R. Rubio (drawn by D. Lillard)
5:07.0,D. Lillard makes free throw 1 of 2,1,68-73,,
5:07.0,D. Lillard makes free throw 2 of 2,1,69-73,,
4:55.0,,,69-73,,Turnover by R. Rubio (bad pass; steal by A. Aminu)
4:45.0,C. McCollum misses 2-pt shot from 5 ft,,69-73,,
4:43.0,Offensive rebound by M. Plumlee,,69-73,,
4:40.0,M. Plumlee misses 2-pt shot from 6 ft (block by K. Towns),,69-73,,
4:38.0,Offensive rebound by M. Plumlee,,69-73,,
4:37.0,M. Plumlee makes 2-pt shot from 1 ft,2,71-73,,
4:23.0,,,71-75,2,K. Martin makes 2-pt shot from 19 ft (assist by R. Rubio)
4:02.0,C. McCollum makes 2-pt shot at rim,2,73-75,,
3:42.0,,,73-75,,K. Towns misses 2-pt shot from 6 ft
3:40.0,Defensive rebound by N. Vonleh,,73-75,,
3:32.0,D. Lillard makes 2-pt shot from 1 ft,2,75-75,,
3:13.0,,,75-75,,A. Wiggins misses 2-pt shot from 17 ft
3:12.0,Defensive rebound by N. Vonleh,,75-75,,
3:00.0,A. Aminu misses 2-pt shot from 10 ft,,75-75,,
2:59.0,,,75-75,,Defensive rebound by K. Towns
2:52.0,Portland full timeout,,75-75,,
2:52.0,,,75-75,,Z. LaVine enters the game for K. Towns
2:52.0,,,75-75,,G. Dieng enters the game for R. Rubio
2:52.0,,,75-75,,N. Bjelica enters the game for A. Payne
2:52.0,E. Davis enters the game for N. Vonleh,,75-75,,
2:52.0,A. Crabbe enters the game for M. Plumlee,,75-75,,
2:52.0,M. Leonard enters the game for C. McCollum,,75-75,,
2:46.0,,,75-77,2,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng)
2:34.0,D. Lillard misses 2-pt shot from 1 ft,,75-77,,
2:32.0,,,75-77,,Defensive rebound by G. Dieng
2:25.0,,,75-77,,A. Wiggins misses 2-pt shot from 18 ft
2:24.0,,,75-77,,Offensive rebound by N. Bjelica
2:21.0,,,75-77,,Shooting foul by A. Crabbe (drawn by K. Martin)
2:21.0,,,75-78,1,K. Martin makes free throw 1 of 2
2:21.0,,,75-79,1,K. Martin makes free throw 2 of 2
2:07.0,Shooting foul by A. Wiggins (drawn by A. Aminu),,75-79,,
2:07.0,A. Aminu makes free throw 1 of 2,1,76-79,,
2:07.0,,,76-79,,S. Muhammad enters the game for K. Martin
2:07.0,A. Aminu misses free throw 2 of 2,,76-79,,
2:06.0,,,76-79,,Defensive rebound by N. Bjelica
1:51.0,,,76-79,,Z. LaVine misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by A. Aminu,,76-79,,
1:34.0,Offensive foul by M. Leonard,,76-79,,
1:34.0,Turnover by M. Leonard (offensive foul),,76-79,,
1:34.0,G. Henderson enters the game for A. Aminu,,76-79,,
1:22.0,,,76-82,3,Z. LaVine makes 3-pt shot from 25 ft
1:05.0,M. Leonard makes 2-pt shot from 13 ft (assist by D. Lillard),2,78-82,,
0:49.0,,,78-82,,Z. LaVine misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by G. Henderson,,78-82,,
0:34.0,M. Leonard misses 3-pt shot from 24 ft,,78-82,,
0:33.0,,,78-82,,Defensive rebound by S. Muhammad
0:15.0,,,78-82,,Turnover by G. Dieng (3 sec)
0:15.0,,,78-82,,T. Prince enters the game for A. Wiggins
0:03.0,,,78-82,,Personal foul by Z. LaVine (drawn by D. Lillard)
0:03.0,D. Lillard makes free throw 1 of 2,1,79-82,,
0:03.0,D. Lillard makes free throw 2 of 2,1,80-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,A. Crabbe makes 2-pt shot from 16 ft,2,82-82,,
11:30.0,,,82-82,,Offensive foul by G. Dieng
11:30.0,,,82-82,,Turnover by G. Dieng (offensive foul)
11:13.0,Shooting foul by S. Muhammad (drawn by G. Henderson),,82-82,,
11:13.0,G. Henderson makes free throw 1 of 2,1,83-82,,
11:13.0,G. Henderson makes free throw 2 of 2,1,84-82,,
10:57.0,,,84-82,,S. Muhammad misses 2-pt shot from 10 ft
10:56.0,Defensive rebound by G. Henderson,,84-82,,
10:48.0,Turnover by G. Henderson (traveling),,84-82,,
10:33.0,,,84-82,,Z. LaVine misses 2-pt shot from 4 ft
10:32.0,Defensive rebound by D. Lillard,,84-82,,
10:32.0,,,84-82,,Personal foul by Z. LaVine (drawn by D. Lillard)
10:14.0,Turnover by G. Henderson (traveling),,84-82,,
9:49.0,,,84-82,,T. Prince misses 2-pt shot from 17 ft
9:47.0,Defensive rebound by A. Crabbe,,84-82,,
9:46.0,,,84-82,,Personal foul by Z. LaVine (drawn by A. Crabbe)
9:46.0,C. McCollum enters the game for D. Lillard,,84-82,,
9:46.0,,,84-82,,A. Wiggins enters the game for S. Muhammad
9:35.0,M. Leonard makes 2-pt shot from 18 ft (assist by C. McCollum),2,86-82,,
9:08.0,,,86-84,2,G. Dieng makes 2-pt shot from 1 ft
8:56.0,A. Crabbe makes 2-pt shot at rim (assist by M. Leonard),2,88-84,,
8:32.0,,,88-84,,Offensive foul by G. Dieng
8:32.0,,,88-84,,Turnover by G. Dieng (offensive foul)
8:32.0,Portland full timeout,,88-84,,
8:32.0,,,88-84,,R. Rubio enters the game for T. Prince
8:32.0,,,88-84,,K. Towns enters the game for N. Bjelica
8:19.0,C. McCollum misses 3-pt shot from 23 ft,,88-84,,
8:18.0,,,88-84,,Defensive rebound by R. Rubio
8:05.0,,,88-86,2,K. Towns makes 2-pt shot from 20 ft (assist by R. Rubio)
7:44.0,Shooting foul by R. Rubio (drawn by E. Davis),,88-86,,
7:44.0,E. Davis misses free throw 1 of 2,,88-86,,
7:44.0,Offensive rebound by Team,,88-86,,
7:44.0,E. Davis misses free throw 2 of 2,,88-86,,
7:43.0,,,88-86,,Defensive rebound by A. Wiggins
7:24.0,,,88-86,,Z. LaVine misses 2-pt shot at rim
7:23.0,Defensive rebound by C. McCollum,,88-86,,
7:18.0,A. Crabbe makes 2-pt shot from 23 ft (assist by G. Henderson),2,90-86,,
6:55.0,,,90-89,3,Z. LaVine makes 3-pt shot from 25 ft (assist by K. Towns)
6:34.0,M. Leonard makes 3-pt shot from 25 ft (assist by G. Henderson),3,93-89,,
6:12.0,,,93-89,,G. Dieng misses 2-pt shot at rim
6:11.0,Defensive rebound by E. Davis,,93-89,,
5:53.0,M. Leonard misses 3-pt shot from 26 ft,,93-89,,
5:52.0,Offensive rebound by G. Henderson,,93-89,,
5:34.0,E. Davis makes 2-pt shot from 3 ft (assist by A. Crabbe),2,95-89,,
5:28.0,,,95-89,,Minnesota full timeout
5:28.0,D. Lillard enters the game for A. Crabbe,,95-89,,
5:15.0,,,95-89,,K. Towns misses 2-pt shot from 18 ft
5:13.0,,,95-89,,Offensive rebound by R. Rubio
5:04.0,,,95-91,2,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio)
5:04.0,,,95-91,,Shooting foul by M. Leonard (drawn by G. Dieng)
5:04.0,Violation by E. Davis (def goaltending),,95-91,,
5:04.0,,,95-92,1,G. Dieng makes free throw 1 of 1
4:38.0,M. Leonard misses 3-pt shot from 35 ft,,95-92,,
4:37.0,,,95-92,,Defensive rebound by G. Dieng
4:32.0,,,95-92,,Shooting foul by D. Lillard (drawn by R. Rubio)
4:32.0,,,95-93,1,R. Rubio makes free throw 1 of 2
4:32.0,A. Aminu enters the game for G. Henderson,,95-93,,
4:32.0,,,95-94,1,R. Rubio makes free throw 2 of 2
4:22.0,D. Lillard makes 3-pt shot from 25 ft,3,98-94,,
4:06.0,,,98-94,,K. Towns misses 2-pt shot from 1 ft
4:03.0,,,98-94,,Offensive rebound by Z. LaVine
4:00.0,,,98-94,,Turnover by Z. LaVine (lost ball; steal by C. McCollum)
3:37.0,C. McCollum makes 2-pt shot from 10 ft (assist by M. Leonard),2,100-94,,
3:32.0,,,100-94,,Minnesota full timeout
3:23.0,,,100-94,,Z. LaVine misses 3-pt shot from 25 ft
3:21.0,,,100-94,,Offensive rebound by R. Rubio
3:11.0,,,100-94,,R. Rubio misses 2-pt shot at rim
