time,New York,pts.away,score,pts.home,Dallas
6:05.0,,,14-8,2,D. Powell makes 2-pt shot at rim (assist by R. Felton)
5:45.0,R. Lopez makes 2-pt shot at rim,2,16-8,,
5:25.0,,,16-8,,Turnover by D. Harris (lost ball; steal by S. Vujacic)
5:19.0,C. Anthony misses 3-pt shot from 24 ft,,16-8,,
5:18.0,Offensive rebound by R. Lopez,,16-8,,
5:18.0,R. Lopez makes 2-pt shot at rim,2,18-8,,
5:17.0,,,18-8,,Dallas full timeout
5:17.0,,,18-8,,D. Lee enters the game for D. Nowitzki
5:17.0,,,18-8,,Z. Pachulia enters the game for D. Powell
5:17.0,J. Grant enters the game for R. Lopez,,18-8,,
5:17.0,K. O'Quinn enters the game for J. Calderon,,18-8,,
5:03.0,,,18-10,2,R. Felton makes 2-pt shot from 21 ft
4:42.0,K. O'Quinn makes 2-pt shot from 15 ft (assist by S. Vujacic),2,20-10,,
4:34.0,,,20-10,,D. Harris misses 2-pt shot from 18 ft
4:34.0,Defensive rebound by D. Williams,,20-10,,
4:34.0,,,20-10,,Loose ball foul by D. Lee
4:34.0,A. Afflalo enters the game for C. Anthony,,20-10,,
4:15.0,S. Vujacic misses 3-pt shot from 26 ft,,20-10,,
4:14.0,,,20-10,,Defensive rebound by D. Lee
4:04.0,Def 3 sec tech foul by K. O'Quinn,,20-10,,
4:04.0,,,20-11,1,W. Matthews makes technical free throw
3:50.0,,,20-11,,R. Felton misses 2-pt shot from 16 ft
3:49.0,,,20-11,,Offensive rebound by Z. Pachulia
3:49.0,,,20-11,,Z. Pachulia misses 2-pt shot from 2 ft
3:48.0,,,20-11,,Offensive rebound by D. Lee
3:48.0,,,20-11,,D. Lee misses 2-pt shot from 2 ft
3:47.0,Defensive rebound by J. Grant,,20-11,,
3:37.0,D. Williams makes 2-pt shot at rim,2,22-11,,
3:19.0,,,22-13,2,R. Felton makes 2-pt shot at rim (assist by D. Lee)
2:57.0,S. Vujacic makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,24-13,,
2:45.0,,,24-15,2,D. Lee makes 2-pt shot from 6 ft (assist by D. Harris)
2:28.0,A. Afflalo misses 2-pt shot from 14 ft,,24-15,,
2:27.0,,,24-15,,Defensive rebound by Z. Pachulia
2:22.0,Shooting block foul by A. Afflalo (drawn by W. Matthews),,24-15,,
2:22.0,New York full timeout,,24-15,,
2:22.0,K. Seraphin enters the game for D. Williams,,24-15,,
2:22.0,L. Galloway enters the game for S. Vujacic,,24-15,,
2:22.0,,,24-16,1,W. Matthews makes free throw 1 of 2
2:22.0,,,24-16,,W. Matthews misses free throw 2 of 2
2:21.0,Defensive rebound by K. Seraphin,,24-16,,
2:01.0,K. Seraphin makes 2-pt shot from 15 ft (assist by L. Galloway),2,26-16,,
1:47.0,,,26-16,,D. Lee misses 2-pt shot from 1 ft
1:46.0,,,26-16,,Offensive rebound by Z. Pachulia
1:45.0,Personal foul by L. Galloway,,26-16,,
1:45.0,,,26-16,,J. Barea enters the game for R. Felton
1:45.0,,,26-16,,D. Nowitzki enters the game for Z. Pachulia
1:45.0,,,26-16,,J. Anderson enters the game for W. Matthews
1:37.0,,,26-18,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea)
1:18.0,K. Seraphin makes 2-pt shot from 1 ft (assist by L. Galloway),2,28-18,,
1:06.0,,,28-20,2,D. Lee makes 2-pt shot at rim (assist by J. Barea)
0:55.0,K. O'Quinn makes 2-pt shot from 21 ft (assist by K. Seraphin),2,30-20,,
0:37.0,,,30-22,2,D. Harris makes 2-pt shot from 7 ft
0:28.0,Turnover by K. O'Quinn (lost ball; steal by D. Nowitzki),,30-22,,
0:04.0,,,30-24,2,J. Barea makes 2-pt shot from 20 ft
0:01.0,J. Grant misses 3-pt shot from 34 ft,,30-24,,
0:00.0,Offensive rebound by Team,,30-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,30-24,,D. Nowitzki misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by J. Grant,,30-24,,
11:26.0,L. Galloway misses 3-pt shot from 23 ft,,30-24,,
11:25.0,,,30-24,,Defensive rebound by J. Barea
11:05.0,,,30-24,,J. Barea misses 3-pt shot from 23 ft
11:04.0,Defensive rebound by L. Galloway,,30-24,,
10:50.0,K. Seraphin misses 2-pt shot from 19 ft,,30-24,,
10:49.0,,,30-24,,Defensive rebound by Team
10:27.0,,,30-24,,D. Nowitzki misses 2-pt shot from 5 ft (block by K. Seraphin)
10:25.0,Defensive rebound by K. O'Quinn,,30-24,,
10:14.0,K. O'Quinn misses 2-pt shot from 9 ft,,30-24,,
10:13.0,,,30-24,,Defensive rebound by J. Anderson
10:00.0,,,30-27,3,J. Anderson makes 3-pt shot from 22 ft (assist by J. Barea)
9:37.0,K. Seraphin makes 2-pt shot from 9 ft,2,32-27,,
9:19.0,,,32-27,,J. Barea misses 2-pt shot from 6 ft
9:18.0,,,32-27,,Offensive rebound by D. Lee
9:18.0,,,32-29,2,D. Lee makes 2-pt shot from 1 ft
8:56.0,J. Grant misses 3-pt shot from 23 ft,,32-29,,
8:55.0,,,32-29,,Defensive rebound by J. Anderson
8:44.0,,,32-29,,D. Nowitzki misses 3-pt shot from 23 ft
8:43.0,Defensive rebound by K. O'Quinn,,32-29,,
8:34.0,J. Grant makes 2-pt shot at rim,2,34-29,,
8:22.0,,,34-31,2,J. Barea makes 2-pt shot at rim
8:14.0,New York full timeout,,34-31,,
8:14.0,,,34-31,,D. Powell enters the game for D. Nowitzki
8:14.0,,,34-31,,R. Felton enters the game for D. Harris
8:05.0,K. O'Quinn misses 2-pt shot from 18 ft,,34-31,,
8:04.0,,,34-31,,Defensive rebound by J. Barea
7:47.0,,,34-31,,Offensive foul by D. Lee
7:47.0,,,34-31,,Turnover by D. Lee (offensive foul)
7:35.0,Shooting foul by J. Anderson (drawn by A. Afflalo),,34-31,,
7:35.0,A. Afflalo makes free throw 1 of 2,1,35-31,,
7:35.0,,,35-31,,Z. Pachulia enters the game for D. Lee
7:35.0,A. Afflalo misses free throw 2 of 2,,35-31,,
7:34.0,,,35-31,,Defensive rebound by J. Barea
7:17.0,,,35-33,2,J. Barea makes 2-pt shot from 5 ft
7:02.0,L. Galloway misses 2-pt shot from 2 ft,,35-33,,
6:59.0,,,35-33,,Defensive rebound by D. Powell
6:53.0,,,35-36,3,J. Barea makes 3-pt shot from 24 ft (assist by D. Powell)
6:37.0,K. O'Quinn makes 2-pt shot from 21 ft (assist by J. Grant),2,37-36,,
6:07.0,,,37-39,3,R. Felton makes 3-pt shot from 24 ft (assist by J. Barea)
5:47.0,K. O'Quinn misses 2-pt shot from 12 ft,,37-39,,
5:46.0,Offensive rebound by A. Afflalo,,37-39,,
5:41.0,J. Grant misses 3-pt shot from 24 ft,,37-39,,
5:40.0,Offensive rebound by Team,,37-39,,
5:40.0,Official timeout,,37-39,,
5:40.0,,,37-39,,W. Matthews enters the game for J. Anderson
5:40.0,R. Lopez enters the game for J. Grant,,37-39,,
5:40.0,D. Williams enters the game for K. O'Quinn,,37-39,,
5:40.0,C. Anthony enters the game for K. Seraphin,,37-39,,
5:29.0,,,37-39,,Shooting block foul by W. Matthews (drawn by C. Anthony)
5:29.0,C. Anthony makes free throw 1 of 2,1,38-39,,
5:29.0,C. Anthony makes free throw 2 of 2,1,39-39,,
5:18.0,,,39-39,,D. Powell misses 2-pt shot from 17 ft
5:17.0,Defensive rebound by D. Williams,,39-39,,
5:12.0,Offensive charge foul by D. Williams,,39-39,,
5:12.0,Turnover by D. Williams (offensive foul),,39-39,,
5:12.0,J. Calderon enters the game for L. Galloway,,39-39,,
4:59.0,,,39-39,,W. Matthews misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by R. Lopez,,39-39,,
4:48.0,Turnover by J. Calderon (lost ball; steal by Z. Pachulia),,39-39,,
4:36.0,,,39-39,,R. Felton misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by J. Calderon,,39-39,,
4:24.0,C. Anthony makes 2-pt shot from 15 ft (assist by R. Lopez),2,41-39,,
4:02.0,,,41-41,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by J. Barea)
3:49.0,D. Williams misses 2-pt shot from 5 ft,,41-41,,
3:48.0,,,41-41,,Defensive rebound by R. Felton
3:44.0,,,41-43,2,J. Barea makes 2-pt shot from 2 ft (assist by R. Felton)
3:29.0,Offensive foul by A. Afflalo,,41-43,,
3:29.0,Turnover by A. Afflalo (offensive foul),,41-43,,
3:29.0,,,41-43,,D. Nowitzki enters the game for D. Powell
3:18.0,,,41-43,,Turnover by R. Felton (bad pass)
3:05.0,A. Afflalo misses 3-pt shot from 22 ft,,41-43,,
3:04.0,Offensive rebound by C. Anthony,,41-43,,
3:02.0,C. Anthony makes 2-pt shot from 11 ft,2,43-43,,
2:51.0,Personal foul by J. Calderon,,43-43,,
2:51.0,,,43-43,,Dallas full timeout
2:51.0,S. Vujacic enters the game for A. Afflalo,,43-43,,
2:39.0,,,43-43,,D. Nowitzki misses 2-pt shot from 12 ft
2:38.0,,,43-43,,Offensive rebound by Z. Pachulia
2:30.0,,,43-45,2,W. Matthews makes 2-pt shot at rim (assist by J. Barea)
2:13.0,,,43-45,,Shooting block foul by W. Matthews (drawn by C. Anthony)
2:13.0,C. Anthony makes free throw 1 of 2,1,44-45,,
2:13.0,L. Galloway enters the game for J. Calderon,,44-45,,
2:13.0,C. Anthony makes free throw 2 of 2,1,45-45,,
1:58.0,,,45-45,,D. Nowitzki misses 2-pt shot from 7 ft
1:57.0,Defensive rebound by R. Lopez,,45-45,,
1:51.0,,,45-45,,Personal foul by D. Nowitzki
1:51.0,,,45-45,,D. Harris enters the game for R. Felton
1:51.0,,,45-45,,D. Lee enters the game for Z. Pachulia
1:38.0,C. Anthony misses 2-pt shot from 15 ft,,45-45,,
1:37.0,,,45-45,,Defensive rebound by D. Lee
1:20.0,,,45-45,,D. Nowitzki misses 2-pt shot from 16 ft
1:19.0,Defensive rebound by S. Vujacic,,45-45,,
1:09.0,Shooting foul by D. Lee (drawn by D. Williams),,45-45,,
1:09.0,D. Williams makes free throw 1 of 2,1,46-45,,
1:09.0,,,46-45,,Z. Pachulia enters the game for D. Lee
1:09.0,D. Williams misses free throw 2 of 2,,46-45,,
1:08.0,,,46-45,,Defensive rebound by D. Nowitzki
0:52.0,,,46-45,,D. Nowitzki misses 3-pt shot from 23 ft
0:51.0,Defensive rebound by R. Lopez,,46-45,,
0:42.0,Offensive foul by R. Lopez,,46-45,,
0:42.0,Turnover by R. Lopez (offensive foul),,46-45,,
0:33.0,,,46-48,3,J. Barea makes 3-pt shot from 24 ft
0:21.0,Shooting foul by D. Nowitzki (drawn by D. Williams),,46-48,,
0:21.0,D. Williams makes free throw 1 of 2,1,47-48,,
0:21.0,D. Williams makes free throw 2 of 2,1,48-48,,
0:11.0,Personal block foul by C. Anthony,,48-48,,
0:00.0,,,48-51,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Shooting block foul by S. Vujacic (drawn by W. Matthews),,48-51,,
11:46.0,,,48-52,1,W. Matthews makes free throw 1 of 2
11:46.0,,,48-53,1,W. Matthews makes free throw 2 of 2
11:29.0,S. Vujacic makes 3-pt shot from 24 ft (assist by D. Williams),3,51-53,,
11:14.0,,,51-53,,J. Anderson misses 2-pt shot from 17 ft
11:13.0,Defensive rebound by D. Williams,,51-53,,
10:59.0,C. Anthony makes 2-pt shot from 17 ft (assist by J. Grant),2,53-53,,
10:39.0,,,53-53,,Turnover by R. Felton (lost ball; steal by C. Anthony)
10:33.0,C. Anthony makes 3-pt shot from 25 ft,3,56-53,,
10:32.0,,,56-53,,Dallas full timeout
10:32.0,,,56-53,,J. Barea enters the game for J. Anderson
10:08.0,,,56-53,,R. Felton misses 3-pt shot from 24 ft
10:07.0,,,56-53,,Offensive rebound by D. Powell
10:04.0,,,56-53,,D. Nowitzki misses 2-pt shot from 14 ft
10:03.0,Defensive rebound by Team,,56-53,,
9:46.0,D. Williams misses 2-pt shot from 17 ft,,56-53,,
9:44.0,Offensive rebound by R. Lopez,,56-53,,
9:44.0,R. Lopez misses 2-pt shot from 2 ft,,56-53,,
9:42.0,,,56-53,,Defensive rebound by J. Barea
9:38.0,,,56-53,,D. Powell misses 2-pt shot from 2 ft
9:36.0,Defensive rebound by D. Williams,,56-53,,
9:31.0,C. Anthony misses 3-pt shot from 26 ft,,56-53,,
9:30.0,,,56-53,,Defensive rebound by R. Felton
9:12.0,,,56-55,2,J. Barea makes 2-pt shot from 2 ft
9:02.0,,,56-55,,Personal foul by D. Powell
8:55.0,D. Williams makes 2-pt shot from 13 ft (assist by C. Anthony),2,58-55,,
8:36.0,,,58-58,3,J. Barea makes 3-pt shot from 24 ft
8:21.0,Shooting foul by W. Matthews (drawn by C. Anthony),,58-58,,
8:21.0,C. Anthony makes free throw 1 of 2,1,59-58,,
8:21.0,C. Anthony makes free throw 2 of 2,1,60-58,,
8:08.0,,,60-58,,J. Barea misses 2-pt shot from 3 ft
8:07.0,,,60-58,,Offensive rebound by D. Powell
8:07.0,,,60-58,,D. Powell misses 2-pt shot at rim
8:06.0,,,60-58,,Offensive rebound by D. Powell
8:04.0,,,60-58,,D. Powell misses 2-pt shot from 2 ft
8:04.0,Defensive rebound by C. Anthony,,60-58,,
8:01.0,Turnover by C. Anthony (dbl dribble),,60-58,,
7:47.0,,,60-60,2,R. Felton makes 2-pt shot from 1 ft (assist by D. Nowitzki)
7:25.0,Turnover by C. Anthony (lost ball; steal by W. Matthews),,60-60,,
7:09.0,,,60-60,,W. Matthews misses 2-pt shot from 13 ft
7:08.0,Defensive rebound by R. Lopez,,60-60,,
6:56.0,J. Grant misses 2-pt shot from 12 ft,,60-60,,
6:55.0,,,60-60,,Defensive rebound by D. Nowitzki
6:35.0,,,60-60,,Turnover by D. Nowitzki (lost ball; steal by J. Grant)
6:32.0,J. Grant makes 2-pt shot at rim (assist by D. Williams),2,62-60,,
6:15.0,,,62-60,,D. Nowitzki misses 2-pt shot from 19 ft
6:15.0,Defensive rebound by S. Vujacic,,62-60,,
6:06.0,S. Vujacic makes 2-pt shot from 23 ft,2,64-60,,
6:06.0,,,64-60,,Dallas full timeout
6:06.0,,,64-60,,Z. Pachulia enters the game for D. Nowitzki
6:06.0,,,64-60,,D. Lee enters the game for D. Powell
5:47.0,,,64-60,,W. Matthews misses 3-pt shot from 25 ft
5:46.0,,,64-60,,Offensive rebound by D. Lee
5:43.0,,,64-60,,Turnover by D. Lee (lost ball; steal by J. Grant)
5:35.0,C. Anthony misses 3-pt shot from 24 ft,,64-60,,
5:34.0,,,64-60,,Defensive rebound by Z. Pachulia
5:32.0,Personal foul by R. Lopez,,64-60,,
5:32.0,,,64-60,,D. Harris enters the game for J. Barea
5:32.0,A. Afflalo enters the game for S. Vujacic,,64-60,,
5:21.0,,,64-60,,Turnover by D. Harris (lost ball; steal by J. Grant)
5:19.0,Shooting foul by R. Felton (drawn by J. Grant),,64-60,,
5:19.0,J. Grant makes free throw 1 of 2,1,65-60,,
5:19.0,K. O'Quinn enters the game for R. Lopez,,65-60,,
5:19.0,K. Seraphin enters the game for D. Williams,,65-60,,
5:19.0,J. Grant makes free throw 2 of 2,1,66-60,,
5:00.0,,,66-60,,D. Harris misses 2-pt shot from 1 ft
4:58.0,,,66-60,,Offensive rebound by Z. Pachulia
4:57.0,,,66-62,2,Z. Pachulia makes 2-pt shot at rim
4:37.0,C. Anthony makes 3-pt shot from 23 ft (assist by J. Grant),3,69-62,,
4:10.0,,,69-62,,D. Harris misses 3-pt shot from 24 ft
4:10.0,,,69-62,,Offensive rebound by Z. Pachulia
4:10.0,Loose ball foul by K. O'Quinn,,69-62,,
4:08.0,Shooting block foul by K. Seraphin (drawn by W. Matthews),,69-62,,
4:08.0,,,69-62,,W. Matthews misses free throw 1 of 2
4:08.0,,,69-62,,Offensive rebound by Team
4:08.0,,,69-63,1,W. Matthews makes free throw 2 of 2
3:55.0,K. O'Quinn misses 2-pt shot at rim,,69-63,,
3:53.0,Offensive rebound by K. O'Quinn,,69-63,,
3:51.0,New York full timeout,,69-63,,
3:51.0,D. Williams enters the game for C. Anthony,,69-63,,
3:51.0,L. Galloway enters the game for J. Grant,,69-63,,
3:48.0,A. Afflalo misses 2-pt shot from 7 ft,,69-63,,
3:47.0,,,69-63,,Defensive rebound by D. Lee
3:29.0,,,69-63,,Turnover by Z. Pachulia (lost ball; steal by L. Galloway)
3:19.0,Turnover by D. Williams (lost ball; steal by W. Matthews),,69-63,,
3:00.0,,,69-63,,R. Felton misses 2-pt shot from 5 ft (block by K. Seraphin)
2:58.0,Defensive rebound by K. O'Quinn,,69-63,,
2:48.0,L. Galloway misses 2-pt shot from 4 ft,,69-63,,
2:47.0,,,69-63,,Defensive rebound by W. Matthews
2:34.0,,,69-63,,Turnover by D. Lee (bad pass)
2:34.0,,,69-63,,J. Anderson enters the game for W. Matthews
2:34.0,,,69-63,,D. Nowitzki enters the game for R. Felton
2:34.0,,,69-63,,J. Barea enters the game for D. Lee
2:13.0,K. O'Quinn makes 2-pt shot from 10 ft (assist by L. Galloway),2,71-63,,
2:01.0,,,71-63,,D. Nowitzki misses 2-pt shot from 18 ft
2:00.0,Defensive rebound by L. Galloway,,71-63,,
1:55.0,Shooting foul by J. Anderson (drawn by L. Galloway),,71-63,,
1:55.0,L. Galloway makes 2-pt shot at rim,2,73-63,,
1:55.0,L. Galloway makes free throw 1 of 1,1,74-63,,
1:41.0,,,74-63,,Shooting foul by K. O'Quinn (drawn by Z. Pachulia)
1:41.0,,,74-64,1,Z. Pachulia makes free throw 1 of 2
1:41.0,,,74-65,1,Z. Pachulia makes free throw 2 of 2
1:27.0,K. Seraphin misses 2-pt shot from 2 ft,,74-65,,
1:26.0,,,74-65,,Defensive rebound by Z. Pachulia
1:19.0,,,74-65,,D. Nowitzki misses 3-pt shot from 25 ft
1:18.0,,,74-65,,Offensive rebound by J. Anderson
1:07.0,,,74-65,,J. Barea misses 2-pt shot from 4 ft
1:05.0,,,74-65,,Offensive rebound by Team
1:04.0,,,74-65,,Turnover by J. Barea (lost ball; steal by K. O'Quinn)
1:00.0,D. Williams misses 2-pt shot at rim (block by J. Anderson),,74-65,,
0:55.0,,,74-65,,Defensive rebound by D. Nowitzki
0:53.0,,,74-65,,J. Barea misses 3-pt shot from 25 ft
0:51.0,,,74-65,,Offensive rebound by Z. Pachulia
0:48.0,,,74-65,,D. Nowitzki misses 3-pt shot from 24 ft
0:47.0,,,74-65,,Offensive rebound by J. Barea
0:41.0,,,74-65,,D. Nowitzki misses 3-pt shot from 24 ft
0:40.0,Defensive rebound by A. Afflalo,,74-65,,
0:30.0,L. Galloway misses 2-pt shot from 20 ft,,74-65,,
0:29.0,,,74-65,,Defensive rebound by D. Nowitzki
0:25.0,,,74-65,,Shooting foul by A. Afflalo (drawn by J. Barea)
0:25.0,,,74-66,1,J. Barea makes free throw 1 of 2
0:25.0,,,74-66,,D. Powell enters the game for D. Nowitzki
0:25.0,C. Anthony enters the game for K. Seraphin,,74-66,,
0:25.0,,,74-67,1,J. Barea makes free throw 2 of 2
0:01.0,C. Anthony misses 2-pt shot from 10 ft,,74-67,,
0:01.0,Offensive rebound by Team,,74-67,,
0:00.0,C. Anthony misses 2-pt shot from 10 ft,,74-67,,
0:00.0,Offensive rebound by Team,,74-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,L. Galloway misses 3-pt shot from 24 ft,,74-67,,
11:45.0,,,74-67,,Defensive rebound by J. Anderson
11:31.0,,,74-67,,Turnover by W. Matthews (lost ball; steal by L. Galloway)
11:28.0,Offensive charge foul by L. Galloway,,74-67,,
11:28.0,Turnover by L. Galloway (offensive foul),,74-67,,
11:14.0,,,74-67,,J. Barea misses 2-pt shot from 6 ft
11:13.0,Defensive rebound by D. Williams,,74-67,,
10:59.0,C. Anthony makes 2-pt shot from 19 ft,2,76-67,,
10:40.0,,,76-69,2,D. Harris makes 2-pt shot from 15 ft
10:24.0,Offensive foul by C. Anthony,,76-69,,
10:24.0,Turnover by C. Anthony (offensive foul),,76-69,,
10:15.0,,,76-69,,J. Barea misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by A. Afflalo,,76-69,,
10:04.0,R. Lopez makes 2-pt shot from 6 ft,2,78-69,,
9:49.0,,,78-71,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by W. Matthews)
9:33.0,R. Lopez misses 2-pt shot from 7 ft,,78-71,,
9:32.0,,,78-71,,Defensive rebound by J. Anderson
9:22.0,,,78-71,,J. Barea misses 2-pt shot from 2 ft
9:22.0,Defensive rebound by C. Anthony,,78-71,,
9:19.0,Turnover by L. Galloway (dbl dribble),,78-71,,
9:12.0,,,78-71,,Turnover by J. Barea (lost ball; steal by C. Anthony)
9:01.0,A. Afflalo misses 3-pt shot from 23 ft,,78-71,,
9:01.0,Offensive rebound by D. Williams,,78-71,,
8:43.0,Official timeout,,78-71,,
8:43.0,,,78-71,,R. Felton enters the game for J. Barea
8:43.0,S. Vujacic enters the game for D. Williams,,78-71,,
8:43.0,J. Grant enters the game for L. Galloway,,78-71,,
8:40.0,A. Afflalo misses 2-pt shot from 16 ft,,78-71,,
8:39.0,,,78-71,,Defensive rebound by J. Anderson
8:22.0,,,78-73,2,D. Harris makes 2-pt shot from 19 ft
8:00.0,C. Anthony makes 2-pt shot from 11 ft,2,80-73,,
7:47.0,,,80-75,2,J. Anderson makes 2-pt shot from 1 ft
7:47.0,New York full timeout,,80-75,,
7:47.0,,,80-75,,Z. Pachulia enters the game for D. Nowitzki
7:23.0,C. Anthony misses 2-pt shot from 22 ft,,80-75,,
7:22.0,,,80-75,,Defensive rebound by J. Anderson
7:12.0,,,80-75,,Turnover by R. Felton (bad pass)
6:55.0,Turnover by S. Vujacic (lost ball),,80-75,,
6:45.0,,,80-75,,W. Matthews misses 2-pt shot from 21 ft
6:44.0,Defensive rebound by R. Lopez,,80-75,,
6:22.0,S. Vujacic misses 2-pt shot from 17 ft,,80-75,,
6:21.0,,,80-75,,Defensive rebound by J. Anderson
6:12.0,,,80-75,,Shooting foul by J. Grant (drawn by R. Felton)
6:12.0,,,80-75,,R. Felton misses free throw 1 of 2
6:12.0,,,80-75,,Offensive rebound by Team
6:12.0,,,80-76,1,R. Felton makes free throw 2 of 2
5:55.0,Turnover by A. Afflalo (step out of bounds),,80-76,,
5:41.0,,,80-76,,D. Harris misses 2-pt shot at rim
5:40.0,Defensive rebound by S. Vujacic,,80-76,,
5:33.0,,,80-76,,Violation by R. Felton (kicked ball)
5:33.0,L. Galloway enters the game for J. Grant,,80-76,,
5:33.0,D. Williams enters the game for S. Vujacic,,80-76,,
5:33.0,,,80-76,,D. Nowitzki enters the game for Z. Pachulia
5:33.0,,,80-76,,J. Barea enters the game for J. Anderson
5:25.0,A. Afflalo makes 2-pt shot from 2 ft (assist by C. Anthony),2,82-76,,
5:05.0,,,82-78,2,W. Matthews makes 2-pt shot from 6 ft
4:44.0,Turnover by R. Lopez (lost ball; steal by W. Matthews),,82-78,,
4:37.0,,,82-81,3,W. Matthews makes 3-pt shot from 25 ft
4:37.0,New York full timeout,,82-81,,
4:37.0,,,82-81,,J. Anderson enters the game for D. Harris
4:15.0,L. Galloway misses 2-pt shot from 19 ft,,82-81,,
4:14.0,,,82-81,,Defensive rebound by R. Felton
3:58.0,,,82-81,,Turnover by W. Matthews (lost ball; steal by A. Afflalo)
3:53.0,,,82-81,,Shooting block foul by D. Nowitzki (drawn by D. Williams)
3:53.0,D. Williams makes free throw 1 of 2,1,83-81,,
3:53.0,D. Williams makes free throw 2 of 2,1,84-81,,
3:38.0,,,84-83,2,W. Matthews makes 2-pt shot from 1 ft
3:15.0,Turnover by A. Afflalo (traveling),,84-83,,
2:57.0,,,84-83,,D. Nowitzki misses 2-pt shot from 12 ft
2:56.0,Defensive rebound by C. Anthony,,84-83,,
2:42.0,C. Anthony misses 2-pt shot from 14 ft,,84-83,,
2:40.0,Offensive rebound by R. Lopez,,84-83,,
2:40.0,R. Lopez makes 2-pt shot at rim,2,86-83,,
2:26.0,,,86-86,3,J. Barea makes 3-pt shot from 24 ft
2:06.0,A. Afflalo misses 3-pt shot from 24 ft,,86-86,,
2:05.0,,,86-86,,Defensive rebound by W. Matthews
1:57.0,Personal foul by L. Galloway,,86-86,,
1:57.0,S. Vujacic enters the game for L. Galloway,,86-86,,
1:42.0,,,86-88,2,J. Anderson makes 2-pt shot from 2 ft (assist by W. Matthews)
1:24.0,Turnover by C. Anthony (lost ball; steal by J. Anderson),,86-88,,
1:12.0,,,86-88,,D. Nowitzki misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by C. Anthony,,86-88,,
