time,Phoenix,pts.away,score,pts.home,San Antonio
10:50.0,T. Warren makes 2-pt shot from 15 ft,2,14-34,,
10:38.0,,,14-36,2,B. Diaw makes 2-pt shot from 1 ft
10:25.0,C. Jefferson misses 2-pt shot from 1 ft (block by B. Marjanovic),,14-36,,
10:23.0,,,14-36,,Defensive rebound by B. Marjanovic
10:16.0,,,14-36,,Turnover by P. Mills (bad pass; steal by B. Cotton)
10:13.0,Turnover by B. Cotton (bad pass),,14-36,,
10:13.0,T. Chandler enters the game for C. Jefferson,,14-36,,
9:58.0,,,14-36,,M. Ginobili misses 2-pt shot from 9 ft (block by T. Warren)
9:56.0,,,14-36,,Offensive rebound by B. Marjanovic
9:53.0,,,14-36,,B. Marjanovic misses 2-pt shot from 8 ft
9:53.0,Defensive rebound by M. Teletovic,,14-36,,
9:46.0,D. Booker misses 2-pt shot from 18 ft,,14-36,,
9:44.0,,,14-36,,Defensive rebound by B. Diaw
9:34.0,,,14-36,,J. Simmons misses 2-pt shot at rim
9:33.0,Defensive rebound by D. Booker,,14-36,,
9:28.0,Turnover by D. Booker (bad pass; steal by B. Marjanovic),,14-36,,
9:24.0,,,14-38,2,J. Simmons makes 2-pt shot from 1 ft (assist by P. Mills)
9:24.0,,,14-38,,Shooting foul by M. Teletovic (drawn by J. Simmons)
9:24.0,B. Knight enters the game for B. Cotton,,14-38,,
9:24.0,,,14-38,,J. Simmons misses free throw 1 of 1
9:24.0,Defensive rebound by Team,,14-38,,
9:24.0,,,14-38,,Loose ball foul by B. Marjanovic (drawn by T. Chandler)
8:59.0,T. Warren misses 2-pt shot from 18 ft,,14-38,,
8:58.0,,,14-38,,Defensive rebound by B. Diaw
8:49.0,,,14-38,,Shooting foul by M. Teletovic (drawn by B. Diaw)
8:49.0,Official timeout,,14-38,,
8:49.0,J. Leuer enters the game for M. Teletovic,,14-38,,
8:49.0,,,14-39,1,B. Diaw makes free throw 1 of 2
8:49.0,,,14-39,,B. Diaw misses free throw 2 of 2
8:49.0,Defensive rebound by T. Chandler,,14-39,,
8:29.0,T. Warren makes 2-pt shot from 9 ft (assist by B. Knight),2,16-39,,
8:10.0,,,16-41,2,B. Diaw makes 2-pt shot from 2 ft (assist by M. Ginobili)
7:46.0,D. Booker misses 2-pt shot from 11 ft,,16-41,,
7:45.0,,,16-41,,Defensive rebound by B. Marjanovic
7:29.0,,,16-41,,Turnover by B. Diaw (step out of bounds)
7:29.0,,,16-41,,T. Parker enters the game for P. Mills
7:29.0,,,16-41,,D. Green enters the game for M. Ginobili
7:29.0,,,16-41,,L. Aldridge enters the game for B. Marjanovic
7:16.0,J. Leuer makes 2-pt shot from 9 ft (assist by B. Knight),2,18-41,,
7:06.0,,,18-41,,B. Diaw misses 2-pt shot at rim
7:05.0,,,18-41,,Offensive rebound by B. Diaw
7:01.0,,,18-44,3,D. Green makes 3-pt shot from 25 ft (assist by B. Diaw)
6:48.0,B. Knight misses 2-pt shot from 14 ft,,18-44,,
6:46.0,,,18-44,,Defensive rebound by L. Aldridge
6:34.0,,,18-44,,Turnover by B. Diaw (traveling)
6:20.0,T. Warren misses 2-pt shot from 10 ft,,18-44,,
6:19.0,Offensive rebound by T. Chandler,,18-44,,
6:19.0,T. Chandler makes 2-pt shot from 1 ft,2,20-44,,
6:19.0,,,20-44,,San Antonio full timeout
6:19.0,,,20-44,,K. Leonard enters the game for J. Simmons
6:19.0,,,20-44,,D. West enters the game for B. Diaw
6:07.0,,,20-44,,Turnover by T. Parker (lost ball)
5:52.0,B. Knight misses 3-pt shot from 24 ft,,20-44,,
5:51.0,,,20-44,,Defensive rebound by L. Aldridge
5:27.0,,,20-44,,K. Leonard misses 3-pt shot from 24 ft
5:27.0,Defensive rebound by Team,,20-44,,
5:27.0,,,20-44,,Loose ball foul by D. West (drawn by J. Leuer)
5:16.0,Turnover by T. Chandler (bad pass; steal by T. Parker),,20-44,,
5:09.0,,,20-44,,D. Green misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by T. Chandler,,20-44,,
4:58.0,Turnover by B. Knight (lost ball; steal by T. Parker),,20-44,,
4:56.0,Clear path foul by D. Booker,,20-44,,
4:56.0,,,20-44,,T. Parker misses clear path free throw 1 of 2
4:56.0,,,20-44,,Offensive rebound by Team
4:56.0,,,20-45,1,T. Parker makes clear path free throw 2 of 2
4:56.0,A. Goodwin enters the game for D. Booker,,20-45,,
4:39.0,,,20-48,3,K. Leonard makes 3-pt shot from 22 ft (assist by D. West)
4:22.0,T. Warren makes 2-pt shot at rim (assist by J. Leuer),2,22-48,,
3:56.0,,,22-51,3,T. Parker makes 3-pt shot from 25 ft
3:36.0,T. Warren misses 3-pt shot from 24 ft,,22-51,,
3:36.0,,,22-51,,Defensive rebound by D. Green
3:22.0,,,22-53,2,L. Aldridge makes 2-pt shot from 6 ft
3:06.0,B. Knight misses 2-pt shot from 2 ft (block by D. West),,22-53,,
3:05.0,Offensive rebound by T. Chandler,,22-53,,
3:02.0,T. Chandler makes 2-pt shot at rim,2,24-53,,
2:51.0,Personal foul by B. Knight (drawn by T. Parker),,24-53,,
2:51.0,Phoenix full timeout,,24-53,,
2:51.0,P. Tucker enters the game for T. Warren,,24-53,,
2:36.0,,,24-53,,K. Leonard misses 2-pt shot from 13 ft
2:34.0,,,24-53,,Offensive rebound by D. West
2:30.0,,,24-53,,L. Aldridge misses 3-pt shot from 24 ft
2:30.0,Defensive rebound by T. Chandler,,24-53,,
2:20.0,A. Goodwin misses 2-pt shot from 2 ft (block by D. Green),,24-53,,
2:19.0,,,24-53,,Defensive rebound by L. Aldridge
2:14.0,,,24-55,2,K. Leonard makes 2-pt shot from 2 ft
1:59.0,J. Leuer makes 3-pt shot from 25 ft (assist by B. Knight),3,27-55,,
1:43.0,,,27-57,2,D. Green makes 2-pt shot at rim (assist by T. Parker)
1:25.0,A. Goodwin misses 2-pt shot at rim,,27-57,,
1:24.0,Offensive rebound by T. Chandler,,27-57,,
1:21.0,T. Chandler makes 2-pt shot at rim,2,29-57,,
1:07.0,,,29-59,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
0:49.0,B. Knight makes 2-pt shot at rim,2,31-59,,
0:36.0,,,31-61,2,T. Parker makes 2-pt shot from 19 ft
0:29.0,,,31-61,,Personal block foul by L. Aldridge (drawn by B. Knight)
0:29.0,M. Morris enters the game for T. Chandler,,31-61,,
0:15.0,A. Goodwin makes 2-pt shot from 6 ft,2,33-61,,
0:01.0,,,33-61,,D. West misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by J. Leuer,,33-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,33-61,,Shooting foul by M. Morris (drawn by L. Aldridge)
11:44.0,,,33-61,,L. Aldridge misses free throw 1 of 2
11:44.0,,,33-61,,Offensive rebound by Team
11:44.0,,,33-62,1,L. Aldridge makes free throw 2 of 2
11:30.0,B. Knight misses 3-pt shot from 24 ft,,33-62,,
11:29.0,,,33-62,,Defensive rebound by L. Aldridge
11:21.0,,,33-62,,Turnover by D. Green (bad pass)
11:07.0,D. Booker makes 2-pt shot from 18 ft (assist by P. Tucker),2,35-62,,
10:41.0,,,35-64,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
10:29.0,B. Knight misses 2-pt shot from 18 ft,,35-64,,
10:28.0,Offensive rebound by Team,,35-64,,
10:25.0,T. Chandler makes 2-pt shot at rim (assist by M. Morris),2,37-64,,
10:25.0,Shooting foul by D. Green (drawn by T. Chandler),,37-64,,
10:25.0,T. Chandler misses free throw 1 of 1,,37-64,,
10:24.0,,,37-64,,Defensive rebound by D. West
10:01.0,,,37-66,2,T. Parker makes 2-pt shot from 1 ft (assist by D. West)
9:34.0,M. Morris misses 2-pt shot from 17 ft,,37-66,,
9:32.0,,,37-66,,Defensive rebound by T. Parker
9:24.0,,,37-66,,T. Parker misses 2-pt shot at rim
9:23.0,Defensive rebound by P. Tucker,,37-66,,
9:10.0,Shooting foul by D. Green (drawn by M. Morris),,37-66,,
9:10.0,M. Morris misses free throw 1 of 2,,37-66,,
9:10.0,Offensive rebound by Team,,37-66,,
9:10.0,M. Morris misses free throw 2 of 2,,37-66,,
9:08.0,,,37-66,,Defensive rebound by L. Aldridge
8:47.0,,,37-66,,T. Parker misses 2-pt shot from 11 ft
8:46.0,Defensive rebound by M. Morris,,37-66,,
8:44.0,Turnover by M. Morris (lost ball; steal by D. West),,37-66,,
8:39.0,,,37-66,,D. Green misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by M. Morris,,37-66,,
8:33.0,D. Booker makes 2-pt shot from 6 ft (assist by M. Morris),2,39-66,,
8:13.0,,,39-66,,Shooting foul by D. Booker (drawn by L. Aldridge)
8:13.0,,,39-66,,L. Aldridge misses free throw 1 of 2
8:13.0,,,39-66,,Offensive rebound by Team
8:13.0,,,39-66,,L. Aldridge misses free throw 2 of 2
8:11.0,Defensive rebound by M. Morris,,39-66,,
7:46.0,B. Knight makes 2-pt shot from 9 ft (assist by T. Chandler),2,41-66,,
7:35.0,,,41-68,2,D. West makes 2-pt shot from 19 ft (assist by D. Green)
7:26.0,Shooting foul by D. West (drawn by T. Chandler),,41-68,,
7:26.0,T. Chandler misses free throw 1 of 2,,41-68,,
7:26.0,Offensive rebound by Team,,41-68,,
7:26.0,T. Chandler makes free throw 2 of 2,1,42-68,,
7:07.0,,,42-71,3,K. Leonard makes 3-pt shot from 25 ft (assist by L. Aldridge)
6:54.0,B. Knight makes 3-pt shot from 23 ft (assist by P. Tucker),3,45-71,,
6:33.0,,,45-71,,D. West misses 2-pt shot from 1 ft
6:32.0,Defensive rebound by T. Chandler,,45-71,,
6:17.0,D. Booker makes 2-pt shot from 6 ft,2,47-71,,
5:52.0,,,47-71,,L. Aldridge misses 2-pt shot from 13 ft
5:52.0,Defensive rebound by Team,,47-71,,
5:52.0,,,47-71,,Loose ball foul by D. West (drawn by B. Knight)
5:52.0,,,47-71,,San Antonio full timeout
5:52.0,,,47-71,,M. Ginobili enters the game for D. Green
5:52.0,,,47-71,,B. Diaw enters the game for D. West
5:42.0,,,47-71,,Personal foul by B. Diaw (drawn by D. Booker)
5:42.0,D. Booker makes free throw 1 of 2,1,48-71,,
5:42.0,D. Booker misses free throw 2 of 2,,48-71,,
5:41.0,,,48-71,,Defensive rebound by L. Aldridge
5:18.0,,,48-71,,M. Ginobili misses 2-pt shot from 18 ft
5:18.0,Defensive rebound by T. Chandler,,48-71,,
5:00.0,D. Booker misses 3-pt shot from 24 ft,,48-71,,
4:58.0,,,48-71,,Defensive rebound by B. Diaw
4:51.0,,,48-71,,Turnover by M. Ginobili (bad pass)
4:26.0,B. Knight misses 2-pt shot from 21 ft,,48-71,,
4:23.0,,,48-71,,Defensive rebound by L. Aldridge
4:19.0,,,48-71,,Shooting foul by M. Morris (drawn by M. Ginobili)
4:19.0,,,48-71,,M. Ginobili misses free throw 1 of 2
4:19.0,,,48-71,,Offensive rebound by Team
4:19.0,T. Warren enters the game for P. Tucker,,48-71,,
4:19.0,M. Teletovic enters the game for T. Chandler,,48-71,,
4:19.0,B. Cotton enters the game for B. Knight,,48-71,,
4:19.0,,,48-71,,P. Mills enters the game for T. Parker
4:19.0,,,48-72,1,M. Ginobili makes free throw 2 of 2
4:01.0,M. Morris makes 2-pt shot from 8 ft,2,50-72,,
3:50.0,,,50-72,,Shooting foul by M. Morris (drawn by L. Aldridge)
3:50.0,,,50-73,1,L. Aldridge makes free throw 1 of 2
3:50.0,,,50-74,1,L. Aldridge makes free throw 2 of 2
3:29.0,B. Cotton misses 2-pt shot from 18 ft,,50-74,,
3:29.0,,,50-74,,Defensive rebound by Team
3:11.0,,,50-76,2,K. Leonard makes 2-pt shot from 15 ft
2:58.0,Shooting foul by L. Aldridge (drawn by M. Teletovic),,50-76,,
2:58.0,Phoenix full timeout,,50-76,,
2:58.0,M. Teletovic misses free throw 1 of 3,,50-76,,
2:58.0,Offensive rebound by Team,,50-76,,
2:58.0,M. Teletovic misses free throw 2 of 3,,50-76,,
2:58.0,Offensive rebound by Team,,50-76,,
2:58.0,M. Teletovic makes free throw 3 of 3,1,51-76,,
2:36.0,,,51-78,2,L. Aldridge makes 2-pt shot from 17 ft (assist by M. Ginobili)
2:14.0,Turnover by M. Teletovic (lost ball; steal by M. Ginobili),,51-78,,
2:08.0,,,51-80,2,K. Leonard makes 2-pt shot from 1 ft (assist by M. Ginobili)
1:52.0,M. Teletovic makes 3-pt shot from 24 ft (assist by B. Cotton),3,54-80,,
1:34.0,,,54-82,2,L. Aldridge makes 2-pt shot from 3 ft (assist by K. Leonard)
1:07.0,B. Cotton misses 3-pt shot from 24 ft,,54-82,,
1:06.0,,,54-82,,Defensive rebound by L. Aldridge
1:02.0,,,54-82,,Turnover by L. Aldridge (bad pass)
1:02.0,P. Tucker enters the game for M. Morris,,54-82,,
1:02.0,,,54-82,,J. Simmons enters the game for K. Leonard
0:46.0,,,54-82,,Personal foul by P. Mills (drawn by P. Tucker)
0:46.0,P. Tucker makes free throw 1 of 2,1,55-82,,
0:46.0,P. Tucker makes free throw 2 of 2,1,56-82,,
0:30.0,,,56-84,2,P. Mills makes 2-pt shot from 4 ft
0:17.0,D. Booker misses 2-pt shot from 4 ft (block by L. Aldridge),,56-84,,
0:16.0,,,56-84,,Defensive rebound by J. Simmons
0:03.0,,,56-84,,P. Mills misses 3-pt shot from 25 ft
0:01.0,,,56-84,,Offensive rebound by L. Aldridge
0:00.0,,,56-84,,Turnover by L. Aldridge (bad pass; steal by M. Teletovic)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Teletovic makes 3-pt shot from 25 ft (assist by P. Tucker),3,59-84,,
11:27.0,,,59-87,3,P. Mills makes 3-pt shot from 25 ft (assist by B. Diaw)
11:15.0,M. Teletovic misses 2-pt shot from 12 ft,,59-87,,
11:14.0,Offensive rebound by M. Teletovic,,59-87,,
11:11.0,M. Teletovic makes 2-pt shot from 1 ft,2,61-87,,
10:51.0,,,61-87,,Turnover by B. Diaw (bad pass; steal by P. Tucker)
10:51.0,,,61-87,,Personal foul by M. Bonner (drawn by P. Tucker)
10:44.0,P. Tucker makes 3-pt shot from 25 ft (assist by A. Goodwin),3,64-87,,
10:31.0,,,64-89,2,B. Diaw makes 2-pt shot from 1 ft (assist by J. Simmons)
10:31.0,,,64-89,,Shooting foul by M. Teletovic (drawn by B. Diaw)
10:31.0,,,64-90,1,B. Diaw makes free throw 1 of 1
10:15.0,T. Warren makes 2-pt shot from 13 ft (assist by P. Tucker),2,66-90,,
9:53.0,,,66-92,2,J. Simmons makes 2-pt shot at rim
9:53.0,,,66-92,,Shooting foul by M. Teletovic (drawn by J. Simmons)
9:53.0,,,66-93,1,J. Simmons makes free throw 1 of 1
9:43.0,M. Teletovic misses 3-pt shot from 25 ft,,66-93,,
9:42.0,,,66-93,,Defensive rebound by P. Mills
9:26.0,,,66-93,,M. Bonner misses 3-pt shot from 24 ft
9:26.0,,,66-93,,Offensive rebound by Team
9:26.0,J. Leuer enters the game for M. Teletovic,,66-93,,
9:17.0,,,66-93,,M. Ginobili misses 2-pt shot from 11 ft
9:16.0,Defensive rebound by J. Leuer,,66-93,,
9:09.0,Shooting foul by J. Simmons (drawn by T. Warren),,66-93,,
9:09.0,T. Warren misses free throw 1 of 2,,66-93,,
9:09.0,Offensive rebound by Team,,66-93,,
9:09.0,,,66-93,,K. Anderson enters the game for M. Ginobili
9:09.0,T. Warren makes free throw 2 of 2,1,67-93,,
8:52.0,,,67-93,,Turnover by B. Diaw (lost ball; steal by T. Warren)
8:45.0,A. Goodwin misses 2-pt shot at rim,,67-93,,
8:43.0,,,67-93,,Defensive rebound by K. Anderson
8:40.0,Official timeout,,67-93,,
8:40.0,A. Len enters the game for P. Tucker,,67-93,,
8:29.0,,,67-95,2,B. Diaw makes 2-pt shot at rim
8:17.0,,,67-95,,B. Marjanovic enters the game for B. Diaw
8:17.0,,,67-95,,R. McCallum enters the game for P. Mills
8:11.0,A. Len misses 2-pt shot from 16 ft,,67-95,,
8:11.0,,,67-95,,Defensive rebound by B. Marjanovic
7:50.0,,,67-95,,B. Marjanovic misses 2-pt shot from 12 ft
7:50.0,Defensive rebound by T. Warren,,67-95,,
7:36.0,J. Leuer misses 2-pt shot from 11 ft,,67-95,,
7:35.0,,,67-95,,Defensive rebound by B. Marjanovic
7:27.0,,,67-97,2,K. Anderson makes 2-pt shot from 14 ft
7:04.0,T. Warren misses 2-pt shot from 10 ft,,67-97,,
7:04.0,,,67-97,,Defensive rebound by B. Marjanovic
6:44.0,,,67-99,2,K. Anderson makes 2-pt shot from 18 ft (assist by R. McCallum)
6:26.0,T. Warren misses 2-pt shot from 12 ft (block by K. Anderson),,67-99,,
6:26.0,,,67-99,,Defensive rebound by Team
6:26.0,S. Weems enters the game for J. Leuer,,67-99,,
6:08.0,Personal foul by A. Len (drawn by B. Marjanovic),,67-99,,
6:01.0,,,67-101,2,J. Simmons makes 2-pt shot from 1 ft (assist by R. McCallum)
5:47.0,B. Cotton makes 2-pt shot from 17 ft,2,69-101,,
5:28.0,,,69-103,2,K. Anderson makes 2-pt shot from 7 ft (assist by R. McCallum)
5:28.0,,,69-103,,Shooting foul by B. Cotton (drawn by K. Anderson)
5:28.0,,,69-103,,San Antonio full timeout
5:28.0,C. Jefferson enters the game for T. Warren,,69-103,,
5:28.0,,,69-104,1,K. Anderson makes free throw 1 of 1
5:16.0,S. Weems misses 3-pt shot from 23 ft,,69-104,,
5:15.0,Offensive rebound by A. Len,,69-104,,
5:08.0,A. Goodwin misses 2-pt shot from 15 ft,,69-104,,
5:08.0,,,69-104,,Defensive rebound by B. Marjanovic
5:08.0,Personal foul by C. Jefferson (drawn by B. Marjanovic),,69-104,,
5:08.0,,,69-105,1,B. Marjanovic makes free throw 1 of 2
5:08.0,,,69-106,1,B. Marjanovic makes free throw 2 of 2
4:48.0,Shooting foul by B. Marjanovic (drawn by A. Goodwin),,69-106,,
4:48.0,A. Goodwin makes free throw 1 of 2,1,70-106,,
4:48.0,A. Goodwin makes free throw 2 of 2,1,71-106,,
4:37.0,,,71-106,,Turnover by R. McCallum (bad pass)
4:24.0,A. Len misses 2-pt shot from 9 ft,,71-106,,
4:23.0,,,71-106,,Defensive rebound by M. Bonner
4:14.0,,,71-106,,M. Bonner misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by C. Jefferson,,71-106,,
4:00.0,C. Jefferson misses 3-pt shot from 24 ft,,71-106,,
3:59.0,,,71-106,,Defensive rebound by B. Marjanovic
3:38.0,,,71-108,2,B. Marjanovic makes 2-pt shot at rim (assist by J. Simmons)
3:33.0,Phoenix full timeout,,71-108,,
3:20.0,A. Goodwin misses 2-pt shot from 1 ft,,71-108,,
3:19.0,,,71-108,,Defensive rebound by M. Bonner
3:05.0,,,71-108,,B. Marjanovic misses 2-pt shot from 17 ft
3:05.0,Defensive rebound by C. Jefferson,,71-108,,
2:59.0,,,71-108,,Personal foul by K. Anderson (drawn by A. Goodwin)
2:50.0,A. Len misses 2-pt shot from 5 ft,,71-108,,
2:49.0,,,71-108,,Defensive rebound by J. Simmons
2:34.0,Personal foul by S. Weems (drawn by B. Marjanovic),,71-108,,
2:34.0,,,71-108,,B. Marjanovic misses free throw 1 of 2
2:34.0,,,71-108,,Offensive rebound by Team
2:34.0,,,71-109,1,B. Marjanovic makes free throw 2 of 2
2:16.0,S. Weems misses 2-pt shot from 10 ft,,71-109,,
2:15.0,Offensive rebound by A. Len,,71-109,,
2:15.0,A. Len misses 2-pt shot from 2 ft,,71-109,,
2:13.0,Offensive rebound by C. Jefferson,,71-109,,
2:13.0,C. Jefferson makes 2-pt shot from 1 ft,2,73-109,,
1:48.0,,,73-109,,Turnover by B. Marjanovic (bad pass; steal by B. Cotton)
1:45.0,Shooting foul by J. Simmons (drawn by A. Goodwin),,73-109,,
