time,Miami,pts.away,score,pts.home,Charlotte
8:21.0,Shooting foul by C. Zeller (drawn by D. Wade),,31-25,,
8:21.0,D. Wade misses free throw 1 of 2,,31-25,,
8:21.0,Offensive rebound by Team,,31-25,,
8:21.0,D. Wade makes free throw 2 of 2,1,32-25,,
8:05.0,,,32-27,2,C. Zeller makes 2-pt shot from 5 ft (assist by J. Lin)
7:50.0,J. Richardson misses 3-pt shot from 26 ft,,32-27,,
7:49.0,,,32-27,,Defensive rebound by M. Williams
7:41.0,,,32-27,,M. Williams misses 3-pt shot from 27 ft
7:40.0,Defensive rebound by D. Wade,,32-27,,
7:34.0,Turnover by D. Wade (lost ball; steal by C. Lee),,32-27,,
7:27.0,,,32-29,2,C. Lee makes 2-pt shot at rim (assist by J. Lin)
7:27.0,Miami full timeout,,32-29,,
7:27.0,,,32-29,,K. Walker enters the game for M. Williams
7:27.0,D. Wright enters the game for J. Richardson,,32-29,,
7:27.0,G. Dragic enters the game for J. Winslow,,32-29,,
7:13.0,L. Deng misses 3-pt shot from 23 ft,,32-29,,
7:12.0,,,32-29,,Defensive rebound by C. Lee
6:48.0,,,32-32,3,C. Lee makes 3-pt shot from 25 ft
6:29.0,D. Wright misses 2-pt shot from 16 ft (block by K. Walker),,32-32,,
6:27.0,,,32-32,,Defensive rebound by K. Walker
6:21.0,,,32-32,,K. Walker misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by G. Dragic,,32-32,,
6:13.0,Turnover by G. Dragic (lost ball; steal by J. Lin),,32-32,,
6:05.0,,,32-32,,Shooting foul by D. Wright (drawn by K. Walker)
6:05.0,,,32-33,1,K. Walker makes free throw 1 of 2
6:05.0,,,32-33,,F. Kaminsky enters the game for C. Zeller
6:05.0,,,32-33,,A. Jefferson enters the game for S. Hawes
6:05.0,J. Johnson enters the game for D. Wade,,32-33,,
6:05.0,,,32-34,1,K. Walker makes free throw 2 of 2
5:47.0,D. Wright misses 3-pt shot from 26 ft,,32-34,,
5:46.0,Offensive rebound by L. Deng,,32-34,,
5:38.0,G. Dragic misses 3-pt shot from 26 ft,,32-34,,
5:37.0,Offensive rebound by Team,,32-34,,
5:37.0,,,32-34,,Loose ball foul by J. Lin
5:19.0,J. Johnson misses 2-pt shot from 14 ft,,32-34,,
5:17.0,,,32-34,,Defensive rebound by F. Kaminsky
5:08.0,,,32-36,2,K. Walker makes 2-pt shot from 1 ft
4:53.0,L. Deng misses 2-pt shot from 3 ft (block by F. Kaminsky),,32-36,,
4:51.0,Offensive rebound by L. Deng,,32-36,,
4:51.0,L. Deng misses 2-pt shot from 2 ft,,32-36,,
4:50.0,,,32-36,,Defensive rebound by A. Jefferson
4:45.0,,,32-36,,J. Lin misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by J. Johnson,,32-36,,
4:29.0,J. Johnson makes 3-pt shot from 26 ft (assist by L. Deng),3,35-36,,
4:10.0,,,35-38,2,J. Lin makes 2-pt shot from 2 ft (assist by K. Walker)
4:02.0,Turnover by G. Dragic (lost ball; steal by K. Walker),,35-38,,
3:56.0,,,35-38,,F. Kaminsky misses 2-pt shot from 2 ft
3:56.0,,,35-38,,Offensive rebound by F. Kaminsky
3:56.0,,,35-38,,Shooting foul by D. Wright (drawn by F. Kaminsky)
3:56.0,,,35-39,1,F. Kaminsky makes free throw 1 of 2
3:56.0,D. Wade enters the game for L. Deng,,35-39,,
3:56.0,J. Winslow enters the game for D. Wright,,35-39,,
3:56.0,,,35-40,1,F. Kaminsky makes free throw 2 of 2
3:51.0,Miami full timeout,,35-40,,
3:51.0,,,35-40,,M. Williams enters the game for C. Lee
3:36.0,H. Whiteside misses 2-pt shot from 10 ft,,35-40,,
3:35.0,,,35-40,,Defensive rebound by F. Kaminsky
3:30.0,,,35-42,2,K. Walker makes 2-pt shot at rim
3:13.0,Shooting foul by A. Jefferson (drawn by H. Whiteside),,35-42,,
3:13.0,H. Whiteside misses free throw 1 of 2,,35-42,,
3:13.0,Offensive rebound by Team,,35-42,,
3:13.0,H. Whiteside makes free throw 2 of 2,1,36-42,,
2:59.0,,,36-42,,M. Williams misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by G. Dragic,,36-42,,
2:50.0,J. Johnson misses 2-pt shot from 1 ft,,36-42,,
2:49.0,,,36-42,,Defensive rebound by M. Williams
