time,New York,pts.away,score,pts.home,Denver
3:54.0,,,12-16,,E. Mudiay misses 2-pt shot from 16 ft
3:53.0,,,12-16,,Offensive rebound by K. Faried
3:52.0,,,12-18,2,K. Faried makes 2-pt shot from 1 ft
3:39.0,D. Williams makes 3-pt shot from 23 ft (assist by J. Calderon),3,15-18,,
3:23.0,,,15-20,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
3:23.0,,,15-20,,Shooting foul by L. Galloway (drawn by G. Harris)
3:23.0,,,15-21,1,G. Harris makes free throw 1 of 1
3:07.0,Shooting foul by J. Sampson (drawn by C. Anthony),,15-21,,
3:07.0,C. Anthony makes free throw 1 of 2,1,16-21,,
3:07.0,,,16-21,,W. Barton enters the game for G. Harris
3:07.0,,,16-21,,D. Arthur enters the game for J. Sampson
3:07.0,C. Anthony makes free throw 2 of 2,1,17-21,,
2:48.0,,,17-23,2,K. Faried makes 2-pt shot at rim (assist by W. Barton)
2:35.0,C. Anthony makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,19-23,,
2:35.0,Shooting foul by D. Arthur (drawn by C. Anthony),,19-23,,
2:35.0,C. Anthony makes free throw 1 of 1,1,20-23,,
2:28.0,,,20-23,,Offensive foul by K. Faried
2:28.0,,,20-23,,Turnover by K. Faried (offensive foul)
2:28.0,,,20-23,,A. Toupane enters the game for K. Faried
2:16.0,J. Calderon makes 2-pt shot from 7 ft,2,22-23,,
2:05.0,,,22-25,2,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic)
1:59.0,Offensive foul by K. O'Quinn,,22-25,,
1:59.0,Turnover by K. O'Quinn (offensive foul),,22-25,,
1:59.0,J. Grant enters the game for J. Calderon,,22-25,,
1:43.0,,,22-25,,N. Jokic misses 2-pt shot from 16 ft
1:42.0,Defensive rebound by J. Grant,,22-25,,
1:27.0,C. Anthony misses 2-pt shot from 17 ft,,22-25,,
1:27.0,,,22-25,,Defensive rebound by N. Jokic
1:19.0,,,22-25,,E. Mudiay misses 2-pt shot from 16 ft
1:18.0,Defensive rebound by L. Galloway,,22-25,,
1:15.0,Turnover by L. Galloway (lost ball; steal by W. Barton),,22-25,,
1:09.0,,,22-27,2,D. Arthur makes 2-pt shot from 2 ft (assist by W. Barton)
0:58.0,,,22-27,,Personal foul by A. Toupane
0:58.0,,,22-27,,J. Lauvergne enters the game for N. Jokic
0:50.0,L. Galloway misses 3-pt shot from 24 ft,,22-27,,
0:48.0,,,22-27,,Defensive rebound by J. Lauvergne
0:42.0,,,22-29,2,E. Mudiay makes 2-pt shot from 1 ft
0:22.0,D. Williams makes 3-pt shot from 24 ft (assist by C. Anthony),3,25-29,,
0:05.0,,,25-31,2,E. Mudiay makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,L. Galloway makes 2-pt shot from 1 ft (assist by D. Williams),2,27-31,,
11:50.0,Shooting foul by J. Lauvergne (drawn by L. Galloway),,27-31,,
11:50.0,L. Galloway misses free throw 1 of 1,,27-31,,
11:50.0,,,27-31,,Defensive rebound by J. Lauvergne
11:28.0,,,27-31,,W. Barton misses 2-pt shot from 17 ft
11:27.0,Defensive rebound by D. Williams,,27-31,,
11:27.0,,,27-31,,Shooting block foul by D. Arthur (drawn by D. Williams)
11:27.0,D. Williams makes free throw 1 of 2,1,28-31,,
11:27.0,D. Williams makes free throw 2 of 2,1,29-31,,
11:07.0,,,29-31,,A. Toupane misses 3-pt shot from 23 ft
11:06.0,Defensive rebound by J. Grant,,29-31,,
11:00.0,,,29-31,,Violation by A. Toupane (kicked ball)
11:00.0,,,29-31,,M. Miller enters the game for D. Arthur
10:45.0,D. Williams misses 3-pt shot from 23 ft,,29-31,,
10:44.0,,,29-31,,Defensive rebound by W. Barton
10:36.0,,,29-33,2,J. Lauvergne makes 2-pt shot from 19 ft (assist by A. Toupane)
10:19.0,K. Seraphin makes 2-pt shot from 19 ft (assist by D. Williams),2,31-33,,
10:00.0,,,31-33,,A. Toupane misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by D. Williams,,31-33,,
9:53.0,D. Williams makes 2-pt shot from 2 ft,2,33-33,,
9:33.0,,,33-33,,J. Lauvergne misses 2-pt shot from 17 ft
9:32.0,Defensive rebound by A. Afflalo,,33-33,,
9:25.0,Turnover by K. Seraphin (step out of bounds),,33-33,,
9:08.0,,,33-33,,W. Barton misses 2-pt shot from 6 ft
9:07.0,Defensive rebound by J. Grant,,33-33,,
9:03.0,J. Grant makes 2-pt shot from 1 ft,2,35-33,,
9:03.0,,,35-33,,Denver full timeout
8:47.0,,,35-33,,W. Barton misses 2-pt shot from 2 ft (block by J. Grant)
8:46.0,,,35-33,,Offensive rebound by W. Barton
8:45.0,,,35-35,2,W. Barton makes 2-pt shot at rim
8:30.0,D. Williams makes 2-pt shot from 16 ft,2,37-35,,
8:17.0,Personal foul by J. Grant,,37-35,,
8:11.0,,,37-38,3,D. Augustin makes 3-pt shot from 23 ft (assist by J. Lauvergne)
7:48.0,L. Galloway misses 2-pt shot from 20 ft,,37-38,,
7:48.0,,,37-38,,Defensive rebound by J. Lauvergne
7:36.0,,,37-38,,Shooting foul by K. Seraphin (drawn by W. Barton)
7:36.0,,,37-38,,W. Barton misses free throw 1 of 2
7:36.0,,,37-38,,Offensive rebound by Team
7:36.0,C. Anthony enters the game for L. Galloway,,37-38,,
7:36.0,,,37-38,,W. Barton misses free throw 2 of 2
7:34.0,Defensive rebound by J. Grant,,37-38,,
7:34.0,,,37-38,,Personal foul by W. Barton
7:23.0,,,37-38,,Personal foul by A. Toupane
7:23.0,,,37-38,,J. Sampson enters the game for M. Miller
7:09.0,Shooting foul by J. Lauvergne (drawn by J. Grant),,37-38,,
7:09.0,J. Grant makes free throw 1 of 2,1,38-38,,
7:09.0,J. Grant makes free throw 2 of 2,1,39-38,,
6:53.0,,,39-40,2,W. Barton makes 2-pt shot from 20 ft
6:35.0,C. Anthony makes 2-pt shot from 2 ft (assist by J. Grant),2,41-40,,
6:35.0,,,41-40,,Violation by J. Lauvergne (def goaltending)
6:21.0,,,41-40,,Shooting foul by K. Seraphin (drawn by D. Augustin)
6:21.0,,,41-41,1,D. Augustin makes free throw 1 of 2
6:21.0,R. Lopez enters the game for K. Seraphin,,41-41,,
6:21.0,K. Porzingis enters the game for D. Williams,,41-41,,
6:21.0,,,41-41,,N. Jokic enters the game for J. Lauvergne
6:21.0,,,41-41,,G. Harris enters the game for A. Toupane
6:21.0,,,41-42,1,D. Augustin makes free throw 2 of 2
6:01.0,Turnover by K. Porzingis (3 sec),,41-42,,
6:01.0,,,41-42,,K. Faried enters the game for W. Barton
5:48.0,,,41-45,3,G. Harris makes 3-pt shot from 23 ft (assist by D. Augustin)
5:31.0,K. Porzingis misses 2-pt shot from 16 ft,,41-45,,
5:30.0,,,41-45,,Defensive rebound by J. Sampson
5:23.0,,,41-47,2,K. Faried makes 2-pt shot at rim (assist by D. Augustin)
5:11.0,New York full timeout,,41-47,,
5:11.0,J. Calderon enters the game for J. Grant,,41-47,,
5:11.0,,,41-47,,E. Mudiay enters the game for D. Augustin
5:00.0,A. Afflalo misses 2-pt shot from 6 ft,,41-47,,
4:59.0,,,41-47,,Defensive rebound by K. Faried
4:34.0,,,41-47,,E. Mudiay misses 2-pt shot from 2 ft
4:34.0,Defensive rebound by R. Lopez,,41-47,,
4:18.0,Turnover by C. Anthony (lost ball; steal by G. Harris),,41-47,,
4:14.0,Personal foul by K. Porzingis,,41-47,,
4:14.0,D. Williams enters the game for K. Porzingis,,41-47,,
4:00.0,,,41-47,,K. Faried misses 2-pt shot from 15 ft
3:59.0,Defensive rebound by C. Anthony,,41-47,,
3:58.0,Turnover by C. Anthony (lost ball; steal by N. Jokic),,41-47,,
3:53.0,,,41-49,2,N. Jokic makes 2-pt shot from 3 ft
3:41.0,J. Calderon misses 2-pt shot from 18 ft,,41-49,,
3:40.0,,,41-49,,Defensive rebound by N. Jokic
3:36.0,,,41-51,2,K. Faried makes 2-pt shot at rim (assist by N. Jokic)
3:21.0,D. Williams misses 2-pt shot from 16 ft,,41-51,,
3:20.0,,,41-51,,Defensive rebound by K. Faried
3:10.0,,,41-51,,K. Faried misses 2-pt shot from 2 ft
3:09.0,,,41-51,,Offensive rebound by N. Jokic
3:09.0,,,41-53,2,N. Jokic makes 2-pt shot from 1 ft
2:48.0,R. Lopez misses 2-pt shot from 19 ft,,41-53,,
2:47.0,,,41-53,,Defensive rebound by G. Harris
2:26.0,,,41-56,3,G. Harris makes 3-pt shot from 24 ft (assist by E. Mudiay)
2:08.0,C. Anthony makes 2-pt shot at rim (assist by A. Afflalo),2,43-56,,
2:08.0,Violation by Team (jump ball),,43-56,,
1:54.0,,,43-58,2,K. Faried makes 2-pt shot at rim (assist by E. Mudiay)
1:41.0,,,43-58,,Personal foul by G. Harris
1:41.0,Official timeout,,43-58,,
1:41.0,K. O'Quinn enters the game for R. Lopez,,43-58,,
1:41.0,C. Anthony makes free throw 1 of 2,1,44-58,,
1:41.0,C. Anthony makes free throw 2 of 2,1,45-58,,
1:27.0,,,45-58,,N. Jokic misses 2-pt shot from 16 ft
1:26.0,Defensive rebound by J. Calderon,,45-58,,
1:10.0,D. Williams misses 2-pt shot at rim,,45-58,,
1:09.0,Offensive rebound by K. O'Quinn,,45-58,,
1:06.0,K. O'Quinn makes 2-pt shot from 2 ft,2,47-58,,
0:47.0,,,47-60,2,J. Sampson makes 2-pt shot from 1 ft (assist by G. Harris)
0:33.0,C. Anthony misses 2-pt shot from 13 ft,,47-60,,
0:32.0,,,47-60,,Defensive rebound by E. Mudiay
0:25.0,,,47-60,,E. Mudiay misses 2-pt shot from 6 ft
0:24.0,Defensive rebound by J. Calderon,,47-60,,
0:05.0,K. O'Quinn makes 2-pt shot from 21 ft (assist by J. Calderon),2,49-60,,
0:04.0,,,49-60,,Turnover by G. Harris (lost ball)
0:01.0,C. Anthony misses 3-pt shot from 26 ft,,49-60,,
0:00.0,Offensive rebound by Team,,49-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,49-60,,Personal foul by J. Sampson
11:39.0,Shooting foul by J. Sampson (drawn by C. Anthony),,49-60,,
11:39.0,C. Anthony makes free throw 1 of 2,1,50-60,,
11:39.0,,,50-60,,D. Arthur enters the game for J. Sampson
11:39.0,C. Anthony makes free throw 2 of 2,1,51-60,,
11:18.0,,,51-60,,E. Mudiay misses 2-pt shot from 1 ft (block by J. Calderon)
11:18.0,Defensive rebound by Team,,51-60,,
11:05.0,J. Calderon makes 2-pt shot from 2 ft (assist by K. Porzingis),2,53-60,,
10:40.0,,,53-60,,E. Mudiay misses 2-pt shot from 19 ft
10:39.0,,,53-60,,Offensive rebound by K. Faried
10:39.0,,,53-60,,K. Faried misses 2-pt shot from 1 ft
10:36.0,Defensive rebound by R. Lopez,,53-60,,
10:30.0,A. Afflalo makes 3-pt shot from 26 ft (assist by J. Calderon),3,56-60,,
10:29.0,,,56-60,,Denver full timeout
10:15.0,,,56-62,2,N. Jokic makes 2-pt shot from 2 ft (assist by D. Arthur)
10:05.0,A. Afflalo misses 3-pt shot from 24 ft,,56-62,,
10:03.0,,,56-62,,Defensive rebound by N. Jokic
9:48.0,,,56-65,3,E. Mudiay makes 3-pt shot from 25 ft (assist by G. Harris)
9:29.0,,,56-65,,Personal foul by D. Arthur
9:16.0,C. Anthony makes 2-pt shot from 17 ft,2,58-65,,
9:03.0,,,58-65,,N. Jokic misses 2-pt shot at rim (block by K. Porzingis)
9:01.0,Defensive rebound by J. Calderon,,58-65,,
8:42.0,C. Anthony misses 3-pt shot from 24 ft,,58-65,,
8:41.0,,,58-65,,Defensive rebound by E. Mudiay
8:30.0,,,58-67,2,K. Faried makes 2-pt shot from 19 ft (assist by G. Harris)
8:11.0,K. Porzingis misses 3-pt shot from 23 ft,,58-67,,
8:10.0,,,58-67,,Defensive rebound by K. Faried
7:56.0,,,58-67,,N. Jokic misses 2-pt shot from 3 ft
7:55.0,,,58-67,,Offensive rebound by K. Faried
7:55.0,,,58-67,,Shooting foul by C. Anthony (drawn by K. Faried)
7:55.0,,,58-68,1,K. Faried makes free throw 1 of 2
7:55.0,D. Williams enters the game for K. Porzingis,,58-68,,
7:55.0,,,58-69,1,K. Faried makes free throw 2 of 2
7:38.0,Turnover by D. Williams (lost ball; steal by K. Faried),,58-69,,
7:35.0,,,58-69,,K. Faried misses 2-pt shot at rim (block by C. Anthony)
7:34.0,,,58-69,,Offensive rebound by Team
7:23.0,,,58-69,,N. Jokic misses 2-pt shot from 3 ft (block by C. Anthony)
7:21.0,Defensive rebound by A. Afflalo,,58-69,,
7:19.0,Offensive foul by R. Lopez,,58-69,,
7:19.0,Turnover by R. Lopez (offensive foul),,58-69,,
7:19.0,K. O'Quinn enters the game for R. Lopez,,58-69,,
7:06.0,,,58-69,,E. Mudiay misses 2-pt shot from 5 ft
7:03.0,Defensive rebound by A. Afflalo,,58-69,,
6:55.0,C. Anthony makes 3-pt shot from 24 ft (assist by A. Afflalo),3,61-69,,
6:35.0,,,61-69,,N. Jokic misses 2-pt shot from 2 ft
6:33.0,,,61-69,,Offensive rebound by N. Jokic
6:33.0,,,61-69,,N. Jokic misses 2-pt shot from 2 ft (block by K. O'Quinn)
6:30.0,Defensive rebound by D. Williams,,61-69,,
6:19.0,K. O'Quinn misses 3-pt shot from 24 ft,,61-69,,
6:18.0,,,61-69,,Defensive rebound by G. Harris
6:13.0,,,61-69,,Shooting foul by C. Anthony (drawn by K. Faried)
6:13.0,,,61-69,,K. Faried misses free throw 1 of 2
6:13.0,,,61-69,,Offensive rebound by Team
6:13.0,,,61-70,1,K. Faried makes free throw 2 of 2
5:58.0,D. Williams misses 2-pt shot from 21 ft,,61-70,,
5:57.0,,,61-70,,Defensive rebound by N. Jokic
5:44.0,,,61-72,2,G. Harris makes 2-pt shot from 1 ft
5:44.0,New York full timeout,,61-72,,
5:44.0,J. Grant enters the game for A. Afflalo,,61-72,,
5:44.0,L. Galloway enters the game for J. Calderon,,61-72,,
5:30.0,L. Galloway misses 2-pt shot from 22 ft,,61-72,,
5:30.0,Offensive rebound by K. O'Quinn,,61-72,,
5:24.0,C. Anthony misses 2-pt shot from 18 ft,,61-72,,
5:24.0,Offensive rebound by D. Williams,,61-72,,
5:10.0,D. Williams misses 2-pt shot from 1 ft (block by K. Faried),,61-72,,
5:09.0,,,61-72,,Defensive rebound by N. Jokic
5:03.0,,,61-74,2,K. Faried makes 2-pt shot at rim (assist by E. Mudiay)
4:40.0,L. Galloway misses 2-pt shot from 21 ft,,61-74,,
4:39.0,,,61-74,,Defensive rebound by E. Mudiay
4:38.0,Personal foul by J. Grant,,61-74,,
4:38.0,K. Seraphin enters the game for D. Williams,,61-74,,
4:31.0,,,61-74,,K. Faried misses 2-pt shot from 10 ft
4:30.0,Defensive rebound by K. O'Quinn,,61-74,,
4:17.0,K. O'Quinn makes 2-pt shot from 5 ft (assist by J. Grant),2,63-74,,
4:06.0,,,63-74,,E. Mudiay misses 2-pt shot from 1 ft
4:05.0,Defensive rebound by K. Seraphin,,63-74,,
3:47.0,K. Seraphin misses 2-pt shot from 20 ft,,63-74,,
3:46.0,,,63-74,,Defensive rebound by G. Harris
3:37.0,Def 3 sec tech foul by K. O'Quinn,,63-74,,
3:37.0,,,63-75,1,G. Harris makes technical free throw
3:37.0,,,63-75,,J. Lauvergne enters the game for N. Jokic
3:37.0,,,63-75,,W. Barton enters the game for K. Faried
3:30.0,,,63-75,,E. Mudiay misses 2-pt shot from 6 ft
3:29.0,Defensive rebound by C. Anthony,,63-75,,
3:22.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by C. Anthony),2,65-75,,
3:12.0,,,65-77,2,D. Arthur makes 2-pt shot from 20 ft (assist by E. Mudiay)
2:56.0,K. Seraphin misses 2-pt shot from 9 ft,,65-77,,
2:54.0,Offensive rebound by C. Anthony,,65-77,,
2:54.0,C. Anthony makes 2-pt shot from 1 ft,2,67-77,,
2:30.0,,,67-77,,E. Mudiay misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by K. O'Quinn,,67-77,,
2:15.0,Shooting foul by E. Mudiay (drawn by J. Grant),,67-77,,
2:15.0,J. Grant misses free throw 1 of 2,,67-77,,
2:15.0,Offensive rebound by Team,,67-77,,
2:15.0,,,67-77,,D. Augustin enters the game for E. Mudiay
2:15.0,,,67-77,,A. Toupane enters the game for G. Harris
2:15.0,J. Grant makes free throw 2 of 2,1,68-77,,
1:57.0,,,68-77,,D. Augustin misses 2-pt shot from 2 ft
1:56.0,Defensive rebound by J. Grant,,68-77,,
1:42.0,C. Anthony misses 2-pt shot from 17 ft,,68-77,,
1:41.0,,,68-77,,Defensive rebound by W. Barton
1:31.0,,,68-80,3,D. Arthur makes 3-pt shot from 25 ft (assist by J. Lauvergne)
1:10.0,K. Seraphin misses 2-pt shot at rim,,68-80,,
1:10.0,,,68-80,,Defensive rebound by D. Augustin
1:02.0,,,68-80,,J. Lauvergne misses 2-pt shot from 21 ft
1:02.0,Defensive rebound by L. Galloway,,68-80,,
0:49.0,K. O'Quinn misses 2-pt shot from 18 ft,,68-80,,
0:48.0,,,68-80,,Defensive rebound by J. Lauvergne
0:41.0,,,68-80,,W. Barton misses 2-pt shot from 1 ft
0:40.0,,,68-80,,Offensive rebound by Team
0:40.0,Loose ball foul by K. Seraphin,,68-80,,
0:40.0,K. Porzingis enters the game for K. O'Quinn,,68-80,,
0:40.0,A. Afflalo enters the game for C. Anthony,,68-80,,
0:30.0,,,68-80,,A. Toupane misses 3-pt shot from 23 ft
0:29.0,Defensive rebound by K. Porzingis,,68-80,,
0:21.0,Turnover by J. Grant (lost ball; steal by J. Lauvergne),,68-80,,
0:18.0,,,68-82,2,A. Toupane makes 2-pt shot at rim (assist by J. Lauvergne)
0:05.0,,,68-82,,Personal block foul by D. Arthur
0:05.0,L. Galloway misses free throw 1 of 2,,68-82,,
0:05.0,Offensive rebound by Team,,68-82,,
0:05.0,L. Galloway misses free throw 2 of 2,,68-82,,
0:04.0,,,68-82,,Defensive rebound by J. Lauvergne
0:01.0,,,68-82,,D. Augustin misses 3-pt shot from 26 ft
0:00.0,,,68-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,68-84,2,N. Jokic makes 2-pt shot from 1 ft (assist by J. Lauvergne)
11:23.0,Shooting foul by A. Toupane (drawn by A. Afflalo),,68-84,,
11:23.0,A. Afflalo makes free throw 1 of 2,1,69-84,,
11:23.0,A. Afflalo makes free throw 2 of 2,1,70-84,,
11:10.0,,,70-84,,Turnover by D. Augustin (bad pass)
10:58.0,A. Afflalo makes 2-pt shot from 8 ft (assist by K. Porzingis),2,72-84,,
10:37.0,,,72-84,,N. Jokic misses 2-pt shot from 2 ft
10:37.0,Defensive rebound by Team,,72-84,,
10:37.0,,,72-84,,Loose ball foul by J. Lauvergne
10:22.0,K. Porzingis misses 2-pt shot from 4 ft,,72-84,,
10:21.0,,,72-84,,Defensive rebound by J. Lauvergne
10:11.0,,,72-84,,N. Jokic misses 2-pt shot from 1 ft (block by K. Seraphin)
10:10.0,Defensive rebound by K. Porzingis,,72-84,,
10:08.0,Shooting foul by J. Lauvergne (drawn by L. Galloway),,72-84,,
10:08.0,L. Galloway makes free throw 1 of 2,1,73-84,,
10:08.0,L. Galloway makes free throw 2 of 2,1,74-84,,
9:54.0,,,74-84,,N. Jokic misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by J. Grant,,74-84,,
9:33.0,Turnover by K. Porzingis (lost ball; steal by A. Toupane),,74-84,,
9:25.0,,,74-86,2,A. Toupane makes 2-pt shot at rim (assist by W. Barton)
9:25.0,,,74-86,,Shooting foul by A. Afflalo (drawn by A. Toupane)
9:25.0,,,74-87,1,A. Toupane makes free throw 1 of 1
9:11.0,K. Porzingis makes 2-pt shot from 21 ft (assist by L. Galloway),2,76-87,,
8:56.0,Personal foul by L. Galloway,,76-87,,
8:56.0,Official timeout,,76-87,,
8:56.0,C. Anthony enters the game for K. Seraphin,,76-87,,
8:47.0,,,76-89,2,N. Jokic makes 2-pt shot from 1 ft (assist by D. Augustin)
8:32.0,Shooting foul by J. Lauvergne (drawn by C. Anthony),,76-89,,
8:32.0,C. Anthony makes free throw 1 of 2,1,77-89,,
8:32.0,,,77-89,,D. Arthur enters the game for J. Lauvergne
8:32.0,C. Anthony makes free throw 2 of 2,1,78-89,,
8:18.0,,,78-89,,D. Augustin misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by K. Porzingis,,78-89,,
8:04.0,Shooting foul by W. Barton (drawn by J. Grant),,78-89,,
8:04.0,J. Grant makes free throw 1 of 2,1,79-89,,
8:04.0,,,79-89,,G. Harris enters the game for A. Toupane
8:04.0,J. Grant makes free throw 2 of 2,1,80-89,,
7:39.0,,,80-89,,G. Harris misses 2-pt shot from 18 ft
7:38.0,,,80-89,,Offensive rebound by Team
7:38.0,Loose ball foul by J. Grant,,80-89,,
7:31.0,,,80-89,,Shooting foul by J. Grant (drawn by N. Jokic)
7:31.0,,,80-89,,N. Jokic misses free throw 1 of 2
7:31.0,,,80-89,,Offensive rebound by Team
7:31.0,,,80-89,,N. Jokic misses free throw 2 of 2
7:28.0,Defensive rebound by J. Grant,,80-89,,
7:26.0,Turnover by J. Grant (lost ball; steal by W. Barton),,80-89,,
7:19.0,,,80-89,,G. Harris misses 3-pt shot from 26 ft
7:19.0,Defensive rebound by K. Porzingis,,80-89,,
7:12.0,A. Afflalo misses 2-pt shot from 1 ft,,80-89,,
7:11.0,Offensive rebound by C. Anthony,,80-89,,
7:09.0,C. Anthony misses 2-pt shot from 1 ft (block by N. Jokic),,80-89,,
7:07.0,,,80-89,,Defensive rebound by G. Harris
7:01.0,,,80-89,,D. Augustin misses 3-pt shot from 24 ft
7:00.0,,,80-89,,Offensive rebound by W. Barton
6:52.0,,,80-89,,D. Arthur misses 2-pt shot from 3 ft
6:51.0,Defensive rebound by K. Porzingis,,80-89,,
6:42.0,K. Porzingis makes 2-pt shot from 1 ft (assist by C. Anthony),2,82-89,,
6:42.0,,,82-89,,Denver full timeout
6:24.0,,,82-91,2,G. Harris makes 2-pt shot from 15 ft (assist by D. Augustin)
6:09.0,K. Porzingis misses 2-pt shot from 5 ft,,82-91,,
6:08.0,,,82-91,,Defensive rebound by W. Barton
5:58.0,,,82-91,,W. Barton misses 2-pt shot from 2 ft
5:56.0,,,82-91,,Offensive rebound by N. Jokic
5:56.0,,,82-93,2,N. Jokic makes 2-pt shot from 1 ft
5:42.0,Turnover by L. Galloway (lost ball; steal by D. Augustin),,82-93,,
5:32.0,,,82-93,,D. Arthur misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by L. Galloway,,82-93,,
5:13.0,K. Porzingis misses 2-pt shot from 16 ft (block by G. Harris),,82-93,,
5:12.0,Offensive rebound by Team,,82-93,,
5:11.0,Loose ball foul by K. Porzingis,,82-93,,
5:11.0,Turnover by K. Porzingis (offensive foul),,82-93,,
5:11.0,,,82-94,1,N. Jokic makes free throw 1 of 2
5:11.0,J. Calderon enters the game for J. Grant,,82-94,,
5:11.0,K. O'Quinn enters the game for K. Porzingis,,82-94,,
5:11.0,,,82-95,1,N. Jokic makes free throw 2 of 2
4:55.0,L. Galloway makes 3-pt shot from 24 ft (assist by C. Anthony),3,85-95,,
4:34.0,,,85-95,,N. Jokic misses 2-pt shot from 4 ft
4:31.0,Defensive rebound by K. O'Quinn,,85-95,,
