time,Oklahoma City,pts.away,score,pts.home,Washington
3:53.0,,,86-65,,Defensive rebound by K. Oubre
3:40.0,,,86-65,,M. Gortat misses 2-pt shot from 10 ft
3:39.0,Defensive rebound by S. Ibaka,,86-65,,
3:39.0,,,86-65,,Personal foul by K. Oubre (drawn by S. Ibaka)
3:39.0,D. Waiters enters the game for S. Ibaka,,86-65,,
3:39.0,A. Morrow enters the game for K. Singler,,86-65,,
3:39.0,,,86-65,,G. Temple enters the game for M. Gortat
3:39.0,,,86-65,,D. Blair enters the game for G. Neal
3:27.0,Turnover by R. Westbrook (lost ball; steal by R. Sessions),,86-65,,
3:22.0,,,86-67,2,K. Oubre makes 2-pt shot at rim (assist by R. Sessions)
3:04.0,Turnover by R. Westbrook (bad pass),,86-67,,
2:54.0,,,86-67,,Turnover by D. Blair (bad pass; steal by A. Roberson)
2:51.0,R. Westbrook makes 2-pt shot at rim (assist by A. Roberson),2,88-67,,
2:36.0,,,88-67,,K. Oubre misses 3-pt shot from 25 ft
2:35.0,Defensive rebound by E. Kanter,,88-67,,
2:21.0,R. Westbrook makes 3-pt shot from 28 ft,3,91-67,,
2:11.0,,,91-69,2,R. Sessions makes 2-pt shot from 3 ft
1:48.0,E. Kanter makes 2-pt shot from 11 ft (assist by R. Westbrook),2,93-69,,
1:36.0,,,93-69,,O. Porter misses 2-pt shot from 9 ft
1:35.0,,,93-69,,Offensive rebound by D. Blair
1:34.0,,,93-69,,D. Blair misses 2-pt shot from 1 ft
1:34.0,Defensive rebound by Team,,93-69,,
1:34.0,,,93-69,,Loose ball foul by G. Temple (drawn by E. Kanter)
1:34.0,D. Augustin enters the game for R. Westbrook,,93-69,,
1:34.0,,,93-69,,K. Humphries enters the game for O. Porter
1:18.0,A. Morrow misses 3-pt shot from 26 ft,,93-69,,
1:17.0,,,93-69,,Defensive rebound by D. Blair
1:02.0,,,93-69,,D. Blair misses 2-pt shot from 3 ft
1:01.0,Defensive rebound by D. Augustin,,93-69,,
0:52.0,D. Waiters makes 2-pt shot from 14 ft,2,95-69,,
0:45.0,,,95-71,2,R. Sessions makes 2-pt shot from 1 ft
0:22.0,D. Waiters misses 3-pt shot from 23 ft,,95-71,,
0:21.0,,,95-71,,Defensive rebound by K. Humphries
0:15.0,,,95-71,,K. Oubre misses 3-pt shot from 27 ft
0:13.0,Defensive rebound by D. Waiters,,95-71,,
0:02.0,,,95-71,,Personal foul by K. Oubre (drawn by D. Waiters)
0:02.0,D. Waiters makes free throw 1 of 2,1,96-71,,
0:02.0,D. Waiters makes free throw 2 of 2,1,97-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,D. Waiters makes 2-pt shot at rim,2,99-71,,
11:29.0,,,99-71,,K. Oubre misses 2-pt shot from 1 ft
11:28.0,,,99-71,,Offensive rebound by K. Humphries
11:22.0,,,99-73,2,K. Humphries makes 2-pt shot at rim
11:12.0,Turnover by D. Waiters (lost ball),,99-73,,
11:02.0,,,99-75,2,D. Blair makes 2-pt shot from 1 ft (assist by R. Sessions)
10:52.0,S. Adams makes 2-pt shot at rim (assist by D. Augustin),2,101-75,,
10:34.0,,,101-75,,G. Temple misses 3-pt shot from 28 ft
10:33.0,Defensive rebound by D. Augustin,,101-75,,
10:17.0,D. Waiters makes 3-pt shot from 25 ft (assist by S. Ibaka),3,104-75,,
10:05.0,,,104-77,2,G. Temple makes 2-pt shot from 1 ft (assist by K. Humphries)
10:05.0,,,104-77,,Shooting foul by A. Morrow (drawn by G. Temple)
10:05.0,,,104-78,1,G. Temple makes free throw 1 of 1
9:43.0,A. Morrow misses 2-pt shot from 22 ft,,104-78,,
9:42.0,,,104-78,,Defensive rebound by G. Temple
9:30.0,,,104-80,2,K. Oubre makes 2-pt shot from 12 ft (assist by K. Humphries)
9:13.0,A. Morrow misses 2-pt shot from 2 ft (block by K. Humphries),,104-80,,
9:11.0,,,104-80,,Defensive rebound by R. Sessions
9:11.0,,,104-80,,Turnover by R. Sessions (lost ball)
9:11.0,,,104-80,,J. Dudley enters the game for K. Humphries
8:55.0,Turnover by S. Ibaka (lost ball),,104-80,,
8:55.0,Official timeout,,104-80,,
8:43.0,Personal foul by A. Morrow (drawn by K. Oubre),,104-80,,
8:32.0,,,104-83,3,R. Sessions makes 3-pt shot from 23 ft (assist by G. Temple)
8:11.0,Shooting foul by D. Blair (drawn by D. Waiters),,104-83,,
8:11.0,D. Waiters makes free throw 1 of 2,1,105-83,,
8:11.0,D. Waiters makes free throw 2 of 2,1,106-83,,
8:02.0,,,106-83,,R. Sessions misses 2-pt shot from 13 ft
8:01.0,Defensive rebound by S. Adams,,106-83,,
7:41.0,D. Waiters makes 3-pt shot from 28 ft (assist by D. Augustin),3,109-83,,
7:27.0,,,109-83,,G. Temple misses 3-pt shot from 22 ft
7:26.0,Defensive rebound by D. Waiters,,109-83,,
7:24.0,,,109-83,,Personal take foul by R. Sessions (drawn by D. Waiters)
7:16.0,S. Adams misses 2-pt shot at rim,,109-83,,
7:15.0,,,109-83,,Defensive rebound by D. Blair
7:15.0,Personal foul by S. Adams (drawn by D. Blair),,109-83,,
6:58.0,,,109-83,,Turnover by R. Sessions (bad pass)
6:39.0,A. Morrow misses 3-pt shot from 23 ft,,109-83,,
6:38.0,,,109-83,,Defensive rebound by Team
6:27.0,,,109-83,,Turnover by G. Temple (bad pass; steal by S. Adams)
6:23.0,Shooting foul by G. Temple (drawn by D. Waiters),,109-83,,
6:23.0,D. Waiters makes free throw 1 of 2,1,110-83,,
6:23.0,D. Waiters makes free throw 2 of 2,1,111-83,,
6:13.0,,,111-83,,J. Dudley misses 2-pt shot from 19 ft
6:12.0,,,111-83,,Offensive rebound by D. Blair
6:07.0,,,111-83,,D. Blair misses 2-pt shot from 2 ft
