time,Indiana,pts.away,score,pts.home,Brooklyn
2:07.0,,,55-40,,Offensive rebound by B. Lopez
2:06.0,,,55-40,,B. Lopez misses 2-pt shot from 1 ft
2:05.0,,,55-40,,Offensive rebound by B. Lopez
2:03.0,,,55-40,,Turnover by B. Lopez (lost ball; steal by P. George)
1:58.0,Turnover by M. Turner (lost ball),,55-40,,
1:58.0,Official timeout,,55-40,,
1:58.0,S. Hill enters the game for J. Hill,,55-40,,
1:49.0,,,55-42,2,T. Young makes 2-pt shot from 2 ft (assist by D. Sloan)
1:33.0,M. Turner makes 2-pt shot at rim (assist by P. George),2,57-42,,
1:08.0,,,57-42,,B. Lopez misses 2-pt shot from 14 ft
1:07.0,Defensive rebound by C. Miles,,57-42,,
0:51.0,C. Miles makes 2-pt shot from 1 ft (assist by M. Ellis),2,59-42,,
0:37.0,,,59-42,,Turnover by B. Lopez (bad pass; steal by P. George)
0:28.0,S. Hill makes 3-pt shot from 23 ft (assist by C. Miles),3,62-42,,
0:10.0,Personal foul by M. Ellis (drawn by D. Sloan),,62-42,,
0:10.0,,,62-43,1,D. Sloan makes free throw 1 of 2
0:10.0,G. Hill enters the game for M. Ellis,,62-43,,
0:10.0,Indiana full timeout,,62-43,,
0:10.0,,,62-43,,T. Robinson enters the game for B. Lopez
0:10.0,,,62-43,,M. Brown enters the game for W. Ellington
0:10.0,,,62-43,,D. Sloan misses free throw 2 of 2
0:08.0,,,62-43,,Offensive rebound by Team
0:01.0,,,62-43,,Turnover by J. Johnson (lost ball; steal by G. Hill)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,62-45,2,W. Ellington makes 2-pt shot from 15 ft (assist by J. Johnson)
11:24.0,J. Hill makes 2-pt shot from 2 ft,2,64-45,,
11:03.0,,,64-45,,D. Sloan misses 2-pt shot from 2 ft
11:02.0,Defensive rebound by G. Hill,,64-45,,
10:56.0,P. George misses 3-pt shot from 24 ft,,64-45,,
10:55.0,,,64-45,,Defensive rebound by T. Young
10:43.0,,,64-45,,W. Ellington misses 3-pt shot from 24 ft
10:42.0,Defensive rebound by J. Hill,,64-45,,
10:27.0,M. Ellis misses 3-pt shot from 25 ft,,64-45,,
10:26.0,,,64-45,,Defensive rebound by Team
10:18.0,,,64-45,,T. Young misses 2-pt shot from 2 ft (block by M. Turner)
10:17.0,,,64-45,,Offensive rebound by Team
10:09.0,,,64-47,2,W. Ellington makes 2-pt shot from 17 ft (assist by D. Sloan)
9:55.0,M. Ellis makes 2-pt shot from 2 ft (assist by P. George),2,66-47,,
9:36.0,,,66-47,,Turnover by T. Young (lost ball; steal by G. Hill)
9:27.0,P. George misses 2-pt shot from 15 ft,,66-47,,
9:26.0,,,66-47,,Defensive rebound by T. Young
9:19.0,,,66-47,,Shooting foul by J. Hill (drawn by B. Lopez)
9:19.0,,,66-48,1,B. Lopez makes free throw 1 of 2
9:19.0,,,66-48,,B. Lopez misses free throw 2 of 2
9:18.0,Defensive rebound by J. Hill,,66-48,,
9:05.0,Turnover by M. Ellis (bad pass; steal by D. Sloan),,66-48,,
9:01.0,,,66-50,2,T. Young makes 2-pt shot at rim (assist by D. Sloan)
8:40.0,M. Turner makes 2-pt shot at rim (assist by M. Ellis),2,68-50,,
8:20.0,,,68-52,2,T. Young makes 2-pt shot from 2 ft (assist by J. Johnson)
8:06.0,Turnover by M. Turner (bad pass; steal by J. Johnson),,68-52,,
7:55.0,,,68-52,,D. Sloan misses 3-pt shot from 24 ft
7:54.0,Defensive rebound by M. Ellis,,68-52,,
7:52.0,,,68-52,,B. Bogdanovic enters the game for W. Ellington
7:33.0,M. Ellis misses 3-pt shot from 24 ft,,68-52,,
7:32.0,,,68-52,,Defensive rebound by D. Sloan
7:17.0,,,68-52,,B. Bogdanovic misses 2-pt shot from 14 ft
7:16.0,,,68-52,,Offensive rebound by B. Lopez
7:15.0,,,68-52,,B. Lopez misses 2-pt shot from 1 ft
7:14.0,Defensive rebound by M. Turner,,68-52,,
7:12.0,P. George makes 2-pt shot from 2 ft,2,70-52,,
7:12.0,Shooting foul by J. Johnson (drawn by P. George),,70-52,,
7:12.0,P. George misses free throw 1 of 1,,70-52,,
7:11.0,,,70-52,,Defensive rebound by B. Lopez
6:59.0,,,70-52,,B. Bogdanovic misses 2-pt shot from 2 ft
6:58.0,Defensive rebound by M. Turner,,70-52,,
6:48.0,G. Hill misses 2-pt shot from 15 ft,,70-52,,
6:47.0,,,70-52,,Defensive rebound by J. Johnson
6:44.0,,,70-54,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by J. Johnson)
6:27.0,M. Ellis makes 2-pt shot from 20 ft,2,72-54,,
6:13.0,,,72-54,,Shooting foul by J. Hill (drawn by D. Sloan)
6:13.0,,,72-55,1,D. Sloan makes free throw 1 of 2
6:13.0,L. Allen enters the game for J. Hill,,72-55,,
6:13.0,,,72-56,1,D. Sloan makes free throw 2 of 2
5:56.0,L. Allen makes 2-pt shot from 11 ft (assist by M. Ellis),2,74-56,,
5:36.0,,,74-59,3,J. Johnson makes 3-pt shot from 24 ft (assist by D. Sloan)
5:26.0,M. Turner misses 2-pt shot from 1 ft (block by B. Lopez),,74-59,,
5:24.0,,,74-59,,Defensive rebound by D. Sloan
5:16.0,,,74-62,3,J. Johnson makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
5:16.0,Indiana full timeout,,74-62,,
5:00.0,L. Allen misses 2-pt shot from 2 ft,,74-62,,
4:59.0,,,74-62,,Defensive rebound by J. Johnson
4:55.0,,,74-62,,T. Young misses 2-pt shot from 3 ft (block by M. Turner)
4:54.0,Defensive rebound by L. Allen,,74-62,,
4:48.0,,,74-62,,Personal foul by B. Lopez (drawn by M. Turner)
4:48.0,M. Turner makes free throw 1 of 2,1,75-62,,
4:48.0,M. Turner misses free throw 2 of 2,,75-62,,
4:47.0,,,75-62,,Defensive rebound by T. Young
4:33.0,,,75-62,,Turnover by T. Young (traveling)
4:27.0,P. George makes 3-pt shot from 24 ft (assist by G. Hill),3,78-62,,
4:10.0,,,78-62,,Shooting foul by M. Turner (drawn by B. Lopez)
4:10.0,,,78-62,,B. Lopez misses free throw 1 of 2
4:10.0,,,78-62,,Offensive rebound by Team
4:10.0,,,78-62,,B. Lopez misses free throw 2 of 2
4:09.0,Defensive rebound by M. Turner,,78-62,,
3:54.0,P. George misses 2-pt shot from 2 ft,,78-62,,
3:53.0,,,78-62,,Defensive rebound by T. Young
3:48.0,,,78-65,3,J. Johnson makes 3-pt shot from 24 ft (assist by D. Sloan)
3:43.0,Turnover by M. Ellis (bad pass),,78-65,,
3:30.0,,,78-65,,Shooting foul by L. Allen (drawn by T. Young)
3:30.0,,,78-65,,T. Young misses free throw 1 of 2
3:30.0,,,78-65,,Offensive rebound by Team
3:30.0,C. Miles enters the game for G. Hill,,78-65,,
3:30.0,,,78-65,,T. Young misses free throw 2 of 2
3:29.0,Defensive rebound by M. Ellis,,78-65,,
3:22.0,Turnover by M. Ellis (bad pass; steal by J. Johnson),,78-65,,
3:18.0,,,78-65,,D. Sloan misses 2-pt shot from 2 ft
3:17.0,,,78-65,,Offensive rebound by Team
3:10.0,,,78-67,2,T. Young makes 2-pt shot from 1 ft (assist by D. Sloan)
2:52.0,,,78-67,,Brooklyn full timeout
2:52.0,J. Young enters the game for M. Ellis,,78-67,,
2:52.0,S. Hill enters the game for M. Turner,,78-67,,
2:42.0,P. George misses 2-pt shot from 20 ft,,78-67,,
2:41.0,,,78-67,,Defensive rebound by T. Young
2:22.0,,,78-67,,Offensive foul by J. Johnson
2:22.0,,,78-67,,Turnover by J. Johnson (offensive foul)
2:08.0,L. Allen misses 2-pt shot from 20 ft,,78-67,,
2:07.0,,,78-67,,Defensive rebound by T. Young
1:49.0,,,78-69,2,T. Young makes 2-pt shot from 6 ft
1:32.0,Turnover by P. George (bad pass; steal by B. Lopez),,78-69,,
1:29.0,,,78-69,,D. Sloan misses 2-pt shot from 2 ft (block by P. George)
1:28.0,,,78-69,,Offensive rebound by Team
1:26.0,Personal foul by L. Allen (drawn by T. Young),,78-69,,
1:26.0,,,78-70,1,T. Young makes free throw 1 of 2
1:26.0,,,78-71,1,T. Young makes free throw 2 of 2
1:13.0,C. Miles makes 2-pt shot from 19 ft (assist by P. George),2,80-71,,
1:01.0,,,80-73,2,D. Sloan makes 2-pt shot from 1 ft (assist by B. Lopez)
0:41.0,,,80-73,,Personal foul by B. Lopez (drawn by P. George)
0:40.0,Shooting foul by B. Bogdanovic (drawn by C. Miles),,80-73,,
0:40.0,C. Miles makes free throw 1 of 2,1,81-73,,
0:40.0,C. Miles makes free throw 2 of 2,1,82-73,,
0:36.0,,,82-73,,Turnover by D. Sloan (bad pass)
0:36.0,,,82-73,,Loose ball foul by D. Sloan (drawn by P. George)
0:36.0,P. George makes free throw 1 of 2,1,83-73,,
0:36.0,P. George makes free throw 2 of 2,1,84-73,,
0:24.0,,,84-73,,Shooting foul by P. George (drawn by J. Johnson)
0:24.0,,,84-74,1,J. Johnson makes free throw 1 of 2
0:24.0,,,84-74,,T. Robinson enters the game for B. Lopez
0:24.0,,,84-75,1,J. Johnson makes free throw 2 of 2
0:07.0,J. Young makes 3-pt shot from 24 ft,3,87-75,,
0:01.0,,,87-77,2,D. Sloan makes 2-pt shot from 4 ft
0:00.0,S. Hill misses 3-pt shot from 50 ft,,87-77,,
0:00.0,Offensive rebound by Team,,87-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,87-77,,Personal foul by T. Robinson (drawn by L. Allen)
11:34.0,G. Robinson misses 2-pt shot from 5 ft,,87-77,,
11:33.0,Offensive rebound by L. Allen,,87-77,,
11:31.0,L. Allen makes 2-pt shot from 4 ft,2,89-77,,
11:14.0,,,89-77,,T. Young misses 2-pt shot from 2 ft
11:13.0,Defensive rebound by S. Hill,,89-77,,
11:08.0,C. Miles makes 2-pt shot from 1 ft (assist by S. Hill),2,91-77,,
11:08.0,Shooting foul by B. Bogdanovic (drawn by C. Miles),,91-77,,
11:08.0,,,91-77,,A. Bargnani enters the game for T. Young
11:08.0,C. Miles makes free throw 1 of 1,1,92-77,,
10:52.0,,,92-79,2,W. Ellington makes 2-pt shot from 20 ft
10:33.0,C. Miles misses 2-pt shot from 19 ft,,92-79,,
10:32.0,,,92-79,,Defensive rebound by T. Robinson
10:22.0,,,92-79,,B. Bogdanovic misses 3-pt shot from 24 ft
10:21.0,Defensive rebound by L. Allen,,92-79,,
10:10.0,J. Young makes 2-pt shot from 10 ft,2,94-79,,
9:52.0,,,94-81,2,S. Larkin makes 2-pt shot from 9 ft
9:34.0,L. Allen makes 2-pt shot from 3 ft (assist by S. Hill),2,96-81,,
9:20.0,,,96-84,3,W. Ellington makes 3-pt shot from 26 ft
9:09.0,,,96-84,,Personal foul by W. Ellington
9:04.0,C. Miles makes 2-pt shot from 12 ft,2,98-84,,
8:48.0,,,98-86,2,A. Bargnani makes 2-pt shot from 19 ft (assist by S. Larkin)
8:38.0,J. Young misses 3-pt shot from 26 ft,,98-86,,
8:37.0,,,98-86,,Defensive rebound by B. Bogdanovic
8:25.0,,,98-86,,S. Larkin misses 2-pt shot from 1 ft
8:24.0,Defensive rebound by J. Young,,98-86,,
8:16.0,C. Miles misses 3-pt shot from 24 ft,,98-86,,
8:15.0,Offensive rebound by J. Young,,98-86,,
8:03.0,L. Allen misses 2-pt shot from 4 ft (block by T. Robinson),,98-86,,
8:01.0,Offensive rebound by L. Allen,,98-86,,
7:58.0,C. Miles misses 3-pt shot from 24 ft,,98-86,,
7:57.0,Offensive rebound by Team,,98-86,,
7:57.0,,,98-86,,Personal foul by T. Robinson (drawn by G. Robinson)
7:57.0,Official timeout,,98-86,,
7:57.0,G. Hill enters the game for J. Young,,98-86,,
7:44.0,C. Miles makes 3-pt shot from 24 ft (assist by L. Allen),3,101-86,,
7:29.0,,,101-88,2,T. Robinson makes 2-pt shot at rim (assist by A. Bargnani)
7:11.0,L. Allen makes 2-pt shot at rim (assist by G. Hill),2,103-88,,
7:11.0,Shooting foul by T. Robinson (drawn by L. Allen),,103-88,,
7:11.0,M. Ellis enters the game for G. Robinson,,103-88,,
7:11.0,,,103-88,,B. Lopez enters the game for B. Bogdanovic
7:11.0,,,103-88,,J. Johnson enters the game for T. Robinson
7:11.0,P. George enters the game for C. Miles,,103-88,,
7:11.0,L. Allen misses free throw 1 of 1,,103-88,,
7:09.0,,,103-88,,Defensive rebound by B. Lopez
6:56.0,,,103-88,,Shooting foul by S. Hill (drawn by B. Lopez)
6:56.0,,,103-89,1,B. Lopez makes free throw 1 of 2
6:56.0,,,103-90,1,B. Lopez makes free throw 2 of 2
6:33.0,P. George misses 2-pt shot from 20 ft,,103-90,,
6:32.0,,,103-90,,Defensive rebound by S. Larkin
6:23.0,,,103-90,,Offensive foul by J. Johnson
6:23.0,,,103-90,,Turnover by J. Johnson (offensive foul)
6:08.0,G. Hill makes 3-pt shot from 24 ft (assist by P. George),3,106-90,,
5:49.0,,,106-93,3,J. Johnson makes 3-pt shot from 23 ft
5:29.0,P. George misses 2-pt shot from 18 ft,,106-93,,
5:28.0,,,106-93,,Defensive rebound by B. Lopez
5:22.0,Personal foul by P. George (drawn by J. Johnson),,106-93,,
5:22.0,,,106-93,,Brooklyn full timeout
5:22.0,,,106-93,,D. Sloan enters the game for S. Larkin
5:22.0,M. Turner enters the game for S. Hill,,106-93,,
5:11.0,,,106-93,,J. Johnson misses 2-pt shot from 19 ft
5:10.0,Defensive rebound by M. Turner,,106-93,,
4:53.0,L. Allen misses 2-pt shot from 9 ft,,106-93,,
4:52.0,,,106-93,,Defensive rebound by A. Bargnani
4:47.0,,,106-93,,Turnover by W. Ellington (bad pass; steal by G. Hill)
4:44.0,Shooting foul by W. Ellington (drawn by G. Hill),,106-93,,
4:44.0,G. Hill makes free throw 1 of 2,1,107-93,,
4:44.0,,,107-93,,T. Young enters the game for A. Bargnani
4:44.0,G. Hill makes free throw 2 of 2,1,108-93,,
4:26.0,,,108-93,,D. Sloan misses 3-pt shot from 24 ft
4:25.0,,,108-93,,Offensive rebound by Team
4:23.0,,,108-93,,W. Ellington misses 3-pt shot from 24 ft
4:22.0,,,108-93,,Offensive rebound by Team
4:22.0,Loose ball foul by L. Allen (drawn by B. Lopez),,108-93,,
4:02.0,,,108-93,,W. Ellington misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by P. George,,108-93,,
3:49.0,Turnover by G. Hill (bad pass; steal by W. Ellington),,108-93,,
3:41.0,,,108-93,,W. Ellington misses 3-pt shot from 23 ft
3:40.0,,,108-93,,Offensive rebound by T. Young
3:36.0,,,108-93,,J. Johnson misses 2-pt shot from 20 ft
3:35.0,Defensive rebound by G. Hill,,108-93,,
3:16.0,G. Hill misses 2-pt shot from 22 ft,,108-93,,
3:15.0,,,108-93,,Defensive rebound by T. Young
3:04.0,,,108-93,,D. Sloan misses 2-pt shot from 4 ft
3:02.0,Defensive rebound by L. Allen,,108-93,,
2:51.0,M. Turner misses 2-pt shot from 1 ft,,108-93,,
2:50.0,,,108-93,,Defensive rebound by W. Ellington
