time,LA Lakers,pts.away,score,pts.home,Boston
4:59.0,Defensive rebound by J. Clarkson,,13-11,,
4:49.0,Turnover by K. Bryant (bad pass; steal by K. Olynyk),,13-11,,
4:36.0,Personal foul by L. Nance (drawn by K. Olynyk),,13-11,,
4:28.0,,,13-11,,J. Crowder misses 3-pt shot from 24 ft
4:26.0,,,13-11,,Offensive rebound by J. Jerebko
4:21.0,,,13-11,,Shooting foul by L. Nance (drawn by J. Crowder)
4:21.0,,,13-12,1,J. Crowder makes free throw 1 of 2
4:21.0,J. Randle enters the game for L. Nance,,13-12,,
4:21.0,,,13-13,1,J. Crowder makes free throw 2 of 2
4:06.0,J. Randle makes 2-pt shot from 6 ft,2,15-13,,
3:53.0,,,15-13,,Shooting foul by R. Hibbert (drawn by I. Thomas)
3:53.0,,,15-14,1,I. Thomas makes free throw 1 of 2
3:53.0,N. Young enters the game for K. Bryant,,15-14,,
3:53.0,B. Bass enters the game for R. Hibbert,,15-14,,
3:53.0,,,15-14,,E. Turner enters the game for J. Sullinger
3:53.0,,,15-15,1,I. Thomas makes free throw 2 of 2
3:41.0,D. Russell misses 2-pt shot from 2 ft,,15-15,,
3:40.0,Offensive rebound by D. Russell,,15-15,,
3:40.0,D. Russell misses 2-pt shot from 2 ft,,15-15,,
3:39.0,,,15-15,,Defensive rebound by J. Crowder
3:31.0,,,15-18,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
3:14.0,J. Clarkson misses 2-pt shot from 19 ft,,15-18,,
3:13.0,,,15-18,,Defensive rebound by I. Thomas
3:02.0,,,15-18,,J. Jerebko misses 2-pt shot from 1 ft
3:01.0,,,15-18,,Offensive rebound by Team
2:58.0,,,15-20,2,E. Turner makes 2-pt shot at rim (assist by I. Thomas)
2:50.0,,,15-20,,Personal foul by E. Turner (drawn by J. Clarkson)
2:50.0,LA Lakers full timeout,,15-20,,
2:41.0,N. Young misses 3-pt shot from 26 ft,,15-20,,
2:40.0,,,15-20,,Defensive rebound by J. Jerebko
2:23.0,,,15-22,2,I. Thomas makes 2-pt shot at rim (assist by E. Turner)
2:23.0,,,15-22,,Shooting foul by D. Russell (drawn by I. Thomas)
2:23.0,,,15-23,1,I. Thomas makes free throw 1 of 1
2:09.0,J. Randle misses 2-pt shot from 1 ft,,15-23,,
2:08.0,Offensive rebound by J. Randle,,15-23,,
2:07.0,Shooting foul by J. Jerebko (drawn by J. Randle),,15-23,,
2:07.0,J. Randle misses free throw 1 of 2,,15-23,,
2:07.0,Offensive rebound by Team,,15-23,,
2:07.0,,,15-23,,J. Young enters the game for I. Thomas
2:07.0,J. Randle makes free throw 2 of 2,1,16-23,,
1:53.0,,,16-23,,E. Turner misses 2-pt shot from 15 ft
1:52.0,Defensive rebound by J. Randle,,16-23,,
1:46.0,N. Young makes 3-pt shot from 22 ft (assist by D. Russell),3,19-23,,
1:32.0,,,19-23,,J. Crowder misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by J. Randle,,19-23,,
1:21.0,J. Clarkson misses 2-pt shot from 2 ft,,19-23,,
1:20.0,Offensive rebound by B. Bass,,19-23,,
1:19.0,B. Bass makes 2-pt shot at rim,2,21-23,,
1:19.0,Shooting foul by K. Olynyk (drawn by B. Bass),,21-23,,
1:19.0,B. Bass makes free throw 1 of 1,1,22-23,,
1:04.0,,,22-25,2,E. Turner makes 2-pt shot from 2 ft
0:51.0,J. Clarkson makes 2-pt shot from 1 ft (assist by D. Russell),2,24-25,,
0:51.0,Shooting foul by J. Young (drawn by J. Clarkson),,24-25,,
0:51.0,,,24-25,,A. Bradley enters the game for J. Crowder
0:51.0,,,24-25,,D. Lee enters the game for J. Jerebko
0:51.0,J. Clarkson misses free throw 1 of 1,,24-25,,
0:51.0,,,24-25,,Defensive rebound by D. Lee
0:33.0,,,24-27,2,J. Young makes 2-pt shot from 3 ft (assist by E. Turner)
0:25.0,N. Young misses 2-pt shot from 15 ft,,24-27,,
0:24.0,Offensive rebound by J. Randle,,24-27,,
0:03.0,J. Randle misses 2-pt shot from 22 ft,,24-27,,
0:02.0,,,24-27,,Defensive rebound by K. Olynyk
0:00.0,,,24-27,,D. Lee misses 3-pt shot from 39 ft
0:00.0,,,24-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Randle makes 2-pt shot at rim (assist by D. Russell),2,26-27,,
11:34.0,,,26-27,,D. Lee misses 2-pt shot from 3 ft
11:33.0,Defensive rebound by J. Randle,,26-27,,
11:25.0,Shooting foul by J. Young (drawn by L. Williams),,26-27,,
11:25.0,L. Williams makes free throw 1 of 2,1,27-27,,
11:25.0,L. Williams makes free throw 2 of 2,1,28-27,,
11:16.0,,,28-29,2,A. Bradley makes 2-pt shot from 19 ft (assist by K. Olynyk)
11:01.0,D. Russell makes 2-pt shot at rim,2,30-29,,
10:48.0,,,30-31,2,K. Olynyk makes 2-pt shot at rim (assist by E. Turner)
10:29.0,J. Randle misses 2-pt shot at rim,,30-31,,
10:28.0,,,30-31,,Defensive rebound by J. Young
10:19.0,,,30-34,3,A. Bradley makes 3-pt shot from 25 ft (assist by K. Olynyk)
10:06.0,,,30-34,,Personal foul by J. Young
10:06.0,K. Bryant enters the game for N. Young,,30-34,,
10:06.0,,,30-34,,A. Johnson enters the game for K. Olynyk
10:01.0,D. Russell makes 3-pt shot from 24 ft (assist by B. Bass),3,33-34,,
9:48.0,,,33-34,,A. Bradley misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by B. Bass,,33-34,,
9:38.0,D. Russell makes 2-pt shot from 19 ft,2,35-34,,
9:27.0,,,35-34,,A. Bradley misses 3-pt shot from 23 ft
9:26.0,Defensive rebound by J. Randle,,35-34,,
9:15.0,D. Russell makes 2-pt shot at rim (assist by L. Williams),2,37-34,,
9:15.0,,,37-34,,Boston full timeout
9:15.0,L. Nance enters the game for J. Randle,,37-34,,
8:59.0,,,37-37,3,J. Young makes 3-pt shot from 25 ft (assist by E. Turner)
8:39.0,L. Williams makes 2-pt shot from 21 ft (assist by B. Bass),2,39-37,,
8:21.0,,,39-37,,J. Young misses 2-pt shot from 15 ft
8:20.0,Defensive rebound by B. Bass,,39-37,,
8:14.0,D. Russell misses 3-pt shot from 24 ft,,39-37,,
8:13.0,Offensive rebound by L. Nance,,39-37,,
8:08.0,K. Bryant misses 2-pt shot from 18 ft,,39-37,,
8:07.0,,,39-37,,Defensive rebound by D. Lee
7:54.0,,,39-37,,A. Bradley misses 2-pt shot from 19 ft
7:53.0,Defensive rebound by D. Russell,,39-37,,
7:28.0,D. Russell misses 3-pt shot from 26 ft,,39-37,,
7:27.0,,,39-37,,Defensive rebound by D. Lee
7:20.0,,,39-37,,Turnover by D. Lee (bad pass; steal by L. Williams)
7:16.0,L. Williams makes 2-pt shot at rim,2,41-37,,
7:07.0,,,41-37,,J. Young misses 3-pt shot from 23 ft
7:06.0,,,41-37,,Offensive rebound by Team
7:06.0,J. Randle enters the game for L. Nance,,41-37,,
6:59.0,,,41-37,,E. Turner misses 2-pt shot from 14 ft
6:57.0,Defensive rebound by D. Russell,,41-37,,
6:53.0,B. Bass makes 2-pt shot at rim (assist by K. Bryant),2,43-37,,
6:42.0,,,43-39,2,D. Lee makes 2-pt shot from 18 ft (assist by E. Turner)
6:20.0,K. Bryant misses 2-pt shot from 4 ft (block by D. Lee),,43-39,,
6:19.0,,,43-39,,Defensive rebound by A. Bradley
6:17.0,,,43-39,,Turnover by E. Turner (lost ball)
6:17.0,R. Hibbert enters the game for B. Bass,,43-39,,
6:17.0,,,43-39,,J. Crowder enters the game for J. Young
6:17.0,,,43-39,,J. Sullinger enters the game for D. Lee
6:02.0,K. Bryant misses 2-pt shot from 20 ft,,43-39,,
6:01.0,,,43-39,,Defensive rebound by E. Turner
5:49.0,,,43-39,,E. Turner misses 2-pt shot from 6 ft
5:48.0,,,43-39,,Offensive rebound by E. Turner
5:47.0,,,43-39,,E. Turner misses 2-pt shot from 8 ft (block by R. Hibbert)
5:46.0,Defensive rebound by Team,,43-39,,
5:46.0,Official timeout,,43-39,,
5:46.0,,,43-39,,I. Thomas enters the game for E. Turner
5:23.0,J. Randle makes 2-pt shot from 1 ft,2,45-39,,
4:58.0,,,45-41,2,J. Sullinger makes 2-pt shot from 6 ft (assist by J. Crowder)
4:41.0,L. Williams makes 2-pt shot from 1 ft (assist by J. Randle),2,47-41,,
4:23.0,,,47-44,3,J. Sullinger makes 3-pt shot from 25 ft (assist by I. Thomas)
4:02.0,J. Randle misses 2-pt shot from 21 ft,,47-44,,
4:02.0,Offensive rebound by R. Hibbert,,47-44,,
3:57.0,K. Bryant makes 2-pt shot at rim (assist by R. Hibbert),2,49-44,,
3:48.0,,,49-44,,A. Bradley misses 3-pt shot from 26 ft
3:45.0,Defensive rebound by K. Bryant,,49-44,,
3:33.0,K. Bryant makes 2-pt shot from 2 ft,2,51-44,,
3:23.0,J. Clarkson enters the game for D. Russell,,51-44,,
3:23.0,,,51-44,,K. Olynyk enters the game for A. Johnson
3:23.0,,,51-44,,M. Smart enters the game for A. Bradley
3:18.0,,,51-44,,Turnover by J. Sullinger (traveling)
3:04.0,K. Bryant misses 3-pt shot from 25 ft,,51-44,,
3:04.0,,,51-44,,Defensive rebound by I. Thomas
2:58.0,,,51-46,2,I. Thomas makes 2-pt shot at rim (assist by M. Smart)
2:43.0,J. Randle makes 2-pt shot at rim,2,53-46,,
2:36.0,Personal block foul by J. Randle (drawn by I. Thomas),,53-46,,
2:36.0,LA Lakers full timeout,,53-46,,
2:30.0,,,53-46,,M. Smart misses 2-pt shot from 9 ft
2:29.0,Defensive rebound by K. Bryant,,53-46,,
2:20.0,K. Bryant misses 2-pt shot from 7 ft,,53-46,,
2:19.0,,,53-46,,Defensive rebound by J. Sullinger
2:11.0,,,53-48,2,M. Smart makes 2-pt shot at rim
1:56.0,Turnover by K. Bryant (bad pass; steal by J. Crowder),,53-48,,
1:52.0,,,53-48,,Shooting foul by L. Williams (drawn by I. Thomas)
1:52.0,,,53-49,1,I. Thomas makes free throw 1 of 2
1:52.0,,,53-50,1,I. Thomas makes free throw 2 of 2
1:29.0,J. Randle misses 2-pt shot from 8 ft,,53-50,,
1:28.0,,,53-50,,Defensive rebound by M. Smart
1:17.0,,,53-50,,K. Olynyk misses 2-pt shot from 1 ft
1:16.0,,,53-50,,Offensive rebound by K. Olynyk
1:13.0,,,53-50,,M. Smart misses 3-pt shot from 25 ft
1:12.0,,,53-50,,Offensive rebound by J. Sullinger
1:07.0,,,53-53,3,K. Olynyk makes 3-pt shot from 25 ft (assist by I. Thomas)
0:44.0,J. Clarkson makes 2-pt shot from 21 ft,2,55-53,,
0:39.0,,,55-53,,I. Thomas misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by J. Randle,,55-53,,
0:31.0,,,55-53,,Personal foul by K. Olynyk (drawn by R. Hibbert)
0:31.0,,,55-53,,J. Jerebko enters the game for K. Olynyk
0:15.0,J. Randle makes 3-pt shot from 24 ft (assist by K. Bryant),3,58-53,,
0:15.0,,,58-53,,Boston full timeout
0:15.0,,,58-53,,K. Olynyk enters the game for J. Jerebko
0:15.0,,,58-53,,A. Bradley enters the game for M. Smart
0:15.0,B. Bass enters the game for R. Hibbert,,58-53,,
0:05.0,,,58-56,3,J. Crowder makes 3-pt shot from 26 ft (assist by K. Olynyk)
0:01.0,Turnover by J. Randle (lost ball),,58-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,R. Hibbert misses 2-pt shot from 1 ft,,58-56,,
11:40.0,,,58-56,,Defensive rebound by J. Sullinger
11:20.0,,,58-56,,J. Sullinger misses 2-pt shot from 19 ft
11:19.0,Defensive rebound by K. Bryant,,58-56,,
11:04.0,L. Williams makes 2-pt shot from 18 ft (assist by L. Nance),2,60-56,,
10:47.0,,,60-56,,J. Crowder misses 3-pt shot from 26 ft
10:46.0,Defensive rebound by L. Nance,,60-56,,
10:45.0,,,60-56,,Personal foul by K. Olynyk (drawn by L. Nance)
10:33.0,Turnover by K. Bryant (bad pass; steal by J. Crowder),,60-56,,
10:33.0,Personal foul by L. Nance (drawn by J. Crowder),,60-56,,
10:24.0,,,60-56,,Shooting foul by L. Nance (drawn by J. Crowder)
10:24.0,,,60-57,1,J. Crowder makes free throw 1 of 2
10:24.0,,,60-58,1,J. Crowder makes free throw 2 of 2
10:03.0,J. Clarkson makes 2-pt shot from 20 ft,2,62-58,,
9:45.0,,,62-60,2,I. Thomas makes 2-pt shot from 18 ft
9:26.0,J. Clarkson misses 2-pt shot from 1 ft,,62-60,,
9:25.0,,,62-60,,Defensive rebound by J. Sullinger
9:16.0,,,62-62,2,A. Bradley makes 2-pt shot at rim (assist by I. Thomas)
8:52.0,R. Hibbert misses 2-pt shot from 5 ft,,62-62,,
8:51.0,,,62-62,,Defensive rebound by J. Sullinger
8:44.0,,,62-65,3,I. Thomas makes 3-pt shot from 24 ft
8:33.0,R. Hibbert misses 2-pt shot from 5 ft (block by K. Olynyk),,62-65,,
8:32.0,,,62-65,,Defensive rebound by K. Olynyk
8:24.0,,,62-65,,J. Sullinger misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by K. Bryant,,62-65,,
8:08.0,K. Bryant misses 2-pt shot from 15 ft,,62-65,,
8:07.0,,,62-65,,Defensive rebound by J. Crowder
8:01.0,,,62-65,,Turnover by A. Bradley (bad pass; steal by L. Williams)
7:57.0,L. Williams makes 2-pt shot at rim,2,64-65,,
7:36.0,,,64-65,,Shooting foul by R. Hibbert (drawn by J. Sullinger)
7:36.0,,,64-65,,J. Sullinger misses free throw 1 of 2
7:36.0,,,64-65,,Offensive rebound by Team
7:36.0,,,64-65,,J. Sullinger misses free throw 2 of 2
7:36.0,Defensive rebound by K. Bryant,,64-65,,
7:27.0,Offensive foul by R. Hibbert,,64-65,,
7:27.0,Turnover by R. Hibbert (offensive foul),,64-65,,
7:20.0,,,64-65,,Offensive foul by I. Thomas
7:20.0,,,64-65,,Turnover by I. Thomas (offensive foul)
7:07.0,L. Nance misses 2-pt shot from 17 ft,,64-65,,
7:06.0,Offensive rebound by R. Hibbert,,64-65,,
6:48.0,L. Nance makes 2-pt shot from 17 ft (assist by J. Clarkson),2,66-65,,
6:37.0,,,66-65,,I. Thomas misses 2-pt shot from 6 ft
6:36.0,Defensive rebound by K. Bryant,,66-65,,
6:19.0,K. Bryant makes 2-pt shot at rim,2,68-65,,
6:00.0,,,68-65,,A. Bradley misses 2-pt shot from 22 ft
5:59.0,,,68-65,,Offensive rebound by J. Crowder
5:56.0,,,68-65,,J. Crowder misses 3-pt shot from 24 ft
5:56.0,Defensive rebound by L. Nance,,68-65,,
5:51.0,L. Williams makes 2-pt shot from 7 ft (assist by L. Nance),2,70-65,,
5:51.0,,,70-65,,Boston full timeout
5:51.0,D. Russell enters the game for L. Williams,,70-65,,
5:36.0,,,70-67,2,J. Sullinger makes 2-pt shot from 2 ft (assist by A. Bradley)
5:10.0,J. Clarkson makes 2-pt shot at rim,2,72-67,,
4:54.0,,,72-67,,K. Olynyk misses 2-pt shot from 13 ft
4:53.0,Defensive rebound by D. Russell,,72-67,,
4:44.0,Turnover by D. Russell (lost ball; steal by A. Bradley),,72-67,,
4:39.0,,,72-67,,A. Bradley misses 2-pt shot from 1 ft
4:38.0,,,72-67,,Offensive rebound by J. Crowder
4:38.0,,,72-67,,J. Crowder misses 2-pt shot at rim
4:37.0,Defensive rebound by L. Nance,,72-67,,
4:27.0,,,72-67,,Def 3 sec tech foul by K. Olynyk
4:27.0,J. Clarkson makes technical free throw,1,73-67,,
4:27.0,,,73-67,,A. Johnson enters the game for K. Olynyk
4:27.0,,,73-67,,E. Turner enters the game for A. Bradley
4:27.0,N. Young enters the game for K. Bryant,,73-67,,
4:27.0,J. Randle enters the game for L. Nance,,73-67,,
4:22.0,D. Russell misses 2-pt shot from 1 ft (block by J. Sullinger),,73-67,,
4:21.0,Offensive rebound by Team,,73-67,,
4:16.0,J. Clarkson makes 3-pt shot from 26 ft (assist by J. Randle),3,76-67,,
4:00.0,,,76-67,,I. Thomas misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by R. Hibbert,,76-67,,
3:55.0,Shooting foul by J. Crowder (drawn by J. Clarkson),,76-67,,
3:55.0,J. Clarkson makes free throw 1 of 2,1,77-67,,
3:55.0,J. Clarkson makes free throw 2 of 2,1,78-67,,
3:36.0,,,78-69,2,I. Thomas makes 2-pt shot from 6 ft (assist by J. Sullinger)
3:11.0,N. Young makes 3-pt shot from 24 ft (assist by J. Randle),3,81-69,,
3:01.0,,,81-69,,Turnover by I. Thomas (lost ball)
3:01.0,,,81-69,,M. Smart enters the game for J. Crowder
2:46.0,N. Young makes 2-pt shot from 15 ft,2,83-69,,
2:38.0,,,83-69,,Shooting foul by R. Hibbert (drawn by E. Turner)
2:38.0,,,83-71,2,E. Turner makes 2-pt shot from 13 ft
2:38.0,LA Lakers full timeout,,83-71,,
2:38.0,B. Bass enters the game for R. Hibbert,,83-71,,
2:38.0,,,83-71,,J. Jerebko enters the game for J. Sullinger
2:38.0,,,83-72,1,E. Turner makes free throw 1 of 1
2:23.0,D. Russell misses 3-pt shot from 28 ft,,83-72,,
2:22.0,,,83-72,,Defensive rebound by A. Johnson
2:06.0,,,83-72,,Turnover by I. Thomas (bad pass; steal by D. Russell)
2:04.0,,,83-72,,Personal take foul by J. Jerebko (drawn by D. Russell)
1:47.0,Shooting foul by J. Jerebko (drawn by J. Randle),,83-72,,
1:47.0,J. Randle makes free throw 1 of 2,1,84-72,,
1:47.0,J. Randle misses free throw 2 of 2,,84-72,,
1:47.0,,,84-72,,Defensive rebound by J. Jerebko
1:29.0,,,84-74,2,E. Turner makes 2-pt shot from 1 ft
1:15.0,N. Young misses 2-pt shot from 15 ft,,84-74,,
1:14.0,,,84-74,,Defensive rebound by J. Jerebko
1:03.0,,,84-74,,M. Smart misses 2-pt shot from 1 ft
1:02.0,Defensive rebound by B. Bass,,84-74,,
0:54.0,D. Russell makes 2-pt shot from 2 ft (assist by J. Clarkson),2,86-74,,
0:35.0,,,86-76,2,J. Jerebko makes 2-pt shot at rim (assist by E. Turner)
0:28.0,D. Russell misses 3-pt shot from 25 ft,,86-76,,
0:27.0,,,86-76,,Defensive rebound by A. Johnson
0:07.0,,,86-76,,E. Turner misses 2-pt shot from 15 ft
0:06.0,,,86-76,,Offensive rebound by M. Smart
0:06.0,,,86-78,2,M. Smart makes 2-pt shot at rim
0:01.0,D. Russell makes 3-pt shot from 25 ft,3,89-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Personal foul by J. Clarkson (drawn by M. Smart),,89-78,,
11:43.0,Personal foul by B. Bass (drawn by A. Johnson),,89-78,,
11:37.0,,,89-80,2,E. Turner makes 2-pt shot from 1 ft
11:18.0,J. Clarkson makes 2-pt shot from 18 ft (assist by J. Randle),2,91-80,,
11:08.0,,,91-80,,J. Jerebko misses 2-pt shot from 7 ft
11:07.0,Defensive rebound by D. Russell,,91-80,,
10:54.0,J. Randle misses 2-pt shot from 10 ft,,91-80,,
10:53.0,,,91-80,,Defensive rebound by A. Johnson
10:44.0,,,91-80,,M. Smart misses 3-pt shot from 24 ft
10:43.0,Defensive rebound by B. Bass,,91-80,,
10:35.0,Turnover by D. Russell (lost ball; steal by M. Smart),,91-80,,
10:31.0,,,91-80,,Shooting foul by B. Bass (drawn by J. Jerebko)
10:31.0,,,91-81,1,J. Jerebko makes free throw 1 of 2
10:31.0,L. Williams enters the game for J. Clarkson,,91-81,,
10:31.0,,,91-81,,J. Jerebko misses free throw 2 of 2
10:31.0,Defensive rebound by J. Randle,,91-81,,
10:09.0,D. Russell makes 2-pt shot from 19 ft,2,93-81,,
9:57.0,,,93-81,,E. Turner misses 2-pt shot from 11 ft
9:56.0,Defensive rebound by L. Williams,,93-81,,
9:56.0,,,93-81,,Personal foul by J. Jerebko
9:56.0,,,93-81,,D. Lee enters the game for A. Johnson
9:56.0,,,93-81,,J. Crowder enters the game for J. Jerebko
9:44.0,L. Williams misses 2-pt shot from 2 ft (block by D. Lee),,93-81,,
9:43.0,Offensive rebound by L. Williams,,93-81,,
9:41.0,J. Randle misses 2-pt shot from 2 ft,,93-81,,
9:41.0,,,93-81,,Defensive rebound by Team
9:41.0,Loose ball foul by J. Randle (drawn by D. Lee),,93-81,,
9:30.0,,,93-81,,J. Crowder misses 3-pt shot from 26 ft
9:29.0,Defensive rebound by J. Randle,,93-81,,
9:11.0,D. Russell misses 3-pt shot from 25 ft,,93-81,,
9:10.0,,,93-81,,Defensive rebound by E. Turner
9:02.0,,,93-81,,J. Crowder misses 2-pt shot from 3 ft
9:02.0,Defensive rebound by J. Randle,,93-81,,
8:52.0,D. Russell misses 2-pt shot from 1 ft,,93-81,,
8:51.0,Offensive rebound by J. Randle,,93-81,,
8:50.0,J. Randle misses 2-pt shot at rim (block by M. Smart),,93-81,,
8:50.0,,,93-81,,Defensive rebound by Team
8:50.0,Official timeout,,93-81,,
8:50.0,Jump ball: J. Randle vs. M. Smart (D. Lee gains possession),,,,Jump ball: J. Randle vs. M. Smart (D. Lee gains possession)
8:32.0,,,93-83,2,E. Turner makes 2-pt shot at rim
8:08.0,J. Randle misses 2-pt shot from 10 ft,,93-83,,
8:07.0,,,93-83,,Defensive rebound by Team
7:55.0,,,93-85,2,E. Turner makes 2-pt shot from 17 ft
7:34.0,B. Bass misses 2-pt shot from 16 ft,,93-85,,
7:32.0,,,93-85,,Defensive rebound by D. Lee
7:26.0,,,93-87,2,E. Turner makes 2-pt shot from 1 ft
7:23.0,LA Lakers full timeout,,93-87,,
7:23.0,,,93-87,,I. Thomas enters the game for M. Smart
7:23.0,K. Bryant enters the game for N. Young,,93-87,,
7:11.0,Shooting foul by E. Turner (drawn by K. Bryant),,93-87,,
7:11.0,K. Bryant makes free throw 1 of 2,1,94-87,,
7:11.0,K. Bryant makes free throw 2 of 2,1,95-87,,
6:53.0,,,95-89,2,D. Lee makes 2-pt shot at rim (assist by E. Turner)
6:40.0,K. Bryant makes 3-pt shot from 26 ft,3,98-89,,
6:25.0,,,98-89,,I. Thomas misses 2-pt shot from 10 ft (block by D. Russell)
6:24.0,Defensive rebound by J. Randle,,98-89,,
6:21.0,J. Randle makes 2-pt shot at rim,2,100-89,,
6:08.0,,,100-89,,Shooting foul by B. Bass (drawn by E. Turner)
6:08.0,,,100-90,1,E. Turner makes free throw 1 of 2
6:08.0,,,100-91,1,E. Turner makes free throw 2 of 2
5:44.0,J. Randle misses 2-pt shot from 8 ft,,100-91,,
5:43.0,,,100-91,,Defensive rebound by A. Bradley
5:26.0,,,100-93,2,D. Lee makes 2-pt shot from 6 ft
5:06.0,D. Russell misses 2-pt shot from 7 ft,,100-93,,
5:06.0,Offensive rebound by D. Russell,,100-93,,
4:52.0,B. Bass misses 2-pt shot from 6 ft,,100-93,,
4:51.0,,,100-93,,Defensive rebound by E. Turner
4:34.0,,,100-93,,Shooting foul by J. Randle (drawn by E. Turner)
