time,Cleveland,pts.away,score,pts.home,Brooklyn
6:52.0,,,8-10,2,B. Lopez makes 2-pt shot from 3 ft
6:52.0,,,8-10,,Shooting foul by T. Mozgov (drawn by B. Lopez)
6:52.0,,,8-10,,B. Lopez misses free throw 1 of 1
6:51.0,Defensive rebound by K. Love,,8-10,,
6:39.0,Turnover by L. James (bad pass; steal by W. Ellington),,8-10,,
6:34.0,,,8-10,,W. Ellington misses 2-pt shot from 1 ft
6:33.0,Defensive rebound by J. Smith,,8-10,,
6:27.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,11-10,,
6:11.0,,,11-10,,B. Lopez misses 2-pt shot from 10 ft
6:10.0,,,11-10,,Offensive rebound by B. Lopez
6:01.0,,,11-13,3,J. Johnson makes 3-pt shot from 25 ft (assist by D. Sloan)
5:57.0,Cleveland full timeout,,11-13,,
5:52.0,K. Love makes 2-pt shot at rim (assist by L. James),2,13-13,,
5:36.0,,,13-13,,Turnover by D. Sloan (bad pass)
5:28.0,Turnover by L. James (bad pass; steal by D. Sloan),,13-13,,
5:25.0,,,13-15,2,D. Sloan makes 2-pt shot from 2 ft
5:09.0,T. Mozgov misses 2-pt shot from 2 ft,,13-15,,
5:08.0,Offensive rebound by T. Mozgov,,13-15,,
5:02.0,T. Mozgov makes 2-pt shot from 2 ft,2,15-15,,
4:42.0,,,15-15,,J. Johnson misses 2-pt shot from 19 ft
4:41.0,Defensive rebound by K. Love,,15-15,,
4:37.0,,,15-15,,Personal foul by J. Johnson (drawn by T. Mozgov)
4:37.0,M. Dellavedova enters the game for K. Irving,,15-15,,
4:37.0,T. Thompson enters the game for T. Mozgov,,15-15,,
4:29.0,J. Smith misses 2-pt shot from 16 ft,,15-15,,
4:28.0,,,15-15,,Defensive rebound by D. Sloan
4:20.0,,,15-15,,D. Sloan misses 2-pt shot from 18 ft
4:19.0,Defensive rebound by K. Love,,15-15,,
4:08.0,L. James makes 2-pt shot from 1 ft,2,17-15,,
3:48.0,,,17-15,,W. Ellington misses 3-pt shot from 24 ft
3:47.0,Defensive rebound by K. Love,,17-15,,
3:40.0,J. Smith misses 2-pt shot from 2 ft (block by W. Ellington),,17-15,,
3:39.0,,,17-15,,Defensive rebound by Team
3:25.0,,,17-15,,D. Sloan misses 3-pt shot from 24 ft
3:24.0,,,17-15,,Offensive rebound by B. Lopez
3:14.0,,,17-15,,Turnover by D. Sloan (bad pass; steal by K. Love)
3:10.0,L. James makes 2-pt shot at rim (assist by T. Thompson),2,19-15,,
3:00.0,,,19-15,,Brooklyn full timeout
3:00.0,,,19-15,,S. Larkin enters the game for D. Sloan
2:47.0,,,19-15,,Turnover by B. Lopez (bad pass; steal by L. James)
2:44.0,L. James makes 2-pt shot from 2 ft,2,21-15,,
2:33.0,Personal foul by M. Dellavedova (drawn by B. Lopez),,21-15,,
2:33.0,,,21-15,,B. Bogdanovic enters the game for W. Ellington
2:33.0,I. Shumpert enters the game for J. Smith,,21-15,,
2:23.0,,,21-15,,B. Lopez misses 2-pt shot from 9 ft
2:22.0,Defensive rebound by L. James,,21-15,,
2:03.0,I. Shumpert misses 2-pt shot from 12 ft,,21-15,,
2:02.0,Offensive rebound by T. Thompson,,21-15,,
1:51.0,I. Shumpert misses 2-pt shot from 18 ft,,21-15,,
1:50.0,,,21-15,,Defensive rebound by B. Lopez
1:31.0,,,21-15,,S. Larkin misses 2-pt shot from 2 ft
1:30.0,Defensive rebound by K. Love,,21-15,,
1:21.0,M. Dellavedova makes 2-pt shot from 23 ft,2,23-15,,
1:10.0,,,23-17,2,T. Young makes 2-pt shot at rim (assist by J. Johnson)
0:46.0,L. James misses 2-pt shot from 20 ft,,23-17,,
0:46.0,,,23-17,,Defensive rebound by B. Bogdanovic
0:35.0,J. Jones enters the game for K. Love,,23-17,,
0:35.0,R. Jefferson enters the game for L. James,,23-17,,
0:35.0,,,23-17,,W. Reed enters the game for B. Lopez
0:28.0,,,23-17,,J. Johnson misses 2-pt shot from 11 ft
0:26.0,Defensive rebound by T. Thompson,,23-17,,
0:08.0,,,23-17,,Personal foul by S. Larkin (drawn by M. Dellavedova)
0:03.0,J. Jones misses 3-pt shot from 24 ft,,23-17,,
0:01.0,,,23-17,,Defensive rebound by J. Johnson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,23-17,,S. Larkin misses 2-pt shot from 11 ft
11:48.0,Defensive rebound by K. Irving,,23-17,,
11:26.0,R. Jefferson makes 3-pt shot from 24 ft,3,26-17,,
11:11.0,Personal foul by R. Jefferson (drawn by B. Bogdanovic),,26-17,,
10:57.0,,,26-20,3,B. Bogdanovic makes 3-pt shot from 29 ft (assist by S. Larkin)
10:45.0,K. Irving makes 2-pt shot from 19 ft,2,28-20,,
10:24.0,,,28-20,,B. Bogdanovic misses 2-pt shot from 7 ft
10:23.0,,,28-20,,Offensive rebound by W. Reed
10:15.0,,,28-20,,B. Bogdanovic misses 3-pt shot from 26 ft
10:14.0,Defensive rebound by Team,,28-20,,
9:52.0,R. Jefferson misses 3-pt shot from 23 ft,,28-20,,
9:51.0,,,28-20,,Defensive rebound by A. Bargnani
9:34.0,,,28-22,2,S. Larkin makes 2-pt shot from 17 ft
9:20.0,T. Thompson misses 2-pt shot from 6 ft,,28-22,,
9:19.0,,,28-22,,Defensive rebound by W. Reed
9:08.0,,,28-24,2,A. Bargnani makes 2-pt shot from 20 ft (assist by S. Larkin)
8:57.0,K. Irving misses 2-pt shot from 1 ft (block by W. Reed),,28-24,,
8:56.0,Offensive rebound by Team,,28-24,,
8:56.0,Official timeout,,28-24,,
8:56.0,K. Love enters the game for J. Jones,,28-24,,
8:46.0,K. Love misses 2-pt shot from 21 ft,,28-24,,
8:45.0,Offensive rebound by I. Shumpert,,28-24,,
8:32.0,K. Love misses 2-pt shot from 16 ft,,28-24,,
8:30.0,,,28-24,,Defensive rebound by S. Karasev
8:18.0,,,28-24,,S. Larkin misses 2-pt shot from 19 ft
8:17.0,Defensive rebound by K. Love,,28-24,,
8:08.0,K. Irving makes 2-pt shot from 6 ft,2,30-24,,
7:54.0,,,30-24,,A. Bargnani misses 2-pt shot from 20 ft
7:53.0,Defensive rebound by T. Thompson,,30-24,,
7:43.0,K. Love misses 3-pt shot from 24 ft,,30-24,,
7:42.0,,,30-24,,Defensive rebound by S. Karasev
7:34.0,,,30-24,,B. Bogdanovic misses 2-pt shot from 7 ft (block by I. Shumpert)
7:32.0,Defensive rebound by Team,,30-24,,
7:16.0,K. Love makes 2-pt shot from 1 ft (assist by K. Irving),2,32-24,,
6:57.0,,,32-26,2,W. Reed makes 2-pt shot from 2 ft (assist by S. Larkin)
6:50.0,,,32-26,,Personal foul by S. Larkin (drawn by K. Irving)
6:50.0,,,32-26,,B. Lopez enters the game for W. Reed
6:42.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,34-26,,
6:16.0,,,34-28,2,B. Lopez makes 2-pt shot from 18 ft (assist by A. Bargnani)
6:02.0,I. Shumpert misses 2-pt shot from 5 ft,,34-28,,
6:01.0,,,34-28,,Defensive rebound by A. Bargnani
5:53.0,,,34-28,,S. Karasev misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by K. Love,,34-28,,
5:46.0,K. Irving makes 3-pt shot from 24 ft,3,37-28,,
5:38.0,,,37-28,,Brooklyn full timeout
5:38.0,L. James enters the game for R. Jefferson,,37-28,,
5:38.0,,,37-28,,W. Ellington enters the game for B. Bogdanovic
5:38.0,,,37-28,,T. Young enters the game for A. Bargnani
5:38.0,,,37-28,,J. Johnson enters the game for S. Karasev
5:21.0,,,37-28,,B. Lopez misses 2-pt shot from 11 ft
5:20.0,Defensive rebound by K. Love,,37-28,,
5:00.0,T. Thompson misses 2-pt shot from 1 ft,,37-28,,
4:59.0,Offensive rebound by T. Thompson,,37-28,,
4:58.0,T. Thompson makes 2-pt shot from 2 ft,2,39-28,,
4:43.0,,,39-28,,S. Larkin misses 3-pt shot from 23 ft
4:42.0,Defensive rebound by I. Shumpert,,39-28,,
4:33.0,,,39-28,,Personal foul by T. Young (drawn by K. Love)
4:33.0,K. Love makes free throw 1 of 2,1,40-28,,
4:33.0,,,40-28,,D. Sloan enters the game for S. Larkin
4:33.0,M. Dellavedova enters the game for K. Irving,,40-28,,
4:33.0,T. Mozgov enters the game for T. Thompson,,40-28,,
4:33.0,K. Love makes free throw 2 of 2,1,41-28,,
4:21.0,Personal foul by M. Dellavedova (drawn by D. Sloan),,41-28,,
4:06.0,,,41-30,2,T. Young makes 2-pt shot from 17 ft
3:46.0,,,41-30,,Personal foul by W. Ellington (drawn by I. Shumpert)
3:46.0,I. Shumpert misses free throw 1 of 2,,41-30,,
3:46.0,Offensive rebound by Team,,41-30,,
3:46.0,I. Shumpert makes free throw 2 of 2,1,42-30,,
3:33.0,,,42-30,,T. Young misses 2-pt shot from 19 ft
3:32.0,Defensive rebound by I. Shumpert,,42-30,,
3:27.0,,,42-30,,Personal foul by B. Lopez (drawn by T. Mozgov)
3:27.0,T. Mozgov makes free throw 1 of 2,1,43-30,,
3:27.0,J. Smith enters the game for I. Shumpert,,43-30,,
3:27.0,T. Mozgov misses free throw 2 of 2,,43-30,,
3:26.0,,,43-30,,Defensive rebound by T. Young
3:07.0,,,43-32,2,D. Sloan makes 2-pt shot from 19 ft
2:57.0,Shooting foul by T. Young (drawn by L. James),,43-32,,
2:57.0,Cleveland full timeout,,43-32,,
2:57.0,L. James misses free throw 1 of 2,,43-32,,
2:57.0,Offensive rebound by Team,,43-32,,
2:57.0,L. James makes free throw 2 of 2,1,44-32,,
2:41.0,,,44-32,,T. Young misses 3-pt shot from 23 ft
2:40.0,,,44-32,,Offensive rebound by T. Young
2:38.0,,,44-34,2,T. Young makes 2-pt shot from 5 ft
2:20.0,L. James makes 2-pt shot from 2 ft,2,46-34,,
2:04.0,,,46-34,,J. Johnson misses 2-pt shot from 8 ft
2:03.0,Defensive rebound by K. Love,,46-34,,
2:02.0,,,46-34,,Personal foul by B. Lopez (drawn by K. Love)
2:02.0,K. Love misses free throw 1 of 2,,46-34,,
2:02.0,Offensive rebound by Team,,46-34,,
2:02.0,,,46-34,,W. Reed enters the game for B. Lopez
2:02.0,,,46-34,,B. Bogdanovic enters the game for W. Ellington
2:02.0,K. Love makes free throw 2 of 2,1,47-34,,
1:44.0,,,47-34,,D. Sloan misses 2-pt shot from 2 ft
1:43.0,Defensive rebound by K. Love,,47-34,,
1:32.0,Turnover by K. Love (bad pass; steal by B. Bogdanovic),,47-34,,
1:22.0,,,47-34,,T. Young misses 2-pt shot from 6 ft
1:21.0,Defensive rebound by Team,,47-34,,
1:21.0,,,47-34,,Loose ball foul by W. Reed (drawn by M. Dellavedova)
1:21.0,M. Dellavedova makes free throw 1 of 2,1,48-34,,
1:21.0,,,48-34,,T. Robinson enters the game for T. Young
1:21.0,M. Dellavedova makes free throw 2 of 2,1,49-34,,
1:03.0,,,49-36,2,B. Bogdanovic makes 2-pt shot from 20 ft (assist by D. Sloan)
0:43.0,K. Love makes 2-pt shot from 15 ft,2,51-36,,
0:30.0,,,51-36,,J. Johnson misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by J. Smith,,51-36,,
0:10.0,Turnover by L. James (dbl dribble),,51-36,,
0:10.0,I. Shumpert enters the game for M. Dellavedova,,51-36,,
0:01.0,,,51-36,,Shooting foul by T. Mozgov (drawn by T. Robinson)
0:01.0,,,51-37,1,T. Robinson makes free throw 1 of 2
0:01.0,,,51-38,1,T. Robinson makes free throw 2 of 2
0:00.0,I. Shumpert misses 3-pt shot from 48 ft,,51-38,,
0:00.0,Offensive rebound by Team,,51-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,51-38,,T. Young misses 2-pt shot from 6 ft
11:41.0,Defensive rebound by T. Mozgov,,51-38,,
11:32.0,T. Mozgov misses 2-pt shot from 4 ft (block by B. Lopez),,51-38,,
11:30.0,,,51-38,,Defensive rebound by W. Ellington
11:16.0,,,51-40,2,B. Lopez makes 2-pt shot from 19 ft (assist by D. Sloan)
11:05.0,Turnover by K. Irving (bad pass),,51-40,,
10:50.0,,,51-42,2,T. Young makes 2-pt shot from 1 ft (assist by D. Sloan)
10:50.0,,,51-42,,Shooting foul by K. Love (drawn by T. Young)
10:50.0,,,51-42,,T. Young misses free throw 1 of 1
10:49.0,Defensive rebound by K. Love,,51-42,,
10:40.0,Shooting foul by T. Young (drawn by K. Love),,51-42,,
10:40.0,K. Love misses free throw 1 of 2,,51-42,,
10:40.0,Offensive rebound by Team,,51-42,,
10:40.0,K. Love makes free throw 2 of 2,1,52-42,,
10:26.0,,,52-42,,B. Lopez misses 2-pt shot from 3 ft
10:25.0,Defensive rebound by K. Love,,52-42,,
10:06.0,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Irving),2,54-42,,
9:48.0,,,54-44,2,D. Sloan makes 2-pt shot from 19 ft
9:40.0,Turnover by K. Irving (lost ball),,54-44,,
9:26.0,,,54-47,3,W. Ellington makes 3-pt shot from 25 ft
9:19.0,Cleveland full timeout,,54-47,,
9:19.0,I. Shumpert enters the game for J. Smith,,54-47,,
9:01.0,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James),3,57-47,,
8:46.0,,,57-47,,D. Sloan misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by K. Love,,57-47,,
8:33.0,Shooting foul by T. Young (drawn by K. Love),,57-47,,
8:33.0,K. Love makes free throw 1 of 2,1,58-47,,
8:33.0,K. Love makes free throw 2 of 2,1,59-47,,
8:21.0,,,59-49,2,T. Young makes 2-pt shot from 6 ft
8:02.0,T. Mozgov makes 2-pt shot from 16 ft (assist by L. James),2,61-49,,
7:46.0,,,61-49,,J. Johnson misses 3-pt shot from 23 ft
7:45.0,Defensive rebound by T. Mozgov,,61-49,,
7:33.0,L. James misses 2-pt shot from 17 ft,,61-49,,
7:32.0,,,61-49,,Defensive rebound by B. Lopez
7:18.0,,,61-49,,T. Young misses 2-pt shot from 8 ft
7:17.0,Defensive rebound by K. Love,,61-49,,
7:08.0,K. Irving misses 3-pt shot from 24 ft,,61-49,,
7:06.0,,,61-49,,Defensive rebound by W. Ellington
6:48.0,,,61-49,,W. Ellington misses 2-pt shot from 17 ft
6:47.0,Defensive rebound by K. Love,,61-49,,
6:35.0,Turnover by L. James (bad pass),,61-49,,
6:35.0,,,61-49,,B. Bogdanovic enters the game for W. Ellington
6:35.0,,,61-49,,T. Robinson enters the game for T. Young
6:17.0,,,61-49,,Turnover by T. Robinson (3 sec)
6:03.0,Turnover by K. Love (traveling),,61-49,,
5:50.0,,,61-49,,Turnover by J. Johnson (bad pass)
5:34.0,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Irving),2,63-49,,
5:33.0,,,63-49,,Brooklyn full timeout
5:33.0,M. Dellavedova enters the game for K. Irving,,63-49,,
5:33.0,,,63-49,,S. Larkin enters the game for D. Sloan
5:15.0,,,63-51,2,B. Lopez makes 2-pt shot from 2 ft (assist by S. Larkin)
4:56.0,T. Mozgov misses 2-pt shot from 18 ft,,63-51,,
4:55.0,,,63-51,,Defensive rebound by B. Bogdanovic
4:41.0,,,63-53,2,T. Robinson makes 2-pt shot from 2 ft (assist by S. Larkin)
4:20.0,K. Love misses 3-pt shot from 24 ft,,63-53,,
4:19.0,Offensive rebound by T. Mozgov,,63-53,,
4:03.0,M. Dellavedova makes 2-pt shot from 21 ft (assist by I. Shumpert),2,65-53,,
3:43.0,,,65-53,,Turnover by J. Johnson (bad pass)
3:43.0,T. Thompson enters the game for T. Mozgov,,65-53,,
3:30.0,L. James makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,68-53,,
3:09.0,Personal foul by K. Love (drawn by T. Robinson),,68-53,,
3:09.0,,,68-53,,T. Robinson misses free throw 1 of 2
3:09.0,,,68-53,,Offensive rebound by Team
3:09.0,,,68-53,,M. Brown enters the game for J. Johnson
3:09.0,,,68-53,,T. Robinson misses free throw 2 of 2
3:08.0,Defensive rebound by M. Dellavedova,,68-53,,
2:56.0,K. Love misses 2-pt shot from 10 ft,,68-53,,
2:55.0,,,68-53,,Defensive rebound by B. Lopez
2:44.0,,,68-53,,M. Brown misses 2-pt shot from 19 ft
2:43.0,Defensive rebound by M. Dellavedova,,68-53,,
2:41.0,Shooting foul by M. Brown (drawn by L. James),,68-53,,
2:41.0,L. James misses free throw 1 of 2,,68-53,,
2:41.0,Offensive rebound by Team,,68-53,,
2:41.0,L. James makes free throw 2 of 2,1,69-53,,
2:30.0,,,69-53,,B. Bogdanovic misses 3-pt shot from 25 ft
2:29.0,,,69-53,,Offensive rebound by T. Robinson
2:18.0,,,69-53,,Turnover by B. Lopez (lost ball)
2:09.0,L. James misses 2-pt shot from 17 ft,,69-53,,
2:08.0,,,69-53,,Defensive rebound by T. Robinson
2:06.0,Personal foul by L. James (drawn by B. Bogdanovic),,69-53,,
2:06.0,,,69-53,,A. Bargnani enters the game for B. Lopez
1:57.0,,,69-55,2,T. Robinson makes 2-pt shot at rim (assist by S. Larkin)
1:31.0,T. Thompson makes 2-pt shot from 2 ft,2,71-55,,
1:14.0,,,71-55,,A. Bargnani misses 2-pt shot from 18 ft
1:13.0,,,71-55,,Offensive rebound by T. Robinson
1:12.0,,,71-55,,T. Robinson misses 2-pt shot from 1 ft
1:11.0,,,71-55,,Offensive rebound by T. Robinson
1:03.0,,,71-55,,T. Robinson misses 2-pt shot from 1 ft (block by I. Shumpert)
1:02.0,,,71-55,,Offensive rebound by Team
1:02.0,J. Jones enters the game for K. Love,,71-55,,
0:52.0,,,71-55,,M. Brown misses 2-pt shot from 1 ft (block by L. James)
0:51.0,,,71-55,,Offensive rebound by B. Bogdanovic
0:46.0,,,71-55,,Turnover by B. Bogdanovic (lost ball; steal by I. Shumpert)
0:45.0,,,71-55,,Personal foul by M. Brown (drawn by I. Shumpert)
0:27.0,L. James makes 2-pt shot from 16 ft,2,73-55,,
0:03.0,,,73-55,,Turnover by Team (shot clock)
0:02.0,L. James misses 2-pt shot from 21 ft,,73-55,,
0:00.0,Offensive rebound by Team,,73-55,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,J. Smith misses 2-pt shot from 1 ft (block by M. Brown),,73-55,,
11:47.0,,,73-55,,Defensive rebound by T. Robinson
11:27.0,,,73-55,,S. Larkin misses 2-pt shot from 18 ft
11:25.0,Defensive rebound by T. Thompson,,73-55,,
11:16.0,M. Dellavedova makes 2-pt shot from 13 ft,2,75-55,,
10:59.0,,,75-57,2,A. Bargnani makes 2-pt shot from 15 ft (assist by S. Larkin)
10:33.0,J. Smith misses 3-pt shot from 23 ft,,75-57,,
10:32.0,,,75-57,,Defensive rebound by T. Robinson
10:23.0,,,75-59,2,S. Larkin makes 2-pt shot from 1 ft
10:05.0,Turnover by J. Smith (bad pass),,75-59,,
9:53.0,,,75-59,,Turnover by B. Bogdanovic (lost ball; steal by I. Shumpert)
9:49.0,I. Shumpert makes 2-pt shot from 2 ft,2,77-59,,
9:44.0,,,77-59,,Brooklyn full timeout
9:20.0,,,77-59,,B. Lopez enters the game for T. Robinson
9:19.0,,,77-59,,Turnover by Team (shot clock)
8:58.0,J. Smith makes 2-pt shot from 6 ft,2,79-59,,
8:36.0,,,79-62,3,S. Larkin makes 3-pt shot from 26 ft (assist by B. Lopez)
8:16.0,J. Jones misses 3-pt shot from 24 ft,,79-62,,
8:15.0,,,79-62,,Defensive rebound by M. Brown
8:07.0,,,79-62,,M. Brown misses 3-pt shot from 26 ft
8:06.0,Defensive rebound by J. Jones,,79-62,,
7:59.0,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova),2,81-62,,
7:39.0,,,81-62,,B. Bogdanovic misses 3-pt shot from 23 ft
7:38.0,Defensive rebound by M. Dellavedova,,81-62,,
7:27.0,J. Smith makes 2-pt shot from 2 ft,2,83-62,,
7:13.0,,,83-62,,S. Larkin misses 2-pt shot from 16 ft
7:12.0,Defensive rebound by T. Thompson,,83-62,,
7:04.0,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova),2,85-62,,
7:04.0,,,85-62,,Brooklyn full timeout
7:04.0,,,85-62,,J. Johnson enters the game for M. Brown
7:04.0,,,85-62,,D. Sloan enters the game for S. Larkin
7:04.0,,,85-62,,T. Young enters the game for A. Bargnani
6:48.0,,,85-64,2,B. Lopez makes 2-pt shot from 12 ft (assist by T. Young)
6:32.0,I. Shumpert misses 3-pt shot from 22 ft,,85-64,,
6:31.0,,,85-64,,Defensive rebound by B. Lopez
6:22.0,Personal foul by J. Jones (drawn by T. Young),,85-64,,
6:22.0,M. Williams enters the game for M. Dellavedova,,85-64,,
6:08.0,,,85-66,2,B. Lopez makes 2-pt shot from 16 ft
5:49.0,M. Williams misses 2-pt shot from 9 ft,,85-66,,
5:47.0,,,85-66,,Defensive rebound by B. Lopez
5:42.0,,,85-68,2,D. Sloan makes 2-pt shot from 2 ft
5:25.0,J. Smith misses 3-pt shot from 24 ft,,85-68,,
5:24.0,,,85-68,,Defensive rebound by T. Young
5:19.0,Personal foul by J. Smith (drawn by T. Young),,85-68,,
5:19.0,Official timeout,,85-68,,
5:04.0,,,85-68,,J. Johnson misses 3-pt shot from 27 ft
5:03.0,Defensive rebound by J. Smith,,85-68,,
4:49.0,Turnover by M. Williams (lost ball),,85-68,,
4:43.0,,,85-68,,Offensive foul by T. Young
4:43.0,,,85-68,,Turnover by T. Young (offensive foul)
4:30.0,Turnover by I. Shumpert (bad pass),,85-68,,
4:17.0,,,85-68,,T. Young misses 2-pt shot from 12 ft
4:16.0,Defensive rebound by T. Thompson,,85-68,,
4:07.0,,,85-68,,Personal foul by T. Young (drawn by M. Williams)
4:07.0,,,85-68,,W. Ellington enters the game for T. Young
4:03.0,M. Williams misses 2-pt shot from 9 ft,,85-68,,
4:02.0,Offensive rebound by T. Thompson,,85-68,,
4:01.0,T. Thompson makes 2-pt shot from 2 ft,2,87-68,,
3:46.0,,,87-70,2,B. Bogdanovic makes 2-pt shot at rim (assist by D. Sloan)
3:31.0,M. Williams misses 2-pt shot from 17 ft,,87-70,,
3:30.0,,,87-70,,Defensive rebound by B. Bogdanovic
3:13.0,,,87-72,2,D. Sloan makes 2-pt shot from 2 ft
2:57.0,J. Smith misses 2-pt shot from 11 ft,,87-72,,
2:56.0,,,87-72,,Defensive rebound by B. Lopez
2:49.0,,,87-72,,B. Bogdanovic misses 3-pt shot from 22 ft
2:48.0,Defensive rebound by T. Thompson,,87-72,,
2:42.0,Cleveland full timeout,,87-72,,
2:42.0,,,87-72,,W. Reed enters the game for B. Lopez
2:42.0,,,87-72,,M. Brown enters the game for J. Johnson
2:37.0,,,87-72,,Shooting block foul by M. Brown (drawn by T. Thompson)
2:37.0,T. Thompson makes free throw 1 of 2,1,88-72,,
2:37.0,J. Cunningham enters the game for I. Shumpert,,88-72,,
2:37.0,R. Jefferson enters the game for J. Smith,,88-72,,
2:37.0,T. Thompson makes free throw 2 of 2,1,89-72,,
2:23.0,,,89-74,2,D. Sloan makes 2-pt shot from 7 ft
2:12.0,M. Williams misses 2-pt shot from 1 ft,,89-74,,
2:11.0,Offensive rebound by Team,,89-74,,
2:10.0,,,89-74,,S. Larkin enters the game for D. Sloan
2:02.0,J. Jones misses 3-pt shot from 23 ft,,89-74,,
2:01.0,,,89-74,,Defensive rebound by M. Brown
1:56.0,Personal foul by J. Cunningham (drawn by M. Brown),,89-74,,
1:51.0,,,89-74,,Shooting foul by J. Cunningham (drawn by W. Reed)
1:51.0,,,89-75,1,W. Reed makes free throw 1 of 2
1:51.0,,,89-76,1,W. Reed makes free throw 2 of 2
1:29.0,M. Williams misses 2-pt shot from 20 ft,,89-76,,
1:28.0,,,89-76,,Defensive rebound by M. Brown
1:20.0,,,89-76,,Turnover by W. Reed (bad pass; steal by J. Jones)
1:04.0,M. Williams makes 2-pt shot from 19 ft,2,91-76,,
0:48.0,,,91-78,2,W. Reed makes 2-pt shot from 7 ft
0:31.0,M. Williams misses 3-pt shot from 23 ft,,91-78,,
0:30.0,,,91-78,,Defensive rebound by B. Bogdanovic
0:19.0,,,91-78,,S. Larkin misses 3-pt shot from 24 ft
0:18.0,Defensive rebound by T. Thompson,,91-78,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
