time,Philadelphia,pts.away,score,pts.home,Orlando
8:23.0,,,6-10,,Defensive rebound by N. Vucevic
8:19.0,,,6-10,,Turnover by E. Payton (lost ball; steal by J. Okafor)
8:13.0,J. Sampson misses 2-pt shot from 1 ft,,6-10,,
8:11.0,,,6-10,,Defensive rebound by N. Vucevic
8:07.0,,,6-10,,T. Harris misses 2-pt shot at rim (block by N. Noel)
8:07.0,,,6-10,,Offensive rebound by N. Vucevic
8:07.0,,,6-12,2,N. Vucevic makes 2-pt shot at rim
8:07.0,Philadelphia full timeout,,6-12,,
7:50.0,Turnover by J. Okafor (lost ball; steal by T. Harris),,6-12,,
7:36.0,,,6-12,,Shooting foul by I. Smith (drawn by E. Payton)
7:36.0,,,6-13,1,E. Payton makes free throw 1 of 2
7:36.0,,,6-13,,E. Payton misses free throw 2 of 2
7:34.0,Defensive rebound by N. Noel,,6-13,,
7:14.0,J. Okafor makes 2-pt shot from 4 ft,2,8-13,,
6:58.0,,,8-13,,C. Frye misses 2-pt shot from 21 ft
6:57.0,Defensive rebound by R. Covington,,8-13,,
6:42.0,R. Covington misses 3-pt shot from 24 ft,,8-13,,
6:41.0,,,8-13,,Defensive rebound by N. Vucevic
6:20.0,,,8-13,,E. Fournier misses 3-pt shot from 24 ft
6:19.0,Defensive rebound by N. Noel,,8-13,,
6:05.0,R. Covington misses 3-pt shot from 26 ft,,8-13,,
6:03.0,,,8-13,,Defensive rebound by E. Payton
5:55.0,,,8-13,,T. Harris misses 3-pt shot from 22 ft
5:54.0,,,8-13,,Offensive rebound by E. Payton
5:44.0,,,8-13,,C. Frye misses 3-pt shot from 24 ft
5:42.0,,,8-13,,Offensive rebound by C. Frye
5:38.0,,,8-13,,T. Harris misses 2-pt shot at rim
5:36.0,,,8-13,,Offensive rebound by C. Frye
5:36.0,,,8-13,,C. Frye misses 2-pt shot at rim
5:34.0,Defensive rebound by N. Noel,,8-13,,
5:22.0,J. Sampson misses 3-pt shot from 23 ft,,8-13,,
5:21.0,,,8-13,,Defensive rebound by N. Vucevic
5:12.0,,,8-15,2,N. Vucevic makes 2-pt shot at rim (assist by E. Payton)
4:59.0,I. Smith makes 2-pt shot from 1 ft,2,10-15,,
4:43.0,,,10-17,2,E. Payton makes 2-pt shot from 1 ft (assist by C. Frye)
4:21.0,Turnover by R. Covington (lost ball; steal by E. Fournier),,10-17,,
4:19.0,Clear path foul by R. Covington,,10-17,,
4:19.0,J. Grant enters the game for N. Noel,,10-17,,
4:19.0,H. Thompson enters the game for J. Sampson,,10-17,,
4:19.0,,,10-17,,S. Napier enters the game for C. Frye
4:19.0,,,10-17,,A. Gordon enters the game for E. Payton
4:19.0,,,10-17,,E. Fournier misses clear path free throw 1 of 2
4:19.0,,,10-17,,Offensive rebound by Team
4:19.0,,,10-18,1,E. Fournier makes clear path free throw 2 of 2
4:19.0,I. Canaan enters the game for R. Covington,,10-18,,
4:02.0,,,10-20,2,T. Harris makes 2-pt shot at rim
3:44.0,I. Smith makes 2-pt shot from 1 ft,2,12-20,,
3:30.0,,,12-20,,N. Vucevic misses 2-pt shot from 15 ft
3:29.0,Defensive rebound by J. Grant,,12-20,,
3:15.0,J. Grant misses 2-pt shot at rim (block by N. Vucevic),,12-20,,
3:12.0,,,12-20,,Defensive rebound by T. Harris
3:07.0,,,12-20,,E. Fournier misses 2-pt shot from 23 ft
3:06.0,Defensive rebound by J. Grant,,12-20,,
2:54.0,Turnover by J. Okafor (lost ball; steal by E. Fournier),,12-20,,
2:49.0,,,12-20,,Shooting foul by H. Thompson (drawn by E. Fournier)
2:49.0,,,12-20,,Orlando full timeout
2:49.0,T. McConnell enters the game for J. Okafor,,12-20,,
2:49.0,N. Noel enters the game for I. Smith,,12-20,,
2:49.0,,,12-20,,J. Smith enters the game for N. Vucevic
2:49.0,,,12-20,,T. Harris misses free throw 1 of 2
2:49.0,,,12-20,,Offensive rebound by Team
2:49.0,,,12-21,1,T. Harris makes free throw 2 of 2
2:36.0,H. Thompson makes 3-pt shot from 23 ft (assist by I. Canaan),3,15-21,,
2:21.0,,,15-21,,Turnover by A. Gordon (lost ball; steal by I. Canaan)
2:16.0,I. Canaan makes 3-pt shot from 25 ft,3,18-21,,
1:53.0,,,18-21,,S. Napier misses 2-pt shot from 1 ft (block by N. Noel)
1:51.0,Defensive rebound by T. McConnell,,18-21,,
1:46.0,H. Thompson makes 3-pt shot from 26 ft (assist by T. McConnell),3,21-21,,
1:24.0,,,21-21,,M. Hezonja enters the game for E. Fournier
1:19.0,,,21-21,,J. Smith misses 2-pt shot from 19 ft
1:17.0,Defensive rebound by N. Noel,,21-21,,
0:59.0,J. Grant misses 2-pt shot from 10 ft,,21-21,,
0:58.0,,,21-21,,Defensive rebound by A. Gordon
0:47.0,,,21-21,,S. Napier misses 3-pt shot from 22 ft
0:46.0,Defensive rebound by H. Thompson,,21-21,,
0:39.0,N. Noel makes 2-pt shot at rim (assist by T. McConnell),2,23-21,,
0:18.0,,,23-21,,S. Napier misses 2-pt shot from 20 ft
0:16.0,Defensive rebound by H. Thompson,,23-21,,
0:02.0,T. McConnell misses 2-pt shot from 16 ft,,23-21,,
0:01.0,,,23-21,,Defensive rebound by A. Gordon
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,23-21,,Shooting foul by J. Grant (drawn by K. Appling)
11:44.0,,,23-22,1,K. Appling makes free throw 1 of 2
11:44.0,,,23-22,,E. Payton enters the game for T. Harris
11:44.0,,,23-23,1,K. Appling makes free throw 2 of 2
11:22.0,I. Canaan misses 2-pt shot from 11 ft,,23-23,,
11:20.0,Offensive rebound by T. McConnell,,23-23,,
11:18.0,T. McConnell misses 2-pt shot from 16 ft,,23-23,,
11:16.0,,,23-23,,Defensive rebound by K. Appling
11:16.0,Personal foul by T. McConnell (drawn by A. Gordon),,23-23,,
10:59.0,,,23-23,,J. Smith misses 2-pt shot at rim
10:58.0,,,23-23,,Offensive rebound by J. Smith
10:57.0,,,23-25,2,J. Smith makes 2-pt shot from 1 ft
10:46.0,,,23-25,,Personal foul by K. Appling (drawn by T. McConnell)
10:46.0,J. Okafor enters the game for N. Noel,,23-25,,
10:40.0,Shooting foul by K. Appling (drawn by T. McConnell),,23-25,,
10:40.0,T. McConnell misses free throw 1 of 2,,23-25,,
10:40.0,Offensive rebound by Team,,23-25,,
10:40.0,T. McConnell makes free throw 2 of 2,1,24-25,,
10:24.0,,,24-25,,A. Gordon misses 3-pt shot from 22 ft
10:24.0,Defensive rebound by Team,,24-25,,
10:05.0,I. Canaan misses 3-pt shot from 26 ft,,24-25,,
10:02.0,,,24-25,,Defensive rebound by M. Hezonja
9:56.0,Personal block foul by J. Grant (drawn by A. Gordon),,24-25,,
9:56.0,R. Covington enters the game for H. Thompson,,24-25,,
9:50.0,,,24-25,,K. Appling misses 2-pt shot from 17 ft
9:49.0,Defensive rebound by Team,,24-25,,
9:36.0,T. McConnell misses 2-pt shot from 17 ft,,24-25,,
9:35.0,,,24-25,,Defensive rebound by A. Gordon
9:24.0,,,24-25,,Shooting foul by R. Covington (drawn by M. Hezonja)
9:24.0,,,24-26,1,M. Hezonja makes free throw 1 of 2
9:24.0,,,24-27,1,M. Hezonja makes free throw 2 of 2
9:11.0,J. Grant misses 2-pt shot from 4 ft (block by J. Smith),,24-27,,
9:11.0,Offensive rebound by J. Grant,,24-27,,
9:11.0,Philadelphia full timeout,,24-27,,
8:59.0,Shooting foul by A. Gordon (drawn by J. Grant),,24-27,,
8:59.0,J. Grant misses free throw 1 of 2,,24-27,,
8:59.0,Offensive rebound by Team,,24-27,,
8:59.0,J. Grant makes free throw 2 of 2,1,25-27,,
8:39.0,,,25-29,2,K. Appling makes 2-pt shot at rim
8:23.0,T. McConnell misses 2-pt shot from 15 ft,,25-29,,
8:22.0,,,25-29,,Defensive rebound by A. Gordon
8:18.0,,,25-31,2,M. Hezonja makes 2-pt shot at rim (assist by A. Gordon)
8:17.0,Philadelphia full timeout,,25-31,,
8:17.0,,,25-31,,N. Vucevic enters the game for J. Smith
8:17.0,,,25-31,,E. Fournier enters the game for K. Appling
7:58.0,J. Okafor misses 2-pt shot from 6 ft,,25-31,,
7:56.0,,,25-31,,Defensive rebound by E. Fournier
7:36.0,,,25-31,,E. Payton misses 2-pt shot from 6 ft
7:35.0,Defensive rebound by J. Okafor,,25-31,,
7:24.0,J. Okafor makes 2-pt shot from 5 ft,2,27-31,,
7:20.0,,,27-33,2,M. Hezonja makes 2-pt shot at rim (assist by E. Payton)
7:20.0,,,27-33,,Shooting foul by R. Covington (drawn by M. Hezonja)
7:20.0,N. Noel enters the game for J. Grant,,27-33,,
7:20.0,I. Smith enters the game for I. Canaan,,27-33,,
7:20.0,H. Thompson enters the game for T. McConnell,,27-33,,
7:20.0,,,27-34,1,M. Hezonja makes free throw 1 of 1
6:59.0,I. Smith makes 2-pt shot from 12 ft,2,29-34,,
6:43.0,,,29-34,,E. Fournier misses 2-pt shot from 18 ft
6:42.0,Defensive rebound by I. Smith,,29-34,,
6:36.0,J. Okafor makes 2-pt shot at rim (assist by I. Smith),2,31-34,,
6:18.0,,,31-36,2,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Payton)
6:09.0,I. Smith misses 2-pt shot from 8 ft,,31-36,,
6:08.0,,,31-36,,Defensive rebound by N. Vucevic
5:56.0,,,31-36,,E. Fournier misses 2-pt shot from 2 ft
5:55.0,,,31-36,,Offensive rebound by E. Fournier
5:55.0,,,31-36,,E. Fournier misses 2-pt shot from 2 ft
5:52.0,Defensive rebound by R. Covington,,31-36,,
5:39.0,Turnover by J. Okafor (lost ball; steal by N. Vucevic),,31-36,,
5:26.0,,,31-36,,E. Payton misses 2-pt shot from 7 ft
5:24.0,Defensive rebound by R. Covington,,31-36,,
5:18.0,I. Smith makes 2-pt shot from 1 ft,2,33-36,,
5:12.0,,,33-38,2,M. Hezonja makes 2-pt shot at rim (assist by E. Payton)
4:52.0,J. Okafor makes 2-pt shot from 8 ft,2,35-38,,
4:33.0,,,35-40,2,N. Vucevic makes 2-pt shot from 14 ft (assist by E. Payton)
4:12.0,J. Okafor makes 2-pt shot from 6 ft,2,37-40,,
4:01.0,Personal foul by I. Smith (drawn by E. Payton),,37-40,,
4:01.0,Official timeout,,37-40,,
4:01.0,,,37-40,,T. Harris enters the game for A. Gordon
4:01.0,I. Canaan enters the game for R. Covington,,37-40,,
4:01.0,,,37-41,1,E. Payton makes free throw 1 of 2
4:01.0,,,37-42,1,E. Payton makes free throw 2 of 2
3:50.0,H. Thompson makes 2-pt shot at rim (assist by N. Noel),2,39-42,,
3:35.0,,,39-42,,N. Vucevic misses 2-pt shot from 2 ft
3:33.0,Defensive rebound by N. Noel,,39-42,,
3:23.0,J. Okafor misses 2-pt shot from 15 ft,,39-42,,
3:22.0,Offensive rebound by N. Noel,,39-42,,
3:21.0,Shooting foul by T. Harris (drawn by N. Noel),,39-42,,
3:21.0,N. Noel misses free throw 1 of 2,,39-42,,
3:21.0,Offensive rebound by Team,,39-42,,
3:21.0,N. Noel misses free throw 2 of 2,,39-42,,
3:21.0,,,39-42,,Defensive rebound by N. Vucevic
3:08.0,,,39-42,,T. Harris misses 2-pt shot from 2 ft
3:07.0,,,39-42,,Offensive rebound by N. Vucevic
3:07.0,,,39-42,,N. Vucevic misses 2-pt shot at rim
3:05.0,,,39-42,,Offensive rebound by T. Harris
2:51.0,,,39-42,,Turnover by E. Fournier (step out of bounds)
2:51.0,,,39-42,,Orlando full timeout
2:37.0,J. Okafor misses 2-pt shot from 19 ft,,39-42,,
2:36.0,,,39-42,,Defensive rebound by T. Harris
2:21.0,,,39-42,,M. Hezonja misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by J. Okafor,,39-42,,
2:14.0,Turnover by I. Smith (bad pass; steal by N. Vucevic),,39-42,,
2:07.0,,,39-45,3,E. Fournier makes 3-pt shot from 23 ft (assist by T. Harris)
1:51.0,I. Smith makes 2-pt shot from 5 ft,2,41-45,,
1:51.0,Shooting foul by E. Payton (drawn by I. Smith),,41-45,,
1:51.0,J. Grant enters the game for J. Okafor,,41-45,,
1:51.0,I. Smith makes free throw 1 of 1,1,42-45,,
1:32.0,,,42-45,,Shooting foul by J. Grant (drawn by T. Harris)
1:32.0,,,42-45,,T. Harris misses free throw 1 of 2
1:32.0,,,42-45,,Offensive rebound by Team
1:32.0,J. Okafor enters the game for J. Grant,,42-45,,
1:32.0,,,42-46,1,T. Harris makes free throw 2 of 2
1:08.0,I. Canaan makes 3-pt shot from 24 ft (assist by I. Smith),3,45-46,,
0:48.0,,,45-46,,E. Fournier misses 3-pt shot from 24 ft
0:47.0,Defensive rebound by N. Noel,,45-46,,
0:33.0,J. Okafor makes 2-pt shot from 5 ft,2,47-46,,
0:12.0,,,47-46,,T. Harris misses 2-pt shot from 5 ft
0:11.0,Defensive rebound by N. Noel,,47-46,,
0:00.0,H. Thompson misses 3-pt shot from 25 ft,,47-46,,
0:00.0,Offensive rebound by Team,,47-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,47-46,,Turnover by N. Vucevic (traveling)
11:33.0,Shooting foul by E. Fournier (drawn by I. Canaan),,47-46,,
11:33.0,I. Canaan makes free throw 1 of 2,1,48-46,,
11:33.0,I. Canaan makes free throw 2 of 2,1,49-46,,
11:13.0,,,49-49,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton)
10:49.0,Turnover by I. Canaan (lost ball; steal by E. Fournier),,49-49,,
10:34.0,,,49-49,,Turnover by C. Frye (bad pass; steal by I. Canaan)
10:30.0,I. Canaan makes 2-pt shot from 1 ft,2,51-49,,
10:18.0,,,51-49,,E. Payton misses 2-pt shot from 2 ft (block by J. Grant)
10:15.0,,,51-49,,Offensive rebound by E. Payton
10:15.0,,,51-51,2,E. Payton makes 2-pt shot from 1 ft
10:09.0,J. Grant makes 2-pt shot from 7 ft (assist by I. Smith),2,53-51,,
9:56.0,,,53-53,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
9:35.0,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith),3,56-53,,
9:19.0,,,56-53,,E. Fournier misses 2-pt shot from 15 ft
9:17.0,Defensive rebound by J. Grant,,56-53,,
9:01.0,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith),3,59-53,,
8:42.0,,,59-53,,C. Frye misses 3-pt shot from 27 ft
8:41.0,Defensive rebound by R. Covington,,59-53,,
8:27.0,Shooting foul by N. Vucevic (drawn by J. Grant),,59-53,,
8:27.0,J. Grant makes free throw 1 of 2,1,60-53,,
8:27.0,J. Grant misses free throw 2 of 2,,60-53,,
8:25.0,,,60-53,,Defensive rebound by C. Frye
8:10.0,,,60-53,,N. Vucevic misses 2-pt shot from 3 ft (block by J. Okafor)
8:07.0,Defensive rebound by R. Covington,,60-53,,
7:58.0,J. Grant makes 2-pt shot at rim (assist by I. Smith),2,62-53,,
7:58.0,,,62-53,,Orlando full timeout
7:58.0,,,62-53,,K. Appling enters the game for T. Harris
7:58.0,,,62-53,,A. Gordon enters the game for C. Frye
7:58.0,,,62-53,,D. Marble enters the game for N. Vucevic
7:58.0,,,62-53,,J. Smith enters the game for E. Fournier
7:58.0,,,62-53,,D. Dedmon enters the game for E. Payton
7:46.0,,,62-55,2,A. Gordon makes 2-pt shot from 19 ft (assist by J. Smith)
7:39.0,J. Grant makes 3-pt shot from 23 ft (assist by I. Smith),3,65-55,,
7:18.0,,,65-55,,K. Appling misses 2-pt shot from 11 ft
7:17.0,Defensive rebound by J. Okafor,,65-55,,
6:55.0,Turnover by I. Smith (step out of bounds),,65-55,,
6:50.0,Personal foul by I. Smith (drawn by K. Appling),,65-55,,
6:42.0,,,65-55,,Turnover by K. Appling (bad pass; steal by J. Grant)
6:30.0,Shooting foul by K. Appling (drawn by J. Grant),,65-55,,
6:30.0,J. Grant misses free throw 1 of 2,,65-55,,
6:30.0,Offensive rebound by Team,,65-55,,
6:30.0,H. Thompson enters the game for R. Covington,,65-55,,
6:30.0,J. Grant makes free throw 2 of 2,1,66-55,,
6:15.0,,,66-57,2,J. Smith makes 2-pt shot from 15 ft
5:49.0,I. Smith misses 2-pt shot from 18 ft,,66-57,,
5:48.0,,,66-57,,Defensive rebound by D. Dedmon
5:40.0,,,66-57,,A. Gordon misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by J. Okafor,,66-57,,
5:31.0,Philadelphia full timeout,,66-57,,
5:31.0,,,66-57,,E. Payton enters the game for K. Appling
5:31.0,,,66-57,,M. Hezonja enters the game for D. Marble
5:30.0,Turnover by I. Canaan (bad pass; steal by J. Smith),,66-57,,
5:25.0,R. Holmes enters the game for J. Okafor,,66-57,,
5:17.0,,,66-59,2,E. Payton makes 2-pt shot from 3 ft
5:05.0,Turnover by H. Thompson (traveling),,66-59,,
4:57.0,,,66-59,,D. Dedmon misses 2-pt shot at rim (block by J. Grant)
4:56.0,Defensive rebound by Team,,66-59,,
4:56.0,,,66-59,,Loose ball foul by D. Dedmon (drawn by R. Holmes)
4:56.0,R. Covington enters the game for I. Canaan,,66-59,,
4:44.0,R. Holmes makes 2-pt shot at rim (assist by I. Smith),2,68-59,,
4:31.0,,,68-59,,Shooting foul by I. Smith (drawn by E. Payton)
4:31.0,,,68-60,1,E. Payton makes free throw 1 of 2
4:31.0,T. McConnell enters the game for I. Smith,,68-60,,
4:31.0,,,68-61,1,E. Payton makes free throw 2 of 2
4:09.0,R. Covington misses 3-pt shot from 28 ft,,68-61,,
4:08.0,,,68-61,,Defensive rebound by D. Dedmon
3:58.0,,,68-61,,E. Payton misses 2-pt shot from 2 ft
3:56.0,Defensive rebound by R. Covington,,68-61,,
3:50.0,H. Thompson makes 3-pt shot from 24 ft (assist by R. Covington),3,71-61,,
3:36.0,,,71-61,,M. Hezonja misses 2-pt shot from 6 ft
3:36.0,Defensive rebound by Team,,71-61,,
3:20.0,H. Thompson makes 2-pt shot from 22 ft (assist by T. McConnell),2,73-61,,
3:16.0,,,73-61,,Turnover by D. Dedmon (inbound)
3:16.0,,,73-61,,N. Vucevic enters the game for J. Smith
3:16.0,,,73-61,,T. Harris enters the game for D. Dedmon
3:13.0,H. Thompson misses 3-pt shot from 22 ft,,73-61,,
3:12.0,,,73-61,,Defensive rebound by E. Payton
3:00.0,,,73-61,,Turnover by N. Vucevic (bad pass; steal by J. Grant)
2:57.0,Shooting foul by N. Vucevic (drawn by J. Grant),,73-61,,
2:57.0,J. Grant makes free throw 1 of 2,1,74-61,,
2:57.0,J. Grant makes free throw 2 of 2,1,75-61,,
2:47.0,,,75-61,,Turnover by M. Hezonja (lost ball)
2:39.0,T. McConnell misses 2-pt shot from 1 ft,,75-61,,
2:37.0,,,75-61,,Defensive rebound by T. Harris
2:29.0,,,75-63,2,T. Harris makes 2-pt shot from 1 ft
2:29.0,,,75-63,,Shooting foul by R. Holmes (drawn by T. Harris)
2:29.0,,,75-63,,E. Fournier enters the game for M. Hezonja
2:29.0,,,75-64,1,T. Harris makes free throw 1 of 1
2:07.0,H. Thompson makes 2-pt shot from 9 ft,2,77-64,,
1:44.0,,,77-64,,E. Fournier misses 2-pt shot from 5 ft (block by J. Grant)
1:42.0,Defensive rebound by J. Grant,,77-64,,
1:39.0,J. Grant misses 2-pt shot at rim (block by T. Harris),,77-64,,
1:36.0,,,77-64,,Defensive rebound by A. Gordon
1:34.0,,,77-64,,Shooting foul by H. Thompson (drawn by T. Harris)
1:34.0,,,77-65,1,T. Harris makes free throw 1 of 2
1:34.0,J. Okafor enters the game for J. Grant,,77-65,,
1:34.0,,,77-65,,T. Harris misses free throw 2 of 2
1:33.0,Defensive rebound by R. Covington,,77-65,,
1:22.0,R. Covington misses 2-pt shot from 7 ft,,77-65,,
1:21.0,,,77-65,,Defensive rebound by T. Harris
1:19.0,,,77-65,,Turnover by E. Payton (lost ball)
1:00.0,R. Holmes misses 3-pt shot from 27 ft,,77-65,,
0:59.0,,,77-65,,Defensive rebound by T. Harris
0:41.0,,,77-68,3,E. Fournier makes 3-pt shot from 25 ft (assist by T. Harris)
0:32.0,,,77-68,,Personal foul by T. Harris (drawn by T. McConnell)
0:32.0,T. McConnell makes free throw 1 of 2,1,78-68,,
0:32.0,T. McConnell makes free throw 2 of 2,1,79-68,,
0:19.0,,,79-71,3,T. Harris makes 3-pt shot from 26 ft (assist by E. Payton)
0:01.0,Shooting foul by E. Fournier (drawn by J. Okafor),,79-71,,
0:01.0,J. Okafor makes free throw 1 of 2,1,80-71,,
0:01.0,J. Okafor makes free throw 2 of 2,1,81-71,,
0:01.0,J. Grant enters the game for T. McConnell,,81-71,,
0:00.0,,,81-71,,A. Gordon misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by J. Grant,,81-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,J. Okafor misses 2-pt shot from 16 ft,,81-71,,
11:33.0,,,81-71,,Defensive rebound by T. Harris
11:17.0,,,81-71,,N. Vucevic misses 2-pt shot from 5 ft
11:15.0,Defensive rebound by R. Holmes,,81-71,,
11:03.0,J. Okafor misses 2-pt shot from 1 ft,,81-71,,
11:01.0,,,81-71,,Defensive rebound by N. Vucevic
10:57.0,,,81-73,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
10:41.0,J. Okafor misses 2-pt shot from 4 ft,,81-73,,
10:39.0,,,81-73,,Defensive rebound by E. Payton
10:30.0,,,81-73,,N. Vucevic misses 2-pt shot from 17 ft
10:29.0,,,81-73,,Offensive rebound by A. Gordon
10:23.0,,,81-73,,Turnover by T. Harris (lost ball; steal by R. Covington)
10:09.0,R. Holmes makes 2-pt shot from 2 ft (assist by T. McConnell),2,83-73,,
9:43.0,,,83-73,,A. Gordon misses 2-pt shot from 4 ft
9:42.0,Defensive rebound by T. McConnell,,83-73,,
9:26.0,J. Okafor misses 2-pt shot from 2 ft,,83-73,,
9:25.0,,,83-73,,Defensive rebound by T. Harris
9:09.0,,,83-73,,Shooting foul by T. McConnell (drawn by E. Payton)
9:09.0,,,83-73,,E. Payton misses free throw 1 of 2
9:09.0,,,83-73,,Offensive rebound by Team
9:09.0,,,83-73,,E. Payton misses free throw 2 of 2
9:09.0,Defensive rebound by R. Covington,,83-73,,
9:09.0,Philadelphia full timeout,,83-73,,
8:53.0,H. Thompson misses 2-pt shot from 16 ft,,83-73,,
8:52.0,Offensive rebound by J. Okafor,,83-73,,
8:37.0,J. Okafor misses 2-pt shot at rim,,83-73,,
8:36.0,,,83-73,,Defensive rebound by N. Vucevic
8:13.0,,,83-75,2,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Fournier)
7:47.0,Turnover by Team (shot clock),,83-75,,
7:47.0,J. Grant enters the game for J. Okafor,,83-75,,
7:47.0,I. Canaan enters the game for H. Thompson,,83-75,,
7:30.0,,,83-75,,E. Fournier misses 2-pt shot from 20 ft
7:27.0,Defensive rebound by T. McConnell,,83-75,,
7:13.0,R. Covington misses 3-pt shot from 29 ft,,83-75,,
7:12.0,,,83-75,,Defensive rebound by Team
6:48.0,,,83-75,,E. Fournier misses 3-pt shot from 22 ft
6:47.0,Defensive rebound by R. Covington,,83-75,,
6:31.0,Turnover by R. Covington (lost ball; steal by E. Payton),,83-75,,
6:26.0,,,83-75,,Shooting foul by T. McConnell (drawn by N. Vucevic)
6:26.0,,,83-75,,N. Vucevic misses free throw 1 of 2
6:26.0,,,83-75,,Offensive rebound by Team
6:26.0,I. Smith enters the game for T. McConnell,,83-75,,
6:26.0,,,83-76,1,N. Vucevic makes free throw 2 of 2
6:08.0,Turnover by R. Covington (lost ball; steal by E. Fournier),,83-76,,
6:01.0,,,83-76,,Turnover by E. Payton (lost ball; steal by R. Covington)
5:46.0,,,83-76,,Personal foul by E. Payton (drawn by I. Smith)
5:46.0,Official timeout,,83-76,,
5:46.0,J. Okafor enters the game for R. Covington,,83-76,,
5:46.0,H. Thompson enters the game for R. Holmes,,83-76,,
5:42.0,H. Thompson makes 2-pt shot at rim (assist by J. Okafor),2,85-76,,
5:14.0,,,85-76,,T. Harris misses 3-pt shot from 27 ft
5:12.0,,,85-76,,Offensive rebound by E. Payton
5:12.0,,,85-78,2,E. Payton makes 2-pt shot at rim
4:48.0,I. Smith misses 2-pt shot from 10 ft,,85-78,,
4:47.0,,,85-78,,Defensive rebound by A. Gordon
4:43.0,Shooting block foul by I. Canaan (drawn by A. Gordon),,85-78,,
4:43.0,,,85-80,2,A. Gordon makes 2-pt shot from 11 ft
4:43.0,,,85-81,1,A. Gordon makes free throw 1 of 1
4:21.0,I. Smith makes 2-pt shot from 19 ft (assist by J. Grant),2,87-81,,
3:58.0,,,87-83,2,E. Fournier makes 2-pt shot from 2 ft
3:38.0,J. Okafor makes 2-pt shot from 2 ft,2,89-83,,
3:25.0,,,89-85,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
2:59.0,I. Canaan makes 3-pt shot from 25 ft,3,92-85,,
2:46.0,Personal foul by I. Smith (drawn by T. Harris),,92-85,,
2:46.0,,,92-85,,Orlando full timeout
2:36.0,,,92-85,,T. Harris misses 2-pt shot at rim
2:34.0,Defensive rebound by I. Smith,,92-85,,
2:16.0,J. Okafor makes 2-pt shot from 11 ft,2,94-85,,
2:00.0,,,94-85,,N. Vucevic misses 2-pt shot from 4 ft (block by J. Grant)
2:00.0,Defensive rebound by Team,,94-85,,
2:00.0,Philadelphia full timeout,,94-85,,
1:36.0,I. Canaan makes 2-pt shot from 12 ft (assist by I. Smith),2,96-85,,
