time,LA Clippers,pts.away,score,pts.home,Chicago
0:42.0,Defensive rebound by B. Griffin,,22-18,,
0:38.0,Turnover by B. Griffin (bad pass; steal by P. Gasol),,22-18,,
0:29.0,,,22-20,2,P. Gasol makes 2-pt shot at rim (assist by J. Butler)
0:08.0,J. Crawford makes 2-pt shot from 19 ft,2,24-20,,
0:00.0,,,24-23,3,P. Gasol makes 3-pt shot from 24 ft (assist by K. Hinrich)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,24-23,,D. McDermott misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by J. Smith,,24-23,,
11:34.0,J. Crawford misses 3-pt shot from 25 ft,,24-23,,
11:33.0,,,24-23,,Defensive rebound by J. Noah
11:27.0,,,24-23,,Turnover by J. Noah (bad pass)
11:08.0,A. Rivers misses 2-pt shot from 13 ft,,24-23,,
11:07.0,Offensive rebound by A. Rivers,,24-23,,
10:55.0,P. Pierce misses 2-pt shot from 18 ft,,24-23,,
10:54.0,,,24-23,,Defensive rebound by A. Brooks
10:43.0,,,24-26,3,N. Mirotic makes 3-pt shot from 23 ft (assist by K. Hinrich)
10:15.0,J. Smith misses 2-pt shot from 14 ft,,24-26,,
10:14.0,,,24-26,,Defensive rebound by N. Mirotic
9:56.0,,,24-29,3,A. Brooks makes 3-pt shot from 26 ft
9:36.0,A. Rivers misses 2-pt shot from 6 ft (block by J. Noah),,24-29,,
9:33.0,Offensive rebound by W. Johnson,,24-29,,
9:33.0,W. Johnson misses 2-pt shot from 1 ft,,24-29,,
9:31.0,,,24-29,,Defensive rebound by J. Noah
9:18.0,,,24-31,2,J. Noah makes 2-pt shot at rim (assist by N. Mirotic)
9:16.0,LA Clippers full timeout,,24-31,,
9:01.0,W. Johnson misses 2-pt shot from 1 ft,,24-31,,
9:00.0,,,24-31,,Defensive rebound by K. Hinrich
8:50.0,,,24-31,,N. Mirotic misses 3-pt shot from 25 ft
8:49.0,,,24-31,,Offensive rebound by K. Hinrich
8:44.0,,,24-31,,D. McDermott misses 2-pt shot from 1 ft
8:42.0,Defensive rebound by J. Smith,,24-31,,
8:32.0,P. Pierce misses 3-pt shot from 24 ft,,24-31,,
8:31.0,,,24-31,,Defensive rebound by N. Mirotic
8:20.0,,,24-33,2,A. Brooks makes 2-pt shot at rim
8:04.0,J. Crawford misses 2-pt shot from 17 ft,,24-33,,
8:02.0,,,24-33,,Defensive rebound by N. Mirotic
7:47.0,,,24-35,2,A. Brooks makes 2-pt shot from 1 ft
7:17.0,A. Rivers misses 2-pt shot from 18 ft,,24-35,,
7:16.0,,,24-35,,Defensive rebound by J. Noah
7:06.0,,,24-35,,N. Mirotic misses 2-pt shot from 15 ft
7:04.0,Defensive rebound by A. Rivers,,24-35,,
6:56.0,J. Crawford misses 2-pt shot from 19 ft,,24-35,,
6:55.0,,,24-35,,Defensive rebound by N. Mirotic
6:44.0,Violation by W. Johnson (kicked ball),,24-35,,
6:44.0,B. Griffin enters the game for A. Rivers,,24-35,,
6:44.0,J. Redick enters the game for W. Johnson,,24-35,,
6:44.0,C. Paul enters the game for J. Smith,,24-35,,
6:44.0,D. Jordan enters the game for P. Pierce,,24-35,,
6:44.0,,,24-35,,J. Butler enters the game for K. Hinrich
6:39.0,,,24-35,,Shooting foul by D. Jordan (drawn by J. Butler)
6:39.0,,,24-35,,J. Butler misses free throw 1 of 2
6:39.0,,,24-35,,Offensive rebound by Team
6:39.0,,,24-35,,T. Snell enters the game for D. McDermott
6:39.0,L. Mbah a Moute enters the game for J. Crawford,,24-35,,
6:39.0,,,24-36,1,J. Butler makes free throw 2 of 2
6:31.0,D. Jordan makes 2-pt shot from 2 ft (assist by J. Redick),2,26-36,,
6:31.0,Shooting foul by J. Noah (drawn by D. Jordan),,26-36,,
6:31.0,D. Jordan makes free throw 1 of 1,1,27-36,,
6:18.0,,,27-36,,N. Mirotic misses 3-pt shot from 25 ft
6:17.0,Defensive rebound by D. Jordan,,27-36,,
6:16.0,,,27-36,,Personal foul by N. Mirotic (drawn by B. Griffin)
6:16.0,,,27-36,,T. Gibson enters the game for N. Mirotic
6:00.0,L. Mbah a Moute misses 2-pt shot from 4 ft,,27-36,,
5:59.0,Offensive rebound by D. Jordan,,27-36,,
5:59.0,Shooting foul by J. Noah (drawn by D. Jordan),,27-36,,
5:59.0,LA Clippers full timeout,,27-36,,
5:59.0,,,27-36,,D. Rose enters the game for A. Brooks
5:59.0,D. Jordan makes free throw 1 of 2,1,28-36,,
5:59.0,D. Jordan misses free throw 2 of 2,,28-36,,
5:58.0,,,28-36,,Defensive rebound by J. Noah
5:46.0,,,28-36,,Turnover by D. Rose (traveling)
5:32.0,Shooting foul by T. Snell (drawn by J. Redick),,28-36,,
5:32.0,J. Redick misses free throw 1 of 2,,28-36,,
5:32.0,Offensive rebound by Team,,28-36,,
5:32.0,,,28-36,,P. Gasol enters the game for J. Noah
5:32.0,J. Redick makes free throw 2 of 2,1,29-36,,
5:16.0,,,29-36,,J. Butler misses 2-pt shot from 19 ft
5:15.0,,,29-36,,Offensive rebound by T. Snell
5:10.0,,,29-36,,T. Snell misses 2-pt shot from 18 ft
5:09.0,Defensive rebound by B. Griffin,,29-36,,
4:58.0,Turnover by C. Paul (traveling),,29-36,,
4:44.0,,,29-36,,T. Gibson misses 2-pt shot from 12 ft
4:42.0,Defensive rebound by B. Griffin,,29-36,,
4:33.0,J. Redick misses 3-pt shot from 24 ft,,29-36,,
4:32.0,,,29-36,,Defensive rebound by P. Gasol
4:17.0,,,29-36,,D. Rose misses 2-pt shot at rim
4:16.0,,,29-36,,Offensive rebound by T. Gibson
4:16.0,,,29-36,,T. Gibson misses 2-pt shot from 1 ft
4:15.0,Defensive rebound by Team,,29-36,,
4:01.0,J. Redick misses 2-pt shot from 21 ft,,29-36,,
4:00.0,,,29-36,,Defensive rebound by D. Rose
3:43.0,,,29-38,2,P. Gasol makes 2-pt shot from 16 ft (assist by J. Butler)
3:18.0,C. Paul misses 2-pt shot from 16 ft,,29-38,,
3:17.0,Offensive rebound by D. Jordan,,29-38,,
3:17.0,D. Jordan misses 2-pt shot from 2 ft,,29-38,,
3:16.0,,,29-38,,Defensive rebound by P. Gasol
3:10.0,,,29-38,,Turnover by D. Rose (lost ball; steal by D. Jordan)
3:05.0,J. Redick misses 3-pt shot from 24 ft,,29-38,,
3:04.0,,,29-38,,Defensive rebound by J. Butler
2:54.0,,,29-38,,Shooting foul by B. Griffin (drawn by T. Gibson)
2:54.0,,,29-38,,Chicago full timeout
2:54.0,,,29-39,1,T. Gibson makes free throw 1 of 2
2:54.0,,,29-40,1,T. Gibson makes free throw 2 of 2
2:44.0,C. Paul makes 2-pt shot from 17 ft,2,31-40,,
2:19.0,,,31-40,,Shooting foul by B. Griffin (drawn by J. Butler)
2:19.0,,,31-41,1,J. Butler makes free throw 1 of 2
2:19.0,,,31-41,,K. Hinrich enters the game for D. Rose
2:19.0,,,31-42,1,J. Butler makes free throw 2 of 2
2:08.0,C. Paul misses 2-pt shot from 20 ft,,31-42,,
2:07.0,,,31-42,,Defensive rebound by T. Snell
1:52.0,,,31-42,,Turnover by T. Snell (bad pass)
1:26.0,B. Griffin misses 3-pt shot from 25 ft,,31-42,,
1:25.0,,,31-42,,Defensive rebound by T. Snell
1:12.0,,,31-42,,Turnover by P. Gasol (bad pass)
1:12.0,W. Johnson enters the game for L. Mbah a Moute,,31-42,,
1:02.0,B. Griffin misses 2-pt shot from 19 ft,,31-42,,
1:02.0,Offensive rebound by Team,,31-42,,
1:02.0,,,31-42,,Loose ball foul by T. Snell (drawn by J. Redick)
1:02.0,J. Redick makes free throw 1 of 2,1,32-42,,
1:02.0,,,32-42,,D. McDermott enters the game for T. Snell
1:02.0,J. Redick makes free throw 2 of 2,1,33-42,,
0:51.0,,,33-42,,Shooting foul by C. Paul (drawn by J. Butler)
0:51.0,,,33-43,1,J. Butler makes free throw 1 of 2
0:51.0,,,33-44,1,J. Butler makes free throw 2 of 2
0:30.0,B. Griffin makes 2-pt shot from 15 ft (assist by C. Paul),2,35-44,,
0:15.0,,,35-44,,D. McDermott misses 3-pt shot from 23 ft
0:14.0,,,35-44,,Offensive rebound by T. Gibson
0:00.0,,,35-44,,J. Butler misses 2-pt shot from 15 ft
0:00.0,,,35-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,35-44,,P. Gasol misses 2-pt shot from 18 ft
11:39.0,Defensive rebound by B. Griffin,,35-44,,
11:30.0,B. Griffin misses 2-pt shot from 18 ft,,35-44,,
11:29.0,,,35-44,,Defensive rebound by J. Butler
11:05.0,,,35-46,2,T. Gibson makes 2-pt shot from 13 ft
10:38.0,Turnover by B. Griffin (bad pass; steal by J. Butler),,35-46,,
10:28.0,,,35-48,2,D. Rose makes 2-pt shot from 8 ft (assist by J. Butler)
10:27.0,LA Clippers full timeout,,35-48,,
10:14.0,Shooting foul by P. Gasol (drawn by B. Griffin),,35-48,,
10:14.0,B. Griffin makes free throw 1 of 2,1,36-48,,
10:14.0,B. Griffin makes free throw 2 of 2,1,37-48,,
9:55.0,,,37-50,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler)
9:34.0,J. Redick misses 2-pt shot from 21 ft,,37-50,,
9:33.0,Offensive rebound by D. Jordan,,37-50,,
9:27.0,B. Griffin makes 2-pt shot from 19 ft (assist by J. Redick),2,39-50,,
9:03.0,,,39-50,,P. Gasol misses 2-pt shot from 18 ft
9:02.0,Defensive rebound by B. Griffin,,39-50,,
8:53.0,C. Paul misses 2-pt shot from 20 ft,,39-50,,
8:52.0,,,39-50,,Defensive rebound by T. Gibson
8:36.0,,,39-53,3,P. Gasol makes 3-pt shot from 23 ft (assist by D. Rose)
8:21.0,B. Griffin misses 2-pt shot from 21 ft,,39-53,,
8:20.0,Offensive rebound by D. Jordan,,39-53,,
8:17.0,C. Paul misses 3-pt shot from 24 ft,,39-53,,
8:15.0,Offensive rebound by B. Griffin,,39-53,,
8:13.0,Turnover by C. Paul (bad pass; steal by J. Butler),,39-53,,
8:06.0,,,39-55,2,T. Gibson makes 2-pt shot at rim (assist by J. Butler)
7:42.0,L. Mbah a Moute misses 2-pt shot from 2 ft,,39-55,,
7:39.0,Offensive rebound by L. Mbah a Moute,,39-55,,
7:39.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by P. Gasol),,39-55,,
7:36.0,Offensive rebound by L. Mbah a Moute,,39-55,,
7:36.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by P. Gasol),,39-55,,
7:34.0,,,39-55,,Defensive rebound by D. Rose
7:22.0,,,39-55,,T. Snell misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by L. Mbah a Moute,,39-55,,
7:11.0,Shooting foul by P. Gasol (drawn by B. Griffin),,39-55,,
7:11.0,B. Griffin makes free throw 1 of 2,1,40-55,,
7:11.0,L. Stephenson enters the game for L. Mbah a Moute,,40-55,,
7:11.0,,,40-55,,K. Hinrich enters the game for D. Rose
7:11.0,B. Griffin makes free throw 2 of 2,1,41-55,,
6:54.0,,,41-57,2,J. Butler makes 2-pt shot from 22 ft
6:43.0,C. Paul makes 2-pt shot from 19 ft,2,43-57,,
6:20.0,,,43-57,,J. Butler misses 2-pt shot from 20 ft
6:20.0,Defensive rebound by Team,,43-57,,
6:12.0,C. Paul misses 2-pt shot from 17 ft,,43-57,,
6:11.0,,,43-57,,Defensive rebound by T. Gibson
5:59.0,Flagrant foul type 1 by B. Griffin (drawn by T. Gibson),,43-57,,
5:59.0,J. Smith enters the game for B. Griffin,,43-57,,
5:59.0,,,43-58,1,T. Gibson makes flagrant free throw 1 of 2
5:59.0,,,43-59,1,T. Gibson makes flagrant free throw 2 of 2
5:43.0,,,43-59,,T. Gibson misses 2-pt shot from 5 ft
5:41.0,Defensive rebound by D. Jordan,,43-59,,
5:28.0,J. Redick makes 2-pt shot from 13 ft (assist by C. Paul),2,45-59,,
5:28.0,Shooting foul by K. Hinrich (drawn by J. Redick),,45-59,,
5:28.0,J. Redick makes free throw 1 of 1,1,46-59,,
5:09.0,,,46-59,,P. Gasol misses 2-pt shot from 12 ft
5:07.0,,,46-59,,Offensive rebound by J. Butler
5:03.0,,,46-59,,K. Hinrich misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by L. Stephenson,,46-59,,
4:58.0,J. Smith makes 2-pt shot from 1 ft (assist by L. Stephenson),2,48-59,,
4:41.0,,,48-61,2,P. Gasol makes 2-pt shot from 17 ft (assist by K. Hinrich)
4:25.0,D. Jordan makes 2-pt shot at rim (assist by J. Smith),2,50-61,,
4:02.0,,,50-61,,Shooting foul by J. Smith (drawn by J. Butler)
4:02.0,,,50-61,,J. Butler misses free throw 1 of 2
4:02.0,,,50-61,,Offensive rebound by Team
4:02.0,,,50-61,,D. McDermott enters the game for T. Snell
4:02.0,,,50-61,,N. Mirotic enters the game for T. Gibson
4:02.0,,,50-61,,J. Noah enters the game for P. Gasol
4:02.0,,,50-62,1,J. Butler makes free throw 2 of 2
3:51.0,Turnover by C. Paul (bad pass; steal by N. Mirotic),,50-62,,
3:46.0,,,50-62,,J. Butler misses 3-pt shot from 25 ft
3:44.0,Defensive rebound by J. Redick,,50-62,,
3:36.0,D. Jordan makes 2-pt shot at rim (assist by J. Smith),2,52-62,,
3:05.0,,,52-62,,K. Hinrich misses 3-pt shot from 22 ft
3:04.0,,,52-62,,Offensive rebound by J. Noah
2:52.0,,,52-62,,K. Hinrich misses 3-pt shot from 25 ft
2:51.0,,,52-62,,Offensive rebound by J. Noah
2:49.0,,,52-62,,Turnover by J. Noah (bad pass; steal by L. Stephenson)
2:48.0,,,52-62,,Personal foul by D. McDermott (drawn by J. Redick)
2:48.0,,,52-62,,Chicago full timeout
2:48.0,A. Rivers enters the game for C. Paul,,52-62,,
2:48.0,,,52-62,,A. Brooks enters the game for J. Butler
2:39.0,L. Stephenson makes 2-pt shot from 19 ft (assist by A. Rivers),2,54-62,,
2:18.0,,,54-62,,D. McDermott misses 2-pt shot from 6 ft
2:17.0,Defensive rebound by L. Stephenson,,54-62,,
2:09.0,J. Smith misses 3-pt shot from 25 ft,,54-62,,
2:08.0,,,54-62,,Defensive rebound by J. Noah
1:59.0,,,54-62,,Turnover by J. Noah (bad pass)
1:48.0,J. Smith misses 2-pt shot from 3 ft,,54-62,,
1:47.0,,,54-62,,Defensive rebound by N. Mirotic
1:35.0,,,54-62,,A. Brooks misses 2-pt shot from 1 ft
1:34.0,Defensive rebound by A. Rivers,,54-62,,
1:20.0,J. Redick misses 2-pt shot from 21 ft,,54-62,,
1:19.0,,,54-62,,Defensive rebound by N. Mirotic
1:10.0,,,54-62,,Turnover by K. Hinrich (lost ball)
1:10.0,J. Crawford enters the game for J. Redick,,54-62,,
1:01.0,L. Stephenson misses 2-pt shot from 19 ft,,54-62,,
1:00.0,,,54-62,,Defensive rebound by N. Mirotic
0:49.0,,,54-62,,N. Mirotic misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by J. Smith,,54-62,,
0:45.0,Turnover by J. Smith (lost ball; steal by J. Noah),,54-62,,
0:41.0,,,54-64,2,N. Mirotic makes 2-pt shot from 1 ft (assist by A. Brooks)
0:19.0,A. Rivers misses 3-pt shot from 23 ft,,54-64,,
0:18.0,,,54-64,,Defensive rebound by N. Mirotic
0:07.0,Personal foul by A. Rivers (drawn by A. Brooks),,54-64,,
0:07.0,L. Mbah a Moute enters the game for D. Jordan,,54-64,,
0:02.0,,,54-64,,A. Brooks misses 2-pt shot from 1 ft (block by J. Smith)
0:01.0,,,54-64,,Offensive rebound by J. Noah
0:01.0,,,54-64,,J. Noah misses 2-pt shot from 1 ft
0:00.0,,,54-64,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,L. Mbah a Moute misses 2-pt shot from 19 ft,,54-64,,
11:43.0,,,54-64,,Defensive rebound by N. Mirotic
11:28.0,Personal foul by L. Stephenson (drawn by A. Brooks),,54-64,,
11:19.0,,,54-66,2,D. Rose makes 2-pt shot from 15 ft
11:03.0,J. Smith misses 2-pt shot from 4 ft (block by J. Noah),,54-66,,
11:02.0,,,54-66,,Defensive rebound by J. Noah
10:45.0,,,54-66,,N. Mirotic misses 3-pt shot from 23 ft
10:45.0,Defensive rebound by Team,,54-66,,
10:36.0,,,54-66,,Personal foul by J. Noah (drawn by L. Mbah a Moute)
10:36.0,W. Johnson enters the game for L. Mbah a Moute,,54-66,,
10:26.0,W. Johnson misses 3-pt shot from 24 ft,,54-66,,
10:25.0,Offensive rebound by A. Rivers,,54-66,,
10:20.0,A. Rivers makes 3-pt shot from 22 ft (assist by L. Stephenson),3,57-66,,
10:04.0,Personal foul by J. Smith (drawn by A. Brooks),,57-66,,
9:47.0,,,57-66,,A. Brooks misses 2-pt shot from 4 ft
9:46.0,,,57-66,,Offensive rebound by J. Noah
9:46.0,,,57-66,,J. Noah misses 2-pt shot from 1 ft
9:44.0,,,57-66,,Offensive rebound by A. Brooks
9:42.0,,,57-66,,D. McDermott misses 2-pt shot from 1 ft
9:41.0,Defensive rebound by J. Smith,,57-66,,
9:31.0,W. Johnson makes 3-pt shot from 23 ft (assist by L. Stephenson),3,60-66,,
9:31.0,,,60-66,,Chicago full timeout
9:31.0,,,60-66,,J. Butler enters the game for D. McDermott
9:13.0,,,60-66,,D. Rose misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by W. Johnson,,60-66,,
8:53.0,J. Smith makes 3-pt shot from 24 ft (assist by L. Stephenson),3,63-66,,
8:36.0,,,63-66,,A. Brooks misses 2-pt shot from 1 ft
8:35.0,,,63-66,,Offensive rebound by J. Noah
8:24.0,,,63-66,,N. Mirotic misses 2-pt shot at rim
8:22.0,Defensive rebound by W. Johnson,,63-66,,
8:14.0,J. Smith misses 2-pt shot from 2 ft,,63-66,,
8:13.0,,,63-66,,Defensive rebound by N. Mirotic
8:02.0,,,63-66,,D. Rose misses 2-pt shot from 21 ft
8:01.0,Defensive rebound by A. Rivers,,63-66,,
7:51.0,A. Rivers misses 2-pt shot from 20 ft,,63-66,,
7:50.0,,,63-66,,Defensive rebound by N. Mirotic
7:31.0,,,63-66,,J. Butler misses 2-pt shot from 16 ft
7:29.0,Defensive rebound by L. Stephenson,,63-66,,
7:19.0,J. Smith makes 3-pt shot from 24 ft (assist by J. Crawford),3,66-66,,
7:19.0,,,66-66,,Chicago full timeout
7:19.0,,,66-66,,P. Gasol enters the game for J. Noah
7:19.0,,,66-66,,T. Gibson enters the game for N. Mirotic
7:19.0,Violation by Team (delay of game),,66-66,,
7:06.0,,,66-66,,P. Gasol misses 2-pt shot from 16 ft
7:05.0,Defensive rebound by J. Smith,,66-66,,
6:52.0,Turnover by J. Smith (bad pass),,66-66,,
6:35.0,,,66-68,2,J. Butler makes 2-pt shot from 22 ft (assist by D. Rose)
6:19.0,Offensive charge foul by L. Stephenson,,66-68,,
6:19.0,Turnover by L. Stephenson (offensive foul),,66-68,,
6:19.0,C. Paul enters the game for A. Rivers,,66-68,,
6:02.0,,,66-68,,P. Gasol misses 2-pt shot from 1 ft
6:01.0,Defensive rebound by J. Smith,,66-68,,
5:59.0,Turnover by J. Smith (bad pass; steal by D. Rose),,66-68,,
5:55.0,,,66-68,,A. Brooks misses 3-pt shot from 24 ft
5:54.0,,,66-68,,Offensive rebound by T. Gibson
5:54.0,,,66-70,2,T. Gibson makes 2-pt shot at rim
5:54.0,LA Clippers full timeout,,66-70,,
5:54.0,D. Jordan enters the game for W. Johnson,,66-70,,
5:54.0,J. Redick enters the game for J. Smith,,66-70,,
5:39.0,J. Redick misses 2-pt shot from 21 ft,,66-70,,
5:38.0,,,66-70,,Defensive rebound by T. Gibson
5:15.0,,,66-73,3,D. Rose makes 3-pt shot from 25 ft (assist by T. Gibson)
4:58.0,L. Stephenson makes 3-pt shot from 25 ft (assist by J. Crawford),3,69-73,,
4:31.0,,,69-76,3,P. Gasol makes 3-pt shot from 23 ft (assist by A. Brooks)
4:11.0,L. Stephenson misses 3-pt shot from 24 ft,,69-76,,
4:10.0,,,69-76,,Defensive rebound by P. Gasol
3:55.0,,,69-76,,D. Rose misses 3-pt shot from 26 ft
3:54.0,Defensive rebound by J. Redick,,69-76,,
3:48.0,C. Paul makes 3-pt shot from 25 ft,3,72-76,,
3:24.0,,,72-78,2,D. Rose makes 2-pt shot from 1 ft (assist by J. Butler)
3:07.0,,,72-78,,Personal foul by A. Brooks (drawn by J. Redick)
2:52.0,C. Paul makes 3-pt shot from 31 ft (assist by J. Redick),3,75-78,,
2:28.0,,,75-78,,Shooting foul by C. Paul (drawn by A. Brooks)
2:28.0,,,75-78,,Chicago full timeout
2:28.0,,,75-79,1,A. Brooks makes free throw 1 of 3
2:28.0,,,75-80,1,A. Brooks makes free throw 2 of 3
2:28.0,,,75-81,1,A. Brooks makes free throw 3 of 3
2:08.0,Turnover by C. Paul (offensive foul),,75-81,,
2:08.0,Offensive foul by C. Paul,,75-81,,
2:08.0,J. Smith enters the game for J. Crawford,,75-81,,
1:52.0,L. Mbah a Moute enters the game for J. Redick,,75-81,,
1:48.0,,,75-81,,A. Brooks misses 3-pt shot from 22 ft
1:47.0,Defensive rebound by J. Smith,,75-81,,
1:44.0,D. Jordan makes 2-pt shot at rim (assist by J. Smith),2,77-81,,
1:27.0,,,77-81,,Turnover by D. Rose (bad pass; steal by D. Jordan)
