time,Minnesota,pts.away,score,pts.home,Indiana
11:30.0,Defensive rebound by G. Dieng,,27-24,,
11:16.0,N. Bjelica makes 2-pt shot from 2 ft (assist by A. Miller),2,29-24,,
10:58.0,,,29-27,3,G. Hill makes 3-pt shot from 25 ft (assist by C. Budinger)
10:36.0,N. Bjelica makes 3-pt shot from 25 ft (assist by A. Miller),3,32-27,,
10:23.0,Personal foul by A. Miller (drawn by G. Hill),,32-27,,
10:14.0,,,32-30,3,C. Budinger makes 3-pt shot from 22 ft (assist by J. Hill)
9:51.0,K. Martin misses 3-pt shot from 26 ft,,32-30,,
9:51.0,,,32-30,,Defensive rebound by G. Robinson
9:44.0,,,32-30,,G. Robinson misses 2-pt shot from 9 ft
9:43.0,Defensive rebound by G. Dieng,,32-30,,
9:34.0,S. Muhammad makes 2-pt shot at rim (assist by A. Miller),2,34-30,,
9:18.0,Violation by A. Miller (kicked ball),,34-30,,
9:04.0,,,34-30,,C. Budinger misses 2-pt shot from 12 ft
9:04.0,,,34-30,,Offensive rebound by J. Hill
9:02.0,,,34-32,2,J. Hill makes 2-pt shot from 1 ft
9:02.0,,,34-32,,Shooting foul by A. Miller (drawn by J. Hill)
9:02.0,,,34-33,1,J. Hill makes free throw 1 of 1
8:47.0,N. Bjelica misses 3-pt shot from 24 ft,,34-33,,
8:45.0,,,34-33,,Defensive rebound by J. Hill
8:40.0,,,34-35,2,C. Budinger makes 2-pt shot from 11 ft
8:40.0,Shooting block foul by K. Martin (drawn by C. Budinger),,34-35,,
8:40.0,Official timeout,,34-35,,
8:40.0,,,34-36,1,C. Budinger makes free throw 1 of 1
8:16.0,N. Bjelica makes 2-pt shot from 3 ft,2,36-36,,
8:01.0,,,36-36,,Shooting foul by S. Muhammad (drawn by G. Robinson)
8:01.0,,,36-36,,G. Robinson misses free throw 1 of 3
8:01.0,,,36-36,,Offensive rebound by Team
8:01.0,,,36-37,1,G. Robinson makes free throw 2 of 3
8:01.0,,,36-38,1,G. Robinson makes free throw 3 of 3
7:44.0,Turnover by A. Miller (bad pass; steal by C. Budinger),,36-38,,
7:26.0,,,36-38,,J. Hill misses 2-pt shot from 19 ft
7:26.0,Defensive rebound by A. Miller,,36-38,,
7:10.0,A. Miller makes 2-pt shot from 1 ft (assist by K. Martin),2,38-38,,
6:55.0,,,38-38,,Turnover by J. Hill (turnover)
6:55.0,A. Wiggins enters the game for K. Martin,,38-38,,
6:38.0,Turnover by G. Dieng (traveling),,38-38,,
6:25.0,,,38-38,,L. Allen misses 2-pt shot from 15 ft
6:24.0,Defensive rebound by G. Dieng,,38-38,,
6:13.0,G. Dieng makes 2-pt shot from 5 ft,2,40-38,,
5:55.0,,,40-41,3,G. Hill makes 3-pt shot from 23 ft (assist by G. Robinson)
5:46.0,Minnesota full timeout,,40-41,,
5:46.0,Z. LaVine enters the game for G. Dieng,,40-41,,
5:46.0,K. Towns enters the game for A. Miller,,40-41,,
5:46.0,,,40-41,,M. Ellis enters the game for G. Hill
5:46.0,,,40-41,,P. George enters the game for C. Budinger
5:46.0,,,40-41,,I. Mahinmi enters the game for J. Hill
5:40.0,A. Wiggins misses 2-pt shot from 16 ft,,40-41,,
5:39.0,,,40-41,,Defensive rebound by I. Mahinmi
5:24.0,,,40-41,,I. Mahinmi misses 2-pt shot from 1 ft
5:23.0,Defensive rebound by N. Bjelica,,40-41,,
5:12.0,S. Muhammad misses 2-pt shot from 16 ft,,40-41,,
5:11.0,,,40-41,,Defensive rebound by G. Robinson
5:06.0,,,40-43,2,M. Ellis makes 2-pt shot from 3 ft (assist by P. George)
4:47.0,Shooting foul by I. Mahinmi (drawn by A. Wiggins),,40-43,,
4:47.0,A. Wiggins makes free throw 1 of 2,1,41-43,,
4:47.0,K. Garnett enters the game for N. Bjelica,,41-43,,
4:47.0,T. Prince enters the game for S. Muhammad,,41-43,,
4:47.0,,,41-43,,C. Miles enters the game for L. Allen
4:47.0,A. Wiggins makes free throw 2 of 2,1,42-43,,
4:29.0,,,42-45,2,P. George makes 2-pt shot from 1 ft
4:11.0,Offensive charge foul by Z. LaVine,,42-45,,
4:11.0,Turnover by Z. LaVine (offensive foul),,42-45,,
3:55.0,,,42-45,,Indiana full timeout
3:55.0,,,42-45,,L. Allen enters the game for C. Miles
3:48.0,,,42-48,3,P. George makes 3-pt shot from 25 ft (assist by M. Ellis)
3:28.0,A. Wiggins misses 2-pt shot from 7 ft,,42-48,,
3:27.0,,,42-48,,Defensive rebound by G. Robinson
3:17.0,,,42-48,,L. Allen misses 2-pt shot from 2 ft
3:16.0,,,42-48,,Offensive rebound by I. Mahinmi
3:15.0,,,42-50,2,I. Mahinmi makes 2-pt shot from 1 ft
3:00.0,Z. LaVine misses 2-pt shot from 21 ft,,42-50,,
2:59.0,,,42-50,,Defensive rebound by G. Robinson
2:53.0,,,42-52,2,G. Robinson makes 2-pt shot from 1 ft
2:34.0,K. Garnett misses 2-pt shot from 20 ft,,42-52,,
2:34.0,,,42-52,,Defensive rebound by P. George
2:25.0,,,42-55,3,P. George makes 3-pt shot from 25 ft
2:07.0,A. Wiggins makes 2-pt shot from 22 ft,2,44-55,,
1:51.0,,,44-57,2,G. Robinson makes 2-pt shot from 5 ft
1:40.0,A. Wiggins makes 2-pt shot from 10 ft,2,46-57,,
1:14.0,,,46-57,,I. Mahinmi misses 2-pt shot from 10 ft
1:13.0,Defensive rebound by K. Garnett,,46-57,,
1:00.0,Z. LaVine makes 2-pt shot from 12 ft,2,48-57,,
0:47.0,,,48-59,2,M. Ellis makes 2-pt shot from 2 ft
0:31.0,Z. LaVine misses 2-pt shot from 17 ft,,48-59,,
0:31.0,,,48-59,,Defensive rebound by G. Robinson
0:09.0,,,48-61,2,M. Ellis makes 2-pt shot from 14 ft
0:02.0,Z. LaVine misses 2-pt shot from 11 ft,,48-61,,
0:02.0,Offensive rebound by K. Towns,,48-61,,
0:01.0,Shooting foul by L. Allen (drawn by K. Towns),,48-61,,
0:01.0,K. Towns makes free throw 1 of 2,1,49-61,,
0:01.0,K. Towns makes free throw 2 of 2,1,50-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,50-63,2,P. George makes 2-pt shot from 16 ft (assist by G. Hill)
11:20.0,Turnover by Team (shot clock),,50-63,,
11:07.0,,,50-63,,Turnover by G. Hill (bad pass; steal by K. Towns)
10:58.0,K. Towns makes 2-pt shot from 3 ft (assist by T. Prince),2,52-63,,
10:40.0,,,52-66,3,M. Ellis makes 3-pt shot from 22 ft (assist by I. Mahinmi)
10:21.0,Shooting foul by P. George (drawn by A. Wiggins),,52-66,,
10:21.0,A. Wiggins makes free throw 1 of 2,1,53-66,,
10:21.0,A. Wiggins makes free throw 2 of 2,1,54-66,,
10:05.0,,,54-68,2,L. Allen makes 2-pt shot from 15 ft (assist by P. George)
9:53.0,Turnover by K. Garnett (bad pass; steal by L. Allen),,54-68,,
9:48.0,,,54-70,2,M. Ellis makes 2-pt shot from 1 ft (assist by G. Hill)
9:47.0,Minnesota full timeout,,54-70,,
9:40.0,Turnover by K. Garnett (bad pass; steal by I. Mahinmi),,54-70,,
9:18.0,,,54-72,2,L. Allen makes 2-pt shot from 11 ft (assist by G. Hill)
9:01.0,A. Wiggins makes 3-pt shot from 25 ft,3,57-72,,
8:46.0,,,57-72,,G. Hill misses 3-pt shot from 24 ft
8:45.0,,,57-72,,Offensive rebound by G. Hill
8:35.0,,,57-74,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by L. Allen)
8:08.0,K. Garnett misses 2-pt shot from 11 ft,,57-74,,
8:07.0,,,57-74,,Defensive rebound by P. George
8:03.0,,,57-74,,Turnover by P. George (lost ball)
8:03.0,N. Bjelica enters the game for K. Garnett,,57-74,,
7:46.0,A. Wiggins misses 3-pt shot from 25 ft,,57-74,,
7:45.0,,,57-74,,Defensive rebound by L. Allen
7:30.0,,,57-76,2,I. Mahinmi makes 2-pt shot from 2 ft
7:15.0,T. Prince makes 2-pt shot from 10 ft,2,59-76,,
6:56.0,,,59-76,,P. George misses 2-pt shot from 15 ft
6:55.0,Defensive rebound by Team,,59-76,,
6:55.0,K. Martin enters the game for T. Prince,,59-76,,
6:48.0,Z. LaVine misses 2-pt shot from 13 ft,,59-76,,
6:47.0,,,59-76,,Defensive rebound by L. Allen
6:44.0,Personal foul by K. Martin (drawn by G. Hill),,59-76,,
6:35.0,,,59-76,,M. Ellis misses 3-pt shot from 25 ft
6:35.0,,,59-76,,Offensive rebound by L. Allen
6:35.0,Loose ball foul by N. Bjelica (drawn by L. Allen),,59-76,,
6:23.0,,,59-76,,P. George misses 2-pt shot from 19 ft
6:20.0,Defensive rebound by Z. LaVine,,59-76,,
6:11.0,Turnover by N. Bjelica (lost ball),,59-76,,
5:57.0,,,59-78,2,L. Allen makes 2-pt shot from 7 ft (assist by M. Ellis)
5:41.0,K. Martin misses 3-pt shot from 26 ft,,59-78,,
5:40.0,,,59-78,,Defensive rebound by P. George
5:35.0,,,59-80,2,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis)
5:35.0,Minnesota full timeout,,59-80,,
5:35.0,S. Muhammad enters the game for K. Towns,,59-80,,
5:20.0,,,59-80,,Shooting block foul by M. Ellis (drawn by A. Wiggins)
5:20.0,A. Wiggins makes free throw 1 of 2,1,60-80,,
5:20.0,,,60-80,,C. Miles enters the game for L. Allen
5:20.0,A. Wiggins misses free throw 2 of 2,,60-80,,
5:20.0,,,60-80,,Defensive rebound by P. George
5:03.0,,,60-83,3,P. George makes 3-pt shot from 25 ft (assist by M. Ellis)
4:42.0,N. Bjelica misses 3-pt shot from 29 ft,,60-83,,
4:42.0,,,60-83,,Defensive rebound by Team
4:20.0,,,60-83,,G. Hill misses 3-pt shot from 24 ft
4:20.0,,,60-83,,Offensive rebound by Team
4:12.0,,,60-83,,Shooting foul by S. Muhammad (drawn by P. George)
4:12.0,,,60-84,1,P. George makes free throw 1 of 2
4:12.0,,,60-85,1,P. George makes free throw 2 of 2
4:06.0,Turnover by Z. LaVine (lost ball; steal by M. Ellis),,60-85,,
4:01.0,,,60-87,2,M. Ellis makes 2-pt shot from 2 ft
3:49.0,Z. LaVine makes 2-pt shot from 2 ft,2,62-87,,
3:35.0,,,62-87,,I. Mahinmi misses 2-pt shot from 9 ft
3:34.0,Defensive rebound by S. Muhammad,,62-87,,
3:22.0,S. Muhammad misses 3-pt shot from 24 ft,,62-87,,
3:22.0,,,62-87,,Defensive rebound by P. George
3:14.0,,,62-87,,P. George misses 3-pt shot from 24 ft
3:13.0,Defensive rebound by S. Muhammad,,62-87,,
3:09.0,S. Muhammad makes 2-pt shot from 2 ft (assist by Z. LaVine),2,64-87,,
3:09.0,Shooting foul by M. Ellis (drawn by S. Muhammad),,64-87,,
3:09.0,,,64-87,,Indiana full timeout
3:09.0,K. Towns enters the game for Z. LaVine,,64-87,,
3:09.0,A. Miller enters the game for N. Bjelica,,64-87,,
3:09.0,S. Muhammad makes free throw 1 of 1,1,65-87,,
2:53.0,,,65-87,,C. Miles misses 3-pt shot from 24 ft
2:52.0,Defensive rebound by K. Towns,,65-87,,
2:47.0,Shooting foul by P. George (drawn by A. Miller),,65-87,,
2:47.0,A. Miller makes free throw 1 of 2,1,66-87,,
2:47.0,Z. LaVine enters the game for S. Muhammad,,66-87,,
2:47.0,A. Miller makes free throw 2 of 2,1,67-87,,
2:41.0,,,67-87,,Turnover by G. Hill (lost ball; steal by A. Miller)
2:35.0,Z. LaVine makes 2-pt shot from 1 ft (assist by A. Wiggins),2,69-87,,
2:35.0,,,69-87,,Indiana full timeout
2:35.0,S. Muhammad enters the game for K. Martin,,69-87,,
2:21.0,,,69-87,,M. Ellis misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by A. Miller,,69-87,,
2:08.0,Turnover by S. Muhammad (lost ball; steal by G. Hill),,69-87,,
1:52.0,,,69-87,,Turnover by C. Miles (traveling)
1:52.0,,,69-87,,C. Budinger enters the game for G. Hill
1:52.0,,,69-87,,J. Hill enters the game for I. Mahinmi
1:40.0,A. Miller makes 2-pt shot from 15 ft,2,71-87,,
1:23.0,Personal foul by A. Wiggins (drawn by J. Hill),,71-87,,
1:20.0,,,71-89,2,P. George makes 2-pt shot from 2 ft (assist by C. Budinger)
1:03.0,Z. LaVine misses 2-pt shot from 17 ft,,71-89,,
1:02.0,,,71-89,,Defensive rebound by P. George
0:44.0,,,71-89,,Shooting foul by A. Miller (drawn by P. George)
0:44.0,,,71-89,,P. George misses free throw 1 of 2
0:44.0,,,71-89,,Offensive rebound by Team
0:44.0,,,71-90,1,P. George makes free throw 2 of 2
0:31.0,S. Muhammad makes 2-pt shot from 10 ft,2,73-90,,
0:10.0,,,73-90,,M. Ellis misses 3-pt shot from 25 ft
0:09.0,,,73-90,,Offensive rebound by J. Hill
0:04.0,,,73-90,,Turnover by J. Hill (turnover)
0:00.0,Z. LaVine misses 3-pt shot from 25 ft,,73-90,,
0:00.0,Offensive rebound by Team,,73-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,A. Wiggins misses 2-pt shot from 10 ft,,73-90,,
11:45.0,Offensive rebound by K. Towns,,73-90,,
11:45.0,K. Towns makes 2-pt shot from 1 ft,2,75-90,,
11:26.0,,,75-90,,C. Miles misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by A. Wiggins,,75-90,,
11:16.0,A. Wiggins misses 2-pt shot from 2 ft (block by G. Robinson),,75-90,,
11:16.0,Offensive rebound by Team,,75-90,,
11:11.0,K. Towns misses 2-pt shot from 8 ft,,75-90,,
11:10.0,Offensive rebound by A. Miller,,75-90,,
11:04.0,A. Wiggins makes 2-pt shot from 1 ft (assist by S. Muhammad),2,77-90,,
10:40.0,,,77-90,,G. Hill misses 2-pt shot from 15 ft
10:39.0,Defensive rebound by A. Miller,,77-90,,
10:16.0,Turnover by S. Muhammad (3 sec),,77-90,,
9:59.0,,,77-90,,J. Hill misses 2-pt shot from 2 ft
9:58.0,,,77-90,,Offensive rebound by J. Hill
9:52.0,,,77-90,,G. Robinson misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by A. Wiggins,,77-90,,
9:44.0,S. Muhammad misses 2-pt shot from 6 ft (block by C. Budinger),,77-90,,
9:42.0,,,77-90,,Defensive rebound by J. Hill
9:37.0,,,77-92,2,C. Miles makes 2-pt shot from 1 ft (assist by C. Budinger)
9:37.0,Minnesota full timeout,,77-92,,
9:37.0,D. Rudez enters the game for S. Muhammad,,77-92,,
9:26.0,A. Wiggins makes 2-pt shot from 16 ft,2,79-92,,
9:02.0,,,79-92,,C. Miles misses 2-pt shot from 21 ft
9:00.0,,,79-92,,Offensive rebound by J. Hill
8:44.0,G. Dieng enters the game for K. Towns,,79-92,,
8:44.0,,,79-92,,P. George enters the game for C. Budinger
8:44.0,,,79-92,,L. Allen enters the game for C. Miles
8:40.0,,,79-92,,P. George misses 2-pt shot from 17 ft
8:40.0,Defensive rebound by G. Dieng,,79-92,,
8:29.0,Z. LaVine makes 3-pt shot from 22 ft (assist by A. Wiggins),3,82-92,,
8:06.0,,,82-94,2,G. Robinson makes 2-pt shot from 1 ft
7:38.0,Z. LaVine misses 3-pt shot from 26 ft,,82-94,,
7:37.0,Offensive rebound by G. Dieng,,82-94,,
7:33.0,G. Dieng misses 2-pt shot from 1 ft,,82-94,,
7:32.0,,,82-94,,Defensive rebound by P. George
7:26.0,Personal foul by G. Dieng (drawn by P. George),,82-94,,
7:26.0,,,82-94,,I. Mahinmi enters the game for J. Hill
7:24.0,,,82-94,,Shooting foul by G. Dieng (drawn by I. Mahinmi)
7:24.0,,,82-94,,I. Mahinmi misses free throw 1 of 2
7:24.0,,,82-94,,Offensive rebound by Team
7:24.0,,,82-94,,I. Mahinmi misses free throw 2 of 2
7:23.0,Defensive rebound by Team,,82-94,,
7:06.0,A. Miller makes 2-pt shot from 14 ft,2,84-94,,
7:05.0,,,84-94,,Indiana full timeout
7:05.0,,,84-94,,M. Ellis enters the game for G. Hill
7:05.0,N. Bjelica enters the game for G. Dieng,,84-94,,
6:57.0,Personal foul by A. Miller (drawn by L. Allen),,84-94,,
6:42.0,,,84-94,,M. Ellis misses 2-pt shot from 21 ft
6:41.0,,,84-94,,Offensive rebound by I. Mahinmi
6:40.0,,,84-94,,I. Mahinmi misses 2-pt shot from 1 ft
6:39.0,Defensive rebound by Team,,84-94,,
6:27.0,A. Wiggins misses 2-pt shot from 2 ft,,84-94,,
6:26.0,,,84-94,,Defensive rebound by P. George
6:22.0,,,84-94,,Turnover by G. Robinson (lost ball; steal by Z. LaVine)
6:06.0,A. Miller makes 2-pt shot from 1 ft,2,86-94,,
5:44.0,,,86-94,,G. Robinson misses 2-pt shot from 19 ft
5:44.0,Defensive rebound by N. Bjelica,,86-94,,
5:33.0,Z. LaVine misses 2-pt shot from 3 ft,,86-94,,
5:32.0,,,86-94,,Defensive rebound by L. Allen
5:23.0,,,86-94,,P. George misses 2-pt shot from 17 ft
5:23.0,Defensive rebound by Z. LaVine,,86-94,,
5:03.0,A. Wiggins makes 2-pt shot from 2 ft,2,88-94,,
4:40.0,,,88-94,,L. Allen misses 2-pt shot from 5 ft
4:39.0,,,88-94,,Offensive rebound by M. Ellis
4:38.0,,,88-94,,M. Ellis misses 2-pt shot from 2 ft
4:37.0,Defensive rebound by D. Rudez,,88-94,,
4:31.0,Z. LaVine makes 2-pt shot from 2 ft (assist by A. Miller),2,90-94,,
4:12.0,,,90-97,3,G. Robinson makes 3-pt shot from 26 ft (assist by P. George)
3:50.0,Turnover by A. Miller (lost ball; steal by L. Allen),,90-97,,
3:43.0,,,90-97,,G. Robinson misses 3-pt shot from 23 ft
3:42.0,,,90-97,,Offensive rebound by I. Mahinmi
3:27.0,,,90-97,,P. George misses 2-pt shot from 22 ft
3:27.0,Defensive rebound by Z. LaVine,,90-97,,
3:16.0,Z. LaVine makes 2-pt shot at rim,2,92-97,,
2:59.0,,,92-99,2,M. Ellis makes 2-pt shot from 10 ft
2:47.0,N. Bjelica misses 2-pt shot from 5 ft,,92-99,,
2:46.0,,,92-99,,Defensive rebound by I. Mahinmi
2:40.0,Shooting block foul by A. Wiggins (drawn by P. George),,92-99,,
2:40.0,Official timeout,,92-99,,
2:40.0,,,92-99,,G. Hill enters the game for L. Allen
2:40.0,,,92-99,,C. Miles enters the game for G. Robinson
2:40.0,S. Muhammad enters the game for D. Rudez,,92-99,,
2:40.0,,,92-100,1,P. George makes free throw 1 of 2
2:40.0,,,92-101,1,P. George makes free throw 2 of 2
2:28.0,A. Wiggins misses 3-pt shot from 26 ft,,92-101,,
2:27.0,Offensive rebound by S. Muhammad,,92-101,,
2:26.0,,,92-101,,Personal foul by G. Hill (drawn by S. Muhammad)
2:18.0,Z. LaVine makes 3-pt shot from 24 ft (assist by N. Bjelica),3,95-101,,
2:12.0,Personal take foul by N. Bjelica (drawn by I. Mahinmi),,95-101,,
2:12.0,,,95-101,,I. Mahinmi misses free throw 1 of 2
2:12.0,,,95-101,,Offensive rebound by Team
2:12.0,,,95-101,,I. Mahinmi misses free throw 2 of 2
2:11.0,Defensive rebound by Z. LaVine,,95-101,,
1:59.0,N. Bjelica makes 3-pt shot from 25 ft (assist by A. Miller),3,98-101,,
1:59.0,,,98-101,,Indiana full timeout
1:38.0,,,98-101,,C. Miles misses 3-pt shot from 23 ft
1:37.0,Defensive rebound by Z. LaVine,,98-101,,
1:18.0,A. Wiggins makes 2-pt shot from 3 ft,2,100-101,,
1:00.0,,,100-101,,Turnover by M. Ellis (lost ball; steal by N. Bjelica)
0:55.0,Turnover by A. Miller (turnover),,100-101,,
0:55.0,,,100-101,,L. Allen enters the game for I. Mahinmi
0:41.0,,,100-103,2,M. Ellis makes 2-pt shot from 3 ft
0:25.0,A. Miller misses 2-pt shot from 1 ft (block by M. Ellis),,100-103,,
0:24.0,,,100-103,,Defensive rebound by L. Allen
0:20.0,,,100-103,,Shooting foul by N. Bjelica (drawn by C. Miles)
0:20.0,,,100-103,,C. Miles misses free throw 1 of 2
0:20.0,,,100-103,,Offensive rebound by Team
0:20.0,K. Towns enters the game for Z. LaVine,,100-103,,
0:20.0,,,100-104,1,C. Miles makes free throw 2 of 2
0:20.0,Minnesota full timeout,,100-104,,
0:20.0,T. Prince enters the game for K. Towns,,100-104,,
0:20.0,Z. LaVine enters the game for S. Muhammad,,100-104,,
0:17.0,,,100-104,,Personal foul by L. Allen (drawn by N. Bjelica)
0:12.0,A. Wiggins misses 3-pt shot from 26 ft,,100-104,,
0:12.0,,,100-104,,Defensive rebound by Team
0:11.0,Personal take foul by A. Wiggins (drawn by P. George),,100-104,,
0:11.0,,,100-105,1,P. George makes free throw 1 of 2
0:11.0,K. Towns enters the game for Z. LaVine,,100-105,,
0:11.0,,,100-106,1,P. George makes free throw 2 of 2
0:11.0,Minnesota full timeout,,100-106,,
0:11.0,Z. LaVine enters the game for K. Towns,,100-106,,
0:06.0,Z. LaVine makes 3-pt shot from 27 ft,3,103-106,,
