time,Chicago,pts.away,score,pts.home,Utah
10:01.0,T. Snell makes 3-pt shot from 24 ft (assist by T. Gibson),3,31-26,,
9:47.0,,,31-29,3,T. Burke makes 3-pt shot from 24 ft (assist by R. Hood)
9:19.0,T. Gibson misses 3-pt shot from 24 ft,,31-29,,
9:19.0,Offensive rebound by Team,,31-29,,
9:19.0,Turnover by Team (shot clock),,31-29,,
9:04.0,,,31-32,3,R. Hood makes 3-pt shot from 24 ft (assist by T. Burke)
8:43.0,Turnover by D. McDermott (lost ball),,31-32,,
8:43.0,,,31-32,,Utah full timeout
8:43.0,D. Rose enters the game for K. Hinrich,,31-32,,
8:28.0,,,31-32,,Shooting foul by T. Gibson (drawn by D. Favors)
8:28.0,,,31-32,,D. Favors misses free throw 1 of 2
8:28.0,,,31-32,,Offensive rebound by Team
8:28.0,,,31-33,1,D. Favors makes free throw 2 of 2
8:15.0,Turnover by D. McDermott (bad pass; steal by J. Ingles),,31-33,,
8:01.0,,,31-33,,Shooting foul by T. Snell (drawn by D. Favors)
8:01.0,,,31-34,1,D. Favors makes free throw 1 of 2
8:01.0,,,31-34,,R. Neto enters the game for T. Burke
8:01.0,,,31-34,,G. Hayward enters the game for R. Hood
8:01.0,J. Butler enters the game for T. Snell,,31-34,,
8:01.0,,,31-34,,D. Favors misses free throw 2 of 2
8:00.0,Defensive rebound by D. McDermott,,31-34,,
7:45.0,D. Rose misses 2-pt shot from 1 ft,,31-34,,
7:44.0,,,31-34,,Defensive rebound by T. Booker
7:30.0,,,31-37,3,R. Neto makes 3-pt shot from 24 ft (assist by G. Hayward)
7:12.0,D. McDermott misses 3-pt shot from 23 ft,,31-37,,
7:12.0,,,31-37,,Defensive rebound by T. Booker
6:58.0,,,31-37,,D. Favors misses 2-pt shot from 2 ft (block by T. Gibson)
6:56.0,Defensive rebound by D. McDermott,,31-37,,
6:54.0,Turnover by J. Butler (bad pass),,31-37,,
6:42.0,,,31-40,3,G. Hayward makes 3-pt shot from 24 ft (assist by T. Booker)
6:42.0,Chicago full timeout,,31-40,,
6:42.0,P. Gasol enters the game for B. Portis,,31-40,,
6:24.0,D. McDermott misses 2-pt shot from 22 ft,,31-40,,
6:23.0,Offensive rebound by T. Gibson,,31-40,,
6:19.0,D. McDermott makes 3-pt shot from 24 ft (assist by T. Gibson),3,34-40,,
6:02.0,,,34-40,,T. Booker misses 2-pt shot from 15 ft
6:02.0,Defensive rebound by T. Gibson,,34-40,,
5:50.0,D. Rose makes 2-pt shot from 8 ft,2,36-40,,
5:31.0,,,36-40,,R. Neto misses 2-pt shot from 9 ft
5:31.0,,,36-40,,Offensive rebound by Team
5:31.0,Personal foul by P. Gasol (drawn by D. Favors),,36-40,,
5:31.0,,,36-40,,R. Gobert enters the game for T. Booker
5:31.0,,,36-40,,R. Hood enters the game for J. Ingles
5:26.0,,,36-40,,Turnover by G. Hayward (traveling)
5:16.0,,,36-40,,T. Burke enters the game for R. Neto
5:11.0,D. McDermott makes 2-pt shot from 12 ft,2,38-40,,
4:54.0,,,38-40,,D. Favors misses 2-pt shot from 6 ft
4:54.0,Defensive rebound by Team,,38-40,,
4:54.0,,,38-40,,Personal foul by R. Gobert (drawn by P. Gasol)
4:44.0,J. Butler makes 3-pt shot from 24 ft,3,41-40,,
4:44.0,,,41-40,,Utah full timeout
4:44.0,,,41-40,,T. Lyles enters the game for D. Favors
4:21.0,,,41-40,,T. Burke misses 3-pt shot from 24 ft (block by D. Rose)
4:21.0,Defensive rebound by J. Butler,,41-40,,
4:12.0,Offensive foul by T. Gibson,,41-40,,
4:12.0,Turnover by T. Gibson (offensive foul),,41-40,,
