time,Philadelphia,pts.away,score,pts.home,Chicago
7:39.0,I. Smith misses 2-pt shot from 20 ft,,8-4,,
7:38.0,,,8-4,,Defensive rebound by T. Snell
7:23.0,,,8-4,,N. Mirotic misses 3-pt shot from 25 ft
7:22.0,,,8-4,,Offensive rebound by J. Holiday
7:17.0,,,8-4,,C. Felicio misses 2-pt shot from 2 ft
7:15.0,Defensive rebound by K. Marshall,,8-4,,
7:12.0,,,8-4,,Personal foul by J. Holiday
7:01.0,J. Grant misses 2-pt shot from 1 ft (block by N. Mirotic),,8-4,,
7:00.0,,,8-4,,Defensive rebound by C. Felicio
6:45.0,,,8-7,3,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Butler)
6:32.0,N. Noel misses 2-pt shot from 21 ft,,8-7,,
6:31.0,,,8-7,,Defensive rebound by J. Holiday
6:21.0,Personal foul by I. Smith,,8-7,,
6:21.0,,,8-7,,Chicago full timeout
6:21.0,H. Thompson enters the game for R. Covington,,8-7,,
6:17.0,,,8-9,2,J. Butler makes 2-pt shot at rim (assist by N. Mirotic)
6:00.0,J. Grant makes 2-pt shot at rim (assist by I. Smith),2,10-9,,
5:45.0,,,10-9,,J. Butler misses 2-pt shot from 10 ft
5:45.0,,,10-9,,Offensive rebound by J. Butler
5:45.0,Personal foul by K. Marshall,,10-9,,
5:45.0,T. McConnell enters the game for K. Marshall,,10-9,,
5:38.0,,,10-9,,J. Holiday misses 2-pt shot from 14 ft
5:37.0,Defensive rebound by T. McConnell,,10-9,,
5:25.0,H. Thompson makes 2-pt shot from 15 ft,2,12-9,,
5:05.0,,,12-11,2,J. Holiday makes 2-pt shot from 18 ft (assist by J. Butler)
4:40.0,J. Grant makes 3-pt shot from 25 ft (assist by I. Smith),3,15-11,,
4:30.0,,,15-11,,Turnover by J. Holiday (bad pass)
4:30.0,,,15-11,,D. McDermott enters the game for T. Snell
4:30.0,,,15-11,,B. Portis enters the game for C. Felicio
4:11.0,T. McConnell makes 3-pt shot from 25 ft (assist by I. Smith),3,18-11,,
3:53.0,,,18-11,,J. Butler misses 2-pt shot from 2 ft (block by H. Thompson)
3:51.0,Defensive rebound by J. Grant,,18-11,,
3:43.0,H. Thompson makes 3-pt shot from 25 ft (assist by T. McConnell),3,21-11,,
3:28.0,,,21-13,2,N. Mirotic makes 2-pt shot from 4 ft (assist by B. Portis)
3:11.0,,,21-13,,Personal foul by D. McDermott
3:11.0,,,21-13,,A. Brooks enters the game for J. Butler
3:11.0,Philadelphia full timeout,,21-13,,
2:58.0,N. Noel misses 2-pt shot from 17 ft,,21-13,,
2:57.0,,,21-13,,Defensive rebound by B. Portis
2:49.0,,,21-13,,N. Mirotic misses 2-pt shot from 21 ft
2:48.0,Defensive rebound by T. McConnell,,21-13,,
2:41.0,,,21-13,,Personal foul by N. Mirotic
2:41.0,J. Grant misses free throw 1 of 2,,21-13,,
2:41.0,Offensive rebound by Team,,21-13,,
2:41.0,J. Grant makes free throw 2 of 2,1,22-13,,
2:28.0,,,22-13,,Turnover by J. Holiday (lost ball; steal by T. McConnell)
2:14.0,R. Covington enters the game for J. Grant,,22-13,,
2:13.0,,,22-13,,Personal foul by A. Brooks
2:04.0,T. McConnell makes 2-pt shot from 5 ft,2,24-13,,
1:54.0,,,24-13,,B. Portis misses 2-pt shot from 20 ft
1:53.0,Defensive rebound by R. Covington,,24-13,,
1:43.0,Turnover by T. McConnell (bad pass),,24-13,,
1:43.0,K. Marshall enters the game for I. Smith,,24-13,,
1:40.0,,,24-15,2,D. McDermott makes 2-pt shot from 1 ft (assist by N. Mirotic)
1:40.0,,,24-15,,Shooting foul by H. Thompson (drawn by D. McDermott)
1:40.0,,,24-16,1,D. McDermott makes free throw 1 of 1
1:30.0,H. Thompson makes 2-pt shot from 1 ft (assist by T. McConnell),2,26-16,,
1:09.0,,,26-16,,B. Portis misses 2-pt shot from 15 ft
1:08.0,Defensive rebound by N. Noel,,26-16,,
0:52.0,K. Marshall misses 2-pt shot from 1 ft (block by J. Holiday),,26-16,,
0:51.0,Offensive rebound by N. Noel,,26-16,,
0:51.0,N. Noel makes 2-pt shot at rim,2,28-16,,
0:42.0,,,28-16,,Turnover by B. Portis (bad pass)
0:37.0,T. McConnell makes 2-pt shot at rim,2,30-16,,
0:20.0,,,30-16,,N. Mirotic misses 2-pt shot from 3 ft
0:18.0,Defensive rebound by N. Noel,,30-16,,
0:03.0,T. McConnell makes 2-pt shot from 4 ft,2,32-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,32-18,2,D. McDermott makes 2-pt shot from 14 ft
11:22.0,J. Grant misses 2-pt shot from 1 ft,,32-18,,
11:21.0,,,32-18,,Defensive rebound by B. Portis
11:19.0,,,32-18,,Turnover by B. Portis (lost ball; steal by T. McConnell)
10:57.0,J. Grant makes 2-pt shot from 1 ft (assist by R. Covington),2,34-18,,
10:40.0,,,34-18,,Turnover by T. Snell (lost ball; steal by T. McConnell)
10:31.0,R. Covington makes 3-pt shot from 24 ft (assist by T. McConnell),3,37-18,,
10:31.0,,,37-18,,Chicago full timeout
10:10.0,,,37-18,,Turnover by J. Butler (bad pass)
10:01.0,H. Thompson makes 2-pt shot from 9 ft (assist by T. McConnell),2,39-18,,
9:40.0,,,39-18,,Turnover by J. Butler (lost ball; steal by R. Covington)
9:27.0,R. Covington makes 3-pt shot from 24 ft (assist by T. McConnell),3,42-18,,
9:15.0,,,42-20,2,J. Butler makes 2-pt shot from 9 ft
9:15.0,,,42-20,,Shooting foul by K. Marshall (drawn by J. Butler)
9:15.0,,,42-21,1,J. Butler makes free throw 1 of 1
9:15.0,Philadelphia full timeout,,42-21,,
8:57.0,Turnover by H. Thompson (lost ball; steal by B. Portis),,42-21,,
8:42.0,Turnover by T. McConnell (lost ball),,42-21,,
8:42.0,,,42-21,,Turnover by B. Portis (bad pass)
8:27.0,,,42-24,3,B. Portis makes 3-pt shot from 24 ft (assist by J. Butler)
8:02.0,K. Marshall makes 3-pt shot from 24 ft (assist by T. McConnell),3,45-24,,
7:44.0,Personal foul by T. McConnell,,45-24,,
7:44.0,I. Smith enters the game for T. McConnell,,45-24,,
7:44.0,N. Noel enters the game for H. Thompson,,45-24,,
7:33.0,,,45-24,,J. Butler misses 2-pt shot from 1 ft
7:31.0,,,45-24,,Offensive rebound by C. Felicio
7:30.0,,,45-26,2,C. Felicio makes 2-pt shot at rim
7:21.0,R. Covington misses 3-pt shot from 26 ft,,45-26,,
7:20.0,,,45-26,,Defensive rebound by B. Portis
7:09.0,,,45-26,,J. Butler misses 2-pt shot from 2 ft (block by N. Noel)
7:07.0,Defensive rebound by I. Smith,,45-26,,
7:02.0,Shooting foul by J. Butler (drawn by J. Grant),,45-26,,
7:02.0,J. Grant makes free throw 1 of 2,1,46-26,,
7:02.0,J. Grant makes free throw 2 of 2,1,47-26,,
6:54.0,Personal foul by R. Covington,,47-26,,
6:45.0,,,47-26,,T. Snell misses 2-pt shot from 9 ft
6:44.0,Defensive rebound by J. Grant,,47-26,,
6:19.0,J. Grant misses 3-pt shot from 26 ft,,47-26,,
6:18.0,,,47-26,,Defensive rebound by J. Butler
6:07.0,,,47-26,,Shooting foul by J. Grant (drawn by T. Snell)
6:07.0,,,47-27,1,T. Snell makes free throw 1 of 3
6:07.0,,,47-28,1,T. Snell makes free throw 2 of 3
6:07.0,,,47-28,,J. Holiday enters the game for J. Butler
6:07.0,,,47-28,,N. Mirotic enters the game for B. Portis
6:07.0,,,47-29,1,T. Snell makes free throw 3 of 3
5:55.0,R. Covington misses 2-pt shot from 3 ft,,47-29,,
5:54.0,,,47-29,,Defensive rebound by T. Snell
5:47.0,,,47-29,,C. Felicio misses 2-pt shot from 2 ft (block by J. Grant)
5:47.0,Defensive rebound by Team,,47-29,,
5:28.0,Turnover by K. Marshall (lost ball; steal by N. Mirotic),,47-29,,
5:23.0,Personal foul by J. Grant,,47-29,,
5:23.0,,,47-30,1,N. Mirotic makes free throw 1 of 2
5:23.0,H. Thompson enters the game for J. Grant,,47-30,,
5:23.0,,,47-31,1,N. Mirotic makes free throw 2 of 2
5:03.0,K. Marshall makes 2-pt shot from 7 ft,2,49-31,,
4:55.0,,,49-31,,Shooting foul by N. Noel (drawn by C. Felicio)
4:55.0,,,49-32,1,C. Felicio makes free throw 1 of 2
4:55.0,,,49-33,1,C. Felicio makes free throw 2 of 2
4:43.0,R. Covington makes 3-pt shot from 24 ft (assist by I. Smith),3,52-33,,
4:34.0,,,52-33,,Shooting foul by N. Noel (drawn by J. Holiday)
4:34.0,,,52-34,1,J. Holiday makes free throw 1 of 2
4:34.0,,,52-35,1,J. Holiday makes free throw 2 of 2
4:14.0,I. Smith misses 3-pt shot from 24 ft,,52-35,,
4:13.0,,,52-35,,Defensive rebound by J. Holiday
4:06.0,,,52-37,2,D. McDermott makes 2-pt shot from 2 ft (assist by J. Holiday)
3:47.0,R. Covington makes 3-pt shot from 26 ft (assist by K. Marshall),3,55-37,,
3:37.0,,,55-37,,Turnover by J. Holiday (lost ball; steal by H. Thompson)
3:28.0,H. Thompson misses 3-pt shot from 24 ft,,55-37,,
3:27.0,,,55-37,,Defensive rebound by Team
3:11.0,,,55-37,,Turnover by C. Felicio (lost ball; steal by N. Noel)
3:07.0,Shooting foul by C. Felicio (drawn by R. Covington),,55-37,,
3:07.0,R. Covington makes free throw 1 of 2,1,56-37,,
3:07.0,T. McConnell enters the game for K. Marshall,,56-37,,
3:07.0,R. Covington makes free throw 2 of 2,1,57-37,,
2:48.0,,,57-39,2,C. Felicio makes 2-pt shot at rim (assist by J. Holiday)
2:27.0,I. Smith makes 3-pt shot from 23 ft (assist by T. McConnell),3,60-39,,
2:17.0,,,60-39,,Shooting foul by H. Thompson (drawn by J. Holiday)
2:17.0,,,60-39,,Chicago full timeout
2:17.0,,,60-40,1,J. Holiday makes free throw 1 of 2
2:17.0,,,60-41,1,J. Holiday makes free throw 2 of 2
1:55.0,R. Covington misses 3-pt shot from 25 ft,,60-41,,
1:53.0,,,60-41,,Defensive rebound by C. Felicio
1:39.0,,,60-44,3,N. Mirotic makes 3-pt shot from 24 ft (assist by C. Felicio)
1:21.0,Offensive charge foul by R. Covington,,60-44,,
1:21.0,Turnover by R. Covington (offensive foul),,60-44,,
1:05.0,,,60-47,3,N. Mirotic makes 3-pt shot from 25 ft (assist by D. McDermott)
0:50.0,Turnover by T. McConnell (lost ball),,60-47,,
0:37.0,,,60-47,,C. Felicio misses 2-pt shot from 16 ft
0:35.0,Defensive rebound by I. Smith,,60-47,,
0:24.0,R. Covington misses 3-pt shot from 24 ft,,60-47,,
0:23.0,,,60-47,,Defensive rebound by C. Felicio
0:17.0,,,60-49,2,J. Holiday makes 2-pt shot from 1 ft (assist by C. Felicio)
0:04.0,Turnover by T. McConnell (lost ball; steal by J. Holiday),,60-49,,
0:01.0,,,60-51,2,J. Holiday makes 2-pt shot at rim
0:00.0,N. Noel misses 3-pt shot from 44 ft,,60-51,,
0:00.0,Offensive rebound by Team,,60-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,60-54,3,J. Holiday makes 3-pt shot from 22 ft (assist by J. Butler)
11:31.0,Turnover by I. Smith (lost ball; steal by N. Mirotic),,60-54,,
11:27.0,,,60-56,2,N. Mirotic makes 2-pt shot from 2 ft (assist by J. Butler)
11:11.0,N. Noel misses 2-pt shot from 10 ft,,60-56,,
11:09.0,,,60-56,,Defensive rebound by T. Snell
10:59.0,,,60-56,,J. Butler misses 2-pt shot from 8 ft
10:58.0,,,60-56,,Offensive rebound by C. Felicio
10:46.0,,,60-56,,Offensive charge foul by C. Felicio
10:46.0,,,60-56,,Turnover by C. Felicio (offensive foul)
10:31.0,Turnover by I. Smith (lost ball; steal by N. Mirotic),,60-56,,
10:26.0,,,60-58,2,J. Butler makes 2-pt shot at rim (assist by N. Mirotic)
10:25.0,Philadelphia full timeout,,60-58,,
10:05.0,K. Marshall misses 2-pt shot from 9 ft,,60-58,,
10:04.0,,,60-58,,Defensive rebound by N. Mirotic
10:03.0,,,60-58,,Turnover by N. Mirotic (lost ball; steal by N. Noel)
10:03.0,Shooting foul by N. Mirotic (drawn by N. Noel),,60-58,,
10:03.0,N. Noel makes free throw 1 of 2,1,61-58,,
10:03.0,N. Noel misses free throw 2 of 2,,61-58,,
10:02.0,,,61-58,,Defensive rebound by N. Mirotic
9:44.0,,,61-58,,T. Snell misses 3-pt shot from 24 ft
9:44.0,,,61-58,,Offensive rebound by C. Felicio
9:44.0,Personal foul by R. Covington,,61-58,,
9:39.0,,,61-61,3,J. Holiday makes 3-pt shot from 25 ft (assist by J. Butler)
9:28.0,J. Grant misses 2-pt shot from 2 ft,,61-61,,
9:27.0,,,61-61,,Defensive rebound by J. Butler
9:20.0,,,61-61,,Turnover by J. Butler (lost ball; steal by J. Grant)
9:07.0,I. Smith misses 2-pt shot from 2 ft,,61-61,,
9:06.0,,,61-61,,Defensive rebound by N. Mirotic
8:57.0,,,61-64,3,T. Snell makes 3-pt shot from 24 ft (assist by C. Felicio)
8:55.0,Philadelphia full timeout,,61-64,,
8:37.0,Shooting foul by N. Mirotic (drawn by J. Grant),,61-64,,
8:37.0,J. Grant makes free throw 1 of 2,1,62-64,,
8:37.0,T. McConnell enters the game for K. Marshall,,62-64,,
8:37.0,J. Grant misses free throw 2 of 2,,62-64,,
8:36.0,,,62-64,,Defensive rebound by J. Butler
8:23.0,,,62-64,,Shooting foul by N. Noel (drawn by J. Butler)
8:23.0,,,62-65,1,J. Butler makes free throw 1 of 2
8:23.0,,,62-65,,J. Butler misses free throw 2 of 2
8:21.0,,,62-65,,Offensive rebound by J. Butler
8:15.0,,,62-68,3,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Butler)
7:59.0,N. Noel makes 2-pt shot from 14 ft (assist by T. McConnell),2,64-68,,
7:43.0,,,64-71,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Butler)
7:25.0,J. Grant misses 2-pt shot from 7 ft,,64-71,,
7:24.0,,,64-71,,Defensive rebound by C. Felicio
7:04.0,,,64-71,,N. Mirotic misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by N. Noel,,64-71,,
6:55.0,J. Grant makes 2-pt shot at rim (assist by I. Smith),2,66-71,,
6:34.0,H. Thompson enters the game for N. Noel,,66-71,,
6:26.0,,,66-71,,C. Felicio misses 3-pt shot from 26 ft
6:25.0,Defensive rebound by R. Covington,,66-71,,
6:09.0,J. Grant misses 2-pt shot from 3 ft,,66-71,,
6:08.0,,,66-71,,Defensive rebound by C. Felicio
5:59.0,Personal foul by I. Smith,,66-71,,
5:59.0,,,66-71,,D. McDermott enters the game for N. Mirotic
5:59.0,,,66-71,,B. Portis enters the game for J. Butler
5:55.0,,,66-73,2,J. Holiday makes 2-pt shot from 17 ft
5:34.0,H. Thompson misses 3-pt shot from 24 ft,,66-73,,
5:33.0,,,66-73,,Defensive rebound by D. McDermott
5:21.0,,,66-73,,T. Snell misses 2-pt shot from 21 ft
5:20.0,Defensive rebound by T. McConnell,,66-73,,
5:13.0,Shooting foul by T. Snell (drawn by R. Covington),,66-73,,
5:13.0,R. Covington makes free throw 1 of 2,1,67-73,,
5:13.0,N. Noel enters the game for J. Grant,,67-73,,
5:13.0,R. Covington makes free throw 2 of 2,1,68-73,,
4:59.0,,,68-75,2,D. McDermott makes 2-pt shot from 2 ft (assist by C. Felicio)
4:38.0,T. McConnell misses 2-pt shot from 15 ft,,68-75,,
4:37.0,,,68-75,,Defensive rebound by B. Portis
4:29.0,,,68-78,3,J. Holiday makes 3-pt shot from 23 ft (assist by D. McDermott)
4:27.0,Philadelphia full timeout,,68-78,,
4:27.0,K. Marshall enters the game for I. Smith,,68-78,,
4:08.0,R. Covington misses 3-pt shot from 24 ft,,68-78,,
4:07.0,,,68-78,,Defensive rebound by T. Snell
4:00.0,,,68-78,,Turnover by J. Holiday (lost ball; steal by N. Noel)
3:54.0,N. Noel misses 2-pt shot from 2 ft (block by C. Felicio),,68-78,,
3:54.0,,,68-78,,Defensive rebound by Team
3:30.0,,,68-78,,D. McDermott misses 2-pt shot from 14 ft
3:29.0,Defensive rebound by R. Covington,,68-78,,
3:08.0,R. Covington misses 2-pt shot from 2 ft (block by C. Felicio),,68-78,,
3:07.0,,,68-78,,Defensive rebound by B. Portis
3:02.0,,,68-78,,Turnover by B. Portis (bad pass)
3:02.0,J. Grant enters the game for R. Covington,,68-78,,
2:52.0,Shooting foul by D. McDermott (drawn by H. Thompson),,68-78,,
2:52.0,H. Thompson makes free throw 1 of 3,1,69-78,,
2:52.0,H. Thompson misses free throw 2 of 3,,69-78,,
2:52.0,Offensive rebound by Team,,69-78,,
2:52.0,,,69-78,,N. Mirotic enters the game for C. Felicio
2:52.0,H. Thompson makes free throw 3 of 3,1,70-78,,
2:36.0,,,70-78,,J. Holiday misses 2-pt shot from 1 ft (block by N. Noel)
2:34.0,,,70-78,,Offensive rebound by B. Portis
2:34.0,,,70-80,2,B. Portis makes 2-pt shot at rim
2:13.0,H. Thompson misses 3-pt shot from 24 ft,,70-80,,
2:12.0,,,70-80,,Defensive rebound by T. Snell
2:04.0,,,70-82,2,T. Snell makes 2-pt shot from 3 ft
1:40.0,K. Marshall makes 3-pt shot from 23 ft (assist by T. McConnell),3,73-82,,
1:40.0,,,73-82,,Chicago full timeout
1:40.0,,,73-82,,J. Butler enters the game for J. Holiday
1:28.0,Personal foul by H. Thompson,,73-82,,
1:21.0,,,73-82,,D. McDermott misses 2-pt shot from 5 ft (block by N. Noel)
1:21.0,,,73-82,,Offensive rebound by Team
1:20.0,Personal foul by N. Noel,,73-82,,
1:20.0,,,73-82,,D. McDermott misses free throw 1 of 2
1:20.0,,,73-82,,Offensive rebound by Team
1:20.0,,,73-83,1,D. McDermott makes free throw 2 of 2
1:01.0,H. Thompson misses 2-pt shot from 7 ft,,73-83,,
1:01.0,,,73-83,,Defensive rebound by Team
1:01.0,R. Covington enters the game for N. Noel,,73-83,,
0:43.0,,,73-86,3,N. Mirotic makes 3-pt shot from 24 ft (assist by D. McDermott)
0:24.0,T. McConnell misses 2-pt shot from 15 ft,,73-86,,
0:23.0,,,73-86,,Defensive rebound by B. Portis
0:01.0,,,73-86,,T. Snell misses 2-pt shot from 4 ft
0:00.0,,,73-86,,Offensive rebound by B. Portis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,R. Covington misses 3-pt shot from 24 ft (block by N. Mirotic),,73-86,,
11:48.0,Offensive rebound by R. Covington,,73-86,,
11:38.0,Turnover by J. Grant (lost ball; steal by N. Mirotic),,73-86,,
11:27.0,,,73-86,,B. Portis misses 2-pt shot from 10 ft
11:26.0,Defensive rebound by I. Smith,,73-86,,
11:18.0,H. Thompson misses 2-pt shot from 21 ft,,73-86,,
11:17.0,,,73-86,,Defensive rebound by J. Butler
10:54.0,,,73-86,,J. Butler misses 2-pt shot from 18 ft
10:53.0,,,73-86,,Offensive rebound by N. Mirotic
10:50.0,,,73-89,3,N. Mirotic makes 3-pt shot from 23 ft
10:37.0,I. Smith makes 2-pt shot at rim,2,75-89,,
10:21.0,,,75-89,,D. McDermott misses 2-pt shot from 19 ft
10:20.0,Defensive rebound by H. Thompson,,75-89,,
10:15.0,I. Smith misses 2-pt shot from 1 ft (block by J. Butler),,75-89,,
10:13.0,,,75-89,,Defensive rebound by B. Portis
10:04.0,,,75-92,3,T. Snell makes 3-pt shot from 24 ft (assist by J. Butler)
9:59.0,I. Smith misses 2-pt shot from 1 ft (block by T. Snell),,75-92,,
9:59.0,Offensive rebound by Team,,75-92,,
9:59.0,N. Noel enters the game for H. Thompson,,75-92,,
9:56.0,R. Covington misses 2-pt shot from 1 ft,,75-92,,
9:55.0,,,75-92,,Defensive rebound by J. Butler
9:42.0,,,75-92,,Shooting foul by R. Covington (drawn by B. Portis)
9:42.0,,,75-93,1,B. Portis makes free throw 1 of 2
9:42.0,,,75-94,1,B. Portis makes free throw 2 of 2
9:25.0,R. Covington makes 2-pt shot at rim,2,77-94,,
9:04.0,,,77-94,,N. Mirotic misses 3-pt shot from 23 ft
9:03.0,,,77-94,,Offensive rebound by J. Butler
9:01.0,,,77-96,2,J. Butler makes 2-pt shot from 5 ft
8:44.0,,,77-96,,Personal foul by N. Mirotic
8:44.0,Philadelphia full timeout,,77-96,,
8:44.0,,,77-96,,J. Holiday enters the game for J. Butler
8:28.0,I. Smith makes 2-pt shot from 20 ft,2,79-96,,
8:06.0,,,79-98,2,B. Portis makes 2-pt shot at rim (assist by N. Mirotic)
7:53.0,J. Grant makes 2-pt shot from 1 ft (assist by I. Smith),2,81-98,,
7:39.0,,,81-98,,B. Portis misses 2-pt shot from 21 ft
7:38.0,Defensive rebound by N. Noel,,81-98,,
7:23.0,Turnover by N. Noel (lost ball; steal by J. Holiday),,81-98,,
7:21.0,,,81-98,,Turnover by N. Mirotic (bad pass)
7:06.0,K. Marshall makes 3-pt shot from 24 ft (assist by N. Noel),3,84-98,,
6:44.0,,,84-98,,Shooting foul by N. Noel (drawn by J. Holiday)
6:44.0,,,84-98,,J. Holiday misses free throw 1 of 2
6:44.0,,,84-98,,Offensive rebound by Team
6:44.0,H. Thompson enters the game for N. Noel,,84-98,,
6:44.0,,,84-99,1,J. Holiday makes free throw 2 of 2
6:34.0,R. Covington makes 3-pt shot from 25 ft (assist by J. Grant),3,87-99,,
6:27.0,Personal foul by I. Smith,,87-99,,
6:27.0,,,87-99,,Chicago full timeout
6:18.0,,,87-102,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Holiday)
6:02.0,J. Grant makes 2-pt shot at rim (assist by K. Marshall),2,89-102,,
5:43.0,,,89-102,,J. Holiday misses 2-pt shot from 14 ft (block by I. Smith)
5:41.0,Defensive rebound by I. Smith,,89-102,,
5:33.0,I. Smith makes 3-pt shot from 23 ft (assist by H. Thompson),3,92-102,,
5:18.0,,,92-102,,N. Mirotic misses 2-pt shot from 1 ft (block by J. Grant)
5:16.0,Defensive rebound by H. Thompson,,92-102,,
5:10.0,H. Thompson makes 3-pt shot from 22 ft (assist by K. Marshall),3,95-102,,
4:54.0,,,95-104,2,D. McDermott makes 2-pt shot from 2 ft (assist by J. Holiday)
4:44.0,H. Thompson makes 2-pt shot from 2 ft (assist by I. Smith),2,97-104,,
4:28.0,,,97-104,,J. Holiday misses 3-pt shot from 24 ft
4:27.0,,,97-104,,Offensive rebound by N. Mirotic
4:27.0,,,97-106,2,N. Mirotic makes 2-pt shot from 1 ft
4:27.0,Philadelphia full timeout,,97-106,,
4:05.0,I. Smith misses 2-pt shot from 20 ft,,97-106,,
4:04.0,,,97-106,,Defensive rebound by B. Portis
3:54.0,,,97-108,2,D. McDermott makes 2-pt shot from 16 ft (assist by J. Holiday)
3:39.0,I. Smith misses 3-pt shot from 27 ft,,97-108,,
3:37.0,,,97-108,,Defensive rebound by B. Portis
3:20.0,Personal foul by H. Thompson,,97-108,,
3:11.0,,,97-108,,Turnover by B. Portis (lost ball; steal by K. Marshall)
2:57.0,I. Smith misses 3-pt shot from 23 ft,,97-108,,
2:56.0,,,97-108,,Defensive rebound by N. Mirotic
2:47.0,,,97-108,,Shooting foul by I. Smith (drawn by J. Holiday)
2:47.0,,,97-109,1,J. Holiday makes free throw 1 of 2
2:47.0,,,97-109,,J. Holiday misses free throw 2 of 2
2:44.0,Defensive rebound by J. Grant,,97-109,,
2:33.0,H. Thompson makes 3-pt shot from 24 ft (assist by I. Smith),3,100-109,,
2:17.0,,,100-109,,Shooting foul by I. Smith (drawn by N. Mirotic)
2:17.0,,,100-110,1,N. Mirotic makes free throw 1 of 2
2:17.0,,,100-111,1,N. Mirotic makes free throw 2 of 2
2:03.0,H. Thompson makes 2-pt shot from 1 ft (assist by K. Marshall),2,102-111,,
1:40.0,,,102-113,2,D. McDermott makes 2-pt shot from 13 ft
1:31.0,Turnover by R. Covington (dbl dribble),,102-113,,
1:22.0,,,102-113,,D. McDermott misses 3-pt shot from 25 ft
1:21.0,,,102-113,,Offensive rebound by B. Portis
1:20.0,,,102-113,,B. Portis misses 2-pt shot from 1 ft
1:18.0,,,102-113,,Offensive rebound by B. Portis
1:17.0,,,102-113,,B. Portis misses 2-pt shot from 1 ft
1:14.0,Defensive rebound by R. Covington,,102-113,,
1:10.0,Shooting foul by J. Holiday (drawn by R. Covington),,102-113,,
1:10.0,R. Covington makes free throw 1 of 3,1,103-113,,
1:10.0,R. Covington makes free throw 2 of 3,1,104-113,,
1:10.0,R. Covington makes free throw 3 of 3,1,105-113,,
0:49.0,,,105-115,2,T. Snell makes 2-pt shot from 4 ft
0:48.0,Philadelphia full timeout,,105-115,,
0:43.0,R. Covington misses 3-pt shot from 23 ft,,105-115,,
