time,Orlando,pts.away,score,pts.home,Sacramento
5:00.0,,,42-39,,W. Cauley-Stein misses 2-pt shot from 17 ft
4:59.0,,,42-39,,Offensive rebound by Team
4:57.0,,,42-39,,M. Belinelli misses 2-pt shot from 6 ft
4:56.0,,,42-39,,Offensive rebound by R. Gay
4:54.0,,,42-39,,R. Gay misses 2-pt shot from 2 ft (block by D. Dedmon)
4:53.0,,,42-39,,Offensive rebound by R. Gay
4:43.0,,,42-39,,W. Cauley-Stein misses 2-pt shot from 6 ft
4:42.0,Defensive rebound by A. Gordon,,42-39,,
4:39.0,Turnover by A. Gordon (lost ball; steal by R. Gay),,42-39,,
4:31.0,,,42-39,,Turnover by R. Rondo (bad pass)
4:17.0,E. Fournier misses 2-pt shot from 3 ft,,42-39,,
4:16.0,,,42-39,,Defensive rebound by D. Collison
4:11.0,,,42-41,2,M. Belinelli makes 2-pt shot from 10 ft
4:11.0,,,42-41,,Shooting foul by V. Oladipo (drawn by M. Belinelli)
4:11.0,,,42-41,,O. Casspi enters the game for R. Gay
4:11.0,,,42-42,1,M. Belinelli makes free throw 1 of 1
3:48.0,A. Gordon misses 2-pt shot from 20 ft,,42-42,,
3:46.0,Offensive rebound by D. Dedmon,,42-42,,
3:44.0,Turnover by D. Dedmon (lost ball; steal by O. Casspi),,42-42,,
3:38.0,,,42-42,,Turnover by W. Cauley-Stein (lost ball; steal by V. Oladipo)
3:34.0,C. Watson makes 2-pt shot from 1 ft (assist by A. Gordon),2,44-42,,
3:17.0,,,44-42,,Shooting foul by C. Watson (drawn by O. Casspi)
3:17.0,,,44-43,1,O. Casspi makes free throw 1 of 2
3:17.0,,,44-43,,Q. Acy enters the game for W. Cauley-Stein
3:17.0,,,44-44,1,O. Casspi makes free throw 2 of 2
3:06.0,V. Oladipo misses 3-pt shot from 24 ft,,44-44,,
3:04.0,Offensive rebound by A. Gordon,,44-44,,
3:03.0,A. Gordon makes 2-pt shot at rim,2,46-44,,
2:55.0,,,46-44,,M. Belinelli misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by A. Gordon,,46-44,,
2:51.0,Orlando full timeout,,46-44,,
2:51.0,,,46-44,,R. Gay enters the game for M. Belinelli
2:36.0,A. Gordon misses 2-pt shot from 14 ft,,46-44,,
2:35.0,Offensive rebound by D. Dedmon,,46-44,,
2:33.0,A. Gordon misses 2-pt shot from 18 ft,,46-44,,
2:33.0,Offensive rebound by Team,,46-44,,
2:33.0,,,46-44,,Loose ball foul by O. Casspi
2:13.0,C. Watson misses 2-pt shot from 19 ft,,46-44,,
2:13.0,,,46-44,,Defensive rebound by Team
2:00.0,,,46-44,,O. Casspi misses 2-pt shot from 3 ft
2:00.0,Defensive rebound by A. Gordon,,46-44,,
1:56.0,Shooting foul by D. Collison (drawn by E. Fournier),,46-44,,
1:56.0,E. Fournier makes free throw 1 of 2,1,47-44,,
1:56.0,,,47-44,,S. Curry enters the game for D. Collison
1:56.0,E. Fournier makes free throw 2 of 2,1,48-44,,
1:41.0,,,48-44,,R. Rondo misses 2-pt shot from 5 ft
1:40.0,Defensive rebound by A. Gordon,,48-44,,
1:32.0,,,48-44,,Def 3 sec tech foul by O. Casspi
1:32.0,E. Fournier misses technical free throw,,48-44,,
1:32.0,Offensive rebound by Team,,48-44,,
1:32.0,M. Hezonja enters the game for E. Fournier,,48-44,,
1:26.0,,,48-44,,Shooting block foul by R. Gay (drawn by V. Oladipo)
1:26.0,V. Oladipo makes free throw 1 of 2,1,49-44,,
1:26.0,,,49-44,,C. Butler enters the game for R. Gay
1:26.0,V. Oladipo makes free throw 2 of 2,1,50-44,,
1:09.0,,,50-46,2,R. Rondo makes 2-pt shot from 1 ft
0:54.0,M. Hezonja misses 3-pt shot from 25 ft,,50-46,,
0:54.0,,,50-46,,Defensive rebound by Q. Acy
0:47.0,,,50-49,3,O. Casspi makes 3-pt shot from 24 ft (assist by R. Rondo)
0:25.0,A. Gordon misses 2-pt shot from 15 ft,,50-49,,
0:24.0,,,50-49,,Defensive rebound by O. Casspi
0:02.0,,,50-49,,S. Curry misses 2-pt shot from 20 ft
0:01.0,Defensive rebound by C. Watson,,50-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,E. Fournier makes 2-pt shot from 16 ft,2,52-49,,
11:21.0,,,52-49,,R. Gay misses 2-pt shot from 6 ft
11:20.0,,,52-49,,Offensive rebound by R. Gay
11:18.0,,,52-49,,R. Gay misses 2-pt shot from 2 ft (block by V. Oladipo)
11:18.0,Defensive rebound by Team,,52-49,,
11:10.0,Turnover by C. Watson (lost ball; steal by D. Collison),,52-49,,
10:55.0,,,52-49,,R. Rondo misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by E. Fournier,,52-49,,
10:38.0,A. Gordon makes 2-pt shot from 6 ft,2,54-49,,
10:15.0,,,54-51,2,K. Koufos makes 2-pt shot at rim (assist by Q. Acy)
9:59.0,Turnover by V. Oladipo (bad pass),,54-51,,
9:41.0,,,54-54,3,R. Rondo makes 3-pt shot from 23 ft (assist by D. Collison)
9:33.0,V. Oladipo makes 2-pt shot from 19 ft (assist by C. Watson),2,56-54,,
9:23.0,,,56-56,2,R. Rondo makes 2-pt shot from 3 ft
9:03.0,E. Fournier makes 3-pt shot from 25 ft,3,59-56,,
8:48.0,,,59-58,2,K. Koufos makes 2-pt shot from 5 ft (assist by R. Rondo)
8:31.0,C. Watson misses 2-pt shot from 10 ft,,59-58,,
8:30.0,,,59-58,,Defensive rebound by Q. Acy
8:24.0,,,59-58,,D. Collison misses 2-pt shot from 6 ft (block by C. Watson)
8:23.0,Defensive rebound by E. Fournier,,59-58,,
8:20.0,Shooting foul by Q. Acy (drawn by A. Gordon),,59-58,,
8:20.0,A. Gordon misses free throw 1 of 2,,59-58,,
8:20.0,Offensive rebound by Team,,59-58,,
8:20.0,A. Gordon misses free throw 2 of 2,,59-58,,
8:19.0,,,59-58,,Defensive rebound by Team
8:09.0,,,59-58,,Offensive foul by R. Gay
8:09.0,,,59-58,,Turnover by R. Gay (offensive foul)
8:09.0,,,59-58,,O. Casspi enters the game for R. Gay
7:46.0,A. Gordon makes 2-pt shot from 12 ft,2,61-58,,
7:22.0,,,61-58,,O. Casspi misses 3-pt shot from 25 ft
7:20.0,,,61-58,,Offensive rebound by Q. Acy
7:19.0,,,61-58,,Sacramento full timeout
7:19.0,E. Ilyasova enters the game for A. Gordon,,61-58,,
7:14.0,,,61-60,2,Q. Acy makes 2-pt shot at rim (assist by R. Rondo)
7:14.0,,,61-60,,Shooting foul by E. Ilyasova (drawn by Q. Acy)
7:14.0,,,61-61,1,Q. Acy makes free throw 1 of 1
7:02.0,Turnover by V. Oladipo (traveling),,61-61,,
6:38.0,,,61-64,3,R. Rondo makes 3-pt shot from 25 ft (assist by D. Collison)
6:16.0,V. Oladipo misses 3-pt shot from 24 ft,,61-64,,
6:16.0,,,61-64,,Defensive rebound by Q. Acy
6:09.0,,,61-64,,Turnover by R. Rondo (lost ball; steal by V. Oladipo)
5:58.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by V. Oladipo),3,64-64,,
5:28.0,,,64-64,,D. Collison misses 2-pt shot from 9 ft
5:28.0,Defensive rebound by E. Ilyasova,,64-64,,
5:20.0,Shooting foul by R. Rondo (drawn by D. Dedmon),,64-64,,
5:20.0,D. Dedmon makes 2-pt shot from 1 ft (assist by C. Watson),2,66-64,,
5:20.0,,,66-64,,M. Belinelli enters the game for Q. Acy
5:20.0,M. Hezonja enters the game for V. Oladipo,,66-64,,
5:20.0,D. Dedmon makes free throw 1 of 1,1,67-64,,
5:07.0,,,67-66,2,K. Koufos makes 2-pt shot at rim (assist by R. Rondo)
4:51.0,C. Watson makes 2-pt shot from 16 ft,2,69-66,,
4:46.0,,,69-66,,Turnover by R. Rondo (lost ball; steal by C. Watson)
4:44.0,,,69-66,,Personal foul by K. Koufos
