time,Denver,pts.away,score,pts.home,LA Lakers
7:39.0,G. Harris makes 3-pt shot from 24 ft (assist by K. Faried),3,69-72,,
7:28.0,,,69-72,,D. Russell misses 2-pt shot from 4 ft (block by E. Mudiay)
7:27.0,Defensive rebound by J. Hickson,,69-72,,
7:22.0,G. Harris makes 2-pt shot at rim (assist by E. Mudiay),2,71-72,,
7:15.0,,,71-72,,J. Randle misses 2-pt shot from 2 ft
7:13.0,Defensive rebound by K. Faried,,71-72,,
7:10.0,D. Gallinari makes 2-pt shot at rim (assist by E. Mudiay),2,73-72,,
6:48.0,,,73-72,,K. Bryant misses 3-pt shot from 25 ft
6:48.0,Defensive rebound by G. Harris,,73-72,,
6:40.0,G. Harris misses 2-pt shot from 2 ft (block by R. Hibbert),,73-72,,
6:39.0,Offensive rebound by J. Hickson,,73-72,,
6:39.0,,,73-72,,Personal foul by D. Russell (drawn by J. Hickson)
6:29.0,D. Gallinari makes 2-pt shot at rim (assist by G. Harris),2,75-72,,
6:23.0,Personal foul by G. Harris (drawn by J. Clarkson),,75-72,,
6:13.0,,,75-72,,D. Russell misses 3-pt shot from 25 ft
6:11.0,,,75-72,,Offensive rebound by Team
6:03.0,,,75-72,,J. Clarkson misses 2-pt shot from 18 ft
6:03.0,,,75-72,,Offensive rebound by J. Clarkson
5:59.0,,,75-72,,R. Hibbert misses 2-pt shot from 18 ft
5:57.0,Defensive rebound by K. Faried,,75-72,,
5:51.0,E. Mudiay misses 2-pt shot from 1 ft (block by R. Hibbert),,75-72,,
5:48.0,,,75-72,,Defensive rebound by J. Clarkson
5:44.0,,,75-74,2,R. Hibbert makes 2-pt shot at rim (assist by J. Clarkson)
5:24.0,E. Mudiay makes 3-pt shot from 24 ft (assist by J. Hickson),3,78-74,,
5:24.0,Shooting foul by D. Russell (drawn by E. Mudiay),,78-74,,
5:24.0,,,78-74,,L. Williams enters the game for D. Russell
5:24.0,E. Mudiay makes free throw 1 of 1,1,79-74,,
5:01.0,,,79-74,,K. Bryant misses 2-pt shot from 3 ft
5:01.0,Defensive rebound by G. Harris,,79-74,,
4:55.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,81-74,,
4:55.0,,,81-74,,LA Lakers full timeout
4:55.0,J. Nelson enters the game for G. Harris,,81-74,,
4:41.0,,,81-76,2,J. Randle makes 2-pt shot at rim (assist by K. Bryant)
4:25.0,J. Hickson makes 2-pt shot at rim (assist by D. Gallinari),2,83-76,,
4:01.0,,,83-76,,K. Bryant misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by D. Gallinari,,83-76,,
3:55.0,,,83-76,,Personal foul by L. Williams
3:43.0,Turnover by E. Mudiay (lost ball),,83-76,,
3:27.0,,,83-78,2,J. Clarkson makes 2-pt shot from 3 ft
3:13.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,85-78,,
3:07.0,,,85-78,,Shooting foul by J. Hickson (drawn by L. Williams)
3:07.0,,,85-79,1,L. Williams makes free throw 1 of 2
3:07.0,,,85-79,,N. Young enters the game for K. Bryant
3:07.0,,,85-80,1,L. Williams makes free throw 2 of 2
2:52.0,E. Mudiay makes 3-pt shot from 24 ft (assist by J. Nelson),3,88-80,,
2:38.0,,,88-80,,Shooting foul by J. Nelson (drawn by L. Williams)
2:38.0,,,88-80,,L. Williams misses free throw 1 of 2
2:38.0,,,88-80,,Offensive rebound by Team
2:38.0,,,88-81,1,L. Williams makes free throw 2 of 2
2:25.0,Turnover by E. Mudiay (bad pass; steal by L. Williams),,88-81,,
2:18.0,,,88-81,,J. Clarkson misses 2-pt shot from 2 ft
2:17.0,Defensive rebound by K. Faried,,88-81,,
2:02.0,D. Gallinari misses 2-pt shot from 4 ft,,88-81,,
2:00.0,,,88-81,,Defensive rebound by J. Randle
1:52.0,,,88-81,,N. Young misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by J. Hickson,,88-81,,
1:40.0,Shooting foul by R. Hibbert (drawn by J. Hickson),,88-81,,
1:40.0,J. Hickson makes 2-pt shot from 2 ft (assist by J. Nelson),2,90-81,,
1:40.0,D. Arthur enters the game for K. Faried,,90-81,,
1:40.0,R. Foye enters the game for E. Mudiay,,90-81,,
1:40.0,J. Hickson makes free throw 1 of 1,1,91-81,,
1:27.0,,,91-81,,Shooting foul by J. Hickson (drawn by L. Williams)
1:27.0,,,91-82,1,L. Williams makes free throw 1 of 2
1:27.0,,,91-83,1,L. Williams makes free throw 2 of 2
1:10.0,Turnover by J. Nelson (bad pass; steal by N. Young),,91-83,,
0:53.0,,,91-83,,J. Randle misses 2-pt shot from 1 ft
0:52.0,Defensive rebound by J. Nelson,,91-83,,
0:43.0,R. Foye misses 3-pt shot from 24 ft,,91-83,,
0:42.0,Offensive rebound by D. Gallinari,,91-83,,
0:31.0,R. Foye makes 2-pt shot from 20 ft (assist by J. Nelson),2,93-83,,
0:11.0,,,93-83,,J. Clarkson misses 2-pt shot from 2 ft (block by J. Hickson)
0:10.0,Defensive rebound by J. Nelson,,93-83,,
0:02.0,Turnover by J. Nelson (traveling),,93-83,,
0:02.0,,,93-83,,B. Bass enters the game for R. Hibbert
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,93-83,,L. Williams misses 3-pt shot from 25 ft
11:48.0,,,93-83,,Offensive rebound by Team
11:48.0,Loose ball foul by J. Nelson (drawn by B. Bass),,93-83,,
11:45.0,,,93-83,,Offensive foul by T. Black
11:45.0,,,93-83,,Turnover by T. Black (offensive foul)
11:32.0,D. Arthur misses 3-pt shot from 25 ft,,93-83,,
11:31.0,Offensive rebound by K. Faried,,93-83,,
11:29.0,Turnover by K. Faried (lost ball; steal by L. Williams),,93-83,,
11:21.0,,,93-83,,B. Bass misses 2-pt shot from 1 ft
11:20.0,Defensive rebound by D. Arthur,,93-83,,
10:59.0,J. Nelson misses 3-pt shot from 24 ft,,93-83,,
10:59.0,,,93-83,,Defensive rebound by N. Young
10:53.0,,,93-83,,Shooting foul by W. Barton (drawn by N. Young)
10:53.0,,,93-84,1,N. Young makes free throw 1 of 3
10:53.0,,,93-85,1,N. Young makes free throw 2 of 3
10:53.0,,,93-86,1,N. Young makes free throw 3 of 3
10:28.0,R. Foye misses 3-pt shot from 23 ft,,93-86,,
10:27.0,,,93-86,,Defensive rebound by T. Black
10:23.0,,,93-86,,Shooting foul by W. Barton (drawn by L. Williams)
10:23.0,,,93-87,1,L. Williams makes free throw 1 of 3
10:23.0,,,93-87,,L. Williams misses free throw 2 of 3
10:23.0,,,93-87,,Offensive rebound by Team
10:23.0,,,93-88,1,L. Williams makes free throw 3 of 3
10:18.0,Denver full timeout,,93-88,,
10:09.0,K. Faried makes 2-pt shot at rim (assist by J. Nelson),2,95-88,,
9:53.0,,,95-88,,Turnover by N. Young (step out of bounds)
9:32.0,D. Arthur misses 2-pt shot from 20 ft,,95-88,,
9:31.0,Offensive rebound by Team,,95-88,,
9:25.0,,,95-88,,Personal foul by T. Black (drawn by K. Faried)
9:13.0,Turnover by K. Faried (lost ball),,95-88,,
9:00.0,,,95-88,,Shooting foul by R. Foye (drawn by L. Williams)
9:00.0,,,95-89,1,L. Williams makes free throw 1 of 3
9:00.0,,,95-90,1,L. Williams makes free throw 2 of 3
9:00.0,,,95-91,1,L. Williams makes free throw 3 of 3
8:47.0,R. Foye makes 2-pt shot from 20 ft (assist by D. Arthur),2,97-91,,
8:34.0,,,97-91,,L. Williams misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by W. Barton,,97-91,,
8:22.0,J. Nelson misses 3-pt shot from 24 ft,,97-91,,
8:21.0,,,97-91,,Defensive rebound by T. Black
8:15.0,,,97-91,,Offensive foul by M. Huertas
8:15.0,,,97-91,,Turnover by M. Huertas (offensive foul)
8:15.0,Official timeout,,97-91,,
8:15.0,,,97-91,,J. Clarkson enters the game for N. Young
8:15.0,,,97-91,,K. Bryant enters the game for M. Huertas
7:56.0,W. Barton makes 2-pt shot at rim (assist by R. Foye),2,99-91,,
7:35.0,,,99-91,,Turnover by B. Bass (lost ball; steal by W. Barton)
7:19.0,D. Arthur makes 2-pt shot from 17 ft (assist by J. Nelson),2,101-91,,
7:00.0,,,101-93,2,L. Williams makes 2-pt shot from 19 ft
6:47.0,W. Barton makes 2-pt shot from 12 ft,2,103-93,,
6:25.0,,,103-93,,Shooting foul by D. Arthur (drawn by L. Williams)
6:25.0,,,103-94,1,L. Williams makes free throw 1 of 2
6:25.0,D. Gallinari enters the game for R. Foye,,103-94,,
6:25.0,,,103-94,,J. Randle enters the game for B. Bass
6:25.0,,,103-95,1,L. Williams makes free throw 2 of 2
6:13.0,W. Barton misses 3-pt shot from 23 ft,,103-95,,
6:13.0,,,103-95,,Defensive rebound by T. Black
