time,Sacramento,pts.away,score,pts.home,Detroit
9:51.0,R. Gay makes free throw 1 of 2,1,61-69,,
9:51.0,R. Gay makes free throw 2 of 2,1,62-69,,
9:40.0,,,62-69,,Turnover by M. Morris (lost ball)
9:24.0,D. Cousins misses 2-pt shot from 5 ft,,62-69,,
9:24.0,,,62-69,,Defensive rebound by A. Drummond
9:24.0,Personal foul by R. Rondo,,62-69,,
9:09.0,,,62-69,,K. Caldwell-Pope misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by R. Rondo,,62-69,,
8:53.0,D. Cousins misses 3-pt shot from 22 ft,,62-69,,
8:52.0,,,62-69,,Defensive rebound by K. Caldwell-Pope
8:42.0,,,62-69,,Shooting foul by C. Butler (drawn by K. Caldwell-Pope)
8:42.0,,,62-70,1,K. Caldwell-Pope makes free throw 1 of 2
8:42.0,,,62-71,1,K. Caldwell-Pope makes free throw 2 of 2
8:29.0,J. Anderson misses 3-pt shot from 23 ft,,62-71,,
8:29.0,,,62-71,,Defensive rebound by T. Harris
8:22.0,,,62-71,,R. Jackson misses 2-pt shot at rim
8:20.0,,,62-71,,Offensive rebound by A. Drummond
8:17.0,,,62-73,2,A. Drummond makes 2-pt shot at rim
8:04.0,R. Gay makes 2-pt shot from 1 ft,2,64-73,,
7:52.0,,,64-73,,R. Jackson misses 2-pt shot from 11 ft
7:51.0,,,64-73,,Offensive rebound by A. Drummond
7:50.0,,,64-73,,A. Drummond misses 2-pt shot at rim
7:49.0,,,64-73,,Offensive rebound by R. Jackson
7:48.0,,,64-73,,R. Jackson misses 2-pt shot from 3 ft
7:46.0,,,64-73,,Offensive rebound by Team
7:38.0,,,64-73,,R. Jackson misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by R. Rondo,,64-73,,
7:26.0,D. Cousins misses 2-pt shot from 4 ft (block by A. Drummond),,64-73,,
7:25.0,Offensive rebound by D. Cousins,,64-73,,
7:24.0,,,64-73,,Personal foul by R. Jackson
7:11.0,R. Rondo makes 2-pt shot at rim,2,66-73,,
6:55.0,Personal foul by C. Butler,,66-73,,
6:54.0,,,66-73,,Turnover by M. Morris (lost ball; steal by D. Cousins)
6:48.0,Turnover by R. Rondo (lost ball),,66-73,,
6:29.0,,,66-75,2,M. Morris makes 2-pt shot at rim
6:07.0,D. Cousins misses 2-pt shot at rim,,66-75,,
6:06.0,,,66-75,,Defensive rebound by A. Drummond
5:59.0,,,66-75,,Turnover by T. Harris (lost ball; steal by J. Anderson)
5:49.0,R. Gay misses 2-pt shot from 3 ft (block by A. Drummond),,66-75,,
5:48.0,,,66-75,,Defensive rebound by R. Jackson
5:44.0,Personal foul by C. Butler,,66-75,,
5:44.0,,,66-75,,Detroit full timeout
5:33.0,,,66-75,,T. Harris misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by D. Cousins,,66-75,,
5:19.0,R. Rondo misses 2-pt shot from 8 ft,,66-75,,
5:19.0,,,66-75,,Defensive rebound by Team
5:19.0,Loose ball foul by D. Cousins,,66-75,,
5:19.0,,,66-76,1,K. Caldwell-Pope makes free throw 1 of 2
5:19.0,,,66-76,,S. Johnson enters the game for T. Harris
5:19.0,,,66-77,1,K. Caldwell-Pope makes free throw 2 of 2
5:05.0,Shooting foul by A. Drummond (drawn by D. Cousins),,66-77,,
5:05.0,D. Cousins misses free throw 1 of 2,,66-77,,
5:05.0,Offensive rebound by Team,,66-77,,
5:05.0,,,66-77,,A. Baynes enters the game for A. Drummond
5:05.0,D. Collison enters the game for C. Butler,,66-77,,
5:05.0,D. Cousins makes free throw 2 of 2,1,67-77,,
4:47.0,,,67-79,2,R. Jackson makes 2-pt shot at rim
4:47.0,,,67-79,,Shooting foul by R. Gay (drawn by R. Jackson)
4:47.0,,,67-80,1,R. Jackson makes free throw 1 of 1
4:29.0,D. Collison makes 2-pt shot at rim (assist by D. Cousins),2,69-80,,
4:29.0,Shooting foul by K. Caldwell-Pope (drawn by D. Collison),,69-80,,
4:29.0,D. Collison makes free throw 1 of 1,1,70-80,,
4:10.0,,,70-80,,M. Morris misses 2-pt shot from 11 ft
4:09.0,Defensive rebound by D. Cousins,,70-80,,
4:02.0,Turnover by R. Rondo (lost ball; steal by K. Caldwell-Pope),,70-80,,
3:54.0,,,70-80,,S. Johnson misses 3-pt shot from 23 ft
3:54.0,Defensive rebound by Team,,70-80,,
3:41.0,D. Cousins misses 2-pt shot from 18 ft,,70-80,,
3:41.0,,,70-80,,Defensive rebound by M. Morris
3:33.0,,,70-82,2,S. Johnson makes 2-pt shot at rim (assist by R. Jackson)
3:33.0,,,70-82,,Shooting foul by D. Cousins (drawn by S. Johnson)
3:33.0,Q. Acy enters the game for R. Gay,,70-82,,
3:33.0,K. Koufos enters the game for D. Cousins,,70-82,,
3:33.0,,,70-82,,S. Johnson misses free throw 1 of 1
3:32.0,Defensive rebound by K. Koufos,,70-82,,
3:18.0,R. Rondo makes 2-pt shot from 18 ft (assist by D. Collison),2,72-82,,
2:57.0,,,72-84,2,R. Jackson makes 2-pt shot from 8 ft
2:43.0,K. Koufos makes 2-pt shot at rim (assist by R. Rondo),2,74-84,,
2:22.0,,,74-84,,Turnover by K. Caldwell-Pope (lost ball; steal by R. Rondo)
2:04.0,,,74-84,,Violation by A. Baynes (def goaltending)
2:04.0,R. Rondo makes 2-pt shot at rim,2,76-84,,
1:50.0,,,76-86,2,R. Jackson makes 2-pt shot from 15 ft
1:33.0,J. Anderson makes 3-pt shot from 23 ft (assist by R. Rondo),3,79-86,,
1:20.0,,,79-86,,Turnover by R. Jackson (lost ball; steal by R. Rondo)
1:01.0,K. Koufos makes 2-pt shot from 1 ft (assist by R. Rondo),2,81-86,,
1:01.0,,,81-86,,Detroit full timeout
1:01.0,Sacramento full timeout,,81-86,,
1:01.0,M. Belinelli enters the game for R. Rondo,,81-86,,
1:01.0,,,81-86,,S. Blake enters the game for R. Jackson
0:41.0,,,81-86,,Shooting foul by Q. Acy (drawn by A. Baynes)
0:41.0,,,81-87,1,A. Baynes makes free throw 1 of 2
0:41.0,,,81-87,,A. Baynes misses free throw 2 of 2
0:39.0,Defensive rebound by K. Koufos,,81-87,,
0:27.0,M. Belinelli misses 2-pt shot from 16 ft,,81-87,,
0:26.0,,,81-87,,Defensive rebound by A. Baynes
0:02.0,,,81-87,,K. Caldwell-Pope misses 2-pt shot from 2 ft
0:02.0,Defensive rebound by Team,,81-87,,
0:02.0,,,81-87,,Loose ball foul by A. Baynes
0:02.0,Q. Acy makes free throw 1 of 2,1,82-87,,
0:02.0,Q. Acy makes free throw 2 of 2,1,83-87,,
0:01.0,,,83-87,,S. Blake misses 3-pt shot from 67 ft
0:00.0,,,83-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,83-87,,A. Baynes misses 2-pt shot from 5 ft
11:42.0,Defensive rebound by J. Anderson,,83-87,,
11:23.0,D. Collison makes 2-pt shot from 17 ft,2,85-87,,
11:09.0,,,85-87,,K. Caldwell-Pope misses 2-pt shot from 16 ft
11:09.0,,,85-87,,Offensive rebound by A. Baynes
11:08.0,,,85-87,,A. Baynes misses 2-pt shot at rim
11:05.0,Defensive rebound by J. Anderson,,85-87,,
10:46.0,Q. Acy makes 2-pt shot from 16 ft,2,87-87,,
10:17.0,,,87-87,,T. Harris misses 3-pt shot from 25 ft
10:16.0,,,87-87,,Offensive rebound by S. Blake
10:15.0,,,87-87,,Shooting foul by K. Koufos (drawn by T. Harris)
10:15.0,,,87-88,1,T. Harris makes free throw 1 of 2
10:15.0,R. Rondo enters the game for J. Anderson,,87-88,,
10:15.0,,,87-89,1,T. Harris makes free throw 2 of 2
10:01.0,D. Collison misses 2-pt shot from 14 ft,,87-89,,
10:01.0,,,87-89,,Defensive rebound by Team
9:43.0,,,87-91,2,T. Harris makes 2-pt shot from 8 ft (assist by S. Blake)
9:30.0,M. Belinelli makes 2-pt shot from 16 ft (assist by R. Rondo),2,89-91,,
9:13.0,,,89-93,2,S. Johnson makes 2-pt shot from 14 ft (assist by S. Blake)
8:55.0,M. Belinelli misses 2-pt shot from 19 ft,,89-93,,
8:54.0,,,89-93,,Defensive rebound by T. Harris
8:48.0,Official timeout,,89-93,,
8:48.0,,,89-93,,A. Drummond enters the game for A. Baynes
8:48.0,R. Gay enters the game for Q. Acy,,89-93,,
8:48.0,D. Cousins enters the game for K. Koufos,,89-93,,
8:45.0,,,89-93,,Offensive charge foul by S. Johnson
8:45.0,,,89-93,,Turnover by S. Johnson (offensive foul)
8:34.0,Shooting foul by T. Harris (drawn by R. Gay),,89-93,,
8:34.0,R. Gay makes free throw 1 of 2,1,90-93,,
8:34.0,,,90-93,,R. Jackson enters the game for S. Blake
8:34.0,R. Gay makes free throw 2 of 2,1,91-93,,
8:14.0,,,91-95,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
7:54.0,M. Belinelli misses 2-pt shot from 4 ft (block by S. Johnson),,91-95,,
7:52.0,,,91-95,,Defensive rebound by S. Johnson
7:45.0,,,91-95,,Turnover by R. Jackson (lost ball; steal by D. Collison)
7:34.0,R. Gay makes 3-pt shot from 26 ft (assist by R. Rondo),3,94-95,,
7:13.0,,,94-97,2,T. Harris makes 2-pt shot at rim
6:53.0,D. Cousins makes 2-pt shot at rim,2,96-97,,
6:36.0,,,96-99,2,R. Jackson makes 2-pt shot from 9 ft
6:19.0,R. Rondo misses 2-pt shot from 19 ft,,96-99,,
6:19.0,,,96-99,,Defensive rebound by A. Drummond
6:11.0,,,96-99,,R. Jackson misses 2-pt shot from 2 ft
6:11.0,,,96-99,,Offensive rebound by Team
6:11.0,Loose ball foul by R. Gay,,96-99,,
6:11.0,,,96-99,,M. Morris enters the game for S. Johnson
6:11.0,J. Anderson enters the game for M. Belinelli,,96-99,,
5:48.0,,,96-99,,A. Drummond misses 2-pt shot at rim
5:48.0,Defensive rebound by R. Rondo,,96-99,,
5:43.0,D. Collison misses 3-pt shot from 23 ft,,96-99,,
5:42.0,,,96-99,,Defensive rebound by M. Morris
5:42.0,Personal foul by R. Rondo,,96-99,,
5:42.0,,,96-99,,Detroit full timeout
5:22.0,,,96-101,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by T. Harris)
5:08.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,98-101,,
4:47.0,,,98-101,,R. Jackson misses 2-pt shot from 8 ft
4:46.0,,,98-101,,Offensive rebound by A. Drummond
4:44.0,,,98-101,,Turnover by A. Drummond (lost ball; steal by R. Rondo)
4:24.0,D. Collison misses 3-pt shot from 23 ft,,98-101,,
4:22.0,,,98-101,,Defensive rebound by R. Jackson
4:16.0,,,98-104,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by R. Jackson)
3:57.0,,,98-104,,Personal foul by A. Drummond
3:41.0,R. Rondo misses 2-pt shot from 19 ft,,98-104,,
3:40.0,,,98-104,,Defensive rebound by T. Harris
3:37.0,Personal foul by R. Rondo,,98-104,,
3:37.0,,,98-104,,A. Baynes enters the game for A. Drummond
3:25.0,,,98-104,,R. Jackson misses 2-pt shot from 5 ft (block by J. Anderson)
3:24.0,,,98-104,,Offensive rebound by A. Baynes
3:21.0,,,98-107,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by M. Morris)
3:21.0,Sacramento full timeout,,98-107,,
3:13.0,Shooting foul by A. Baynes (drawn by D. Cousins),,98-107,,
3:13.0,D. Cousins makes free throw 1 of 2,1,99-107,,
3:13.0,D. Cousins makes free throw 2 of 2,1,100-107,,
2:57.0,,,100-107,,Shooting foul by D. Cousins (drawn by M. Morris)
2:57.0,,,100-108,1,M. Morris makes free throw 1 of 2
2:57.0,,,100-109,1,M. Morris makes free throw 2 of 2
2:51.0,,,100-109,,Personal foul by K. Caldwell-Pope
2:47.0,,,100-109,,Personal foul by R. Jackson
2:47.0,D. Cousins makes free throw 1 of 2,1,101-109,,
2:47.0,D. Cousins makes free throw 2 of 2,1,102-109,,
2:31.0,,,102-109,,R. Jackson misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by R. Rondo,,102-109,,
