time,Charlotte,pts.away,score,pts.home,San Antonio
4:06.0,,,15-13,,M. Ginobili misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by P. Hairston,,15-13,,
4:01.0,Turnover by P. Hairston (bad pass; steal by T. Parker),,15-13,,
3:57.0,,,15-13,,T. Parker misses 2-pt shot at rim
3:55.0,Defensive rebound by P. Hairston,,15-13,,
3:50.0,K. Walker makes 2-pt shot from 1 ft,2,17-13,,
3:34.0,,,17-15,2,K. Leonard makes 2-pt shot from 17 ft (assist by T. Parker)
3:20.0,,,17-15,,P. Mills enters the game for T. Parker
3:20.0,J. Lamb enters the game for P. Hairston,,17-15,,
3:20.0,J. Lin enters the game for A. Jefferson,,17-15,,
3:20.0,S. Hawes enters the game for K. Walker,,17-15,,
3:13.0,J. Lin makes 2-pt shot from 3 ft,2,19-15,,
3:02.0,,,19-15,,Shooting foul by N. Batum (drawn by D. West)
3:02.0,,,19-15,,D. West misses free throw 1 of 2
3:02.0,,,19-15,,Offensive rebound by Team
3:02.0,,,19-16,1,D. West makes free throw 2 of 2
2:46.0,C. Zeller misses 3-pt shot from 25 ft,,19-16,,
2:45.0,,,19-16,,Defensive rebound by K. Leonard
2:33.0,,,19-18,2,K. Leonard makes 2-pt shot from 18 ft
2:23.0,Turnover by S. Hawes (bad pass; steal by M. Ginobili),,19-18,,
2:19.0,,,19-20,2,M. Ginobili makes 2-pt shot from 1 ft
2:11.0,Charlotte full timeout,,19-20,,
2:10.0,Turnover by J. Lamb (bad pass; steal by M. Ginobili),,19-20,,
1:55.0,,,19-22,2,P. Mills makes 2-pt shot from 20 ft (assist by B. Diaw)
1:40.0,,,19-22,,Personal foul by B. Diaw (drawn by J. Lamb)
1:40.0,J. Lamb misses free throw 1 of 2,,19-22,,
1:40.0,Offensive rebound by Team,,19-22,,
1:40.0,J. Lamb misses free throw 2 of 2,,19-22,,
1:40.0,,,19-22,,Defensive rebound by D. West
1:26.0,,,19-24,2,D. West makes 2-pt shot from 18 ft (assist by B. Diaw)
1:12.0,J. Lin misses 2-pt shot from 2 ft,,19-24,,
1:11.0,Offensive rebound by N. Batum,,19-24,,
1:04.0,J. Lin misses 3-pt shot from 22 ft,,19-24,,
1:03.0,,,19-24,,Defensive rebound by P. Mills
0:56.0,,,19-24,,D. West misses 2-pt shot from 18 ft
0:55.0,Defensive rebound by C. Zeller,,19-24,,
0:43.0,J. Lin makes 2-pt shot from 4 ft,2,21-24,,
0:34.0,,,21-26,2,B. Diaw makes 2-pt shot from 2 ft (assist by D. West)
0:22.0,Turnover by N. Batum (lost ball; steal by K. Leonard),,21-26,,
0:03.0,,,21-29,3,K. Leonard makes 3-pt shot from 24 ft (assist by M. Ginobili)
0:00.0,J. Lin misses 3-pt shot from 28 ft,,21-29,,
0:00.0,Offensive rebound by Team,,21-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,21-31,2,R. Butler makes 2-pt shot from 1 ft (assist by D. West)
11:23.0,M. Williams misses 2-pt shot at rim,,21-31,,
11:21.0,,,21-31,,Defensive rebound by M. Ginobili
11:14.0,,,21-31,,Turnover by P. Mills (step out of bounds)
11:03.0,J. Lamb misses 2-pt shot from 19 ft,,21-31,,
11:02.0,,,21-31,,Defensive rebound by D. Green
10:46.0,,,21-31,,D. Green misses 3-pt shot from 24 ft
10:45.0,,,21-31,,Offensive rebound by D. West
10:45.0,Personal foul by S. Hawes (drawn by D. West),,21-31,,
10:34.0,,,21-31,,L. Aldridge enters the game for D. West
10:30.0,,,21-33,2,M. Ginobili makes 2-pt shot from 15 ft (assist by P. Mills)
10:16.0,,,21-33,,Personal foul by M. Ginobili (drawn by J. Lamb)
10:16.0,F. Kaminsky enters the game for C. Zeller,,21-33,,
10:16.0,,,21-33,,K. Anderson enters the game for M. Ginobili
10:08.0,J. Lin makes 2-pt shot from 15 ft (assist by F. Kaminsky),2,23-33,,
9:50.0,,,23-33,,P. Mills misses 3-pt shot from 23 ft
9:49.0,Defensive rebound by S. Hawes,,23-33,,
9:35.0,S. Hawes makes 2-pt shot from 10 ft,2,25-33,,
9:11.0,,,25-35,2,P. Mills makes 2-pt shot from 1 ft (assist by L. Aldridge)
8:57.0,S. Hawes makes 2-pt shot from 1 ft (assist by J. Lin),2,27-35,,
8:36.0,,,27-35,,L. Aldridge misses 2-pt shot from 14 ft
8:35.0,Defensive rebound by S. Hawes,,27-35,,
8:28.0,Offensive foul by J. Lin,,27-35,,
8:28.0,Turnover by J. Lin (offensive foul),,27-35,,
8:28.0,Official timeout,,27-35,,
8:28.0,,,27-35,,T. Duncan enters the game for R. Butler
8:13.0,,,27-37,2,L. Aldridge makes 2-pt shot from 13 ft (assist by D. Green)
8:13.0,,,27-37,,Shooting foul by M. Williams (drawn by L. Aldridge)
8:13.0,,,27-38,1,L. Aldridge makes free throw 1 of 1
8:01.0,J. Lin misses 2-pt shot from 18 ft,,27-38,,
7:59.0,Offensive rebound by Team,,27-38,,
7:59.0,,,27-38,,Personal foul by P. Mills (drawn by J. Lin)
7:59.0,A. Jefferson enters the game for S. Hawes,,27-38,,
7:59.0,,,27-38,,T. Parker enters the game for P. Mills
7:46.0,A. Jefferson makes 2-pt shot from 3 ft,2,29-38,,
7:37.0,,,29-38,,Offensive foul by T. Duncan
7:37.0,,,29-38,,Turnover by T. Duncan (offensive foul)
7:17.0,A. Jefferson misses 2-pt shot from 13 ft,,29-38,,
7:16.0,,,29-38,,Defensive rebound by L. Aldridge
7:02.0,,,29-38,,Shooting foul by J. Lin (drawn by T. Parker)
7:02.0,,,29-39,1,T. Parker makes free throw 1 of 2
7:02.0,K. Walker enters the game for J. Lin,,29-39,,
7:02.0,,,29-40,1,T. Parker makes free throw 2 of 2
6:49.0,Shooting foul by K. Anderson (drawn by A. Jefferson),,29-40,,
6:49.0,A. Jefferson misses free throw 1 of 2,,29-40,,
6:49.0,Offensive rebound by Team,,29-40,,
6:49.0,,,29-40,,K. Leonard enters the game for K. Anderson
6:49.0,A. Jefferson makes free throw 2 of 2,1,30-40,,
6:39.0,,,30-42,2,L. Aldridge makes 2-pt shot from 8 ft (assist by K. Leonard)
6:24.0,K. Walker makes 2-pt shot from 2 ft,2,32-42,,
6:12.0,,,32-44,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
5:57.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by K. Walker),3,35-44,,
5:45.0,Personal foul by J. Lamb (drawn by K. Leonard),,35-44,,
5:45.0,,,35-44,,San Antonio full timeout
5:45.0,N. Batum enters the game for J. Lamb,,35-44,,
5:35.0,Personal foul by F. Kaminsky (drawn by L. Aldridge),,35-44,,
5:35.0,,,35-45,1,L. Aldridge makes free throw 1 of 2
5:35.0,,,35-46,1,L. Aldridge makes free throw 2 of 2
5:12.0,A. Jefferson makes 2-pt shot from 4 ft,2,37-46,,
4:51.0,,,37-46,,Turnover by T. Parker (bad pass; steal by N. Batum)
4:47.0,Shooting foul by D. Green (drawn by N. Batum),,37-46,,
4:47.0,N. Batum makes free throw 1 of 2,1,38-46,,
4:47.0,P. Hairston enters the game for M. Williams,,38-46,,
4:47.0,C. Zeller enters the game for F. Kaminsky,,38-46,,
4:47.0,N. Batum makes free throw 2 of 2,1,39-46,,
4:33.0,,,39-46,,D. Green misses 2-pt shot from 1 ft
4:32.0,Defensive rebound by A. Jefferson,,39-46,,
4:21.0,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker),3,42-46,,
4:04.0,,,42-46,,Offensive foul by T. Duncan
4:04.0,,,42-46,,Turnover by T. Duncan (offensive foul)
3:54.0,Shooting foul by L. Aldridge (drawn by C. Zeller),,42-46,,
3:54.0,C. Zeller makes free throw 1 of 2,1,43-46,,
3:54.0,,,43-46,,D. West enters the game for L. Aldridge
3:54.0,C. Zeller misses free throw 2 of 2,,43-46,,
3:54.0,,,43-46,,Defensive rebound by T. Duncan
3:34.0,,,43-46,,K. Leonard misses 2-pt shot from 7 ft
3:33.0,Defensive rebound by N. Batum,,43-46,,
3:23.0,A. Jefferson makes 2-pt shot from 17 ft (assist by C. Zeller),2,45-46,,
3:04.0,,,45-46,,Shooting foul by P. Hairston (drawn by T. Duncan)
3:04.0,,,45-47,1,T. Duncan makes free throw 1 of 2
3:04.0,J. Lamb enters the game for P. Hairston,,45-47,,
3:04.0,,,45-47,,M. Ginobili enters the game for D. Green
3:04.0,,,45-48,1,T. Duncan makes free throw 2 of 2
2:49.0,Turnover by K. Walker (bad pass),,45-48,,
2:49.0,Charlotte full timeout,,45-48,,
2:34.0,,,45-48,,Shooting foul by A. Jefferson (drawn by T. Duncan)
2:34.0,,,45-48,,T. Duncan misses free throw 1 of 2
2:34.0,,,45-48,,Offensive rebound by Team
2:34.0,,,45-49,1,T. Duncan makes free throw 2 of 2
2:13.0,N. Batum misses 2-pt shot from 18 ft,,45-49,,
2:12.0,,,45-49,,Defensive rebound by T. Duncan
2:02.0,,,45-51,2,T. Duncan makes 2-pt shot from 8 ft (assist by D. West)
1:44.0,K. Walker makes 2-pt shot from 15 ft (assist by N. Batum),2,47-51,,
1:29.0,,,47-51,,T. Parker misses 2-pt shot from 16 ft
1:28.0,Defensive rebound by J. Lamb,,47-51,,
1:07.0,J. Lamb misses 3-pt shot from 25 ft,,47-51,,
1:06.0,,,47-51,,Defensive rebound by D. West
0:48.0,,,47-51,,K. Leonard misses 2-pt shot from 20 ft
0:47.0,Defensive rebound by C. Zeller,,47-51,,
0:46.0,Turnover by C. Zeller (lost ball; steal by M. Ginobili),,47-51,,
0:31.0,,,47-51,,M. Ginobili misses 3-pt shot from 25 ft
0:30.0,,,47-51,,Offensive rebound by Team
0:25.0,,,47-51,,M. Ginobili misses 2-pt shot from 6 ft
0:24.0,Defensive rebound by J. Lamb,,47-51,,
0:01.0,K. Walker misses 2-pt shot from 17 ft,,47-51,,
0:01.0,,,47-51,,Defensive rebound by D. West
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,47-51,,K. Leonard misses 2-pt shot from 12 ft
11:49.0,Defensive rebound by K. Walker,,47-51,,
11:38.0,M. Williams makes 2-pt shot from 8 ft (assist by N. Batum),2,49-51,,
11:27.0,,,49-51,,Offensive foul by L. Aldridge
11:27.0,,,49-51,,Turnover by L. Aldridge (offensive foul)
11:27.0,,,49-51,,D. West enters the game for L. Aldridge
11:17.0,K. Walker makes 3-pt shot from 24 ft,3,52-51,,
11:04.0,,,52-51,,Turnover by T. Parker (bad pass; steal by K. Walker)
11:00.0,N. Batum makes 2-pt shot from 2 ft (assist by A. Jefferson),2,54-51,,
11:00.0,,,54-51,,San Antonio full timeout
10:36.0,,,54-51,,T. Parker misses 2-pt shot from 10 ft
10:35.0,,,54-51,,Offensive rebound by T. Duncan
10:35.0,,,54-53,2,T. Duncan makes 2-pt shot from 1 ft
10:12.0,P. Hairston misses 3-pt shot from 24 ft,,54-53,,
10:10.0,,,54-53,,Defensive rebound by T. Duncan
9:45.0,,,54-56,3,K. Leonard makes 3-pt shot from 23 ft (assist by D. Green)
9:33.0,Shooting foul by K. Leonard (drawn by N. Batum),,54-56,,
9:33.0,N. Batum makes free throw 1 of 3,1,55-56,,
9:33.0,N. Batum makes free throw 2 of 3,1,56-56,,
9:33.0,N. Batum makes free throw 3 of 3,1,57-56,,
9:21.0,,,57-56,,Shooting foul by A. Jefferson (drawn by D. Green)
9:21.0,,,57-57,1,D. Green makes free throw 1 of 2
9:21.0,,,57-58,1,D. Green makes free throw 2 of 2
9:07.0,A. Jefferson misses 2-pt shot from 13 ft,,57-58,,
9:06.0,,,57-58,,Defensive rebound by D. West
8:56.0,,,57-58,,K. Leonard misses 2-pt shot from 1 ft
8:55.0,Defensive rebound by N. Batum,,57-58,,
8:49.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,60-58,,
8:38.0,,,60-60,2,K. Leonard makes 2-pt shot from 1 ft (assist by D. West)
8:38.0,,,60-60,,Shooting foul by N. Batum (drawn by K. Leonard)
8:38.0,,,60-60,,K. Leonard misses free throw 1 of 1
8:37.0,Defensive rebound by M. Williams,,60-60,,
8:25.0,A. Jefferson makes 2-pt shot from 14 ft (assist by N. Batum),2,62-60,,
8:08.0,,,62-60,,Turnover by T. Parker (lost ball; steal by K. Walker)
8:04.0,P. Hairston makes 2-pt shot at rim,2,64-60,,
7:48.0,,,64-62,2,D. Green makes 2-pt shot from 21 ft (assist by T. Parker)
7:32.0,M. Williams makes 2-pt shot from 21 ft (assist by K. Walker),2,66-62,,
7:12.0,Personal foul by A. Jefferson (drawn by T. Duncan),,66-62,,
7:12.0,,,66-62,,P. Mills enters the game for T. Parker
7:00.0,,,66-65,3,D. Green makes 3-pt shot from 24 ft (assist by T. Duncan)
6:45.0,K. Walker makes 3-pt shot from 25 ft,3,69-65,,
6:29.0,,,69-65,,D. Green misses 2-pt shot from 16 ft
6:28.0,Defensive rebound by A. Jefferson,,69-65,,
6:17.0,Turnover by N. Batum (bad pass; steal by D. Green),,69-65,,
6:10.0,,,69-65,,P. Mills misses 3-pt shot from 23 ft
6:08.0,Defensive rebound by Team,,69-65,,
5:57.0,K. Walker makes 2-pt shot from 21 ft,2,71-65,,
5:39.0,C. Zeller enters the game for M. Williams,,71-65,,
5:39.0,J. Lin enters the game for P. Hairston,,71-65,,
5:32.0,,,71-67,2,T. Duncan makes 2-pt shot from 16 ft
5:20.0,C. Zeller misses 2-pt shot from 19 ft,,71-67,,
5:19.0,,,71-67,,Defensive rebound by T. Duncan
5:07.0,,,71-69,2,K. Leonard makes 2-pt shot from 17 ft (assist by P. Mills)
4:42.0,J. Lin misses 2-pt shot from 21 ft,,71-69,,
4:41.0,,,71-69,,Defensive rebound by D. West
4:21.0,,,71-71,2,T. Duncan makes 2-pt shot from 8 ft
4:21.0,Charlotte full timeout,,71-71,,
4:21.0,,,71-71,,B. Diaw enters the game for D. West
4:21.0,,,71-71,,M. Ginobili enters the game for D. Green
4:11.0,A. Jefferson makes 2-pt shot from 8 ft (assist by K. Walker),2,73-71,,
3:50.0,,,73-73,2,K. Leonard makes 2-pt shot from 20 ft
3:50.0,,,73-73,,Shooting foul by N. Batum (drawn by K. Leonard)
3:50.0,,,73-74,1,K. Leonard makes free throw 1 of 1
3:35.0,A. Jefferson misses 2-pt shot from 10 ft,,73-74,,
3:34.0,,,73-74,,Defensive rebound by K. Leonard
3:09.0,,,73-77,3,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Mills)
2:44.0,J. Lin misses 3-pt shot from 26 ft,,73-77,,
2:43.0,,,73-77,,Defensive rebound by T. Duncan
2:32.0,,,73-80,3,M. Ginobili makes 3-pt shot from 24 ft (assist by K. Leonard)
2:23.0,Charlotte full timeout,,73-80,,
2:23.0,,,73-80,,D. Green enters the game for K. Leonard
2:23.0,S. Hawes enters the game for A. Jefferson,,73-80,,
2:23.0,J. Lamb enters the game for K. Walker,,73-80,,
2:23.0,,,73-80,,D. West enters the game for T. Duncan
2:11.0,N. Batum misses 3-pt shot from 24 ft,,73-80,,
2:10.0,,,73-80,,Defensive rebound by D. West
1:57.0,,,73-83,3,P. Mills makes 3-pt shot from 24 ft (assist by B. Diaw)
1:50.0,,,73-83,,Personal foul by P. Mills (drawn by J. Lin)
1:42.0,N. Batum misses 2-pt shot from 5 ft,,73-83,,
1:41.0,Offensive rebound by J. Lamb,,73-83,,
1:36.0,Turnover by N. Batum (bad pass; steal by D. Green),,73-83,,
1:26.0,,,73-86,3,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Mills)
1:25.0,Charlotte full timeout,,73-86,,
1:11.0,S. Hawes misses 2-pt shot from 4 ft,,73-86,,
1:11.0,,,73-86,,Defensive rebound by M. Ginobili
1:04.0,,,73-88,2,D. West makes 2-pt shot at rim (assist by M. Ginobili)
0:56.0,Technical foul by Team,,73-88,,
0:56.0,,,73-89,1,D. Green makes technical free throw
0:51.0,Shooting foul by D. West (drawn by J. Lin),,73-89,,
0:51.0,J. Lin misses free throw 1 of 2,,73-89,,
0:51.0,Offensive rebound by Team,,73-89,,
0:51.0,J. Lin makes free throw 2 of 2,1,74-89,,
0:31.0,,,74-91,2,D. West makes 2-pt shot from 18 ft (assist by B. Diaw)
0:21.0,Turnover by J. Lin (lost ball; steal by P. Mills),,74-91,,
0:17.0,,,74-93,2,P. Mills makes 2-pt shot from 1 ft (assist by D. West)
0:05.0,J. Lamb makes 2-pt shot from 2 ft,2,76-93,,
0:00.0,,,76-93,,D. West misses 3-pt shot from 24 ft
0:00.0,,,76-93,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Shooting foul by P. Mills (drawn by J. Lin),,76-93,,
11:45.0,J. Lin makes free throw 1 of 2,1,77-93,,
11:45.0,J. Lin misses free throw 2 of 2,,77-93,,
11:45.0,,,77-93,,Defensive rebound by B. Diaw
11:30.0,,,77-93,,D. West misses 2-pt shot from 16 ft
11:29.0,,,77-93,,Offensive rebound by B. Diaw
11:22.0,,,77-93,,M. Ginobili misses 3-pt shot from 26 ft
11:22.0,,,77-93,,Offensive rebound by D. Green
11:08.0,,,77-96,3,P. Mills makes 3-pt shot from 24 ft (assist by M. Ginobili)
11:00.0,,,77-96,,Personal foul by D. West (drawn by J. Lin)
10:52.0,J. Lamb misses 2-pt shot from 19 ft (block by D. Green),,77-96,,
10:51.0,,,77-96,,Defensive rebound by P. Mills
10:37.0,,,77-96,,P. Mills misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by J. Lin,,77-96,,
10:27.0,J. Lamb misses 3-pt shot from 27 ft,,77-96,,
10:27.0,,,77-96,,Defensive rebound by M. Ginobili
10:16.0,,,77-96,,D. Green misses 2-pt shot from 8 ft
10:15.0,Defensive rebound by M. Williams,,77-96,,
10:14.0,,,77-96,,Personal block foul by M. Ginobili (drawn by J. Lin)
10:06.0,Turnover by S. Hawes (bad pass),,77-96,,
9:40.0,,,77-96,,B. Diaw misses 2-pt shot from 6 ft
9:39.0,Defensive rebound by C. Zeller,,77-96,,
9:28.0,M. Williams makes 2-pt shot from 8 ft (assist by J. Lin),2,79-96,,
9:28.0,,,79-96,,San Antonio full timeout
9:28.0,,,79-96,,K. Anderson enters the game for M. Ginobili
9:28.0,,,79-96,,L. Aldridge enters the game for D. West
9:28.0,,,79-96,,K. Leonard enters the game for D. Green
9:07.0,,,79-98,2,K. Leonard makes 2-pt shot at rim (assist by L. Aldridge)
8:49.0,Turnover by J. Lamb (bad pass; steal by P. Mills),,79-98,,
8:27.0,,,79-98,,L. Aldridge misses 2-pt shot from 18 ft
8:26.0,Defensive rebound by M. Williams,,79-98,,
8:14.0,C. Zeller misses 2-pt shot from 2 ft (block by B. Diaw),,79-98,,
8:12.0,,,79-98,,Defensive rebound by L. Aldridge
8:02.0,,,79-101,3,P. Mills makes 3-pt shot from 24 ft
7:49.0,,,79-101,,Personal foul by K. Leonard (drawn by J. Lin)
7:49.0,A. Jefferson enters the game for J. Lin,,79-101,,
7:49.0,K. Walker enters the game for S. Hawes,,79-101,,
7:49.0,,,79-101,,T. Parker enters the game for P. Mills
7:34.0,K. Walker misses 2-pt shot from 18 ft,,79-101,,
7:33.0,,,79-101,,Defensive rebound by L. Aldridge
7:08.0,,,79-101,,L. Aldridge misses 2-pt shot from 10 ft
7:07.0,Defensive rebound by A. Jefferson,,79-101,,
6:51.0,J. Lamb makes 2-pt shot from 2 ft,2,81-101,,
6:34.0,Personal foul by C. Zeller (drawn by L. Aldridge),,81-101,,
6:34.0,N. Batum enters the game for M. Williams,,81-101,,
6:18.0,,,81-101,,K. Leonard misses 3-pt shot from 26 ft
6:18.0,,,81-101,,Offensive rebound by Team
6:18.0,,,81-101,,Turnover by Team (shot clock)
6:18.0,,,81-101,,R. Butler enters the game for B. Diaw
6:12.0,,,81-101,,Personal foul by T. Parker (drawn by K. Walker)
6:12.0,K. Walker misses free throw 1 of 2,,81-101,,
6:12.0,Offensive rebound by Team,,81-101,,
6:12.0,M. Williams enters the game for C. Zeller,,81-101,,
6:12.0,K. Walker makes free throw 2 of 2,1,82-101,,
5:58.0,,,82-101,,Shooting foul by J. Lamb (drawn by K. Anderson)
5:58.0,Official timeout,,82-101,,
5:58.0,,,82-101,,K. Anderson misses free throw 1 of 2
5:58.0,,,82-101,,Offensive rebound by Team
5:58.0,,,82-101,,K. Anderson misses free throw 2 of 2
5:57.0,Defensive rebound by A. Jefferson,,82-101,,
5:44.0,J. Lamb misses 3-pt shot from 25 ft,,82-101,,
5:43.0,,,82-101,,Defensive rebound by K. Anderson
5:31.0,,,82-103,2,K. Leonard makes 2-pt shot from 14 ft (assist by K. Anderson)
5:15.0,A. Jefferson misses 2-pt shot from 11 ft,,82-103,,
5:14.0,,,82-103,,Defensive rebound by T. Parker
5:03.0,,,82-105,2,K. Leonard makes 2-pt shot from 13 ft (assist by T. Parker)
4:48.0,K. Walker makes 2-pt shot from 19 ft,2,84-105,,
4:29.0,,,84-105,,K. Anderson misses 2-pt shot from 13 ft
4:29.0,Defensive rebound by N. Batum,,84-105,,
4:05.0,M. Williams misses 2-pt shot from 23 ft (block by K. Anderson),,84-105,,
4:03.0,Offensive rebound by J. Lamb,,84-105,,
4:03.0,J. Lamb misses 2-pt shot from 1 ft,,84-105,,
4:01.0,,,84-105,,Defensive rebound by L. Aldridge
3:51.0,,,84-107,2,L. Aldridge makes 2-pt shot from 2 ft (assist by K. Anderson)
3:51.0,,,84-107,,Shooting foul by A. Jefferson (drawn by L. Aldridge)
3:51.0,T. Daniels enters the game for M. Williams,,84-107,,
3:51.0,B. Roberts enters the game for A. Jefferson,,84-107,,
3:51.0,J. Lin enters the game for N. Batum,,84-107,,
3:51.0,T. Hansbrough enters the game for K. Walker,,84-107,,
3:51.0,F. Kaminsky enters the game for J. Lamb,,84-107,,
3:51.0,,,84-107,,R. McCallum enters the game for T. Parker
3:51.0,,,84-108,1,L. Aldridge makes free throw 1 of 1
3:48.0,,,84-108,,Personal take foul by R. McCallum (drawn by B. Roberts)
3:48.0,B. Roberts misses free throw 1 of 2,,84-108,,
3:48.0,Offensive rebound by Team,,84-108,,
3:48.0,,,84-108,,B. Marjanovic enters the game for L. Aldridge
3:48.0,,,84-108,,D. West enters the game for K. Leonard
3:48.0,B. Roberts makes free throw 2 of 2,1,85-108,,
3:34.0,,,85-110,2,K. Anderson makes 2-pt shot from 2 ft (assist by D. West)
3:16.0,F. Kaminsky makes 2-pt shot from 10 ft (assist by T. Daniels),2,87-110,,
3:06.0,,,87-110,,B. Marjanovic misses 2-pt shot from 8 ft
3:05.0,,,87-110,,Offensive rebound by B. Marjanovic
2:46.0,,,87-112,2,B. Marjanovic makes 2-pt shot from 4 ft
