time,Miami,pts.away,score,pts.home,Atlanta
10:47.0,,,24-20,,K. Korver misses 2-pt shot from 15 ft
10:45.0,Defensive rebound by C. Bosh,,24-20,,
10:31.0,G. Green makes 2-pt shot from 16 ft (assist by C. Bosh),2,26-20,,
10:08.0,,,26-23,3,D. Schroder makes 3-pt shot from 23 ft (assist by A. Horford)
9:45.0,B. Udrih makes 3-pt shot from 24 ft (assist by J. Winslow),3,29-23,,
9:35.0,,,29-23,,Offensive foul by D. Schroder
9:35.0,,,29-23,,Turnover by D. Schroder (offensive foul)
9:23.0,C. Bosh misses 2-pt shot from 21 ft,,29-23,,
9:22.0,,,29-23,,Defensive rebound by T. Splitter
9:11.0,,,29-25,2,K. Korver makes 2-pt shot from 21 ft (assist by T. Splitter)
8:53.0,Turnover by B. Udrih (lost ball; steal by D. Schroder),,29-25,,
8:53.0,Personal foul by B. Udrih (drawn by D. Schroder),,29-25,,
8:53.0,Official timeout,,29-25,,
8:53.0,L. Deng enters the game for J. Winslow,,29-25,,
8:42.0,,,29-25,,K. Korver misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by G. Green,,29-25,,
8:30.0,G. Green misses 2-pt shot from 17 ft,,29-25,,
8:29.0,,,29-25,,Defensive rebound by A. Horford
8:17.0,,,29-25,,Turnover by K. Korver (bad pass; steal by G. Green)
8:06.0,U. Haslem misses 2-pt shot from 14 ft,,29-25,,
8:05.0,,,29-25,,Defensive rebound by K. Korver
7:55.0,,,29-28,3,A. Horford makes 3-pt shot from 24 ft (assist by D. Schroder)
7:30.0,Shooting foul by A. Horford (drawn by C. Bosh),,29-28,,
7:30.0,C. Bosh makes free throw 1 of 2,1,30-28,,
7:30.0,,,30-28,,J. Teague enters the game for D. Schroder
7:30.0,,,30-28,,M. Muscala enters the game for T. Splitter
7:30.0,D. Wade enters the game for U. Haslem,,30-28,,
7:30.0,C. Bosh makes free throw 2 of 2,1,31-28,,
7:11.0,,,31-30,2,L. Patterson makes 2-pt shot from 1 ft (assist by M. Muscala)
7:04.0,Miami full timeout,,31-30,,
7:04.0,,,31-30,,K. Bazemore enters the game for A. Horford
7:04.0,,,31-30,,T. Splitter enters the game for K. Korver
7:04.0,,,31-30,,P. Millsap enters the game for M. Muscala
7:04.0,H. Whiteside enters the game for C. Bosh,,31-30,,
7:04.0,G. Dragic enters the game for B. Udrih,,31-30,,
6:58.0,D. Wade misses 2-pt shot from 19 ft,,31-30,,
6:55.0,Offensive rebound by G. Green,,31-30,,
6:50.0,L. Deng makes 2-pt shot from 3 ft (assist by G. Green),2,33-30,,
6:35.0,,,33-30,,K. Bazemore misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by H. Whiteside,,33-30,,
6:21.0,H. Whiteside misses 2-pt shot from 6 ft,,33-30,,
6:20.0,Offensive rebound by D. Wade,,33-30,,
6:20.0,D. Wade makes 2-pt shot at rim,2,35-30,,
6:02.0,,,35-32,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
5:43.0,,,35-32,,Personal foul by P. Millsap (drawn by G. Dragic)
5:28.0,G. Green misses 3-pt shot from 24 ft,,35-32,,
5:28.0,Offensive rebound by Team,,35-32,,
5:28.0,Turnover by Team (shot clock),,35-32,,
5:19.0,,,35-32,,Turnover by P. Millsap (lost ball; steal by L. Deng)
5:16.0,,,35-32,,Personal foul by K. Bazemore (drawn by L. Deng)
5:04.0,D. Wade makes 2-pt shot from 15 ft (assist by G. Dragic),2,37-32,,
4:55.0,,,37-32,,Offensive foul by T. Splitter
4:55.0,,,37-32,,Turnover by T. Splitter (offensive foul)
4:37.0,D. Wade misses 2-pt shot from 5 ft,,37-32,,
4:35.0,Offensive rebound by H. Whiteside,,37-32,,
4:35.0,H. Whiteside misses 2-pt shot at rim,,37-32,,
4:34.0,,,37-32,,Defensive rebound by L. Patterson
4:26.0,,,37-34,2,P. Millsap makes 2-pt shot at rim (assist by L. Patterson)
4:10.0,D. Wade misses 2-pt shot from 1 ft,,37-34,,
4:10.0,,,37-34,,Defensive rebound by Team
4:10.0,,,37-34,,T. Sefolosha enters the game for L. Patterson
4:02.0,,,37-34,,J. Teague misses 2-pt shot from 18 ft
4:00.0,,,37-34,,Offensive rebound by P. Millsap
3:54.0,,,37-36,2,K. Bazemore makes 2-pt shot at rim
3:38.0,Shooting foul by T. Splitter (drawn by L. Deng),,37-36,,
3:38.0,L. Deng makes free throw 1 of 2,1,38-36,,
3:38.0,C. Bosh enters the game for G. Green,,38-36,,
3:38.0,,,38-36,,A. Horford enters the game for T. Splitter
3:38.0,L. Deng makes free throw 2 of 2,1,39-36,,
3:31.0,,,39-36,,Turnover by T. Sefolosha (bad pass; steal by G. Dragic)
3:23.0,Turnover by D. Wade (lost ball; steal by K. Bazemore),,39-36,,
3:10.0,,,39-36,,T. Sefolosha misses 3-pt shot from 22 ft
3:09.0,Defensive rebound by L. Deng,,39-36,,
3:03.0,G. Dragic makes 2-pt shot from 18 ft (assist by L. Deng),2,41-36,,
3:03.0,,,41-36,,Atlanta full timeout
3:03.0,,,41-36,,K. Korver enters the game for T. Sefolosha
2:49.0,,,41-36,,J. Teague misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by L. Deng,,41-36,,
2:32.0,G. Dragic makes 2-pt shot from 1 ft (assist by C. Bosh),2,43-36,,
2:25.0,,,43-36,,J. Teague misses 2-pt shot from 1 ft
2:23.0,Defensive rebound by C. Bosh,,43-36,,
2:18.0,D. Wade misses 2-pt shot at rim,,43-36,,
2:16.0,,,43-36,,Defensive rebound by K. Korver
2:09.0,,,43-36,,K. Bazemore misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by H. Whiteside,,43-36,,
1:48.0,G. Dragic misses 2-pt shot at rim,,43-36,,
1:45.0,,,43-36,,Defensive rebound by J. Teague
1:44.0,,,43-36,,Shooting foul by H. Whiteside (drawn by J. Teague)
1:44.0,,,43-37,1,J. Teague makes free throw 1 of 2
1:44.0,,,43-38,1,J. Teague makes free throw 2 of 2
1:26.0,L. Deng misses 2-pt shot from 20 ft,,43-38,,
1:16.0,Offensive rebound by D. Wade,,43-38,,
1:03.0,D. Wade misses 2-pt shot from 11 ft,,43-38,,
1:01.0,,,43-38,,Defensive rebound by K. Korver
0:56.0,,,43-38,,P. Millsap misses 2-pt shot from 4 ft
0:54.0,Defensive rebound by C. Bosh,,43-38,,
0:50.0,,,43-38,,Violation by P. Millsap (def goaltending)
0:50.0,L. Deng makes 2-pt shot at rim (assist by G. Dragic),2,45-38,,
0:28.0,,,45-38,,J. Teague misses 2-pt shot from 8 ft
0:26.0,Defensive rebound by H. Whiteside,,45-38,,
0:21.0,Miami full timeout,,45-38,,
0:21.0,,,45-38,,T. Sefolosha enters the game for K. Bazemore
0:21.0,G. Green enters the game for H. Whiteside,,45-38,,
0:08.0,C. Bosh makes 2-pt shot from 3 ft (assist by G. Dragic),2,47-38,,
0:01.0,,,47-38,,A. Horford misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by L. Deng,,47-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,L. Deng makes 2-pt shot from 16 ft (assist by G. Dragic),2,49-38,,
11:33.0,,,49-38,,K. Korver misses 3-pt shot from 24 ft
11:32.0,Defensive rebound by H. Whiteside,,49-38,,
11:17.0,G. Dragic misses 3-pt shot from 23 ft,,49-38,,
11:16.0,,,49-38,,Defensive rebound by P. Millsap
11:07.0,,,49-38,,K. Korver misses 2-pt shot from 17 ft
11:05.0,Defensive rebound by H. Whiteside,,49-38,,
10:48.0,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Wade),2,51-38,,
10:35.0,,,51-40,2,K. Bazemore makes 2-pt shot from 14 ft (assist by J. Teague)
10:14.0,C. Bosh misses 2-pt shot from 18 ft,,51-40,,
10:12.0,Offensive rebound by G. Dragic,,51-40,,
10:12.0,Shooting foul by A. Horford (drawn by H. Whiteside),,51-40,,
10:12.0,H. Whiteside misses free throw 1 of 2,,51-40,,
10:12.0,Offensive rebound by Team,,51-40,,
10:12.0,H. Whiteside misses free throw 2 of 2,,51-40,,
10:11.0,,,51-40,,Defensive rebound by K. Bazemore
9:59.0,,,51-40,,A. Horford misses 2-pt shot from 20 ft
9:58.0,Defensive rebound by D. Wade,,51-40,,
9:52.0,D. Wade misses 2-pt shot from 21 ft,,51-40,,
9:50.0,,,51-40,,Defensive rebound by K. Korver
9:44.0,,,51-40,,J. Teague misses 2-pt shot from 2 ft (block by H. Whiteside)
9:42.0,Defensive rebound by G. Dragic,,51-40,,
9:39.0,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade),2,53-40,,
9:21.0,Personal foul by G. Dragic (drawn by A. Horford),,53-40,,
9:21.0,B. Udrih enters the game for G. Dragic,,53-40,,
9:15.0,,,53-42,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
8:57.0,C. Bosh makes 3-pt shot from 23 ft (assist by D. Wade),3,56-42,,
8:45.0,,,56-42,,A. Horford misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by C. Bosh,,56-42,,
8:32.0,,,56-42,,Def 3 sec tech foul by A. Horford
8:32.0,D. Wade makes technical free throw,1,57-42,,
8:19.0,L. Deng misses 3-pt shot from 24 ft,,57-42,,
8:18.0,,,57-42,,Defensive rebound by K. Bazemore
7:53.0,,,57-45,3,J. Teague makes 3-pt shot from 25 ft (assist by A. Horford)
7:33.0,C. Bosh makes 3-pt shot from 23 ft (assist by L. Deng),3,60-45,,
7:21.0,,,60-45,,J. Teague misses 3-pt shot from 24 ft
7:18.0,Defensive rebound by H. Whiteside,,60-45,,
7:12.0,Offensive foul by H. Whiteside,,60-45,,
7:12.0,Turnover by H. Whiteside (offensive foul),,60-45,,
7:01.0,,,60-45,,K. Korver misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by D. Wade,,60-45,,
6:44.0,,,60-45,,Personal foul by K. Bazemore (drawn by D. Wade)
6:44.0,,,60-45,,D. Schroder enters the game for K. Korver
6:29.0,Turnover by Team (shot clock),,60-45,,
6:17.0,,,60-47,2,A. Horford makes 2-pt shot from 19 ft (assist by D. Schroder)
6:09.0,Miami full timeout,,60-47,,
6:09.0,G. Green enters the game for D. Wade,,60-47,,
6:01.0,L. Deng misses 2-pt shot from 1 ft (block by A. Horford),,60-47,,
5:59.0,Offensive rebound by L. Deng,,60-47,,
5:51.0,B. Udrih makes 2-pt shot from 3 ft,2,62-47,,
5:38.0,,,62-50,3,D. Schroder makes 3-pt shot from 24 ft (assist by K. Bazemore)
5:22.0,C. Bosh misses 3-pt shot from 24 ft,,62-50,,
5:21.0,,,62-50,,Defensive rebound by A. Horford
5:13.0,,,62-50,,P. Millsap misses 2-pt shot from 8 ft
5:10.0,Defensive rebound by H. Whiteside,,62-50,,
4:55.0,H. Whiteside makes 2-pt shot at rim (assist by G. Green),2,64-50,,
4:40.0,,,64-50,,Shooting foul by H. Whiteside (drawn by D. Schroder)
4:40.0,,,64-51,1,D. Schroder makes free throw 1 of 2
4:40.0,J. Winslow enters the game for C. Bosh,,64-51,,
4:40.0,,,64-51,,T. Splitter enters the game for A. Horford
4:40.0,,,64-52,1,D. Schroder makes free throw 2 of 2
4:26.0,H. Whiteside misses 2-pt shot from 8 ft (block by T. Splitter),,64-52,,
4:26.0,,,64-52,,Defensive rebound by Team
4:15.0,Personal foul by H. Whiteside (drawn by P. Millsap),,64-52,,
4:15.0,U. Haslem enters the game for H. Whiteside,,64-52,,
4:05.0,,,64-52,,P. Millsap misses 3-pt shot from 23 ft
4:05.0,Defensive rebound by L. Deng,,64-52,,
4:05.0,,,64-52,,Personal foul by J. Teague (drawn by L. Deng)
3:48.0,Offensive charge foul by J. Winslow,,64-52,,
3:48.0,Turnover by J. Winslow (offensive foul),,64-52,,
3:27.0,,,64-54,2,T. Splitter makes 2-pt shot from 1 ft (assist by D. Schroder)
3:11.0,G. Green makes 2-pt shot from 20 ft (assist by L. Deng),2,66-54,,
2:52.0,,,66-56,2,J. Teague makes 2-pt shot at rim
2:43.0,B. Udrih makes 2-pt shot from 17 ft,2,68-56,,
2:42.0,,,68-56,,Atlanta full timeout
2:42.0,C. Bosh enters the game for L. Deng,,68-56,,
2:30.0,,,68-58,2,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap)
2:15.0,Shooting foul by J. Teague (drawn by B. Udrih),,68-58,,
2:15.0,B. Udrih makes free throw 1 of 2,1,69-58,,
2:15.0,B. Udrih makes free throw 2 of 2,1,70-58,,
2:06.0,,,70-61,3,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder)
1:48.0,B. Udrih misses 2-pt shot from 14 ft,,70-61,,
1:47.0,,,70-61,,Defensive rebound by P. Millsap
1:40.0,,,70-61,,Turnover by D. Schroder (lost ball; steal by U. Haslem)
1:40.0,,,70-61,,Personal foul by D. Schroder (drawn by U. Haslem)
1:40.0,,,70-61,,K. Korver enters the game for J. Teague
1:40.0,U. Haslem makes free throw 1 of 2,1,71-61,,
1:40.0,G. Dragic enters the game for J. Winslow,,71-61,,
1:40.0,U. Haslem makes free throw 2 of 2,1,72-61,,
1:29.0,,,72-61,,D. Schroder misses 2-pt shot from 8 ft
1:27.0,Defensive rebound by C. Bosh,,72-61,,
1:21.0,Offensive charge foul by G. Dragic,,72-61,,
1:21.0,Turnover by G. Dragic (offensive foul),,72-61,,
1:03.0,,,72-61,,T. Splitter misses 2-pt shot at rim
1:01.0,Defensive rebound by G. Dragic,,72-61,,
0:57.0,G. Dragic makes 2-pt shot from 2 ft,2,74-61,,
0:46.0,Personal foul by G. Green (drawn by P. Millsap),,74-61,,
0:31.0,,,74-61,,P. Millsap misses 3-pt shot from 23 ft
0:29.0,Defensive rebound by B. Udrih,,74-61,,
0:07.0,G. Dragic misses 2-pt shot from 18 ft,,74-61,,
0:04.0,Offensive rebound by B. Udrih,,74-61,,
0:01.0,Turnover by B. Udrih (bad pass; steal by D. Schroder),,74-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,74-61,,D. Schroder misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by D. Wade,,74-61,,
11:30.0,G. Green makes 2-pt shot from 1 ft (assist by D. Wade),2,76-61,,
11:30.0,Shooting foul by M. Muscala (drawn by G. Green),,76-61,,
11:30.0,G. Green makes free throw 1 of 1,1,77-61,,
11:16.0,,,77-61,,Turnover by T. Sefolosha (bad pass)
10:51.0,C. Bosh misses 3-pt shot from 24 ft,,77-61,,
10:50.0,Offensive rebound by G. Green,,77-61,,
10:40.0,G. Green makes 2-pt shot from 11 ft,2,79-61,,
10:25.0,,,79-61,,Turnover by T. Sefolosha (lost ball)
10:11.0,G. Green misses 2-pt shot from 16 ft,,79-61,,
10:09.0,Offensive rebound by Team,,79-61,,
10:01.0,D. Wade misses 2-pt shot from 18 ft,,79-61,,
10:00.0,,,79-61,,Defensive rebound by D. Schroder
9:52.0,,,79-64,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder)
9:34.0,D. Wade misses 2-pt shot from 11 ft,,79-64,,
9:34.0,Offensive rebound by C. Bosh,,79-64,,
9:34.0,,,79-64,,Personal foul by D. Schroder (drawn by C. Bosh)
9:34.0,,,79-64,,K. Bazemore enters the game for T. Sefolosha
9:25.0,D. Wade misses 2-pt shot from 13 ft,,79-64,,
9:23.0,Offensive rebound by G. Dragic,,79-64,,
9:23.0,G. Dragic misses 2-pt shot at rim,,79-64,,
9:21.0,,,79-64,,Defensive rebound by K. Bazemore
9:14.0,,,79-66,2,K. Bazemore makes 2-pt shot at rim
9:14.0,Miami full timeout,,79-66,,
8:58.0,G. Green makes 2-pt shot from 18 ft (assist by U. Haslem),2,81-66,,
8:42.0,,,81-66,,Turnover by A. Horford (offensive goaltending)
8:27.0,Turnover by G. Green (bad pass; steal by A. Horford),,81-66,,
8:22.0,,,81-68,2,A. Horford makes 2-pt shot at rim
8:08.0,,,81-68,,Violation by K. Korver (kicked ball)
8:08.0,,,81-68,,P. Millsap enters the game for M. Muscala
8:08.0,L. Deng enters the game for C. Bosh,,81-68,,
7:58.0,D. Wade makes 2-pt shot from 19 ft,2,83-68,,
7:50.0,,,83-68,,Shooting foul by L. Deng (drawn by P. Millsap)
7:50.0,,,83-69,1,P. Millsap makes free throw 1 of 2
7:50.0,,,83-69,,J. Teague enters the game for D. Schroder
7:50.0,,,83-70,1,P. Millsap makes free throw 2 of 2
7:39.0,,,83-70,,Violation by A. Horford (kicked ball)
7:24.0,D. Wade misses 3-pt shot from 23 ft,,83-70,,
7:23.0,,,83-70,,Defensive rebound by K. Korver
7:14.0,,,83-72,2,P. Millsap makes 2-pt shot at rim (assist by K. Korver)
6:49.0,L. Deng makes 3-pt shot from 23 ft (assist by D. Wade),3,86-72,,
6:40.0,,,86-72,,Shooting foul by G. Green (drawn by K. Bazemore)
6:40.0,,,86-73,1,K. Bazemore makes free throw 1 of 2
6:40.0,,,86-74,1,K. Bazemore makes free throw 2 of 2
6:22.0,D. Wade misses 2-pt shot from 18 ft,,86-74,,
6:19.0,,,86-74,,Defensive rebound by K. Korver
6:13.0,,,86-74,,K. Bazemore misses 2-pt shot from 3 ft
6:10.0,,,86-74,,Offensive rebound by K. Bazemore
5:54.0,,,86-74,,K. Bazemore misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by Team,,86-74,,
5:54.0,,,86-74,,Loose ball foul by P. Millsap (drawn by U. Haslem)
5:54.0,Official timeout,,86-74,,
5:54.0,,,86-74,,D. Schroder enters the game for K. Korver
5:54.0,C. Bosh enters the game for D. Wade,,86-74,,
5:54.0,B. Udrih enters the game for U. Haslem,,86-74,,
5:46.0,,,86-74,,Personal foul by J. Teague (drawn by C. Bosh)
5:31.0,G. Dragic misses 2-pt shot from 1 ft,,86-74,,
5:30.0,,,86-74,,Defensive rebound by D. Schroder
5:23.0,,,86-74,,Offensive charge foul by P. Millsap
5:23.0,,,86-74,,Turnover by P. Millsap (offensive foul)
5:12.0,C. Bosh misses 2-pt shot from 20 ft,,86-74,,
5:10.0,,,86-74,,Defensive rebound by P. Millsap
5:01.0,,,86-74,,D. Schroder misses 2-pt shot from 21 ft
4:58.0,Defensive rebound by L. Deng,,86-74,,
4:46.0,G. Green makes 2-pt shot from 19 ft (assist by G. Dragic),2,88-74,,
4:29.0,,,88-74,,J. Teague misses 2-pt shot from 5 ft
4:26.0,Defensive rebound by L. Deng,,88-74,,
4:24.0,C. Bosh makes 2-pt shot at rim (assist by G. Dragic),2,90-74,,
4:24.0,,,90-74,,Atlanta full timeout
4:24.0,,,90-74,,K. Korver enters the game for J. Teague
4:10.0,,,90-76,2,P. Millsap makes 2-pt shot at rim (assist by A. Horford)
3:45.0,C. Bosh misses 2-pt shot from 21 ft,,90-76,,
3:43.0,,,90-76,,Defensive rebound by D. Schroder
3:37.0,,,90-76,,K. Korver misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by G. Dragic,,90-76,,
3:20.0,C. Bosh makes 3-pt shot from 24 ft (assist by B. Udrih),3,93-76,,
3:06.0,,,93-78,2,K. Bazemore makes 2-pt shot at rim (assist by A. Horford)
2:43.0,G. Green makes 2-pt shot from 18 ft (assist by L. Deng),2,95-78,,
