time,Golden State,pts.away,score,pts.home,LA Lakers
1:08.0,A. Varejao misses free throw 2 of 2,,19-20,,
1:07.0,,,19-20,,Defensive rebound by B. Bass
0:54.0,,,19-22,2,L. Nance makes 2-pt shot at rim (assist by M. Huertas)
0:46.0,S. Curry misses 2-pt shot from 4 ft (block by B. Bass),,19-22,,
0:43.0,,,19-22,,Defensive rebound by L. Nance
0:39.0,,,19-22,,M. Huertas misses 2-pt shot at rim
0:35.0,Defensive rebound by B. Rush,,19-22,,
0:33.0,L. Barbosa makes 2-pt shot from 1 ft (assist by D. Green),2,21-22,,
0:11.0,,,21-22,,J. Clarkson misses 2-pt shot from 16 ft
0:08.0,Defensive rebound by D. Green,,21-22,,
0:01.0,Turnover by S. Curry (bad pass; steal by M. Huertas),,21-22,,
0:00.0,,,21-22,,M. Huertas misses 3-pt shot from 54 ft
0:00.0,,,21-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by S. Livingston (bad pass),,21-22,,
11:22.0,,,21-24,2,B. Bass makes 2-pt shot from 3 ft (assist by M. Huertas)
11:07.0,,,21-24,,Personal foul by N. Young (drawn by H. Barnes)
11:01.0,S. Livingston makes 2-pt shot from 15 ft,2,23-24,,
10:46.0,,,23-24,,B. Bass misses 2-pt shot from 1 ft (block by M. Speights)
10:44.0,Defensive rebound by H. Barnes,,23-24,,
10:38.0,Turnover by B. Rush (bad pass; steal by L. Nance),,23-24,,
10:20.0,,,23-24,,D. Russell misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by H. Barnes,,23-24,,
10:10.0,Shooting foul by L. Nance (drawn by S. Livingston),,23-24,,
10:10.0,S. Livingston makes free throw 1 of 2,1,24-24,,
10:10.0,,,24-24,,K. Bryant enters the game for N. Young
10:10.0,S. Livingston makes free throw 2 of 2,1,25-24,,
10:02.0,,,25-24,,Shooting foul by S. Livingston (drawn by D. Russell)
10:02.0,,,25-25,1,D. Russell makes free throw 1 of 2
10:02.0,,,25-26,1,D. Russell makes free throw 2 of 2
9:51.0,M. Speights misses 2-pt shot from 17 ft,,25-26,,
9:50.0,,,25-26,,Defensive rebound by D. Russell
9:37.0,,,25-28,2,B. Bass makes 2-pt shot at rim (assist by M. Huertas)
9:19.0,L. Barbosa makes 2-pt shot from 21 ft (assist by M. Speights),2,27-28,,
9:00.0,,,27-30,2,K. Bryant makes 2-pt shot from 10 ft
8:46.0,M. Speights misses 2-pt shot from 4 ft,,27-30,,
8:44.0,Offensive rebound by S. Livingston,,27-30,,
8:40.0,L. Barbosa misses 2-pt shot from 4 ft (block by B. Bass),,27-30,,
8:38.0,Offensive rebound by B. Rush,,27-30,,
8:34.0,H. Barnes misses 3-pt shot from 26 ft,,27-30,,
8:32.0,Offensive rebound by M. Speights,,27-30,,
8:30.0,Turnover by M. Speights (bad pass; steal by L. Nance),,27-30,,
8:22.0,,,27-30,,K. Bryant misses 3-pt shot from 23 ft
8:21.0,,,27-30,,Offensive rebound by L. Nance
8:16.0,,,27-33,3,D. Russell makes 3-pt shot from 25 ft (assist by L. Nance)
7:59.0,S. Livingston makes 2-pt shot from 10 ft (assist by L. Barbosa),2,29-33,,
7:47.0,,,29-36,3,D. Russell makes 3-pt shot from 24 ft (assist by M. Huertas)
7:44.0,Golden State full timeout,,29-36,,
7:44.0,K. Thompson enters the game for B. Rush,,29-36,,
7:44.0,D. Green enters the game for L. Barbosa,,29-36,,
7:32.0,Shooting foul by L. Nance (drawn by D. Green),,29-36,,
7:32.0,D. Green makes free throw 1 of 2,1,30-36,,
7:32.0,D. Green makes free throw 2 of 2,1,31-36,,
7:20.0,,,31-39,3,D. Russell makes 3-pt shot from 24 ft (assist by B. Bass)
7:02.0,Turnover by S. Livingston (bad pass; steal by D. Russell),,31-39,,
6:57.0,,,31-41,2,B. Bass makes 2-pt shot at rim (assist by M. Huertas)
6:37.0,D. Green makes 3-pt shot from 27 ft (assist by S. Livingston),3,34-41,,
6:22.0,,,34-43,2,K. Bryant makes 2-pt shot from 7 ft (assist by M. Huertas)
6:13.0,S. Livingston makes 2-pt shot from 10 ft,2,36-43,,
5:56.0,,,36-43,,D. Russell misses 3-pt shot from 26 ft
5:55.0,Defensive rebound by M. Speights,,36-43,,
5:43.0,M. Speights makes 2-pt shot from 2 ft (assist by K. Thompson),2,38-43,,
5:30.0,,,38-43,,Shooting foul by D. Green (drawn by K. Bryant)
5:30.0,Official timeout,,38-43,,
5:30.0,S. Curry enters the game for H. Barnes,,38-43,,
5:30.0,A. Bogut enters the game for M. Speights,,38-43,,
5:30.0,,,38-43,,J. Randle enters the game for B. Bass
5:30.0,,,38-43,,R. Hibbert enters the game for L. Nance
5:30.0,,,38-44,1,K. Bryant makes free throw 1 of 2
5:30.0,,,38-45,1,K. Bryant makes free throw 2 of 2
5:20.0,,,38-45,,Personal foul by R. Hibbert (drawn by A. Bogut)
5:11.0,S. Curry misses 2-pt shot from 15 ft,,38-45,,
5:09.0,Offensive rebound by S. Livingston,,38-45,,
5:03.0,K. Thompson misses 3-pt shot from 24 ft,,38-45,,
5:02.0,,,38-45,,Defensive rebound by J. Randle
4:45.0,,,38-45,,K. Bryant misses 3-pt shot from 26 ft
4:44.0,Defensive rebound by D. Green,,38-45,,
4:38.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,40-45,,
4:38.0,Shooting foul by R. Hibbert (drawn by K. Thompson),,40-45,,
4:38.0,,,40-45,,J. Clarkson enters the game for M. Huertas
4:38.0,I. Clark enters the game for S. Livingston,,40-45,,
4:38.0,K. Thompson makes free throw 1 of 1,1,41-45,,
4:26.0,,,41-47,2,J. Clarkson makes 2-pt shot at rim (assist by J. Randle)
4:15.0,A. Bogut misses 2-pt shot at rim,,41-47,,
4:13.0,Offensive rebound by A. Bogut,,41-47,,
4:12.0,D. Green misses 2-pt shot from 1 ft,,41-47,,
4:10.0,Offensive rebound by Team,,41-47,,
4:10.0,,,41-47,,M. World Peace enters the game for K. Bryant
4:05.0,I. Clark makes 3-pt shot from 26 ft (assist by S. Curry),3,44-47,,
4:01.0,Personal foul by I. Clark (drawn by D. Russell),,44-47,,
3:48.0,,,44-47,,J. Randle misses 2-pt shot from 1 ft
3:47.0,,,44-47,,Offensive rebound by J. Randle
3:47.0,,,44-47,,J. Randle misses 2-pt shot from 1 ft
3:44.0,Defensive rebound by D. Green,,44-47,,
3:26.0,D. Green misses 3-pt shot from 26 ft,,44-47,,
3:24.0,Offensive rebound by A. Bogut,,44-47,,
3:24.0,A. Bogut misses 2-pt shot at rim,,44-47,,
3:21.0,,,44-47,,Defensive rebound by J. Randle
3:18.0,,,44-47,,D. Russell misses 3-pt shot from 27 ft
3:17.0,Defensive rebound by K. Thompson,,44-47,,
3:16.0,Turnover by K. Thompson (lost ball; steal by M. World Peace),,44-47,,
3:10.0,,,44-47,,J. Randle misses 2-pt shot from 3 ft
3:09.0,Defensive rebound by Team,,44-47,,
3:00.0,Turnover by S. Curry (bad pass; steal by R. Hibbert),,44-47,,
2:58.0,,,44-47,,LA Lakers full timeout
2:58.0,,,44-47,,K. Bryant enters the game for M. World Peace
2:45.0,Personal foul by I. Clark (drawn by J. Clarkson),,44-47,,
2:33.0,,,44-47,,J. Clarkson misses 2-pt shot from 6 ft
2:32.0,,,44-47,,Offensive rebound by J. Clarkson
2:32.0,,,44-49,2,J. Clarkson makes 2-pt shot from 6 ft
2:32.0,,,44-49,,Shooting foul by S. Curry (drawn by J. Clarkson)
2:32.0,,,44-50,1,J. Clarkson makes free throw 1 of 1
2:15.0,I. Clark misses 2-pt shot from 2 ft,,44-50,,
2:12.0,,,44-50,,Defensive rebound by R. Hibbert
2:01.0,,,44-52,2,J. Randle makes 2-pt shot from 2 ft (assist by D. Russell)
1:52.0,K. Thompson misses 2-pt shot from 13 ft,,44-52,,
1:49.0,,,44-52,,Defensive rebound by J. Randle
1:33.0,,,44-54,2,J. Randle makes 2-pt shot from 2 ft (assist by D. Russell)
1:11.0,Turnover by D. Green (bad pass; steal by D. Russell),,44-54,,
1:06.0,,,44-56,2,D. Russell makes 2-pt shot from 1 ft
1:06.0,Golden State full timeout,,44-56,,
1:06.0,J. McAdoo enters the game for A. Bogut,,44-56,,
1:06.0,,,44-56,,B. Bass enters the game for R. Hibbert
0:52.0,J. McAdoo makes 2-pt shot from 1 ft (assist by D. Green),2,46-56,,
0:41.0,,,46-56,,Shooting foul by D. Green (drawn by K. Bryant)
0:41.0,,,46-57,1,K. Bryant makes free throw 1 of 2
0:41.0,H. Barnes enters the game for D. Green,,46-57,,
0:41.0,,,46-58,1,K. Bryant makes free throw 2 of 2
0:32.0,Turnover by S. Curry (bad pass; steal by J. Clarkson),,46-58,,
0:30.0,,,46-60,2,J. Clarkson makes 2-pt shot at rim
0:15.0,Shooting foul by K. Bryant (drawn by S. Curry),,46-60,,
0:15.0,S. Curry makes free throw 1 of 3,1,47-60,,
0:15.0,S. Curry makes free throw 2 of 3,1,48-60,,
0:15.0,S. Curry makes free throw 3 of 3,1,49-60,,
0:01.0,,,49-60,,K. Bryant misses 3-pt shot from 22 ft
0:00.0,,,49-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,K. Thompson misses 2-pt shot from 14 ft,,49-60,,
11:39.0,Offensive rebound by A. Bogut,,49-60,,
11:34.0,K. Thompson misses 3-pt shot from 23 ft,,49-60,,
11:32.0,,,49-60,,Defensive rebound by J. Randle
11:12.0,,,49-63,3,J. Clarkson makes 3-pt shot from 25 ft
11:04.0,Offensive foul by D. Green,,49-63,,
11:04.0,Turnover by D. Green (offensive foul),,49-63,,
10:46.0,,,49-63,,K. Bryant misses 2-pt shot from 23 ft
10:45.0,Defensive rebound by D. Green,,49-63,,
10:39.0,S. Curry misses 3-pt shot from 26 ft,,49-63,,
10:35.0,Offensive rebound by H. Barnes,,49-63,,
10:32.0,Turnover by D. Green (bad pass),,49-63,,
10:16.0,,,49-63,,Turnover by D. Russell (lost ball; steal by K. Thompson)
10:10.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,51-63,,
9:51.0,,,51-65,2,K. Bryant makes 2-pt shot from 2 ft (assist by J. Randle)
9:41.0,K. Thompson misses 3-pt shot from 24 ft,,51-65,,
9:40.0,,,51-65,,Defensive rebound by J. Randle
9:17.0,,,51-65,,J. Randle misses 2-pt shot from 4 ft (block by D. Green)
9:16.0,Defensive rebound by D. Green,,51-65,,
9:16.0,,,51-65,,Personal foul by J. Randle (drawn by D. Green)
9:08.0,Turnover by D. Green (bad pass; steal by D. Russell),,51-65,,
9:08.0,Personal take foul by A. Bogut (drawn by D. Russell),,51-65,,
8:47.0,,,51-65,,J. Clarkson misses 2-pt shot from 19 ft
8:44.0,Defensive rebound by D. Green,,51-65,,
8:41.0,S. Curry misses 2-pt shot from 1 ft,,51-65,,
8:38.0,Offensive rebound by K. Thompson,,51-65,,
8:37.0,K. Thompson misses 2-pt shot at rim,,51-65,,
8:35.0,,,51-65,,Defensive rebound by R. Hibbert
8:14.0,,,51-65,,Turnover by K. Bryant (bad pass)
8:06.0,K. Thompson makes 2-pt shot from 19 ft (assist by D. Green),2,53-65,,
7:47.0,,,53-65,,Offensive charge foul by J. Clarkson
7:47.0,,,53-65,,Turnover by J. Clarkson (offensive foul)
7:36.0,A. Bogut makes 2-pt shot from 9 ft (assist by D. Green),2,55-65,,
7:20.0,,,55-65,,Turnover by K. Bryant (bad pass; steal by S. Curry)
7:19.0,,,55-65,,Personal foul by J. Clarkson (drawn by S. Curry)
7:08.0,K. Thompson makes 2-pt shot from 14 ft (assist by A. Bogut),2,57-65,,
7:08.0,,,57-65,,LA Lakers full timeout
6:45.0,,,57-65,,K. Bryant misses 3-pt shot from 42 ft
6:44.0,,,57-65,,Offensive rebound by Team
6:44.0,,,57-65,,Turnover by Team (shot clock)
6:29.0,K. Thompson misses 3-pt shot from 24 ft,,57-65,,
6:28.0,,,57-65,,Defensive rebound by K. Bryant
6:18.0,,,57-68,3,J. Clarkson makes 3-pt shot from 26 ft
6:08.0,,,57-68,,Def 3 sec tech foul by R. Hibbert
6:08.0,S. Curry makes technical free throw,1,58-68,,
6:08.0,,,58-68,,M. Huertas enters the game for D. Russell
6:08.0,B. Rush enters the game for H. Barnes,,58-68,,
5:56.0,K. Thompson misses 2-pt shot from 2 ft (block by R. Hibbert),,58-68,,
5:54.0,,,58-68,,Defensive rebound by R. Hibbert
5:49.0,,,58-70,2,J. Randle makes 2-pt shot at rim (assist by K. Bryant)
5:43.0,Turnover by D. Green (bad pass),,58-70,,
5:29.0,,,58-70,,Turnover by R. Hibbert (bad pass; steal by A. Bogut)
5:21.0,B. Rush misses 2-pt shot from 9 ft,,58-70,,
5:16.0,,,58-70,,Defensive rebound by J. Randle
5:07.0,,,58-70,,K. Bryant misses 2-pt shot from 1 ft (block by B. Rush)
5:05.0,Defensive rebound by D. Green,,58-70,,
5:05.0,,,58-70,,Personal take foul by J. Randle (drawn by D. Green)
5:05.0,L. Barbosa enters the game for K. Thompson,,58-70,,
4:55.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,60-70,,
4:35.0,,,60-73,3,J. Clarkson makes 3-pt shot from 26 ft (assist by M. Huertas)
4:23.0,Shooting foul by J. Randle (drawn by D. Green),,60-73,,
4:23.0,D. Green makes free throw 1 of 2,1,61-73,,
4:23.0,,,61-73,,N. Young enters the game for K. Bryant
4:23.0,A. Varejao enters the game for A. Bogut,,61-73,,
4:23.0,D. Green makes free throw 2 of 2,1,62-73,,
4:02.0,,,62-75,2,J. Randle makes 2-pt shot from 2 ft
3:51.0,S. Curry misses 3-pt shot from 24 ft,,62-75,,
3:47.0,Offensive rebound by L. Barbosa,,62-75,,
3:46.0,D. Green misses 2-pt shot from 1 ft,,62-75,,
3:46.0,Offensive rebound by Team,,62-75,,
3:43.0,B. Rush makes 2-pt shot from 3 ft (assist by S. Curry),2,64-75,,
3:19.0,,,64-75,,Turnover by J. Randle (3 sec)
3:19.0,H. Barnes enters the game for D. Green,,64-75,,
3:19.0,,,64-75,,B. Bass enters the game for R. Hibbert
3:19.0,,,64-75,,L. Nance enters the game for J. Randle
3:07.0,H. Barnes misses 2-pt shot from 2 ft (block by B. Bass),,64-75,,
3:07.0,Offensive rebound by Team,,64-75,,
3:00.0,Turnover by L. Barbosa (bad pass; steal by J. Clarkson),,64-75,,
3:00.0,Loose ball foul by H. Barnes (drawn by J. Clarkson),,64-75,,
2:54.0,,,64-75,,Offensive foul by N. Young
2:54.0,,,64-75,,Turnover by N. Young (offensive foul)
2:54.0,Golden State full timeout,,64-75,,
2:46.0,S. Curry misses 3-pt shot from 27 ft,,64-75,,
2:45.0,,,64-75,,Defensive rebound by M. Huertas
2:26.0,,,64-75,,J. Clarkson misses 3-pt shot from 23 ft
2:22.0,Defensive rebound by B. Rush,,64-75,,
2:18.0,S. Curry misses 2-pt shot from 2 ft,,64-75,,
2:16.0,,,64-75,,Defensive rebound by B. Bass
2:14.0,Shooting block foul by A. Varejao (drawn by B. Bass),,64-75,,
2:14.0,,,64-76,1,B. Bass makes free throw 1 of 2
2:14.0,,,64-77,1,B. Bass makes free throw 2 of 2
1:55.0,A. Varejao makes 2-pt shot at rim (assist by S. Curry),2,66-77,,
1:32.0,,,66-77,,Shooting foul by B. Rush (drawn by N. Young)
1:32.0,,,66-78,1,N. Young makes free throw 1 of 3
1:32.0,,,66-79,1,N. Young makes free throw 2 of 3
1:32.0,,,66-80,1,N. Young makes free throw 3 of 3
1:23.0,Turnover by S. Curry (traveling),,66-80,,
1:07.0,,,66-82,2,N. Young makes 2-pt shot from 17 ft (assist by M. Huertas)
0:58.0,H. Barnes makes 2-pt shot at rim (assist by A. Varejao),2,68-82,,
0:39.0,,,68-84,2,M. Huertas makes 2-pt shot from 1 ft
0:32.0,H. Barnes makes 2-pt shot from 3 ft (assist by A. Varejao),2,70-84,,
0:32.0,Shooting foul by J. Clarkson (drawn by H. Barnes),,70-84,,
0:32.0,H. Barnes makes free throw 1 of 1,1,71-84,,
0:09.0,,,71-84,,J. Clarkson misses 2-pt shot at rim
0:07.0,Defensive rebound by S. Curry,,71-84,,
0:06.0,,,71-84,,Violation by L. Nance (kicked ball)
0:02.0,S. Curry misses 3-pt shot from 28 ft,,71-84,,
0:01.0,Offensive rebound by L. Barbosa,,71-84,,
0:01.0,L. Barbosa makes 2-pt shot from 3 ft,2,73-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,73-84,,Turnover by Team (shot clock)
11:21.0,H. Barnes misses 2-pt shot from 16 ft,,73-84,,
11:20.0,,,73-84,,Defensive rebound by Team
11:00.0,,,73-84,,Shooting foul by A. Varejao (drawn by B. Bass)
11:00.0,,,73-85,1,B. Bass makes free throw 1 of 2
11:00.0,,,73-85,,B. Bass misses free throw 2 of 2
10:58.0,Defensive rebound by H. Barnes,,73-85,,
10:37.0,A. Varejao makes 2-pt shot from 17 ft (assist by K. Thompson),2,75-85,,
10:18.0,,,75-88,3,N. Young makes 3-pt shot from 24 ft
10:02.0,L. Barbosa misses 3-pt shot from 25 ft,,75-88,,
10:01.0,,,75-88,,Defensive rebound by B. Bass
9:53.0,,,75-88,,Turnover by J. Clarkson (bad pass; steal by K. Thompson)
9:52.0,,,75-88,,Personal take foul by M. Huertas (drawn by K. Thompson)
9:52.0,,,75-88,,D. Russell enters the game for J. Clarkson
9:38.0,L. Barbosa misses 3-pt shot from 24 ft,,75-88,,
9:37.0,Offensive rebound by S. Livingston,,75-88,,
9:31.0,H. Barnes misses 3-pt shot from 25 ft,,75-88,,
9:30.0,,,75-88,,Defensive rebound by D. Russell
9:24.0,,,75-91,3,N. Young makes 3-pt shot from 25 ft (assist by D. Russell)
9:24.0,Golden State full timeout,,75-91,,
9:24.0,D. Green enters the game for L. Barbosa,,75-91,,
9:24.0,S. Curry enters the game for A. Varejao,,75-91,,
9:15.0,,,75-91,,Personal foul by N. Young (drawn by H. Barnes)
9:00.0,S. Curry misses 3-pt shot from 24 ft,,75-91,,
8:58.0,,,75-91,,Defensive rebound by N. Young
8:49.0,Personal foul by S. Livingston (drawn by N. Young),,75-91,,
8:44.0,,,75-93,2,M. Huertas makes 2-pt shot from 3 ft (assist by N. Young)
8:32.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,77-93,,
8:26.0,,,77-93,,N. Young misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by S. Curry,,77-93,,
8:15.0,S. Curry makes 2-pt shot at rim (assist by S. Livingston),2,79-93,,
7:53.0,,,79-95,2,M. Huertas makes 2-pt shot from 1 ft
7:41.0,D. Green misses 3-pt shot from 24 ft,,79-95,,
7:39.0,Offensive rebound by S. Curry,,79-95,,
7:35.0,K. Thompson misses 3-pt shot from 24 ft,,79-95,,
7:33.0,,,79-95,,Defensive rebound by M. Huertas
7:14.0,,,79-95,,D. Russell misses 2-pt shot from 20 ft
7:12.0,Defensive rebound by S. Curry,,79-95,,
7:07.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,81-95,,
6:41.0,,,81-97,2,B. Bass makes 2-pt shot from 16 ft (assist by D. Russell)
6:32.0,S. Curry misses 3-pt shot from 24 ft,,81-97,,
6:31.0,,,81-97,,Defensive rebound by B. Bass
6:20.0,,,81-97,,D. Russell misses 3-pt shot from 25 ft
6:20.0,,,81-97,,Offensive rebound by Team
6:20.0,,,81-97,,J. Clarkson enters the game for D. Russell
6:16.0,Jump ball: D. Green vs. L. Nance (M. Huertas gains possession),,,,Jump ball: D. Green vs. L. Nance (M. Huertas gains possession)
6:11.0,,,81-99,2,L. Nance makes 2-pt shot at rim (assist by M. Huertas)
5:54.0,K. Thompson misses 2-pt shot from 1 ft,,81-99,,
5:53.0,,,81-99,,Defensive rebound by Team
5:53.0,Loose ball foul by D. Green (drawn by B. Bass),,81-99,,
5:53.0,Official timeout,,81-99,,
5:53.0,J. McAdoo enters the game for H. Barnes,,81-99,,
5:36.0,,,81-99,,N. Young misses 3-pt shot from 27 ft
5:34.0,Defensive rebound by S. Curry,,81-99,,
5:34.0,,,81-99,,Personal foul by B. Bass (drawn by S. Curry)
5:26.0,Turnover by D. Green (back court),,81-99,,
5:26.0,,,81-99,,J. Randle enters the game for L. Nance
5:08.0,,,81-99,,N. Young misses 2-pt shot from 13 ft
5:05.0,Defensive rebound by S. Curry,,81-99,,
