time,LA Clippers,pts.away,score,pts.home,Dallas
5:09.0,,,18-14,,C. Parsons misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by C. Paul,,18-14,,
4:48.0,D. Jordan misses 2-pt shot from 1 ft,,18-14,,
4:48.0,Offensive rebound by Team,,18-14,,
4:48.0,J. Crawford enters the game for J. Green,,18-14,,
4:45.0,J. Redick misses 3-pt shot from 22 ft,,18-14,,
4:44.0,,,18-14,,Defensive rebound by C. Parsons
4:32.0,,,18-16,2,R. Felton makes 2-pt shot from 7 ft
4:05.0,C. Paul misses 3-pt shot from 27 ft,,18-16,,
4:04.0,,,18-16,,Defensive rebound by C. Parsons
3:53.0,,,18-18,2,D. Lee makes 2-pt shot at rim (assist by C. Parsons)
3:50.0,LA Clippers full timeout,,18-18,,
3:28.0,W. Johnson misses 3-pt shot from 22 ft,,18-18,,
3:27.0,,,18-18,,Defensive rebound by C. Parsons
3:15.0,Personal foul by C. Paul (drawn by D. Williams),,18-18,,
3:15.0,A. Rivers enters the game for J. Redick,,18-18,,
3:01.0,,,18-18,,W. Matthews misses 2-pt shot from 13 ft
3:00.0,Defensive rebound by D. Jordan,,18-18,,
2:50.0,J. Crawford misses 2-pt shot from 7 ft,,18-18,,
2:49.0,,,18-18,,Defensive rebound by D. Lee
2:44.0,Shooting block foul by J. Crawford (drawn by R. Felton),,18-18,,
2:44.0,,,18-19,1,R. Felton makes free throw 1 of 2
2:44.0,,,18-19,,D. Harris enters the game for C. Parsons
2:44.0,,,18-19,,Z. Pachulia enters the game for W. Matthews
2:44.0,,,18-19,,J. Barea enters the game for D. Williams
2:44.0,,,18-19,,D. Nowitzki enters the game for D. Lee
2:44.0,P. Prigioni enters the game for C. Paul,,18-19,,
2:44.0,,,18-20,1,R. Felton makes free throw 2 of 2
2:29.0,,,18-20,,Personal foul by Z. Pachulia (drawn by D. Jordan)
2:26.0,W. Johnson misses 2-pt shot from 17 ft,,18-20,,
2:25.0,,,18-20,,Defensive rebound by Z. Pachulia
2:20.0,Personal block foul by P. Prigioni (drawn by R. Felton),,18-20,,
2:03.0,,,18-20,,R. Felton misses 3-pt shot from 24 ft
2:02.0,Defensive rebound by W. Johnson,,18-20,,
1:53.0,J. Crawford makes 3-pt shot from 22 ft (assist by D. Jordan),3,21-20,,
1:48.0,,,21-20,,Shooting foul by J. Crawford (drawn by D. Harris)
1:48.0,,,21-20,,D. Harris misses free throw 1 of 2
1:48.0,,,21-20,,Offensive rebound by Team
1:48.0,,,21-21,1,D. Harris makes free throw 2 of 2
1:33.0,J. Crawford misses 2-pt shot from 15 ft,,21-21,,
1:31.0,Offensive rebound by D. Jordan,,21-21,,
1:31.0,D. Jordan makes 2-pt shot at rim,2,23-21,,
1:18.0,,,23-23,2,D. Nowitzki makes 2-pt shot from 6 ft
1:18.0,,,23-23,,Shooting foul by W. Johnson (drawn by D. Nowitzki)
1:18.0,,,23-24,1,D. Nowitzki makes free throw 1 of 1
1:07.0,Turnover by W. Johnson (traveling),,23-24,,
0:56.0,,,23-24,,Turnover by D. Nowitzki (lost ball)
0:56.0,C. Aldrich enters the game for D. Jordan,,23-24,,
0:40.0,Turnover by W. Johnson (bad pass),,23-24,,
0:30.0,,,23-24,,J. Barea misses 2-pt shot from 4 ft
0:29.0,,,23-24,,Offensive rebound by Z. Pachulia
0:27.0,,,23-24,,Z. Pachulia misses 2-pt shot from 1 ft (block by C. Aldrich)
0:25.0,Defensive rebound by W. Johnson,,23-24,,
0:09.0,,,23-24,,Personal foul by J. Barea
0:09.0,,,23-24,,W. Matthews enters the game for D. Nowitzki
0:09.0,,,23-24,,D. Lee enters the game for Z. Pachulia
0:01.0,J. Crawford misses 2-pt shot from 8 ft,,23-24,,
0:00.0,,,23-24,,Defensive rebound by D. Lee
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,23-24,,Offensive foul by R. Felton
11:48.0,,,23-24,,Turnover by R. Felton (offensive foul)
11:36.0,A. Rivers makes 2-pt shot from 18 ft,2,25-24,,
11:22.0,,,25-26,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by J. Barea)
11:22.0,,,25-26,,Shooting foul by W. Johnson (drawn by D. Nowitzki)
11:22.0,,,25-27,1,D. Nowitzki makes free throw 1 of 1
11:07.0,J. Crawford makes 3-pt shot from 25 ft (assist by A. Rivers),3,28-27,,
10:55.0,,,28-29,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by J. Barea)
10:36.0,A. Rivers misses 3-pt shot from 25 ft,,28-29,,
10:36.0,,,28-29,,Defensive rebound by D. Nowitzki
10:29.0,,,28-29,,D. Lee misses 2-pt shot from 2 ft
10:27.0,,,28-29,,Offensive rebound by D. Lee
10:27.0,,,28-29,,D. Lee misses 2-pt shot from 1 ft
10:27.0,,,28-29,,Offensive rebound by D. Lee
10:27.0,,,28-29,,Shooting foul by A. Rivers (drawn by D. Lee)
10:27.0,,,28-30,1,D. Lee makes free throw 1 of 2
10:27.0,P. Pierce enters the game for W. Johnson,,28-30,,
10:27.0,,,28-31,1,D. Lee makes free throw 2 of 2
10:17.0,A. Rivers misses 2-pt shot from 9 ft,,28-31,,
10:16.0,,,28-31,,Defensive rebound by D. Harris
10:10.0,Personal block foul by P. Pierce (drawn by D. Nowitzki),,28-31,,
10:03.0,,,28-33,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea)
9:46.0,Shooting foul by D. Lee (drawn by C. Aldrich),,28-33,,
9:46.0,C. Aldrich makes free throw 1 of 2,1,29-33,,
9:46.0,,,29-33,,C. Parsons enters the game for D. Nowitzki
9:46.0,C. Aldrich makes free throw 2 of 2,1,30-33,,
9:30.0,,,30-33,,Shooting foul by C. Aldrich (drawn by C. Parsons)
9:30.0,,,30-34,1,C. Parsons makes free throw 1 of 2
9:30.0,,,30-35,1,C. Parsons makes free throw 2 of 2
9:12.0,J. Crawford misses 3-pt shot from 23 ft,,30-35,,
9:12.0,,,30-35,,Defensive rebound by R. Felton
8:58.0,,,30-35,,C. Parsons misses 2-pt shot from 4 ft (block by C. Aldrich)
8:58.0,,,30-35,,Offensive rebound by Team
8:58.0,Official timeout,,30-35,,
8:58.0,D. Jordan enters the game for P. Prigioni,,30-35,,
8:58.0,C. Paul enters the game for C. Aldrich,,30-35,,
8:55.0,,,30-35,,C. Parsons misses 2-pt shot at rim
8:54.0,Defensive rebound by D. Jordan,,30-35,,
8:38.0,J. Crawford makes 2-pt shot from 9 ft (assist by A. Rivers),2,32-35,,
8:24.0,,,32-37,2,J. Barea makes 2-pt shot from 8 ft
8:11.0,A. Rivers misses 3-pt shot from 22 ft,,32-37,,
8:10.0,Offensive rebound by D. Jordan,,32-37,,
8:06.0,C. Paul misses 3-pt shot from 24 ft,,32-37,,
8:05.0,,,32-37,,Defensive rebound by J. Barea
7:58.0,Personal foul by C. Paul (drawn by D. Lee),,32-37,,
7:58.0,,,32-38,1,D. Lee makes free throw 1 of 2
7:58.0,J. Redick enters the game for A. Rivers,,32-38,,
7:58.0,,,32-39,1,D. Lee makes free throw 2 of 2
7:47.0,Shooting foul by D. Lee (drawn by D. Jordan),,32-39,,
7:47.0,D. Jordan makes free throw 1 of 2,1,33-39,,
7:47.0,,,33-39,,Z. Pachulia enters the game for D. Lee
7:47.0,D. Jordan makes free throw 2 of 2,1,34-39,,
7:26.0,,,34-39,,J. Barea misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by J. Crawford,,34-39,,
7:19.0,D. Jordan makes 2-pt shot from 3 ft (assist by C. Paul),2,36-39,,
6:58.0,,,36-39,,Z. Pachulia misses 2-pt shot from 15 ft
6:57.0,Defensive rebound by D. Jordan,,36-39,,
6:53.0,Turnover by P. Pierce (bad pass; steal by C. Parsons),,36-39,,
6:44.0,Violation by D. Jordan (def goaltending),,36-39,,
6:44.0,,,36-41,2,D. Harris makes 2-pt shot from 6 ft
6:35.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,38-41,,
6:22.0,,,38-41,,Dallas full timeout
6:22.0,,,38-41,,D. Williams enters the game for Z. Pachulia
6:22.0,,,38-41,,D. Nowitzki enters the game for R. Felton
6:22.0,,,38-41,,W. Matthews enters the game for D. Harris
6:17.0,,,38-43,2,J. Barea makes 2-pt shot from 6 ft
6:17.0,,,38-43,,Shooting foul by J. Redick (drawn by J. Barea)
6:17.0,,,38-43,,J. Barea misses free throw 1 of 1
6:16.0,Defensive rebound by D. Jordan,,38-43,,
6:01.0,Shooting foul by D. Williams (drawn by D. Jordan),,38-43,,
6:01.0,D. Jordan misses free throw 1 of 2,,38-43,,
6:01.0,Offensive rebound by Team,,38-43,,
6:01.0,D. Jordan makes free throw 2 of 2,1,39-43,,
5:48.0,Loose ball foul by C. Paul (drawn by D. Williams),,39-43,,
5:48.0,,,39-44,1,D. Williams makes free throw 1 of 2
5:48.0,A. Rivers enters the game for C. Paul,,39-44,,
5:48.0,,,39-44,,D. Williams misses free throw 2 of 2
5:47.0,Defensive rebound by D. Jordan,,39-44,,
5:28.0,P. Pierce misses 3-pt shot from 23 ft,,39-44,,
5:27.0,,,39-44,,Defensive rebound by D. Williams
5:19.0,,,39-44,,D. Nowitzki misses 3-pt shot from 24 ft
5:18.0,Defensive rebound by P. Pierce,,39-44,,
5:10.0,J. Crawford makes 2-pt shot from 18 ft,2,41-44,,
4:56.0,,,41-44,,D. Williams misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by D. Jordan,,41-44,,
4:48.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,43-44,,
4:48.0,Shooting foul by W. Matthews (drawn by D. Jordan),,43-44,,
4:48.0,D. Jordan makes free throw 1 of 1,1,44-44,,
4:27.0,,,44-44,,Turnover by C. Parsons (traveling)
4:12.0,J. Crawford misses 2-pt shot from 19 ft,,44-44,,
4:11.0,,,44-44,,Defensive rebound by D. Nowitzki
4:07.0,Shooting block foul by A. Rivers (drawn by D. Williams),,44-44,,
4:07.0,,,44-45,1,D. Williams makes free throw 1 of 2
4:07.0,,,44-46,1,D. Williams makes free throw 2 of 2
3:51.0,J. Redick makes 2-pt shot from 20 ft (assist by A. Rivers),2,46-46,,
3:38.0,,,46-46,,D. Nowitzki misses 3-pt shot from 24 ft
3:37.0,Defensive rebound by P. Pierce,,46-46,,
3:28.0,J. Redick misses 2-pt shot at rim,,46-46,,
3:26.0,,,46-46,,Defensive rebound by D. Nowitzki
3:19.0,,,46-46,,W. Matthews misses 3-pt shot from 22 ft
3:18.0,Defensive rebound by D. Jordan,,46-46,,
3:13.0,,,46-46,,Personal foul by J. Barea
3:13.0,D. Jordan makes free throw 1 of 2,1,47-46,,
3:13.0,D. Jordan misses free throw 2 of 2,,47-46,,
3:12.0,,,47-46,,Defensive rebound by W. Matthews
2:53.0,,,47-46,,D. Nowitzki misses 2-pt shot from 9 ft
2:52.0,Defensive rebound by J. Redick,,47-46,,
2:43.0,J. Crawford misses 3-pt shot from 23 ft,,47-46,,
2:42.0,,,47-46,,Defensive rebound by D. Williams
2:35.0,,,47-46,,Shooting foul by A. Rivers (drawn by D. Williams)
2:35.0,LA Clippers full timeout,,47-46,,
2:35.0,,,47-46,,D. Lee enters the game for D. Nowitzki
2:35.0,,,47-47,1,D. Williams makes free throw 1 of 2
2:35.0,,,47-47,,D. Williams misses free throw 2 of 2
2:34.0,Defensive rebound by D. Jordan,,47-47,,
2:22.0,J. Redick makes 2-pt shot from 20 ft (assist by J. Crawford),2,49-47,,
2:00.0,,,49-47,,Shooting foul by P. Pierce (drawn by D. Lee)
2:00.0,,,49-48,1,D. Lee makes free throw 1 of 2
2:00.0,P. Prigioni enters the game for A. Rivers,,49-48,,
2:00.0,J. Green enters the game for P. Pierce,,49-48,,
2:00.0,,,49-48,,D. Lee misses free throw 2 of 2
1:59.0,Defensive rebound by D. Jordan,,49-48,,
1:59.0,,,49-48,,Personal take foul by C. Parsons (drawn by D. Jordan)
1:59.0,D. Jordan misses free throw 1 of 2,,49-48,,
1:59.0,Offensive rebound by Team,,49-48,,
1:59.0,,,49-48,,D. Nowitzki enters the game for D. Lee
1:59.0,D. Jordan misses free throw 2 of 2,,49-48,,
1:58.0,,,49-48,,Defensive rebound by C. Parsons
1:48.0,,,49-48,,D. Nowitzki misses 2-pt shot from 12 ft
1:47.0,Defensive rebound by J. Green,,49-48,,
1:29.0,J. Redick misses 2-pt shot from 4 ft,,49-48,,
1:28.0,,,49-48,,Defensive rebound by W. Matthews
1:14.0,,,49-48,,D. Nowitzki misses 2-pt shot from 9 ft
1:13.0,Defensive rebound by D. Jordan,,49-48,,
1:09.0,,,49-48,,Personal take foul by D. Nowitzki (drawn by D. Jordan)
1:09.0,D. Jordan misses free throw 1 of 2,,49-48,,
1:09.0,Offensive rebound by Team,,49-48,,
1:09.0,D. Jordan misses free throw 2 of 2,,49-48,,
1:08.0,,,49-48,,Defensive rebound by D. Nowitzki
0:51.0,,,49-50,2,C. Parsons makes 2-pt shot at rim (assist by J. Barea)
0:47.0,,,49-50,,Personal take foul by W. Matthews (drawn by D. Jordan)
0:47.0,D. Jordan makes free throw 1 of 2,1,50-50,,
0:47.0,D. Jordan misses free throw 2 of 2,,50-50,,
0:47.0,,,50-50,,Defensive rebound by C. Parsons
0:30.0,,,50-50,,Turnover by C. Parsons (bad pass; steal by J. Crawford)
0:25.0,J. Crawford misses 2-pt shot from 15 ft,,50-50,,
0:24.0,,,50-50,,Defensive rebound by W. Matthews
0:03.0,,,50-50,,D. Williams misses 3-pt shot from 22 ft
0:02.0,,,50-50,,Offensive rebound by D. Nowitzki
0:02.0,,,50-52,2,D. Nowitzki makes 2-pt shot at rim
0:01.0,P. Prigioni misses 3-pt shot from 64 ft,,50-52,,
0:00.0,Offensive rebound by Team,,50-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,50-52,,W. Matthews misses 3-pt shot from 23 ft
11:34.0,Defensive rebound by D. Jordan,,50-52,,
11:12.0,C. Paul makes 2-pt shot from 8 ft,2,52-52,,
10:56.0,Personal foul by J. Green (drawn by D. Nowitzki),,52-52,,
10:51.0,,,52-52,,D. Nowitzki misses 2-pt shot from 20 ft
10:50.0,Defensive rebound by J. Green,,52-52,,
10:38.0,C. Paul makes 2-pt shot from 6 ft,2,54-52,,
10:23.0,,,54-52,,W. Matthews misses 3-pt shot from 24 ft
10:21.0,Defensive rebound by D. Jordan,,54-52,,
10:15.0,P. Pierce misses 3-pt shot from 24 ft,,54-52,,
10:14.0,,,54-52,,Defensive rebound by Z. Pachulia
10:01.0,,,54-52,,Shooting foul by P. Pierce (drawn by Z. Pachulia)
10:01.0,,,54-53,1,Z. Pachulia makes free throw 1 of 2
10:01.0,,,54-54,1,Z. Pachulia makes free throw 2 of 2
9:56.0,,,54-54,,Personal foul by D. Williams (drawn by C. Paul)
9:42.0,J. Redick misses 2-pt shot from 13 ft,,54-54,,
9:41.0,,,54-54,,Defensive rebound by C. Parsons
9:30.0,,,54-54,,D. Williams misses 2-pt shot from 10 ft
9:29.0,Defensive rebound by D. Jordan,,54-54,,
9:23.0,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul),3,57-54,,
8:58.0,,,57-56,2,D. Nowitzki makes 2-pt shot from 10 ft (assist by D. Williams)
8:41.0,Turnover by J. Green (bad pass; steal by D. Nowitzki),,57-56,,
8:35.0,,,57-56,,Turnover by D. Nowitzki (bad pass; steal by C. Paul)
8:29.0,J. Redick misses 3-pt shot from 24 ft,,57-56,,
8:27.0,,,57-56,,Defensive rebound by Z. Pachulia
8:10.0,,,57-58,2,D. Nowitzki makes 2-pt shot from 13 ft
8:10.0,,,57-58,,Shooting foul by J. Redick (drawn by D. Nowitzki)
8:10.0,,,57-59,1,D. Nowitzki makes free throw 1 of 1
7:54.0,C. Paul makes 2-pt shot from 19 ft,2,59-59,,
7:39.0,,,59-59,,C. Parsons misses 2-pt shot from 9 ft
7:38.0,Defensive rebound by J. Redick,,59-59,,
7:34.0,C. Paul makes 2-pt shot at rim,2,61-59,,
7:16.0,,,61-61,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Williams)
7:02.0,C. Paul misses 2-pt shot from 2 ft,,61-61,,
7:00.0,,,61-61,,Defensive rebound by C. Parsons
6:46.0,,,61-61,,C. Parsons misses 3-pt shot from 23 ft
6:45.0,Defensive rebound by D. Jordan,,61-61,,
6:37.0,P. Pierce makes 2-pt shot from 18 ft,2,63-61,,
6:36.0,,,63-61,,Dallas full timeout
6:36.0,,,63-61,,D. Lee enters the game for D. Nowitzki
6:36.0,,,63-61,,R. Felton enters the game for Z. Pachulia
6:23.0,,,63-61,,W. Matthews misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by C. Paul,,63-61,,
6:13.0,P. Pierce misses 2-pt shot from 1 ft,,63-61,,
6:11.0,,,63-61,,Defensive rebound by D. Lee
5:51.0,,,63-63,2,D. Lee makes 2-pt shot from 7 ft
5:34.0,Shooting foul by W. Matthews (drawn by D. Jordan),,63-63,,
5:34.0,D. Jordan misses free throw 1 of 2,,63-63,,
5:34.0,Offensive rebound by Team,,63-63,,
5:34.0,W. Johnson enters the game for P. Pierce,,63-63,,
5:34.0,D. Jordan makes free throw 2 of 2,1,64-63,,
5:20.0,,,64-63,,D. Lee misses 2-pt shot from 3 ft (block by J. Green)
5:19.0,,,64-63,,Offensive rebound by D. Lee
5:18.0,,,64-63,,D. Lee misses 2-pt shot at rim (block by D. Jordan)
5:16.0,Defensive rebound by C. Paul,,64-63,,
5:03.0,W. Johnson misses 2-pt shot from 23 ft,,64-63,,
5:02.0,,,64-63,,Defensive rebound by D. Williams
4:53.0,,,64-65,2,R. Felton makes 2-pt shot from 22 ft
4:37.0,,,64-65,,Def 3 sec tech foul by D. Lee
4:37.0,C. Paul makes technical free throw,1,65-65,,
4:37.0,J. Crawford enters the game for J. Green,,65-65,,
4:25.0,J. Redick makes 3-pt shot from 28 ft (assist by C. Paul),3,68-65,,
4:13.0,,,68-65,,C. Parsons misses 3-pt shot from 24 ft
4:12.0,,,68-65,,Offensive rebound by D. Lee
4:05.0,,,68-65,,D. Williams misses 2-pt shot from 7 ft
4:03.0,,,68-65,,Offensive rebound by D. Williams
3:53.0,,,68-65,,Turnover by D. Williams (lost ball; steal by C. Paul)
3:49.0,Turnover by C. Paul (bad pass; steal by C. Parsons),,68-65,,
3:45.0,,,68-65,,Turnover by W. Matthews (lost ball; steal by W. Johnson)
3:32.0,C. Paul makes 2-pt shot from 12 ft,2,70-65,,
3:30.0,,,70-65,,Dallas full timeout
3:30.0,,,70-65,,D. Harris enters the game for C. Parsons
3:30.0,,,70-65,,D. Nowitzki enters the game for W. Matthews
3:30.0,,,70-65,,J. Barea enters the game for D. Williams
3:14.0,,,70-65,,D. Nowitzki misses 2-pt shot from 16 ft
3:13.0,Defensive rebound by J. Crawford,,70-65,,
3:03.0,W. Johnson misses 3-pt shot from 23 ft,,70-65,,
3:02.0,,,70-65,,Defensive rebound by R. Felton
2:52.0,LA Clippers full timeout,,70-65,,
2:52.0,A. Rivers enters the game for J. Redick,,70-65,,
2:49.0,,,70-65,,Turnover by D. Nowitzki (bad pass; steal by C. Paul)
2:44.0,J. Crawford makes 2-pt shot from 3 ft,2,72-65,,
2:28.0,,,72-67,2,D. Lee makes 2-pt shot from 17 ft (assist by D. Harris)
2:10.0,J. Crawford misses 2-pt shot from 15 ft,,72-67,,
2:09.0,,,72-67,,Defensive rebound by D. Lee
1:55.0,,,72-67,,D. Lee misses 2-pt shot from 1 ft
1:54.0,Defensive rebound by W. Johnson,,72-67,,
1:48.0,Shooting foul by D. Nowitzki (drawn by A. Rivers),,72-67,,
1:48.0,A. Rivers makes free throw 1 of 2,1,73-67,,
1:48.0,A. Rivers makes free throw 2 of 2,1,74-67,,
1:35.0,,,74-67,,Shooting foul by D. Jordan (drawn by D. Nowitzki)
1:35.0,,,74-67,,D. Nowitzki misses free throw 1 of 2
1:35.0,,,74-67,,Offensive rebound by Team
1:35.0,,,74-68,1,D. Nowitzki makes free throw 2 of 2
1:34.0,,,74-68,,Personal foul by D. Harris (drawn by D. Jordan)
1:34.0,D. Jordan makes free throw 1 of 2,1,75-68,,
1:34.0,D. Jordan makes free throw 2 of 2,1,76-68,,
1:17.0,,,76-68,,R. Felton misses 2-pt shot from 17 ft
1:15.0,Defensive rebound by J. Crawford,,76-68,,
1:05.0,C. Paul makes 2-pt shot from 2 ft,2,78-68,,
0:45.0,,,78-68,,Turnover by D. Nowitzki (bad pass)
0:37.0,C. Paul makes 3-pt shot from 25 ft,3,81-68,,
0:22.0,,,81-68,,D. Lee misses 2-pt shot from 17 ft
0:21.0,Defensive rebound by D. Jordan,,81-68,,
0:00.0,C. Paul makes 2-pt shot from 5 ft,2,83-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,A. Rivers makes 3-pt shot from 24 ft (assist by W. Johnson),3,86-68,,
11:25.0,,,86-70,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by C. Parsons)
11:06.0,C. Paul makes 2-pt shot from 20 ft,2,88-70,,
10:46.0,,,88-72,2,J. Barea makes 2-pt shot from 7 ft
10:32.0,C. Paul makes 3-pt shot from 25 ft,3,91-72,,
10:14.0,,,91-72,,D. Nowitzki misses 2-pt shot from 13 ft
10:13.0,Defensive rebound by A. Rivers,,91-72,,
9:58.0,Turnover by A. Rivers (lost ball),,91-72,,
9:45.0,,,91-75,3,J. Barea makes 3-pt shot from 24 ft (assist by R. Felton)
9:25.0,C. Paul misses 3-pt shot from 25 ft,,91-75,,
9:24.0,Offensive rebound by D. Jordan,,91-75,,
9:11.0,C. Paul misses 2-pt shot from 4 ft,,91-75,,
9:09.0,Offensive rebound by D. Jordan,,91-75,,
9:09.0,D. Jordan makes 2-pt shot at rim,2,93-75,,
8:54.0,,,93-75,,J. Barea misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by W. Johnson,,93-75,,
8:37.0,W. Johnson makes 3-pt shot from 24 ft (assist by C. Paul),3,96-75,,
8:37.0,,,96-75,,Dallas full timeout
8:37.0,,,96-75,,D. Williams enters the game for D. Nowitzki
8:37.0,,,96-75,,W. Matthews enters the game for R. Felton
8:37.0,,,96-75,,D. Lee enters the game for D. Harris
8:37.0,P. Prigioni enters the game for C. Paul,,96-75,,
8:27.0,,,96-75,,J. Barea misses 2-pt shot from 18 ft
8:26.0,Defensive rebound by W. Johnson,,96-75,,
8:14.0,Shooting foul by C. Parsons (drawn by D. Jordan),,96-75,,
8:14.0,D. Jordan makes free throw 1 of 2,1,97-75,,
8:14.0,D. Jordan makes free throw 2 of 2,1,98-75,,
7:51.0,,,98-75,,Turnover by D. Lee (lost ball; steal by P. Prigioni)
7:39.0,Shooting foul by J. Barea (drawn by J. Crawford),,98-75,,
7:39.0,J. Crawford makes free throw 1 of 2,1,99-75,,
7:39.0,,,99-75,,R. Felton enters the game for J. Barea
7:39.0,,,99-75,,C. Villanueva enters the game for D. Lee
7:39.0,J. Crawford makes free throw 2 of 2,1,100-75,,
7:26.0,Personal foul by A. Rivers (drawn by W. Matthews),,100-75,,
7:26.0,Violation by Team (delay of game),,100-75,,
7:14.0,,,100-75,,Turnover by W. Matthews (bad pass; steal by W. Johnson)
7:10.0,Turnover by W. Johnson (bad pass),,100-75,,
7:05.0,,,100-77,2,R. Felton makes 2-pt shot at rim
6:41.0,P. Prigioni makes 3-pt shot from 26 ft,3,103-77,,
6:38.0,Personal foul by P. Prigioni (drawn by R. Felton),,103-77,,
6:30.0,,,103-77,,C. Villanueva misses 3-pt shot from 25 ft
6:25.0,,,103-77,,Offensive rebound by C. Parsons
6:25.0,,,103-77,,C. Parsons misses 2-pt shot from 1 ft (block by W. Johnson)
6:24.0,Defensive rebound by D. Jordan,,103-77,,
6:18.0,J. Crawford misses 2-pt shot from 16 ft,,103-77,,
6:16.0,,,103-77,,Defensive rebound by R. Felton
6:02.0,,,103-77,,C. Parsons misses 2-pt shot from 4 ft (block by D. Jordan)
6:00.0,Defensive rebound by A. Rivers,,103-77,,
5:54.0,A. Rivers makes 3-pt shot from 24 ft (assist by J. Crawford),3,106-77,,
5:54.0,,,106-77,,Technical foul by C. Parsons
5:54.0,,,106-77,,Dallas full timeout
5:54.0,,,106-77,,J. Anderson enters the game for C. Parsons
