time,Dallas,pts.away,score,pts.home,Atlanta
5:33.0,W. Matthews misses 2-pt shot from 1 ft (block by P. Millsap),,25-39,,
5:33.0,Offensive rebound by Team,,25-39,,
5:33.0,Official timeout,,25-39,,
5:27.0,R. Felton makes 2-pt shot from 19 ft,2,27-39,,
5:06.0,,,27-39,,K. Bazemore misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by C. Parsons,,27-39,,
4:51.0,R. Felton makes 2-pt shot from 1 ft,2,29-39,,
4:46.0,,,29-41,2,J. Teague makes 2-pt shot from 1 ft
4:24.0,R. Felton makes 2-pt shot from 1 ft (assist by C. Parsons),2,31-41,,
4:24.0,,,31-41,,Atlanta full timeout
4:24.0,,,31-41,,T. Sefolosha enters the game for K. Bazemore
4:24.0,,,31-41,,K. Korver enters the game for T. Hardaway
4:24.0,D. Nowitzki enters the game for C. Parsons,,31-41,,
4:24.0,J. Barea enters the game for J. Jenkins,,31-41,,
4:15.0,,,31-43,2,J. Teague makes 2-pt shot from 10 ft
3:58.0,W. Matthews misses 2-pt shot from 15 ft,,31-43,,
3:57.0,,,31-43,,Defensive rebound by P. Millsap
3:48.0,,,31-45,2,J. Teague makes 2-pt shot from 17 ft
3:26.0,Z. Pachulia misses 2-pt shot from 13 ft,,31-45,,
3:25.0,,,31-45,,Defensive rebound by J. Teague
3:17.0,,,31-47,2,M. Muscala makes 2-pt shot from 19 ft (assist by J. Teague)
3:06.0,,,31-47,,Def 3 sec tech foul by M. Muscala
3:06.0,D. Nowitzki makes technical free throw,1,32-47,,
2:53.0,D. Nowitzki misses 2-pt shot from 2 ft (block by M. Muscala),,32-47,,
2:51.0,,,32-47,,Defensive rebound by M. Muscala
2:40.0,,,32-47,,M. Muscala misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by Z. Pachulia,,32-47,,
2:34.0,J. Barea misses 2-pt shot from 3 ft,,32-47,,
2:33.0,Offensive rebound by Z. Pachulia,,32-47,,
2:29.0,W. Matthews misses 3-pt shot from 22 ft,,32-47,,
2:28.0,Offensive rebound by D. Nowitzki,,32-47,,
2:25.0,D. Nowitzki makes 2-pt shot from 6 ft,2,34-47,,
2:09.0,,,34-47,,J. Teague misses 2-pt shot from 21 ft
2:07.0,Defensive rebound by Z. Pachulia,,34-47,,
2:00.0,Shooting foul by M. Muscala (drawn by D. Nowitzki),,34-47,,
2:00.0,D. Nowitzki makes free throw 1 of 2,1,35-47,,
2:00.0,,,35-47,,A. Horford enters the game for M. Muscala
2:00.0,,,35-47,,K. Bazemore enters the game for T. Sefolosha
2:00.0,D. Nowitzki makes free throw 2 of 2,1,36-47,,
1:45.0,,,36-47,,Turnover by K. Bazemore (step out of bounds)
1:30.0,D. Nowitzki misses 2-pt shot from 19 ft,,36-47,,
1:28.0,Offensive rebound by Z. Pachulia,,36-47,,
1:22.0,J. Barea makes 3-pt shot from 24 ft (assist by W. Matthews),3,39-47,,
1:10.0,,,39-47,,Turnover by P. Millsap (bad pass; steal by D. Nowitzki)
1:00.0,Z. Pachulia misses 2-pt shot from 7 ft,,39-47,,
0:58.0,Offensive rebound by Z. Pachulia,,39-47,,
0:55.0,W. Matthews makes 3-pt shot from 24 ft,3,42-47,,
0:55.0,,,42-47,,Atlanta full timeout
0:42.0,,,42-50,3,J. Teague makes 3-pt shot from 25 ft (assist by K. Korver)
0:34.0,W. Matthews makes 3-pt shot from 23 ft (assist by R. Felton),3,45-50,,
0:32.0,Personal take foul by J. Barea,,45-50,,
0:19.0,,,45-53,3,J. Teague makes 3-pt shot from 24 ft (assist by K. Bazemore)
0:03.0,,,45-53,,Personal foul by K. Bazemore (drawn by D. Nowitzki)
0:03.0,D. Nowitzki misses free throw 1 of 2,,45-53,,
0:03.0,Offensive rebound by Team,,45-53,,
0:03.0,D. Nowitzki makes free throw 2 of 2,1,46-53,,
0:00.0,,,46-53,,K. Bazemore misses 3-pt shot from 24 ft
0:00.0,,,46-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,W. Matthews misses 3-pt shot from 23 ft,,46-53,,
11:35.0,,,46-53,,Defensive rebound by K. Bazemore
11:23.0,,,46-53,,K. Bazemore misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by C. Parsons,,46-53,,
11:15.0,C. Parsons misses 2-pt shot from 17 ft,,46-53,,
11:14.0,,,46-53,,Defensive rebound by P. Millsap
11:00.0,,,46-55,2,K. Korver makes 2-pt shot from 18 ft
10:45.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by J. Barea),2,48-55,,
10:36.0,,,48-55,,P. Millsap misses 2-pt shot from 16 ft
10:34.0,Defensive rebound by Z. Pachulia,,48-55,,
10:15.0,C. Parsons makes 3-pt shot from 24 ft (assist by W. Matthews),3,51-55,,
9:50.0,,,51-58,3,J. Teague makes 3-pt shot from 25 ft (assist by K. Bazemore)
9:32.0,D. Nowitzki misses 2-pt shot from 18 ft,,51-58,,
9:30.0,,,51-58,,Defensive rebound by J. Teague
9:15.0,,,51-58,,Turnover by P. Millsap (bad pass; steal by D. Nowitzki)
9:04.0,C. Parsons makes 2-pt shot at rim (assist by D. Nowitzki),2,53-58,,
8:54.0,,,53-58,,Shooting foul by W. Matthews (drawn by K. Korver)
8:54.0,,,53-59,1,K. Korver makes free throw 1 of 3
8:54.0,,,53-59,,K. Korver misses free throw 2 of 3
8:54.0,,,53-59,,Offensive rebound by Team
8:54.0,,,53-60,1,K. Korver makes free throw 3 of 3
8:40.0,W. Matthews misses 2-pt shot from 5 ft (block by K. Korver),,53-60,,
8:40.0,Offensive rebound by Team,,53-60,,
8:28.0,C. Parsons makes 2-pt shot from 12 ft (assist by J. Barea),2,55-60,,
8:13.0,,,55-63,3,J. Teague makes 3-pt shot from 24 ft (assist by K. Korver)
7:55.0,J. Barea makes 2-pt shot at rim,2,57-63,,
7:49.0,,,57-65,2,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague)
7:37.0,Z. Pachulia misses 2-pt shot from 16 ft,,57-65,,
7:36.0,,,57-65,,Defensive rebound by A. Horford
7:32.0,Personal foul by Z. Pachulia (drawn by A. Horford),,57-65,,
7:17.0,,,57-68,3,K. Korver makes 3-pt shot from 23 ft (assist by K. Bazemore)
7:15.0,Dallas full timeout,,57-68,,
6:58.0,D. Nowitzki makes 2-pt shot from 1 ft,2,59-68,,
6:41.0,,,59-70,2,K. Bazemore makes 2-pt shot from 1 ft (assist by J. Teague)
6:31.0,J. Barea makes 3-pt shot from 24 ft,3,62-70,,
6:13.0,,,62-70,,Turnover by A. Horford (bad pass)
6:13.0,,,62-70,,M. Muscala enters the game for A. Horford
6:13.0,,,62-70,,T. Sefolosha enters the game for K. Bazemore
6:05.0,,,62-70,,Personal foul by K. Korver (drawn by D. Nowitzki)
5:52.0,J. Barea misses 3-pt shot from 24 ft,,62-70,,
5:50.0,,,62-70,,Defensive rebound by T. Sefolosha
5:30.0,,,62-70,,K. Korver misses 3-pt shot from 24 ft
5:27.0,Defensive rebound by Z. Pachulia,,62-70,,
5:19.0,C. Parsons makes 2-pt shot from 1 ft,2,64-70,,
5:05.0,,,64-72,2,J. Teague makes 2-pt shot from 5 ft
4:49.0,D. Nowitzki misses 2-pt shot from 17 ft,,64-72,,
4:48.0,,,64-72,,Defensive rebound by T. Sefolosha
4:40.0,,,64-74,2,J. Teague makes 2-pt shot at rim
4:40.0,Dallas full timeout,,64-74,,
4:40.0,R. Felton enters the game for C. Parsons,,64-74,,
4:40.0,C. Villanueva enters the game for D. Nowitzki,,64-74,,
4:24.0,Shooting foul by M. Muscala (drawn by Z. Pachulia),,64-74,,
4:24.0,Z. Pachulia misses free throw 1 of 2,,64-74,,
4:24.0,Offensive rebound by Team,,64-74,,
4:24.0,J. Anderson enters the game for J. Barea,,64-74,,
4:24.0,Z. Pachulia makes free throw 2 of 2,1,65-74,,
4:12.0,,,65-77,3,J. Teague makes 3-pt shot from 23 ft
3:55.0,,,65-77,,Personal foul by M. Muscala (drawn by Z. Pachulia)
3:47.0,R. Felton misses 2-pt shot at rim,,65-77,,
3:47.0,Offensive rebound by Z. Pachulia,,65-77,,
3:47.0,Shooting foul by P. Millsap (drawn by Z. Pachulia),,65-77,,
3:47.0,Z. Pachulia misses free throw 1 of 2,,65-77,,
3:47.0,Offensive rebound by Team,,65-77,,
3:47.0,Z. Pachulia makes free throw 2 of 2,1,66-77,,
3:33.0,,,66-79,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by M. Muscala)
3:21.0,R. Felton misses 3-pt shot from 24 ft,,66-79,,
3:19.0,,,66-79,,Defensive rebound by J. Teague
3:06.0,,,66-79,,K. Korver misses 3-pt shot from 24 ft
3:03.0,,,66-79,,Offensive rebound by M. Muscala
2:57.0,Personal foul by J. Anderson (drawn by J. Teague),,66-79,,
2:57.0,,,66-79,,Atlanta full timeout
2:57.0,,,66-79,,T. Hardaway enters the game for K. Korver
2:57.0,,,66-79,,D. Schroder enters the game for J. Teague
2:49.0,,,66-79,,Shooting foul by J. Anderson (drawn by P. Millsap)
2:49.0,,,66-79,,P. Millsap misses free throw 1 of 2
2:49.0,,,66-79,,Offensive rebound by Team
2:49.0,D. Nowitzki enters the game for Z. Pachulia,,66-79,,
2:49.0,C. Parsons enters the game for W. Matthews,,66-79,,
2:49.0,J. Barea enters the game for J. Anderson,,66-79,,
2:49.0,,,66-80,1,P. Millsap makes free throw 2 of 2
2:36.0,Shooting foul by M. Muscala (drawn by D. Nowitzki),,66-80,,
2:36.0,D. Nowitzki makes free throw 1 of 2,1,67-80,,
2:36.0,D. Nowitzki makes free throw 2 of 2,1,68-80,,
