time,Detroit,pts.away,score,pts.home,Miami
5:56.0,,,9-19,2,B. Udrih makes 2-pt shot from 17 ft
5:33.0,Turnover by E. Ilyasova (lost ball; steal by J. Winslow),,9-19,,
5:28.0,,,9-19,,Turnover by J. Winslow (lost ball; steal by E. Ilyasova)
5:22.0,M. Morris misses 2-pt shot from 19 ft,,9-19,,
5:21.0,,,9-19,,Defensive rebound by H. Whiteside
5:10.0,,,9-19,,Turnover by L. Deng (step out of bounds)
4:58.0,Turnover by K. Caldwell-Pope (bad pass; steal by D. Wade),,9-19,,
4:42.0,,,9-19,,D. Wade misses 2-pt shot from 12 ft
4:41.0,,,9-19,,Offensive rebound by H. Whiteside
4:38.0,,,9-19,,Turnover by H. Whiteside (lost ball; steal by R. Jackson)
4:30.0,R. Jackson makes 2-pt shot from 2 ft,2,11-19,,
4:30.0,,,11-19,,Miami full timeout
4:30.0,A. Baynes enters the game for A. Drummond,,11-19,,
4:15.0,,,11-19,,D. Wade misses 2-pt shot from 8 ft
4:14.0,Defensive rebound by E. Ilyasova,,11-19,,
4:01.0,K. Caldwell-Pope misses 2-pt shot from 12 ft,,11-19,,
4:00.0,,,11-19,,Defensive rebound by L. Deng
3:47.0,,,11-19,,H. Whiteside misses 2-pt shot from 14 ft
3:46.0,,,11-19,,Offensive rebound by D. Wade
3:45.0,,,11-21,2,D. Wade makes 2-pt shot from 2 ft
3:29.0,Turnover by M. Morris (offensive foul),,11-21,,
3:29.0,Offensive charge foul by M. Morris,,11-21,,
3:29.0,,,11-21,,G. Green enters the game for D. Wade
3:29.0,S. Johnson enters the game for K. Caldwell-Pope,,11-21,,
3:18.0,,,11-23,2,B. Udrih makes 2-pt shot from 15 ft
3:05.0,S. Johnson makes 3-pt shot from 22 ft (assist by R. Jackson),3,14-23,,
2:42.0,,,14-25,2,L. Deng makes 2-pt shot from 8 ft
2:26.0,Shooting foul by L. Deng (drawn by M. Morris),,14-25,,
2:26.0,M. Morris misses free throw 1 of 2,,14-25,,
2:26.0,Offensive rebound by Team,,14-25,,
2:26.0,S. Blake enters the game for R. Jackson,,14-25,,
2:26.0,,,14-25,,C. Bosh enters the game for H. Whiteside
2:26.0,M. Morris makes free throw 2 of 2,1,15-25,,
2:14.0,,,15-27,2,C. Bosh makes 2-pt shot at rim (assist by B. Udrih)
2:00.0,Turnover by A. Baynes (bad pass; steal by L. Deng),,15-27,,
1:54.0,,,15-27,,B. Udrih misses 2-pt shot from 15 ft
1:53.0,Defensive rebound by M. Morris,,15-27,,
1:38.0,A. Baynes misses 2-pt shot from 7 ft,,15-27,,
1:37.0,,,15-27,,Defensive rebound by G. Green
1:18.0,,,15-29,2,B. Udrih makes 2-pt shot from 15 ft (assist by L. Deng)
0:59.0,Turnover by M. Morris (bad pass; steal by L. Deng),,15-29,,
0:56.0,,,15-31,2,L. Deng makes 2-pt shot at rim
0:37.0,S. Johnson makes 3-pt shot from 24 ft (assist by M. Morris),3,18-31,,
0:24.0,,,18-34,3,G. Green makes 3-pt shot from 25 ft (assist by C. Bosh)
0:00.0,A. Baynes misses 2-pt shot at rim (block by G. Green),,18-34,,
0:00.0,Offensive rebound by Team,,18-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Shooting foul by J. Winslow (drawn by A. Baynes),,18-34,,
11:45.0,A. Baynes makes free throw 1 of 2,1,19-34,,
11:45.0,A. Baynes misses free throw 2 of 2,,19-34,,
11:44.0,,,19-34,,Defensive rebound by U. Haslem
11:23.0,,,19-37,3,C. Bosh makes 3-pt shot from 25 ft (assist by J. Richardson)
11:03.0,S. Blake makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,22-37,,
10:47.0,,,22-37,,C. Bosh misses 2-pt shot from 17 ft
10:46.0,,,22-37,,Offensive rebound by J. Richardson
10:44.0,,,22-40,3,G. Green makes 3-pt shot from 24 ft (assist by J. Richardson)
10:32.0,,,22-40,,Personal foul by C. Bosh (drawn by A. Tolliver)
10:17.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,22-40,,
10:16.0,Offensive rebound by S. Blake,,22-40,,
10:10.0,A. Tolliver makes 3-pt shot from 22 ft (assist by S. Johnson),3,25-40,,
9:55.0,,,25-40,,U. Haslem misses 3-pt shot from 23 ft
9:54.0,Defensive rebound by S. Johnson,,25-40,,
9:35.0,Turnover by S. Blake (bad pass; steal by J. Winslow),,25-40,,
9:29.0,,,25-40,,J. Richardson misses 2-pt shot from 18 ft
9:28.0,Defensive rebound by S. Blake,,25-40,,
9:14.0,A. Tolliver makes 3-pt shot from 22 ft (assist by S. Johnson),3,28-40,,
9:14.0,,,28-40,,Miami full timeout
9:14.0,A. Drummond enters the game for A. Baynes,,28-40,,
8:57.0,,,28-40,,C. Bosh misses 2-pt shot from 4 ft
8:56.0,Defensive rebound by A. Drummond,,28-40,,
8:37.0,S. Johnson misses 2-pt shot from 2 ft,,28-40,,
8:36.0,,,28-40,,Defensive rebound by U. Haslem
8:26.0,,,28-40,,J. Richardson misses 2-pt shot from 1 ft
8:24.0,Jump ball: A. Drummond vs. J. Richardson (S. Blake gains possession),,,,Jump ball: A. Drummond vs. J. Richardson (S. Blake gains possession)
8:24.0,Offensive rebound by Team,,28-40,,
8:05.0,S. Blake makes 3-pt shot from 22 ft (assist by A. Drummond),3,31-40,,
7:50.0,,,31-40,,C. Bosh misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by S. Johnson,,31-40,,
7:39.0,S. Johnson makes 3-pt shot from 24 ft (assist by S. Blake),3,34-40,,
7:11.0,,,34-40,,U. Haslem misses 2-pt shot from 19 ft
7:10.0,Defensive rebound by A. Tolliver,,34-40,,
6:49.0,S. Johnson misses 3-pt shot from 24 ft,,34-40,,
6:48.0,,,34-40,,Defensive rebound by J. Richardson
6:34.0,,,34-42,2,C. Bosh makes 2-pt shot at rim
6:07.0,S. Johnson makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,37-42,,
5:46.0,,,37-44,2,G. Green makes 2-pt shot from 14 ft
5:30.0,K. Caldwell-Pope makes 3-pt shot from 25 ft,3,40-44,,
5:15.0,,,40-44,,C. Bosh misses 2-pt shot from 6 ft
5:14.0,,,40-44,,Offensive rebound by Team
5:14.0,Loose ball foul by A. Drummond (drawn by U. Haslem),,40-44,,
5:14.0,Official timeout,,40-44,,
5:14.0,R. Jackson enters the game for S. Blake,,40-44,,
5:14.0,,,40-44,,H. Whiteside enters the game for C. Bosh
5:14.0,,,40-44,,D. Wade enters the game for J. Winslow
5:14.0,,,40-44,,L. Deng enters the game for J. Richardson
5:14.0,,,40-44,,B. Udrih enters the game for U. Haslem
5:03.0,,,40-46,2,D. Wade makes 2-pt shot from 1 ft
4:49.0,S. Johnson makes 2-pt shot from 8 ft,2,42-46,,
4:27.0,,,42-46,,L. Deng misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by R. Jackson,,42-46,,
4:15.0,S. Johnson misses 2-pt shot from 2 ft (block by H. Whiteside),,42-46,,
4:14.0,,,42-46,,Defensive rebound by L. Deng
4:09.0,,,42-48,2,L. Deng makes 2-pt shot at rim
3:50.0,S. Johnson misses 3-pt shot from 24 ft,,42-48,,
3:48.0,Offensive rebound by A. Drummond,,42-48,,
3:48.0,A. Drummond misses 2-pt shot at rim,,42-48,,
3:47.0,Offensive rebound by R. Jackson,,42-48,,
3:40.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,42-48,,
3:39.0,Offensive rebound by A. Drummond,,42-48,,
3:36.0,A. Drummond makes 2-pt shot from 12 ft,2,44-48,,
3:15.0,,,44-50,2,D. Wade makes 2-pt shot from 19 ft
3:00.0,Turnover by S. Johnson (traveling),,44-50,,
3:00.0,M. Morris enters the game for S. Johnson,,44-50,,
2:42.0,,,44-50,,D. Wade misses 2-pt shot from 10 ft
2:41.0,Defensive rebound by A. Tolliver,,44-50,,
2:35.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,44-50,,
2:33.0,Offensive rebound by A. Drummond,,44-50,,
2:26.0,A. Tolliver misses 3-pt shot from 22 ft,,44-50,,
2:25.0,Offensive rebound by K. Caldwell-Pope,,44-50,,
2:14.0,R. Jackson makes 2-pt shot from 4 ft,2,46-50,,
1:52.0,,,46-50,,L. Deng misses 3-pt shot from 23 ft
1:51.0,Defensive rebound by M. Morris,,46-50,,
1:40.0,Shooting foul by H. Whiteside (drawn by A. Drummond),,46-50,,
1:40.0,Detroit full timeout,,46-50,,
1:40.0,,,46-50,,C. Bosh enters the game for G. Green
1:40.0,A. Drummond makes free throw 1 of 2,1,47-50,,
1:40.0,A. Drummond makes free throw 2 of 2,1,48-50,,
1:28.0,Personal foul by K. Caldwell-Pope (drawn by H. Whiteside),,48-50,,
1:28.0,A. Baynes enters the game for A. Drummond,,48-50,,
1:28.0,S. Johnson enters the game for K. Caldwell-Pope,,48-50,,
1:17.0,,,48-52,2,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Wade)
1:00.0,M. Morris makes 2-pt shot from 11 ft,2,50-52,,
0:43.0,,,50-52,,Turnover by C. Bosh (traveling)
0:30.0,M. Morris makes 2-pt shot from 2 ft,2,52-52,,
0:25.0,,,52-52,,Miami full timeout
0:25.0,,,52-52,,G. Green enters the game for H. Whiteside
0:12.0,,,52-52,,G. Green misses 3-pt shot from 23 ft
0:11.0,Defensive rebound by A. Tolliver,,52-52,,
0:01.0,R. Jackson makes 2-pt shot from 2 ft,2,54-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,E. Ilyasova misses 2-pt shot from 3 ft (block by H. Whiteside),,54-52,,
11:40.0,,,54-52,,Defensive rebound by H. Whiteside
11:13.0,,,54-52,,C. Bosh misses 2-pt shot from 16 ft
11:12.0,,,54-52,,Offensive rebound by H. Whiteside
11:09.0,,,54-52,,H. Whiteside misses 2-pt shot from 1 ft
11:08.0,Defensive rebound by A. Drummond,,54-52,,
10:48.0,A. Drummond misses 2-pt shot from 11 ft,,54-52,,
10:47.0,,,54-52,,Defensive rebound by L. Deng
10:39.0,,,54-52,,D. Wade misses 2-pt shot from 19 ft
10:38.0,Defensive rebound by M. Morris,,54-52,,
10:28.0,K. Caldwell-Pope makes 2-pt shot from 8 ft (assist by M. Morris),2,56-52,,
10:06.0,,,56-54,2,B. Udrih makes 2-pt shot from 11 ft
9:49.0,A. Drummond misses 2-pt shot from 6 ft,,56-54,,
9:48.0,Offensive rebound by Team,,56-54,,
9:48.0,,,56-54,,Loose ball foul by C. Bosh (drawn by A. Drummond)
9:28.0,K. Caldwell-Pope misses 2-pt shot from 9 ft,,56-54,,
9:27.0,,,56-54,,Defensive rebound by H. Whiteside
9:15.0,,,56-56,2,B. Udrih makes 2-pt shot from 2 ft
9:00.0,Turnover by M. Morris (traveling),,56-56,,
8:37.0,,,56-56,,D. Wade misses 2-pt shot from 12 ft
8:36.0,Defensive rebound by A. Drummond,,56-56,,
8:29.0,R. Jackson misses 2-pt shot from 17 ft,,56-56,,
8:28.0,Offensive rebound by E. Ilyasova,,56-56,,
8:22.0,A. Drummond misses 2-pt shot at rim,,56-56,,
8:21.0,Offensive rebound by E. Ilyasova,,56-56,,
8:20.0,E. Ilyasova misses 2-pt shot from 3 ft,,56-56,,
8:19.0,Offensive rebound by A. Drummond,,56-56,,
8:18.0,A. Drummond misses 2-pt shot at rim,,56-56,,
8:17.0,Offensive rebound by E. Ilyasova,,56-56,,
8:16.0,E. Ilyasova makes 2-pt shot from 1 ft,2,58-56,,
8:00.0,,,58-58,2,H. Whiteside makes 2-pt shot at rim (assist by B. Udrih)
7:43.0,,,58-58,,Personal block foul by B. Udrih (drawn by R. Jackson)
7:34.0,Shooting foul by B. Udrih (drawn by A. Drummond),,58-58,,
7:34.0,A. Drummond makes free throw 1 of 2,1,59-58,,
7:34.0,A. Drummond misses free throw 2 of 2,,59-58,,
7:33.0,,,59-58,,Defensive rebound by C. Bosh
7:15.0,,,59-60,2,D. Wade makes 2-pt shot from 6 ft
6:59.0,M. Morris makes 2-pt shot from 10 ft,2,61-60,,
6:38.0,,,61-60,,C. Bosh misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by A. Drummond,,61-60,,
6:25.0,Turnover by R. Jackson (bad pass; steal by L. Deng),,61-60,,
6:20.0,,,61-62,2,B. Udrih makes 2-pt shot from 6 ft
5:55.0,Shooting foul by H. Whiteside (drawn by K. Caldwell-Pope),,61-62,,
5:55.0,,,61-62,,Miami full timeout
5:55.0,,,61-62,,J. Winslow enters the game for C. Bosh
5:55.0,K. Caldwell-Pope makes free throw 1 of 2,1,62-62,,
5:55.0,K. Caldwell-Pope makes free throw 2 of 2,1,63-62,,
5:39.0,,,63-62,,Shooting foul by K. Caldwell-Pope (drawn by D. Wade)
5:39.0,,,63-63,1,D. Wade makes free throw 1 of 2
5:39.0,,,63-64,1,D. Wade makes free throw 2 of 2
5:19.0,A. Drummond makes 2-pt shot at rim,2,65-64,,
4:58.0,,,65-66,2,D. Wade makes 2-pt shot from 11 ft
4:44.0,R. Jackson makes 2-pt shot from 5 ft,2,67-66,,
4:21.0,,,67-66,,H. Whiteside misses 2-pt shot from 8 ft
4:20.0,Defensive rebound by E. Ilyasova,,67-66,,
4:12.0,M. Morris misses 3-pt shot from 24 ft,,67-66,,
4:11.0,,,67-66,,Defensive rebound by D. Wade
4:04.0,,,67-66,,B. Udrih misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by E. Ilyasova,,67-66,,
3:54.0,R. Jackson misses 2-pt shot from 6 ft,,67-66,,
3:53.0,Offensive rebound by R. Jackson,,67-66,,
3:50.0,R. Jackson misses 2-pt shot from 1 ft (block by H. Whiteside),,67-66,,
3:49.0,,,67-66,,Defensive rebound by B. Udrih
3:45.0,,,67-66,,D. Wade misses 2-pt shot from 2 ft
3:44.0,Defensive rebound by R. Jackson,,67-66,,
3:36.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by R. Jackson),2,69-66,,
3:10.0,,,69-66,,B. Udrih misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by M. Morris,,69-66,,
2:58.0,Shooting foul by B. Udrih (drawn by M. Morris),,69-66,,
2:58.0,Detroit full timeout,,69-66,,
2:58.0,S. Johnson enters the game for K. Caldwell-Pope,,69-66,,
2:58.0,S. Blake enters the game for R. Jackson,,69-66,,
2:58.0,,,69-66,,G. Green enters the game for H. Whiteside
2:58.0,,,69-66,,C. Bosh enters the game for D. Wade
2:58.0,M. Morris misses free throw 1 of 2,,69-66,,
2:58.0,Offensive rebound by Team,,69-66,,
2:58.0,M. Morris makes free throw 2 of 2,1,70-66,,
2:31.0,,,70-66,,L. Deng misses 2-pt shot from 21 ft
2:30.0,Defensive rebound by E. Ilyasova,,70-66,,
2:21.0,Turnover by A. Drummond (3 sec),,70-66,,
2:11.0,,,70-68,2,C. Bosh makes 2-pt shot from 1 ft (assist by B. Udrih)
1:52.0,Turnover by S. Johnson (lost ball; steal by J. Winslow),,70-68,,
1:47.0,,,70-70,2,J. Winslow makes 2-pt shot at rim
1:22.0,E. Ilyasova misses 3-pt shot from 24 ft,,70-70,,
1:21.0,,,70-70,,Defensive rebound by G. Green
1:12.0,,,70-73,3,C. Bosh makes 3-pt shot from 23 ft (assist by G. Green)
0:51.0,Turnover by M. Morris (traveling),,70-73,,
0:51.0,,,70-73,,J. Richardson enters the game for B. Udrih
0:33.0,,,70-75,2,C. Bosh makes 2-pt shot from 10 ft
0:11.0,A. Drummond makes 2-pt shot from 7 ft,2,72-75,,
0:01.0,,,72-75,,C. Bosh misses 3-pt shot from 24 ft
0:00.0,,,72-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,72-75,,C. Bosh misses 2-pt shot from 6 ft
11:38.0,Defensive rebound by A. Tolliver,,72-75,,
11:20.0,A. Baynes misses 2-pt shot from 6 ft,,72-75,,
11:19.0,,,72-75,,Defensive rebound by H. Whiteside
11:03.0,,,72-75,,G. Green misses 2-pt shot from 12 ft
11:02.0,,,72-75,,Offensive rebound by G. Green
10:56.0,,,72-75,,C. Bosh misses 3-pt shot from 24 ft
10:55.0,,,72-75,,Offensive rebound by H. Whiteside
10:53.0,,,72-75,,H. Whiteside misses 2-pt shot from 4 ft
10:52.0,Defensive rebound by S. Johnson,,72-75,,
10:39.0,K. Caldwell-Pope misses 2-pt shot from 7 ft,,72-75,,
10:36.0,,,72-75,,Defensive rebound by H. Whiteside
10:29.0,,,72-75,,J. Richardson misses 2-pt shot from 1 ft
10:28.0,Defensive rebound by Team,,72-75,,
10:28.0,,,72-75,,Loose ball foul by J. Richardson (drawn by A. Tolliver)
10:12.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,72-75,,
10:11.0,,,72-75,,Defensive rebound by C. Bosh
9:51.0,,,72-77,2,H. Whiteside makes 2-pt shot from 7 ft
9:26.0,S. Blake misses 3-pt shot from 24 ft,,72-77,,
9:25.0,,,72-77,,Defensive rebound by C. Bosh
9:12.0,,,72-79,2,J. Richardson makes 2-pt shot from 13 ft
9:12.0,Detroit full timeout,,72-79,,
8:54.0,S. Blake makes 3-pt shot from 24 ft (assist by S. Johnson),3,75-79,,
8:31.0,,,75-81,2,C. Bosh makes 2-pt shot from 17 ft
8:14.0,S. Johnson misses 3-pt shot from 25 ft,,75-81,,
8:13.0,,,75-81,,Defensive rebound by G. Green
8:04.0,,,75-81,,G. Green misses 2-pt shot from 19 ft
8:03.0,Defensive rebound by A. Baynes,,75-81,,
7:54.0,A. Tolliver makes 3-pt shot from 25 ft (assist by S. Blake),3,78-81,,
7:33.0,,,78-83,2,C. Bosh makes 2-pt shot from 1 ft
7:15.0,S. Blake makes 3-pt shot from 24 ft,3,81-83,,
7:00.0,,,81-83,,Shooting foul by S. Blake (drawn by J. Richardson)
7:00.0,,,81-84,1,J. Richardson makes free throw 1 of 2
7:00.0,A. Drummond enters the game for A. Baynes,,81-84,,
7:00.0,R. Jackson enters the game for S. Blake,,81-84,,
7:00.0,,,81-85,1,J. Richardson makes free throw 2 of 2
6:36.0,R. Jackson misses 3-pt shot from 24 ft,,81-85,,
6:35.0,,,81-85,,Defensive rebound by J. Winslow
6:25.0,,,81-85,,J. Winslow misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by S. Johnson,,81-85,,
6:07.0,A. Drummond misses 2-pt shot from 5 ft,,81-85,,
6:06.0,Offensive rebound by Team,,81-85,,
6:06.0,M. Morris enters the game for S. Johnson,,81-85,,
6:06.0,,,81-85,,D. Wade enters the game for J. Winslow
6:06.0,,,81-85,,L. Deng enters the game for C. Bosh
5:45.0,A. Drummond makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope),2,83-85,,
5:35.0,,,83-85,,Miami full timeout
5:35.0,,,83-85,,B. Udrih enters the game for J. Richardson
5:20.0,,,83-85,,D. Wade misses 2-pt shot from 11 ft
5:19.0,Defensive rebound by M. Morris,,83-85,,
5:12.0,A. Drummond misses 2-pt shot from 6 ft,,83-85,,
5:11.0,,,83-85,,Defensive rebound by Team
4:50.0,,,83-85,,Shooting foul by A. Tolliver (drawn by L. Deng)
4:50.0,,,83-86,1,L. Deng makes free throw 1 of 2
4:50.0,,,83-87,1,L. Deng makes free throw 2 of 2
4:42.0,R. Jackson misses 2-pt shot from 2 ft (block by G. Green),,83-87,,
4:41.0,,,83-87,,Defensive rebound by H. Whiteside
4:39.0,,,83-87,,Turnover by H. Whiteside (bad pass; steal by A. Tolliver)
4:21.0,R. Jackson makes 3-pt shot from 24 ft,3,86-87,,
3:57.0,,,86-87,,D. Wade misses 2-pt shot from 7 ft (block by A. Drummond)
3:56.0,,,86-87,,Offensive rebound by Team
3:56.0,Loose ball foul by R. Jackson (drawn by H. Whiteside),,86-87,,
3:51.0,Personal foul by K. Caldwell-Pope (drawn by D. Wade),,86-87,,
3:41.0,,,86-87,,L. Deng misses 3-pt shot from 23 ft
3:40.0,Defensive rebound by A. Drummond,,86-87,,
3:16.0,A. Tolliver misses 3-pt shot from 23 ft,,86-87,,
3:15.0,,,86-87,,Defensive rebound by L. Deng
3:07.0,,,86-89,2,D. Wade makes 2-pt shot at rim
2:43.0,K. Caldwell-Pope makes 2-pt shot from 12 ft,2,88-89,,
2:24.0,,,88-89,,D. Wade misses 2-pt shot from 11 ft
2:23.0,Defensive rebound by A. Drummond,,88-89,,
2:17.0,R. Jackson misses 2-pt shot at rim (block by G. Green),,88-89,,
2:16.0,,,88-89,,Defensive rebound by B. Udrih
2:08.0,,,88-89,,D. Wade misses 2-pt shot from 1 ft
2:07.0,Defensive rebound by A. Tolliver,,88-89,,
2:01.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by R. Jackson),3,91-89,,
2:00.0,,,91-89,,Miami full timeout
2:00.0,Official timeout,,91-89,,
2:00.0,,,91-89,,C. Bosh enters the game for L. Deng
1:45.0,,,91-89,,Shooting foul by A. Drummond (drawn by D. Wade)
1:45.0,,,91-89,,D. Wade misses free throw 1 of 2
1:45.0,,,91-89,,Offensive rebound by Team
1:45.0,,,91-90,1,D. Wade makes free throw 2 of 2
1:26.0,M. Morris misses 2-pt shot from 1 ft,,91-90,,
1:25.0,,,91-90,,Defensive rebound by D. Wade
1:18.0,,,91-92,2,H. Whiteside makes 2-pt shot at rim (assist by B. Udrih)
1:07.0,,,91-92,,Personal foul by B. Udrih (drawn by R. Jackson)
0:56.0,K. Caldwell-Pope makes 2-pt shot from 16 ft (assist by A. Tolliver),2,93-92,,
0:32.0,,,93-92,,C. Bosh misses 2-pt shot from 12 ft
0:31.0,Defensive rebound by R. Jackson,,93-92,,
0:10.0,R. Jackson misses 3-pt shot from 24 ft,,93-92,,
0:09.0,,,93-92,,Defensive rebound by H. Whiteside
0:09.0,,,93-92,,Miami full timeout
0:09.0,S. Johnson enters the game for A. Tolliver,,93-92,,
0:09.0,,,93-92,,L. Deng enters the game for H. Whiteside
0:03.0,,,93-92,,D. Wade misses 2-pt shot from 11 ft
0:02.0,Defensive rebound by A. Drummond,,93-92,,
0:02.0,,,93-92,,Personal foul by C. Bosh (drawn by A. Drummond)
0:02.0,A. Drummond misses free throw 1 of 2,,93-92,,
0:02.0,Offensive rebound by Team,,93-92,,
0:02.0,,,93-92,,H. Whiteside enters the game for B. Udrih
0:02.0,A. Tolliver enters the game for S. Johnson,,93-92,,
0:02.0,A. Drummond misses free throw 2 of 2,,93-92,,
0:01.0,,,93-92,,Defensive rebound by H. Whiteside
0:01.0,,,93-92,,Miami full timeout
0:01.0,,,93-92,,B. Udrih enters the game for H. Whiteside
0:00.0,,,93-92,,C. Bosh misses 2-pt shot from 21 ft
0:00.0,,,93-92,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
