time,Cleveland,pts.away,score,pts.home,Toronto
4:12.0,Shooting foul by D. DeRozan (drawn by K. Irving),,15-15,,
4:12.0,K. Irving makes free throw 1 of 2,1,16-15,,
4:12.0,,,16-15,,T. Ross enters the game for D. DeRozan
4:12.0,K. Irving makes free throw 2 of 2,1,17-15,,
3:49.0,,,17-17,2,P. Patterson makes 2-pt shot from 4 ft
3:40.0,L. James misses 2-pt shot from 6 ft,,17-17,,
3:39.0,,,17-17,,Defensive rebound by J. Valanciunas
3:28.0,,,17-17,,K. Lowry misses 3-pt shot from 26 ft
3:28.0,Defensive rebound by J. Smith,,17-17,,
3:13.0,Shooting foul by J. Johnson (drawn by L. James),,17-17,,
3:13.0,L. James makes free throw 1 of 2,1,18-17,,
3:13.0,M. Dellavedova enters the game for K. Irving,,18-17,,
3:13.0,I. Shumpert enters the game for J. Smith,,18-17,,
3:13.0,L. James misses free throw 2 of 2,,18-17,,
3:12.0,,,18-17,,Defensive rebound by J. Valanciunas
3:06.0,,,18-17,,Offensive foul by J. Johnson
3:06.0,,,18-17,,Turnover by J. Johnson (offensive foul)
3:06.0,C. Frye enters the game for K. Love,,18-17,,
2:54.0,I. Shumpert makes 2-pt shot from 20 ft (assist by M. Dellavedova),2,20-17,,
2:31.0,,,20-17,,T. Ross misses 2-pt shot from 15 ft
2:29.0,,,20-17,,Offensive rebound by Team
2:29.0,,,20-17,,C. Joseph enters the game for K. Lowry
2:29.0,T. Mozgov enters the game for T. Thompson,,20-17,,
2:19.0,,,20-17,,J. Johnson misses 2-pt shot from 21 ft
2:19.0,Defensive rebound by L. James,,20-17,,
2:03.0,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James),2,22-17,,
1:57.0,,,22-17,,Toronto full timeout
1:57.0,,,22-17,,B. Biyombo enters the game for J. Johnson
1:57.0,,,22-17,,A. Bennett enters the game for J. Valanciunas
1:50.0,,,22-19,2,C. Joseph makes 2-pt shot from 8 ft
1:36.0,L. James makes 3-pt shot from 25 ft,3,25-19,,
1:15.0,,,25-19,,P. Patterson misses 2-pt shot from 9 ft
1:14.0,Defensive rebound by C. Frye,,25-19,,
1:04.0,L. James misses 3-pt shot from 26 ft,,25-19,,
1:03.0,,,25-19,,Defensive rebound by T. Ross
0:56.0,,,25-21,2,T. Ross makes 2-pt shot from 17 ft
0:42.0,C. Frye makes 3-pt shot from 24 ft (assist by L. James),3,28-21,,
0:31.0,,,28-21,,C. Joseph misses 2-pt shot from 5 ft
0:31.0,Defensive rebound by T. Mozgov,,28-21,,
0:10.0,M. Dellavedova makes 3-pt shot from 26 ft (assist by I. Shumpert),3,31-21,,
0:05.0,Personal take foul by M. Dellavedova (drawn by C. Joseph),,31-21,,
0:05.0,R. Jefferson enters the game for L. James,,31-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,I. Shumpert misses 2-pt shot from 14 ft,,31-21,,
11:34.0,Offensive rebound by T. Mozgov,,31-21,,
11:23.0,T. Mozgov makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,33-21,,
11:05.0,Personal foul by R. Jefferson (drawn by D. DeRozan),,33-21,,
10:53.0,,,33-23,2,B. Biyombo makes 2-pt shot from 2 ft (assist by K. Lowry)
10:29.0,T. Mozgov misses 2-pt shot from 6 ft,,33-23,,
10:28.0,,,33-23,,Defensive rebound by D. DeRozan
10:16.0,,,33-25,2,K. Lowry makes 2-pt shot from 1 ft
10:01.0,Turnover by M. Dellavedova (bad pass),,33-25,,
10:01.0,K. Irving enters the game for M. Dellavedova,,33-25,,
9:46.0,,,33-25,,Turnover by P. Patterson (bad pass; steal by C. Frye)
9:44.0,,,33-25,,Personal foul by P. Patterson (drawn by R. Jefferson)
9:32.0,K. Irving misses 2-pt shot from 4 ft,,33-25,,
9:31.0,,,33-25,,Defensive rebound by K. Lowry
9:20.0,,,33-27,2,K. Lowry makes 2-pt shot from 3 ft
9:20.0,,,33-27,,Shooting foul by T. Mozgov (drawn by K. Lowry)
9:20.0,,,33-27,,K. Lowry misses free throw 1 of 1
9:19.0,Defensive rebound by I. Shumpert,,33-27,,
9:01.0,C. Frye misses 3-pt shot from 25 ft,,33-27,,
9:01.0,,,33-27,,Defensive rebound by B. Biyombo
8:56.0,Personal block foul by C. Frye (drawn by K. Lowry),,33-27,,
8:56.0,Official timeout,,33-27,,
8:56.0,K. Love enters the game for C. Frye,,33-27,,
8:44.0,Personal foul by I. Shumpert (drawn by D. DeRozan),,33-27,,
8:36.0,,,33-27,,Turnover by Team (5 sec inbounds)
8:20.0,K. Irving misses 3-pt shot from 27 ft,,33-27,,
8:20.0,,,33-27,,Defensive rebound by B. Biyombo
8:10.0,,,33-29,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
7:54.0,Turnover by I. Shumpert (lost ball; steal by K. Lowry),,33-29,,
7:49.0,,,33-31,2,C. Joseph makes 2-pt shot from 2 ft (assist by K. Lowry)
7:26.0,R. Jefferson makes 3-pt shot from 22 ft (assist by I. Shumpert),3,36-31,,
7:07.0,,,36-33,2,C. Joseph makes 2-pt shot from 4 ft
6:50.0,K. Love misses 2-pt shot from 16 ft,,36-33,,
6:50.0,,,36-33,,Defensive rebound by C. Joseph
6:42.0,,,36-35,2,B. Biyombo makes 2-pt shot at rim (assist by C. Joseph)
6:41.0,Cleveland full timeout,,36-35,,
6:41.0,J. Smith enters the game for I. Shumpert,,36-35,,
6:41.0,T. Thompson enters the game for T. Mozgov,,36-35,,
6:21.0,R. Jefferson makes 3-pt shot from 25 ft (assist by K. Love),3,39-35,,
6:05.0,,,39-37,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
5:46.0,Turnover by R. Jefferson (step out of bounds),,39-37,,
5:27.0,,,39-39,2,K. Lowry makes 2-pt shot from 3 ft
5:14.0,K. Love misses 3-pt shot from 27 ft,,39-39,,
5:14.0,,,39-39,,Defensive rebound by D. DeRozan
4:52.0,,,39-41,2,B. Biyombo makes 2-pt shot from 3 ft (assist by C. Joseph)
4:34.0,Cleveland full timeout,,39-41,,
4:34.0,L. James enters the game for K. Irving,,39-41,,
4:34.0,M. Dellavedova enters the game for R. Jefferson,,39-41,,
4:34.0,,,39-41,,J. Johnson enters the game for C. Joseph
4:27.0,T. Thompson misses 2-pt shot at rim,,39-41,,
4:26.0,,,39-41,,Defensive rebound by D. DeRozan
4:02.0,,,39-41,,K. Lowry misses 2-pt shot from 14 ft
4:01.0,Defensive rebound by K. Love,,39-41,,
3:43.0,K. Love misses 2-pt shot from 2 ft,,39-41,,
3:42.0,Offensive rebound by K. Love,,39-41,,
3:40.0,K. Love makes 2-pt shot from 2 ft,2,41-41,,
3:28.0,,,41-41,,Turnover by K. Lowry (bad pass; steal by K. Love)
3:19.0,M. Dellavedova misses 3-pt shot from 25 ft,,41-41,,
3:18.0,,,41-41,,Defensive rebound by B. Biyombo
3:00.0,,,41-41,,D. DeRozan misses 2-pt shot from 2 ft
2:59.0,Defensive rebound by K. Love,,41-41,,
2:52.0,L. James makes 2-pt shot from 4 ft,2,43-41,,
2:42.0,,,43-41,,Toronto full timeout
2:42.0,,,43-41,,J. Valanciunas enters the game for K. Lowry
2:42.0,,,43-41,,C. Joseph enters the game for P. Patterson
2:42.0,,,43-41,,L. Scola enters the game for B. Biyombo
2:34.0,,,43-41,,D. DeRozan misses 2-pt shot from 10 ft
2:32.0,,,43-41,,Offensive rebound by Team
2:22.0,,,43-43,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by L. Scola)
2:11.0,,,43-43,,Personal foul by J. Johnson (drawn by L. James)
2:11.0,,,43-43,,T. Ross enters the game for J. Johnson
2:02.0,L. James misses 2-pt shot from 7 ft,,43-43,,
2:02.0,,,43-43,,Defensive rebound by T. Ross
1:51.0,,,43-43,,Turnover by J. Valanciunas (3 sec)
1:42.0,L. James misses 2-pt shot from 2 ft,,43-43,,
1:41.0,,,43-43,,Defensive rebound by D. DeRozan
1:26.0,,,43-43,,C. Joseph misses 2-pt shot from 3 ft
1:25.0,Defensive rebound by K. Love,,43-43,,
1:08.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Love),3,46-43,,
0:54.0,,,46-43,,Technical foul by Team
0:54.0,L. James makes technical free throw,1,47-43,,
0:49.0,,,47-43,,D. DeRozan misses 2-pt shot from 20 ft
0:48.0,Defensive rebound by L. James,,47-43,,
0:36.0,M. Dellavedova makes 2-pt shot from 9 ft (assist by L. James),2,49-43,,
0:20.0,,,49-45,2,T. Ross makes 2-pt shot from 18 ft (assist by C. Joseph)
0:02.0,K. Love misses 2-pt shot from 16 ft,,49-45,,
0:01.0,Offensive rebound by K. Love,,49-45,,
0:00.0,K. Love misses 2-pt shot from 17 ft,,49-45,,
0:00.0,Offensive rebound by Team,,49-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,J. Smith makes 2-pt shot from 19 ft,2,51-45,,
11:33.0,Personal foul by J. Smith (drawn by L. Scola),,51-45,,
11:18.0,,,51-45,,D. DeRozan misses 3-pt shot from 26 ft
11:17.0,Defensive rebound by T. Thompson,,51-45,,
11:09.0,L. James makes 2-pt shot from 16 ft,2,53-45,,
10:58.0,,,53-45,,Turnover by D. DeRozan (bad pass; steal by K. Irving)
10:54.0,K. Irving makes 2-pt shot at rim,2,55-45,,
10:54.0,,,55-45,,Toronto full timeout
10:32.0,Violation by L. James (def goaltending),,55-45,,
10:32.0,,,55-47,2,K. Lowry makes 2-pt shot from 3 ft
10:10.0,K. Irving misses 2-pt shot from 8 ft,,55-47,,
10:09.0,Offensive rebound by T. Thompson,,55-47,,
10:08.0,T. Thompson misses 2-pt shot from 2 ft,,55-47,,
10:07.0,Offensive rebound by K. Love,,55-47,,
9:48.0,K. Irving misses 2-pt shot from 15 ft,,55-47,,
9:47.0,,,55-47,,Defensive rebound by D. DeRozan
9:47.0,,,55-47,,Personal foul by L. Scola (drawn by K. Love)
9:47.0,Personal foul by K. Love,,55-47,,
9:47.0,Jump ball: T. Thompson vs. J. Valanciunas,,,,Jump ball: T. Thompson vs. J. Valanciunas
9:47.0,,,55-47,,Turnover by L. Scola (double personal)
9:35.0,Turnover by T. Thompson (lost ball; steal by J. Valanciunas),,55-47,,
9:18.0,,,55-47,,J. Johnson misses 2-pt shot from 4 ft
9:18.0,,,55-47,,Offensive rebound by L. Scola
9:17.0,,,55-47,,Shooting foul by T. Thompson (drawn by L. Scola)
9:17.0,,,55-49,2,L. Scola makes 2-pt shot from 2 ft
9:17.0,,,55-49,,L. Scola misses free throw 1 of 1
9:17.0,Defensive rebound by K. Love,,55-49,,
9:06.0,Shooting foul by L. Scola (drawn by K. Love),,55-49,,
9:06.0,K. Love makes free throw 1 of 2,1,56-49,,
9:06.0,K. Love makes free throw 2 of 2,1,57-49,,
8:52.0,,,57-49,,Turnover by D. DeRozan (lost ball; steal by L. James)
8:46.0,Shooting foul by J. Johnson (drawn by L. James),,57-49,,
8:46.0,L. James makes free throw 1 of 2,1,58-49,,
8:46.0,L. James misses free throw 2 of 2,,58-49,,
8:45.0,Offensive rebound by Team,,58-49,,
8:44.0,,,58-49,,Loose ball foul by L. Scola (drawn by J. Smith)
8:44.0,,,58-49,,P. Patterson enters the game for L. Scola
8:44.0,,,58-49,,T. Ross enters the game for J. Johnson
8:25.0,T. Thompson makes 2-pt shot at rim (assist by K. Love),2,60-49,,
7:59.0,,,60-49,,D. DeRozan misses 2-pt shot from 19 ft
7:58.0,Defensive rebound by L. James,,60-49,,
7:53.0,Turnover by L. James (bad pass; steal by K. Lowry),,60-49,,
7:45.0,,,60-49,,D. DeRozan misses 2-pt shot from 4 ft
7:45.0,Defensive rebound by T. Thompson,,60-49,,
7:37.0,J. Smith misses 3-pt shot from 23 ft,,60-49,,
7:36.0,,,60-49,,Defensive rebound by J. Valanciunas
7:27.0,,,60-49,,Shooting foul by T. Thompson (drawn by D. DeRozan)
7:27.0,,,60-50,1,D. DeRozan makes free throw 1 of 2
7:27.0,,,60-51,1,D. DeRozan makes free throw 2 of 2
7:08.0,L. James misses 2-pt shot from 3 ft,,60-51,,
7:07.0,,,60-51,,Defensive rebound by K. Lowry
7:06.0,Personal foul by T. Thompson (drawn by K. Lowry),,60-51,,
7:06.0,,,60-51,,B. Biyombo enters the game for J. Valanciunas
6:50.0,,,60-54,3,P. Patterson makes 3-pt shot from 26 ft (assist by D. DeRozan)
6:35.0,K. Irving misses 2-pt shot from 12 ft,,60-54,,
6:35.0,Offensive rebound by T. Thompson,,60-54,,
6:32.0,Shooting foul by K. Lowry (drawn by K. Love),,60-54,,
6:32.0,K. Love misses free throw 1 of 3,,60-54,,
6:32.0,Offensive rebound by Team,,60-54,,
6:32.0,K. Love makes free throw 2 of 3,1,61-54,,
6:32.0,K. Love makes free throw 3 of 3,1,62-54,,
6:21.0,,,62-54,,K. Lowry misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by L. James,,62-54,,
6:15.0,L. James makes 3-pt shot from 28 ft,3,65-54,,
6:05.0,Personal foul by K. Irving (drawn by K. Lowry),,65-54,,
6:05.0,,,65-54,,K. Lowry misses free throw 1 of 2
6:05.0,,,65-54,,Offensive rebound by Team
6:05.0,,,65-55,1,K. Lowry makes free throw 2 of 2
5:47.0,K. Irving misses 2-pt shot from 9 ft,,65-55,,
5:47.0,,,65-55,,Defensive rebound by K. Lowry
5:30.0,,,65-55,,D. DeRozan misses 2-pt shot from 5 ft
5:29.0,Defensive rebound by T. Thompson,,65-55,,
5:08.0,J. Smith makes 2-pt shot from 4 ft,2,67-55,,
4:52.0,,,67-55,,Offensive foul by P. Patterson
4:52.0,,,67-55,,Turnover by P. Patterson (offensive foul)
4:52.0,I. Shumpert enters the game for J. Smith,,67-55,,
4:52.0,M. Dellavedova enters the game for K. Irving,,67-55,,
4:34.0,K. Love misses 3-pt shot from 24 ft,,67-55,,
4:34.0,Offensive rebound by Team,,67-55,,
4:34.0,,,67-55,,Loose ball foul by D. DeRozan (drawn by L. James)
4:34.0,L. James misses free throw 1 of 2,,67-55,,
4:34.0,Offensive rebound by Team,,67-55,,
4:34.0,,,67-55,,C. Joseph enters the game for D. DeRozan
4:34.0,L. James makes free throw 2 of 2,1,68-55,,
4:23.0,,,68-57,2,K. Lowry makes 2-pt shot from 2 ft
3:59.0,M. Dellavedova makes 3-pt shot from 27 ft (assist by I. Shumpert),3,71-57,,
3:48.0,,,71-60,3,T. Ross makes 3-pt shot from 22 ft (assist by K. Lowry)
3:29.0,Turnover by M. Dellavedova (offensive foul),,71-60,,
3:29.0,Offensive foul by M. Dellavedova,,71-60,,
3:19.0,,,71-60,,K. Lowry misses 3-pt shot from 26 ft
3:18.0,Defensive rebound by I. Shumpert,,71-60,,
3:00.0,,,71-60,,Personal block foul by P. Patterson (drawn by K. Love)
3:00.0,K. Love makes free throw 1 of 2,1,72-60,,
3:00.0,K. Love makes free throw 2 of 2,1,73-60,,
2:41.0,,,73-60,,C. Joseph misses 2-pt shot from 20 ft
2:40.0,,,73-60,,Offensive rebound by Team
2:40.0,Cleveland full timeout,,73-60,,
2:24.0,,,73-62,2,K. Lowry makes 2-pt shot from 11 ft
1:54.0,M. Dellavedova misses 2-pt shot from 7 ft,,73-62,,
1:54.0,Offensive rebound by L. James,,73-62,,
1:52.0,L. James makes 2-pt shot from 2 ft,2,75-62,,
1:45.0,,,75-62,,Offensive foul by P. Patterson
1:45.0,,,75-62,,Turnover by P. Patterson (offensive foul)
1:45.0,C. Frye enters the game for K. Love,,75-62,,
1:29.0,Offensive foul by L. James,,75-62,,
1:29.0,Turnover by L. James (offensive foul),,75-62,,
1:15.0,,,75-62,,C. Joseph misses 2-pt shot from 6 ft
1:14.0,,,75-62,,Offensive rebound by Team
1:00.0,,,75-62,,K. Lowry misses 2-pt shot from 2 ft
0:59.0,,,75-62,,Offensive rebound by Team
0:53.0,Personal foul by L. James (drawn by K. Lowry),,75-62,,
0:53.0,,,75-63,1,K. Lowry makes free throw 1 of 2
0:53.0,,,75-64,1,K. Lowry makes free throw 2 of 2
0:39.0,Turnover by M. Dellavedova (bad pass; steal by K. Lowry),,75-64,,
0:34.0,,,75-64,,Shooting foul by I. Shumpert (drawn by K. Lowry)
0:34.0,,,75-65,1,K. Lowry makes free throw 1 of 2
0:34.0,,,75-65,,K. Lowry misses free throw 2 of 2
0:33.0,Defensive rebound by I. Shumpert,,75-65,,
0:18.0,T. Thompson makes 2-pt shot from 4 ft (assist by L. James),2,77-65,,
0:03.0,Flagrant foul type 1 by M. Dellavedova (drawn by B. Biyombo),,77-65,,
0:03.0,,,77-65,,B. Biyombo misses flagrant free throw 1 of 2
0:03.0,,,77-65,,Offensive rebound by Team
0:03.0,,,77-66,1,B. Biyombo makes flagrant free throw 2 of 2
0:03.0,J. Smith enters the game for C. Frye,,77-66,,
0:00.0,,,77-68,2,K. Lowry makes 2-pt shot from 3 ft (assist by T. Ross)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,77-68,,C. Joseph misses 3-pt shot from 27 ft
11:41.0,Defensive rebound by L. James,,77-68,,
11:38.0,,,77-68,,Personal foul by J. Valanciunas (drawn by T. Mozgov)
11:20.0,Turnover by L. James (bad pass),,77-68,,
11:04.0,,,77-71,3,K. Lowry makes 3-pt shot from 26 ft
10:47.0,Turnover by L. James (bad pass; steal by K. Lowry),,77-71,,
10:29.0,,,77-74,3,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry)
10:29.0,Cleveland full timeout,,77-74,,
10:29.0,K. Irving enters the game for T. Mozgov,,77-74,,
10:12.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,79-74,,
9:48.0,,,79-74,,T. Ross misses 3-pt shot from 26 ft
9:48.0,,,79-74,,Offensive rebound by J. Valanciunas
9:39.0,Personal foul by I. Shumpert (drawn by K. Lowry),,79-74,,
9:30.0,,,79-74,,J. Valanciunas misses 2-pt shot from 6 ft
9:29.0,,,79-74,,Offensive rebound by Team
9:29.0,Technical foul by I. Shumpert,,79-74,,
9:29.0,,,79-75,1,K. Lowry makes technical free throw
9:29.0,J. Smith enters the game for M. Dellavedova,,79-75,,
9:16.0,,,79-75,,Shooting foul by C. Frye (drawn by J. Valanciunas)
9:16.0,,,79-76,1,J. Valanciunas makes free throw 1 of 2
9:16.0,,,79-76,,J. Valanciunas misses free throw 2 of 2
9:15.0,Defensive rebound by C. Frye,,79-76,,
8:58.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,82-76,,
8:41.0,,,82-76,,C. Joseph misses 2-pt shot from 3 ft
8:41.0,Defensive rebound by J. Smith,,82-76,,
8:30.0,,,82-76,,Personal foul by T. Ross (drawn by J. Smith)
8:14.0,K. Irving makes 2-pt shot from 6 ft,2,84-76,,
8:05.0,,,84-76,,Shooting foul by I. Shumpert (drawn by K. Lowry)
8:05.0,,,84-76,,K. Lowry misses free throw 1 of 2
8:05.0,,,84-76,,Offensive rebound by Team
8:05.0,,,84-77,1,K. Lowry makes free throw 2 of 2
7:51.0,C. Frye misses 2-pt shot from 5 ft,,84-77,,
7:51.0,Offensive rebound by C. Frye,,84-77,,
7:49.0,C. Frye misses 2-pt shot from 3 ft,,84-77,,
7:49.0,,,84-77,,Defensive rebound by J. Valanciunas
7:43.0,Personal foul by C. Frye (drawn by J. Valanciunas),,84-77,,
7:43.0,K. Love enters the game for C. Frye,,84-77,,
7:32.0,,,84-77,,P. Patterson misses 2-pt shot from 6 ft
7:31.0,,,84-77,,Offensive rebound by J. Valanciunas
7:28.0,,,84-79,2,J. Valanciunas makes 2-pt shot from 3 ft
7:03.0,J. Smith makes 3-pt shot from 27 ft (assist by K. Love),3,87-79,,
6:41.0,,,87-82,3,T. Ross makes 3-pt shot from 27 ft (assist by C. Joseph)
6:15.0,K. Irving makes 2-pt shot from 1 ft (assist by L. James),2,89-82,,
6:10.0,,,89-82,,Toronto full timeout
5:54.0,,,89-82,,T. Ross misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by K. Love,,89-82,,
5:38.0,L. James makes 2-pt shot at rim (assist by K. Love),2,91-82,,
5:13.0,,,91-82,,T. Ross misses 2-pt shot from 13 ft
5:13.0,,,91-82,,Offensive rebound by J. Valanciunas
5:05.0,,,91-82,,Offensive charge foul by J. Valanciunas
5:05.0,,,91-82,,Turnover by J. Valanciunas (offensive foul)
5:05.0,,,91-82,,D. DeRozan enters the game for C. Joseph
4:45.0,Turnover by K. Irving (step out of bounds),,91-82,,
4:33.0,,,91-84,2,K. Lowry makes 2-pt shot from 9 ft
4:08.0,L. James misses 2-pt shot from 3 ft,,91-84,,
4:07.0,,,91-84,,Defensive rebound by P. Patterson
3:59.0,,,91-86,2,K. Lowry makes 2-pt shot from 14 ft
3:59.0,,,91-86,,Shooting foul by I. Shumpert (drawn by K. Lowry)
3:59.0,M. Dellavedova enters the game for I. Shumpert,,91-86,,
3:59.0,,,91-87,1,K. Lowry makes free throw 1 of 1
3:46.0,Offensive foul by K. Irving,,91-87,,
3:46.0,Turnover by K. Irving (offensive foul),,91-87,,
3:34.0,,,91-89,2,D. DeRozan makes 2-pt shot from 3 ft (assist by K. Lowry)
3:30.0,,,91-89,,Personal foul by K. Lowry (drawn by K. Irving)
3:14.0,K. Irving misses 3-pt shot from 28 ft,,91-89,,
3:14.0,,,91-89,,Defensive rebound by K. Lowry
3:03.0,,,91-89,,Shooting foul by J. Smith (drawn by J. Valanciunas)
3:03.0,,,91-90,1,J. Valanciunas makes free throw 1 of 2
3:03.0,,,91-91,1,J. Valanciunas makes free throw 2 of 2
2:43.0,Shooting foul by J. Valanciunas (drawn by L. James),,91-91,,
2:43.0,Official timeout,,91-91,,
2:43.0,L. James makes free throw 1 of 2,1,92-91,,
2:43.0,L. James misses free throw 2 of 2,,92-91,,
2:42.0,,,92-91,,Defensive rebound by J. Valanciunas
2:26.0,,,92-93,2,T. Ross makes 2-pt shot from 9 ft (assist by K. Lowry)
2:11.0,K. Love misses 3-pt shot from 26 ft,,92-93,,
2:10.0,,,92-93,,Defensive rebound by P. Patterson
1:55.0,Shooting block foul by K. Love (drawn by K. Lowry),,92-93,,
1:55.0,,,92-94,1,K. Lowry makes free throw 1 of 2
1:55.0,,,92-94,,B. Biyombo enters the game for J. Valanciunas
1:55.0,,,92-95,1,K. Lowry makes free throw 2 of 2
1:42.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,95-95,,
1:25.0,,,95-95,,T. Ross misses 3-pt shot from 26 ft
1:25.0,Defensive rebound by L. James,,95-95,,
1:08.0,,,95-95,,Personal foul by K. Lowry (drawn by K. Love)
1:08.0,K. Love makes free throw 1 of 2,1,96-95,,
1:08.0,,,96-95,,J. Valanciunas enters the game for B. Biyombo
1:08.0,K. Love makes free throw 2 of 2,1,97-95,,
1:08.0,,,97-95,,Toronto full timeout
1:08.0,T. Thompson enters the game for K. Love,,97-95,,
1:08.0,I. Shumpert enters the game for K. Irving,,97-95,,
0:52.0,,,97-97,2,K. Lowry makes 2-pt shot from 3 ft
0:51.0,Cleveland full timeout,,97-97,,
0:51.0,,,97-97,,B. Biyombo enters the game for J. Valanciunas
0:51.0,K. Love enters the game for T. Thompson,,97-97,,
0:51.0,K. Irving enters the game for I. Shumpert,,97-97,,
0:29.0,J. Smith misses 3-pt shot from 27 ft,,97-97,,
0:28.0,,,97-97,,Defensive rebound by B. Biyombo
0:27.0,,,97-97,,Toronto full timeout
0:27.0,T. Thompson enters the game for K. Love,,97-97,,
