time,Atlanta,pts.away,score,pts.home,Phoenix
8:18.0,,,6-9,3,P. Tucker makes 3-pt shot from 23 ft (assist by T. Chandler)
8:02.0,T. Splitter misses 2-pt shot from 1 ft,,6-9,,
8:00.0,,,6-9,,Defensive rebound by A. Len
7:54.0,,,6-9,,A. Len misses 2-pt shot from 17 ft
7:51.0,Defensive rebound by K. Bazemore,,6-9,,
7:43.0,J. Teague misses 3-pt shot from 25 ft,,6-9,,
7:40.0,,,6-9,,Defensive rebound by T. Chandler
7:17.0,,,6-12,3,A. Goodwin makes 3-pt shot from 25 ft (assist by A. Len)
7:04.0,K. Bazemore misses 2-pt shot from 18 ft,,6-12,,
7:02.0,,,6-12,,Defensive rebound by D. Booker
6:58.0,,,6-14,2,D. Booker makes 2-pt shot from 1 ft
6:56.0,Atlanta full timeout,,6-14,,
6:56.0,M. Scott enters the game for K. Bazemore,,6-14,,
6:56.0,T. Sefolosha enters the game for T. Splitter,,6-14,,
6:36.0,T. Sefolosha misses 2-pt shot at rim,,6-14,,
6:34.0,Offensive rebound by A. Horford,,6-14,,
6:34.0,A. Horford misses 2-pt shot at rim,,6-14,,
6:32.0,,,6-14,,Defensive rebound by A. Len
6:09.0,,,6-14,,A. Len misses 2-pt shot from 7 ft
6:07.0,Defensive rebound by A. Horford,,6-14,,
6:03.0,M. Scott misses 2-pt shot at rim (block by T. Chandler),,6-14,,
6:00.0,,,6-14,,Defensive rebound by Team
5:38.0,,,6-14,,A. Goodwin misses 2-pt shot from 3 ft
5:37.0,,,6-14,,Offensive rebound by T. Chandler
5:37.0,,,6-14,,T. Chandler misses 2-pt shot at rim
5:35.0,Defensive rebound by M. Scott,,6-14,,
5:29.0,Shooting foul by D. Booker (drawn by A. Horford),,6-14,,
5:29.0,A. Horford makes free throw 1 of 2,1,7-14,,
5:29.0,A. Horford misses free throw 2 of 2,,7-14,,
5:29.0,Offensive rebound by M. Scott,,7-14,,
5:26.0,K. Korver makes 2-pt shot from 10 ft,2,9-14,,
5:15.0,,,9-14,,Turnover by A. Goodwin (bad pass; steal by J. Teague)
5:11.0,J. Teague makes 2-pt shot at rim,2,11-14,,
5:10.0,,,11-14,,Phoenix full timeout
5:00.0,,,11-14,,Offensive foul by T. Chandler
5:00.0,,,11-14,,Turnover by T. Chandler (offensive foul)
4:48.0,T. Sefolosha makes 2-pt shot from 18 ft,2,13-14,,
4:33.0,,,13-16,2,D. Booker makes 2-pt shot from 14 ft (assist by T. Chandler)
4:22.0,A. Horford misses 2-pt shot at rim (block by T. Chandler),,13-16,,
4:20.0,Offensive rebound by A. Horford,,13-16,,
4:20.0,A. Horford makes 2-pt shot at rim,2,15-16,,
3:56.0,,,15-18,2,A. Len makes 2-pt shot from 10 ft
3:46.0,A. Horford misses 3-pt shot from 25 ft,,15-18,,
3:46.0,,,15-18,,Defensive rebound by T. Chandler
3:31.0,,,15-18,,P. Tucker misses 2-pt shot from 1 ft
3:30.0,Defensive rebound by Team,,15-18,,
3:30.0,,,15-18,,T. Warren enters the game for P. Tucker
3:30.0,,,15-18,,M. Teletovic enters the game for T. Chandler
3:30.0,D. Schroder enters the game for A. Horford,,15-18,,
3:30.0,E. Tavares enters the game for K. Korver,,15-18,,
3:30.0,K. Bazemore enters the game for J. Teague,,15-18,,
3:08.0,M. Scott makes 2-pt shot from 1 ft (assist by E. Tavares),2,17-18,,
2:59.0,,,17-18,,Shooting foul by E. Tavares (drawn by A. Goodwin)
2:59.0,,,17-19,1,A. Goodwin makes free throw 1 of 2
2:59.0,,,17-20,1,A. Goodwin makes free throw 2 of 2
2:38.0,Turnover by K. Bazemore (lost ball; steal by M. Teletovic),,17-20,,
2:33.0,,,17-20,,T. Warren misses 2-pt shot from 1 ft (block by D. Schroder)
2:33.0,,,17-20,,Offensive rebound by Team
2:20.0,Violation by M. Scott (kicked ball),,17-20,,
2:14.0,,,17-20,,D. Booker misses 3-pt shot from 23 ft
2:13.0,Defensive rebound by T. Sefolosha,,17-20,,
2:04.0,M. Scott makes 3-pt shot from 26 ft (assist by T. Sefolosha),3,20-20,,
1:48.0,,,20-20,,Turnover by A. Len (bad pass; steal by T. Sefolosha)
1:44.0,K. Bazemore makes 2-pt shot at rim (assist by D. Schroder),2,22-20,,
1:44.0,Shooting foul by D. Booker (drawn by K. Bazemore),,22-20,,
1:44.0,,,22-20,,T. Chandler enters the game for A. Len
1:44.0,K. Bazemore makes free throw 1 of 1,1,23-20,,
1:32.0,,,23-20,,T. Warren misses 2-pt shot from 18 ft
1:32.0,Defensive rebound by T. Sefolosha,,23-20,,
1:24.0,Turnover by D. Schroder (lost ball; steal by M. Teletovic),,23-20,,
1:16.0,,,23-23,3,D. Booker makes 3-pt shot from 23 ft (assist by A. Goodwin)
0:51.0,T. Sefolosha misses 2-pt shot from 2 ft,,23-23,,
0:49.0,,,23-23,,Defensive rebound by M. Teletovic
0:41.0,,,23-26,3,M. Teletovic makes 3-pt shot from 24 ft (assist by D. Booker)
0:30.0,D. Schroder misses 3-pt shot from 25 ft,,23-26,,
0:29.0,,,23-26,,Defensive rebound by M. Teletovic
0:08.0,,,23-26,,A. Goodwin misses 2-pt shot from 19 ft
0:06.0,,,23-26,,Offensive rebound by T. Chandler
0:04.0,,,23-26,,D. Booker misses 3-pt shot from 25 ft
0:03.0,,,23-26,,Offensive rebound by T. Chandler
0:02.0,,,23-29,3,D. Booker makes 3-pt shot from 26 ft (assist by T. Chandler)
0:00.0,T. Sefolosha misses 3-pt shot from 36 ft,,23-29,,
0:00.0,Offensive rebound by Team,,23-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,23-29,,T. Warren misses 2-pt shot from 13 ft
11:33.0,,,23-29,,Offensive rebound by T. Chandler
11:24.0,,,23-29,,M. Teletovic misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by A. Horford,,23-29,,
11:14.0,Turnover by A. Horford (bad pass; steal by T. Warren),,23-29,,
10:58.0,,,23-31,2,L. Brown makes 2-pt shot from 4 ft
10:58.0,,,23-31,,Shooting foul by D. Schroder (drawn by L. Brown)
10:58.0,T. Splitter enters the game for E. Tavares,,23-31,,
10:58.0,,,23-31,,L. Brown misses free throw 1 of 1
10:57.0,Defensive rebound by A. Horford,,23-31,,
10:42.0,,,23-31,,Personal foul by M. Teletovic (drawn by D. Schroder)
10:42.0,,,23-31,,S. Weems enters the game for D. Booker
10:34.0,D. Schroder makes 2-pt shot from 16 ft,2,25-31,,
10:15.0,,,25-31,,L. Brown misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by A. Horford,,25-31,,
9:53.0,D. Schroder makes 3-pt shot from 25 ft (assist by T. Splitter),3,28-31,,
9:32.0,,,28-34,3,M. Teletovic makes 3-pt shot from 25 ft (assist by S. Weems)
9:16.0,T. Hardaway misses 3-pt shot from 24 ft,,28-34,,
9:15.0,,,28-34,,Defensive rebound by M. Teletovic
9:06.0,,,28-34,,L. Brown misses 2-pt shot from 10 ft
9:06.0,,,28-34,,Offensive rebound by T. Chandler
9:06.0,,,28-34,,Shooting foul by T. Splitter (drawn by T. Chandler)
9:06.0,,,28-34,,T. Chandler misses free throw 1 of 2
9:06.0,,,28-34,,Offensive rebound by Team
9:06.0,K. Korver enters the game for T. Sefolosha,,28-34,,
9:06.0,,,28-35,1,T. Chandler makes free throw 2 of 2
8:53.0,D. Schroder makes 3-pt shot from 26 ft (assist by T. Hardaway),3,31-35,,
8:30.0,,,31-37,2,T. Chandler makes 2-pt shot at rim (assist by L. Brown)
8:16.0,Turnover by A. Horford (bad pass; steal by L. Brown),,31-37,,
8:12.0,,,31-39,2,T. Warren makes 2-pt shot at rim (assist by L. Brown)
7:52.0,Turnover by D. Schroder (bad pass; steal by T. Chandler),,31-39,,
7:48.0,,,31-39,,Turnover by T. Chandler (bad pass; steal by A. Horford)
7:40.0,T. Splitter makes 2-pt shot from 1 ft (assist by A. Horford),2,33-39,,
7:24.0,,,33-41,2,T. Warren makes 2-pt shot from 10 ft (assist by L. Brown)
7:23.0,Atlanta full timeout,,33-41,,
7:23.0,J. Teague enters the game for A. Horford,,33-41,,
7:23.0,M. Scott enters the game for T. Hardaway,,33-41,,
7:08.0,M. Scott makes 2-pt shot from 6 ft (assist by K. Korver),2,35-41,,
6:49.0,,,35-41,,M. Teletovic misses 3-pt shot from 26 ft
6:49.0,Defensive rebound by Team,,35-41,,
6:48.0,K. Bazemore enters the game for D. Schroder,,35-41,,
6:35.0,J. Teague misses 3-pt shot from 25 ft,,35-41,,
6:35.0,,,35-41,,Defensive rebound by T. Warren
6:14.0,,,35-41,,Offensive charge foul by M. Teletovic
6:14.0,,,35-41,,Turnover by M. Teletovic (offensive foul)
6:14.0,,,35-41,,P. Tucker enters the game for M. Teletovic
6:14.0,,,35-41,,A. Goodwin enters the game for L. Brown
6:00.0,J. Teague misses 2-pt shot at rim (block by T. Warren),,35-41,,
6:00.0,Offensive rebound by Team,,35-41,,
5:48.0,M. Scott makes 2-pt shot from 15 ft (assist by J. Teague),2,37-41,,
5:30.0,,,37-41,,T. Warren misses 2-pt shot from 8 ft
5:29.0,Defensive rebound by M. Scott,,37-41,,
5:19.0,M. Scott makes 2-pt shot at rim (assist by T. Splitter),2,39-41,,
4:52.0,,,39-41,,A. Goodwin misses 3-pt shot from 26 ft
4:51.0,,,39-41,,Offensive rebound by T. Chandler
4:35.0,,,39-41,,A. Goodwin misses 2-pt shot at rim
4:34.0,,,39-41,,Offensive rebound by P. Tucker
4:32.0,,,39-41,,P. Tucker misses 2-pt shot from 4 ft (block by M. Scott)
4:30.0,Defensive rebound by T. Splitter,,39-41,,
4:28.0,,,39-41,,Personal take foul by S. Weems (drawn by M. Scott)
4:28.0,Official timeout,,39-41,,
4:28.0,,,39-41,,D. Booker enters the game for T. Warren
4:28.0,,,39-41,,A. Len enters the game for S. Weems
4:28.0,A. Horford enters the game for T. Splitter,,39-41,,
4:12.0,Turnover by J. Teague (bad pass),,39-41,,
3:50.0,,,39-41,,P. Tucker misses 2-pt shot from 5 ft
3:50.0,,,39-41,,Offensive rebound by Team
3:49.0,,,39-41,,D. Booker misses 2-pt shot from 3 ft
3:49.0,,,39-41,,Offensive rebound by T. Chandler
3:49.0,,,39-41,,T. Chandler misses 2-pt shot from 2 ft
3:47.0,,,39-41,,Offensive rebound by T. Chandler
3:47.0,,,39-41,,Shooting foul by M. Scott (drawn by T. Chandler)
3:47.0,,,39-42,1,T. Chandler makes free throw 1 of 2
3:47.0,,,39-43,1,T. Chandler makes free throw 2 of 2
3:26.0,K. Bazemore misses 2-pt shot from 6 ft,,39-43,,
3:25.0,,,39-43,,Defensive rebound by P. Tucker
3:21.0,,,39-43,,Turnover by P. Tucker (discontinued dribble)
3:01.0,Turnover by K. Korver (traveling),,39-43,,
2:48.0,,,39-43,,D. Booker misses 2-pt shot from 19 ft
2:46.0,Defensive rebound by K. Korver,,39-43,,
2:39.0,Turnover by J. Teague (bad pass; steal by P. Tucker),,39-43,,
2:37.0,,,39-43,,Shooting foul by K. Korver (drawn by P. Tucker)
2:37.0,,,39-43,,Phoenix full timeout
2:37.0,T. Sefolosha enters the game for K. Korver,,39-43,,
2:37.0,,,39-43,,P. Tucker misses free throw 1 of 2
2:37.0,,,39-43,,Offensive rebound by Team
2:37.0,,,39-44,1,P. Tucker makes free throw 2 of 2
2:23.0,T. Sefolosha misses 2-pt shot from 16 ft,,39-44,,
2:22.0,,,39-44,,Defensive rebound by T. Chandler
2:09.0,,,39-44,,Turnover by A. Goodwin (bad pass; steal by T. Sefolosha)
2:02.0,M. Scott misses 2-pt shot at rim,,39-44,,
2:00.0,,,39-44,,Defensive rebound by A. Len
1:43.0,,,39-44,,P. Tucker misses 2-pt shot from 3 ft
1:42.0,,,39-44,,Offensive rebound by T. Chandler
1:42.0,,,39-44,,T. Chandler misses 2-pt shot from 1 ft
1:41.0,Defensive rebound by A. Horford,,39-44,,
1:40.0,,,39-44,,Personal foul by T. Chandler (drawn by A. Horford)
1:29.0,J. Teague misses 2-pt shot from 5 ft,,39-44,,
1:29.0,,,39-44,,Defensive rebound by Team
1:29.0,Loose ball foul by M. Scott (drawn by T. Chandler),,39-44,,
1:29.0,,,39-45,1,T. Chandler makes free throw 1 of 2
1:29.0,,,39-46,1,T. Chandler makes free throw 2 of 2
1:14.0,J. Teague misses 2-pt shot from 12 ft,,39-46,,
1:12.0,Offensive rebound by T. Sefolosha,,39-46,,
1:08.0,A. Horford misses 2-pt shot from 21 ft,,39-46,,
1:08.0,,,39-46,,Defensive rebound by A. Goodwin
0:56.0,,,39-46,,Shooting foul by J. Teague (drawn by A. Goodwin)
0:56.0,,,39-47,1,A. Goodwin makes free throw 1 of 2
0:56.0,K. Korver enters the game for K. Bazemore,,39-47,,
0:56.0,,,39-48,1,A. Goodwin makes free throw 2 of 2
0:41.0,M. Scott misses 3-pt shot from 25 ft,,39-48,,
0:41.0,,,39-48,,Defensive rebound by T. Chandler
0:17.0,,,39-48,,D. Booker misses 2-pt shot from 20 ft
0:17.0,Defensive rebound by M. Scott,,39-48,,
0:04.0,J. Teague misses 2-pt shot from 3 ft,,39-48,,
0:03.0,,,39-48,,Defensive rebound by T. Chandler
0:01.0,,,39-48,,P. Tucker misses 3-pt shot from 30 ft
0:00.0,,,39-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,39-50,2,A. Len makes 2-pt shot at rim (assist by P. Tucker)
11:25.0,K. Bazemore misses 2-pt shot from 1 ft,,39-50,,
11:23.0,,,39-50,,Defensive rebound by T. Chandler
11:22.0,,,39-50,,Shooting foul by J. Teague (drawn by A. Goodwin)
11:22.0,,,39-51,1,A. Goodwin makes free throw 1 of 2
11:22.0,,,39-52,1,A. Goodwin makes free throw 2 of 2
11:11.0,J. Teague makes 2-pt shot from 11 ft,2,41-52,,
10:44.0,,,41-52,,T. Chandler misses 2-pt shot from 1 ft
10:43.0,Defensive rebound by T. Splitter,,41-52,,
10:37.0,Turnover by J. Teague (bad pass; steal by A. Goodwin),,41-52,,
10:34.0,,,41-52,,D. Booker misses 2-pt shot from 2 ft (block by J. Teague)
10:34.0,Defensive rebound by Team,,41-52,,
10:23.0,Turnover by J. Teague (lost ball),,41-52,,
10:03.0,,,41-52,,T. Chandler misses 2-pt shot from 13 ft
10:03.0,Defensive rebound by A. Horford,,41-52,,
9:51.0,K. Bazemore misses 3-pt shot from 23 ft,,41-52,,
9:51.0,,,41-52,,Defensive rebound by T. Chandler
9:40.0,,,41-54,2,A. Goodwin makes 2-pt shot from 19 ft
9:24.0,K. Bazemore misses 3-pt shot from 25 ft,,41-54,,
9:24.0,,,41-54,,Defensive rebound by A. Len
9:13.0,,,41-54,,Shooting foul by K. Bazemore (drawn by A. Len)
9:13.0,,,41-55,1,A. Len makes free throw 1 of 2
9:13.0,M. Scott enters the game for T. Splitter,,41-55,,
9:13.0,,,41-56,1,A. Len makes free throw 2 of 2
9:00.0,M. Scott makes 3-pt shot from 23 ft (assist by J. Teague),3,44-56,,
8:42.0,,,44-56,,A. Goodwin misses 2-pt shot from 21 ft
8:40.0,Defensive rebound by K. Korver,,44-56,,
8:32.0,K. Bazemore makes 3-pt shot from 23 ft (assist by J. Teague),3,47-56,,
8:32.0,,,47-56,,Phoenix full timeout
8:31.0,,,47-56,,Turnover by D. Booker (bad pass)
8:28.0,K. Bazemore makes 2-pt shot from 1 ft (assist by K. Korver),2,49-56,,
8:18.0,,,49-56,,Turnover by A. Len (offensive foul)
8:18.0,,,49-56,,Offensive foul by A. Len
8:01.0,Turnover by K. Bazemore (bad pass; steal by D. Booker),,49-56,,
7:52.0,,,49-59,3,P. Tucker makes 3-pt shot from 23 ft (assist by A. Goodwin)
7:40.0,K. Korver misses 2-pt shot from 22 ft,,49-59,,
7:40.0,Offensive rebound by A. Horford,,49-59,,
7:31.0,J. Teague makes 3-pt shot from 24 ft (assist by M. Scott),3,52-59,,
7:12.0,,,52-59,,D. Booker misses 2-pt shot from 8 ft
7:12.0,Defensive rebound by K. Korver,,52-59,,
6:59.0,J. Teague misses 3-pt shot from 24 ft,,52-59,,
6:58.0,,,52-59,,Defensive rebound by A. Len
6:44.0,,,52-59,,Turnover by A. Goodwin (lost ball; steal by J. Teague)
6:36.0,K. Korver misses 3-pt shot from 24 ft,,52-59,,
6:35.0,,,52-59,,Defensive rebound by A. Len
6:12.0,,,52-59,,Shooting foul by J. Teague (drawn by A. Len)
6:12.0,,,52-60,1,A. Len makes free throw 1 of 2
6:12.0,T. Sefolosha enters the game for K. Bazemore,,52-60,,
6:12.0,,,52-61,1,A. Len makes free throw 2 of 2
5:51.0,M. Scott makes 2-pt shot from 5 ft (assist by K. Korver),2,54-61,,
5:31.0,,,54-61,,Turnover by D. Booker (bad pass)
5:31.0,D. Schroder enters the game for J. Teague,,54-61,,
5:31.0,K. Bazemore enters the game for K. Korver,,54-61,,
5:10.0,K. Bazemore misses 2-pt shot from 2 ft,,54-61,,
5:09.0,,,54-61,,Defensive rebound by P. Tucker
4:53.0,,,54-61,,Turnover by A. Len (bad pass)
4:44.0,T. Sefolosha misses 2-pt shot from 6 ft (block by P. Tucker),,54-61,,
4:43.0,,,54-61,,Defensive rebound by A. Len
4:32.0,,,54-63,2,A. Len makes 2-pt shot from 9 ft (assist by A. Goodwin)
4:17.0,D. Schroder makes 2-pt shot at rim,2,56-63,,
4:11.0,,,56-63,,D. Booker misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by K. Bazemore,,56-63,,
3:52.0,M. Scott misses 2-pt shot at rim,,56-63,,
3:51.0,Offensive rebound by D. Schroder,,56-63,,
3:48.0,A. Horford misses 3-pt shot from 23 ft,,56-63,,
3:47.0,,,56-63,,Defensive rebound by A. Len
3:31.0,,,56-63,,P. Tucker misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by K. Bazemore,,56-63,,
3:25.0,Atlanta full timeout,,56-63,,
3:25.0,,,56-63,,T. Warren enters the game for A. Len
3:25.0,,,56-63,,M. Teletovic enters the game for D. Booker
3:25.0,T. Splitter enters the game for K. Bazemore,,56-63,,
3:25.0,T. Hardaway enters the game for A. Horford,,56-63,,
3:09.0,Shooting foul by T. Chandler (drawn by T. Sefolosha),,56-63,,
3:09.0,T. Sefolosha makes free throw 1 of 2,1,57-63,,
3:09.0,T. Sefolosha makes free throw 2 of 2,1,58-63,,
2:55.0,,,58-65,2,T. Warren makes 2-pt shot from 18 ft
2:42.0,Turnover by D. Schroder (bad pass),,58-65,,
2:28.0,,,58-65,,Shooting foul by T. Hardaway (drawn by A. Goodwin)
2:28.0,,,58-66,1,A. Goodwin makes free throw 1 of 2
2:28.0,,,58-67,1,A. Goodwin makes free throw 2 of 2
2:17.0,Turnover by T. Hardaway (traveling),,58-67,,
2:05.0,,,58-67,,Shooting foul by D. Schroder (drawn by T. Chandler)
2:05.0,,,58-67,,T. Chandler misses free throw 1 of 2
2:05.0,,,58-67,,Offensive rebound by Team
2:05.0,,,58-67,,T. Chandler misses free throw 2 of 2
2:04.0,Defensive rebound by T. Sefolosha,,58-67,,
1:45.0,T. Sefolosha misses 2-pt shot from 3 ft,,58-67,,
1:44.0,,,58-67,,Defensive rebound by P. Tucker
1:30.0,,,58-67,,Shooting foul by T. Splitter (drawn by T. Chandler)
1:30.0,,,58-68,1,T. Chandler makes free throw 1 of 2
1:30.0,A. Horford enters the game for M. Scott,,58-68,,
1:30.0,,,58-69,1,T. Chandler makes free throw 2 of 2
1:21.0,D. Schroder makes 2-pt shot from 17 ft,2,60-69,,
0:58.0,,,60-72,3,P. Tucker makes 3-pt shot from 23 ft (assist by T. Warren)
0:48.0,D. Schroder misses 2-pt shot from 12 ft (block by A. Goodwin),,60-72,,
0:47.0,Offensive rebound by T. Splitter,,60-72,,
0:44.0,T. Splitter misses 2-pt shot from 4 ft,,60-72,,
0:43.0,,,60-72,,Defensive rebound by T. Chandler
0:32.0,,,60-72,,Turnover by T. Warren (traveling)
0:32.0,K. Korver enters the game for T. Splitter,,60-72,,
0:32.0,,,60-72,,S. Weems enters the game for M. Teletovic
0:28.0,A. Horford makes 2-pt shot at rim (assist by D. Schroder),2,62-72,,
0:07.0,,,62-72,,A. Goodwin misses 2-pt shot from 1 ft
0:06.0,,,62-72,,Offensive rebound by T. Chandler
0:06.0,,,62-74,2,T. Chandler makes 2-pt shot at rim
0:01.0,Shooting foul by S. Weems (drawn by T. Sefolosha),,62-74,,
0:01.0,T. Sefolosha makes free throw 1 of 2,1,63-74,,
0:01.0,,,63-74,,A. Len enters the game for S. Weems
0:01.0,,,63-74,,Violation by Team (delay of game)
0:01.0,T. Sefolosha makes free throw 2 of 2,1,64-74,,
0:01.0,,,64-74,,T. Warren misses 3-pt shot from 47 ft
0:00.0,,,64-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,A. Horford misses 3-pt shot from 25 ft,,64-74,,
11:44.0,,,64-74,,Defensive rebound by P. Tucker
11:34.0,,,64-74,,Turnover by T. Warren (lost ball; steal by T. Sefolosha)
11:30.0,Shooting foul by P. Tucker (drawn by D. Schroder),,64-74,,
11:30.0,D. Schroder makes free throw 1 of 2,1,65-74,,
11:30.0,D. Schroder makes free throw 2 of 2,1,66-74,,
11:09.0,,,66-74,,A. Goodwin enters the game for L. Brown
11:04.0,,,66-74,,A. Goodwin misses 2-pt shot from 18 ft
11:03.0,Defensive rebound by A. Horford,,66-74,,
10:59.0,Shooting foul by A. Len (drawn by T. Sefolosha),,66-74,,
10:59.0,T. Sefolosha makes free throw 1 of 2,1,67-74,,
10:59.0,T. Sefolosha makes free throw 2 of 2,1,68-74,,
10:38.0,,,68-74,,A. Len misses 2-pt shot from 18 ft
10:37.0,Defensive rebound by A. Horford,,68-74,,
10:28.0,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder),3,71-74,,
10:15.0,,,71-74,,M. Teletovic misses 3-pt shot from 24 ft
10:15.0,Defensive rebound by T. Sefolosha,,71-74,,
10:02.0,T. Sefolosha misses 3-pt shot from 23 ft,,71-74,,
10:02.0,Offensive rebound by A. Horford,,71-74,,
9:59.0,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford),3,74-74,,
9:59.0,,,74-74,,Phoenix full timeout
9:59.0,,,74-74,,T. Chandler enters the game for M. Teletovic
9:59.0,,,74-74,,D. Booker enters the game for T. Warren
9:41.0,,,74-74,,A. Goodwin misses 2-pt shot at rim
9:40.0,,,74-74,,Offensive rebound by A. Len
9:34.0,,,74-74,,D. Booker misses 3-pt shot from 26 ft
9:33.0,Defensive rebound by A. Horford,,74-74,,
9:27.0,K. Korver misses 3-pt shot from 24 ft,,74-74,,
9:26.0,,,74-74,,Defensive rebound by A. Len
9:09.0,,,74-77,3,D. Booker makes 3-pt shot from 25 ft (assist by A. Len)
8:47.0,T. Sefolosha misses 3-pt shot from 24 ft,,74-77,,
8:46.0,,,74-77,,Defensive rebound by A. Len
8:24.0,,,74-77,,A. Len misses 2-pt shot from 12 ft
8:24.0,Defensive rebound by T. Sefolosha,,74-77,,
8:06.0,D. Schroder misses 3-pt shot from 24 ft,,74-77,,
8:05.0,,,74-77,,Defensive rebound by A. Len
7:51.0,,,74-77,,Turnover by P. Tucker (traveling)
7:51.0,M. Scott enters the game for T. Sefolosha,,74-77,,
7:51.0,K. Bazemore enters the game for D. Schroder,,74-77,,
7:51.0,J. Teague enters the game for T. Hardaway,,74-77,,
7:37.0,,,74-77,,Personal foul by D. Booker (drawn by K. Bazemore)
7:22.0,K. Bazemore makes 3-pt shot from 23 ft (assist by A. Horford),3,77-77,,
7:08.0,,,77-79,2,A. Goodwin makes 2-pt shot at rim
6:56.0,Offensive charge foul by J. Teague,,77-79,,
6:56.0,Turnover by J. Teague (offensive foul),,77-79,,
6:40.0,Personal foul by J. Teague (drawn by A. Goodwin),,77-79,,
6:40.0,T. Sefolosha enters the game for A. Horford,,77-79,,
6:30.0,,,77-81,2,A. Len makes 2-pt shot from 4 ft (assist by P. Tucker)
6:16.0,J. Teague misses 3-pt shot from 24 ft,,77-81,,
6:16.0,Offensive rebound by T. Sefolosha,,77-81,,
6:07.0,K. Bazemore misses 3-pt shot from 24 ft,,77-81,,
6:07.0,,,77-81,,Defensive rebound by T. Chandler
5:41.0,,,77-83,2,P. Tucker makes 2-pt shot from 1 ft
5:34.0,Atlanta full timeout,,77-83,,
5:34.0,A. Horford enters the game for J. Teague,,77-83,,
5:34.0,D. Schroder enters the game for T. Sefolosha,,77-83,,
5:27.0,K. Korver misses 2-pt shot from 18 ft,,77-83,,
5:27.0,,,77-83,,Defensive rebound by T. Chandler
5:10.0,,,77-85,2,D. Booker makes 2-pt shot from 19 ft (assist by A. Len)
4:49.0,K. Bazemore makes 2-pt shot from 2 ft (assist by A. Horford),2,79-85,,
4:37.0,,,79-85,,Turnover by D. Booker (bad pass; steal by D. Schroder)
4:34.0,Shooting foul by D. Booker (drawn by D. Schroder),,79-85,,
4:34.0,D. Schroder makes free throw 1 of 2,1,80-85,,
4:34.0,T. Sefolosha enters the game for K. Korver,,80-85,,
4:34.0,D. Schroder makes free throw 2 of 2,1,81-85,,
4:16.0,,,81-87,2,A. Goodwin makes 2-pt shot from 1 ft
4:16.0,,,81-87,,Shooting foul by K. Bazemore (drawn by A. Goodwin)
4:16.0,K. Korver enters the game for T. Sefolosha,,81-87,,
4:16.0,,,81-87,,A. Goodwin misses free throw 1 of 1
4:15.0,Defensive rebound by A. Horford,,81-87,,
4:01.0,A. Horford misses 2-pt shot from 3 ft,,81-87,,
3:58.0,,,81-87,,Defensive rebound by T. Chandler
