time,Sacramento,pts.away,score,pts.home,LA Lakers
11:24.0,M. Belinelli misses 2-pt shot from 7 ft (block by L. Williams),,81-67,,
11:24.0,Offensive rebound by Team,,81-67,,
11:16.0,O. Casspi misses 2-pt shot from 7 ft,,81-67,,
11:13.0,,,81-67,,Defensive rebound by L. Nance
11:04.0,,,81-67,,Turnover by L. Nance (lost ball; steal by O. Casspi)
11:00.0,D. Collison misses 2-pt shot from 2 ft (block by M. Huertas),,81-67,,
10:56.0,,,81-67,,Defensive rebound by L. Nance
10:48.0,,,81-69,2,R. Sacre makes 2-pt shot from 10 ft
10:33.0,Shooting foul by L. Williams (drawn by M. Belinelli),,81-69,,
10:33.0,M. Belinelli makes free throw 1 of 2,1,82-69,,
10:33.0,M. Belinelli makes free throw 2 of 2,1,83-69,,
10:19.0,,,83-72,3,L. Williams makes 3-pt shot from 24 ft (assist by R. Sacre)
10:07.0,O. Casspi misses 2-pt shot from 5 ft,,83-72,,
10:04.0,,,83-72,,Defensive rebound by L. Nance
9:46.0,,,83-74,2,M. Huertas makes 2-pt shot from 10 ft
9:26.0,M. Belinelli misses 2-pt shot from 16 ft,,83-74,,
9:25.0,,,83-74,,Defensive rebound by M. Huertas
9:07.0,,,83-74,,Turnover by M. Huertas (lost ball; steal by M. Belinelli)
9:04.0,O. Casspi makes 2-pt shot from 1 ft (assist by M. Belinelli),2,85-74,,
9:04.0,Shooting foul by L. Williams (drawn by O. Casspi),,85-74,,
9:04.0,O. Casspi makes free throw 1 of 1,1,86-74,,
8:45.0,,,86-74,,Shooting foul by M. Belinelli (drawn by L. Williams)
8:45.0,Official timeout,,86-74,,
8:45.0,R. Gay enters the game for W. Cauley-Stein,,86-74,,
8:45.0,,,86-75,1,L. Williams makes free throw 1 of 2
8:45.0,,,86-76,1,L. Williams makes free throw 2 of 2
8:31.0,M. Belinelli makes 2-pt shot from 20 ft (assist by D. Collison),2,88-76,,
8:10.0,,,88-76,,L. Williams misses 3-pt shot from 27 ft
8:09.0,Defensive rebound by D. Collison,,88-76,,
7:50.0,O. Casspi misses 3-pt shot from 25 ft,,88-76,,
7:48.0,Offensive rebound by M. Belinelli,,88-76,,
7:40.0,Turnover by M. Belinelli (lost ball; steal by L. Williams),,88-76,,
7:34.0,,,88-76,,M. Huertas misses 2-pt shot from 3 ft
7:32.0,Defensive rebound by R. Gay,,88-76,,
7:23.0,R. Gay misses 2-pt shot from 9 ft,,88-76,,
7:20.0,,,88-76,,Defensive rebound by L. Nance
7:11.0,,,88-76,,L. Williams misses 2-pt shot from 17 ft
7:08.0,Defensive rebound by O. Casspi,,88-76,,
7:03.0,O. Casspi makes 2-pt shot from 3 ft (assist by D. Collison),2,90-76,,
6:41.0,,,90-76,,Turnover by M. Huertas (lost ball; steal by O. Casspi)
6:39.0,O. Casspi makes 2-pt shot at rim (assist by D. Collison),2,92-76,,
6:39.0,,,92-76,,LA Lakers full timeout
6:39.0,,,92-76,,D. Russell enters the game for M. Huertas
6:39.0,D. Cousins enters the game for K. Koufos,,92-76,,
6:30.0,,,92-78,2,L. Nance makes 2-pt shot from 15 ft (assist by R. Sacre)
6:11.0,M. Belinelli misses 2-pt shot from 15 ft,,92-78,,
6:09.0,,,92-78,,Defensive rebound by L. Nance
6:01.0,,,92-78,,Turnover by D. Russell (lost ball; steal by O. Casspi)
5:57.0,Turnover by D. Collison (step out of bounds),,92-78,,
5:57.0,,,92-78,,J. Randle enters the game for R. Kelly
5:48.0,,,92-80,2,D. Russell makes 2-pt shot from 15 ft
5:31.0,D. Cousins makes 2-pt shot from 19 ft (assist by D. Collison),2,94-80,,
5:20.0,,,94-82,2,D. Russell makes 2-pt shot from 11 ft
5:10.0,O. Casspi misses 2-pt shot from 2 ft,,94-82,,
5:06.0,,,94-82,,Defensive rebound by J. Randle
5:02.0,,,94-84,2,L. Nance makes 2-pt shot at rim (assist by J. Randle)
5:00.0,Sacramento full timeout,,94-84,,
