time,Golden State,pts.away,score,pts.home,Philadelphia
4:34.0,,,20-17,,J. Grant misses 2-pt shot from 3 ft (block by A. Bogut)
4:31.0,Defensive rebound by H. Barnes,,20-17,,
4:24.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,23-17,,
4:05.0,,,23-17,,H. Thompson misses 2-pt shot from 6 ft
4:02.0,Defensive rebound by D. Green,,23-17,,
3:58.0,K. Thompson misses 3-pt shot from 25 ft,,23-17,,
3:55.0,,,23-17,,Defensive rebound by I. Smith
3:45.0,,,23-17,,N. Stauskas misses 3-pt shot from 25 ft
3:44.0,,,23-17,,Offensive rebound by N. Noel
3:41.0,,,23-17,,Turnover by N. Noel (lost ball; steal by H. Barnes)
3:36.0,K. Thompson makes 2-pt shot at rim (assist by D. Green),2,25-17,,
3:28.0,,,25-17,,Philadelphia full timeout
3:28.0,B. Rush enters the game for K. Thompson,,25-17,,
3:28.0,L. Barbosa enters the game for H. Barnes,,25-17,,
3:28.0,,,25-17,,I. Canaan enters the game for J. Grant
3:28.0,,,25-17,,J. Okafor enters the game for N. Noel
3:28.0,,,25-17,,T. McConnell enters the game for N. Stauskas
3:28.0,,,25-17,,R. Covington enters the game for I. Smith
3:11.0,,,25-19,2,T. McConnell makes 2-pt shot from 13 ft
2:56.0,S. Curry makes 2-pt shot from 4 ft (assist by D. Green),2,27-19,,
2:39.0,,,27-19,,R. Covington misses 2-pt shot from 3 ft (block by S. Curry)
2:37.0,,,27-19,,Offensive rebound by R. Covington
2:36.0,,,27-21,2,R. Covington makes 2-pt shot from 3 ft
2:29.0,D. Green makes 2-pt shot from 1 ft (assist by L. Barbosa),2,29-21,,
2:29.0,Shooting foul by R. Covington (drawn by D. Green),,29-21,,
2:29.0,M. Speights enters the game for A. Bogut,,29-21,,
2:29.0,D. Green misses free throw 1 of 1,,29-21,,
2:27.0,,,29-21,,Defensive rebound by R. Covington
2:14.0,,,29-23,2,J. Okafor makes 2-pt shot from 7 ft
1:52.0,S. Curry makes 3-pt shot from 23 ft (assist by D. Green),3,32-23,,
1:33.0,,,32-23,,H. Thompson misses 3-pt shot from 23 ft
1:32.0,Defensive rebound by M. Speights,,32-23,,
1:28.0,D. Green makes 2-pt shot at rim (assist by L. Barbosa),2,34-23,,
1:09.0,,,34-23,,T. McConnell misses 2-pt shot from 2 ft (block by B. Rush)
1:06.0,,,34-23,,Offensive rebound by I. Canaan
1:05.0,,,34-26,3,I. Canaan makes 3-pt shot from 26 ft
0:54.0,Turnover by S. Curry (lost ball; steal by I. Canaan),,34-26,,
0:51.0,,,34-26,,I. Canaan misses 2-pt shot from 1 ft
0:48.0,Defensive rebound by M. Speights,,34-26,,
0:42.0,Turnover by D. Green (bad pass; steal by T. McConnell),,34-26,,
0:37.0,,,34-26,,T. McConnell misses 2-pt shot from 2 ft
0:35.0,,,34-26,,Offensive rebound by H. Thompson
0:35.0,,,34-28,2,H. Thompson makes 2-pt shot from 1 ft
0:26.0,S. Curry misses 3-pt shot from 25 ft,,34-28,,
0:26.0,,,34-28,,Defensive rebound by Team
0:04.0,,,34-28,,Offensive charge foul by J. Okafor
0:04.0,,,34-28,,Turnover by J. Okafor (offensive foul)
0:00.0,B. Rush misses 3-pt shot from 30 ft,,34-28,,
0:00.0,Offensive rebound by Team,,34-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,M. Speights makes 2-pt shot from 1 ft (assist by B. Rush),2,36-28,,
11:37.0,,,36-31,3,I. Canaan makes 3-pt shot from 25 ft (assist by T. McConnell)
11:13.0,M. Speights makes 2-pt shot at rim (assist by H. Barnes),2,38-31,,
10:57.0,Shooting block foul by M. Speights (drawn by J. Okafor),,38-31,,
10:57.0,,,38-31,,J. Okafor misses free throw 1 of 2
10:57.0,,,38-31,,Offensive rebound by Team
10:57.0,,,38-32,1,J. Okafor makes free throw 2 of 2
10:43.0,M. Speights misses 2-pt shot from 19 ft,,38-32,,
10:41.0,,,38-32,,Defensive rebound by R. Covington
10:30.0,,,38-34,2,H. Thompson makes 2-pt shot from 22 ft (assist by T. McConnell)
10:15.0,L. Barbosa makes 2-pt shot from 2 ft,2,40-34,,
9:56.0,,,40-34,,R. Covington misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by M. Speights,,40-34,,
9:33.0,S. Livingston makes 2-pt shot from 18 ft (assist by M. Speights),2,42-34,,
9:11.0,,,42-36,2,J. Okafor makes 2-pt shot from 10 ft
8:58.0,L. Barbosa makes 3-pt shot from 26 ft (assist by S. Livingston),3,45-36,,
8:57.0,,,45-36,,Philadelphia full timeout
8:57.0,,,45-36,,J. Grant enters the game for R. Covington
8:57.0,I. Clark enters the game for B. Rush,,45-36,,
8:39.0,,,45-39,3,I. Canaan makes 3-pt shot from 26 ft (assist by H. Thompson)
8:27.0,Turnover by I. Clark (lost ball; steal by T. McConnell),,45-39,,
8:24.0,,,45-39,,I. Canaan misses 2-pt shot from 3 ft (block by I. Clark)
8:21.0,Defensive rebound by L. Barbosa,,45-39,,
8:20.0,,,45-39,,Personal foul by T. McConnell (drawn by L. Barbosa)
8:20.0,,,45-39,,N. Stauskas enters the game for I. Canaan
8:11.0,S. Livingston makes 2-pt shot at rim (assist by M. Speights),2,47-39,,
7:53.0,Personal foul by I. Clark (drawn by J. Grant),,47-39,,
7:53.0,K. Thompson enters the game for L. Barbosa,,47-39,,
7:53.0,J. Thompson enters the game for M. Speights,,47-39,,
7:38.0,,,47-39,,Turnover by Team (shot clock)
7:26.0,K. Thompson makes 2-pt shot from 1 ft (assist by J. Thompson),2,49-39,,
7:11.0,,,49-39,,H. Thompson misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by H. Barnes,,49-39,,
7:02.0,H. Barnes makes 3-pt shot from 25 ft (assist by I. Clark),3,52-39,,
6:44.0,,,52-41,2,J. Grant makes 2-pt shot from 11 ft
6:34.0,K. Thompson makes 2-pt shot from 19 ft (assist by S. Livingston),2,54-41,,
6:05.0,,,54-43,2,J. Okafor makes 2-pt shot from 19 ft (assist by H. Thompson)
5:54.0,H. Barnes misses 2-pt shot from 13 ft,,54-43,,
5:51.0,,,54-43,,Defensive rebound by J. Grant
5:44.0,,,54-43,,Shooting foul by J. Thompson (drawn by J. Okafor)
5:44.0,Official timeout,,54-43,,
5:44.0,S. Curry enters the game for I. Clark,,54-43,,
5:44.0,D. Green enters the game for H. Barnes,,54-43,,
5:44.0,,,54-43,,I. Canaan enters the game for H. Thompson
5:44.0,,,54-43,,I. Smith enters the game for T. McConnell
5:44.0,,,54-43,,J. Okafor misses free throw 1 of 2
5:44.0,,,54-43,,Offensive rebound by Team
5:44.0,,,54-43,,J. Okafor misses free throw 2 of 2
5:42.0,Defensive rebound by D. Green,,54-43,,
5:29.0,D. Green makes 2-pt shot at rim,2,56-43,,
5:02.0,,,56-43,,J. Grant misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by S. Livingston,,56-43,,
4:55.0,D. Green makes 2-pt shot from 2 ft (assist by S. Livingston),2,58-43,,
4:38.0,Personal block foul by J. Thompson (drawn by J. Okafor),,58-43,,
4:38.0,,,58-43,,N. Noel enters the game for J. Okafor
4:27.0,,,58-43,,I. Smith misses 2-pt shot from 3 ft
4:24.0,Defensive rebound by D. Green,,58-43,,
4:15.0,I. Clark enters the game for S. Livingston,,58-43,,
4:03.0,Turnover by K. Thompson (lost ball; steal by N. Noel),,58-43,,
3:56.0,,,58-43,,I. Smith misses 2-pt shot from 16 ft
3:54.0,Defensive rebound by D. Green,,58-43,,
3:46.0,K. Thompson makes 2-pt shot from 10 ft (assist by S. Curry),2,60-43,,
3:29.0,,,60-46,3,I. Canaan makes 3-pt shot from 26 ft (assist by I. Smith)
3:16.0,J. Thompson makes 2-pt shot from 1 ft (assist by K. Thompson),2,62-46,,
3:01.0,Shooting block foul by D. Green (drawn by J. Grant),,62-46,,
3:01.0,,,62-47,1,J. Grant makes free throw 1 of 2
3:01.0,A. Bogut enters the game for J. Thompson,,62-47,,
3:01.0,,,62-48,1,J. Grant makes free throw 2 of 2
2:47.0,K. Thompson misses 3-pt shot from 24 ft,,62-48,,
2:47.0,,,62-48,,Defensive rebound by Team
2:47.0,Loose ball foul by A. Bogut (drawn by N. Noel),,62-48,,
2:47.0,Golden State full timeout,,62-48,,
2:47.0,,,62-48,,R. Covington enters the game for J. Grant
2:47.0,Violation by Team (delay of game),,62-48,,
2:47.0,,,62-48,,N. Noel misses free throw 1 of 2
2:47.0,,,62-48,,Offensive rebound by Team
2:47.0,,,62-48,,N. Noel misses free throw 2 of 2
2:45.0,Defensive rebound by A. Bogut,,62-48,,
2:32.0,,,62-48,,Personal foul by N. Noel (drawn by I. Clark)
2:23.0,K. Thompson makes 2-pt shot from 12 ft,2,64-48,,
2:05.0,,,64-48,,N. Noel misses 2-pt shot from 1 ft
2:03.0,Defensive rebound by A. Bogut,,64-48,,
2:00.0,K. Thompson misses 3-pt shot from 25 ft,,64-48,,
1:58.0,Offensive rebound by S. Curry,,64-48,,
1:53.0,I. Clark misses 2-pt shot from 2 ft,,64-48,,
1:50.0,,,64-48,,Defensive rebound by R. Covington
1:42.0,,,64-48,,Shooting foul by A. Bogut (drawn by N. Noel)
1:42.0,,,64-49,1,N. Noel makes free throw 1 of 2
1:42.0,,,64-49,,N. Noel misses free throw 2 of 2
1:41.0,Defensive rebound by A. Bogut,,64-49,,
1:34.0,,,64-49,,Personal foul by I. Smith (drawn by D. Green)
1:29.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,66-49,,
1:09.0,,,66-52,3,N. Stauskas makes 3-pt shot from 23 ft (assist by N. Noel)
0:56.0,S. Curry makes 3-pt shot from 25 ft,3,69-52,,
0:41.0,,,69-52,,R. Covington misses 3-pt shot from 26 ft
0:40.0,,,69-52,,Offensive rebound by I. Smith
0:38.0,,,69-54,2,I. Smith makes 2-pt shot from 4 ft
0:33.0,I. Clark misses 2-pt shot from 3 ft,,69-54,,
0:32.0,Offensive rebound by D. Green,,69-54,,
0:32.0,D. Green makes 2-pt shot from 1 ft,2,71-54,,
0:10.0,,,71-54,,I. Smith misses 2-pt shot from 2 ft
0:08.0,Defensive rebound by A. Bogut,,71-54,,
0:03.0,S. Curry makes 2-pt shot from 1 ft (assist by A. Bogut),2,73-54,,
0:00.0,,,73-54,,I. Smith misses 3-pt shot from 28 ft
0:00.0,,,73-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Turnover by D. Green (bad pass; steal by N. Stauskas),,73-54,,
11:45.0,,,73-54,,Turnover by N. Stauskas (bad pass)
11:23.0,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut),2,75-54,,
11:06.0,,,75-54,,Turnover by N. Noel (lost ball; steal by H. Barnes)
10:56.0,Turnover by D. Green (bad pass; steal by I. Smith),,75-54,,
10:49.0,,,75-54,,R. Covington misses 3-pt shot from 24 ft
10:46.0,Defensive rebound by A. Bogut,,75-54,,
10:40.0,K. Thompson misses 2-pt shot from 2 ft (block by J. Grant),,75-54,,
10:40.0,Offensive rebound by Team,,75-54,,
10:37.0,K. Thompson makes 3-pt shot from 26 ft (assist by A. Bogut),3,78-54,,
10:27.0,,,78-54,,I. Smith misses 2-pt shot from 2 ft
10:24.0,Defensive rebound by A. Bogut,,78-54,,
10:16.0,K. Thompson misses 3-pt shot from 22 ft,,78-54,,
10:15.0,,,78-54,,Defensive rebound by I. Smith
10:03.0,,,78-54,,Shooting foul by A. Bogut (drawn by N. Noel)
10:03.0,,,78-56,2,N. Noel makes 2-pt shot at rim (assist by J. Grant)
10:03.0,,,78-56,,N. Noel misses free throw 1 of 1
10:02.0,Defensive rebound by A. Bogut,,78-56,,
9:44.0,K. Thompson misses 2-pt shot from 18 ft,,78-56,,
9:42.0,Offensive rebound by A. Bogut,,78-56,,
9:42.0,A. Bogut misses 2-pt shot from 1 ft,,78-56,,
9:40.0,,,78-56,,Defensive rebound by R. Covington
9:34.0,,,78-56,,Turnover by N. Stauskas (bad pass)
9:26.0,H. Barnes misses 2-pt shot from 18 ft,,78-56,,
9:24.0,,,78-56,,Defensive rebound by N. Noel
9:18.0,,,78-58,2,J. Grant makes 2-pt shot at rim (assist by I. Smith)
9:04.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,80-58,,
8:48.0,,,80-58,,J. Grant misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by K. Thompson,,80-58,,
8:35.0,Turnover by K. Thompson (bad pass; steal by I. Smith),,80-58,,
8:35.0,Violation by A. Bogut (kicked ball),,80-58,,
8:35.0,,,80-58,,J. Okafor enters the game for N. Noel
8:24.0,,,80-58,,J. Grant misses 3-pt shot from 24 ft
8:22.0,Defensive rebound by D. Green,,80-58,,
8:16.0,Turnover by S. Curry (lost ball),,80-58,,
8:03.0,,,80-58,,I. Smith misses 2-pt shot from 12 ft
8:02.0,Defensive rebound by A. Bogut,,80-58,,
7:55.0,H. Barnes misses 3-pt shot from 23 ft,,80-58,,
7:54.0,,,80-58,,Defensive rebound by R. Covington
7:38.0,,,80-58,,J. Okafor misses 2-pt shot from 12 ft
7:36.0,Defensive rebound by D. Green,,80-58,,
7:22.0,S. Curry makes 2-pt shot from 2 ft (assist by A. Bogut),2,82-58,,
7:21.0,,,82-58,,Philadelphia full timeout
7:21.0,,,82-58,,I. Canaan enters the game for N. Stauskas
7:21.0,,,82-58,,H. Thompson enters the game for J. Grant
7:06.0,,,82-58,,Offensive foul by J. Okafor
7:06.0,,,82-58,,Turnover by J. Okafor (offensive foul)
6:52.0,Turnover by D. Green (bad pass; steal by H. Thompson),,82-58,,
6:46.0,,,82-58,,H. Thompson misses 2-pt shot from 21 ft
6:43.0,Defensive rebound by A. Bogut,,82-58,,
6:31.0,Turnover by D. Green (bad pass; steal by R. Covington),,82-58,,
6:25.0,,,82-60,2,J. Okafor makes 2-pt shot at rim (assist by I. Smith)
6:01.0,A. Bogut makes 2-pt shot at rim (assist by K. Thompson),2,84-60,,
5:50.0,,,84-62,2,H. Thompson makes 2-pt shot from 2 ft
5:47.0,,,84-62,,Personal foul by R. Covington (drawn by H. Barnes)
5:47.0,,,84-62,,T. McConnell enters the game for I. Smith
5:47.0,,,84-62,,J. Sampson enters the game for R. Covington
5:47.0,J. Thompson enters the game for D. Green,,84-62,,
5:40.0,S. Curry misses 3-pt shot from 26 ft,,84-62,,
5:39.0,,,84-62,,Defensive rebound by I. Canaan
5:34.0,,,84-62,,I. Canaan misses 3-pt shot from 28 ft
5:32.0,Defensive rebound by K. Thompson,,84-62,,
5:23.0,K. Thompson misses 2-pt shot at rim,,84-62,,
5:22.0,,,84-62,,Defensive rebound by I. Canaan
4:59.0,,,84-62,,J. Sampson misses 2-pt shot from 19 ft
4:57.0,,,84-62,,Offensive rebound by Team
4:57.0,,,84-62,,Turnover by Team (shot clock)
4:46.0,S. Curry misses 3-pt shot from 25 ft,,84-62,,
4:43.0,,,84-62,,Defensive rebound by J. Okafor
4:35.0,,,84-62,,J. Sampson misses 2-pt shot from 1 ft (block by S. Curry)
4:33.0,Defensive rebound by J. Thompson,,84-62,,
4:25.0,Golden State full timeout,,84-62,,
4:25.0,B. Rush enters the game for H. Barnes,,84-62,,
4:25.0,L. Barbosa enters the game for A. Bogut,,84-62,,
4:25.0,I. Clark enters the game for K. Thompson,,84-62,,
4:25.0,S. Livingston enters the game for S. Curry,,84-62,,
4:10.0,L. Barbosa misses 3-pt shot from 27 ft,,84-62,,
4:08.0,,,84-62,,Defensive rebound by J. Sampson
3:56.0,,,84-64,2,H. Thompson makes 2-pt shot from 1 ft
3:36.0,S. Livingston misses 2-pt shot from 10 ft,,84-64,,
3:35.0,,,84-64,,Defensive rebound by T. McConnell
3:22.0,,,84-64,,J. Sampson misses 2-pt shot from 3 ft
3:20.0,,,84-64,,Offensive rebound by J. Sampson
3:17.0,,,84-64,,J. Sampson misses 2-pt shot from 10 ft
3:16.0,Defensive rebound by B. Rush,,84-64,,
3:04.0,B. Rush misses 2-pt shot from 16 ft,,84-64,,
3:02.0,,,84-64,,Defensive rebound by I. Canaan
2:50.0,,,84-66,2,J. Okafor makes 2-pt shot from 8 ft
2:50.0,,,84-66,,Shooting foul by J. Thompson (drawn by J. Okafor)
2:50.0,,,84-66,,I. Smith enters the game for H. Thompson
2:50.0,,,84-66,,J. Okafor misses free throw 1 of 1
2:48.0,Defensive rebound by B. Rush,,84-66,,
2:25.0,I. Clark misses 3-pt shot from 26 ft,,84-66,,
2:24.0,Offensive rebound by I. Clark,,84-66,,
2:21.0,I. Clark makes 2-pt shot from 1 ft,2,86-66,,
2:03.0,,,86-66,,Shooting foul by J. Thompson (drawn by I. Canaan)
2:03.0,,,86-67,1,I. Canaan makes free throw 1 of 2
2:03.0,,,86-67,,R. Covington enters the game for J. Sampson
2:03.0,,,86-68,1,I. Canaan makes free throw 2 of 2
1:50.0,L. Barbosa misses 2-pt shot from 2 ft,,86-68,,
1:48.0,,,86-68,,Defensive rebound by R. Covington
1:42.0,,,86-70,2,T. McConnell makes 2-pt shot from 20 ft (assist by I. Canaan)
1:29.0,Turnover by J. Thompson (bad pass; steal by I. Canaan),,86-70,,
1:22.0,,,86-70,,R. Covington misses 3-pt shot from 25 ft
1:20.0,,,86-70,,Offensive rebound by T. McConnell
1:07.0,,,86-72,2,J. Okafor makes 2-pt shot from 1 ft
0:51.0,Turnover by S. Livingston (bad pass; steal by R. Covington),,86-72,,
0:44.0,,,86-72,,I. Canaan misses 3-pt shot from 27 ft
0:42.0,Defensive rebound by B. Rush,,86-72,,
0:32.0,I. Clark makes 2-pt shot from 1 ft (assist by S. Livingston),2,88-72,,
0:32.0,Shooting foul by T. McConnell (drawn by I. Clark),,88-72,,
0:32.0,I. Clark makes free throw 1 of 1,1,89-72,,
0:13.0,,,89-72,,I. Smith misses 3-pt shot from 25 ft
0:12.0,Defensive rebound by L. Barbosa,,89-72,,
0:02.0,L. Barbosa makes 2-pt shot from 3 ft,2,91-72,,
0:00.0,,,91-72,,T. McConnell misses 3-pt shot from 44 ft
0:00.0,,,91-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,91-72,,I. Smith misses 2-pt shot from 18 ft
11:34.0,Defensive rebound by L. Barbosa,,91-72,,
11:14.0,S. Livingston misses 2-pt shot from 9 ft,,91-72,,
11:13.0,,,91-72,,Defensive rebound by T. McConnell
11:07.0,,,91-74,2,I. Smith makes 2-pt shot from 1 ft (assist by T. McConnell)
10:51.0,M. Speights makes 2-pt shot from 20 ft (assist by L. Barbosa),2,93-74,,
10:34.0,Personal foul by L. Barbosa (drawn by I. Canaan),,93-74,,
10:34.0,,,93-74,,N. Noel enters the game for J. Okafor
10:25.0,,,93-77,3,R. Covington makes 3-pt shot from 25 ft (assist by N. Noel)
10:01.0,M. Speights misses 2-pt shot from 2 ft,,93-77,,
9:59.0,Offensive rebound by H. Barnes,,93-77,,
9:59.0,H. Barnes misses 2-pt shot from 1 ft,,93-77,,
9:58.0,Offensive rebound by M. Speights,,93-77,,
9:58.0,M. Speights misses 2-pt shot at rim,,93-77,,
9:56.0,Offensive rebound by M. Speights,,93-77,,
9:56.0,M. Speights misses 2-pt shot at rim,,93-77,,
9:54.0,,,93-77,,Defensive rebound by R. Covington
9:39.0,,,93-79,2,T. McConnell makes 2-pt shot from 15 ft
9:13.0,H. Barnes misses 3-pt shot from 26 ft,,93-79,,
9:12.0,,,93-79,,Defensive rebound by T. McConnell
9:03.0,,,93-81,2,R. Covington makes 2-pt shot from 1 ft (assist by I. Smith)
8:53.0,Golden State full timeout,,93-81,,
8:53.0,K. Thompson enters the game for H. Barnes,,93-81,,
8:53.0,D. Green enters the game for S. Livingston,,93-81,,
8:53.0,S. Curry enters the game for I. Clark,,93-81,,
8:53.0,,,93-81,,H. Thompson enters the game for I. Canaan
8:53.0,H. Barnes enters the game for L. Barbosa,,93-81,,
8:44.0,Turnover by K. Thompson (bad pass; steal by T. McConnell),,93-81,,
8:42.0,Personal foul by D. Green (drawn by T. McConnell),,93-81,,
8:26.0,,,93-83,2,I. Smith makes 2-pt shot at rim
8:07.0,S. Curry makes 3-pt shot from 25 ft (assist by M. Speights),3,96-83,,
7:53.0,,,96-85,2,N. Noel makes 2-pt shot at rim (assist by T. McConnell)
7:36.0,K. Thompson makes 2-pt shot from 9 ft,2,98-85,,
7:25.0,,,98-85,,H. Thompson misses 2-pt shot at rim
7:23.0,,,98-85,,Offensive rebound by N. Noel
7:13.0,,,98-85,,Turnover by N. Noel (bad pass; steal by D. Green)
7:02.0,S. Curry misses 2-pt shot from 2 ft,,98-85,,
7:00.0,Offensive rebound by S. Curry,,98-85,,
7:00.0,S. Curry misses 2-pt shot from 1 ft,,98-85,,
6:58.0,,,98-85,,Defensive rebound by R. Covington
6:56.0,,,98-85,,R. Covington misses 3-pt shot from 26 ft
6:53.0,Defensive rebound by M. Speights,,98-85,,
6:48.0,D. Green misses 2-pt shot from 2 ft,,98-85,,
6:46.0,,,98-85,,Defensive rebound by N. Noel
6:43.0,,,98-85,,Philadelphia full timeout
6:43.0,A. Bogut enters the game for M. Speights,,98-85,,
6:43.0,,,98-85,,I. Canaan enters the game for T. McConnell
6:30.0,,,98-85,,I. Smith misses 2-pt shot from 12 ft
6:29.0,Defensive rebound by S. Curry,,98-85,,
6:15.0,A. Bogut misses 2-pt shot from 3 ft,,98-85,,
6:13.0,,,98-85,,Defensive rebound by N. Noel
6:11.0,Personal foul by S. Curry (drawn by I. Smith),,98-85,,
5:56.0,,,98-85,,Turnover by N. Noel (3 sec)
5:42.0,K. Thompson makes 2-pt shot at rim (assist by S. Curry),2,100-85,,
5:32.0,,,100-87,2,I. Smith makes 2-pt shot from 1 ft
5:18.0,Turnover by S. Curry (lost ball),,100-87,,
5:09.0,,,100-87,,H. Thompson misses 2-pt shot from 19 ft
5:05.0,Defensive rebound by A. Bogut,,100-87,,
5:01.0,Turnover by S. Curry (bad pass; steal by I. Smith),,100-87,,
4:55.0,,,100-90,3,H. Thompson makes 3-pt shot from 23 ft (assist by I. Smith)
4:25.0,S. Curry misses 2-pt shot from 6 ft,,100-90,,
4:23.0,Offensive rebound by Team,,100-90,,
4:21.0,H. Barnes misses 2-pt shot from 2 ft (block by H. Thompson),,100-90,,
4:18.0,,,100-90,,Defensive rebound by H. Thompson
4:13.0,,,100-90,,I. Canaan misses 3-pt shot from 23 ft
4:10.0,Defensive rebound by S. Curry,,100-90,,
4:00.0,K. Thompson misses 2-pt shot from 11 ft,,100-90,,
3:58.0,Offensive rebound by A. Bogut,,100-90,,
3:58.0,A. Bogut misses 2-pt shot from 1 ft,,100-90,,
3:56.0,,,100-90,,Defensive rebound by N. Noel
3:53.0,,,100-90,,I. Smith misses 2-pt shot from 2 ft
3:51.0,Defensive rebound by H. Barnes,,100-90,,
3:45.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,103-90,,
3:44.0,,,103-90,,Philadelphia full timeout
3:26.0,,,103-90,,Shooting foul by D. Green (drawn by N. Noel)
3:26.0,,,103-91,1,N. Noel makes free throw 1 of 2
3:26.0,,,103-92,1,N. Noel makes free throw 2 of 2
