time,Philadelphia,pts.away,score,pts.home,Utah
6:03.0,,,11-17,,G. Hayward misses 3-pt shot from 24 ft
6:03.0,,,11-17,,Offensive rebound by J. Withey
5:53.0,,,11-17,,R. Neto misses 2-pt shot from 17 ft
5:52.0,,,11-17,,Offensive rebound by T. Booker
5:49.0,,,11-17,,G. Hayward misses 3-pt shot from 24 ft
5:48.0,Defensive rebound by I. Smith,,11-17,,
5:36.0,R. Holmes makes 2-pt shot from 2 ft,2,13-17,,
5:30.0,Personal foul by J. Grant (drawn by G. Hayward),,13-17,,
5:30.0,N. Stauskas enters the game for N. Noel,,13-17,,
5:25.0,,,13-17,,Shooting foul by I. Smith (drawn by J. Withey)
5:25.0,,,13-17,,J. Withey misses free throw 1 of 2
5:25.0,,,13-17,,Offensive rebound by Team
5:25.0,,,13-18,1,J. Withey makes free throw 2 of 2
5:15.0,Turnover by I. Smith (bad pass; steal by J. Withey),,13-18,,
5:05.0,,,13-18,,J. Ingles misses 3-pt shot from 25 ft
5:04.0,,,13-18,,Offensive rebound by Team
4:56.0,,,13-18,,Offensive foul by T. Booker
4:56.0,,,13-18,,Turnover by T. Booker (offensive foul)
4:46.0,Turnover by I. Smith (bad pass; steal by R. Neto),,13-18,,
4:41.0,,,13-20,2,J. Ingles makes 2-pt shot from 2 ft (assist by R. Neto)
4:25.0,R. Holmes makes 2-pt shot from 2 ft (assist by I. Smith),2,15-20,,
4:07.0,,,15-20,,Shooting foul by R. Holmes (drawn by T. Booker)
4:07.0,,,15-21,1,T. Booker makes free throw 1 of 2
4:07.0,,,15-21,,E. Millsap enters the game for J. Withey
4:07.0,K. Marshall enters the game for I. Smith,,15-21,,
4:07.0,,,15-22,1,T. Booker makes free throw 2 of 2
3:46.0,R. Holmes makes 2-pt shot from 1 ft (assist by H. Thompson),2,17-22,,
3:30.0,,,17-22,,T. Booker misses 2-pt shot from 3 ft (block by R. Holmes)
3:30.0,,,17-22,,Offensive rebound by Team
3:30.0,,,17-22,,Utah full timeout
3:24.0,,,17-22,,G. Hayward misses 2-pt shot from 15 ft
3:22.0,,,17-22,,Offensive rebound by Team
3:21.0,,,17-22,,Shooting foul by H. Thompson (drawn by G. Hayward)
3:21.0,,,17-23,1,G. Hayward makes free throw 1 of 2
3:21.0,,,17-24,1,G. Hayward makes free throw 2 of 2
3:07.0,K. Marshall misses 2-pt shot from 19 ft,,17-24,,
3:07.0,,,17-24,,Defensive rebound by T. Booker
2:52.0,,,17-27,3,R. Neto makes 3-pt shot from 23 ft (assist by G. Hayward)
2:39.0,J. Grant makes 2-pt shot from 2 ft,2,19-27,,
2:17.0,,,19-27,,T. Booker misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by J. Grant,,19-27,,
2:08.0,,,19-27,,Personal foul by E. Millsap (drawn by H. Thompson)
1:57.0,R. Holmes makes 2-pt shot at rim (assist by J. Grant),2,21-27,,
1:34.0,,,21-30,3,J. Ingles makes 3-pt shot from 23 ft (assist by E. Millsap)
1:24.0,N. Stauskas misses 2-pt shot from 2 ft,,21-30,,
1:24.0,,,21-30,,Defensive rebound by T. Booker
1:21.0,,,21-30,,Shooting foul by K. Marshall (drawn by G. Hayward)
1:21.0,,,21-31,1,G. Hayward makes free throw 1 of 2
1:21.0,,,21-32,1,G. Hayward makes free throw 2 of 2
1:07.0,Turnover by K. Marshall (bad pass; steal by T. Booker),,21-32,,
1:00.0,Shooting block foul by J. Grant (drawn by E. Millsap),,21-32,,
1:00.0,,,21-33,1,E. Millsap makes free throw 1 of 2
1:00.0,,,21-33,,R. Hood enters the game for G. Hayward
1:00.0,J. Sampson enters the game for J. Grant,,21-33,,
1:00.0,,,21-34,1,E. Millsap makes free throw 2 of 2
0:44.0,H. Thompson misses 3-pt shot from 24 ft,,21-34,,
0:43.0,,,21-34,,Defensive rebound by Team
0:31.0,,,21-34,,R. Hood misses 2-pt shot from 4 ft
0:30.0,Defensive rebound by J. Sampson,,21-34,,
0:09.0,K. Marshall makes 2-pt shot from 6 ft,2,23-34,,
0:01.0,,,23-37,3,J. Ingles makes 3-pt shot from 23 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-37,,R. Hood misses 2-pt shot from 7 ft (block by N. Stauskas)
11:43.0,,,23-37,,Offensive rebound by Team
11:36.0,,,23-37,,R. Hood misses 3-pt shot from 24 ft
11:36.0,Defensive rebound by T. McConnell,,23-37,,
11:25.0,I. Canaan misses 2-pt shot from 1 ft,,23-37,,
11:25.0,,,23-37,,Defensive rebound by E. Millsap
11:13.0,,,23-37,,J. Ingles misses 3-pt shot from 24 ft
11:12.0,Defensive rebound by R. Covington,,23-37,,
11:02.0,,,23-37,,Personal foul by R. Hood (drawn by I. Canaan)
11:02.0,,,23-37,,C. Johnson enters the game for R. Hood
10:53.0,Turnover by R. Covington (bad pass; steal by E. Millsap),,23-37,,
10:46.0,,,23-39,2,E. Millsap makes 2-pt shot from 1 ft (assist by J. Ingles)
10:29.0,T. McConnell misses 2-pt shot from 3 ft (block by T. Booker),,23-39,,
10:29.0,Offensive rebound by Team,,23-39,,
10:29.0,,,23-39,,R. Neto enters the game for J. Ingles
10:28.0,I. Canaan makes 2-pt shot from 2 ft (assist by N. Stauskas),2,25-39,,
10:28.0,Shooting foul by R. Neto (drawn by I. Canaan),,25-39,,
10:28.0,I. Canaan misses free throw 1 of 1,,25-39,,
10:27.0,,,25-39,,Defensive rebound by T. Booker
10:12.0,,,25-39,,T. Burke misses 2-pt shot from 17 ft
10:12.0,Defensive rebound by I. Canaan,,25-39,,
10:04.0,R. Covington misses 2-pt shot from 2 ft (block by E. Millsap),,25-39,,
10:03.0,Offensive rebound by N. Noel,,25-39,,
10:00.0,N. Noel makes 2-pt shot from 2 ft,2,27-39,,
9:52.0,Personal foul by I. Canaan (drawn by R. Neto),,27-39,,
9:52.0,H. Thompson enters the game for N. Stauskas,,27-39,,
9:46.0,,,27-39,,T. Booker misses 2-pt shot from 2 ft (block by N. Noel)
9:45.0,Defensive rebound by I. Canaan,,27-39,,
9:45.0,,,27-39,,Personal foul by T. Burke (drawn by I. Canaan)
9:45.0,,,27-39,,J. Ingles enters the game for R. Neto
9:34.0,H. Thompson misses 2-pt shot from 20 ft,,27-39,,
9:33.0,,,27-39,,Defensive rebound by T. Booker
9:16.0,Personal foul by R. Covington (drawn by E. Millsap),,27-39,,
9:16.0,,,27-39,,T. Lyles enters the game for T. Booker
9:07.0,,,27-41,2,T. Burke makes 2-pt shot from 10 ft
9:07.0,Philadelphia full timeout,,27-41,,
8:54.0,Turnover by N. Noel (bad pass),,27-41,,
8:34.0,I. Smith enters the game for T. McConnell,,27-41,,
8:30.0,,,27-43,2,T. Lyles makes 2-pt shot from 9 ft (assist by T. Burke)
8:10.0,Turnover by I. Smith (bad pass; steal by C. Johnson),,27-43,,
8:04.0,,,27-45,2,C. Johnson makes 2-pt shot from 1 ft
8:01.0,Philadelphia full timeout,,27-45,,
7:47.0,R. Covington misses 3-pt shot from 24 ft,,27-45,,
7:45.0,,,27-45,,Defensive rebound by C. Johnson
7:27.0,,,27-48,3,T. Burke makes 3-pt shot from 24 ft (assist by E. Millsap)
7:11.0,H. Thompson makes 3-pt shot from 23 ft (assist by I. Smith),3,30-48,,
7:11.0,Shooting foul by E. Millsap (drawn by H. Thompson),,30-48,,
7:11.0,H. Thompson makes free throw 1 of 1,1,31-48,,
6:58.0,,,31-48,,Shooting foul by I. Smith (drawn by T. Burke)
6:58.0,,,31-49,1,T. Burke makes free throw 1 of 2
6:58.0,,,31-50,1,T. Burke makes free throw 2 of 2
6:49.0,I. Canaan misses 2-pt shot from 3 ft,,31-50,,
6:48.0,,,31-50,,Defensive rebound by T. Lyles
6:47.0,,,31-50,,Turnover by T. Lyles (bad pass; steal by I. Smith)
6:44.0,Shooting foul by T. Lyles (drawn by I. Smith),,31-50,,
6:44.0,I. Smith makes free throw 1 of 2,1,32-50,,
6:44.0,I. Smith makes free throw 2 of 2,1,33-50,,
6:33.0,,,33-50,,Turnover by T. Burke (lost ball; steal by H. Thompson)
6:24.0,I. Smith makes 2-pt shot from 2 ft,2,35-50,,
6:15.0,,,35-50,,Utah full timeout
6:15.0,,,35-50,,J. Withey enters the game for J. Ingles
6:15.0,,,35-50,,R. Neto enters the game for E. Millsap
6:15.0,,,35-50,,G. Hayward enters the game for T. Burke
6:15.0,C. Landry enters the game for R. Covington,,35-50,,
6:06.0,,,35-50,,G. Hayward misses 2-pt shot from 4 ft
6:05.0,,,35-50,,Offensive rebound by C. Johnson
5:58.0,,,35-50,,T. Lyles misses 2-pt shot from 4 ft (block by N. Noel)
5:56.0,,,35-50,,Offensive rebound by C. Johnson
5:53.0,,,35-52,2,J. Withey makes 2-pt shot at rim (assist by C. Johnson)
5:43.0,I. Smith misses 2-pt shot at rim (block by J. Withey),,35-52,,
5:43.0,Offensive rebound by Team,,35-52,,
5:37.0,,,35-52,,Personal foul by R. Neto (drawn by I. Smith)
5:37.0,I. Smith makes free throw 1 of 2,1,36-52,,
5:37.0,I. Smith makes free throw 2 of 2,1,37-52,,
5:23.0,,,37-52,,G. Hayward misses 2-pt shot from 12 ft
5:23.0,Defensive rebound by I. Canaan,,37-52,,
5:12.0,I. Smith misses 2-pt shot from 19 ft,,37-52,,
5:11.0,,,37-52,,Defensive rebound by T. Lyles
5:01.0,,,37-52,,J. Withey misses 2-pt shot from 5 ft
4:57.0,Defensive rebound by N. Noel,,37-52,,
4:43.0,I. Canaan misses 3-pt shot from 24 ft,,37-52,,
4:42.0,,,37-52,,Defensive rebound by J. Withey
4:32.0,Personal foul by H. Thompson (drawn by G. Hayward),,37-52,,
4:32.0,J. Sampson enters the game for I. Canaan,,37-52,,
4:32.0,R. Holmes enters the game for N. Noel,,37-52,,
4:32.0,,,37-52,,T. Burke enters the game for R. Neto
4:32.0,,,37-52,,T. Booker enters the game for T. Lyles
4:19.0,,,37-52,,G. Hayward misses 3-pt shot from 23 ft
4:18.0,,,37-52,,Offensive rebound by Team
4:18.0,,,37-52,,Turnover by Team (shot clock)
4:03.0,C. Landry misses 2-pt shot from 11 ft,,37-52,,
4:02.0,,,37-52,,Defensive rebound by T. Burke
3:49.0,,,37-52,,T. Burke misses 3-pt shot from 24 ft
3:48.0,,,37-52,,Offensive rebound by J. Withey
3:47.0,Personal foul by R. Holmes (drawn by J. Withey),,37-52,,
3:47.0,,,37-53,1,J. Withey makes free throw 1 of 2
3:47.0,,,37-54,1,J. Withey makes free throw 2 of 2
3:36.0,H. Thompson misses 2-pt shot from 22 ft,,37-54,,
3:35.0,,,37-54,,Defensive rebound by J. Withey
3:26.0,,,37-56,2,G. Hayward makes 2-pt shot from 18 ft
2:59.0,I. Smith misses 2-pt shot from 16 ft,,37-56,,
2:59.0,,,37-56,,Defensive rebound by J. Withey
2:48.0,,,37-56,,T. Burke misses 2-pt shot from 10 ft
2:48.0,Defensive rebound by Team,,37-56,,
2:48.0,Philadelphia full timeout,,37-56,,
2:48.0,T. McConnell enters the game for C. Landry,,37-56,,
2:48.0,J. Grant enters the game for I. Smith,,37-56,,
2:34.0,J. Grant makes 2-pt shot from 19 ft,2,39-56,,
2:11.0,,,39-56,,G. Hayward misses 2-pt shot from 14 ft
2:11.0,Defensive rebound by J. Grant,,39-56,,
2:00.0,Turnover by J. Sampson (bad pass; steal by C. Johnson),,39-56,,
1:57.0,Shooting block foul by J. Grant (drawn by C. Johnson),,39-56,,
1:57.0,,,39-56,,C. Johnson misses free throw 1 of 2
1:57.0,,,39-56,,Offensive rebound by Team
1:57.0,R. Covington enters the game for J. Grant,,39-56,,
1:57.0,,,39-57,1,C. Johnson makes free throw 2 of 2
1:39.0,R. Holmes misses 3-pt shot from 24 ft,,39-57,,
1:39.0,,,39-57,,Defensive rebound by T. Booker
1:32.0,,,39-57,,G. Hayward misses 2-pt shot from 2 ft (block by R. Holmes)
1:30.0,Defensive rebound by T. McConnell,,39-57,,
1:23.0,H. Thompson misses 3-pt shot from 24 ft,,39-57,,
1:22.0,Offensive rebound by R. Covington,,39-57,,
1:20.0,R. Covington makes 2-pt shot from 2 ft,2,41-57,,
0:59.0,,,41-57,,Shooting foul by R. Holmes (drawn by G. Hayward)
0:59.0,,,41-57,,G. Hayward misses free throw 1 of 2
0:59.0,,,41-57,,Offensive rebound by Team
0:59.0,N. Noel enters the game for R. Holmes,,41-57,,
0:59.0,,,41-57,,J. Ingles enters the game for C. Johnson
0:59.0,,,41-58,1,G. Hayward makes free throw 2 of 2
0:48.0,J. Sampson makes 2-pt shot from 6 ft,2,43-58,,
0:33.0,,,43-58,,T. Burke misses 2-pt shot from 2 ft
0:33.0,Defensive rebound by Team,,43-58,,
0:33.0,,,43-58,,Loose ball foul by T. Booker (drawn by T. McConnell)
0:33.0,T. McConnell makes free throw 1 of 2,1,44-58,,
0:33.0,,,44-58,,C. Johnson enters the game for T. Booker
0:33.0,T. McConnell makes free throw 2 of 2,1,45-58,,
0:13.0,,,45-58,,J. Ingles misses 3-pt shot from 24 ft
0:13.0,Defensive rebound by J. Sampson,,45-58,,
0:01.0,J. Sampson misses 2-pt shot from 10 ft,,45-58,,
0:00.0,,,45-58,,Defensive rebound by J. Ingles
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,45-61,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Hood)
11:12.0,Turnover by N. Noel (bad pass; steal by G. Hayward),,45-61,,
11:09.0,,,45-61,,Turnover by J. Withey (bad pass; steal by I. Smith)
11:05.0,I. Smith misses 2-pt shot at rim,,45-61,,
11:05.0,,,45-61,,Defensive rebound by J. Withey
11:04.0,,,45-61,,Turnover by J. Withey (bad pass)
10:46.0,Shooting foul by J. Withey (drawn by I. Canaan),,45-61,,
10:46.0,I. Canaan makes free throw 1 of 2,1,46-61,,
10:46.0,I. Canaan misses free throw 2 of 2,,46-61,,
10:45.0,Offensive rebound by J. Grant,,46-61,,
10:41.0,Turnover by I. Smith (lost ball),,46-61,,
10:29.0,,,46-61,,Turnover by R. Neto (traveling)
10:19.0,J. Grant makes 3-pt shot from 24 ft (assist by I. Smith),3,49-61,,
10:09.0,Personal foul by J. Grant (drawn by T. Lyles),,49-61,,
10:09.0,Technical foul by J. Grant (drawn by T. Lyles),,49-61,,
10:09.0,,,49-62,1,G. Hayward makes technical free throw
10:02.0,,,49-62,,G. Hayward misses 3-pt shot from 24 ft
10:02.0,,,49-62,,Offensive rebound by J. Withey
10:00.0,R. Holmes enters the game for J. Grant,,49-62,,
9:54.0,,,49-64,2,R. Hood makes 2-pt shot from 11 ft
9:33.0,R. Holmes misses 2-pt shot from 5 ft,,49-64,,
9:32.0,Offensive rebound by I. Smith,,49-64,,
9:26.0,I. Canaan misses 3-pt shot from 24 ft,,49-64,,
9:25.0,Offensive rebound by Team,,49-64,,
9:23.0,Turnover by H. Thompson (traveling),,49-64,,
9:00.0,,,49-64,,T. Lyles misses 2-pt shot from 1 ft
8:59.0,,,49-64,,Offensive rebound by J. Withey
8:57.0,,,49-64,,J. Withey misses 2-pt shot from 5 ft
8:54.0,,,49-64,,Offensive rebound by T. Lyles
8:54.0,,,49-64,,T. Lyles misses 2-pt shot at rim
8:50.0,,,49-64,,Offensive rebound by J. Withey
8:50.0,,,49-64,,J. Withey misses 2-pt shot from 1 ft
8:49.0,Defensive rebound by N. Noel,,49-64,,
8:44.0,Turnover by I. Smith (bad pass; steal by G. Hayward),,49-64,,
8:42.0,Clear path foul by H. Thompson,,49-64,,
8:42.0,,,49-65,1,G. Hayward makes clear path free throw 1 of 2
8:42.0,,,49-66,1,G. Hayward makes clear path free throw 2 of 2
8:42.0,N. Stauskas enters the game for H. Thompson,,49-66,,
8:33.0,,,49-66,,R. Hood misses 2-pt shot from 16 ft
8:32.0,Defensive rebound by I. Canaan,,49-66,,
8:18.0,R. Holmes misses 2-pt shot from 2 ft (block by J. Withey),,49-66,,
8:16.0,,,49-66,,Defensive rebound by J. Withey
8:11.0,,,49-68,2,R. Neto makes 2-pt shot from 2 ft (assist by J. Withey)
8:00.0,Shooting foul by J. Withey (drawn by R. Holmes),,49-68,,
8:00.0,R. Holmes makes free throw 1 of 2,1,50-68,,
8:00.0,R. Covington enters the game for I. Canaan,,50-68,,
8:00.0,R. Holmes misses free throw 2 of 2,,50-68,,
7:59.0,,,50-68,,Defensive rebound by G. Hayward
7:40.0,,,50-68,,G. Hayward misses 2-pt shot from 12 ft
7:40.0,Defensive rebound by R. Holmes,,50-68,,
7:29.0,R. Holmes makes 3-pt shot from 25 ft (assist by I. Smith),3,53-68,,
7:19.0,,,53-68,,Shooting foul by R. Holmes (drawn by R. Hood)
7:19.0,,,53-69,1,R. Hood makes free throw 1 of 2
7:19.0,J. Sampson enters the game for N. Noel,,53-69,,
7:19.0,,,53-69,,T. Booker enters the game for T. Lyles
7:19.0,,,53-70,1,R. Hood makes free throw 2 of 2
7:07.0,Turnover by I. Smith (bad pass; steal by R. Hood),,53-70,,
6:50.0,,,53-70,,G. Hayward misses 2-pt shot from 2 ft
6:49.0,Defensive rebound by R. Covington,,53-70,,
6:39.0,R. Covington misses 3-pt shot from 25 ft,,53-70,,
6:39.0,,,53-70,,Defensive rebound by J. Withey
6:25.0,,,53-70,,G. Hayward misses 2-pt shot from 12 ft
6:24.0,Defensive rebound by J. Sampson,,53-70,,
6:09.0,J. Sampson misses 3-pt shot from 24 ft,,53-70,,
6:08.0,Offensive rebound by R. Holmes,,53-70,,
6:07.0,R. Holmes makes 2-pt shot at rim,2,55-70,,
6:07.0,,,55-70,,Utah full timeout
5:49.0,,,55-70,,Shooting foul by J. Sampson (drawn by R. Neto)
5:49.0,,,55-71,1,R. Neto makes free throw 1 of 2
5:49.0,,,55-72,1,R. Neto makes free throw 2 of 2
5:37.0,J. Sampson misses 2-pt shot from 5 ft,,55-72,,
5:35.0,Offensive rebound by R. Holmes,,55-72,,
5:33.0,R. Holmes makes 2-pt shot at rim,2,57-72,,
5:20.0,,,57-72,,Turnover by R. Hood (lost ball)
5:20.0,,,57-72,,J. Ingles enters the game for J. Withey
5:10.0,I. Smith makes 2-pt shot from 2 ft,2,59-72,,
4:52.0,,,59-72,,R. Hood misses 3-pt shot from 24 ft
4:52.0,Defensive rebound by J. Sampson,,59-72,,
4:46.0,I. Smith makes 2-pt shot from 1 ft (assist by J. Sampson),2,61-72,,
4:46.0,Shooting foul by R. Neto (drawn by I. Smith),,61-72,,
4:46.0,,,61-72,,E. Millsap enters the game for R. Hood
4:46.0,,,61-72,,T. Burke enters the game for R. Neto
4:46.0,I. Smith makes free throw 1 of 1,1,62-72,,
4:34.0,Personal foul by J. Sampson (drawn by T. Booker),,62-72,,
4:34.0,,,62-73,1,T. Booker makes free throw 1 of 2
4:34.0,,,62-74,1,T. Booker makes free throw 2 of 2
4:22.0,R. Holmes makes 2-pt shot from 1 ft (assist by I. Smith),2,64-74,,
4:08.0,,,64-74,,E. Millsap misses 2-pt shot from 2 ft
4:08.0,Defensive rebound by Team,,64-74,,
4:08.0,Philadelphia full timeout,,64-74,,
3:55.0,I. Smith misses 2-pt shot from 18 ft,,64-74,,
3:53.0,,,64-74,,Defensive rebound by T. Booker
3:30.0,,,64-74,,T. Burke misses 2-pt shot from 7 ft (block by R. Holmes)
3:29.0,,,64-74,,Offensive rebound by Team
3:29.0,,,64-74,,Turnover by Team (shot clock)
3:21.0,I. Smith makes 2-pt shot from 2 ft,2,66-74,,
2:57.0,,,66-74,,C. Johnson enters the game for E. Millsap
2:55.0,,,66-74,,Turnover by Team (shot clock)
2:43.0,I. Smith makes 2-pt shot from 17 ft,2,68-74,,
2:20.0,,,68-76,2,T. Burke makes 2-pt shot from 20 ft
2:07.0,J. Sampson makes 2-pt shot from 2 ft (assist by I. Smith),2,70-76,,
1:47.0,,,70-76,,T. Booker misses 2-pt shot from 1 ft
1:47.0,Defensive rebound by R. Covington,,70-76,,
1:47.0,,,70-76,,Technical foul by T. Booker
1:47.0,R. Covington makes technical free throw,1,71-76,,
1:47.0,N. Noel enters the game for R. Holmes,,71-76,,
1:47.0,,,71-76,,R. Hood enters the game for G. Hayward
1:47.0,H. Thompson enters the game for J. Sampson,,71-76,,
1:35.0,R. Covington makes 3-pt shot from 24 ft (assist by N. Stauskas),3,74-76,,
1:12.0,,,74-76,,Turnover by T. Burke (bad pass)
0:52.0,I. Smith makes 2-pt shot from 3 ft,2,76-76,,
0:38.0,,,76-76,,R. Hood misses 2-pt shot from 15 ft
0:37.0,Defensive rebound by I. Smith,,76-76,,
0:30.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,78-76,,
0:07.0,,,78-78,2,C. Johnson makes 2-pt shot from 21 ft
0:01.0,I. Smith misses 2-pt shot from 3 ft,,78-78,,
0:00.0,,,78-78,,Defensive rebound by T. Burke
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Turnover by N. Stauskas (bad pass; steal by J. Withey),,78-78,,
11:34.0,,,78-78,,Turnover by J. Ingles (lost ball)
11:16.0,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell),2,80-78,,
10:49.0,,,80-78,,Turnover by J. Ingles (bad pass; steal by T. McConnell)
10:41.0,T. McConnell misses 2-pt shot from 2 ft,,80-78,,
10:41.0,,,80-78,,Defensive rebound by R. Hood
10:22.0,,,80-78,,R. Hood misses 3-pt shot from 23 ft
10:22.0,Defensive rebound by H. Thompson,,80-78,,
10:11.0,H. Thompson misses 3-pt shot from 24 ft,,80-78,,
10:11.0,,,80-78,,Defensive rebound by C. Johnson
9:57.0,,,80-78,,J. Ingles misses 2-pt shot from 2 ft (block by N. Noel)
9:57.0,,,80-78,,Offensive rebound by Team
9:57.0,J. Grant enters the game for R. Covington,,80-78,,
9:57.0,,,80-78,,G. Hayward enters the game for J. Ingles
9:49.0,,,80-78,,R. Hood misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by N. Noel,,80-78,,
9:40.0,N. Noel makes 2-pt shot at rim (assist by T. McConnell),2,82-78,,
9:40.0,Shooting foul by R. Hood (drawn by N. Noel),,82-78,,
9:40.0,,,82-78,,T. Burke enters the game for R. Neto
9:40.0,,,82-78,,E. Millsap enters the game for C. Johnson
9:40.0,N. Noel misses free throw 1 of 1,,82-78,,
9:39.0,Offensive rebound by H. Thompson,,82-78,,
9:25.0,J. Grant misses 2-pt shot from 2 ft,,82-78,,
9:25.0,,,82-78,,Defensive rebound by E. Millsap
9:11.0,,,82-78,,Turnover by T. Burke (lost ball; steal by T. McConnell)
9:10.0,,,82-78,,Personal foul by R. Hood (drawn by H. Thompson)
9:10.0,Philadelphia full timeout,,82-78,,
9:10.0,,,82-78,,T. Lyles enters the game for J. Withey
8:48.0,N. Stauskas misses 3-pt shot from 23 ft,,82-78,,
8:47.0,,,82-78,,Defensive rebound by T. Burke
8:38.0,,,82-78,,T. Lyles misses 3-pt shot from 23 ft
8:37.0,Defensive rebound by N. Stauskas,,82-78,,
8:35.0,Turnover by N. Stauskas (bad pass),,82-78,,
8:27.0,Personal block foul by J. Grant (drawn by G. Hayward),,82-78,,
8:27.0,R. Covington enters the game for J. Grant,,82-78,,
8:17.0,,,82-78,,T. Lyles misses 2-pt shot at rim (block by N. Noel)
8:15.0,,,82-78,,Offensive rebound by T. Burke
8:12.0,,,82-80,2,T. Burke makes 2-pt shot from 16 ft
7:54.0,N. Stauskas misses 3-pt shot from 24 ft,,82-80,,
7:54.0,,,82-80,,Defensive rebound by G. Hayward
7:43.0,,,82-80,,R. Hood misses 2-pt shot from 10 ft (block by N. Noel)
7:42.0,,,82-80,,Offensive rebound by R. Hood
7:39.0,,,82-80,,T. Burke misses 2-pt shot from 2 ft
7:37.0,Defensive rebound by H. Thompson,,82-80,,
7:28.0,Turnover by T. McConnell (bad pass; steal by T. Burke),,82-80,,
7:07.0,,,82-80,,G. Hayward misses 2-pt shot from 19 ft
7:07.0,,,82-80,,Offensive rebound by E. Millsap
7:05.0,,,82-80,,E. Millsap misses 2-pt shot from 1 ft
7:03.0,Defensive rebound by H. Thompson,,82-80,,
6:52.0,T. McConnell misses 2-pt shot from 2 ft (block by T. Burke),,82-80,,
6:51.0,,,82-80,,Defensive rebound by T. Lyles
6:40.0,Personal foul by R. Covington (drawn by T. Lyles),,82-80,,
