time,Milwaukee,pts.away,score,pts.home,LA Lakers
2:20.0,Offensive rebound by J. O'Bryant,,23-23,,
2:17.0,J. O'Bryant makes 2-pt shot at rim,2,25-23,,
2:09.0,,,25-26,3,K. Bryant makes 3-pt shot from 26 ft (assist by D. Russell)
1:51.0,K. Middleton misses 2-pt shot from 4 ft,,25-26,,
1:50.0,Offensive rebound by J. O'Bryant,,25-26,,
1:48.0,Turnover by J. Henson (traveling),,25-26,,
1:48.0,Milwaukee full timeout,,25-26,,
1:48.0,,,25-26,,R. Sacre enters the game for L. Nance
1:48.0,,,25-26,,J. Randle enters the game for R. Hibbert
1:31.0,G. Antetokounmpo enters the game for J. Henson,,25-26,,
1:31.0,,,25-28,2,K. Bryant makes 2-pt shot from 15 ft
1:31.0,M. Plumlee enters the game for J. Parker,,25-28,,
1:21.0,,,25-28,,Personal foul by K. Bryant (drawn by G. Antetokounmpo)
1:14.0,K. Middleton misses 2-pt shot from 2 ft,,25-28,,
1:14.0,Offensive rebound by Team,,25-28,,
1:09.0,K. Middleton misses 2-pt shot from 13 ft,,25-28,,
1:07.0,,,25-28,,Defensive rebound by L. Williams
0:50.0,,,25-28,,D. Russell misses 3-pt shot from 24 ft
0:49.0,Defensive rebound by G. Antetokounmpo,,25-28,,
0:39.0,M. Carter-Williams misses 2-pt shot at rim (block by R. Sacre),,25-28,,
0:37.0,,,25-28,,Defensive rebound by J. Randle
0:28.0,,,25-28,,J. Randle misses 2-pt shot from 1 ft (block by J. O'Bryant)
0:28.0,,,25-28,,Offensive rebound by J. Randle
0:26.0,,,25-30,2,J. Randle makes 2-pt shot from 1 ft
0:07.0,M. Plumlee misses 2-pt shot at rim,,25-30,,
0:05.0,,,25-30,,Defensive rebound by K. Bryant
0:00.0,,,25-30,,R. Sacre misses 2-pt shot from 1 ft (block by M. Carter-Williams)
0:00.0,,,25-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,25-32,2,R. Sacre makes 2-pt shot at rim (assist by D. Russell)
11:30.0,Shooting foul by J. Clarkson (drawn by G. Antetokounmpo),,25-32,,
11:30.0,G. Antetokounmpo makes free throw 1 of 2,1,26-32,,
11:30.0,G. Antetokounmpo makes free throw 2 of 2,1,27-32,,
11:15.0,,,27-32,,Turnover by J. Randle (lost ball; steal by M. Carter-Williams)
11:11.0,Turnover by M. Carter-Williams (lost ball),,27-32,,
10:57.0,,,27-32,,D. Russell misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by M. Carter-Williams,,27-32,,
10:45.0,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by M. Carter-Williams),2,29-32,,
10:29.0,Personal foul by M. Plumlee (drawn by D. Russell),,29-32,,
10:21.0,,,29-35,3,N. Young makes 3-pt shot from 24 ft (assist by J. Clarkson)
9:59.0,M. Carter-Williams misses 2-pt shot from 18 ft,,29-35,,
9:59.0,Offensive rebound by J. O'Bryant,,29-35,,
9:48.0,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo),2,31-35,,
9:28.0,,,31-35,,J. Randle misses 2-pt shot from 3 ft
9:28.0,,,31-35,,Offensive rebound by J. Randle
9:24.0,Personal foul by J. O'Bryant (drawn by J. Randle),,31-35,,
9:14.0,,,31-37,2,D. Russell makes 2-pt shot from 1 ft
9:02.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,33-37,,
8:34.0,,,33-37,,J. Clarkson misses 2-pt shot from 22 ft
8:32.0,,,33-37,,Offensive rebound by D. Russell
8:28.0,,,33-39,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
8:05.0,G. Antetokounmpo makes 2-pt shot from 11 ft,2,35-39,,
7:53.0,,,35-39,,R. Sacre misses 2-pt shot from 3 ft
7:52.0,Defensive rebound by G. Antetokounmpo,,35-39,,
7:48.0,,,35-39,,Personal foul by N. Young (drawn by G. Antetokounmpo)
7:48.0,Official timeout,,35-39,,
7:48.0,O. Mayo enters the game for J. O'Bryant,,35-39,,
7:48.0,C. Copeland enters the game for R. Vaughn,,35-39,,
7:45.0,,,35-39,,Personal foul by J. Randle (drawn by M. Plumlee)
7:37.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,35-39,,
7:34.0,,,35-39,,Defensive rebound by J. Randle
7:28.0,Personal foul by C. Copeland (drawn by J. Randle),,35-39,,
7:17.0,,,35-39,,D. Russell misses 2-pt shot from 12 ft
7:17.0,Defensive rebound by M. Carter-Williams,,35-39,,
7:11.0,M. Carter-Williams misses 2-pt shot from 3 ft,,35-39,,
7:10.0,,,35-39,,Defensive rebound by J. Randle
7:10.0,Personal foul by O. Mayo (drawn by J. Randle),,35-39,,
6:55.0,,,35-39,,J. Randle misses 2-pt shot from 2 ft
6:54.0,,,35-39,,Offensive rebound by J. Randle
6:48.0,,,35-39,,N. Young misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by G. Antetokounmpo,,35-39,,
6:27.0,O. Mayo makes 3-pt shot from 22 ft (assist by M. Carter-Williams),3,38-39,,
6:15.0,,,38-39,,J. Clarkson misses 2-pt shot from 2 ft (block by M. Plumlee)
6:14.0,Defensive rebound by M. Plumlee,,38-39,,
6:14.0,,,38-39,,Loose ball foul by D. Russell (drawn by G. Antetokounmpo)
6:14.0,,,38-39,,R. Hibbert enters the game for D. Russell
6:14.0,,,38-39,,L. Williams enters the game for R. Sacre
5:59.0,M. Carter-Williams makes 2-pt shot at rim (assist by G. Antetokounmpo),2,40-39,,
5:44.0,,,40-39,,Shooting foul by M. Carter-Williams (drawn by J. Randle)
5:44.0,,,40-39,,LA Lakers full timeout
5:44.0,,,40-40,1,J. Randle makes free throw 1 of 2
5:44.0,,,40-41,1,J. Randle makes free throw 2 of 2
5:34.0,Offensive foul by M. Plumlee,,40-41,,
5:34.0,Turnover by M. Plumlee (offensive foul),,40-41,,
5:34.0,,,40-41,,L. Nance enters the game for J. Randle
5:22.0,,,40-41,,N. Young misses 2-pt shot from 11 ft
5:21.0,Defensive rebound by M. Plumlee,,40-41,,
5:10.0,Jump ball: G. Antetokounmpo vs. N. Young (O. Mayo gains possession),,,,Jump ball: G. Antetokounmpo vs. N. Young (O. Mayo gains possession)
4:57.0,M. Carter-Williams misses 2-pt shot from 17 ft,,40-41,,
4:57.0,,,40-41,,Defensive rebound by J. Clarkson
4:49.0,,,40-41,,L. Williams misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by G. Antetokounmpo,,40-41,,
4:41.0,C. Copeland misses 3-pt shot from 24 ft,,40-41,,
4:41.0,,,40-41,,Defensive rebound by J. Clarkson
4:35.0,,,40-43,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
4:20.0,O. Mayo misses 2-pt shot from 19 ft,,40-43,,
4:19.0,Offensive rebound by M. Plumlee,,40-43,,
4:16.0,M. Plumlee makes 2-pt shot from 9 ft,2,42-43,,
3:51.0,,,42-46,3,J. Clarkson makes 3-pt shot from 24 ft (assist by L. Nance)
3:27.0,M. Plumlee misses 2-pt shot from 1 ft,,42-46,,
3:26.0,Offensive rebound by M. Carter-Williams,,42-46,,
3:26.0,M. Carter-Williams misses 2-pt shot at rim,,42-46,,
3:26.0,,,42-46,,Defensive rebound by R. Hibbert
3:26.0,Loose ball foul by M. Carter-Williams (drawn by R. Hibbert),,42-46,,
3:26.0,,,42-46,,R. Hibbert misses free throw 1 of 2
3:26.0,,,42-46,,Offensive rebound by Team
3:26.0,,,42-46,,K. Bryant enters the game for N. Young
3:26.0,J. Henson enters the game for M. Plumlee,,42-46,,
3:26.0,K. Middleton enters the game for M. Carter-Williams,,42-46,,
3:26.0,,,42-47,1,R. Hibbert makes free throw 2 of 2
3:19.0,Turnover by O. Mayo (bad pass; steal by L. Williams),,42-47,,
3:16.0,,,42-47,,Shooting foul by O. Mayo (drawn by L. Williams)
3:16.0,,,42-48,1,L. Williams makes free throw 1 of 2
3:16.0,,,42-49,1,L. Williams makes free throw 2 of 2
2:55.0,J. Henson misses 2-pt shot from 6 ft,,42-49,,
2:54.0,,,42-49,,Defensive rebound by J. Clarkson
2:45.0,,,42-49,,Shooting foul by J. Henson (drawn by L. Williams)
2:45.0,Milwaukee full timeout,,42-49,,
2:45.0,J. Parker enters the game for C. Copeland,,42-49,,
2:45.0,,,42-50,1,L. Williams makes free throw 1 of 2
2:45.0,,,42-51,1,L. Williams makes free throw 2 of 2
2:22.0,O. Mayo makes 3-pt shot from 25 ft (assist by J. Parker),3,45-51,,
2:02.0,,,45-51,,K. Bryant misses 2-pt shot from 21 ft
2:01.0,Defensive rebound by J. Henson,,45-51,,
1:58.0,Turnover by O. Mayo (lost ball; steal by J. Clarkson),,45-51,,
1:51.0,,,45-51,,K. Bryant misses 3-pt shot from 25 ft
1:50.0,,,45-51,,Offensive rebound by L. Nance
1:36.0,,,45-51,,Shooting foul by O. Mayo (drawn by J. Clarkson)
1:36.0,,,45-51,,J. Clarkson misses free throw 1 of 2
1:36.0,,,45-51,,Offensive rebound by Team
1:36.0,M. Carter-Williams enters the game for O. Mayo,,45-51,,
1:36.0,,,45-52,1,J. Clarkson makes free throw 2 of 2
1:21.0,M. Carter-Williams misses 2-pt shot from 11 ft,,45-52,,
1:20.0,,,45-52,,Defensive rebound by R. Hibbert
1:09.0,,,45-52,,L. Williams misses 3-pt shot from 22 ft
1:09.0,,,45-52,,Offensive rebound by L. Nance
0:59.0,,,45-54,2,L. Williams makes 2-pt shot from 8 ft (assist by R. Hibbert)
0:37.0,M. Carter-Williams misses 2-pt shot from 1 ft,,45-54,,
0:35.0,,,45-54,,Defensive rebound by J. Clarkson
0:33.0,,,45-54,,Turnover by J. Clarkson (bad pass; steal by K. Middleton)
0:29.0,Shooting foul by L. Nance (drawn by J. Parker),,45-54,,
0:29.0,J. Parker misses free throw 1 of 2,,45-54,,
0:29.0,Offensive rebound by Team,,45-54,,
0:29.0,J. Parker makes free throw 2 of 2,1,46-54,,
0:07.0,Def 3 sec tech foul by J. Parker,,46-54,,
0:07.0,,,46-55,1,K. Bryant makes technical free throw
0:01.0,,,46-55,,K. Bryant misses 2-pt shot from 16 ft
0:00.0,,,46-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,46-57,2,R. Hibbert makes 2-pt shot from 14 ft (assist by K. Bryant)
11:29.0,O. Mayo misses 3-pt shot from 22 ft,,46-57,,
11:29.0,,,46-57,,Defensive rebound by R. Hibbert
11:10.0,,,46-57,,K. Bryant misses 2-pt shot from 17 ft
11:10.0,,,46-57,,Offensive rebound by Team
11:10.0,Loose ball foul by J. Henson (drawn by R. Hibbert),,46-57,,
11:02.0,,,46-57,,R. Hibbert misses 2-pt shot from 1 ft
11:00.0,Defensive rebound by J. Parker,,46-57,,
10:50.0,Offensive foul by G. Antetokounmpo,,46-57,,
10:50.0,Turnover by G. Antetokounmpo (offensive foul),,46-57,,
10:36.0,,,46-59,2,L. Nance makes 2-pt shot at rim (assist by L. Williams)
10:22.0,G. Antetokounmpo makes 2-pt shot from 19 ft,2,48-59,,
9:58.0,,,48-61,2,J. Clarkson makes 2-pt shot from 10 ft
9:45.0,J. Henson misses 2-pt shot from 2 ft,,48-61,,
9:44.0,,,48-61,,Defensive rebound by R. Hibbert
9:35.0,,,48-61,,J. Clarkson misses 3-pt shot from 25 ft
9:35.0,,,48-61,,Offensive rebound by J. Clarkson
9:29.0,,,48-63,2,K. Bryant makes 2-pt shot at rim (assist by R. Hibbert)
9:28.0,Milwaukee full timeout,,48-63,,
9:10.0,J. Parker misses 2-pt shot from 19 ft,,48-63,,
9:10.0,,,48-63,,Defensive rebound by J. Clarkson
8:47.0,,,48-65,2,K. Bryant makes 2-pt shot from 17 ft
8:37.0,Shooting foul by K. Bryant (drawn by J. Henson),,48-65,,
8:37.0,J. Henson misses free throw 1 of 2,,48-65,,
8:37.0,Offensive rebound by Team,,48-65,,
8:37.0,J. Henson misses free throw 2 of 2,,48-65,,
8:36.0,,,48-65,,Defensive rebound by R. Hibbert
8:21.0,,,48-65,,Turnover by J. Clarkson (lost ball; steal by O. Mayo)
8:11.0,Shooting foul by R. Hibbert (drawn by J. Parker),,48-65,,
8:11.0,J. Parker misses free throw 1 of 2,,48-65,,
8:11.0,Offensive rebound by Team,,48-65,,
8:11.0,J. Parker makes free throw 2 of 2,1,49-65,,
7:53.0,,,49-65,,J. Clarkson misses 2-pt shot from 3 ft
7:51.0,Defensive rebound by G. Antetokounmpo,,49-65,,
7:42.0,G. Antetokounmpo makes 2-pt shot from 16 ft,2,51-65,,
7:25.0,,,51-65,,Turnover by K. Bryant (lost ball)
7:12.0,O. Mayo misses 2-pt shot from 2 ft,,51-65,,
7:12.0,Offensive rebound by J. Parker,,51-65,,
7:11.0,J. Parker makes 2-pt shot at rim,2,53-65,,
6:51.0,,,53-65,,Turnover by K. Bryant (bad pass)
6:42.0,O. Mayo misses 3-pt shot from 24 ft,,53-65,,
6:41.0,Offensive rebound by J. Parker,,53-65,,
6:35.0,K. Middleton misses 3-pt shot from 23 ft,,53-65,,
6:34.0,,,53-65,,Defensive rebound by R. Hibbert
6:22.0,,,53-67,2,L. Williams makes 2-pt shot from 3 ft
6:07.0,Turnover by K. Middleton (bad pass; steal by J. Clarkson),,53-67,,
6:04.0,,,53-67,,Turnover by J. Clarkson (bad pass)
5:44.0,J. Parker misses 3-pt shot from 23 ft,,53-67,,
5:43.0,,,53-67,,Defensive rebound by L. Williams
5:40.0,,,53-70,3,K. Bryant makes 3-pt shot from 26 ft (assist by L. Nance)
5:40.0,,,53-70,,Shooting foul by O. Mayo (drawn by K. Bryant)
5:40.0,M. Carter-Williams enters the game for O. Mayo,,53-70,,
5:40.0,,,53-70,,D. Russell enters the game for L. Williams
5:40.0,,,53-71,1,K. Bryant makes free throw 1 of 1
5:19.0,G. Antetokounmpo misses 2-pt shot from 20 ft (block by R. Hibbert),,53-71,,
5:19.0,,,53-71,,Defensive rebound by Team
5:01.0,,,53-73,2,R. Hibbert makes 2-pt shot from 1 ft (assist by K. Bryant)
4:45.0,J. Parker misses 2-pt shot from 12 ft,,53-73,,
4:44.0,,,53-73,,Defensive rebound by K. Bryant
4:34.0,,,53-75,2,D. Russell makes 2-pt shot from 2 ft (assist by K. Bryant)
4:34.0,Milwaukee full timeout,,53-75,,
4:34.0,,,53-75,,J. Randle enters the game for L. Nance
4:34.0,,,53-75,,R. Sacre enters the game for R. Hibbert
4:34.0,J. O'Bryant enters the game for J. Parker,,53-75,,
4:15.0,M. Carter-Williams makes 2-pt shot from 4 ft,2,55-75,,
3:59.0,,,55-75,,K. Bryant misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by K. Middleton,,55-75,,
3:54.0,Shooting foul by R. Sacre (drawn by K. Middleton),,55-75,,
3:54.0,K. Middleton makes free throw 1 of 2,1,56-75,,
3:54.0,K. Middleton makes free throw 2 of 2,1,57-75,,
3:33.0,,,57-77,2,J. Randle makes 2-pt shot from 3 ft
3:17.0,K. Middleton misses 3-pt shot from 25 ft,,57-77,,
3:17.0,Offensive rebound by J. O'Bryant,,57-77,,
3:13.0,J. O'Bryant misses 2-pt shot at rim (block by R. Sacre),,57-77,,
3:11.0,,,57-77,,Defensive rebound by J. Randle
3:04.0,,,57-79,2,R. Sacre makes 2-pt shot from 13 ft (assist by K. Bryant)
2:48.0,,,57-79,,Personal foul by D. Russell (drawn by M. Carter-Williams)
2:42.0,J. O'Bryant makes 2-pt shot from 18 ft (assist by G. Antetokounmpo),2,59-79,,
2:16.0,,,59-79,,J. Clarkson misses 2-pt shot from 16 ft
2:14.0,Defensive rebound by M. Carter-Williams,,59-79,,
2:10.0,Shooting foul by R. Sacre (drawn by G. Antetokounmpo),,59-79,,
2:10.0,G. Antetokounmpo makes free throw 1 of 2,1,60-79,,
2:10.0,M. Plumlee enters the game for J. Henson,,60-79,,
2:10.0,G. Antetokounmpo misses free throw 2 of 2,,60-79,,
2:09.0,,,60-79,,Defensive rebound by J. Randle
1:51.0,,,60-81,2,J. Clarkson makes 2-pt shot from 2 ft (assist by D. Russell)
1:38.0,J. O'Bryant misses 2-pt shot from 17 ft,,60-81,,
1:37.0,Offensive rebound by M. Plumlee,,60-81,,
1:34.0,M. Plumlee makes 2-pt shot at rim,2,62-81,,
1:21.0,,,62-81,,Turnover by J. Randle (bad pass)
1:08.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,64-81,,
0:46.0,,,64-81,,Shooting foul by J. O'Bryant (drawn by K. Bryant)
0:46.0,,,64-82,1,K. Bryant makes free throw 1 of 3
0:46.0,,,64-83,1,K. Bryant makes free throw 2 of 3
0:46.0,,,64-84,1,K. Bryant makes free throw 3 of 3
0:35.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,66-84,,
0:20.0,,,66-84,,K. Bryant misses 3-pt shot from 26 ft
0:20.0,Defensive rebound by M. Plumlee,,66-84,,
0:20.0,,,66-84,,Loose ball foul by J. Randle (drawn by M. Plumlee)
0:20.0,M. Plumlee misses free throw 1 of 2,,66-84,,
0:20.0,Offensive rebound by Team,,66-84,,
0:20.0,M. Plumlee misses free throw 2 of 2,,66-84,,
0:19.0,,,66-84,,Defensive rebound by K. Bryant
0:00.0,Personal foul by M. Carter-Williams (drawn by D. Russell),,66-84,,
0:00.0,,,66-85,1,D. Russell makes free throw 1 of 2
0:00.0,,,66-86,1,D. Russell makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,M. Carter-Williams makes 2-pt shot from 4 ft (assist by J. O'Bryant),2,68-86,,
11:17.0,,,68-86,,Turnover by J. Randle (lost ball; steal by K. Middleton)
11:12.0,K. Middleton makes 2-pt shot at rim,2,70-86,,
10:52.0,,,70-89,3,N. Young makes 3-pt shot from 23 ft (assist by D. Russell)
10:39.0,K. Middleton makes 2-pt shot from 13 ft (assist by J. O'Bryant),2,72-89,,
10:24.0,,,72-89,,N. Young misses 3-pt shot from 24 ft
10:23.0,,,72-89,,Offensive rebound by J. Randle
10:17.0,,,72-92,3,D. Russell makes 3-pt shot from 24 ft (assist by J. Randle)
10:04.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by O. Mayo),2,74-92,,
9:42.0,,,74-95,3,D. Russell makes 3-pt shot from 25 ft (assist by J. Clarkson)
9:25.0,M. Carter-Williams misses 2-pt shot from 7 ft,,74-95,,
9:24.0,,,74-95,,Defensive rebound by R. Sacre
9:13.0,,,74-95,,N. Young misses 3-pt shot from 22 ft
9:13.0,Defensive rebound by O. Mayo,,74-95,,
9:04.0,J. O'Bryant makes 2-pt shot from 3 ft (assist by O. Mayo),2,76-95,,
9:04.0,,,76-95,,LA Lakers full timeout
9:04.0,,,76-95,,L. Williams enters the game for J. Clarkson
8:48.0,,,76-95,,N. Young misses 2-pt shot from 8 ft
8:48.0,,,76-95,,Offensive rebound by J. Randle
8:44.0,,,76-95,,J. Randle misses 2-pt shot from 1 ft
8:42.0,Defensive rebound by J. O'Bryant,,76-95,,
8:41.0,O. Mayo misses 2-pt shot from 4 ft,,76-95,,
8:41.0,Offensive rebound by Team,,76-95,,
8:41.0,,,76-95,,Loose ball foul by J. Randle (drawn by M. Plumlee)
8:32.0,M. Plumlee makes 2-pt shot at rim (assist by M. Carter-Williams),2,78-95,,
8:18.0,,,78-95,,Shooting foul by M. Plumlee (drawn by D. Russell)
8:18.0,,,78-95,,D. Russell misses free throw 1 of 2
8:18.0,,,78-95,,Offensive rebound by Team
8:18.0,,,78-96,1,D. Russell makes free throw 2 of 2
8:07.0,K. Middleton makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,81-96,,
7:56.0,,,81-96,,D. Russell misses 2-pt shot from 1 ft
7:56.0,,,81-96,,Offensive rebound by J. Randle
7:52.0,,,81-98,2,J. Randle makes 2-pt shot at rim
7:41.0,Turnover by O. Mayo (bad pass; steal by D. Russell),,81-98,,
7:35.0,,,81-100,2,D. Russell makes 2-pt shot at rim
7:25.0,O. Mayo misses 3-pt shot from 24 ft,,81-100,,
7:24.0,,,81-100,,Defensive rebound by L. Williams
7:05.0,,,81-100,,D. Russell misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by M. Plumlee,,81-100,,
6:52.0,K. Middleton misses 2-pt shot from 3 ft,,81-100,,
6:51.0,,,81-100,,Defensive rebound by N. Young
6:50.0,,,81-100,,Shooting foul by J. O'Bryant (drawn by N. Young)
6:50.0,,,81-101,1,N. Young makes free throw 1 of 2
6:50.0,J. Parker enters the game for J. O'Bryant,,81-101,,
6:50.0,,,81-101,,N. Young misses free throw 2 of 2
6:48.0,Defensive rebound by K. Middleton,,81-101,,
6:35.0,M. Carter-Williams misses 2-pt shot from 6 ft,,81-101,,
6:33.0,,,81-101,,Defensive rebound by J. Randle
6:19.0,,,81-101,,Turnover by J. Randle (bad pass; steal by O. Mayo)
6:11.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,83-101,,
5:56.0,,,83-101,,R. Sacre misses 2-pt shot from 3 ft
5:54.0,Defensive rebound by M. Plumlee,,83-101,,
5:50.0,Shooting foul by R. Sacre (drawn by M. Carter-Williams),,83-101,,
5:50.0,Official timeout,,83-101,,
5:50.0,G. Antetokounmpo enters the game for K. Middleton,,83-101,,
5:50.0,M. Carter-Williams makes free throw 1 of 2,1,84-101,,
5:50.0,M. Carter-Williams misses free throw 2 of 2,,84-101,,
5:48.0,,,84-101,,Defensive rebound by J. Randle
5:37.0,,,84-101,,L. Williams misses 3-pt shot from 24 ft
5:37.0,,,84-101,,Offensive rebound by R. Sacre
5:31.0,,,84-104,3,N. Young makes 3-pt shot from 25 ft (assist by R. Sacre)
5:08.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,86-104,,
4:50.0,,,86-106,2,J. Randle makes 2-pt shot from 1 ft (assist by D. Russell)
4:42.0,Shooting foul by L. Williams (drawn by O. Mayo),,86-106,,
4:42.0,O. Mayo makes free throw 1 of 2,1,87-106,,
4:42.0,O. Mayo misses free throw 2 of 2,,87-106,,
4:41.0,,,87-106,,Defensive rebound by J. Randle
4:35.0,,,87-106,,Offensive foul by R. Sacre
