time,Golden State,pts.away,score,pts.home,Washington
7:36.0,S. Curry makes 3-pt shot from 27 ft,3,15-8,,
7:36.0,,,15-8,,Away from play foul by O. Porter (drawn by H. Barnes)
7:36.0,H. Barnes makes free throw 1 of 1,1,16-8,,
7:17.0,,,16-8,,G. Temple misses 2-pt shot from 17 ft
7:16.0,Defensive rebound by D. Green,,16-8,,
7:12.0,K. Thompson makes 2-pt shot at rim (assist by D. Green),2,18-8,,
7:11.0,,,18-8,,Washington full timeout
7:11.0,,,18-8,,B. Beal enters the game for G. Temple
7:01.0,,,18-8,,M. Gortat misses 2-pt shot at rim (block by D. Green)
7:01.0,Defensive rebound by Team,,18-8,,
6:49.0,H. Barnes misses 3-pt shot from 26 ft,,18-8,,
6:48.0,,,18-8,,Defensive rebound by O. Porter
6:40.0,,,18-8,,J. Dudley misses 2-pt shot at rim
6:39.0,Defensive rebound by K. Thompson,,18-8,,
6:28.0,S. Curry makes 3-pt shot from 25 ft (assist by A. Bogut),3,21-8,,
6:22.0,,,21-11,3,J. Dudley makes 3-pt shot from 25 ft (assist by J. Wall)
6:09.0,Turnover by S. Curry (bad pass; steal by B. Beal),,21-11,,
6:08.0,Personal foul by A. Bogut (drawn by B. Beal),,21-11,,
6:00.0,,,21-11,,J. Wall misses 2-pt shot from 2 ft
5:59.0,Defensive rebound by A. Bogut,,21-11,,
5:48.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,23-11,,
5:39.0,,,23-13,2,J. Wall makes 2-pt shot from 16 ft (assist by J. Dudley)
5:27.0,S. Curry makes 3-pt shot from 24 ft,3,26-13,,
5:10.0,,,26-13,,B. Beal misses 2-pt shot from 9 ft
5:09.0,,,26-13,,Offensive rebound by M. Gortat
5:06.0,,,26-13,,B. Beal misses 2-pt shot from 3 ft
5:05.0,Defensive rebound by H. Barnes,,26-13,,
4:58.0,S. Curry misses 3-pt shot from 23 ft,,26-13,,
4:57.0,,,26-13,,Defensive rebound by J. Dudley
4:45.0,,,26-16,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Dudley)
4:33.0,A. Iguodala enters the game for H. Barnes,,26-16,,
4:33.0,,,26-16,,G. Temple enters the game for O. Porter
4:21.0,A. Iguodala misses 3-pt shot from 26 ft,,26-16,,
4:19.0,Offensive rebound by A. Bogut,,26-16,,
4:13.0,K. Thompson makes 3-pt shot from 24 ft (assist by A. Bogut),3,29-16,,
3:59.0,,,29-16,,J. Wall misses 2-pt shot from 17 ft
3:58.0,Defensive rebound by A. Iguodala,,29-16,,
3:50.0,Shooting foul by J. Wall (drawn by A. Bogut),,29-16,,
3:50.0,A. Bogut misses free throw 1 of 2,,29-16,,
3:50.0,Offensive rebound by Team,,29-16,,
3:50.0,,,29-16,,N. Hilario enters the game for M. Gortat
3:50.0,A. Bogut misses free throw 2 of 2,,29-16,,
3:50.0,,,29-16,,Defensive rebound by N. Hilario
3:36.0,,,29-18,2,N. Hilario makes 2-pt shot from 10 ft (assist by B. Beal)
3:17.0,D. Green makes 2-pt shot at rim,2,31-18,,
3:12.0,,,31-18,,Turnover by J. Wall (lost ball; steal by S. Curry)
3:09.0,S. Curry makes 3-pt shot from 25 ft,3,34-18,,
3:09.0,,,34-18,,Washington full timeout
3:09.0,L. Barbosa enters the game for A. Bogut,,34-18,,
3:09.0,M. Speights enters the game for K. Thompson,,34-18,,
2:51.0,,,34-20,2,B. Beal makes 2-pt shot at rim (assist by G. Temple)
2:39.0,S. Curry makes 3-pt shot from 25 ft,3,37-20,,
2:22.0,,,37-22,2,J. Wall makes 2-pt shot from 16 ft
2:07.0,Turnover by S. Curry (lost ball; steal by J. Dudley),,37-22,,
2:04.0,,,37-22,,Shooting foul by L. Barbosa (drawn by J. Dudley)
2:04.0,Golden State full timeout,,37-22,,
2:04.0,,,37-22,,R. Sessions enters the game for J. Wall
2:04.0,,,37-23,1,J. Dudley makes free throw 1 of 2
2:04.0,,,37-24,1,J. Dudley makes free throw 2 of 2
1:42.0,Shooting foul by J. Dudley (drawn by D. Green),,37-24,,
1:42.0,D. Green makes free throw 1 of 2,1,38-24,,
1:42.0,,,38-24,,D. Gooden enters the game for J. Dudley
1:42.0,D. Green makes free throw 2 of 2,1,39-24,,
1:25.0,,,39-26,2,B. Beal makes 2-pt shot from 12 ft (assist by R. Sessions)
1:15.0,L. Barbosa misses 2-pt shot at rim,,39-26,,
1:14.0,Offensive rebound by M. Speights,,39-26,,
1:13.0,M. Speights misses 2-pt shot from 1 ft,,39-26,,
1:13.0,Offensive rebound by M. Speights,,39-26,,
1:13.0,M. Speights misses 2-pt shot from 1 ft (block by D. Gooden),,39-26,,
1:13.0,Offensive rebound by Team,,39-26,,
1:07.0,Turnover by S. Curry (bad pass; steal by N. Hilario),,39-26,,
0:56.0,,,39-26,,B. Beal misses 3-pt shot from 24 ft
0:54.0,Defensive rebound by M. Speights,,39-26,,
0:45.0,L. Barbosa misses 2-pt shot from 3 ft,,39-26,,
0:44.0,,,39-26,,Defensive rebound by R. Sessions
0:34.0,,,39-26,,N. Hilario misses 2-pt shot from 18 ft
0:33.0,Defensive rebound by D. Green,,39-26,,
0:26.0,M. Speights makes 2-pt shot at rim (assist by A. Iguodala),2,41-26,,
0:11.0,,,41-28,2,R. Sessions makes 2-pt shot from 2 ft
0:03.0,S. Curry makes 2-pt shot from 20 ft,2,43-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,M. Speights misses 2-pt shot from 16 ft,,43-28,,
11:44.0,,,43-28,,Defensive rebound by G. Neal
11:26.0,,,43-28,,N. Hilario misses 2-pt shot at rim
11:25.0,Defensive rebound by M. Speights,,43-28,,
11:13.0,Turnover by S. Livingston (bad pass; steal by B. Beal),,43-28,,
11:07.0,,,43-30,2,B. Beal makes 2-pt shot at rim
11:07.0,,,43-30,,Shooting foul by A. Iguodala (drawn by B. Beal)
11:07.0,,,43-31,1,B. Beal makes free throw 1 of 1
10:44.0,M. Speights makes 2-pt shot from 17 ft (assist by S. Livingston),2,45-31,,
10:34.0,,,45-31,,Turnover by R. Sessions (bad pass; steal by S. Livingston)
10:30.0,Shooting foul by B. Beal (drawn by S. Livingston),,45-31,,
10:30.0,S. Livingston misses free throw 1 of 2,,45-31,,
10:30.0,Offensive rebound by Team,,45-31,,
10:30.0,S. Livingston makes free throw 2 of 2,1,46-31,,
10:14.0,,,46-34,3,R. Sessions makes 3-pt shot from 23 ft (assist by D. Gooden)
9:57.0,L. Barbosa misses 2-pt shot from 1 ft,,46-34,,
9:56.0,,,46-34,,Defensive rebound by D. Gooden
9:40.0,,,46-34,,D. Gooden misses 2-pt shot from 12 ft
9:39.0,Defensive rebound by A. Iguodala,,46-34,,
9:33.0,H. Barnes makes 3-pt shot from 26 ft (assist by S. Livingston),3,49-34,,
9:05.0,,,49-34,,D. Gooden misses 2-pt shot from 2 ft
9:04.0,Defensive rebound by M. Speights,,49-34,,
8:48.0,M. Speights makes 2-pt shot from 20 ft (assist by L. Barbosa),2,51-34,,
8:39.0,,,51-36,2,N. Hilario makes 2-pt shot from 12 ft (assist by B. Beal)
8:31.0,Turnover by S. Livingston (lost ball; steal by D. Gooden),,51-36,,
8:22.0,,,51-36,,D. Gooden misses 3-pt shot from 27 ft
8:21.0,Defensive rebound by A. Iguodala,,51-36,,
7:57.0,M. Speights misses 3-pt shot from 23 ft,,51-36,,
7:55.0,,,51-36,,Defensive rebound by N. Hilario
7:45.0,,,51-38,2,B. Beal makes 2-pt shot at rim
7:44.0,Golden State full timeout,,51-38,,
7:44.0,,,51-38,,M. Gortat enters the game for N. Hilario
7:44.0,,,51-38,,J. Wall enters the game for B. Beal
7:44.0,B. Rush enters the game for A. Iguodala,,51-38,,
7:44.0,K. Thompson enters the game for L. Barbosa,,51-38,,
7:44.0,A. Bogut enters the game for M. Speights,,51-38,,
7:44.0,,,51-38,,O. Porter enters the game for D. Gooden
7:23.0,S. Livingston misses 2-pt shot from 16 ft,,51-38,,
7:22.0,,,51-38,,Defensive rebound by O. Porter
7:09.0,,,51-40,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
6:55.0,H. Barnes makes 2-pt shot from 17 ft (assist by B. Rush),2,53-40,,
6:44.0,,,53-42,2,J. Wall makes 2-pt shot from 18 ft
6:34.0,B. Rush makes 2-pt shot from 18 ft (assist by S. Livingston),2,55-42,,
6:21.0,,,55-42,,M. Gortat misses 2-pt shot from 18 ft
6:20.0,Defensive rebound by K. Thompson,,55-42,,
6:05.0,Turnover by K. Thompson (lost ball; steal by M. Gortat),,55-42,,
6:00.0,,,55-44,2,R. Sessions makes 2-pt shot at rim
5:38.0,K. Thompson misses 3-pt shot from 28 ft,,55-44,,
5:37.0,,,55-44,,Defensive rebound by J. Wall
5:32.0,,,55-46,2,G. Neal makes 2-pt shot at rim (assist by J. Wall)
5:31.0,Golden State full timeout,,55-46,,
5:31.0,Official timeout,,55-46,,
5:31.0,,,55-46,,G. Temple enters the game for R. Sessions
5:31.0,D. Green enters the game for H. Barnes,,55-46,,
5:31.0,S. Curry enters the game for S. Livingston,,55-46,,
5:18.0,,,55-46,,Personal foul by G. Temple (drawn by S. Curry)
5:11.0,S. Curry makes 2-pt shot at rim (assist by A. Bogut),2,57-46,,
4:51.0,,,57-46,,O. Porter misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by B. Rush,,57-46,,
4:44.0,K. Thompson misses 3-pt shot from 25 ft,,57-46,,
4:43.0,,,57-46,,Defensive rebound by G. Neal
4:32.0,,,57-46,,Turnover by J. Wall (bad pass; steal by B. Rush)
4:28.0,S. Curry makes 2-pt shot from 1 ft (assist by B. Rush),2,59-46,,
4:19.0,Personal foul by D. Green (drawn by G. Temple),,59-46,,
4:12.0,,,59-46,,G. Neal misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by S. Curry,,59-46,,
4:08.0,Shooting foul by G. Neal (drawn by A. Bogut),,59-46,,
4:08.0,A. Bogut misses free throw 1 of 2,,59-46,,
4:08.0,Offensive rebound by Team,,59-46,,
4:08.0,A. Bogut misses free throw 2 of 2,,59-46,,
4:06.0,,,59-46,,Defensive rebound by O. Porter
3:55.0,,,59-48,2,J. Wall makes 2-pt shot at rim
3:49.0,Turnover by D. Green (lost ball; steal by O. Porter),,59-48,,
3:46.0,,,59-48,,Shooting foul by A. Bogut (drawn by O. Porter)
3:46.0,,,59-49,1,O. Porter makes free throw 1 of 2
3:46.0,,,59-49,,J. Dudley enters the game for G. Neal
3:46.0,A. Iguodala enters the game for B. Rush,,59-49,,
3:46.0,H. Barnes enters the game for A. Bogut,,59-49,,
3:46.0,,,59-50,1,O. Porter makes free throw 2 of 2
3:34.0,K. Thompson makes 2-pt shot from 2 ft (assist by H. Barnes),2,61-50,,
3:23.0,,,61-50,,J. Wall misses 2-pt shot from 17 ft
3:22.0,Defensive rebound by S. Curry,,61-50,,
3:15.0,S. Curry makes 2-pt shot at rim,2,63-50,,
3:06.0,,,63-50,,G. Temple misses 2-pt shot from 1 ft (block by D. Green)
3:05.0,Defensive rebound by H. Barnes,,63-50,,
3:01.0,Turnover by H. Barnes (lost ball; steal by J. Wall),,63-50,,
2:59.0,Personal take foul by S. Curry (drawn by J. Wall),,63-50,,
2:59.0,,,63-50,,Washington full timeout
2:59.0,,,63-50,,R. Sessions enters the game for M. Gortat
2:59.0,,,63-50,,B. Beal enters the game for G. Temple
2:37.0,,,63-52,2,J. Wall makes 2-pt shot from 1 ft
2:23.0,,,63-52,,Personal foul by R. Sessions (drawn by S. Curry)
2:14.0,D. Green makes 2-pt shot from 8 ft,2,65-52,,
2:14.0,Shooting foul by J. Dudley (drawn by D. Green),,65-52,,
2:14.0,,,65-52,,N. Hilario enters the game for J. Dudley
2:14.0,D. Green makes free throw 1 of 1,1,66-52,,
2:03.0,,,66-54,2,J. Wall makes 2-pt shot at rim
1:55.0,Turnover by S. Curry (bad pass),,66-54,,
1:49.0,,,66-54,,Shooting foul by S. Curry (drawn by R. Sessions)
1:49.0,,,66-55,1,R. Sessions makes free throw 1 of 2
1:49.0,,,66-55,,R. Sessions misses free throw 2 of 2
1:48.0,Defensive rebound by D. Green,,66-55,,
1:40.0,Turnover by H. Barnes (lost ball; steal by J. Wall),,66-55,,
1:34.0,Personal foul by H. Barnes (drawn by J. Wall),,66-55,,
1:34.0,,,66-56,1,J. Wall makes free throw 1 of 2
1:34.0,,,66-57,1,J. Wall makes free throw 2 of 2
1:22.0,K. Thompson makes 3-pt shot from 22 ft (assist by S. Curry),3,69-57,,
1:04.0,,,69-57,,N. Hilario misses 2-pt shot from 2 ft
1:03.0,Defensive rebound by D. Green,,69-57,,
1:01.0,Turnover by D. Green (bad pass; steal by R. Sessions),,69-57,,
0:58.0,,,69-57,,B. Beal misses 3-pt shot from 24 ft (block by D. Green)
0:56.0,Defensive rebound by S. Curry,,69-57,,
0:52.0,A. Iguodala misses 2-pt shot from 2 ft (block by B. Beal),,69-57,,
0:51.0,Offensive rebound by A. Iguodala,,69-57,,
0:49.0,A. Iguodala misses 2-pt shot from 1 ft,,69-57,,
0:48.0,,,69-57,,Defensive rebound by N. Hilario
0:39.0,,,69-57,,B. Beal misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by D. Green,,69-57,,
0:30.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,72-57,,
0:29.0,,,72-59,2,J. Wall makes 2-pt shot at rim (assist by O. Porter)
0:29.0,,,72-59,,Shooting foul by D. Green (drawn by J. Wall)
0:29.0,,,72-60,1,J. Wall makes free throw 1 of 1
0:13.0,,,72-60,,Personal foul by J. Wall (drawn by S. Curry)
0:13.0,S. Curry misses free throw 1 of 2,,72-60,,
0:13.0,Offensive rebound by Team,,72-60,,
0:13.0,A. Bogut enters the game for D. Green,,72-60,,
0:13.0,S. Curry makes free throw 2 of 2,1,73-60,,
0:03.0,,,73-60,,Offensive foul by J. Wall
0:03.0,,,73-60,,Turnover by J. Wall (offensive foul)
0:03.0,D. Green enters the game for A. Bogut,,73-60,,
0:03.0,,,73-60,,G. Temple enters the game for J. Wall
0:03.0,,,73-60,,Technical foul by J. Wall
0:03.0,S. Curry makes technical free throw,1,74-60,,
0:02.0,H. Barnes misses 3-pt shot from 24 ft,,74-60,,
0:01.0,,,74-60,,Defensive rebound by B. Beal
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Turnover by S. Curry (bad pass; steal by O. Porter),,74-60,,
11:46.0,,,74-62,2,O. Porter makes 2-pt shot at rim
11:33.0,Shooting foul by G. Temple (drawn by K. Thompson),,74-62,,
11:33.0,K. Thompson makes free throw 1 of 2,1,75-62,,
11:33.0,K. Thompson makes free throw 2 of 2,1,76-62,,
11:14.0,,,76-64,2,O. Porter makes 2-pt shot from 16 ft (assist by J. Wall)
10:59.0,H. Barnes misses 2-pt shot from 1 ft (block by M. Gortat),,76-64,,
10:57.0,,,76-64,,Defensive rebound by J. Dudley
10:51.0,,,76-66,2,J. Wall makes 2-pt shot from 18 ft
10:33.0,H. Barnes misses 2-pt shot from 21 ft,,76-66,,
10:32.0,,,76-66,,Defensive rebound by M. Gortat
10:26.0,,,76-66,,J. Wall misses 2-pt shot from 20 ft
10:24.0,Defensive rebound by A. Bogut,,76-66,,
10:14.0,D. Green misses 3-pt shot from 26 ft,,76-66,,
10:13.0,,,76-66,,Defensive rebound by M. Gortat
10:10.0,,,76-66,,Shooting foul by A. Bogut (drawn by G. Temple)
10:10.0,,,76-68,2,G. Temple makes 2-pt shot from 1 ft (assist by J. Wall)
10:10.0,Golden State full timeout,,76-68,,
10:10.0,,,76-69,1,G. Temple makes free throw 1 of 1
9:57.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,79-69,,
9:40.0,,,79-69,,Shooting foul by D. Green (drawn by O. Porter)
9:40.0,,,79-69,,O. Porter misses free throw 1 of 2
9:40.0,,,79-69,,Offensive rebound by Team
9:40.0,,,79-70,1,O. Porter makes free throw 2 of 2
9:29.0,Turnover by S. Curry (bad pass; steal by O. Porter),,79-70,,
9:24.0,,,79-72,2,J. Wall makes 2-pt shot at rim (assist by G. Temple)
9:09.0,S. Curry misses 3-pt shot from 25 ft,,79-72,,
9:09.0,,,79-72,,Defensive rebound by Team
9:09.0,Loose ball foul by A. Bogut (drawn by M. Gortat),,79-72,,
9:09.0,B. Rush enters the game for A. Bogut,,79-72,,
8:48.0,,,79-75,3,J. Wall makes 3-pt shot from 27 ft (assist by G. Temple)
8:40.0,Turnover by S. Curry (lost ball),,79-75,,
8:24.0,,,79-77,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
8:06.0,K. Thompson misses 2-pt shot from 18 ft,,79-77,,
8:05.0,Offensive rebound by B. Rush,,79-77,,
7:59.0,H. Barnes makes 2-pt shot from 21 ft (assist by D. Green),2,81-77,,
7:48.0,,,81-79,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
7:30.0,K. Thompson misses 3-pt shot from 25 ft,,81-79,,
7:28.0,,,81-79,,Defensive rebound by J. Wall
7:27.0,Personal foul by S. Curry (drawn by J. Wall),,81-79,,
7:17.0,,,81-79,,J. Wall misses 2-pt shot at rim (block by D. Green)
7:17.0,,,81-79,,Offensive rebound by Team
7:07.0,,,81-79,,Turnover by O. Porter (bad pass; steal by S. Curry)
7:02.0,K. Thompson misses 2-pt shot at rim,,81-79,,
7:01.0,,,81-79,,Defensive rebound by Team
7:01.0,A. Iguodala enters the game for H. Barnes,,81-79,,
6:42.0,,,81-79,,M. Gortat misses 2-pt shot from 10 ft
6:41.0,Defensive rebound by S. Curry,,81-79,,
6:33.0,S. Curry misses 2-pt shot from 2 ft,,81-79,,
6:33.0,,,81-79,,Defensive rebound by M. Gortat
6:26.0,,,81-79,,G. Temple misses 3-pt shot from 23 ft
6:25.0,Defensive rebound by D. Green,,81-79,,
6:19.0,B. Rush misses 3-pt shot from 27 ft,,81-79,,
6:18.0,Offensive rebound by Team,,81-79,,
6:18.0,,,81-79,,Loose ball foul by J. Wall (drawn by A. Iguodala)
6:18.0,,,81-79,,Washington full timeout
6:18.0,,,81-79,,R. Sessions enters the game for J. Wall
6:18.0,,,81-79,,N. Hilario enters the game for M. Gortat
6:10.0,A. Iguodala makes 3-pt shot from 24 ft (assist by S. Curry),3,84-79,,
5:55.0,,,84-79,,Shooting foul by A. Iguodala (drawn by N. Hilario)
5:55.0,,,84-79,,N. Hilario misses free throw 1 of 2
5:55.0,,,84-79,,Offensive rebound by Team
5:55.0,,,84-79,,B. Beal enters the game for J. Dudley
5:55.0,,,84-79,,N. Hilario misses free throw 2 of 2
5:54.0,Defensive rebound by D. Green,,84-79,,
5:49.0,D. Green misses 2-pt shot from 1 ft,,84-79,,
5:48.0,,,84-79,,Defensive rebound by R. Sessions
5:39.0,,,84-79,,Turnover by N. Hilario (lost ball)
5:17.0,Shooting foul by O. Porter (drawn by A. Iguodala),,84-79,,
5:17.0,A. Iguodala misses free throw 1 of 2,,84-79,,
5:17.0,Offensive rebound by Team,,84-79,,
5:17.0,L. Barbosa enters the game for K. Thompson,,84-79,,
5:17.0,A. Iguodala makes free throw 2 of 2,1,85-79,,
5:06.0,,,85-79,,B. Beal misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by B. Rush,,85-79,,
4:57.0,S. Curry makes 2-pt shot from 9 ft,2,87-79,,
4:39.0,,,87-79,,R. Sessions misses 2-pt shot from 15 ft
4:39.0,,,87-79,,Offensive rebound by Team
4:39.0,Loose ball foul by L. Barbosa (drawn by N. Hilario),,87-79,,
4:39.0,,,87-80,1,N. Hilario makes free throw 1 of 2
4:39.0,,,87-81,1,N. Hilario makes free throw 2 of 2
4:28.0,S. Curry misses 2-pt shot from 13 ft,,87-81,,
4:27.0,,,87-81,,Defensive rebound by R. Sessions
4:20.0,,,87-83,2,B. Beal makes 2-pt shot at rim
4:07.0,S. Curry misses 3-pt shot from 25 ft,,87-83,,
4:06.0,,,87-83,,Defensive rebound by N. Hilario
3:54.0,,,87-83,,B. Beal misses 2-pt shot from 2 ft
3:53.0,,,87-83,,Offensive rebound by N. Hilario
3:52.0,,,87-83,,Shooting foul by B. Rush (drawn by N. Hilario)
3:52.0,,,87-84,1,N. Hilario makes free throw 1 of 2
3:52.0,,,87-84,,N. Hilario misses free throw 2 of 2
3:51.0,Defensive rebound by A. Iguodala,,87-84,,
3:40.0,Shooting foul by B. Beal (drawn by D. Green),,87-84,,
3:40.0,D. Green makes free throw 1 of 2,1,88-84,,
3:40.0,,,88-84,,G. Neal enters the game for O. Porter
3:40.0,D. Green misses free throw 2 of 2,,88-84,,
3:38.0,Offensive rebound by D. Green,,88-84,,
3:24.0,A. Iguodala makes 3-pt shot from 27 ft (assist by B. Rush),3,91-84,,
3:11.0,Violation by D. Green (kicked ball),,91-84,,
3:08.0,,,91-84,,Turnover by R. Sessions (bad pass; steal by S. Curry)
3:04.0,Shooting foul by B. Beal (drawn by L. Barbosa),,91-84,,
3:04.0,L. Barbosa makes free throw 1 of 2,1,92-84,,
3:04.0,L. Barbosa makes free throw 2 of 2,1,93-84,,
2:56.0,,,93-84,,B. Beal misses 3-pt shot from 26 ft
2:55.0,Defensive rebound by B. Rush,,93-84,,
2:48.0,S. Curry makes 3-pt shot from 26 ft (assist by L. Barbosa),3,96-84,,
2:44.0,,,96-84,,Turnover by R. Sessions (discontinued dribble)
2:39.0,,,96-84,,Personal foul by N. Hilario (drawn by D. Green)
2:39.0,D. Green misses free throw 1 of 2,,96-84,,
2:39.0,Offensive rebound by Team,,96-84,,
2:39.0,D. Green makes free throw 2 of 2,1,97-84,,
2:24.0,,,97-84,,Shooting foul by D. Green (drawn by N. Hilario)
2:24.0,,,97-85,1,N. Hilario makes free throw 1 of 2
2:24.0,M. Speights enters the game for D. Green,,97-85,,
2:24.0,,,97-86,1,N. Hilario makes free throw 2 of 2
2:09.0,S. Curry makes 3-pt shot from 28 ft (assist by A. Iguodala),3,100-86,,
1:50.0,,,100-88,2,N. Hilario makes 2-pt shot at rim
1:39.0,S. Curry misses 2-pt shot at rim (block by N. Hilario),,100-88,,
1:38.0,,,100-88,,Defensive rebound by G. Neal
1:32.0,,,100-90,2,R. Sessions makes 2-pt shot from 1 ft (assist by G. Neal)
1:16.0,S. Curry misses 3-pt shot from 28 ft,,100-90,,
1:15.0,Offensive rebound by S. Curry,,100-90,,
1:12.0,S. Curry misses 2-pt shot from 12 ft,,100-90,,
1:11.0,,,100-90,,Defensive rebound by N. Hilario
1:01.0,,,100-90,,G. Temple misses 3-pt shot from 28 ft
1:00.0,Defensive rebound by S. Curry,,100-90,,
0:54.0,,,100-90,,Personal foul by G. Neal (drawn by B. Rush)
0:54.0,B. Rush makes free throw 1 of 2,1,101-90,,
0:54.0,,,101-90,,M. Gortat enters the game for N. Hilario
0:54.0,S. Livingston enters the game for S. Curry,,101-90,,
0:54.0,B. Rush misses free throw 2 of 2,,101-90,,
0:54.0,,,101-90,,Defensive rebound by R. Sessions
0:37.0,,,101-92,2,B. Beal makes 2-pt shot at rim (assist by R. Sessions)
0:35.0,,,101-92,,Personal take foul by M. Gortat (drawn by A. Iguodala)
0:35.0,A. Iguodala misses free throw 1 of 2,,101-92,,
0:35.0,Offensive rebound by Team,,101-92,,
0:35.0,A. Iguodala misses free throw 2 of 2,,101-92,,
0:34.0,Offensive rebound by M. Speights,,101-92,,
0:16.0,M. Speights misses 3-pt shot from 28 ft,,101-92,,
0:15.0,Offensive rebound by L. Barbosa,,101-92,,
0:03.0,L. Barbosa makes 2-pt shot from 10 ft,2,103-92,,
0:01.0,,,103-92,,B. Beal misses 3-pt shot from 37 ft
0:00.0,,,103-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,103-95,3,G. Neal makes 3-pt shot from 26 ft
11:23.0,M. Speights makes 2-pt shot from 20 ft (assist by S. Livingston),2,105-95,,
11:00.0,,,105-95,,Turnover by G. Neal (lost ball; steal by A. Iguodala)
10:53.0,L. Barbosa misses 3-pt shot from 23 ft,,105-95,,
10:52.0,Offensive rebound by A. Iguodala,,105-95,,
10:37.0,A. Iguodala misses 3-pt shot from 28 ft,,105-95,,
10:36.0,,,105-95,,Defensive rebound by G. Neal
10:22.0,,,105-97,2,G. Neal makes 2-pt shot from 19 ft (assist by J. Wall)
10:03.0,H. Barnes misses 2-pt shot from 19 ft,,105-97,,
10:02.0,,,105-97,,Defensive rebound by M. Gortat
9:52.0,,,105-99,2,J. Wall makes 2-pt shot at rim
9:51.0,Golden State full timeout,,105-99,,
9:51.0,K. Thompson enters the game for L. Barbosa,,105-99,,
9:51.0,A. Bogut enters the game for M. Speights,,105-99,,
9:36.0,S. Livingston makes 2-pt shot from 13 ft,2,107-99,,
9:19.0,,,107-101,2,R. Sessions makes 2-pt shot from 17 ft (assist by J. Wall)
8:58.0,S. Livingston makes 2-pt shot from 17 ft (assist by A. Bogut),2,109-101,,
8:37.0,Personal foul by S. Livingston (drawn by J. Wall),,109-101,,
8:37.0,,,109-101,,G. Temple enters the game for R. Sessions
8:37.0,,,109-101,,O. Porter enters the game for B. Beal
8:32.0,,,109-101,,G. Neal misses 2-pt shot from 8 ft
