time,Minnesota,pts.away,score,pts.home,Utah
5:16.0,,,36-32,2,T. Lyles makes 2-pt shot from 3 ft
5:16.0,,,36-32,,Shooting foul by G. Smith (drawn by T. Lyles)
5:16.0,R. Rubio enters the game for S. Muhammad,,36-32,,
5:16.0,,,36-33,1,T. Lyles makes free throw 1 of 1
4:58.0,G. Smith makes 2-pt shot at rim (assist by Z. LaVine),2,38-33,,
4:33.0,,,38-33,,G. Hayward misses 2-pt shot from 16 ft
4:32.0,,,38-33,,Offensive rebound by J. Withey
4:32.0,,,38-35,2,J. Withey makes 2-pt shot from 1 ft
4:22.0,N. Bjelica makes 3-pt shot from 25 ft (assist by R. Rubio),3,41-35,,
4:01.0,,,41-37,2,T. Lyles makes 2-pt shot from 1 ft
3:43.0,G. Smith makes 2-pt shot from 1 ft (assist by R. Rubio),2,43-37,,
3:19.0,,,43-39,2,T. Lyles makes 2-pt shot from 11 ft
3:19.0,,,43-39,,Shooting foul by A. Wiggins (drawn by T. Lyles)
3:19.0,K. Towns enters the game for G. Smith,,43-39,,
3:19.0,,,43-39,,T. Lyles misses free throw 1 of 1
3:19.0,Defensive rebound by N. Bjelica,,43-39,,
3:09.0,Turnover by R. Rubio (lost ball; steal by T. Lyles),,43-39,,
3:03.0,,,43-41,2,S. Mack makes 2-pt shot from 2 ft
2:57.0,Minnesota full timeout,,43-41,,
2:57.0,,,43-41,,R. Gobert enters the game for J. Withey
2:47.0,,,43-41,,Def 3 sec tech foul by R. Gobert
2:47.0,R. Rubio makes technical free throw,1,44-41,,
2:39.0,Turnover by A. Wiggins (lost ball; steal by R. Hood),,44-41,,
2:34.0,,,44-43,2,S. Mack makes 2-pt shot from 1 ft (assist by R. Hood)
2:28.0,Turnover by R. Rubio (lost ball; steal by G. Hayward),,44-43,,
2:25.0,,,44-43,,Turnover by G. Hayward (lost ball; steal by Z. LaVine)
2:19.0,Turnover by Z. LaVine (dbl dribble),,44-43,,
2:11.0,,,44-43,,Shooting foul by A. Wiggins (drawn by G. Hayward)
2:11.0,,,44-43,,G. Hayward misses free throw 1 of 2
2:11.0,,,44-43,,Offensive rebound by Team
2:11.0,S. Muhammad enters the game for A. Wiggins,,44-43,,
2:11.0,Technical foul by A. Wiggins,,44-43,,
2:11.0,,,44-44,1,G. Hayward makes technical free throw
2:11.0,,,44-45,1,G. Hayward makes free throw 2 of 2
1:56.0,,,44-45,,Personal foul by T. Lyles
1:56.0,S. Muhammad makes free throw 1 of 2,1,45-45,,
1:56.0,S. Muhammad misses free throw 2 of 2,,45-45,,
1:55.0,Offensive rebound by N. Bjelica,,45-45,,
1:41.0,S. Muhammad makes 2-pt shot from 3 ft (assist by R. Rubio),2,47-45,,
1:21.0,,,47-45,,Turnover by S. Mack (lost ball; steal by R. Rubio)
1:14.0,S. Muhammad misses 2-pt shot from 3 ft (block by T. Lyles),,47-45,,
1:12.0,Offensive rebound by R. Rubio,,47-45,,
1:09.0,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio),2,49-45,,
0:57.0,Violation by N. Bjelica (kicked ball),,49-45,,
0:51.0,Personal foul by S. Muhammad,,49-45,,
0:51.0,,,49-45,,G. Hayward misses free throw 1 of 2
0:51.0,,,49-45,,Offensive rebound by Team
0:51.0,,,49-46,1,G. Hayward makes free throw 2 of 2
0:42.0,K. Towns misses 2-pt shot from 11 ft,,49-46,,
0:41.0,,,49-46,,Defensive rebound by T. Lyles
0:34.0,,,49-46,,Shooting foul by S. Muhammad (drawn by G. Hayward)
0:34.0,,,49-47,1,G. Hayward makes free throw 1 of 2
0:34.0,,,49-48,1,G. Hayward makes free throw 2 of 2
0:17.0,R. Rubio misses 2-pt shot from 19 ft,,49-48,,
0:16.0,,,49-48,,Defensive rebound by G. Hayward
0:01.0,,,49-51,3,R. Hood makes 3-pt shot from 22 ft (assist by G. Hayward)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Z. LaVine misses 3-pt shot from 25 ft,,49-51,,
11:42.0,Offensive rebound by Z. LaVine,,49-51,,
11:28.0,R. Rubio misses 2-pt shot from 17 ft,,49-51,,
11:27.0,,,49-51,,Defensive rebound by R. Gobert
11:04.0,,,49-53,2,R. Gobert makes 2-pt shot from 17 ft (assist by T. Lyles)
10:46.0,,,49-53,,Personal foul by G. Hayward
10:39.0,G. Dieng misses 2-pt shot from 17 ft,,49-53,,
10:36.0,,,49-53,,Defensive rebound by T. Lyles
10:26.0,,,49-55,2,R. Gobert makes 2-pt shot from 3 ft (assist by S. Mack)
10:09.0,Z. LaVine misses 3-pt shot from 23 ft,,49-55,,
10:08.0,,,49-55,,Defensive rebound by R. Gobert
9:47.0,,,49-55,,S. Mack misses 2-pt shot from 3 ft
9:46.0,,,49-55,,Offensive rebound by Team
9:46.0,N. Bjelica enters the game for G. Dieng,,49-55,,
9:38.0,,,49-57,2,G. Hayward makes 2-pt shot from 21 ft
9:37.0,Minnesota full timeout,,49-57,,
9:17.0,R. Rubio misses 3-pt shot from 23 ft,,49-57,,
9:17.0,,,49-57,,Defensive rebound by Team
9:06.0,,,49-57,,Turnover by R. Gobert (lost ball; steal by R. Rubio)
9:02.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,51-57,,
8:43.0,,,51-59,2,R. Hood makes 2-pt shot from 12 ft
8:22.0,K. Towns makes 2-pt shot from 19 ft (assist by Z. LaVine),2,53-59,,
8:05.0,,,53-59,,T. Lyles misses 3-pt shot from 23 ft
8:05.0,Defensive rebound by R. Rubio,,53-59,,
7:53.0,K. Towns makes 2-pt shot from 7 ft (assist by Z. LaVine),2,55-59,,
7:53.0,Shooting foul by R. Hood (drawn by K. Towns),,55-59,,
7:53.0,K. Towns makes free throw 1 of 1,1,56-59,,
7:30.0,,,56-62,3,G. Hayward makes 3-pt shot from 24 ft (assist by S. Mack)
7:15.0,K. Towns makes 2-pt shot from 21 ft,2,58-62,,
7:01.0,,,58-62,,Turnover by R. Gobert (traveling)
6:51.0,K. Towns misses 2-pt shot from 3 ft (block by R. Gobert),,58-62,,
6:51.0,Offensive rebound by Team,,58-62,,
6:48.0,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio),3,61-62,,
6:23.0,,,61-62,,T. Lyles misses 2-pt shot from 4 ft
6:22.0,,,61-62,,Offensive rebound by R. Gobert
6:22.0,,,61-64,2,R. Gobert makes 2-pt shot at rim
6:06.0,A. Wiggins makes 2-pt shot from 5 ft,2,63-64,,
5:49.0,,,63-64,,Shooting foul by K. Towns (drawn by T. Lyles)
5:49.0,,,63-64,,T. Lyles misses free throw 1 of 2
5:49.0,,,63-64,,Offensive rebound by Team
5:49.0,,,63-64,,J. Withey enters the game for R. Gobert
5:49.0,,,63-65,1,T. Lyles makes free throw 2 of 2
5:36.0,Shooting foul by J. Withey (drawn by K. Towns),,63-65,,
5:36.0,K. Towns makes free throw 1 of 2,1,64-65,,
5:36.0,,,64-65,,T. Booker enters the game for T. Lyles
5:36.0,K. Towns misses free throw 2 of 2,,64-65,,
5:34.0,,,64-65,,Defensive rebound by J. Withey
5:22.0,,,64-68,3,S. Mack makes 3-pt shot from 23 ft (assist by R. Hood)
5:07.0,K. Towns misses 2-pt shot from 1 ft (block by J. Withey),,64-68,,
5:04.0,,,64-68,,Defensive rebound by Team
4:50.0,,,64-68,,J. Withey misses 2-pt shot from 14 ft
4:49.0,Defensive rebound by R. Rubio,,64-68,,
4:33.0,K. Towns misses 2-pt shot from 2 ft,,64-68,,
4:32.0,,,64-68,,Defensive rebound by J. Withey
4:17.0,,,64-68,,S. Mack misses 2-pt shot from 2 ft (block by K. Towns)
4:17.0,,,64-68,,Offensive rebound by Team
4:13.0,,,64-68,,Offensive foul by T. Booker
4:13.0,,,64-68,,Turnover by T. Booker (offensive foul)
4:13.0,,,64-68,,J. Ingles enters the game for R. Hood
3:57.0,A. Wiggins misses 3-pt shot from 24 ft,,64-68,,
3:56.0,,,64-68,,Defensive rebound by S. Mack
3:35.0,,,64-70,2,J. Withey makes 2-pt shot from 1 ft (assist by S. Mack)
3:20.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,66-70,,
3:00.0,,,66-70,,Turnover by S. Mack (palming)
3:00.0,,,66-70,,R. Neto enters the game for S. Mack
3:00.0,S. Muhammad enters the game for R. Rubio,,66-70,,
2:42.0,Turnover by S. Muhammad (lost ball; steal by T. Booker),,66-70,,
2:37.0,,,66-70,,Shooting foul by N. Bjelica (drawn by J. Ingles)
2:37.0,,,66-70,,Utah full timeout
2:37.0,G. Dieng enters the game for K. Towns,,66-70,,
2:37.0,,,66-70,,R. Gobert enters the game for J. Withey
2:37.0,,,66-71,1,J. Ingles makes free throw 1 of 2
2:37.0,,,66-71,,J. Ingles misses free throw 2 of 2
2:37.0,Defensive rebound by Z. LaVine,,66-71,,
2:22.0,A. Wiggins makes 2-pt shot from 1 ft,2,68-71,,
2:07.0,,,68-73,2,T. Booker makes 2-pt shot from 1 ft
1:46.0,A. Wiggins misses 2-pt shot at rim,,68-73,,
1:45.0,,,68-73,,Defensive rebound by T. Booker
1:40.0,Personal block foul by Z. LaVine,,68-73,,
1:28.0,,,68-73,,R. Neto misses 3-pt shot from 23 ft
1:27.0,,,68-73,,Offensive rebound by Team
1:18.0,,,68-73,,Turnover by G. Hayward (lost ball; steal by G. Dieng)
1:08.0,Turnover by Z. LaVine (step out of bounds),,68-73,,
0:58.0,,,68-73,,T. Booker misses 2-pt shot from 3 ft
0:58.0,,,68-73,,Offensive rebound by R. Gobert
0:57.0,Loose ball foul by G. Dieng,,68-73,,
0:57.0,,,68-73,,R. Gobert misses free throw 1 of 2
0:57.0,,,68-73,,Offensive rebound by Team
0:57.0,,,68-74,1,R. Gobert makes free throw 2 of 2
0:39.0,Z. LaVine misses 2-pt shot from 21 ft,,68-74,,
0:39.0,,,68-74,,Defensive rebound by R. Gobert
0:27.0,,,68-77,3,J. Ingles makes 3-pt shot from 24 ft (assist by T. Booker)
0:08.0,,,68-77,,Personal foul by R. Neto
0:02.0,A. Wiggins misses 2-pt shot from 18 ft,,68-77,,
0:02.0,,,68-77,,Defensive rebound by J. Ingles
