time,Chicago,pts.away,score,pts.home,Toronto
7:12.0,E. Moore enters the game for T. Snell,,33-40,,
7:12.0,J. Butler enters the game for D. McDermott,,33-40,,
6:54.0,B. Portis misses 2-pt shot from 6 ft,,33-40,,
6:53.0,,,33-40,,Defensive rebound by P. Patterson
6:42.0,,,33-40,,P. Patterson misses 3-pt shot from 24 ft
6:41.0,Defensive rebound by A. Brooks,,33-40,,
6:20.0,T. Gibson makes 2-pt shot from 15 ft (assist by B. Portis),2,35-40,,
6:01.0,,,35-42,2,C. Joseph makes 2-pt shot from 2 ft
5:52.0,A. Brooks misses 3-pt shot from 24 ft,,35-42,,
5:51.0,,,35-42,,Defensive rebound by B. Biyombo
5:40.0,,,35-42,,C. Joseph misses 2-pt shot from 2 ft (block by T. Gibson)
5:40.0,,,35-42,,Offensive rebound by B. Biyombo
5:40.0,Personal foul by B. Portis (drawn by B. Biyombo),,35-42,,
5:40.0,,,35-42,,D. Carroll enters the game for T. Ross
5:40.0,,,35-42,,D. DeRozan enters the game for C. Joseph
5:40.0,K. Hinrich enters the game for A. Brooks,,35-42,,
5:40.0,N. Mirotic enters the game for B. Portis,,35-42,,
5:28.0,,,35-44,2,D. DeRozan makes 2-pt shot from 1 ft
5:14.0,N. Mirotic makes 3-pt shot from 24 ft (assist by T. Gibson),3,38-44,,
4:56.0,,,38-46,2,B. Biyombo makes 2-pt shot from 1 ft (assist by K. Lowry)
4:41.0,Turnover by N. Mirotic (lost ball; steal by K. Lowry),,38-46,,
4:36.0,,,38-48,2,D. Carroll makes 2-pt shot from 1 ft (assist by K. Lowry)
4:36.0,Chicago full timeout,,38-48,,
4:36.0,,,38-48,,J. Valanciunas enters the game for B. Biyombo
4:36.0,P. Gasol enters the game for T. Gibson,,38-48,,
4:36.0,D. McDermott enters the game for J. Butler,,38-48,,
4:22.0,E. Moore misses 2-pt shot from 15 ft,,38-48,,
4:21.0,,,38-48,,Defensive rebound by K. Lowry
4:17.0,,,38-48,,Turnover by K. Lowry (lost ball; steal by E. Moore)
4:08.0,D. McDermott misses 3-pt shot from 23 ft,,38-48,,
4:08.0,,,38-48,,Defensive rebound by D. Carroll
3:50.0,,,38-48,,Shooting foul by D. McDermott (drawn by K. Lowry)
3:50.0,,,38-48,,K. Lowry misses free throw 1 of 3
3:50.0,,,38-48,,Offensive rebound by Team
3:50.0,,,38-49,1,K. Lowry makes free throw 2 of 3
3:50.0,,,38-49,,L. Scola enters the game for P. Patterson
3:50.0,,,38-50,1,K. Lowry makes free throw 3 of 3
3:41.0,Shooting foul by D. Carroll (drawn by N. Mirotic),,38-50,,
3:41.0,N. Mirotic makes free throw 1 of 2,1,39-50,,
3:41.0,N. Mirotic makes free throw 2 of 2,1,40-50,,
3:16.0,,,40-50,,D. DeRozan misses 3-pt shot from 25 ft
3:16.0,,,40-50,,Offensive rebound by Team
3:16.0,,,40-50,,Turnover by Team (shot clock)
2:58.0,P. Gasol makes 2-pt shot from 19 ft (assist by K. Hinrich),2,42-50,,
2:41.0,,,42-52,2,L. Scola makes 2-pt shot from 2 ft (assist by K. Lowry)
2:27.0,E. Moore makes 2-pt shot from 1 ft (assist by P. Gasol),2,44-52,,
2:23.0,,,44-52,,Toronto full timeout
2:23.0,,,44-52,,C. Joseph enters the game for K. Lowry
2:12.0,,,44-52,,D. DeRozan misses 2-pt shot from 20 ft
2:11.0,Defensive rebound by K. Hinrich,,44-52,,
1:57.0,E. Moore misses 2-pt shot from 5 ft (block by J. Valanciunas),,44-52,,
1:57.0,,,44-52,,Defensive rebound by Team
1:44.0,,,44-55,3,C. Joseph makes 3-pt shot from 24 ft (assist by D. DeRozan)
1:31.0,Shooting foul by L. Scola (drawn by N. Mirotic),,44-55,,
1:31.0,N. Mirotic makes free throw 1 of 2,1,45-55,,
1:31.0,N. Mirotic makes free throw 2 of 2,1,46-55,,
1:12.0,,,46-55,,D. DeRozan misses 2-pt shot from 7 ft
1:11.0,,,46-55,,Offensive rebound by D. DeRozan
1:08.0,,,46-57,2,D. DeRozan makes 2-pt shot from 1 ft
0:49.0,P. Gasol misses 2-pt shot from 8 ft (block by J. Valanciunas),,46-57,,
0:47.0,Offensive rebound by K. Hinrich,,46-57,,
0:43.0,K. Hinrich misses 3-pt shot from 24 ft,,46-57,,
0:43.0,,,46-57,,Defensive rebound by J. Valanciunas
